doc_id,conf_journal,pub_year_val,researchers
3714,"software quality management-international conference - ,",1997.0,"d bustard , a sweeney"
3715,"computer networks ,",2002.0,"i cidon , s kutten , r soffer"
3716,"sigmod record ,",1996.0,"k ramamritham , r sivasankaran , ja stankovic , dt"
3717,"arthroscopy-new york - ,",2002.0,"k yamakado , k kitaoka , h yamada , k hashiba , r"
3718,"joint proc . sigmod symp . small syst . workshop small database & hellip ; ,",,"l bit , m herendeen"
3719,"athens , greece : ellinika grammata ,",,"d georgas , in paraskevopoulos , hg bezevegis , nd"
3720,,2001.0,"j grue , la ostrovsky"
3721,"proceedings of the 5th acm international conference on & hellip ; ,",2005.0,bm duc
3722,"san diego ,",,"p buneman , s davidson , g hillebrand , d suciu"
3723,"proc . acm multimedia workshop ,",,"cs lu , hym liao"
3724,,,"dw feldman , a valfells , j neumann , j harris , b"
3725,"san diego ,",,b landing
3726,"social studies and the young learner ,",1989.0,"tn turner , d hendricks"
3727,at .,,"li anisimova , vv kulichenko , nv krylova , lb"
3728,"ivth european congress of psychology , athens , greece , july ,",,"si gatowski , sa dobbin , jt richardson , gp ginsburg"
3729,proc .,,"d mitra , mi reiman , j wang"
3730,"santa barbara , ca : university of california at santa barbara & hellip ; ,",,rl williams
3731,,2000.0,"c michalopoulos , d card , la gennetian , k harknett ,"
3732,"vldb ,",1983.0,"p lyngbaek , d mcleod"
3733,,,f dawson
3734,,,s jones
3735,proceedings of acm,,"n spring , r mahajan , d wetherall , isp measuring"
3736,,1993.0,"ca vacanti , w kim , j uptonâ ? ¦"
3737,,1910.0,"w schubring , ms burgess"
3738,proceedings of the 23rd international conference on,,"jh anderson , yj kim , lmeu fetch"
3739,"information and software technology ,",1992.0,"m hart , rh davis"
3740,"new directions for teaching and learning ,",1998.0,"de giles jr , j eyler"
3741,,1996.0,"av borovsky , al galkin"
3742,"see ref ,",,r frankenberg
3743,,,l datasets
3744,"proceedings of the 2003 acm sigmod international conference & hellip ; ,",,"lvs lakshmanan , j pei , y zhao"
3745,"new directions for teaching and learning ,",1987.0,jc quick
3746,"pc magazine ,",,c petzold
3747,"proc 21st int particleboard symp , washington ,",,b sundin
3748,,,e williams
3749,"lecture notes in computer science ,",1997.0,"j camenisch , m stadler"
3750,,,y wang
3751,"project management journal ,",1994.0,kg cooper
3752,"proceedings of the 31st international conference on very & hellip ; ,",2005.0,"f wang , p liu"
3753,"pc magazine-american edition - ,",1992.0,r raskin
3754,"proc. , int . conf . centrifuge ,",,"a oshima , n takada"
3755,proc . of acm,,"u biouwer-janse , s md , y jf"
3756,"ieee , proceedings ,",1980.0,er berlekamp
3757,"submitted for publication ,",,"wg yee , sb navathe"
3758,,1971.0,r beinhauer
3759,"social studies and the young learner ,",1997.0,m zarnowski
3760,"vldb surveys ,",1978.0,"dk hsiao , ds kerr , se madnick"
3761,"unpublished manuscript ,",,m murata
3762,"proceedings of 24th international conference on very large & hellip ; ,",,"c zou , b salzberg"
3763,"proc . int . seaweed symp ,",,c araki
3764,"journal of emergency medicine ,",1994.0,"j perez , bt burton , jg mcgirr"
3765,,,m gillmann
3766,"san diego , ca ,",,m cheung
3767,"social studies and the young learner ,",1989.0,ja braun
3768,"proc . eurospeech ,",,"sj young , pc woodland"
3769,phil .,,"s della penna , c del gratta , c granata , a"
3770,"new directions for higher education ,",1995.0,sa holton
3771,,,lx pmd
3772,,,"cm lott , hd rombach"
3773,"inc. project . seattle , washington ,",,"wl stuth , c garrison"
3774,"see ref ,",,wm brooks
3775,proc . of acm,,ab singhal
3776,,,"rc rose , db paul"
3777,"new directions for program evaluation ,",1991.0,ja freedman
3778,"phil . mag ,",,jo isard
3779,acm sigmod record ( mar. .,,"lsr rajkumar , jp lehoczky"
3780,"proceedings of the international conference on very large & hellip ; ,",2004.0,"z gyongyi , h garcia-molina , j pedersen"
3781,"sigmod record ,",1993.0,cj date
3782,"information and software technology ,",1996.0,"j barnard , j whitworth , m woodward"
3783,"new directions for teaching and learning ,",1987.0,j aronson
3784,"planta ,",1981.0,"s caemmerer , gd farquhar"
3785,"proceedings of acm siggraph ,",2004.0,"pv sander , d gosselin , jl mitchell"
3786,"national on-site demonstration program , national & hellip ; ,",,c van lenten
3787,"technical university graz. , doctor thesis ,",,r modre
3788,"phil . mag ,",,"jp jan , wb pearson"
3789,at .,,vi tokmantsev
3790,see,,"j hojo , w nabekura , k kishi , s umenayashi"
3791,pc,,c metz
3792,cochrane database syst,,"sm yong , n dublin , r pickard , dj cody , de neal"
3793,"proceedings of the international conference on information & hellip ; ,",1995.0,"jb baty , rm lee"
3794,"urban geography ,",1994.0,l knopp
3795,"management science ,",2003.0,"wd sine , s shane , d di gregorio"
3796,"proc . spie ,",,d tody
3797,,,b ojjeh
3798,"new directions for teaching and learning ,",1984.0,ld fink
3799,"electronic library ,",2002.0,g kebede
3800,"social studies and the young learner ,",1990.0,ek stuckey
3801,"lecture notes in computer science ,",1997.0,"n chrisochoides , i kodukula , k pingali"
3802,,1996.0,dg kane
3803,"proc . acm sigcomm ,",,"d wetherall , r mahajan , t anderson"
3804,"& hellip ; community studies association meeting , seattle washington & hellip ; ,",,"g lahav , v guiraudon"
3805,"new directions for higher education ,",2000.0,aw chickering
3806,"algebra i logika ,",,ai malâ ?? tsev
3807,"economic geography ,",1997.0,"gl clark , n wrigley"
3808,"comm . acm ,",,"rh bartels , gw stewart"
3809,,,"sj kisner , tm talavage"
3810,"proceedings of acm siggraph 2000 ,",,"k brodlie , s lovegrove , j wood"
3811,,1992.0,fk knight
3812,,,agz kemna
3813,"dibblee geological foundation : santa barbara , california ,",,twj dibblee
3814,"journal of emergency medicine ,",1996.0,"r sheridan , l petra , g basha"
3815,"proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,",1984.0,"ss cosmadakis , pc kanellakis"
3816,"journal of emergency nursing ,",1995.0,"kd hulen , lm beeler"
3817,"unpublished manuscript ,",,"p cobb , e yackel , kpe gravemeijer"
3818,"new directions for teaching and learning ,",2003.0,"rs anderson , jb puckett"
3819,"san diego , usa ,",,"x zhu , cm lewis , mc haley , mb bhatia , s pannuri , s"
3820,"proc . int . conf . adv. tech . polym. ,",,"j endo , j kido , t matsumoto"
3821,"computerworld ,",,l didio
3822,"sigmod record ,",1995.0,"a segev , cs jensen , rt snodgrass"
3823,"acm transactions on design automation of electronic systems ,",1998.0,"jk huggins , d van campenhout"
3824,"cochrane database syst rev ,",2002.0,"s green , r buchbinder , l barnsley , s hall , m white"
3825,"acm transactions on database systems ( tods ) ,",1990.0,g wiederhold
3826,,1966.0,ww welch
3827,,,"f gu , pj jacob , ad ball"
3828,"computerworld ,",,s kolodziej
3829,"the histochemical journal ,",1988.0,"t baba , m takagi , a kagami , h hishikawa , y"
3830,"procs . of fusion ,",,jo ` brien
3831,"proceedings of the eleventh acm international conference on & hellip ; ,",2003.0,"s yonemoto , h nakano , r taniguchi"
3832,submitted for,,"z lu , a hornia , t sukezane , m zhong , t joseph , p"
3833,proc . of the acm sigmod,,grhh samet
3834,"proceedings of acm sigcomm 2001 ,",,"ac snoeren , c partridge , la sanchez , ce jones , f"
3835,,,ars usda
3836,,1991.0,epa swedish
3837,"& hellip ; transport and replica management for high-performance data - & hellip ; ,",2001.0,"b allcock , j bester , j bresnahan , al chervenak , i"
3838,"journal of personality and social psychology ,",,sl bern
3839,"phil . mag ,",,"p rez , cj humphreys"
3840,"new directions for teaching and learning ,",1984.0,sh plum
3841,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,e holzhauer
3842,"acm sigsam bulletin ,",1989.0,"jl roch , p senechaud , f sievert-rich , g villard"
3843,"journal of the acm ( jacm ) ,",1960.0,"ce miller , aw tucker , ra zemlin"
3844,"md ,",,gw thayer
3845,"mit laboratory for computer science , from proceedings of the",,"jl white , n perspective"
3846,"proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0,pmd gray
3847,"new directions for teaching and learning ,",1984.0,mw gregory
3848,"computer networks ,",2003.0,"e cohen , h kaplan"
3849,"proc . vldbâ ?? 01 ,",,"d stephen , k ravi , m kevin , r sridhar , d sivakumar"
3850,,,"s marti , h garcia-molina"
3851,,,w medd
3852,"technical report csl-tr-88-348 , stanford university , stanford ,",,"ra hi , t blank , k choi , sy hwang , a salz , l soule ,"
3853,proc . 28th eur . conf . on opt .,,"n kikuchi , y shibata , h okamoto , y kawaguchi , s"
3854,"proceedings of the first acm international conference on & hellip ; ,",1996.0,d levy
3855,"new directions for teaching and learning ,",1994.0,"la sanchez , tk hight , j gainen"
3856,,,"j vepa , s king , p taylor"
3857,proc . ieee/acm,,"ac parker , jt pizzarro , m mlinar"
3858,"ieee edsoc/asee ee div . '' newsletter '' , spring",,m hagler
3859,"acm tods ,",,h nievergelt
3860,"proc acm sigcomm ,",,"m waldvogel , g varghese , j turnerâ ? ¦"
3861,,,ay zomaya
3862,"new directions for adult and continuing education ,",2002.0,s van stralen
3863,"information and software technology ,",1996.0,rt hughes
3864,i ieee,,"bk bose , pm szczesny"
3865,"information and software technology ,",1987.0,"md brouwer-janse , m grunes"
3866,proc . int . contr .,,"am tehrani , b hassibi , jm cioffi"
3867,,,m callendar
3868,"cochrane database syst review ,",2002.0,"a lipp , p edwards"
3869,submitted for,,js seeley
3870,"the academy of management review ,",1990.0,"b baysinger , re hoskisson"
3871,,1973.0,k henkel
3872,,2001.0,w kou
3873,"acc chem res ,",,"hr kaback , j wu"
3874,"bt technology journal ,",2005.0,"f saffre , c hoile , m shackleton"
3875,"phil . mag ,",,"thk barron , rw munn"
3876,vldb,,r goldman
3877,"ieee computer ,",,cb jones
3878,"proc . int . ornithol . congr ,",,h weimerskirch
3879,"proceedings of acm sigmod conference ,",,"p buneman , s davidson"
3880,"eth , zurich , switzerland ,",,hr ott
3881,"pc magazine ,",,jr neil
3882,"ieee transactions on knowledge and data engineering ,",2004.0,"b liu , s chakrabarti"
3883,"microsoft research technical report msr-tr-2003-54 ,",,"e ringger , m gamon , m smets , s corston-oliver , r"
3884,"acc . chem . res ,",,rb woodward
3885,,,t hobbes
3886,"new directions for teaching and learning . '' motivating & hellip ; ,",,jl bess
3887,,,rh gã 1/4 ting
3888,"ieee transactions on knowledge and data engineering ,",2004.0,"b mortazavi-asl , j wang , h pinto , q chen"
3889,"proceedings of the international conference on management of & hellip ; ,",,"nm delisle , md schwartz"
3890,"phil . mag ,",,zs basinski
3891,"& hellip ; in metal processing , proceedings , 25 th sagamore army & hellip ; ,",1978.0,"cw chang , j szekely , tw eagar"
3892,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"t liu , s nelakuditi"
3893,"& hellip ; der eidergennossischen technischen hochschule , switzerland ,",,mc roco
3894,"proceedings of the 23rd ieee conference on decision and & hellip ; ,",,"h elliott , gc goodwin"
3895,"proc . 28th intern . symp . computer applications in the & hellip ; ,",,a arik
3896,"cochrane database syst rev ,",2003.0,"nv subhedar , nj shaw"
3897,,1995.0,"er long , dd macdonald , sl smith , fd calder"
3898,,,"ft fonseca , mj egenhofer"
3899,,,"a gupta , v sharma"
3900,,1969.0,f vi
3901,"information and software technology ,",1988.0,ms powell
3902,"new directions for program evaluation ( series no. 52 ) , san & hellip ; ,",1992.0,dj rogâ ? ¦
3903,,,md ernst
3904,,1998.0,"rs berns , fh imai , pd burns , dy tzeng"
3905,"lancet i ,",1963.0,"pc fleming , m goldner , dg glass"
3906,"electronic design ,",,l werner
3907,procs forwiss/crim esprit,,jp martens
3908,"unpublished manuscript ,",,"th mccurdy , pk michaud"
3909,"bt technology journal ,",1997.0,n winton
3910,"new directions for program evaluation ,",1993.0,m scriven
3911,,1999.0,en mckay
3912,,,l lamport
3913,"submitted for publication ,",2004.0,e dryden
3914,,2000.0,"mr koblischka , m muralidhar , m murakami"
3915,"papers at ,",,sv sevast ` yanov
3916,"proc . int . conf . sigmod ,",,"p atzeni , g mecca , p merialdo , a masci , g sindoni"
3917,"journal of personality and social psychology ,",1996.0,"fh norris , k kaniasty"
3918,"submitted for publication ,",2003.0,"lv snyder , ms daskin , cp teo"
3919,"proc . lunar planet . sci . conf . 29th . lunar and planetary & hellip ; ,",,"rt pappalardo , jw head , nd sherman , r greeley , rj"
3920,"& hellip ; . seattle , washington : special child publications of the",,"r baldwin , tj kenny"
3921,fakty i,,ss batsanov
3922,,1993.0,gh therkelsen
3923,proc . 6th acm,,o siimueli
3924,"vldb ,",2000.0,s sarawagi
3925,"bt technology journal ,",1998.0,"rj morley , rr knight"
3926,"sigmod record ,",1993.0,d bsrbsr
3927,"electronic markets ,",2002.0,u bertelã ?
3928,"presentedatthe1998politicalmethodologymeeting , san diego ,",,b monroe
3929,acc . chem .,,g edelman
3930,submitted for,,ta budd
3931,"submitted for publication ,",2003.0,"e alwagait , s ghandeharizadeh"
3932,,,"m bunge , a wagner , jr andreesen , u lechner"
3933,"proceedings of the 23rd international cotton conference ,",,gm jividen
3934,"bt technology journal ,",1997.0,ig dufour
3935,,,t kuessner
3936,"md ,",,"kn morris , r shearman"
3937,"the histochemical journal ,",1988.0,"r malmi , ko sã ¶ derstrã ¶ m"
3938,"md ,",,"lag ries , ma smith , jg gurney , m linet , t tamra ,"
3939,"vldb ,",1997.0,"yw huang , n jing , ea rundensteiner"
3940,"electronic production ,",,g diepstraten
3941,"electronic markets ,",1999.0,h werthner
3942,"new directions for higher education ,",1983.0,tj hegarty
3943,"handbook of sensory physiology ,",1973.0,"pr burgess , er perl"
3944,,1957.0,ha simon
3945,,,w davison
3946,"proc . of acm sigmod ,",,"wk michaelkifer , y sagiv"
3947,"proceedings of the daec ( departement d &#39; astrophysique & hellip ; ,",1988.0,"c balkowski , s gordon"
3948,"lecture notes in computer science ,",2004.0,"r szewczyk , j polastre , a mainwaring , d culler"
3949,"new directions for program evaluation ,",,dm fournier
3950,vldb,,y breitbart
3951,"& hellip ; masterâ ?? s thesis , university of zurich , switzerland ,",,t bamert
3952,,1995.0,"m linehan , g tsudik"
3953,"sigmod record-quarterly publication of thespecial interest & hellip ; ,",,"c kuok , a fu"
3954,"pc magazine ,",,k bannon
3955,"new directions for teaching and learning ,",1986.0,nf daly
3956,"proceedings of ecole dâ ?? et ! ee , th ! eeorie et practique des & hellip ; ,",,"r murray , m rathinam , m van nieuwstadt"
3957,"proc . int . ornithol . congr ,",,msw bradstreet
3958,"new directions for adult and continuing education ,",1992.0,"k loughlin , v mott"
3959,,,"s case , n azarmi , m thint"
3960,"approaches to organization design ,",,jq wilson
3961,"proceedings of flins2002belgium : world scientific ,",,"gq chen , p yan , ee kerre"
3962,"radiotekhnika i elektronika ,",1988.0,"va girka , ia girka , an kondratenko , vi tkachenko"
3963,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",,"st leutengger , d dias"
3964,"proc . spie ,",2000.0,"m van uffelen , f berghmans , mc dã © creton , a"
3965,"computer networks ,",2000.0,"t ando , k takahashi , y kato , n shiratori"
3966,,1921.0,lc births
3967,"proceedings-ieee ,",1998.0,"j li , ccj kuo"
3968,,,"r agrawal , j gehrke , d gunopulos , p raghavan"
3969,"ieee transactions on knowledge and data engineering ,",2004.0,"he blok , s choenni , hm blanken"
3970,,1987.0,gk arvind
3971,"san diego : singular ,",,"d jackson-maldonado , e bates , d thal"
3972,"discussiones mathematicae graph theory ,",2002.0,"j ivanco , m meszka , z skupien"
3973,,1996.0,"s lakshaman , s subramanian"
3974,,,"b dom , i eiron , a cozzi , y zhang"
3975,,,"ba nardi , dj schiano , m gumbrecht , l swartz"
3976,,1979.0,ra roesselâ ? ¦
3977,"phil . mag ,",,j washburn
3978,"new york : manpower demonstration research corporation ,",,"h bos , a huston , r granger , g duncan , t brock , v"
3979,,,"o hansen , s fischer , r ramlau"
3980,"new directions for higher education ,",2001.0,sr hatfield
3981,,,t troger
3982,"journal of personality and social psychology ,",1973.0,wb seaver
3983,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,"y nisida , k muro , u kawata"
3984,"new directions for adult and continuing education ,",2000.0,"dt evans , jm hugo"
3985,"proc , vldb con ,",,a shosham
3986,,,h kliebard
3987,"proceedings of the 23rd conference on foundations of & hellip ; ,",,"f ergun , s muthukrishnan , s sc"
3988,,,"ew brown , jp callan , wb croft , jeb moss"
3989,"seminar and demonstration on adaptive antennas and antenna & hellip ; ,",,b johanisson
3990,"bt technology journal ,",2005.0,"m azmoodeh , n georgalas , s fisher"
3991,"history of programming languages ,",1993.0,wa whitaker
3992,"vldb ,",,"eb fernandez , rc summers , t lang"
3993,,1995.0,"a bunde , s havlin"
3994,,,"m porrmann , j landmann , km marks , u rã 1/4 ckert"
3995,"phil . mag. ,",1972.0,"g hibbert , jw edington , db williams , p doig"
3996,"cellular and molecular biology letters ,",1996.0,"m stasiuk , a kozubek"
3997,"vldb ,",1999.0,"pa bernstein , s pal , d shutt"
3998,,2002.0,"a hinneburg , da keim , m wawryniuk"
3999,proceedings of the 23rd annual international symposium on,,"c morin , a geaut , m ban"
4000,"biotechnology , i ,",,j van brunt
4001,"proceedings of the 13th vldb , aug ,",,"u dayal , o nests"
4002,"new directions for higher education ,",1984.0,tj linneyâ ? ¦
4003,proceeding of the 1993 acm sigmod,,ej oã cents
4004,"computerworld ,",,t hoffman
4005,"journal of emergency medicine ,",1994.0,"l vande krol , r wolfe"
4006,"& hellip ; 24th annual international conference of the international & hellip ; ,",,"e amundsen , l bergman"
4007,"proceedings of acm siggraph 2005 ,",2005.0,"d hoiem , aa efros , m hebert"
4008,,1997.0,c visual
4009,"cochrane database syst rev ,",2003.0,"j marjoribanks , ml proctor , c farquhar"
4010,"unpublished manuscript ,",1996.0,"t bedrax-weiss , ak jonsson , ml ginsberg"
4011,vol .,,"cg gray , ke gubbins"
4012,sigmod,,"b babcock , s babu , r motwani , m datar"
4013,"proceedings of acm conference on computer and communications & hellip ; ,",2003.0,"c jin , h wang , k shin"
4014,"bt technology journal ,",1998.0,"aj dickie , jh mackenzie"
4015,"information and software technology ,",,"t mary frances , slp wavefront"
4016,at .,,"ag ivanov , ag fedorenko"
4017,"electronic letters ,",1998.0,d zazula
4018,"proc . acm sigmod/nt/conf . on the management of data , may ,",,j orenstein
4019,"submitted for publication ,",,"j rieskamp , g gigerenzer"
4020,,,"y chen , j edler , a goldberg , a gottlieb , s sobti ,"
4021,"proc . of the 21st intâ ?? l conf . on data engineering ( icde ) ,",2005.0,"a simitsis , p vassiliadis , t sellis"
4022,"academy of management review ,",2000.0,"a cuervo , b villalonga"
4023,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0,"m andersson , am auddino , y dupont , e fontana , m"
4024,,,"m fang , n shivakumar , h garcia-molina , r motwani ,"
4025,"proc . iii int . conf . on vldb ,",,ja bubenko
4026,"cd-rom procs . 16th imacs world congress ,",,"pjf berkvens , ma botchev , jg verwer"
4027,"proceedings of acm sigmod ,",,a szalayâ ? ¦
4028,"acm sigmod record ,",1991.0,"b salzberg , db lomet"
4029,,,"j chen , c chen"
4030,"proceedings of the i mech e part d journal of automobile & hellip ; ,",1997.0,"cw hong , cc chen"
4031,,,"w blume , r doallo , r eigenmann , j grout , j"
4032,"proceedings of the twenty-first annual acm symposium on & hellip ; ,",1989.0,"m fredman , m saks"
4033,"cife , stanford university , stanford , cife , technical report ,",,"a barron , m fischer"
4034,"the histochemical journal ,",1992.0,"h chamberland , jg lafontaine"
4035,,,"g magee , g shanks"
4036,as international conference on technical,,"p werahera , a jayasumana"
4037,"virology-new york - ,",2000.0,m cong
4038,"development and demonstration å ? needs and opportunities ,",,n holt
4039,"journal of emergency medicine ,",1993.0,"rf clark , bs selden , b furbee"
4040,,1997.0,"p adriaans , d zantinge"
4041,"san diego ,",,wak plant
4042,"the academy of management review ,",1990.0,"r reed , rj defillippi"
4043,"lancet i ,",1980.0,"an moshell , jh robbins"
4044,"proc . afips ,",,pj denning
4045,,,ja tauber
4046,"mount lyell remediation research and demonstration program , & hellip ; ,",,"jl stauber , m ahsanullah , b nowak , tm florence"
4047,"study of comets , proceedings of iau colloq . 25 , held in & hellip ; ,",1976.0,"rg roosen , jc brandt"
4048,"new directions for teaching and learning ,",1991.0,aw chickering
4049,"journal of personality and social psychology ,",1988.0,"am isen , te nygren , fg ashby"
4050,"proc . 28th asilomar conf . signals , systems , and",,"pk murthy , ea lee"
4051,"cochrane database syst rev ,",2003.0,"dc mccrory , rn gray"
4052,,,w gaver
4053,"new directions for teaching and learning ,",1997.0,bd hodne
4054,,1993.0,m corres
4055,"genes to cells ,",2002.0,"m yoshikawa , s uchida , j ezaki , t rai , a hayama , k"
4056,"cochrane database syst rev ,",2001.0,"kv soares , jj mcgrath"
4057,"proc . acm siggraphâ ?? 95 ,",,"l mcmillan , g bishop"
4058,"cochrane database syst . rev ,",2005.0,"d roberts , n buckley"
4059,"communications-acm ,",2002.0,d davenport
4060,acm sigplan,,"ja goguen , j meseguer"
4061,"md ,",,gc everstine
4062,,,"eb analysis , r sites"
4063,"environment protection engineering ,",1992.0,"j perkowski , l kos"
4064,"information and software technology ,",1999.0,"h roberts , d bell"
4065,"cochrane database syst rev ,",2000.0,"v shah , a ohlsson"
4066,"vldb ,",2001.0,"a natsev , yc chang , jr smith , cs li , js vitter"
4067,"fed proc ,",1987.0,aa ehsani
4068,"electronic library ,",2000.0,r hanka
4069,"proc . acm sigplan ,",,j reppy
4070,"technical report csl-tr-92-505 , stanford university ,",,"jp singh , c holt , t totsuka , a gupta , jl hennessy"
4071,,,"m nodine , w bohrer , ahh ngu"
4072,,,"s zeghloul , p rambeaud , jp lallemand"
4073,"proc . int . conf . data base management systems ( icmod 78 ) , & hellip ; ,",,th mzrrett
4074,"proceedings of the 23rd nato-ccms international technical & hellip ; ,",,"c borrego , n barros , ai miranda , ac carvalho , mj"
4075,"microsoft programming series ,",1996.0,d rogerson
4076,,2003.0,pmc panczenko
4077,"communications-acm ,",2000.0,"m kremers , h van dissel"
4078,,1993.0,e lorenz
4079,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,t gal-chen
4080,,1973.0,c bard
4081,"journal of personality and social psychology ,",1990.0,"pd trapnell , js wiggins"
4082,,2003.0,"ge suh , d clarke , b gassend , m van dijk , s devadas"
4083,"procs carsâ ?? 03 ,",,"e nkenke , m benz , t maier , m kramer , g hã $ usler , j"
4084,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1971.0,"wc lindsey , jh yuen"
4085,"conf . on management of data , atlantic city , nj , may ,",,"en hanson , m chaabouni , ch kim , yw wang"
4086,,,"ml miller , gj doerr , ij cox"
4087,"new directions for program evaluation ,",1994.0,"ja lam , sw hartwell , jf jekel"
4088,"athens , greece , may ,",,c wayne
4089,"technical university of denmark ,",,g zhou
4090,"computerworld ,",,j king
4091,,1996.0,"a bunde , s havlin"
4092,"international conference on bear research and management ,",,dg kellyhouse
4093,,,"k hahn , b reiner"
4094,"acc . chem . res ,",,"gm whitesides , ee simanek , jp mathias , ct seto"
4095,,2002.0,"m fischer , c kam"
4096,"ieee , proceedings ,",1986.0,b kedem
4097,"information and software technology ,",,"m tjoa , ga katypel"
4098,"the academy of management review ,",1989.0,ke weick
4099,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,"a deutsch , m marcus , l sui , v vianu , d zhou"
4100,,,"g mathur , vn padmanabhan , dr simon"
4101,"aaai workshop on blackboard systems , seattle , washington , & hellip ; ,",,"pm johnson , dd corkhill , kq gallagher"
4102,,,"d micciancio , s vadhan"
4103,"submitted for publication ,",1992.0,ra kelsey
4104,"proceedings of the international conference on very large & hellip ; ,",2003.0,"m vieira , h madeira"
4105,,1974.0,eh mamdani
4106,"& hellip ; institute of justice symposium proceedings ( september 25â ?? & hellip ; ,",,p reuter
4107,"proceedings of the international conference on very large & hellip ; ,",2003.0,"a hulgeri , s sudarshan"
4108,,,"t regan , m czerwinski , b meyers , g smith"
4109,"unpublished manuscript ,",,a rdseth
4110,"proceedings of acm chiâ ?? 97 workshop on ubiquitous computing & hellip ; ,",1997.0,"n adly , p steggles , a harter"
4111,"geography ,",,j salt
4112,"journal of emergency medicine ,",1996.0,"rs hamilton , pt ponsâ ? ¦"
4113,,1994.0,pm lambert
4114,proceedings of acm,,"is mumick , s finkeistein"
4115,"phil . mag ,",,"fa mohamed , tg langdon"
4116,,1992.0,"h chen , vk vasudevan"
4117,"at radecs ,",,"pw marshall , c poivey , cj marshall , ra reed"
4118,,1985.0,c smorynski
4119,,,e gyurkovics
4120,"acm press , new",,"d lomet , g weikum"
4121,"sigmod conference ,",1994.0,"b kroell , p widmayer"
4122,"information and software technology ,",1994.0,pjl wallis
4123,"phil . mag ,",,h kolsky
4124,,,r robinson
4125,,,s kennedy
4126,"proceedings of the 1994 acm conference on computer supported & hellip ; ,",1994.0,"c ellis , j wainer"
4127,,2003.0,k gray
4128,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,"r cordesses , j fournet-fayard , d ramond , b benech"
4129,,,d monetâ ? ¦
4130,"technical report msr-tr-2001-02 , microsoft research , 2001 . http :",,"h attias , jc platt , a acero , l deng"
4131,,,"i smith , r bruce"
4132,"proceedings of the international conference on very large & hellip ; ,",1998.0,"s lakshmi , s zhou"
4133,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"r meier , k nyholm , m kaivola , cg aminoff"
4134,,,"h kakavand , doâ ?? brien , a hassibi , th lee"
4135,"proceedings of the 23rd annual boston university conference & hellip ; ,",,l wagner
4136,"submitted for publication ,",,"po schwartz , m barad , p colella , tj ligocki"
4137,,1998.0,t morzy
4138,"unpublished manuscript ,",,"pa heeman , j allen"
4139,"journal of personality and social psychology ,",1993.0,"st murphy , rb zajonc"
4140,acm sigmod,,"r sommer , t gulledge"
4141,"unpublished manuscript ,",2000.0,"p navarro , j shoemaker"
4142,"computer networks ,",,"mh yaghmaee , m safavi , mb menhaj"
4143,,,", r marciano , r moore"
4144,"directorate of management analysis , procs . 2nd . symposium in & hellip ; ,",,e shell
4145,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"t paraskevi , n klimis , k stefanos"
4146,acm computing surveys,,mj carey
4147,,,"sj greenspan , cl mcgowan , mc shekaran"
4148,"proceedings of inet ,",1996.0,v paxson
4149,"proceedings of the 23rd annual international acm sigir & hellip ; ,",,"s dumain , h chen"
4150,"mit/lcs/tm -373 , laboratory for computer science , massachusetts",,"n lynch , m tuttle"
4151,"proc . acm sigmod symp . on the management of data ,",,"sa ak891 , p kanellakis"
4152,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"s boll , sr ahuja , d friebel , b horowitz , n raman ,"
4153,"proceedings of the ninth acm international conference on & hellip ; ,",2001.0,"r han , cy lin , jr smith , b tseng , v ha"
4154,"proceedings of the international conference on very large & hellip ; ,",2001.0,"s lin , v oria , r ng"
4155,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,"j han , y fu , y huang , y cai , n cercone"
4156,"& hellip ; on radar meteorology , zurich , switzerland , amer . meteor . soc ,",,ar jameson
4157,"cochrane database syst rev ,",2004.0,"d forbes , dg morgan , j bangma , s peacock , n"
4158,,,"k dittrich , d tombros"
4159,"academy of management journal ,",2000.0,"j bae , jj lawler"
4160,"new directions for adult and continuing education ,",1996.0,ad rose
4161,"phil . mag ,",,"j petermann , h gleiter"
4162,"and interpretation . technical report , massachusetts institute of",,"j doyle , i kohane , w long , p szolovits"
4163,,,portal.acm.org
4164,"the histochemical journal ,",1992.0,"u bielefeld , k zierold , kh kã ¶ rtje , w becker"
4165,"journal of personality and social psychology ,",1988.0,md litt
4166,,,s krco
4167,,1959.0,m dalton
4168,"new directions for teaching and learning ,",1989.0,"jd nyquist , rd abbott , dh wulff"
