beer_uid,beer_abv,beer_item,brew_style
3074,5.50 %,West Coast Red ( Oak Aged _ `` Glenlivet Casks ),American Amber / Red Ale
3075,8.50 %,Gentleman Grant ( Manhattan Whiskey Barrels W/Cherries ),American Amber / Red Ale
3076,5.90 %,Moustache Red,American Amber / Red Ale
3077,5.20 %,IPAmber,American Amber / Red Ale
3078,7.50 %,Titanbrau Rossa,American Amber / Red Ale
3079,4.60 %,Unite Red Rye Ale,American Amber / Red Ale
3080,-,Hester,American Amber / Red Ale
3081,6.40 %,Red Setter Retriever,American Amber / Red Ale
3082,6.00 %,NW ( Leaf Raker ) Red,American Amber / Red Ale
3083,5.00 %,Saved By The Belma,American Amber / Red Ale
3084,6.00 %,Ambar Ale,American Amber / Red Ale
3085,5.20 %,I Dream Of Amber,American Amber / Red Ale
3086,-,Twain 's Good N ' Lonesome Toasted Ale,American Amber / Red Ale
3087,5.00 %,LÃ ¨ che-Babines,American Amber / Red Ale
3088,5.50 %,Sweet Amber Ale,American Amber / Red Ale
3089,-,Fenian Red,American Amber / Red Ale
3090,8.00 %,Red 88 Imperial Amber Ale,American Amber / Red Ale
3091,6.00 %,Sombre HÃ © ro,American Amber / Red Ale
3092,6.60 %,Red Eye P.A.,American Amber / Red Ale
3093,6.50 %,BiÃ ¨ re Du Moulin Ambrata,American Amber / Red Ale
3094,5.50 %,Kyo No Kyoto Beer - Amber Ale,American Amber / Red Ale
3095,6.00 %,Werk Force/Burn 'Em Did You Just FahrvergnÃ 1/4 gen ?,American Amber / Red Ale
3096,6.30 %,Highlands Hollow 3 Speed,American Amber / Red Ale
3097,5.20 %,Expansion Amber,American Amber / Red Ale
3098,8.50 %,Imperial Red Ale ( Spring Seasonal ),American Amber / Red Ale
3099,-,Alvarado Ale,American Amber / Red Ale
3100,6.50 %,Loki 's Folly,American Amber / Red Ale
3101,4.30 %,Will 's Fault Wicked Good Beah,American Amber / Red Ale
3102,6.00 %,Danimal,American Amber / Red Ale
3103,-,Robles Roja,American Amber / Red Ale
3104,6.70 %,Red Hawk,American Amber / Red Ale
3105,6.30 %,Fear The Reaper,American Amber / Red Ale
3106,7.00 %,Roby Red Ale,American Amber / Red Ale
3107,7.50 %,Unite,American Amber / Red Ale
3108,8.00 %,Red Hop Love,American Amber / Red Ale
3109,7.60 %,Beer X,American Amber / Red Ale
3110,5.50 %,Bulls Ay ! Ale,American Amber / Red Ale
3111,4.50 %,Belligerent Bloke,American Amber / Red Ale
3112,-,Downeast Engineering Amber,American Amber / Red Ale
3113,8.30 %,Overload Imperial Red,American Amber / Red Ale
3114,5.40 %,Red Dawn,American Amber / Red Ale
3115,5.90 %,Hommeles / De Eem Rat Ale Green Hops,American Amber / Red Ale
3116,-,O2 Ale,American Amber / Red Ale
3117,7.90 %,Hopacolpyse,American Amber / Red Ale
3118,5.50 %,A Face With No Name,American Amber / Red Ale
3119,5.50 %,Flashwood,American Amber / Red Ale
3120,6.00 %,Off The Leash,American Amber / Red Ale
3121,5.30 %,Cooper _ ™ s Copper Ale,American Amber / Red Ale
3122,4.50 %,Brains Open Casket,American Amber / Red Ale
3123,6.80 %,Amber Lushus,American Amber / Red Ale
3124,6.00 %,Sword Fight IRA,American Amber / Red Ale
3125,5.50 %,Mezs ( Forest ),American Amber / Red Ale
3126,8.00 %,Deputation Imperial Red Ale,American Amber / Red Ale
3127,5.40 %,No Grain No Pain,American Amber / Red Ale
3128,5.20 %,James Squires Red Handed Red Ale,American Amber / Red Ale
3129,5.50 %,Axlebox Amber,American Amber / Red Ale
3130,-,Ulysses Imperial Red Ale,American Amber / Red Ale
3131,5.40 %,Waimea Wonders,American Amber / Red Ale
3132,-,Ehret 's Amber Ale,American Amber / Red Ale
3133,-,Quincy Smelter Golden Ale,American Amber / Red Ale
3134,7.40 %,Phobos Single Hop Red Ale,American Amber / Red Ale
3135,-,RB 4:05,American Amber / Red Ale
3136,5.00 %,Wonder Red,American Amber / Red Ale
3137,6.00 %,Jewel Box Bronze,American Amber / Red Ale
3138,8.00 %,Oliver 's Shot Down In Flames,American Amber / Red Ale
3139,-,Honey Amber,American Amber / Red Ale
3140,7.00 %,Hamber,American Amber / Red Ale
3141,-,Nut Bush,American Amber / Red Ale
3142,6.10 %,Anabatic Amber,American Amber / Red Ale
3143,5.70 %,Roadster Red Ale,American Amber / Red Ale
3144,5.00 %,Brutal Brewing Texas State Of Mind Austin Amber,American Amber / Red Ale
3145,5.00 %,Tap Amber,American Amber / Red Ale
3146,-,Monkey Wagon Amber,American Amber / Red Ale
3147,4.20 %,Lady Of The Lake,American Amber / Red Ale
3148,5.60 %,Bone Dog Amber,American Amber / Red Ale
3149,8.50 %,The Walking Red,American Amber / Red Ale
3150,-,The Lab Amber,American Amber / Red Ale
3151,-,Taildragger _ ™ s Tuskegee Red Tail,American Amber / Red Ale
3152,5.30 %,Vetusta,American Amber / Red Ale
3153,6.20 %,Indefinite Noises,American Amber / Red Ale
3154,6.11 %,Valle Del Tafi Roja,American Amber / Red Ale
3155,7.00 %,Rover Imperial Red,American Amber / Red Ale
3156,-,T.N.T. American Amber ESB,American Amber / Red Ale
3157,-,Agnew Amber,American Amber / Red Ale
3158,-,The Other Side Of 80 Collaboration Series : Southside Amber Lager,American Amber / Red Ale
3159,5.20 %,Thunder Canyon Rabbit 's Marana Mild,American Amber / Red Ale
3160,-,Barbe BiÃ ¨ re,American Amber / Red Ale
3161,7.00 %,Bourbon Mash Amber Ale,American Amber / Red Ale
3162,5.50 %,Amber The Enabler,American Amber / Red Ale
3163,4.40 %,Pungo Red Ale,American Amber / Red Ale
3164,6.30 %,Final Frontier Amber,American Amber / Red Ale
3165,4.40 %,Levitation Ale With Hibiscus,American Amber / Red Ale
3166,6.70 %,Brewer 's Reserve Blitzgrieg,American Amber / Red Ale
3167,6.00 %,Ambrio,American Amber / Red Ale
3168,5.30 %,The Fez,American Amber / Red Ale
3169,7.90 %,36 Red,American Amber / Red Ale
3170,8.00 %,Bonehead Red Bourbon Barrel Aged Imperial Red,American Amber / Red Ale
3171,-,Fox River Red,American Amber / Red Ale
3172,5.70 %,Lumberjack Red,American Amber / Red Ale
3173,6.50 %,Red Krush,American Amber / Red Ale
3174,5.60 %,Hanging Rock,American Amber / Red Ale
3175,5.70 %,Rose City Red Ale,American Amber / Red Ale
3176,5.50 %,Electrum Autumn Ale,American Amber / Red Ale
3177,5.00 %,Ciel _ toilÃ ©,American Amber / Red Ale
3178,5.00 %,AAA,American Amber / Red Ale
3179,4.80 %,Rojo Grande,American Amber / Red Ale
3180,6.00 %,The Hoppit Amber Ale,American Amber / Red Ale
3181,-,Tokyo Ale No. 3,American Amber / Red Ale
3182,3.90 %,Ruby Tuesday,American Amber / Red Ale
3183,-,Rock Creek Red,American Amber / Red Ale
3184,-,Rum Raisin,American Amber / Red Ale
3185,7.75 %,Sledgehammer Imperial Red Ale,American Amber / Red Ale
3186,5.30 %,Proxima Centauri,American Amber / Red Ale
3187,5.80 %,Angelic Amber,American Amber / Red Ale
3188,5.20 %,Red Don,American Amber / Red Ale
3189,9.60 %,Electrum ( Apple Brandy Barrel Aged ),American Amber / Red Ale
3190,5.50 %,Freaks Amber,American Amber / Red Ale
3191,7.80 %,Coronado Imperial Red,American Amber / Red Ale
3192,3.20 %,Nan 's Driving,American Amber / Red Ale
3193,5.00 %,Son Pampa,American Amber / Red Ale
3194,-,Uncle Bucks Autumn Amber,American Amber / Red Ale
3195,4.00 %,Spellbound,American Amber / Red Ale
3196,8.10 %,Brew School,American Amber / Red Ale
3197,-,Zingibeer Amber,American Amber / Red Ale
3198,5.10 %,Red 's Dirty Lil ' Ale,American Amber / Red Ale
3199,5.60 %,Steamboat Smoked Ale,American Amber / Red Ale
3200,5.10 %,Here 's Your Damn Amber,American Amber / Red Ale
3201,-,Badger Ale,American Amber / Red Ale
3202,4.70 %,Juniper Red Ale,American Amber / Red Ale
3203,5.10 %,Bunk Off !,American Amber / Red Ale
3204,7.50 %,Dirty Redhead,American Amber / Red Ale
3205,-,Colorado Hoppy Red,American Amber / Red Ale
3206,8.50 %,Biere De Noel,American Amber / Red Ale
3207,5.20 %,Unearthed,American Amber / Red Ale
3208,4.80 %,Galactic Amber Ale,American Amber / Red Ale
3209,6.00 %,Red Headed Step Child,American Amber / Red Ale
3210,4.70 %,Freedom Soho Red,American Amber / Red Ale
3211,6.00 %,Pikkupomo,American Amber / Red Ale
3212,-,My O My Amber Rye,American Amber / Red Ale
3213,5.80 %,Redheaded Step Brewer,American Amber / Red Ale
3214,5.00 %,Celebration Ale # 4 Festbier,American Amber / Red Ale
3215,6.10 %,Uncle Chugga,American Amber / Red Ale
3216,-,Vortex Red,American Amber / Red Ale
3217,5.60 %,Snowy Owl,American Amber / Red Ale
3218,-,Fresh Hop Amber,American Amber / Red Ale
3219,5.80 %,Jacks Or Better,American Amber / Red Ale
3220,-,Amber Block,American Amber / Red Ale
3221,-,FU2 Amber Ale,American Amber / Red Ale
3222,-,George 's Ale,American Amber / Red Ale
3223,5.20 %,La Cotta Rossa,American Amber / Red Ale
3224,-,Lohi Amber,American Amber / Red Ale
3225,8.00 %,Critical Condition,American Amber / Red Ale
3226,5.00 %,SHR American Amber,American Amber / Red Ale
3227,4.50 %,Hop Solo,American Amber / Red Ale
3228,5.00 %,Guato Gato,American Amber / Red Ale
3229,5.80 %,Toyon,American Amber / Red Ale
3230,7.90 %,Blood Of My Enemies,American Amber / Red Ale
3231,5.90 %,Redeye P.A.,American Amber / Red Ale
3232,-,Santa Kisser,American Amber / Red Ale
3233,-,Ascension Amber,American Amber / Red Ale
3234,-,Hill Country Organic Amber,American Amber / Red Ale
3235,5.00 %,Beach House With Pacific Gem,American Amber / Red Ale
3236,4.70 %,Rough Sesh,American Amber / Red Ale
3237,5.80 %,Local 303 Red IPA,American Amber / Red Ale
3238,-,Nipigon,American Amber / Red Ale
3239,5.00 %,Frosty Morning,American Amber / Red Ale
3240,4.60 %,Oakley 's Amber,American Amber / Red Ale
3241,6.00 %,La Belle _ L' _ rable,American Amber / Red Ale
3242,6.60 %,In Amber Clad,American Amber / Red Ale
3243,5.25 %,Velveteen,American Amber / Red Ale
3244,4.50 %,Lil Orphan Amber,American Amber / Red Ale
3245,5.40 %,RED ALE Sow Your Oats,American Amber / Red Ale
3246,-,Buffalo Trace Bourbon Barrel Aged Amber Ale,American Amber / Red Ale
3247,4.30 %,Big ! Red,American Amber / Red Ale
3248,6.80 %,The `` Ginger '' A Red Ale,American Amber / Red Ale
3249,-,Jurassic Duck Amber Ale,American Amber / Red Ale
3250,5.30 %,Firehouse Red,American Amber / Red Ale
3251,7.40 %,Fresh Hop Red,American Amber / Red Ale
3252,9.00 %,Santa 's Sack,American Amber / Red Ale
3253,5.40 %,On The Road Red,American Amber / Red Ale
3254,5.30 %,Gallows Hill Amber Ale,American Amber / Red Ale
3255,5.00 %,Cacao Red,American Amber / Red Ale
3256,5.40 %,The Mighty Wahoo,American Amber / Red Ale
3257,5.00 %,Villa Street,American Amber / Red Ale
3258,5.50 %,Alliance American Amber,American Amber / Red Ale
3259,-,Slippery Slope,American Amber / Red Ale
3260,4.66 %,Red Oat-tober,American Amber / Red Ale
3261,5.20 %,Rupee Red,American Amber / Red Ale
3262,4.80 %,_ rÃ ¸ Red Ale,American Amber / Red Ale
3263,6.00 %,Chillers Revenge,American Amber / Red Ale
3264,5.00 %,Michaels Genuine Home Brew,American Amber / Red Ale
3265,5.10 %,Amber Late Hop,American Amber / Red Ale
3266,5.50 %,Gally Mac Amber,American Amber / Red Ale
3267,5.50 %,Black Rock,American Amber / Red Ale
3268,8.50 %,Man Vs Internet Vs Mothra,American Amber / Red Ale
3269,5.90 %,Main Seidla Amber Spezial,American Amber / Red Ale
3270,4.70 %,Mamies Amber,American Amber / Red Ale
3271,5.40 %,Humpy Humpy Amber Ale,American Amber / Red Ale
3272,6.80 %,Tank 10 Red,American Amber / Red Ale
3273,5.50 %,Compass Rose Amber Ale,American Amber / Red Ale
3274,5.20 %,Canadian Maple,American Amber / Red Ale
3275,10.00 %,Imperial Reggae Red,American Amber / Red Ale
3276,8.30 %,Neil Diamond Cereal,American Amber / Red Ale
3277,5.60 %,Avro Arrow Maple Red Ale,American Amber / Red Ale
3278,5.20 %,Calm It,American Amber / Red Ale
3279,6.20 %,Maple Red,American Amber / Red Ale
3280,5.80 %,A-HOAP Nitro Beluga,American Amber / Red Ale
3281,5.20 %,Pre-prohibition Lager,American Amber / Red Ale
3282,5.40 %,Redfish Ale,American Amber / Red Ale
3283,8.00 %,Balls Of Fire,American Amber / Red Ale
3284,6.00 %,Barrel Aged Table Rock Red,American Amber / Red Ale
3285,5.50 %,Misconception Amber Ale,American Amber / Red Ale
3286,8.50 %,Beachside High Tide,American Amber / Red Ale
3287,5.00 %,Kyoto Craft Hanamachi Amber Ale,American Amber / Red Ale
3288,5.70 %,Roja Red Ale,American Amber / Red Ale
3289,5.70 %,Maple Bacon,American Amber / Red Ale
3290,5.00 %,Kita-Kamakura No Megumi,American Amber / Red Ale
3291,-,Rita Red,American Amber / Red Ale
3292,6.60 %,Lumberjack Red Ale,American Amber / Red Ale
3293,6.00 %,BiÃ ¨ re Du Vercors Rousse,American Amber / Red Ale
3294,5.00 %,Ember Smoked Red Ale,American Amber / Red Ale
3295,5.10 %,City Shuffle,American Amber / Red Ale
3296,6.00 %,Rough Swan,American Amber / Red Ale
3297,6.30 %,To The Head Red,American Amber / Red Ale
3298,5.20 %,Amberosia,American Amber / Red Ale
3299,5.50 %,Athens 1815 Amber,American Amber / Red Ale
3300,7.00 %,Brett Red,American Amber / Red Ale
3301,7.00 %,Lone Ranger Red,American Amber / Red Ale
3302,5.50 %,Alamo Amber Lager,American Amber / Red Ale
3303,5.00 %,Hector 's Bell Amber Ale,American Amber / Red Ale
3304,-,Rosso,American Amber / Red Ale
3305,9.10 %,Barrel Aged Melisandre,American Amber / Red Ale
3306,5.60 %,Gambler Amber,American Amber / Red Ale
3307,6.50 %,Grandma 's Cookies,American Amber / Red Ale
3308,8.00 %,Lake Effect Aged Red,American Amber / Red Ale
3309,4.50 %,Aqula American Amber Ale,American Amber / Red Ale
3310,6.00 %,Crin Blanc,American Amber / Red Ale
3311,7.00 %,Bacon Chili Jam,American Amber / Red Ale
3312,6.00 %,Gaddy 's Irish Red,American Amber / Red Ale
3313,5.30 %,Akinaga Red IPA,American Amber / Red Ale
3314,-,Pole Axe,American Amber / Red Ale
3315,6.50 %,Fadeaway Amber Ale,American Amber / Red Ale
3316,-,Beaubien 's Ribbon Farm,American Amber / Red Ale
3317,4.50 %,New Olde Horny Brew,American Amber / Red Ale
3318,5.10 %,Penny For Your Thoughts Copper Ale,American Amber / Red Ale
3319,5.90 %,Teton Tart Red Ale,American Amber / Red Ale
3320,8.50 %,Brush Fire Bourbon And Cabernet Barrel Blend,American Amber / Red Ale
3321,6.50 %,Swirvalicious Double Red Ale,American Amber / Red Ale
3322,-,Coyote Spirit,American Amber / Red Ale
3323,5.10 %,NW Amber Ale,American Amber / Red Ale
3324,-,Double Buffalo On Maple,American Amber / Red Ale
3325,8.80 %,Roundabout Imperial Red Ale,American Amber / Red Ale
3326,7.50 %,Wreck Yo Self,American Amber / Red Ale
3327,5.80 %,Road To The Abbey,American Amber / Red Ale
3328,4.00 %,Shooting Star Amber Ale,American Amber / Red Ale
3329,5.80 %,Daywalker,American Amber / Red Ale
3330,5.00 %,Dry-Hopped Red Ale,American Amber / Red Ale
3331,7.40 %,Revenge,American Amber / Red Ale
3332,-,Steppin ' Out Ale,American Amber / Red Ale
3333,8.00 %,Kracken Amber Ale,American Amber / Red Ale
3334,5.90 %,Hoppy Hour Amber,American Amber / Red Ale
3335,-,Big Al 's Amber,American Amber / Red Ale
3336,5.00 %,Cherry Queen Amber Ale,American Amber / Red Ale
3337,5.10 %,Flying Squirrel Ale,American Amber / Red Ale
3338,-,Rust Ale,American Amber / Red Ale
3339,5.50 %,Burial At Sea,American Amber / Red Ale
3340,3.00 %,Aman 's Amber Ale,American Amber / Red Ale
3341,5.50 %,Campfire Lager,American Amber / Red Ale
3342,5.50 %,Noeul Red Rye ( Sunset ),American Amber / Red Ale
3343,4.60 %,Statler Amber Ale,American Amber / Red Ale
3344,5.20 %,Perle Des _ les,American Amber / Red Ale
3345,7.00 %,Hoku'ula Red,American Amber / Red Ale
3346,6.20 %,Redlands 125th Anniversary Red Ale,American Amber / Red Ale
3347,5.50 %,Raspberry Red Ale,American Amber / Red Ale
3348,5.00 %,Apple Spice Amber,American Amber / Red Ale
3349,9.90 %,Danske Squared,American Amber / Red Ale
3350,4.30 %,Session Amber,American Amber / Red Ale
3351,5.30 %,Arrr Amber,American Amber / Red Ale
3352,5.60 %,Sly Amber,American Amber / Red Ale
3353,6.50 %,Wrenclaw,American Amber / Red Ale
3354,-,Ruby Knot Red,American Amber / Red Ale
3355,6.30 %,Moose Hide Amber,American Amber / Red Ale
3356,5.50 %,311 Amber Ale,American Amber / Red Ale
3357,6.20 %,16 | 01 Red Ale ( Galena & Bramling ),American Amber / Red Ale
3358,4.50 %,Shady Lane Amber,American Amber / Red Ale
3359,6.40 %,Match The Drapes Amber,American Amber / Red Ale
3360,7.10 %,Red Hammer Ale,American Amber / Red Ale
3361,8.50 %,Double Pagoda Pit Road Red,American Amber / Red Ale
3362,-,Indian Summer,American Amber / Red Ale
3363,5.60 %,Metro Gnome,American Amber / Red Ale
3364,5.20 %,Red Ale Com Beterraba,American Amber / Red Ale
3365,-,The Nuts,American Amber / Red Ale
3366,5.50 %,Resurrection Red,American Amber / Red Ale
3367,6.50 %,Fred 's Raging Red,American Amber / Red Ale
3368,6.30 %,Spring Fling,American Amber / Red Ale
3369,6.40 %,Koji Red Ale,American Amber / Red Ale
3370,5.00 %,Clef Des Champs,American Amber / Red Ale
3371,6.40 %,Ringwood Red,American Amber / Red Ale
3372,5.70 %,Red Toad Amber Ale,American Amber / Red Ale
3373,5.00 %,Barbe Torte,American Amber / Red Ale
3374,6.20 %,Fresh Hopped Amber Ale,American Amber / Red Ale
3375,5.80 %,Burdock Ale,American Amber / Red Ale
3376,7.00 %,Zeelander Red,American Amber / Red Ale
3377,6.10 %,Moore Hops Please,American Amber / Red Ale
3378,4.20 %,Brett Trois Red Rye ISA,American Amber / Red Ale
3379,5.00 %,La Bourbon Rousse,American Amber / Red Ale
3380,6.50 %,Pilot Batch WhereHouse,American Amber / Red Ale
3381,4.90 %,Willoughby American Amber Ale,American Amber / Red Ale
3382,5.50 %,Red Earl Ruby Ale,American Amber / Red Ale
3383,6.00 %,HOPe Bohemic,American Amber / Red Ale
3384,5.60 %,Dock Start Amber Ale,American Amber / Red Ale
3385,6.10 %,Wet Hop Prohibition,American Amber / Red Ale
3386,-,The Blind Eye,American Amber / Red Ale
3387,6.00 %,Brewer 's Reserve Oreti Red,American Amber / Red Ale
3388,7.00 %,Stone Liberty Station Outbreak Series : Red Ale,American Amber / Red Ale
3389,8.60 %,Big Red Oak,American Amber / Red Ale
3390,5.20 %,First Responder Red,American Amber / Red Ale
3391,6.00 %,Red Ai n't Dead,American Amber / Red Ale
3392,-,Aguila Del Sur Rubia,American Amber / Red Ale
3393,-,Jessica Rabbit Red Ale,American Amber / Red Ale
3394,7.00 %,Batch # 0055 - Imperial Amber,American Amber / Red Ale
3395,8.00 %,Scarlet Street,American Amber / Red Ale
3396,4.80 %,Calvinus Amber,American Amber / Red Ale
3397,-,BarbaRoja Floral,American Amber / Red Ale
3398,6.30 %,Nightmare Canyon,American Amber / Red Ale
3399,6.60 %,Zombie Dog,American Amber / Red Ale
3400,5.20 %,S.M.R.T. Amber,American Amber / Red Ale
3401,6.40 %,Fluck 's Incapacitor,American Amber / Red Ale
3402,7.60 %,Red Shedman 's Imperial Amber Ale,American Amber / Red Ale
3403,5.80 %,Bridalveil Amber Ale,American Amber / Red Ale
3404,5.60 %,Pacific At Sunset,American Amber / Red Ale
3405,5.50 %,Brock Street Irish Red,American Amber / Red Ale
3406,6.00 %,Deva Amber,American Amber / Red Ale
3407,5.60 %,Boreal Amber,American Amber / Red Ale
3408,10.00 %,King Coco,American Amber / Red Ale
3409,5.20 %,Willamette Valley,American Amber / Red Ale
3410,7.70 %,Trebek _ ™ s ` Stache Imperial Red,American Amber / Red Ale
3411,5.70 %,Albemarle Amber Ale,American Amber / Red Ale
3412,6.50 %,On Wisconsin Red Ale,American Amber / Red Ale
3413,5.70 %,Catch Me If You Can,American Amber / Red Ale
3414,4.00 %,N.F. ALe,American Amber / Red Ale
3415,7.50 %,Slater The Traitor,American Amber / Red Ale
3416,5.20 %,Spring Amber Ale,American Amber / Red Ale
3417,6.50 %,Pizza Orgasmica Amber Ale,American Amber / Red Ale
3418,5.50 %,Butternut Squash Molasses Amber,American Amber / Red Ale
3419,5.80 %,Lillie 's `` Q '' Hog-Tied Amber Ale,American Amber / Red Ale
3420,5.50 %,Schultenbrau Amber,American Amber / Red Ale
3421,5.70 %,Snipe Hunter Amber,American Amber / Red Ale
3422,-,Hangover Rasta,American Amber / Red Ale
3423,3.90 %,Fire On High,American Amber / Red Ale
3424,-,Leinenkugel 's Auburn Ale,American Amber / Red Ale
3425,7.10 %,King Of Hearts Imperial Red,American Amber / Red Ale
3426,4.70 %,Rav,American Amber / Red Ale
3427,7.30 %,New Oak Red Rocket,American Amber / Red Ale
3428,-,Red Shoe Ale,American Amber / Red Ale
3429,3.90 %,Aurora,American Amber / Red Ale
3430,6.20 %,Tangle Foot Red,American Amber / Red Ale
3431,7.00 %,Nog,American Amber / Red Ale
3432,5.40 %,Hopped Amber,American Amber / Red Ale
3433,8.00 %,Dr. Rudi Es Muy Caliente,American Amber / Red Ale
3434,-,Smoken Bones Amber Ale,American Amber / Red Ale
3435,6.00 %,Ribe JubilÃ ¦ ums Ale,American Amber / Red Ale
3436,-,Howie 's Red Ale,American Amber / Red Ale
3437,6.20 %,Whiskey Barrel Chopper 's,American Amber / Red Ale
3438,4.30 %,Kukko Ale,American Amber / Red Ale
3439,6.60 %,Inoki,American Amber / Red Ale
3440,5.70 %,Apricadamnbeer,American Amber / Red Ale
3441,5.50 %,Deliberation Amber ( Dry-Hopped With Cascade ),American Amber / Red Ale
3442,5.40 %,Hurricane Hole Red,American Amber / Red Ale
3443,5.00 %,Jazz Oak,American Amber / Red Ale
3444,5.30 %,Cheddar Ales / Wiper And True - Amber Ale In The Pines,American Amber / Red Ale
3445,5.00 %,Winter Seasonal Amber Ale,American Amber / Red Ale
3446,6.00 %,Mighty Fine,American Amber / Red Ale
3447,5.00 %,Copper Feel,American Amber / Red Ale
3448,5.20 %,Far West Red Wine Ale,American Amber / Red Ale
3449,5.30 %,J-Valve Amber Ale,American Amber / Red Ale
3450,6.50 %,Devil 's Copper,American Amber / Red Ale
3451,6.50 %,Hit Me American Red,American Amber / Red Ale
3452,7.00 %,Rhumantony,American Amber / Red Ale
3453,6.00 %,TXELL ( Cerveceria Freiburg Own Brand ),American Amber / Red Ale
3454,6.10 %,Blood Moon,American Amber / Red Ale
3455,8.00 %,Abandoned Planet,American Amber / Red Ale
3456,7.00 %,Evil Red,American Amber / Red Ale
3457,7.10 %,Ass Clown Salted Ginger Black Sour,American Amber / Red Ale
3458,4.80 %,Fox Tail Red Ale,American Amber / Red Ale
3459,5.60 %,Colonnel Salaberry,American Amber / Red Ale
3460,4.25 %,Starshine Ginger Bier,American Amber / Red Ale
3461,6.50 %,Hollbeer BiÃ © re De Printemps,American Amber / Red Ale
3462,4.80 %,McGuffin Amber Ale,American Amber / Red Ale
3463,8.50 %,Fire Mouth,American Amber / Red Ale
3464,4.80 %,Shrunken Head Red,American Amber / Red Ale
3465,-,Amber Mess,American Amber / Red Ale
3466,6.30 %,Little Egypt Red,American Amber / Red Ale
3467,6.00 %,Row Rye Red,American Amber / Red Ale
3468,10.00 %,Red RYEding Hood,American Amber / Red Ale
3469,6.00 %,Le Bec SucrÃ © e,American Amber / Red Ale
3470,4.50 %,Amber Ale-rt,American Amber / Red Ale
3471,5.00 %,X_biga,American Amber / Red Ale
3472,6.50 %,Bastone Rare Wolf,American Amber / Red Ale
3473,5.00 %,Genesis Red Ale,American Amber / Red Ale
3474,6.80 %,Daylight Amber Chipotle Pepper,American Amber / Red Ale
3475,8.20 %,Cherry Pippin,American Amber / Red Ale
