acm_dblp_id,pub_location,study_title,yr
493,sigmod conference,integrating replacement policies in storm : an extensible approach,2000
494,sigmod conference,high availability of commercial applications,1995
495,vldb,modeling design versions,1996
496,sigmod conference,"high-dimensional index structures , database support for next decade 's applications ( tutorial )",1998
497,sigmod conference,lockx : a system for efficiently querying secure xml,2003
498,sigmod record,david dewitt speaks out,2002
499,sigmod conference,oracle rdb 's record caching model,1998
500,sigmod conference,a super scalar sort algorithm for risc processors,1996
501,acm trans . database syst .,fast algorithms for universal quantification in large databases,1995
502,sigmod record,chair 's message,1999
503,vldb,are web services the next revolution in e-commerce ? ( panel ),2001
504,vldb,decision tables : scalable classification exploring rdbms capabilities,2000
505,sigmod conference,reusing invariants : a new strategy for correlated queries,1998
506,vldb,telcordia 's database reconciliation and data quality analysis tool,2000
507,vldb,groupwise processing of relational queries,1997
508,vldb j.,anatomy of a native xml base management system,2002
509,sigmod conference,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,2000
510,vldb j.,objectglobe : ubiquitous query processing on the internet,2001
511,sigmod record,beyond document similarity : understanding value-based search and browsing technologies,2000
512,sigmod conference,the mentor workbench for enterprise-wide workflow management,1997
513,sigmod conference,the effectiveness of gloss for the text database discovery problem,1994
514,vldb,technology and the future of commerce and finance ( abstract ),1998
515,vldb,using probabilistic information in data integration,1997
516,sigmod conference,compressing sql workloads,2002
517,vldb,coarse-grained optimization : techniques for rewriting sql statement sequences,2003
518,vldb j.,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,1998
519,sigmod record,report on the nsf workshop on building an infrastructure for mobile and wireless systems,2002
520,sigmod conference,are we working on the right problems ? ( panel ),1998
521,vldb,"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword",2000
522,acm trans . database syst .,understanding the global semantics of referential actions using logic rules,2002
