beer_ref,producer_name,beer_nm,beer_style,alc_vol
2063,Mean Max Brew Works,Artist Rock,American Amber / Red Ale,6.30 %
2064,The Revolutions Brewing Company,Devolution,American Amber / Red Ale,4.50 %
2065,Pacific Brewing And Malting Company,Red Front Amber,American Amber / Red Ale,5.20 %
2066,Ellicottville Brewing Co. .,EVL Amber Ale,American Amber / Red Ale,5.20 %
2067,Intuition Ale Works,Redman,American Amber / Red Ale,5.00 %
2068,Rock Bottom Restaurant & Brewery,Heartland Red,American Amber / Red Ale,5.20 %
2069,Rising Sons,Steeple Hemp Amber Ale,American Amber / Red Ale,4.50 %
2070,Rocky Mountain Brewing,Spirit Hill Amber,American Amber / Red Ale,-
2071,The Brewer 's Cabinet,Arlington Amber Ale,American Amber / Red Ale,6.40 %
2072,Rhinelander Brewing Company,Bad Hare Red Ale,American Amber / Red Ale,5.50 %
2073,Imperial Oak Brewing,Roil Red Eye,American Amber / Red Ale,5.50 %
2074,Rock Bottom Restaurant & Brewery,Mud In Your Eye Red,American Amber / Red Ale,4.80 %
2075,Lone Tree Brewing Company,Suburbia Amber Ale,American Amber / Red Ale,5.50 %
2076,Slow Boat Brewery Taproom,Knot 51 Red Ale,American Amber / Red Ale,5.00 %
2077,Rock Bottom Restaurant & Brewery,Mary Jane Amber Ale,American Amber / Red Ale,-
2078,Tequesta Brewing Company,Hoppy Amber,American Amber / Red Ale,-
2079,Sly Fox Brewing Company,Blob Ale,American Amber / Red Ale,8.00 %
2080,Big Axe Brewing Company,Big Axe Amber Ale,American Amber / Red Ale,5.00 %
2081,Oakland Brewing Company,Fly Trap,American Amber / Red Ale,6.10 %
2082,Redwood Lodge,C N Red Imperial Red Ale,American Amber / Red Ale,8.10 %
2083,Suomenlinnan Panimo Sveaborgs Bryggeri,Coyet Ale,American Amber / Red Ale,4.50 %
2084,51 North Brewing Company,Pecan Turtle Truffle,American Amber / Red Ale,-
2085,Joseph James Brewing Inc. .,Backyard Brew Pub Rocking Red Chair,American Amber / Red Ale,-
2086,Roosterfish Brewing Co. .,Old Cascade Amber Ale,American Amber / Red Ale,5.50 %
2087,Secret Engine Brewing,Das Saftige,American Amber / Red Ale,6.20 %
2088,Three Rivers Eatery And Brewhouse,Arroyo Amber Ale,American Amber / Red Ale,5.00 %
2089,Three Palms Brewing Co. .,Single Hop # 3 Amber Ale W / Citra,American Amber / Red Ale,6.80 %
2090,Forked River Brewing Company,Red Coat Canadian Red Ale,American Amber / Red Ale,6.20 %
2091,Left Coast Brewing Company,Coral Reef,American Amber / Red Ale,10.80 %
2092,Fieldwork Brewing Co. .,Delta,American Amber / Red Ale,6.70 %
2093,Brasseurs IllimitÃ © s,Brasseurs IllimitÃ © s Patriote Rousse,American Amber / Red Ale,4.90 %
2094,Only Child Brewing Company,Sweet Tooth,American Amber / Red Ale,8.30 %
2095,Shoreline Brewery And Restaurant,Region Rat Red Ale,American Amber / Red Ale,-
2096,Newport Beach Brewing Company,Double Dry Hopped Boneyard Red Ale,American Amber / Red Ale,-
2097,Florida Avenue Brewing Co. .,Amber Jack,American Amber / Red Ale,-
2098,Blue Corn Brewery,Columbus,American Amber / Red Ale,6.20 %
2099,Suds Brothers Brewery,Monkeys Butt Amber Ale,American Amber / Red Ale,-
2100,Bin Brewing,Saskale,American Amber / Red Ale,-
2101,Mad Beach Craft Brewing Company,#amberAle,American Amber / Red Ale,4.70 %
2102,The Brew Brothers,Copperopolis,American Amber / Red Ale,-
2103,Equinox Brewing Company,Red Dwarf,American Amber / Red Ale,5.60 %
2104,Brasserie Des Rateliers,Bell ' De Loing Ambree,American Amber / Red Ale,6.50 %
2105,Mu Brewery,R & R Raspberry Red,American Amber / Red Ale,7.10 %
2106,Sierra Nevada Brewing Co. .,Love At First Bike,American Amber / Red Ale,5.70 %
2107,Harmony Brewing Company,Jackson 's Joy,American Amber / Red Ale,8.10 %
2108,Maltus Faber,Ambrata,American Amber / Red Ale,7.00 %
2109,Keuka Brewing Company,Old Urbana Imperial Amber Rye,American Amber / Red Ale,9.60 %
2110,WeldWerks Brewing Co. .,WeldWerks Red,American Amber / Red Ale,5.80 %
2111,Bare Hands Brewery,Nugget Amber,American Amber / Red Ale,6.30 %
2112,Plattsburgh Brewing Company,Spitfire Red Ale,American Amber / Red Ale,-
2113,Pizza Port Solana Beach,SC Chronic,American Amber / Red Ale,5.30 %
2114,Big Rock Brewery,The Rock Rock Steady Red,American Amber / Red Ale,5.00 %
2115,Tommyknocker Brewery,Mountain City Amber Ale,American Amber / Red Ale,5.40 %
2116,Lovibonds Brewery Ltd,Henley Amber,American Amber / Red Ale,3.40 %
2117,Rockaway Brewing Company,Double Curiosity,American Amber / Red Ale,9.50 %
2118,Hog Haus Brewing Company,Ruby Red Ale,American Amber / Red Ale,5.00 %
2119,AleSmith Brewing Company,Yulesmith Summer ( Cask ),American Amber / Red Ale,8.50 %
2120,Jack Black Beer,Lumberjack Amber Ale,American Amber / Red Ale,6.00 %
2121,Five Islands Brewing Company,Rust,American Amber / Red Ale,5.30 %
2122,Rivertowne Pourhouse,Sergent Fury 's Red Ale,American Amber / Red Ale,5.70 %
2123,Southern Pines Brewing Company,The Pilgrim,American Amber / Red Ale,5.30 %
2124,Fusion Brewing,Prime Ale,American Amber / Red Ale,4.90 %
2125,Narrows Brewing Co. .,Channary Imperial Red Ale,American Amber / Red Ale,9.40 %
2126,Blackfoot River Brewing Company,Blackfoot Amber Ale,American Amber / Red Ale,6.10 %
2127,Von Jakob Brewery,Von Jakob Red Ale,American Amber / Red Ale,-
2128,Cornerstone Brewing Company,Patriot Red,American Amber / Red Ale,5.60 %
2129,August Schell Brewing Company,CRAVE Signature Amber,American Amber / Red Ale,-
2130,Blue Mountain Brewery,PR Job,American Amber / Red Ale,5.60 %
2131,BiÃ ¨ res De Saint-Louis,AmbrÃ © e-BiÃ ¨ re De Saint Louis,American Amber / Red Ale,5.80 %
2132,Reel Deel Brewery,Irish Blonde,American Amber / Red Ale,4.50 %
2133,The Cannon Brewpub,Full Metal Jacket,American Amber / Red Ale,8.00 %
2134,Draught Works,Shadow Caster,American Amber / Red Ale,-
2135,Former Future Brewing Company,Second Story,American Amber / Red Ale,4.70 %
2136,Ferme Brasserie Schoune,Wallonia,American Amber / Red Ale,5.00 %
2137,La Tour A BiÃ ¨ res,La Victor,American Amber / Red Ale,7.00 %
2138,Yeastie Boys,Divine Hammer,American Amber / Red Ale,6.20 %
2139,Les Brasseurs Du Sornin,Sornin,American Amber / Red Ale,5.90 %
2140,Swamp Head Brewery,Lost In Time Amber Ale,American Amber / Red Ale,5.80 %
2141,Brand Bierbrouwerij,Newcastle Vikings,American Amber / Red Ale,-
2142,Dragoon Brewing Co. .,B.A.D. Amber,American Amber / Red Ale,6.50 %
2143,Founders Brewery,1903 Red Ale,American Amber / Red Ale,-
2144,Cheboygan Brewing Company,Red Sail Ale,American Amber / Red Ale,4.50 %
2145,William Street Beer Co. .,Red Sky Amber Ale,American Amber / Red Ale,5.00 %
2146,Le Trou Du Diable,DÃ © sinvolte,American Amber / Red Ale,5.00 %
2147,Pitchfork Brewing,Cranberry Cheer Amber,American Amber / Red Ale,6.00 %
2148,Pinglehead Brewing Co. / Brewer 's Pizza,Panama,American Amber / Red Ale,5.60 %
2149,Brasserie Artisanale La Fabrique,Salamagone,American Amber / Red Ale,4.80 %
2150,Small Batch Beer Co. .,Player To Be Named Later,American Amber / Red Ale,4.10 %
2151,Birrificio Barley,Macca Meda,American Amber / Red Ale,7.80 %
2152,Back Street Brewery,Rita Red Ale,American Amber / Red Ale,-
2153,Microbrasserie Universitaire Brassta,Rousse Et Or,American Amber / Red Ale,6.50 %
2154,Arcadia Brewing Company,Panama Red,American Amber / Red Ale,7.80 %
2155,Funky Buddha Brewery,Clifford 's Big Red Ale,American Amber / Red Ale,9.70 %
2156,Wiley Roots Brewing Co,Red Dirt Imperial Red Ale,American Amber / Red Ale,8.20 %
2157,Columbia Kettle Works,Double Bald Guy,American Amber / Red Ale,8.50 %
2158,Minhas Craft Brewery,Lazy Mutt Alberta Red Ale,American Amber / Red Ale,5.50 %
2159,Twin Peaks Brewing & Malting Co. .,Ride The Hoh Red Ale,American Amber / Red Ale,-
2160,8th Wonder Brewery,Coffee Mocha Feight,American Amber / Red Ale,5.20 %
2161,Mackinaw Trail Brewing Company,Bear Creek Amber,American Amber / Red Ale,-
2162,New Glory Craft Brewery,Rapid Fire Red Ale,American Amber / Red Ale,5.90 %
2163,I & I Brewing,Bitter Orange Blossom,American Amber / Red Ale,5.30 %
2164,Lancaster Brewing Company,Carl 's Ale,American Amber / Red Ale,5.00 %
2165,Loch Lomond Brewery,Ale Of Leven,American Amber / Red Ale,4.50 %
2166,Maku Brewing,Maku Amber Ale,American Amber / Red Ale,4.50 %
2167,Isle Of Mull Brewing Co. Ltd. .,Red Monk Of Iona,American Amber / Red Ale,4.20 %
2168,Fiddlehead Brewing Company,RubyClaire,American Amber / Red Ale,-
2169,Urban Chestnut Brewing Company - Grove Brewery & Bierhall,Winged Nut Chestnut Ale,American Amber / Red Ale,5.40 %
2170,Bryggeriet Skands,_ rsted Gold,American Amber / Red Ale,5.50 %
2171,Multi-Brasses,Buck Rousse,American Amber / Red Ale,5.00 %
2172,Mahogany Ridge Brewery & Grill,Alpenglow,American Amber / Red Ale,-
2173,Green Room Brewing,Ravenous Red,American Amber / Red Ale,4.90 %
2174,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,Holgate Brewhouse / NÃ ¸ gne _ Half A World Away,American Amber / Red Ale,9.00 %
2175,Mountain Town Station Brewing Co. & Steakhouse,Cow Catcher Red,American Amber / Red Ale,-
2176,Clear Creek Brewing Company,Absaroka Ale,American Amber / Red Ale,6.50 %
2177,Ice Harbor Brewing Company,Fresh Hop Double Red,American Amber / Red Ale,7.10 %
2178,Columbia Valley Brewing,Liberator Amber,American Amber / Red Ale,5.80 %
2179,Naked Dove Brewing Company,The Office Uptown Golden Ale,American Amber / Red Ale,9.06 %
2180,Firehouse Brewing Co. .,Smokin ' Betty,American Amber / Red Ale,4.80 %
2181,BJ 's Chicago Pizza & Brewery Inc. .,Goliath,American Amber / Red Ale,5.20 %
2182,Whitehorse Brewing LLC,REBELLION RED,American Amber / Red Ale,9.00 %
2183,Brothers Craft Brewing,Great Outdoors VA Ale,American Amber / Red Ale,5.40 %
2184,Bushnell Craft Brewing Company,Bofuss,American Amber / Red Ale,4.80 %
2185,CervecerÃa Wendlandt,Wendlandt Harry Polanco Red Ale,American Amber / Red Ale,5.70 %
2186,Fannin Brewing Company,Hiawassee Golden Ale,American Amber / Red Ale,5.40 %
2187,Maui Brewing Co. .,Hole In The Head Red,American Amber / Red Ale,5.40 %
2188,Ferme Brasserie Schoune,Alsacienne Pale Ale,American Amber / Red Ale,5.80 %
2189,Bieszczadzka WytwÃ ³ rnia Piwa Ursa Maior,URSA _ nieg Na Beniowej,American Amber / Red Ale,-
2190,5 Seasons Westside,Fat Lip Amber,American Amber / Red Ale,4.20 %
2191,The Wrecking Bar Brewpub,Red Monkey _ œAmber IPA _,American Amber / Red Ale,-
2192,Poor House Brewing Company,Bat Out Of Hell Red Ale,American Amber / Red Ale,5.00 %
2193,Great Waters Brewing,Killybegs Amber Ale,American Amber / Red Ale,6.60 %
2194,Four Sons Brewing,Four Horsemen,American Amber / Red Ale,-
2195,Back Alley Brewery,Fire Hydrant Red Ale,American Amber / Red Ale,5.80 %
2196,Service Brewing Company,Matt Hebermehl Amber Ale,American Amber / Red Ale,4.50 %
2197,Atom Beers,Rare Earth,American Amber / Red Ale,5.50 %
2198,Milwaukee Ale House,Scooter Ale,American Amber / Red Ale,5.40 %
2199,Otto 's Pub and Brewery,Bacchus,American Amber / Red Ale,8.80 %
2200,Reads Landing Brewing Company,Cap'n Amber,American Amber / Red Ale,-
2201,McMenamins Six Arms,Monkey Wrench,American Amber / Red Ale,-
2202,Carlow Brewing Company,Foreign Affair,American Amber / Red Ale,4.80 %
2203,Tapistry Brewing,Amber Cadabra,American Amber / Red Ale,4.80 %
2204,Flycaster Brewing Company,Yakima River Red,American Amber / Red Ale,6.00 %
2205,Wiseacre Brewing,Tanooki Suit,American Amber / Red Ale,4.80 %
2206,Birra dell ` Eremo,Magnifica,American Amber / Red Ale,5.50 %
2207,1702 / The Address Brewing Co. .,Red Sky,American Amber / Red Ale,7.50 %
2208,Raleigh Brewing Company,Stormy Wolf,American Amber / Red Ale,6.00 %
2209,Greenpoint Beerworks / Kelso of Brooklyn,Port Chester Red Ale,American Amber / Red Ale,5.50 %
2210,Brasserie Britt de Bretagne,Chat-Malo,American Amber / Red Ale,5.40 %
2211,Cerveza Caleya,Caleya Mayuca Amber,American Amber / Red Ale,5.70 %
2212,Burley Oak Brewery,Dat Base,American Amber / Red Ale,11.00 %
2213,Out of Bounds Brewing Company,Relentless Red,American Amber / Red Ale,9.00 %
2214,ShuBrew,Heart & Sole,American Amber / Red Ale,-
2215,300 Suns Brewing,Rabbit Mountain Red Ale,American Amber / Red Ale,6.80 %
2216,The Brew Kettle Taproom & Smokehouse / Production Works,Imperial Gargoyle Ale,American Amber / Red Ale,8.00 %
2217,Cigar City Brewing,Peach Chipotle Red Ale,American Amber / Red Ale,7.50 %
2218,Cervejaria Urbana,Mad Beaver,American Amber / Red Ale,6.00 %
2219,Duck Foot Brewing Co. .,The Duck Foot Red,American Amber / Red Ale,6.00 %
2220,The Blue Elephant Craft Brew House,Red Devil,American Amber / Red Ale,5.10 %
2221,Boston Beer Works - Canal Street,Amber Chai,American Amber / Red Ale,6.00 %
2222,Deschutes Brewery,Amber Dawn,American Amber / Red Ale,4.90 %
2223,Fall Brewing Company,Unicorn Stampede,American Amber / Red Ale,6.60 %
2224,Seven Arrows Brewing Company,Maelstrom Red,American Amber / Red Ale,6.10 %
2225,Heartly Craft Brewery,Lucky Rhino Amber,American Amber / Red Ale,5.50 %
2226,Brock Street Brewing Company,Brock Street Traditional Red,American Amber / Red Ale,5.80 %
2227,Wiper & True Brewery,In The Groves,American Amber / Red Ale,5.10 %
2228,BadWolf Brewing Company,Jesse 's Girl,American Amber / Red Ale,5.00 %
2229,Eastlake Craft Brewery,The Raccoon & The Bear,American Amber / Red Ale,5.90 %
2230,Rocky Coulee Brewing Co. .,Dirndyl Dropper,American Amber / Red Ale,-
2231,Santa Cruz Mountain Brewing,Nicky 666,American Amber / Red Ale,8.50 %
2232,Palisade Brewing Co. .,Soul Shakin ',American Amber / Red Ale,7.50 %
2233,Captured By Porches Brewing Company,Emma,American Amber / Red Ale,5.60 %
2234,Bluegrass Brewing Co. - East St. Matthew 's,Cardinale Ale,American Amber / Red Ale,-
2235,Ouray Brewery,Alpine Amber,American Amber / Red Ale,-
2236,Letra - Cerveja Artesanal Minhota,D,American Amber / Red Ale,6.50 %
2237,Altamont Brewing Company,Hopped Red,American Amber / Red Ale,7.00 %
2238,Swell Brewing Company,Swell Amber Ale,American Amber / Red Ale,4.70 %
2239,DryHop Brewers,Photobomb,American Amber / Red Ale,8.40 %
2240,Hop Valley Brewing Company,Natty Red,American Amber / Red Ale,8.00 %
2241,White Rabbit Brewing Company,Queen 's Red Ale,American Amber / Red Ale,5.70 %
2242,Hillcrest Brewing Company,Big Red Balls,American Amber / Red Ale,8.00 %
2243,Arcadia Brewing Company,Salted Caramel Amber,American Amber / Red Ale,6.00 %
2244,Hopshire Farm & Brewery,Patriot Grains,American Amber / Red Ale,5.70 %
2245,Bandwagon Brew Pub,North By Northwest,American Amber / Red Ale,-
2246,Barley Brothers Brewery & Grill,Freedom Bridge Amber Ale,American Amber / Red Ale,-
2247,Shine Restaurant & Gathering Place,Down Dog Imperial Red,American Amber / Red Ale,9.00 %
2248,LyonSmith Brewing Company,Sasparilla Red,American Amber / Red Ale,5.20 %
2249,Rockslide Brewery & Pub,Rabbit Ears Amber Ale,American Amber / Red Ale,6.00 %
2250,Headstrong Brewery,Mulish Amber,American Amber / Red Ale,4.00 %
2251,Pasteur Street Brewing Company,Sour Mash Amber,American Amber / Red Ale,4.80 %
2252,District ChopHouse & Brewery,Murican-Mild,American Amber / Red Ale,4.20 %
2253,Birrificio Artigianale Karma,Amber Doll,American Amber / Red Ale,5.70 %
2254,Columbia Kettle Works,Juniper Ale,American Amber / Red Ale,5.80 %
2255,Storybook Brewing,Little Red 's Rocking Ale,American Amber / Red Ale,6.30 %
2256,Aftershock Brewing Co. .,Red Alert,American Amber / Red Ale,5.20 %
2257,Great Heck Brewing Company Ltd. .,American Classic,American Amber / Red Ale,5.50 %
2258,Wimberley Brewing Company And Brewpub,Red Bitter,American Amber / Red Ale,7.90 %
2259,Rapscallion,Rapscallion Winterfest,American Amber / Red Ale,5.50 %
2260,Epic Brewing Company,Epic Carolina,American Amber / Red Ale,7.20 %
2261,CB Craft Brewers,J. G. Crummers Kick Arse Ale,American Amber / Red Ale,4.40 %
2262,Six Rivers Brewery,Six Feet Under,American Amber / Red Ale,7.40 %
2263,Bootstrap Brewing,Red Beerd,American Amber / Red Ale,5.30 %
2264,Pat O'Hara Brewing Company,Attitude Adjustment,American Amber / Red Ale,-
2265,Hilton Head Brewing Company,Calibogue Amber,American Amber / Red Ale,-
2266,Hammond River Brewing,Red Coat India Red Ale,American Amber / Red Ale,6.50 %
2267,Stone Brewing Co. .,Stone Liberty Station / Bridge Road Brewers Red Stone Road,American Amber / Red Ale,4.80 %
2268,Los Muertos Brewing,Agave Maria Amber Ale,American Amber / Red Ale,5.30 %
2269,Flat 12 Bierwerks,Mud Bug Amber,American Amber / Red Ale,7.00 %
2270,John Harvard 's Brewery & Ale House,Red-Headed Honey,American Amber / Red Ale,5.40 %
2271,Storz Trophy Room Grill & Brewery,North 40 WBA,American Amber / Red Ale,5.70 %
2272,Great River Brewery,Arsenal Imperial Red Ale,American Amber / Red Ale,9.00 %
2273,Sarasota Brewing Company,Honeymeade Ale,American Amber / Red Ale,7.00 %
2274,Funky Buddha Brewery,Combat Rock,American Amber / Red Ale,5.70 %
2275,Thomas Hooker Brewing Company,Cappy 's Ale,American Amber / Red Ale,-
2276,Hermit Thrush Brewery,Holiday Rye,American Amber / Red Ale,6.70 %
2277,Tornado Brewing Company,Bourbon Barrel Red Oak Ale,American Amber / Red Ale,-
2278,Microbrasserie Aux Fous Brassant,Hurluberlue,American Amber / Red Ale,5.00 %
2279,Golden Road Brewing,Redale,American Amber / Red Ale,5.30 %
2280,Charleston Brewing Company,Westward Gaze,American Amber / Red Ale,7.00 %
2281,Southern Oregon Brewing Company,Raider Red Ale,American Amber / Red Ale,-
2282,16 Mile Brewing Company,Soul Cake Ale,American Amber / Red Ale,9.00 %
2283,Triptych Brewing,Ah ` Mock Amber,American Amber / Red Ale,5.50 %
2284,Cervejaria Seasons,Wallace,American Amber / Red Ale,5.80 %
2285,RÃ ¥ danÃ $ s Bryggeri,Hillbilly Red Ale,American Amber / Red Ale,5.00 %
2286,Endless Brewing,Stone Crop Maple Amber,American Amber / Red Ale,5.50 %
2287,Plank Town Brewing Company,Li'l Red Ryder,American Amber / Red Ale,5.40 %
2288,Wind River Brewing Company,Adventure Amber Ale,American Amber / Red Ale,6.20 %
2289,Rockyard Brewing,Blarney Rock Irish Ale,American Amber / Red Ale,6.00 %
2290,Brauerei Gusswerk GmbH,AAA Austrian Amber Ale,American Amber / Red Ale,5.60 %
2291,Resurgence Brewing Company,Rich 's Red Ale,American Amber / Red Ale,5.70 %
2292,Firefly Hollow Brewing Co. .,Afflatus Copper Ale - Nitro,American Amber / Red Ale,4.90 %
2293,Anheuser-Busch,Capt Tony 's Amber Ale,American Amber / Red Ale,-
2294,Four Bullets Brewery,Royal Flush Red,American Amber / Red Ale,5.20 %
2295,Edmund 's Oast,( T ) oasted Oats,American Amber / Red Ale,4.70 %
2296,Bike Rack Brewing Co. .,Rusty Tricycle,American Amber / Red Ale,5.00 %
2297,Gravel Bottom Craft Brewery & Supply,Bottoms Up,American Amber / Red Ale,6.50 %
2298,Luminous Brewhouse,Red Grade Ale,American Amber / Red Ale,6.20 %
2299,Hideout Brewing Company,Hired Gun Red,American Amber / Red Ale,5.50 %
2300,Claremont Craft Ales,Happy Days,American Amber / Red Ale,10.00 %
2301,Georgetown Brewing Company,Superchopp,American Amber / Red Ale,7.20 %
2302,Ballast Point Brewing Company,Red Romper Red Session IPA,American Amber / Red Ale,4.70 %
2303,Uptown Market,Otis Reddin ',American Amber / Red Ale,7.50 %
2304,Beaver Creek Brewery,Castor Mexican Amber,American Amber / Red Ale,4.50 %
2305,Main Street Brewery / Mesa Cerveza,Schorzenboomer Amber,American Amber / Red Ale,-
2306,Boxing Cat Brewery,Firecracker Imperial Red,American Amber / Red Ale,7.50 %
2307,Brauerei Stadtguet,Stadtguet Amber,American Amber / Red Ale,4.80 %
2308,Escape Brewing Company,880 Red Ale,American Amber / Red Ale,-
2309,House of Brews,The Hop Garden Sunset,American Amber / Red Ale,8.50 %
2310,Ironwood Brewing Co. .,St. Colombanos Of Bobbio Not So Red,American Amber / Red Ale,5.20 %
2311,Brooksville Brewing Company,Hot Head Red,American Amber / Red Ale,-
2312,Columbia Kettle Works,Grinch Feet,American Amber / Red Ale,8.40 %
2313,Bridger Brewing,Roosevelt Red Ale,American Amber / Red Ale,6.20 %
2314,Our Mutual Friend Malt & Brew,Grapefruit Chinook Red,American Amber / Red Ale,-
2315,Tumbledown Brewing,Tumbledown Red,American Amber / Red Ale,5.60 %
2316,Sky High Brewing,Brew Kahuna NW Red Ale,American Amber / Red Ale,5.20 %
2317,Blackstone Restaurant & Brewery,Red Trail Ale,American Amber / Red Ale,-
2318,Wensky Beer Microcervejaria,Saci Amber Ale,American Amber / Red Ale,5.10 %
2319,Brouwerij De Koninck NV,Tst Brw 01 - Imperial Red Ale,American Amber / Red Ale,7.80 %
2320,Minhas Craft Brewery,Fire Brew Red Ale,American Amber / Red Ale,5.50 %
2321,Fat Head 's Brewery & Saloon,Autumn Brisk Amber Ale,American Amber / Red Ale,6.10 %
2322,Castle Grill / Red Castle Brewery & Distillery,Scarlet Throne,American Amber / Red Ale,-
2323,Second Self Beer Company,Bleeding Heart,American Amber / Red Ale,6.90 %
2324,Bravo Zulu Brewing,Ember Amber Ale,American Amber / Red Ale,5.60 %
2325,Books & Brews,Clifford The `` Lil '' Red Ale,American Amber / Red Ale,5.00 %
2326,Living The Dream Brewing Co. .,Experiment # 1001-B4,American Amber / Red Ale,6.20 %
2327,Whetstone Station Restaurant and Brewery,Batch # 55 - Big Red,American Amber / Red Ale,6.00 %
2328,St. Brigid _ ™ s Brewery,TKO Amber Ale,American Amber / Red Ale,6.00 %
2329,Lagunitas Brewing Company,Lagunitas Fusion 45,American Amber / Red Ale,5.40 %
2330,Parallel 49 Brewing Company,Bubbe 's Brew Jelly Doughnut Strong Ale,American Amber / Red Ale,8.00 %
2331,Gravity Brewing,Schwag,American Amber / Red Ale,4.80 %
2332,Meduz Brasserie Artisanale,Meduz AmbrÃ © e,American Amber / Red Ale,6.00 %
2333,Whetstone Station Restaurant and Brewery,Batch # 52 - Gagne Style,American Amber / Red Ale,5.00 %
2334,Pensacola Bay Brewery,Fish Head Red,American Amber / Red Ale,4.50 %
2335,Standing Stone Brewing Company,Madrone Red,American Amber / Red Ale,4.30 %
2336,Prairie Fire Brewing Co. .,Summer Amber,American Amber / Red Ale,6.50 %
2337,Peter B 's Brew Pub,Sum Of Hours,American Amber / Red Ale,9.50 %
2338,Monkey Paw Pub & Brewery,Monkey Paw / Karl Strauss Dead Albert 's Society 's,American Amber / Red Ale,8.20 %
2339,Figueroa Mountain Brewing Co. .,Shark Lips,American Amber / Red Ale,8.00 %
2340,Horse Heaven Hills Brewery,Mustang Red,American Amber / Red Ale,6.00 %
2341,Brouwerij De Molen,Pais & Vree,American Amber / Red Ale,10.10 %
2342,Jaws Brewery,Karingahtanum CoffeÐµ Red Ale,American Amber / Red Ale,5.60 %
2343,Third State Brewing,Redcoat Red,American Amber / Red Ale,5.50 %
2344,Big Bear Brewing Company,Diablo Amber Ale,American Amber / Red Ale,6.60 %
2345,Big Nose Brewing,Big Nose Red,American Amber / Red Ale,-
2346,Atlas Brewing Company,Orange Is The New Red,American Amber / Red Ale,5.50 %
2347,Track 7 Brewing Co. .,Skunk Train Red Ale,American Amber / Red Ale,5.70 %
2348,Lakeland Brewing Company,Damn It Janet,American Amber / Red Ale,-
2349,The Prodigal Son Brewery,Righteous Indignation Organic Red,American Amber / Red Ale,5.50 %
2350,Nebraska Brewing Company,Ninja Gnome,American Amber / Red Ale,10.60 %
2351,Alpine Dog Brewing Company,Howl At The Moon Imperial Red,American Amber / Red Ale,8.00 %
2352,Seven Brides Brewing,Waldo Hills,American Amber / Red Ale,5.50 %
2353,Brasserie Des Abers,Mutine AmbrÃ © e,American Amber / Red Ale,5.00 %
2354,Firehall Brewery,Stoked Ember Ale,American Amber / Red Ale,4.80 %
2355,Glasstown Brewing Co. .,Fortescue Fisherman 's Ale,American Amber / Red Ale,5.00 %
2356,Quest Brewing Co. .,Calumet Strawberry Rhubarb Grisette,American Amber / Red Ale,5.30 %
2357,Black Market Brewing Co. .,Scary Monster,American Amber / Red Ale,8.50 %
2358,Black Cap Brewing Company,Red Pants IPA,American Amber / Red Ale,6.30 %
2359,Big Top Brewing Company,Intercoastal Amber,American Amber / Red Ale,5.18 %
2360,El Toro Brewing Co. .,El Toro 's Team Beer,American Amber / Red Ale,-
2361,12 String Brewing Company,Volume 3 Anniversary Ale,American Amber / Red Ale,8.40 %
2362,Excel Brewing Company,My Hoppy Valentine,American Amber / Red Ale,6.50 %
2363,Fetching Lab Brewery,Round Up Amber,American Amber / Red Ale,6.20 %
2364,Ore Dock Brewing Company,Good Grist,American Amber / Red Ale,5.30 %
2365,Trinity Brewhouse,Bourbon Barrel Aged Redrum,American Amber / Red Ale,9.50 %
2366,Beards Brewery,Red Mist,American Amber / Red Ale,6.10 %
2367,Creekside Brewing Company,Creekside Vienna Amber,American Amber / Red Ale,5.00 %
2368,Good Hops Brewing LLC,Smoked Ale,American Amber / Red Ale,-
2369,Inland Empire Brewing Company,Trail Blazer Red,American Amber / Red Ale,7.00 %
2370,New Holland Brewing Company,Red Dragon,American Amber / Red Ale,5.20 %
2371,Ragtime Taproom & Brewery,Atlantic Beach Amber,American Amber / Red Ale,-
2372,3cross Brewing Company,Kannibaal,American Amber / Red Ale,7.70 %
2373,Mismatch Brewing Company,Archie 's Red Ale,American Amber / Red Ale,5.00 %
2374,Marz Community Brewing,Kozmonaut,American Amber / Red Ale,6.20 %
2375,Twain 's Billiards and Tap,River Sunset Amber,American Amber / Red Ale,5.30 %
2376,Karben4 Brewing,Hophead Red,American Amber / Red Ale,-
2377,BÃ ¥ lsta Bryggeri,BÃ ¥ lsta EklÃ ¶ ws RÃ ¶ da,American Amber / Red Ale,5.20 %
2378,Barnstormer Brewing & Pizzeria,Ace In The Hole,American Amber / Red Ale,5.80 %
2379,Short 's Brewing Company,Proverbial Mind Spread,American Amber / Red Ale,6.60 %
2380,Bear Republic Brewing Co. .,Smoked Prickly Pear Lager,American Amber / Red Ale,7.50 %
2381,Florida Beer Company,Big River Red Ale,American Amber / Red Ale,5.30 %
2382,Brasserie St. Feuillien,Grisette AmbrÃ © e,American Amber / Red Ale,5.00 %
2383,Edge Brewing,Barretina Amber,American Amber / Red Ale,4.80 %
2384,Weiland Brewery Underground,Weiland Amber,American Amber / Red Ale,-
2385,Il Forteto,CastaÃ ± a,American Amber / Red Ale,6.00 %
2386,Vagabond Brewery,Conscription American Red,American Amber / Red Ale,-
2387,Rivertowne Pourhouse,All Around Amber,American Amber / Red Ale,-
2388,The Brewhouse,Rebel Red Ale,American Amber / Red Ale,5.70 %
