publication_id,journal_name,paper_authors,work_title
29886,"ieee computer ,","j edmonson , m reilly",performance simulation of an alpha microprocessor
29887,"& hellip ; of american control conference , seattle , washington ,",jf de souza,state and parameter estimation for overall systems
29888,"cochrane database syst rev ,","j homik , a cranney , b shea , p tugwell , g wells , r",bisphosphonates for steroid induced osteoporosis
29889,"stanford university technical report no . csl-tr-89-385 , july","j torrellas , t weil , j hennessy",a methodology for modeling interprocessor traffic in shared memory multiprocessors
29890,proceedings of acm hypertext â ?? 98,"s christodoulou , g styliaras","t.â ?? papatheodourou , evaluation of hypermedia application development and management systems , â ??"
29891,"& hellip ; rom ] , proceedings of the 25 thinterservice/industry training","mm walwanis nelson , jm owens , dg smith , ml",a common instructor operator station framework : enhanced usability and instructional capabilities
29892,"proc . acm mobicom ,","m srivastava , r muntz , m potkonjak",sensor-based wireless network for smart developmental problem-solving environments
29893,"proceedings of the 13th annual acm international conference & hellip ; ,","od sahin , a gulbeden , f emekci , d agrawal , a el",prism : indexing multi-dimensional data in p2p networks using reference vectors
29894,"proc . ieee ,",m ross,search via laser receivers for interstellar communications
29895,"acm transactions on database systems ,","w litwin , ma neimat , da schneider","lh * -- a scalable , distributed data structure"
29896,,"b ludascher , u hamann , g lausen",a logical framework for active rules
29897,"conf . on very large databases ( vldb ) , hong kong , china , aug ,","a gilbert , y kotidis , s muthukrishnan , m strauss",how to summarize the universe : dynamic maintenance of quantiles in intl
29898,"proceedings of the 23rd annual hawaii international & hellip ; ,","m rosenstein , l weitzman",icon editor : the specification of graphic behavior without coding
29899,"water quality 88 : seminar proceedings . february 23-25 1988 , & hellip ; ,","ca coch , jf tavolaro",relationship between subsurface geohydrologic investigation and siting of upland disposal sites /
29900,"proceedings of the 23rd international conference on & hellip ; ,","jh diniz , am carvalho , lcl cherchiglia , wj souza ,",ground ash densities in minas geraisâ ?? brazil
29901,"proc . acm multimedia ,","ble chang , y wu",discovery of a perceptual distance function for measuring image similarity
29902,"acm transactions on database systems ,",ge weddell,reasoning about functional dependencies generalized for semantic data models
29903,,mr greenstreet,implementing a star1 chip
29904,,"b nuseibeh , a finkelstein , j kramer",method engineering for multi-perspective software development
29905,"acm press , new york ,","wc brantley , kp mcauliffe , ta ngo",rp3 performance monitoring hardware
29906,"electronic library ,",r wittwer,special libraries-how to survive in the twenty-first century
29907,,p nt,1 : programming with unicode
29908,,"b curtin , k nomura",distance-regular graphs related to uq ( sl ( 2 ) )
29909,,"pw vachon , pg black , p dodge , ka katsaros , p",radarsat-1 sar for hurricane watch
29910,"proceedings : biological sciences ,","cw lamunyon , s ward",larger sperm outcompete smaller sperm in the nematode caenorhabditis elegans
29911,"see ref ,",gl plaa,free-radical-mediated liver injury
29912,"information and software technology ,",ir mcchesney,toward a classification scheme for software process modelling approaches
29913,"ieee transactions on knowledge and data engineering ,",dl lee,the d-tree : an index structure for planar point queries in location-based wireless services
29914,"new directions for teaching and learning ,",bj millis,three practical strategies for peer consultation
29915,,s machlis,25 of all web spending goes for intranets
29916,"proceedings of the 5th annual acm symposium on user & hellip ; ,","m beaudouin-lafon , a karsenty",transparency and awareness in a real-time groupware system
29917,,"mna beurskens , e giovannozzi , j gunn , y andrew , m",analysis of plasma edge profiles at jet
29918,,"h brunner , n yan",finite element method for optimal control problems governed by integral equations and integro -
29919,,"y yoo , m alavi",emergence of leadership and its impact on group performance in virtual team environments : a field
29920,"vldb ,","c kilger , g moerkotte",indexing multiple sets
29921,,"g robins , a zelikovsky",improved steiner tree approximation in graphs
29922,,km brooks,do story agents use rocking chairs ?
29923,"information and software technology ,","b garner , r raban",context management in modeling information systems ( is )
29924,"social studies and the young learner ,","mj berson , ir berson",coming to terms with mother nature : using the web to educate children about natural disasters
29925,,d stearns,programming microsoft office 2000 web components
29926,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,","j gasser , h leutwyler , me sainio",pion-nucleon sigma-term and the strange quark content of the proton ( abstract only )
29927,,l koskela,application of the new production theory to construction .
29928,"new directions for teaching and learning ,",ad lutkus,testing and reporting on graduates : the new jersey basic skills assessment program .
29929,"proc . 28th european conf . on optical communication ,","c develder , m pickavet , p demeester",choosing an appropriate buffer strategy for an optical packet switch with a feed-back fdl buffer
29930,proc . acm sigmod,g keller,"maier 1991 : t. keller , g. graefe , and d. maier , efficient assembly of complex objects"
29931,"journal of personality and social psychology ,",r baruch,the achievement motive in women : implications for career development
29932,"proc . asce ,",te stanton,expansion of concrete through reaction between cement and aggregate
29933,"proceedings of the 22th international conference on very & hellip ; ,","r ramakrishnan , dj ram",modeling design versions
29934,,"s vitek , j hozman",modeling of imaging systems in matlab
29935,"technical report ( nov ) , mit laboratory for computer science .","m arvind , n jw","rs , and stoy , j. 1996 . lambda-s : an implicitly parallel lambda-calculus with letrec , synchronization"
29936,"ieee , proceedings ,","jj bussgang , l ehrman , jw graham",analysis of nonlinear systems with multiple inputs
29937,,"m yuksel , s kalyanaraman , a goel",congestion pricing overlaid on edge-to-edge congestion control
29938,"new directions for adult and continuing education ,","vj marsick , ke watkins",informal and incidental learning
29939,"bangladesh at ,","d choudhury , am hasanuzzaman , g hossain",â ?? institution building process in bangladesh .
29940,"proc . intern . congress math. , zurich , switzerland ,",s stolz,positive scalar curvature metricsâ ?? existence and classification
29941,"primary productivity of the biosphere ,",h lieth,modeling the primary productivity of the world
29942,,t kollmann,marketing for electronic market places : the relevance of two '' critical points of success ''
29943,"lancet i ,","l tougaard , j brochner-mortensen , ms christensen ,",controlled trial of 1-alpha-hydroxycholecalciferol in chronic renal failure
29944,"cochrane database syst rev ,","c forbes , r jepson , p martin-hirsch",interventions targeted at women to encourage the uptake of cervical screening
29945,"information and software technology ,","dc ince , s hekmatpour",software prototypingâ ?? progress and prospects
29946,,"ar adl-tabatabai , rl hudson , mj serrano , s",prefetch injection based on hardware monitoring and object metadata
29947,acc . chem .,r abeles,"h. , and dolphin , d. ( 1976 )"
29948,,t brihaye,"undecidability of the reachability problem for o-minimal hybrid systems , 2005"
29949,"economic geography ,",rw kates,natural hazard in human ecological perspective : hypotheses and models
29950,,"rl mills , p ray , rm mayo",highly pumped inverted balmer and lyman populations
29951,"proceedings of the conference on superconductivity in d and & hellip ; ,",b coqblin,"e. galleani d'agliano , and r. julien"
29952,"proc . 28th icrc , ( tsukuba , japan , 2003 )",r clayâ ? ¦,for the pierre auger collaboration
29953,"san diego , california ,","m suhithi , p chak , m maijaâ ? ¦",equation of state and structural changes in diaminodinitroethylene from experimental studies and ab
29954,,dg mackay,the organization of perception and action
29955,"phil . mag ,",t alty,the maximum rate of evaporation of water
29956,"isbn ,",p bevan,rough sleeping in wales-housing research report hr1/00
29957,,"d liang , y liu , q huang , g zhu , s jiang , z zhang ,",video2cartoon : generating 3d cartoon from broadcast soccer video
29958,"new york ,",a smith,"the wealth of nations , the modern library"
29959,proc . int . display,"j kang , wg jeon , od kim , jw song , jp boeuf , mh",improvement of luminance and luminance efficiency in pdpâ ?? s driven by radio frequency pulses
29960,"acm sigmod record ,","y vander auwera , l bernard",new proposal for a common command language in information systems
29961,proceedings of the acm sigmod-sigact symposium on principles,d agrawal,"e1 abbadi , a. , and jeffers , r. an approach to eliminate transaction blocking in locking protocols"
29962,"phil . mag ,","e rutherford , f soddy","the cause and nature ofradioactivityi , ii '"
29963,,"s muthukrishnan , m strauss",maintenance of multidimensional histograms
29964,,r pang,data conversion from object-oriented to relational database and its verification by use of
29965,,al strauss,continual permutations of action
29966,"bt technology journal ,",pa rout,"digital homesâ ?? for richer for poorer , who are they for ?"
29967,"ieee , proceedings ,","a paulraj , r roy , t kailath",a subspace rotation approach to signal parameter estimation
29968,,pa pintus,aggregate instability in the fixed-cost approach to public spending
29969,,"r agrawal , r srikant",privacy-preserving data mining
29970,"acm transactions on database systems ,","rp trueblood , hr hartson , jj martin",multisafe - a modular multiprocessing approach to secure database management .
29971,,bs leo,theory and development of a simple turbine as a prime mover for utilization of solar energy
29972,"submitted for publication ,","x li , z liu , j he",generating a prototype from a uml model of system requirements
29973,,sma hakim,blood and serum group and other genetical characters of some endogamous muslim groups
29974,,"i stojanovic , m airy , d gesbert , h saran",performance of tcp/ip over next generation broadband wireless access networks
29975,,", sr bharadwaj",evaluated phase diagrams of binary metal -- tellurium systems of the d-block transition elements
29976,"genes to cells ,","t suzuki , a kimura , r nagai , m horikoshi",regulation of interaction of the acetyltransferase region of p300 and the dna-binding domain of sp1
29977,unpublished,rm golinkoff,"jacquet , r. & hirsh-pasek , k. ( 1993 ) . lexical principles underlie verb learning"
29978,"isbn ,","m randall , ab german",injection molding of metals and ceramic [ j ]
29979,"new directions for higher education ,","pj gray , tw banta",editors ' notes
29980,"proceedings of the 23rd annual international symposium on & hellip ; ,",o maquelin,"guangr . gao , herbert hj hum , kevin theobald , and xin-min tian . polling watchdog : combining polling"
29981,"acm trans . database syst ,","ct yu , w meng","park , 0 . a framework for effective retrieval"
29982,"new directions for higher education ,",s muller,the university presidency today : a word for the incumbents .
29983,,"t juan , l sterling",achieving dynamic interfaces with agent concepts
29984,"acm transactions on database systems ,","d sacca , g wiederhold",database partitioning in a cluster of processors
29985,"& hellip ; , 2001 . proceedings . 17th international conference on ,","n katayama , s satoh",distinctiveness-sensitive nearest-neighbor search for efficient similarity retrieval of multimedia
29986,"proc . 28th int . cosmic ray conf. , tsukuba ,","hs ahn , jh adams , g bashindzhagyanâ ? ¦",atic experiment : elemental spectra from the ight in 2000
29987,"geography ,","i foster , s harrison , d clark",soil erosion in the west midlands : an act of god or agricultural mismanagement
29988,proceedings of the 1998 acm-sigmod,"y zhao , pm deshpande , jf naughton",anda . shukla . simultaneous optimization and evaluation of multiple dimensional queries
29989,"distributed and parallel databases ,","kl wu , ps yu , jy chung , jz teng",workfile disk management for concurrent mergesorts in a multiprocessor database system
29990,,"jd markel , ah gray",linear prediction of speech
29991,,"m aglietta , b alessandro , p antonioli , f arneodo ,",gamma-rays and ionizing component during thunderstorms at gran sasso
29992,"history of programming languages -- ii table of contents ,",tj bergin,formac session
29993,"unpublished manuscript ,","b scafidi , d sjoquist , t stinebrickner",the impact of wages and school characteristics on teacher mobility and retention
29994,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",o vilhu,finnish space projects : space astronomy ( abstract only )
29995,"computer networks ,","c de morais cordeiro , s abhyankar , dp agrawal",reducing power consumption and enhancing performance by direct slave-to-slave and group
29996,,"w tang , y fu , l cherkasova , a vahdat",medisyn : a synthetic streaming media service workload generator
29997,transplant,g maurer,metabolism of cyclosporine
29998,"proceedings of sigmod ,","d agrawal , s sengupta",modular synchronization in multiversion databases
29999,"courses and lectures-international centre for mechanical & hellip ; ,","w pohl , j hoehle",mechanisms for flexible representation and use of knowledge in user modeling shell systems
30000,"vldb ,","y zhu , d shasha",statstream : statistical monitoring of thousands of data streams in real time
30001,"technical report tr-416 , statistics department , stanford",dl donoho,wavelet shinkage wvd-a ten minutes tour
30002,"sigmod record ,","s gatziu , ma jeusfeld , m staudt , y vassiliou",design and management of data warehouses : report on the dmdw '99 workshop
30003,,"p singh , c fennie , de reisner",fuzzy logic enhanced electrochemical impedance spectroscopy ( fleeis ) to determine battery soc
30004,"sigmod conference ,","kcc chang , s hwang",minimal probing : supporting expensive predicates for top-k queries
30005,"proceedings of the ninth acm sigkdd international conference & hellip ; ,","h wang , w fan , ps yu , j han",mining concept-drifting data streams using ensemble classifiers
30006,"vldb ,","t nakamura , t mizoguchi",an analysis of storage utilization factor in block split data structuring scheme
30007,"& hellip ; conference on mobile data management ( mdmâ ?? 04 ) , berkeley ( & hellip ; ,",g vigna,mobile agents : ten reasons for failure ( panel )
30008,"economic geography ,",m storper,the limits to globalization : technology districts and international trade
30009,,"g magenes , d arduini",detection of normal and pathological fetal states by means of neural and fuzzy classifiers applied
30010,proceedings des journees thematiques en fusion dâ ??,a ayoun,fusion amont en detection de sources ponctuelles
30011,"& hellip ; inventory , university of washington , seattle , washington ,",mm linehan,suicidal behaviors questionnaire
30012,"see ref ,","jj burdon , am jarosz",wild relatives as sources of disease resistance
30013,"computer networks ,","n endo , t aimoto , t yazaki , t nishijima",large scale enterprise atm node with per-vc traffic control
30014,,xr chen,photo time stamp recognition
30015,"acm sigmod record ,",y ioannidis,special issue on advanced user interfaces for database systems
30016,"journal of emergency medicine ,","c feeney , m muller , s bryzman , t nakada",reversible blindness associated with alcoholic ketoacidosis : pseudomethanol intoxication-visual loss
30017,"the fourth california islands symposium : update on the & hellip ; ,",cc sorlien,"faulting and uplift of the northern channel islands , california"
30018,"sigmod record ,","nh park , ws lee",statistical grid-based clustering over data streams
30019,"microsoft press ,","jh miller , h lau","microsoft sql server 2000 resource kit , chapter rdbms performance tuning guide for data warehousing"
30020,"the vldb journal the international journal on very large & hellip ; ,","d rafiei , ao mendelzon",efficient retrieval of similar shapes
30021,pc,d haskins,word for word
30022,,jf cardoso,super-symmetric decomposition of the fourth-order cumulant tensor . blind identification of more
30023,"ieee , proceedings ,",ak jain,image data compression - a review
30024,"journal of machine learning research ,","re mahony , rc williamson",prior knowledge and preferential structures in gradient descent learning algorithms
30025,"proceedings of the 14th vldb conference ( los angeles , aug. 29",r abbott,"garcia-mâ ? cents lina , h , scheduling real-time transactions : a performance acm transactions on database"
30026,"information and software technology ,",au tansel,modelling temporal data
30027,"computerworld ,","j vijayan , t hoffman",improved service top-cited outsourcing goal .
30028,"bt technology journal ,","pw reece , rd macey , ri miles , ri galbraith",an early implementation of a davic v1 . 0 systemâ ?? use of dynamic connections for interactive
30029,"new directions for higher education ,",ms rubin,a smart start to service-learning
30030,"ieee computer ,","l barroso , j jeong , k oner , k ramamurthy , m dubois",rpm : a rapid prototyping engine for multiprocessors
30031,"new directions for teaching and learning ,",e zlotkowski,a service learning approach to faculty development
30032,"fed proc ,","bm altura , bt altura",vascular smooth muscle and neurohypophyseal hormones
30033,"proc . sigmod ,","j zhou , ka ross",buffering database operations for enhanced instruction cache performance .
30034,,"f scarcello , g greco , n leone",weighted hypertree decompositions and optimal query plans
30035,"technical report rj 8625 , ibm almaden research center , feb","pb ladkin , bb simons",static analysis of concurrent communicating loops
30036,"md ,","a bozzi , a nikolova , g cappelli , g giuliani",il trattamento delle varianti hello spoglio elelttronico di un testo . una prova sui carmina di
30037,,h lieberman,autonomous interface agents ( lokal )
30038,"submitted for publication ,","j hu , mp wellman",multiagent reinforcement learning in stochastic games
30039,"proceedings of acm sigcomm ,","y tobe , h tokuda , stc chou , jmf moura",qos control in arts/fddi continuous media communications
30040,"journal of emergency medicine ,","rf edlich , ja arnette , fm williams","global epidemic of human t-cell lymphotropic virus type-i ( htlv-i ) - pathophysiology , prevention , and"
30041,proc .,b rueber,obtaining confidence measures from sentence probabilities
30042,"ieee computer ,",a agarwalâ ? ¦,baring it all to software : raw machines
30043,"zurich , switzerland ,",s pislak,kay : e865 monte-carlo
30044,"information and software technology ,","p loucopoulos , rem champion",knowledge-based support for requirements engineering
30045,"proceedings of acm sigcomm , pages ,","a derners , s keshav , s shenker",analysis and simulation of a fair queueing algorithm
30046,"proc . acm sigir ,","g navarro , r baeza-yates",a model to query documents by contents and structure
30047,,"m bona , awt combinatorics","an introduction to enumeration and graph theory , 2002"
30048,,tk shih,distributed multimedia databases : techniques and applications
30049,"submitted for publication ,","ni eisenberger , md lieberman",individual differences in internal state awareness : a neural model of neuroticism
30050,"bt technology journal ,","pj wittgreffe , c dix",the electronic commerce trials platform
30051,"the seventh international world wide web conference ,",s brin,lawrenece page . the anatomy of a lorge-scale hypertextual web search engine [ c ]
30052,"lecture notes in computer science ,","m rousson , n paragios",shape priors for level set representations
30053,"acm transactions on database systems ,","a dekhtyar , r ross , vs subrahmanian","probabilistic temporal databases , i"
30054,demonstration of multiple hypothesis tracking ( mht ),ss blackman,rj dempster och rw reed
30055,proc . acm,ks wilson,palenque : an interactive multimedia digitalvideointeractive prototypeforchildren
30056,"sigmod record ,","s chauduri , u dayal",an overview of data warehouse and olap technology
30057,"acm transactions on database systems ,",h rybinski,on first-order-logic databases .
30058,"computer networks ,","c da-wei , k hao-ren , c rui-chuan",adaptive-level memory caches on world wide web servers
30059,,"m vieira , j pissarra , p verissimo , p castanheira ,",cardosin b is an aspartic proteinase expressed at the extracellular matrix of the transmitting
30060,"phil . mag ,",jl taylor,an exact solution of the spherical blast wave problem
30061,"proc acm sigmod conference , boston , usa ,",j fedorowicz,database estimation evaluation using multiple regression techniques
30062,,"d hui , tj kozik",design and analysis of composite material vessels . ( retroactive coverage )
30063,"at . spectrosc ,","vk panday , k hoppstock , js becker , hj dietze",determination of rare earth elements in environmental samples using inductively coupled plasma mass
30064,"new directions for teaching and learning ,","jm braxton , m rogers mann",incidence and student response to faculty teaching norm violations
30065,"0referencemanual . technical report , computer science department ,",m geneserethandr,"fikeset . al. knowledgeinterchangeformat , version3"
30066,"conference on management of data ,","jm hellerstein , pj haas , hj wang","online aggregation , acm sigmod int"
30067,,vi lenin,imperialism : the highest stage of capitalism
30068,"sigmod record ,",acms anthology,the interpreted-compiled range of ai/db systems .
30069,"proceedings of the 25 thannual meeting of the plant growth & hellip ; ,","w rademacher , jb speakman , rr evans , jr evans , s",prohexadione-ca-a new plant growth regulator for apple with interesting biochemical features . p. 113
30070,,"l gravano , a tomasic",the efficacy of gloss for the text database discovery problem
30071,,sj trejo,intergenerational progress of mexican-origin workers in the us labor market
30072,proc .,c faloutsos,signature les : design and performance comparison of some signature extraction methods
30073,"d. machine learning for user modeling . user modeling and & hellip ; ,",gp webb,m. and billsus
30074,"ieee computer ,",p hsia,conference overview : first national conference on software engineering
30075,"unpublished manuscript ,","kc klauer , j musch",on the goal-dependence of automatic attitude activation : a model of affective priming by two
30076,"journal of personality and social psychology ,","rw levenson , jm gottman",marital interaction : physiological linkage and affective exchange
30077,"proceedings of the 23rd international conference on very & hellip ; ,","p ciacca , m patella , p zezula",m-tree : an efficient access method for similarity search in metrix spaces
30078,"contributions to plasma physics ,","k borrass , j lingertat , r schneider",a scrape-off layer based density limit for jet elmy h-modes
30079,submitted for,"d mezher , b philippe","pat-a reliable path following algorithm , aug. 2000"
30080,,u klee,jp airline-fleets international 98/99 32 ndedition and 99/2000
30081,"see ref ,",rd robinson,toward creating an international technology transfer paradigm
30082,"vldb ,",w kim,a model of queries for object-oriented databases
30083,"acc . chem . res ,",d schrã ¶ der,"struct . bonding 2000 , 97 , 91 ; d. schrã ¶ der , s. shaik , h. schwarz"
30084,"financial management ,","dc porter , dg weaver",tick size and market quality
30085,,"r mills , e dayalan , p ray , b dhandapani , j he",spectroscopic study of highly stable novel inorganic hydrides from aqueous electrolysis and plasma
30086,"journal of personality and social psychology ,","m davies , l stankov , rd roberts",emotional intelligence : in search of an elusive construct
30087,,"m eskra , p ralston , m klein , w johnson , j erbacher",bipolar nickel-metal hydride aircraft battery
30088,"proc . int . symp . antarct . rec ,","y ohyama , h sugawara",an occurrence of cryptostigmatic mite around syowa station area
30089,"journal of emergency medicine ,","d wedel , j quinlan , p iaizzo",clinical effects of intravenously administered dantrolene .
30090,proc .,p agarwal,"states , dj 1994 . the repeat pattern toolkit ( rpt ) : analyzing the structure and evolution of the c."
30091,,sm vigallon,"foraging , ranging , and nesting behavior of stellerâ ?? s jays in western washington"
30092,"computer networks ,","h abdu , h lutfiyya , ma bauer",a framework for determining efficient management configurations
30093,"proc . infocom ,","j bennet , h zhang",wf 2 q : worst-case fair weighted fair queueing
30094,"acc . chem . res ,","da culkin , jf hartwig",palladium-catalyzed-arylation of carbonyl compounds and nitriles
30095,"proc int soc magn reson med ,","s topp , e adalsteinsson , dm spielman",fast multislice b 1-mapping
30096,"unpublished manuscript ,","a bruggemann-klein , m murata , d wood",regular tree languages over non-ranked alphabets
30097,"& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,","r imhoff , k behler , e beyer , d maischner",laser beam welding of zinc-coated sheets and quality control
30098,,c stehno,pep version 2.0
30099,"journal of emergency medicine ,","m pichichero , c pichichero",persistent acute otitis media : i. causative pathogens .
30100,,"b smith , b komar",microsoft windows security resource kit
30101,"acm transactions on database systems ,","n krishnakumar , aj bernstein",bounded ignorance : a technique for increasing concurrency in a replicated system
30102,"isbn ,",rl ackoff,ackoffâ ?? s fables
30103,,s middleton,educating feminists : life histories and pedagogy .
30104,"riderlink demonstration project evaluation report.â ?? & hellip ; ,",m transit,seattle washington.â ??
30105,"proc of vldb ,","p ciaccia , m patella",zezula pm-tree : an efficient access method for similarity search in metric spaces [ c ]
30106,"selected areas in communications , ieee journal on ,","zj haas , m gerla , db johnson , ce perkins , mb",guest editorial wireless ad hoc networks
30107,,"m erwig , d ren",a rule-based language for programming software updates
30108,"proceedings of the 2000 acm sigmod international conference & hellip ; ,","h shin , b moon , s lee",adaptive multi-stage distance join processing
30109,,tl chern,integral variable structure control approach for robot manipulators
30110,,"mx zhou , s pan",automated authoring of coherent multimedia discourse in conversation systems
30111,"wisconsin studies in contemporary literature ,",f murphy,'' the comedian as the letter c ''
30112,"cancer chemotherapy and pharmacology ,","de kleiner , wg stetler-stevenson",matrix metalloproteinases and metastasis
30113,"proceedings of the 12th annual acm international conference & hellip ; ,","m wagner , w kellerer",web services selection for distributed composition of multimedia content
30114,,sd hart,the decomposition of leaves in two southern california streams
30115,"new directions for teaching and learning ,",mm watts,taking the distance out of education
30116,,"ra amar , dr dooly , sa goldman , q zhang",multiple-instance learning of real-valued data
30117,demonstration in,"fn bã 1/4 chi , m ruge",development of a bipolar element for pe-fuel cells
30118,"economic geography ,","rf wiseman , cc roseman",a typology of elderly migration based on the decision making process
30119,"bt technology journal ,",acc brennan,recent bt patents
30120,"vldb ,",a shoshani,temporal data management
30121,proceedings of 24th international conference on very large,rs weber,"jh and blott , s. : a quantitative analysis and performance study for similarity-search methods in"
30122,,kf foundation,women and medicare
30123,"phil . mag ,",ca beevers,"acfa cryst. , 1952 , 5,670 ; jm robertson"
30124,"computerworld ,","ae alter , r saia",good advice cheap
30125,submitted for,"mh birnbaum , s yeary","violations of stochastic dominance , branch independence , upper and lower cumulative independence in"
30126,"proc . very large data bases conference , bombay , india ,","s dar , mj franklin , bã ? jã ³ nsson , d srivastava",michael tan . data caching and replacement
30127,ieee,"s sedigh-ali , a ghafoor , ra paul",may 2001b . software engineering metrics for cots-based systems
30128,"sigmod . june ,","dt liu , mj franklin , d parekh",demo . griddb : a relational interface to the grid
30129,"lecture notes in computer science ,",tg kolda,partitioning sparse rectangular matrices for parallel processing
30130,"proceedings of the 28th vldb conference , hong kong , china (","h do , e rahm",coma-asystemforflexiblecombinationofschemamatchingapproaches
30131,"journal of emergency medicine ,",jc hodge,"anterior process fracture or calcaneus secundarius : a case report-part i : anatomy , injury mechanism ,"
30132,"journal of emergency medicine ,","fm abrahamian , cv pollack jr , f lovecchio , r nanda",fatal tetanus in a drug abuser with '' protective '' antitetanus antibodies
30133,"seattle , washington , usa , november ,","pa johnson , kr goldsmith",an experimental study of the placement of an aircraft inside a large welded zinc-plated steel
30134,"new directions for program evaluation ,","m scriven , j roth",needs assessment : concept and practice
30135,"proc . acm conf . on management of data-extension , may ,",hs hammer,"sarin , â ?? 8 efficient monitoring of database assertions"
30136,"geography ,",i livingstone,new models for the formation of linear sand dunes
30137,,"e levin , r pieraccini",dynamic planar warping for optical character recognition
30138,,"j zivny , i kurane , am leporati , ma brinton , fa","a single nine-amlno acid peptide induces virus-specific , cd8 + human cytotoxic t lymphocyte clones of"
30139,"information and software technology ,","pav hall , s papadopoulos",hypertext systems and applications
30140,procs . of the conferencia de la asociaciã ³ n espaã ± ola para,"m gã ³ mez-albarrã ¡ n , p gonzã ¡ lez-calero","y fernã ¡ ndez-chamizo , c. : 1997 , un enfoque basado en conocimiento para la reutilizaciã ³ n de"
30141,"sql . sigmod conference ,","h guo , pa larson , r ramakrishnan , j goldstein",relaxed currency and consistency : how to say '' good enough
30142,"proc . acm-sigmod international conference on management of & hellip ; ,","h garcia-monina , k salem",sagas
30143,"san diego ,",m hagiwara,extended fuzzy cognitive maps . in 92 ieee int conf fuzzy syst fuzz-ieee
30144,"acc . chem . res ,","v balzani , s campagna , g denti , a juris , s serroni",erenes uv/vis spectroscopy
30145,,t boyuneä?mez,biochemical monitoring of toxic and carcinogenic organic pollutants along the ä ° zmä ° r bay after the
30146,"computerworld ,","th davenport , l prusak",reengineering revisited
30147,,t kaczorek,an extension of the cayley-hamilton theorem for a standard pair of block matrices
30148,"& hellip ; armstrong research and demonstration farm progress report , & hellip ; ,","km delate , c cambardella",comparison of organic and conventional rotations at the neely-kinyon long-term agroecological
30149,"proceedings of the international conference on very large & hellip ; ,","lt chen , d rotem",declustering databases on heterogeneous disk systems
30150,"acm transactions on database systems ,","xs wang , c bettini , a brodsky , s jajodia",logical design for temporal databases with multiple temporal types
30151,"new directions for adult and continuing education ,",j mezirow,transformative learning : theory to practice
30152,,ae wade,full distribution in objectivity/db .
30153,i,"m gasperini , g veneziano",astroparticle phys
30154,,"m ciet , g piret , jj quisquater","related-key and slide attacks : analysis , connections , and improvements"
30155,"new directions for teaching and learning ,",ke eble,"the contexts of college teaching , past and future ."
30156,"machine learning ,",jp bradford,brodley ce : the effect of instance-space partition on significance
30157,"sigmod record ,","ej neuhold , g darmstadt",structure and semantics in oodb class specifications
30158,"proc int waterfowl symp ,",js sedinger,geese of the yukon-kuskokwim delta : improvements or illusions
30159,"proceedings-ieee ,","p mazumder , s kulkarni , m bhattacharya , jp sun , gi",digital circuit applications of resonant tunneling devices
30160,,v poosala,balancing histogram optimality and practicality for query result size estimation
30161,proceedings of acm sigmod 1988 international conference on,"tk sellis , cc lin , l raschid",implementing large production systems ina dbms environment : concepts and algorithms
30162,,k honda,from process logic to program logic
30163,,th jordan,fine scale structure of the eurasian crust and upper mantle from high-frequency waves
30164,"supportive care in cancer ,","a jatoi , j yamashita , j sloan , p novotny , h",does megestrol acetate down-regulate interleukin-6 in patients with cancer-associated anorexia and
30165,"sigmod conference ,","hi hsiao , i narang",dlfm : a transactional resource manager
30166,"journal of emergency nursing ,",gp lenehan,ed short staffing : it is time to take a hard look at a growing problem and strategies such as
30167,"computer networks ,","i aad , c castelluccia",priorities in wlans
30168,"information and software technology ,","a aurum , c wohlin",the fundamental nature of requirement engineering activities as a decision-making process
30169,"proceedings of the international conference on very large & hellip ; ,","n shivakumar , h garcia-molina , c chekuri",filtering with approximate predicates
30170,,i perspection,microsoft word version 2002 step-by-step
30171,"lecture notes in computer science ,","t hashimoto , t ikegami",evolution of symbolic grammar systems
30172,"wisconsin studies in contemporary literature ,",pf neumeyer,franz kafka and william sansom
30173,"electronic engineering ,","sa mahmoud , ho elwan , am soliman",grounded mos resistor . ''
30174,"cochrane database syst rev ,","x albert , i huertas , ii pereiro , j sanfelix , v",antibiotics for preventing recurrent urinary tract infection in non-pregnant women
30175,proceedings of acm,"tv lakshman , d stiliadis",high-speed policy based forwarding using efficient multi-dimensional range matching
30176,"electronic business ,",j costello,education : the fuel for tech 's golden age
30177,"bt technology journal ,",b rosen,voip gateways and the megaco architecture
30178,"acm sigmod record . acm ,",a dogac,acm sigmod record : special issue on electronic commerce
30179,"acm sigmod record ,","t catarci , if cruz",full text pdf format pdf ( 190 kb ) source acm sigmod record archive
30180,"new directions for teaching and learning ,",jf bauer,assessing student work from chatrooms and bulletin boards
30181,"cochrane database syst rev ,","j kavanagh , aj kelly , j thomas",sexual intercourse for cervical ripening and induction of labour
30182,,"l gora , jc jansen , t maschmeyer",microporous and mesoporous materials
30183,,m del usuario de visual basic,aplicacionesâ ?? microsoft excel
30184,"proceedings of the 23rd an-nual meeting of the association & hellip ; ,",k kukich,link-dependent explanation generation
30185,"acm sigmod record ,",jr swenson,some reviews of current literature
