beer_key,brewery,beer_style_name,beer_type
351,Imperial Oak Brewing,Imperial Oak Barrel Aged Odin_s Beard,American Strong Ale
352,Naparbier,Naparbier ZZ + Amber Ale,Amber Ale
353,Rebellion,Rebellion Scandale,Bitter
354,Crooked Fence Brewing Company,Crooked Fence Trainwreck Red Ale,Irish Ale
355,Dragoon Brewing Company,Dragoon / Fate &#40; AZ &#41; Infringement Pils,Pilsener
356,Old Market Pub and Brewery,Old Market Mr. Toads Wild Red Ale,Amber Ale
357,Pizza Boy Brewing,Pizza Boy Hop Test # 1 &#40; Ginger Red Ale &#41;,Amber Ale
358,Bentley Brewing Co. / Dark Horse Tavern,Bentley Hooligan Amber Ale,Amber Ale
359,2 Way Brewing Company,2 Way Revolution Red,Amber Ale
360,Tipping Point Tavern,Tipping Point Chunky Gal Amber,Amber Ale
361,Willimantic Brewing Company,Willimantic Fire Engine Red,Amber Ale
362,St Peters &#40; UK &#41;,St Peters Amarillo Ale,Golden Ale/Blond Ale
363,Hog_s Head Brewing Company,Amber_s Bub_s Lunch Pail Ale,Golden Ale/Blond Ale
364,Americas Brewpub,Americas Reindeer Red Ale,Amber Ale
365,Turner Alley Brewing Company,Roosevelt Imperial Red,American Strong Ale
366,Old Dominion Brewing Company &#40; Coastal Brewing Co. &#41;,Victory Amber Lager,Amber Lager/Vienna
367,River Horse Brewing Company,River Horse Burnt Sugar Ale,American Pale Ale
368,LInox MaÃ ® tres Brasseurs,LInox Trois de Pique,Premium Bitter/ESB
369,Brewsters Brewing Co. - Alberta,Brewsters Winter WARMer Amber Ale,Amber Ale
370,Big Rock Brewery,Original Joe_s Red Ale,Amber Ale
371,Fordham Brewing Company &#40; Coastal Brewing Co. &#41;,Coastal Pamlico Amber,Amber Ale
372,14th Star Brewing Company,14th Star Hop Tea Session IPA,Session IPA
373,Southern Bay Brewing Company,Ranga Premium Red Ale,Amber Ale
374,5 Seasons Brewing Company,5 Seasons Kilt Lifter Scotch Ale,Scotch Ale
375,Monkish Brewing Co. .,Monkish False Prophet,Belgian Ale
376,Brouwerij _ t IJ,_ t IJ Red Rye IPA,India Pale Ale &#40; IPA &#41;
377,5 Seasons Westside,5 Seasons Westside Imagine Rustic Farmhouse Ale,Saison
378,Sasquatch Brewing Company,Sasquatch Red Electric IRA,Amber Ale
379,Sycamore Brewing,Sycamore Salty Coconut Red Ale,Amber Ale
380,Big Ridge Brewing Co. .,Big Ridge Red Truck Ale,Amber Ale
381,Brewbakers Brewing Company,Brewbakers Oatmeal Amber,Amber Ale
382,Amber,Amber Autumn Pale,Golden Ale/Blond Ale
383,1516 Brewing Company,1516 Tres Conejones,Imperial IPA
384,Northampton Brewing Co. &#40; NB &#41;,Picaroons Afterglow Aphrodisiac Ale,Amber Ale
385,Mount Dora Brewing,Mount Dora Dora Drawdy Drool,Amber Ale
386,Big Rock Brewery,Moxies Big Life Amber Ale,Amber Ale
387,Salopian,Blackwater Libertine,Bitter
388,Austmann Bryggeri,Austmann Easter Ale,English Pale Ale
389,Aksarben Brewing Company,Aksarben Antler Ale,Golden Ale/Blond Ale
390,Rogues _ Harbor Brewing,Rogues _ Harbor Route 34 Red Ale,Amber Ale
391,Growlers,Growlers Alley Way Amber,BiÃ ¨ re de Garde
392,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Double Barrel NW Red,Amber Ale
393,Arvada Beer Company,Arvada Flanagans Irish Red,Irish Ale
394,Flyers Restaurant & Brewery,Flyers First Flight Amber Ale,Amber Ale
395,Rivertowne Pour House,Rivertowne Arctic Amber,Amber Ale
396,River Rat Brewery,River Rat Broad River Red Ale,Amber Ale
397,Device Brewing Company,Device Derby Gurl American Amber Ale,Amber Ale
398,Barrier Brewing Company,Barrier Nunu Bru,Spice/Herb/Vegetable
399,Fegley_s Brew Works,Fegley_s Brew Works Richter_s Revenge,American Strong Ale
400,Bobcat Cafe and Brewery,Bobcat Cafe Ripton Red,Amber Ale
401,Sun King Brewing Company,Sun King Bring The Hops,India Pale Ale &#40; IPA &#41;
402,Uncommon Brewers,Uncommon Brewers Rubidus Red Ale,Spice/Herb/Vegetable
403,Cigar City Brewing,Cigar City White Oak Sunspear with Coffee,Amber Ale
404,Summit Brewing Company,Finnegans Irish Amber,Irish Ale
405,Lake Tahoe Brewing,Lake Tahoe Crystal Bay Red Ale,Amber Ale
406,Panhead Custom Ales,Canhead Johnny Octane Red IPA,India Pale Ale &#40; IPA &#41;
407,Pecan Street Brewing,Pecan Street Ten Penny Nail,Scottish Ale
408,McMenamins Pubs and Breweries,McMenamins Bagdad Ale,Pilsener
409,CervecerÃa Barbarian,Barbarian Red Ale,Amber Ale
410,Rockingham,Rockingham A1 Amber Ale,Bitter
411,Laurelwood Public House & Brewery,Laurelwood Organic Deranger Imperial Red Ale,American Strong Ale
412,Haines Brewing Co. .,Haines Eldred Rock Amber,Amber Ale
413,Philadelphia Brewing Company,Philadelphia Rowhouse Red,Specialty Grain
414,Eight Bridges Brewing,Eight Bridges Twisted Red,Amber Ale
415,House of Brews,House of Brews A-Frame Amber,Amber Ale
416,Agrarian Ales,Agrarian Curiosity,BiÃ ¨ re de Garde
417,Renaissance Brewing,8 Wired Barrel Aged Smoked Imperial Porter &#40; 2011 &#41;,Imperial Porter
418,Genesee Brewing Company &#40; North American Breweries &#41;,Genesee Brew House American Red Ale,Amber Ale
419,Big Texan Brewery,Big Texan Texas Red Amber Ale,Amber Ale
420,Liberty Brewing Co,Liberty Yakima Scarlet,American Strong Ale
421,Beer Works,Beer Works Beantown Nut Brown Ale,Brown Ale
422,Toxic Brew Company,Toxic Gem City Ruby,Belgian Ale
423,Big Alice Brewing,Big Alice No. 0104 - Red Oak & White Ash Aged Stout,Stout
424,Shipyard Brewing Company,Peak Organic King Crimson,American Strong Ale
425,CJs Brewing Company,CJs Rich-Hagg Red Ale,Irish Ale
426,Beierhaascht,Beierhaascht l_AmbrÃ © e,Amber Ale
427,Catawba Valley Brewing Company,Catawba Valley Revenuers Red Ale,Irish Ale
428,300 Suns Brewing,300 Suns Kentucky Uncommon Whiskey Ale,Amber Ale
429,Bicycle Craft Brewery,Bicycle Craft Crimson Cascade,Amber Ale
430,Portneuf Valley Brewing Co. .,Portneuf Valley Twisted Stick Amber Ale,Amber Ale
431,Milwaukee Ale House,Milwaukee Ale House Double Louies Demise,American Strong Ale
432,Cambridge Brewing Company,Cambridge Valley Girl,Amber Ale
433,Heist Brewery,Heist American Style Red Ale,Amber Ale
434,Broken Goblet Brewing,Broken Goblet Amber Management,Amber Ale
435,Porcupine Quill Micro Brewery,African Moon Black Buck Bitter,Premium Bitter/ESB
436,Calfkiller Brewing Company,Calfkiller Scorned Hooker,Amber Ale
437,Seabright Brewery,Seabright Amber,Amber Ale
438,West Sixth Brewing Company,West Sixth Amber,Amber Ale
439,Bagby Beer Company,Bagby Hop Crop Red Ale,Amber Ale
440,Triple Crossing Brewing Company,Triple Crossing Demon Days,Amber Ale
441,Healthy Brew,Healthy Brew Easy Amber,Amber Ale
442,Coors Brewing Company &#40; MillerCoors &#41;,Keystone V9,Golden Ale/Blond Ale
443,Big Boss Brewing Company,Big Boss Miss Charlotte,American Pale Ale
444,Fat Head_s Brewery & Saloon,Fat Head_s Zest For Breasts,Wheat Ale
445,First Magnitude Brewing Company,First Magnitude 450 Amber Ale,Amber Ale
446,Backshore Brewing Company,Backshore Happy Camper Amber Ale,Amber Ale
447,Big Bear Mountain Brewery,Big Bear Mountain Orange Blossom Amber Ale,Fruit Beer
448,Liberal Cup Public House and Brewery,Liberal Cup State Budget Red Ale,Amber Ale
449,BNS Brewing & Distilling,BNS Ole Prospector Red Ale,Amber Ale
450,Timeless Pints Brewing Company,Timeless Pints A Precarious Proposal - Amber Ale,Amber Ale
451,3 Cordilleras,3 Cordilleras Mulata,Amber Ale
452,San Diego Brewing Company,Callahans Red,Amber Ale
453,Vancouver Island Brewery,Vancouver Island Mile High Mountain Ale,Amber Ale
454,Thomas Creek Brewery,Thomas Creek Appalachian Amber Ale,Amber Ale
455,Big Rock Urban Brewery,Big Rock Urban Hollow Tree Pacific Northwest Red,Amber Ale
456,Titletown Brewing Company,Titletown Addlepated Ale,Amber Ale
457,Willimantic Brewing Company,Willimantic AmBeerlicious American Ale,Amber Ale
458,Szot Microbrewery,Szot Amber Ale,Amber Ale
459,Frog Island Brewing,Frog Island Amber Ale,Amber Ale
460,MashCraft Brewing,MashCraft Java Red,Irish Ale
461,Yukon Brewing Company,Yukon You Only Live Once Imperial Red Ale,Amber Ale
462,Elk Grove Brewery,Elk Grove Wrangler Red Ale,Amber Ale
463,Northbound Smokehouse Brewpub,Northbound Smokehouse Pride Red,Amber Ale
464,THAT Brewery & Pub at Rimside,THAT Amber Ale,Amber Ale
465,Cape Cod Beer,Cape Cod Bourbon Barrel Red,Amber Ale
466,L_Alchimiste,L_Alchimiste Pale Ale Rousse,English Pale Ale
467,Coopers Cave Ale Company,Coopers Cave Radeau Red Ale,Irish Ale
468,The Beer Company,The Beer Company Bloodshot Red,Amber Ale
469,Aspen Brewing Company,Aspen Bourbon Barrel Aged Conundrum Red Ale,Amber Ale
470,Baird Brewing Co. .,Baird Big Red Machine Fall Classic,Oktoberfest/M Ã $ rzen
471,Les Brasseurs du Petit Sault,Les Brasseurs du Petit Sault Louis XVII,Amber Ale
472,Block 15 Brewery,Block 15 King Caspian Royalty Red,India Pale Ale &#40; IPA &#41;
473,Puyallup River Brewing Company,Puyallup River Fryingpan Cascadian Red Ale,American Pale Ale
474,Bissell Brothers Brewing Company,Bissell Brothers Bucolia Ale,Amber Ale
475,Hollywood Beach Brewing Company,Hollywood Beach Red Tide Amber Ale,Amber Ale
476,Northampton Brewery &#40; MA &#41;,Northampton Clifford,Amber Ale
477,Quidi Vidi Brewing Company,Quidi Vidi Mummer_s Brew Amber Ale,Amber Ale
478,Palouse Falls Brewing Company,Palouse Falls Crimson Pride Ale,Amber Ale
479,Congregation Ales,Congregation Communion Chile Red,Spice/Herb/Vegetable
480,Whistler Brewhouse/High Mountain,Brewhouse Alta Lake Ale,Traditional Ale
481,Lassen Ale Works,Lassen Almanor Amber Ale,Amber Ale
482,Sebago Brewing Company,Sebago Runabout Red Ale,Amber Ale
483,Maui Brewing Company,Maui Brewing Island Hopper Red,Amber Ale
484,Bare Bones Grill & Brewery,Bare Bones Tiber River Red,Amber Ale
485,Nail Brewing Australia,Nail Beazle Brew,Amber Ale
486,Renaissance Brewing,8 Wired / Renaissance / NÃ ¸ gne _ - _ For Awesome Imperial Amber Ale,American Strong Ale
487,7venth Sun Brewery,7venth Sun Mangrove Double IPA - Red Oak,Imperial IPA
488,Pipeworks Brewing Company,Pipeworks Sam vs Unicorn,American Strong Ale
489,Thunder Canyon Brewery,Thunder Canyon Little Red Ryeding Hood IPA,India Pale Ale &#40; IPA &#41;
490,Central Coast Brewing,Central Coast Old Mission Amber Ale,Amber Ale
491,Horsefly Brewing Company,Horsefly Tabano Red,Irish Ale
492,Lynnwood Grill & Brewing Concern,Lynnwood Imperial Red,American Strong Ale
493,75th Street Brewery,75th Street Fountain City Amber,Amber Ale
494,Green Room Brewing &#40; FL &#41;,Green Room South Swell,Amber Ale
495,Fegley_s Brew Works,Bethlehem Brew Works West End Red,Amber Ale
496,AleWerks Brewing Company,AleWerks Red Marker Ale,Amber Ale
497,AF Brew,AF Brew Redneck Ale,Spice/Herb/Vegetable
498,Indie Alehouse Brewing Co. .,Indie Alehouse Grendel_s Revenge,Old Ale
499,Left Hand Brewing Co. .,Left Hand Safety Round 2,Amber Ale
500,Blue Blood Brewing Company,Storz Gold Crest Amber Ale,Amber Ale
501,Apocalypse Brew Works,Apocalypse Brew Works Atomic Amber,Amber Ale
502,Elevation 66 Brewing Company,Elevation 66 Ramble Tamble Red Ale,Amber Ale
503,AllgÃ $ uer Brauhaus &#40; Oetker Group &#41;,AllgÃ $ uer Winterfestbier,Oktoberfest/M Ã $ rzen
504,Sierra Blanca Brewing Co,Sierra Blanca Roswell Alien Amber Ale,Amber Ale
505,King Street Brewing Company,King Street Amber,Amber Ale
506,Border Brewing Company,Border Brewing Rooftop Red Ale,Amber Ale
507,Woodward Avenue Brewers,WAB Custom Blonde,Pale Lager
508,Bierbrouwerij Sint Servattumus,Koelschip Amber Skyline Almeers Stadsbier,Amber Ale
509,Celt Experience,Newmans Continental Drift Red Rye IPA,India Pale Ale &#40; IPA &#41;
510,612 Brew,612 Brew Wild Rice Dunkel,Dunkel/Tmav Ã 1/2
511,Illinois Brewing,Illinois Uptown Amber,Amber Ale
512,Big Island Brewhaus,Big Island Starshine Ginger Beer,Spice/Herb/Vegetable
513,Hopworks Urban Brewery,Hopworks Rise-Up Red Ale,Amber Ale
514,Powerhouse Restaurant & Brewery,Powerhouse Amperage Amber,Amber Ale
515,Loowit Brewing Company,Loowit Two-Sixteen Red Ale,Amber Ale
516,Naples Beach Brewery,Naples Beach Rojo Especial,Bitter
517,Flying Goose Brew Pub,Flying Goose Wildflower Honey Ale,Amber Ale
518,AB BiÃ ¨ re,AB BiÃ ¨ re La Margoulette AmbrÃ © e,Amber Ale
519,Carlsberg Brewery,Carlsberg Semper Ardens First Gold I.P.A.,India Pale Ale &#40; IPA &#41;
520,Shipyard Brewing Company,Peak Organic Fall Summit Ale,Amber Ale
521,Spiteful Brewing,Spiteful Angry Adam Hoppy Red Ale,Amber Ale
522,Crabtree Brewing Company,Crabtree 5,Sour/Wild Ale
523,Big Barn Brewery,Big Barn Bluff Top Belgian,Belgian Ale
524,Conshohocken Brewing Co. .,Conshohocken Hale Fire Red Ale,Amber Ale
525,BS Brewing,BS Brewing College Chronic,American Strong Ale
526,Wolf_s Ridge Brewing,Wolf_s Ridge Little Red Riding Ale,Amber Ale
527,Vindication Brewing Co. .,Vindication Premium Session Bold Ale,Amber Ale
528,Butternuts Beer and Ale,Alphabet City Dizzy Brewnette,Altbier
529,Kamloops Brewery,Bowen Island Sea Spray Amber Ale,Amber Ale
530,21st Amendment Brewery,21st Amendment Imperial Churchyard,English Strong Ale
531,Birrificio Rurale,Birrificio Rurale Reset,Amber Ale
532,Appalachian Brewing Company &#40; PA &#41;,Appalachian Riverside Red Ale,Amber Ale
533,Hyouko Yashiki No Mori Brewery ( Swan Lake ),Swan Lake Amber Swan Ale,Amber Ale
534,BrÃ 1/4 eprint Brewing Company,BrÃ 1/4 eprint BrÃ 1/4 e Scarlet,Amber Ale
535,Lake Chelan Brewery,Lake Chelan Mackinaw Red Amber Ale,Amber Ale
536,Rock Bottom Ahwatukee,Rock Bottom Ahwatukee Raptor Red,Irish Ale
537,La Cumbre Brewing Company,La Cumbre Grange_s Red Card 4 ALS,American Strong Ale
538,Cervecera Regional,Cerveza Queretaro,Amber Ale
539,2 Brothers Brewery,2 Brothers Bloody Oak,Barley Wine
540,No Label Brewing Co. .,No Label Ridgeback Ale,Amber Ale
541,Highway 1 Brewing Company,Highway 1 Amberdextrous,Amber Ale
542,Copperpoint Brewing Company,Copperpoint A10 Hop Hog,India Pale Ale &#40; IPA &#41;
543,Waconia Brewing Company,Waconia 255 Amber Ale,Amber Ale
544,Acoustic Ales Brewing Experiment,Acoustic Ales Mosh Pit Hoppy Red Ale,Amber Ale
545,Big Rock Brewery,Pine Creek River Valley Red Ale,Amber Ale
546,Barley Browns Brewpub,Barley Browns Point Blank Red &#40; PBR &#41;,Irish Ale
547,Arundel,Arundel Red Devil,Bitter
548,Third Base Sports Bar & Brewery,Third Base Red Rocket Amber Ale,Amber Ale
549,300 Suns Brewing,300 Suns Rabbit Mountain Red Ale,Amber Ale
550,Boneyard Beer Company,Boneyard Chingadera IIRA,Imperial IPA
551,Jack Cody_s,Jack Cody_s Smiggy Amber Ale,Amber Ale
552,Big Storm Brewing Company,Big Storm Red Hot Mama,Porter
553,Lake Effect Brewing Company,Lake Effect Whoopskibier,Amber Ale
554,Smog City Brewing,Smog City Fluffy Fuzz Buzz,Spice/Herb/Vegetable
555,515 Brewing Company,515 Undead Red,Spice/Herb/Vegetable
556,Black Bridge Brewery &#40; AZ &#41;,Black Bridge Trailblazer Brown Ale,Brown Ale
557,Amber_s Brewing Company,Amber_s Axl Rosehip,Spice/Herb/Vegetable
558,Saimaan Juomatehdas,Saimaan Brewer_s Special American Red Ale,Amber Ale
559,Rock Bottom La Jolla,Rock Bottom La Jolla Ragtop Red Ale,Amber Ale
560,Kilannan Brewing Company,Kilannan New Zealand Red Ale,Amber Ale
561,Stevens Point Brewery,Lakemaid Frosty Winter Lager,Premium Lager
562,PangPang Brewery,PangPang Hornstull Honey Amber,American Pale Ale
563,Great Lakes Brewing &#40; Ohio &#41;,Great Lakes Rally Drum Red Ale,Amber Ale
564,Diamond Knot Brewery,Diamond Knot Fog Bank Fall Ale,Amber Ale
565,Downton,Downton Chimera Maltster_s Best,Bitter
566,Big Tide Brewing,Big Tide Anniversary Amber Ale,Amber Ale
567,Domus Pub and Brewery,Nostra Domus,Oktoberfest/M Ã $ rzen
568,Intuition Ale Works,Intuition Ale Works Longleaf Amber,Amber Ale
569,Custom Brewcrafters,Lux New Olde Horny Brew,American Pale Ale
570,Crow Hop Brewery,Crow Hop Sleeping Owl Stout,Sweet Stout
571,Pints Brewing Company,Pints Rip Saw Red,Amber Ale
572,Laurelwood Public House & Brewery,Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;,Amber Ale
573,Brouwerij de Molen,Kaapse Brouwers Jaapie,American Strong Ale
574,R.J. Rockers Brewing Co. .,R.J. Rockers Red Glare,Amber Ale
575,Intracoastal Brewing Company,Intracoastal Amberica,Amber Ale
576,Marthas Exchange Restaurant and Brewing,Marthas Old Dunstable Amber,Amber Ale
577,Fort Myers Brewing Company,Fort Myers Incognito Black Imperial IPA,Black IPA
578,Brassneck Brewery,Brassneck Mr. Personality,Amber Ale
579,Lodi Beer Company,Lodi Mo kel ko Red Ale,Amber Ale
580,Prism Brewing Company,Prism Bitto Honey IPA,India Pale Ale &#40; IPA &#41;
581,HopDog BeerWorks,HopDog BeerWorks Midgee,Amber Ale
582,Widmer Brothers Brewing Company,Widmer Brothers TimBrrr,Imperial IPA
583,Australian Independent Brewers,Fish Rock Red Emperor Amber Ale,Amber Ale
584,Ancient City Brewing,Ancient City Matanzas River Red Ale,Irish Ale
585,Rat Hole Brewing,Rat Hole Rotation Red Ale,Amber Ale
586,Bank Top,Bank Top Little Red Rooster,Bitter
587,Buffalo Bayou Brewing,Buffalo Bayou 1836,Premium Bitter/ESB
588,Logboat Brewing Co. .,Logboat Jupiter_s Moons,American Strong Ale
589,Big Alice Brewing,Big Alice No. 0040 - Biscuit & Buckwheat Honey,American Strong Ale
590,Sacramento Brewing Company,Sacramento River Otter Ale,English Pale Ale
591,Roc Brewing Company,Roc Brewing Red Nutz,Irish Ale
592,Klamath Basin Brewing / The Creamery Brew Pub & Grill,Klamath Basin Rebellion Red Ale,Amber Ale
593,Wild Woods Brewery,Wild Woods Campfire Red Ale,Amber Ale
594,Coachs Brewery,Coachs Railyard Amber Ale,Amber Ale
595,Seminar Brewing,Seminar Howler American Red Ale,Amber Ale
596,Lone Peak Brewery,Lone Peak Class V Amber,Premium Bitter/ESB
597,Three Notch_d Brewing Company,Three Notch_d Fandom of the Hopera,Imperial IPA
598,21st Amendment Brewery,21st Amendment Ales for ALS,Amber Ale
599,Public Craft Brewing Co. .,Public Craft No Front Porches,Amber Ale
