unique_id,conf_title,doc_year,publication_venue,researchers
720,dbcache : database caching for web application servers,2002,international conference on management of data,"mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown"
721,learning table access cardinalities with leo,2002,international conference on management of data,"volker markl , guy lohman"
722,web caching for database applications with oracle web cache,2002,international conference on management of data,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong"
723,middle-tier database caching for e-business,2002,international conference on management of data,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton"
724,"tpc-ds , taking decision support benchmarking to the next level",2002,international conference on management of data,"meikel poess , bryan smith , lubor kollar , paul larson"
725,mid-tier caching : the timesten approach,2002,international conference on management of data,the timesten team
726,automating physical database design in a parallel database,2002,international conference on management of data,"jun rao , chun zhang , nimrod megiddo , guy lohman"
727,the sdss skyserver : public access to the sloan digital sky server data,2002,international conference on management of data,"alexander s. szalay , jim gray , ani r. thakar , peter z. kunszt , tanu malik , jordan raddick , christopher stoughton , jan vandenberg"
728,efficient execution of joins in a star schema,2002,international conference on management of data,andreas weininger
729,quadtree and r-tree indexes in oracle spatial : a comparison using gis data,2002,international conference on management of data,"ravi kanth v kothuri , siva ravada , daniel abugov"
730,garlic : a new flavor of federated query processing for db2,2002,international conference on management of data,"vanja josifovski , peter schwarz , laura haas , eileen lin"
731,a compact b-tree,2002,international conference on management of data,"peter bumbulis , ivan t. bowman"
732,coordinating backup/recovery and data consistency between database and file systems,2002,international conference on management of data,"suparna bhattacharya , c. mohan , karen w. brannon , inderpal narang , hui-i hsiao , mahadevan subramanian"
733,an ebxml infrastructure implementation through uddi registries and rosettanet pips,2002,international conference on management of data,"asuman dogac , yusuf tambag , pinar pembecioglu , sait pektas , gokce laleci , gokhan kurt , serkan toprak , yildiray kabak"
734,wavelet synopses with error guarantees,2002,international conference on management of data,"minos garofalakis , phillip b. gibbons"
735,compressing sql workloads,2002,international conference on management of data,"surajit chaudhuri , ashish kumar gupta , vivek narasayya"
736,systems and prototypes,2002,acm sigmod record,jignesh patel
737,a brief survey of web data extraction tools,2002,acm sigmod record,"alberto h. f. laender , berthier a. ribeiro-neto , altigran s. da silva , juliana s. teixeira"
738,standards,2002,acm sigmod record,andrew eisenberg
739,phoenix project : fault-tolerant applications,2002,acm sigmod record,"roger barga , david lomet"
740,reports,2002,acm sigmod record,avigdor gal
741,data warehousing and business intelligence for e-commerce : by alan r. simon & steven l. shaffer,2002,acm sigmod record,frank g. goethals
742,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),2002,acm sigmod record,joachim hammer
743,"on building an infrastructure for mobile and wireless systems : report on the nsf workshop on an infrastructure for mobile and wireless systems , oct. 15 , 2001",2002,acm sigmod record,"birgitta k &#246; nig-ries , kia makki , sam makki , charles perkins , niki pissinou , peter reiher , peter scheuermann , jari veijalainen , ouri wolfson"
744,book review column,2002,acm sigmod record,karl aberer
745,book reviews,2002,acm sigmod record,karl aberer
746,"mining the world wide web : an information search approach by george chang , marcus j. healey ( editor ) , james a. m. mchugh , jason t. l. wang",2002,acm sigmod record,aris ouksel
747,data mining : concepts and techniques by jiawei han and micheline kamber,2002,acm sigmod record,"fernando berzal , nicolf &#225; s mat &#237; n"
748,from ternary relationship to relational tables : a case against common beliefs,2002,acm sigmod record,rafael camps par &#233;
749,cluster validity methods : part i,2002,acm sigmod record,"maria halkidi , yannis batistakis , michalis vazirgiannis"
750,"david dewitt speaks out : on rethinking the cs curriculum , why the database community should be proud , why query optimization does n't work , how supercomputing funding is sometimes very poorly spent , how he 's not a good coder and is n't smart enough to do db theory , and more",2002,acm sigmod record,marianne winslett
751,distinguished database profiles,2002,acm sigmod record,marianne winslett
752,the design of a retrieval technique for high-dimensional data on tertiary storage,2002,acm sigmod record,"ratko orlandic , jack lukaszuk , craig swietlik"
753,a pictorial query language for querying geographic databases using positional and olap operators,2002,acm sigmod record,"elaheh pourabbas , maurizio rafanelli"
754,investigating xquery for querying across database object types,2002,acm sigmod record,nancy wiegand
755,mpeg-7 and multimedia database systems,2002,acm sigmod record,harald kosch
756,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )",2002,international conference on management of data,"dennis shasha , philippe bonnet"
757,software as a service : asp and asp aggregation,2002,international conference on management of data,christoph bussler
758,articles,2002,acm sigmod record,avigdor gal
759,bringing order to query optimization,2002,acm sigmod record,"giedrius slivinskas , christian s. jensen , richard thomas snodgrass"
760,implementing xquery,2002,international conference on management of data,paul cotton
761,querying and mining data streams : you only get one look a tutorial,2002,international conference on management of data,"minos garofalakis , johannes gehrke , rajeev rastogi"
762,tutorial : application servers and associated technologies,2002,international conference on management of data,c. mohan
763,"database tuning : principles , experiments , and troubleshooting techniques ( part i )",2002,international conference on management of data,"dennis shasha , philippe bonnet"
764,xbase : making your gigabyte disk queriable,2002,international conference on management of data,"hongjun lu , guoren wang , ge yu , yubin bao , jianhua lv , yaxin yu"
765,xmdvtool : visual interactive data exploration and trend discovery of high-dimensional data sets,2002,international conference on management of data,"elke a. rundensteiner , matthew o. ward , jing yang , punit r. doshi"
766,data streams : fresh current or stagnant backwater ? ( panel ),2002,international conference on management of data,"joseph m. hellerstein , jennifer widom"
767,going public : open-source databases and database research,2002,international conference on management of data,philippe bonnet
768,algorithms for mining distance-based outliers in large datasets,1998,very large data bases,"edwin m. knorr , raymond t. ng"
769,"information , communication , and money : for what can we charge and how can we meter it ?",1998,very large data bases,"stephen blott , henry f. korth , abraham silberschatz"
770,from data independence to knowledge independence : an on-going story,1998,very large data bases,laurent vieille
771,materialized views in oracle,1998,very large data bases,"randall g. bello , karl dias , alan downing , james j. feenan , jr. , james l. finnerty , william d. norcott , harry sun , andrew witkowski , mohamed ziauddin"
772,computing iceberg queries efficiently,1998,very large data bases,"min fang , narayanan shivakumar , hector garcia-molina , rajeev motwani , jeffrey d. ullman"
773,"topaz : a cost-based , rule-driven , multi-phase parallelizer",1998,very large data bases,"clara nippl , bernhard mitschang"
774,scalable sweeping-based spatial join,1998,very large data bases,"lars arge , octavian procopiuc , sridhar ramaswamy , torsten suel , jeffrey scott vitter"
775,r-tree based indexing of now-relative bitemporal data,1998,very large data bases,"rasa bliujute , christian s. jensen , simonas saltenis , giedrius slivinskas"
776,wavecluster : a multi-resolution clustering approach for very large spatial databases,1998,very large data bases,"gholamhosein sheikholeslami , surojit chatterjee , aidong zhang"
777,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,1998,very large data bases,"reinhard braumandl , jens clau &#223; en , alfons kemper"
778,binding propagation in disjunctive databases,1998,very large data bases,sergio greco
779,atomicity versus anonymity : distributed transactions for electronic commerce,1998,very large data bases,j. d. tygar
780,proximity search in databases,1998,very large data bases,"roy goldman , narayanan shivakumar , suresh venkatasubramanian , hector garcia-molina"
781,active storage for large-scale data mining and multimedia,1998,very large data bases,"erik riedel , garth a. gibson , christos faloutsos"
782,query optimization for xml,1999,very large data bases,"jason mchugh , jennifer widom"
783,aqua : a fast decision support systems using approximate query answers,1999,very large data bases,"swarup acharya , phillip b. gibbons , viswanath poosala"
784,building light-weight wrappers for legacy web data-sources using w4f,1999,very large data bases,"arnaud sahuguet , fabien azavant"
785,performance measurements of compressed bitmap indices,1999,very large data bases,theodore johnson
786,curio : a novel solution for efficient storage and indexing in data warehouses,1999,very large data bases,"anindya datta , krithi ramamritham , helen m. thomas"
787,"the new locking , logging , and recovery architecture of microsoft sql server 7.0",1999,very large data bases,david campbell
788,unrolling cycles to decide trigger termination,1999,very large data bases,"sin yeung lee , tok wang ling"
789,aggregation algorithms for very large compressed data warehouses,1999,very large data bases,"jianzhong li , doron rotem , jaideep srivastava"
790,quality-driven integration of heterogenous information systems,1999,very large data bases,"felix naumann , ulf leser , johann christoph freytag"
791,implementation of two semantic query optimization techniques in db2 universal database,1999,very large data bases,"qi cheng , jarek gryz , fred koo , t. y. cliff leung , linqi liu , xiaoyan qian , k. bernhard schiefer"
792,high-performance extensible indexing,1999,very large data bases,marcel kornacker
793,evaluating top-k selection queries,1999,very large data bases,"surajit chaudhuri , luis gravano"
794,building hierarchical classifiers using class proximity,1999,very large data bases,"ke wang , senqiang zhou , shiang chen liew"
795,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,1999,very large data bases,"j &#233; r &#244; me darmont , michel schneider"
796,cache conscious indexing for decision-support in main memory,1999,very large data bases,"jun rao , kenneth a. ross"
797,an adaptive hybrid server architecture for client caching odbmss,1999,very large data bases,"kaladhar voruganti , m. tamer &#214; zsu , ronald c. unrau"
798,database architecture optimized for the new bottleneck : memory access,1999,very large data bases,"peter a. boncz , stefan manegold , martin l. kersten"
799,hierarchical prefix cubes for range-sum queries,1999,very large data bases,"chee yong chan , yannis e. ioannidis"
800,cost models do matter : providing cost information for diverse data sources in a federated system,1999,very large data bases,"mary tork roth , fatma ozcan , laura m. haas"
801,optimization of run-time management of data intensive web-sites,1999,very large data bases,"daniela florescu , alon y. levy , dan suciu , khaled yagoub"
802,issues in network management in the next millennium,1999,very large data bases,"michael l. brodie , surajit chaudhuri"
803,extending practical pre-aggregation in on-line analytical processing,1999,very large data bases,"torben bach pedersen , christian s. jensen , curtis e. dyreson"
804,context-based prefetch for implementing objects on relations,1999,very large data bases,"philip a. bernstein , shankar pal , david shutt"
805,xml repository and active views demonstration,1999,very large data bases,"serge abiteboul , vincent aguilera , s &#233; bastien ailleret , bernd amann , sophie cluet , brendan hills , fr &#233; d &#233; ric hubert , jean-claude mamou , am &#233; lie marian , laurent mignet , tova milo , cassio souza dos santos , bruno tessier , anne-marie vercoustre"
806,high level indexing of user-defined types,1999,very large data bases,"weidong chen , jyh-herng chow , you-chin fuh , jean grandbois , michelle jou , nelson mendon &#231; a mattos , brian t. tran , yun wang"
807,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,1999,very large data bases,"masahisa tamura , masaru kitsuregawa"
808,"industrial panel on data warehousing technologies : experiences , challenges , and directions",1999,very large data bases,umeshwar dayal
809,multi-dimensional substring selectivity estimation,1999,very large data bases,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava"
810,explaining differences in multidimensional aggregates,1999,very large data bases,sunita sarawagi
811,relational databases for querying xml documents : limitations and opportunities,1999,very large data bases,"jayavel shanmugasundaram , kristin tufte , chun zhang , gang he , david j. dewitt , jeffrey f. naughton"
812,generalised hash teams for join and group-by,1999,very large data bases,"alfons kemper , donald kossmann , christian wiesner"
813,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,1999,very large data bases,"alexander hinneburg , daniel a. keim"
814,exploiting versions for handling updates in broadcast disks,1999,very large data bases,"evaggelia pitoura , panos k. chrysanthis"
815,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance",1999,very large data bases,"antony l. hosking , jiawan chen"
816,a scalable and highly available networked database architecture,1999,very large data bases,"roger bamford , rafiul ahad , angelo pruscino"
817,probabilistic optimization of top n queries,1999,very large data bases,"donko donjerkovic , raghu ramakrishnan"
818,ghost : fine granularity buffering of indexes,1999,very large data bases,"cheng hian goh , beng chin ooi , d. sim , kian-lee tan"
819,networked data management design points,1999,very large data bases,james r. hamilton
820,spatio-temporal retrieval with rasdaman,1999,very large data bases,"peter baumann , andreas dehmel , paula furtado , roland ritsch , norbert widmann"
821,spirit : sequential pattern mining with regular expression constraints,1999,very large data bases,"minos n. garofalakis , rajeev rastogi , kyuseok shim"
822,on efficiently implementing schemasql on an sql database system,1999,very large data bases,"laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian"
823,extracting large-scale knowledge bases from the web,1999,very large data bases,"ravi kumar , prabhakar raghavan , sridhar rajagopalan , andrew tomkins"
824,a novel index supporting high volume data warehouse insertion,1999,very large data bases,"chris jermaine , anindya datta , edward omiecinski"
825,miro web : integrating multiple data sources through semistructured data types,1999,very large data bases,"luc bouganim , tatiana chan-sine-ying , tuyet-tram dang-ngoc , jean-luc darroux , georges gardarin , fei sha"
826,user-defined table operators : enhancing extensibility for ordbms,1999,very large data bases,"michael jaedicke , bernhard mitschang"
827,similarity search in high dimensions via hashing,1999,very large data bases,"aristides gionis , piotr indyk , rajeev motwani"
828,fast algorithms for maintaining replica consistency in lazy master replicated databases,1999,very large data bases,"esther pacitti , pascale minet , eric simon"
829,"o-o , what have they done to db2 ?",1999,very large data bases,"michael j. carey , donald d. chamberlin , srinivasa narayanan , bennet vance , doug doole , serge rielau , richard swagerman , nelson mendon &#231; a mattos"
830,online feedback for nested aggregate queries with multi-threading,1999,very large data bases,"kian-lee tan , cheng hian goh , beng chin ooi"
831,implementation of sql3 structured types with inheritance and value substitutability,1999,very large data bases,"you-chin fuh , stefan de &#223; loch , weidong chen , nelson mendon &#231; a mattos , brian t. tran , bruce g. lindsay , linda demichel , serge rielau , danko mannhaupt"
832,the value of merge-join and hash-join in sql server,1999,very large data bases,goetz graefe
833,histogram-based approximation of set-valued query-answers,1999,very large data bases,"yannis e. ioannidis , viswanath poosala"
834,the mirror mmdbms architecture,1999,very large data bases,"arjen p. de vries , mark g. l. m. van doorn , henk m. blanken , peter m. g. apers"
835,finding intensional knowledge of distance-based outliers,1999,very large data bases,"edwin m. knorr , raymond t. ng"
836,"data-driven , one-to-one web site generation for data-intensive applications",1999,very large data bases,"stefano ceri , piero fraternali , stefano paraboschi"
837,distributed hypertext resource discovery through examples,1999,very large data bases,"soumen chakrabarti , martin van den berg , byron dom"
838,repeating history beyond aries,1999,very large data bases,c. mohan
839,"active storage hierarchy , database systems and applications - socratic exegesis",1999,very large data bases,"felipe cari &#241; o , william o'connell , john burgess , joel h. saltz"
840,what can hierarchies do for data warehouses ?,1999,very large data bases,"h. v. jagadish , laks v. s. lakshmanan , divesh srivastava"
841,datawarehousing has more colours than just black & ; white,1999,very large data bases,"thomas zurek , markus sinnwell"
842,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,1999,very large data bases,"arnd christian k &#246; nig , gerhard weikum"
843,semantic compression and pattern extraction with fascicles,1999,very large data bases,"h. v. jagadish , j. madar , raymond t. ng"
844,dbmss on a modern processor : where does time go ?,1999,very large data bases,"anastassia ailamaki , david j. dewitt , mark d. hill , david a. wood"
845,generating call-level interfaces for advanced database application programming,1999,very large data bases,"udo nink , theo h &#228; rder , norbert ritter"
846,active views for electronic commerce,1999,very large data bases,"serge abiteboul , bernd amann , sophie cluet , adi eyal , laurent mignet , tova milo"
847,online dynamic reordering for interactive data processing,1999,very large data bases,"vijayshankar raman , bhaskaran raman , joseph m. hellerstein"
848,integrating heterogenous overlapping databases through object-oriented transformations,1999,very large data bases,"vanja josifovski , tore risch"
849,what is the nearest neighbor in high dimensional spaces ?,2000,very large data bases,"alexander hinneburg , charu c. aggarwal , daniel a. keim"
850,the a-tree : an index structure for high-dimensional spaces using relative approximation,2000,very large data bases,"yasushi sakurai , masatoshi yoshikawa , shunsuke uemura , haruhiko kojima"
851,schema mapping as query discovery,2000,very large data bases,"ren &#233; e j. miller , laura m. haas , mauricio a. hern &#225; ndez"
852,comparing hierarchical data in external memory,1999,very large data bases,sudarshan s. chawathe
853,"what do those weird xml types want , anyway ?",1999,very large data bases,steven j. derose
854,loading a cache with query results,1999,very large data bases,"laura m. haas , donald kossmann , ioana ursu"
855,capturing and querying multiple aspects of semistructured data,1999,very large data bases,"curtis e. dyreson , michael h. b &#246; hlen , christian s. jensen"
856,insite : a tool for interpreting users ? interaction with a web space,2000,very large data bases,"cyrus shahabi , adil faisal , farnoush banaei kashani , jabed faruque"
857,a database platform for bioinformatics,2000,very large data bases,sandeepan banerjee
858,performance issues in incremental warehouse maintenance,2000,very large data bases,"wilburt labio , jun yang , yingwei cui , hector garcia-molina , jennifer widom"
859,research directions in biodiversity informatics,2000,very large data bases,john l. schnase
860,toward learning based web query processing,2000,very large data bases,"yanlei diao , hongjun lu , songting chen , zengping tian"
861,the evolution of the web and implications for an incremental crawler,2000,very large data bases,"junghoo cho , hector garcia-molina"
862,"panel : future directions of database research - the vldb broadening strategy , part 2",2000,very large data bases,michael l. brodie
863,semantic access : semantic interface for querying databases,2000,very large data bases,"naphtali rishe , jun yuan , rukshan athauda , shu-ching chen , xiaoling lu , xiaobin ma , alexander vaschillo , artyom shaposhnikov , dmitry vasilevsky"
864,process automation as the foundation for e-business,2000,very large data bases,"fabio casati , ming-chien shan"
865,a case-based approach to information integration,2000,very large data bases,"maurizio panti , luca spalazzi , alberto giretti"
866,a scalable algorithm for answering queries using views,2000,very large data bases,"rachel pottinger , alon y. levy"
867,publish/subscribe on the web at extreme speed,2000,very large data bases,"jo &#227; o pereira , fran &#231; oise fabret , fran &#231; ois llirbat , radu preotiuc-pietro , kenneth a. ross , dennis shasha"
868,fast time sequence indexing for arbitrary lp norms,2000,very large data bases,"byoung-kee yi , christos faloutsos"
869,the challenge of process data warehousing,2000,very large data bases,"matthias jarke , thomas list , j &#246; rg k &#246; ller"
870,using sql to build new aggregates and extenders for object - relational systems,2000,very large data bases,"haixun wang , carlo zaniolo"
871,decision tables : scalable classification exploring rdbms capabilities,2000,very large data bases,"hongjun lu , hongyan liu"
872,a 20/20 vision of the vldb-2020 ?,2000,very large data bases,"s. misbah deen , anant jhingran , shamkant b. navathe , erich j. neuhold , gio wiederhold"
873,automated selection of materialized views and indexes in sql databases,2000,very large data bases,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya"
874,"toto , we 're not in kansas anymore : on transitioning from research to the real ( invited industrial talk )",2000,very large data bases,michael j. carey
875,identifying representative trends in massive time series data sets using sketches,2000,very large data bases,"piotr indyk , nick koudas , s. muthukrishnan"
876,asera : extranet architecture for b2b solutions,2000,very large data bases,anil nori
877,mining frequent itemsets using support constraints,2000,very large data bases,"ke wang , yu he , jiawei han"
878,rethinking database system architecture : towards a self-tuning risc-style database system,2000,very large data bases,"surajit chaudhuri , gerhard weikum"
879,efficiently publishing relational data as xml documents,2000,very large data bases,"jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald"
880,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,2000,very large data bases,"torben bach pedersen , christian s. jensen , curtis e. dyreson"
881,multi-dimensional database allocation for parallel data warehouses,2000,very large data bases,"thomas st &#246; hr , holger m &#228; rtens , erhard rahm"
882,data mining in the bioinformatics domain,2000,very large data bases,shalom tsur
883,efficient filtering of xml documents for selective dissemination of information,2000,very large data bases,"mehmet altinel , michael j. franklin"
884,"high-performance and scalability through application tier,in-memory data management",2000,very large data bases,
885,push technology personalization through event correlation,2000,very large data bases,"asaf adi , david botzer , opher etzion , tali yatzkar-haham"
886,integration of data mining with database technology,2000,very large data bases,"amir netz , surajit chaudhuri , jeff bernhardt , usama m. fayyad"
887,temporal integrity constraints with indeterminacy,2000,very large data bases,"wes cowley , dimitris plexousakis"
888,design and development of a stream service in a heterogenous client environment,2000,very large data bases,"nikos pappas , stavros christodoulakis"
889,approximate query processing using wavelets,2000,very large data bases,"kaushik chakrabarti , minos n. garofalakis , rajeev rastogi , kyuseok shim"
890,hypothetical knowledge and counterfactual reasoning,2000,very large data bases,joseph y. halpern
891,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,2000,very large data bases,"jonathan goldstein , raghu ramakrishnan"
892,agora : living with xml and relational,2000,very large data bases,"ioana manolescu , daniela florescu , donald kossmann , florian xhumari , dan olteanu"
893,falcon : feedback adaptive loop for content-based retrieval,2000,very large data bases,"leejay wu , christos faloutsos , katia p. sycara , terry r. payne"
894,managing intervals efficiently in object-relational databases,2000,very large data bases,"hans-peter kriegel , marco p &#246; tke , thomas seidl"
895,controlling data warehouses with knowledge networks,2000,very large data bases,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke"
896,standards,2002,acm sigmod record,jim melton
897,an early look at xquery,2002,acm sigmod record,"andrew eisenberg , jim melton"
898,research centers,2002,acm sigmod record,amit sheth
899,research in information managment at dublin city university,2002,acm sigmod record,"mark roantree , alan f. smeaton"
900,performing joins without decompression in a compressed database system,2003,acm sigmod record,"s. j. o'connell , n. winterbottom"
901,xpath processing in a nutshell,2003,acm sigmod record,"georg gottlob , christoph koch , reinhard pichler"
902,a graphical query language for mobile information systems,2003,acm sigmod record,ya-hui chang
903,a multi-paradigm querying approach for a generic multimedia database management system,2003,acm sigmod record,"ji-rong wen , qing li , wei-ying ma , hong-jiang zhang"
904,book review column,2002,acm sigmod record,karl aberer
905,"review of ontologies : a silver bullet for knowledge management and electronic commerce by dieter fensel . springer-verlag , 2002 .",2002,acm sigmod record,antonio badia
906,small worlds : the dynamics of networks between order and randomness,2002,acm sigmod record,"jie wu , duncan j. watts"
907,distinguished database profiles,2002,acm sigmod record,marianne winslett
908,parameterized complexity for the database theorist,2002,acm sigmod record,martin grohe
909,reports,2002,acm sigmod record,avigdor gal
910,amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,2002,acm sigmod record,"amit sheth , robert meersman"
911,report on the edbt '02 panel on scientific data integration,2002,acm sigmod record,"omar boucelma , silvana castano , carole goble , vanja josifovski , zo &#233; lacroix , bertram lud &#228; scher"
912,"report on the first international conference on ontologies , databases and applications of semantics ( odbase ) : part of the federated conference on the move to meaningful internet systems 2002",2003,acm sigmod record,karl aberer
913,report on the first international workshop on efficient web-based information systems,2003,acm sigmod record,"zo &#233; lacroix , omar boucelma"
914,database research at ut arlington,2003,acm sigmod record,"sharma chakravarthy , alp aslandogan , ramez elmasri , leonidas fegaras , junghwan oh"
915,research centers,2003,acm sigmod record,amit sheth
