pub_id,publication_venue,pub_year,subject_title,written_by
3938,"md ,",,"cancer incidence and survival among children and adolescents : united states seer program 1975-1995 ,","lag ries , ma smith , jg gurney , m linet , t tamra ,"
3939,"vldb ,",1997.0,spatial joins using r-trees : breadth-first traversal with global optimizations,"yw huang , n jing , ea rundensteiner"
3940,"electronic production ,",,5 steps to success in lead-free soldering -- step 4 : implement lead-free manufacturing,g diepstraten
3941,"electronic markets ,",1999.0,ict and the changing landscape of global tourism distribution,h werthner
3942,"new directions for higher education ,",1983.0,the administrator 's role in providing educational excellence .,tj hegarty
3943,"handbook of sensory physiology ,",1973.0,cutaneous mechanoreceptors and nociceptors,"pr burgess , er perl"
3944,,1957.0,models of man,ha simon
3945,,,parallel index building in informix online 6.0,w davison
3946,"proc . of acm sigmod ,",,querying object-orienteddatabases,"wk michaelkifer , y sagiv"
3947,"proceedings of the daec ( departement d &#39; astrophysique & hellip ; ,",1988.0,large scale structures : observations and instrumentation,"c balkowski , s gordon"
3948,"lecture notes in computer science ,",2004.0,lessons from a sensor network expedition,"r szewczyk , j polastre , a mainwaring , d culler"
3949,"new directions for program evaluation ,",,establishing evaluative conclusions : a distinction between general and working logic,dm fournier
3950,vldb,,"h. , g.-m. , and silberschatz , a. 1992 . overview of multidatabase transaction management",y breitbart
3951,"& hellip ; masterâ ?? s thesis , university of zurich , switzerland ,",,integration von wahrscheinlichkeiten : verarbeitung von zwei wahrscheinlichkeitsinformationen [,t bamert
3952,,1995.0,internet keyed payments protocol ( ikp,"m linehan , g tsudik"
3953,"sigmod record-quarterly publication of thespecial interest & hellip ; ,",,"wong . m , â ?? mining fuzzy association rules in databases , â ??","c kuok , a fu"
3954,"pc magazine ,",,customer relationship management,k bannon
3955,"new directions for teaching and learning ,",1986.0,private liberal arts colleges and teacher preparation .,nf daly
3956,"proceedings of ecole dâ ?? et ! ee , th ! eeorie et practique des & hellip ; ,",,an introduction to differential flatness of mechanical systems,"r murray , m rathinam , m van nieuwstadt"
3957,"proc . int . ornithol . congr ,",,importance of ice edges to high-arctic seabirds,msw bradstreet
3958,"new directions for adult and continuing education ,",1992.0,models of women 's learning : implications for continuing professional education .,"k loughlin , v mott"
3959,,,enhancing e-communities with agent-based systems,"s case , n azarmi , m thint"
3960,"approaches to organization design ,",,innovation in organization : notes toward a theory,jq wilson
3961,"proceedings of flins2002belgium : world scientific ,",,mining fuzzy implication-based association rules in quantitative databases [ a ],"gq chen , p yan , ee kerre"
3962,"radiotekhnika i elektronika ,",1988.0,azimuthal surface modes of magnetoactive plasma waveguides,"va girka , ia girka , an kondratenko , vi tkachenko"
3963,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",,"a modeling study of the tpc-c benchmark , a publication in a conference","st leutengger , d dias"
3964,"proc . spie ,",2000.0,evaluation of a pragmatic approach for the prediction of radiation-induced losses in optical fibers,"m van uffelen , f berghmans , mc dã © creton , a"
3965,"computer networks ,",2000.0,maintenance of mobile system ambients using a process calculus,"t ando , k takahashi , y kato , n shiratori"
3966,,1921.0,"1930 , ( posted at www . rootsweb . com/kyletcher ) , ''",lc births
3967,"proceedings-ieee ,",1998.0,progressive coding of 3-d graphic models,"j li , ccj kuo"
3968,,,automatic subspaceclusteringof high dimensionaldatafor data mining applications,"r agrawal , j gehrke , d gunopulos , p raghavan"
3969,"ieee transactions on knowledge and data engineering ,",2004.0,concise papers,"he blok , s choenni , hm blanken"
3970,,1987.0,"maa , and de culler . parallelism in dataflow programs . computation structures group memo 279",gk arvind
3971,"san diego : singular ,",,fundaciã ³ n macarthur inventario del desarrollo de habilidades comunicativas [ macarthur communi -,"d jackson-maldonado , e bates , d thal"
3972,"discussiones mathematicae graph theory ,",2002.0,decompositions of multigraphs into parts with two edges,"j ivanco , m meszka , z skupien"
3973,,1996.0,a language for interoperability in relational mulitdatabase systems,"s lakshaman , s subramanian"
3974,,,graph-based ranking algorithms for e-mail expertise analysis,"b dom , i eiron , a cozzi , y zhang"
3975,,,i 'm blogging this '' : a closer look at why people blog,"ba nardi , dj schiano , m gumbrecht , l swartz"
3976,,1979.0,"navajo education , 1948-1978 : its progress and its problems . volume iii , part a , navajo history .",ra roesselâ ? ¦
3977,"phil . mag ,",,"kelly . a. & williamson , gk ( 1960 )",j washburn
3978,"new york : manpower demonstration research corporation ,",,new hope for low-income families : effects of a program to reduce poverty and reform welfare,"h bos , a huston , r granger , g duncan , t brock , v"
3979,,,"regularization of mellin-type inverse problems with an application to oil engeneering , february 2004","o hansen , s fischer , r ramlau"
3980,"new directions for higher education ,",2001.0,the student learning self-study : choices and opportunities,sr hatfield
3981,,,speculation in first-price auctions with resale,t troger
3982,"journal of personality and social psychology ,",1973.0,effects of naturally induced teacher expectancies,wb seaver
3983,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,magneto-spectroscopy of photo-excited states in semiconductors using far-infrared lasers,"y nisida , k muro , u kawata"
3984,"new directions for adult and continuing education ,",2000.0,volunteer trainer development in adult literacy : using a team-based strategy to negotiate national,"dt evans , jm hugo"
3985,"proc , vldb con ,",,"statlstlcal databases charactenstlcs , problems and some solutions",a shosham
3986,,,the struggle for the american curriculum ( 1893-1958 ),h kliebard
3987,"proceedings of the 23rd conference on foundations of & hellip ; ,",,ahinalp . comparing sequences with segment rearrangements,"f ergun , s muthukrishnan , s sc"
3988,,,supporting full-text information retrieval,"ew brown , jp callan , wb croft , jeb moss"
3989,"seminar and demonstration on adaptive antennas and antenna & hellip ; ,",,active and adaptive base station antennas for mobile communication,b johanisson
3990,"bt technology journal ,",2005.0,model-driven systems development and integration environment,"m azmoodeh , n georgalas , s fisher"
3991,"history of programming languages ,",1993.0,adaâ ?? the project : the dod high order language working group,wa whitaker
3992,"vldb ,",,definition and evaluation of access rules in data management systems,"eb fernandez , rc summers , t lang"
3993,,1995.0,fractals in science,"a bunde , s havlin"
3994,,,"hibric-mem , a memory controller for powerpc based systems","m porrmann , j landmann , km marks , u rã 1/4 ckert"
3995,"phil . mag. ,",1972.0,the variation of plasma energy loss with composition in dilute aluminum-magnesium solid solutions,"g hibbert , jw edington , db williams , p doig"
3996,"cellular and molecular biology letters ,",1996.0,modulation of hemolytic properties of resorcinolic lipids by divalent cations,"m stasiuk , a kozubek"
3997,"vldb ,",1999.0,context-based prefetch for implementing objects on relations,"pa bernstein , s pal , d shutt"
3998,,2002.0,hdeye : visual mining of highdimensional data ( demo ),"a hinneburg , da keim , m wawryniuk"
3999,proceedings of the 23rd annual international symposium on,,"atre , and anne-marie kermarrec . coma : an opportunity for building fault-tolerant scalable shared","c morin , a geaut , m ban"
4000,"biotechnology , i ,",,more to hyaluronic acid than meets the eye,j van brunt
4001,"proceedings of the 13th vldb , aug ,",,"trees : a unified approach to processing queries that contain subqueries , aggregates and quantifiers ,","u dayal , o nests"
4002,"new directions for higher education ,",1984.0,the federal role in graduate program innovation .,tj linneyâ ? ¦
4003,proceeding of the 1993 acm sigmod,,"oã cents â ? ¬ â ? cents neil , and g. weikum . the lru-k page replacement algorithm for database disk buffering",ej oã cents
4004,"computerworld ,",,too many it duties ? hire a second cio,t hoffman
4005,"journal of emergency medicine ,",1994.0,the emergency department management of near-hanging victims,"l vande krol , r wolfe"
4006,"& hellip ; 24th annual international conference of the international & hellip ; ,",,electricity deregulation : the norwegian-swedish way,"e amundsen , l bergman"
4007,"proceedings of acm siggraph 2005 ,",2005.0,automatic photo pop-up,"d hoiem , aa efros , m hebert"
4008,,1997.0,5.0 documentation . visual c++ tutorials : autoclick : automation,c visual
4009,"cochrane database syst rev ,",2003.0,nonsteroidal anti-inflammatory drugs for primary dysmenorrhoea,"j marjoribanks , ml proctor , c farquhar"
4010,"unpublished manuscript ,",1996.0,unsolved problems in planning as constraint satisfaction,"t bedrax-weiss , ak jonsson , ml ginsberg"
4011,vol .,,"theory of molecular fluids ( clarendon , oxford , 1984 )","cg gray , ke gubbins"
4012,sigmod,,monitoring streamsâ ?? a new class of data management applications,"b babcock , s babu , r motwani , m datar"
4013,"proceedings of acm conference on computer and communications & hellip ; ,",2003.0,hop-count filtering : an effective defense against spoofed ddos traffic,"c jin , h wang , k shin"
4014,"bt technology journal ,",1998.0,a solution for midband,"aj dickie , jh mackenzie"
4015,"information and software technology ,",,a goal driven requirements process model [ j ],"t mary frances , slp wavefront"
4016,at .,,utility of composite materials for the explosion-proof enclosure of an atomic power plant,"ag ivanov , ag fedorenko"
4017,"electronic letters ,",1998.0,asymptotically exact computation of differential cepstrum using fft approach,d zazula
4018,"proc . acm sigmod/nt/conf . on the management of data , may ,",,spatial query processing in an object-oriented system,j orenstein
4019,"submitted for publication ,",,heuristics for social interactions : how to generate trust and fairness,"j rieskamp , g gigerenzer"
4020,,,a prototype implementation of archival intermemory,"y chen , j edler , a goldberg , a gottlieb , s sobti ,"
4021,"proc . of the 21st intâ ?? l conf . on data engineering ( icde ) ,",2005.0,optimizing etl processes in data warehouses,"a simitsis , p vassiliadis , t sellis"
4022,"academy of management review ,",2000.0,explaining the variance in the performance effects of privatization,"a cuervo , b villalonga"
4023,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0,the â ?? superâ ?? project,"m andersson , am auddino , y dupont , e fontana , m"
4024,,,computing iceberg queries e ciently,"m fang , n shivakumar , h garcia-molina , r motwani ,"
4025,"proc . iii int . conf . on vldb ,",,validity and verification aspects of information modeling,ja bubenko
4026,"cd-rom procs . 16th imacs world congress ,",,on the efficient treatment of vertical mixing and chemistry in air pollution modelling,"pjf berkvens , ma botchev , jg verwer"
4027,"proceedings of acm sigmod ,",,designing and mining multi-terabyte astronomy archives : the digital sky survey,a szalayâ ? ¦
4028,"acm sigmod record ,",1991.0,spatial database access methods,"b salzberg , db lomet"
4029,,,a typed intermediate language for supporting multiple inheritance via interfaces,"j chen , c chen"
4030,"proceedings of the i mech e part d journal of automobile & hellip ; ,",1997.0,dynamic performance simulation of a continuously variable transmission motorcycle for fuzzy,"cw hong , cc chen"
4031,,,advanced program restructuring for high-performance computers with polaris,"w blume , r doallo , r eigenmann , j grout , j"
4032,"proceedings of the twenty-first annual acm symposium on & hellip ; ,",1989.0,the cell probe complexity of dynamic data structures,"m fredman , m saks"
4033,"cife , stanford university , stanford , cife , technical report ,",,potential benefits of internet-based project control systems-a study on monthly billings processing,"a barron , m fischer"
4034,"the histochemical journal ,",1992.0,ultrastructural localization ofl-fucose residues in nuclei of root primordia of the green peapisum,"h chamberland , jg lafontaine"
4035,,,hierarchical federations,"g magee , g shanks"
4036,as international conference on technical,,real-time communication in cim systems using fddi,"p werahera , a jayasumana"
4037,"virology-new york - ,",2000.0,related tt viruses in chimpanzees,m cong
4038,"development and demonstration å ? needs and opportunities ,",,coal gasification research,n holt
4039,"journal of emergency medicine ,",1993.0,the incidence of wound infection following crotalid envenomation,"rf clark , bs selden , b furbee"
4040,,1997.0,data mining,"p adriaans , d zantinge"
4041,"san diego ,",,2 1 stdoe/nrc nuclear air cleaning conference,wak plant
4042,"the academy of management review ,",1990.0,"causal ambiguity , barriers to imitation , and sustainable competitive advantage","r reed , rj defillippi"
4043,"lancet i ,",1980.0,radiosensitivity in huntington 's disease : implications for pathogenesis and presymptomatic diagnosis,"an moshell , jh robbins"
4044,"proc . afips ,",,thrashing : its causes and prevention,pj denning
4045,,,verifiable code generation from abstract i/o automata models,ja tauber
4046,"mount lyell remediation research and demonstration program , & hellip ; ,",,"toxicity assessment of waters from macquarie harbour , western tasmania , using algae , invertebrates","jl stauber , m ahsanullah , b nowak , tm florence"
4047,"study of comets , proceedings of iau colloq . 25 , held in & hellip ; ,",1976.0,possible detection of colliding plasmoids in the tail of comet kohoutek ( 1973f ),"rg roosen , jc brandt"
4048,"new directions for teaching and learning ,",1991.0,institutionalizing the seven principles and the faculty and institutional inventories .,aw chickering
4049,"journal of personality and social psychology ,",1988.0,influence of positive affect on the subjective utility of gains and losses : it is just not worth the,"am isen , te nygren , fg ashby"
4050,"proc . 28th asilomar conf . signals , systems , and",,"on the optimal blocking factor for blocked , non-overlapped schedules","pk murthy , ea lee"
4051,"cochrane database syst rev ,",2003.0,oral sumatriptan for acute migraine,"dc mccrory , rn gray"
4052,,,the affordances of media spaces for collaboration,w gaver
4053,"new directions for teaching and learning ,",1997.0,please speak up : asian immigrant students in american college classrooms,bd hodne
4054,,1993.0,from penteli to parthenon,m corres
4055,"genes to cells ,",2002.0,clc-3 deficiency leads to phenotypes similar to human neuronal ceroid lipofuscinosis,"m yoshikawa , s uchida , j ezaki , t rai , a hayama , k"
4056,"cochrane database syst rev ,",2001.0,vitamin e for neuroleptic-induced tardive dyskinesia,"kv soares , jj mcgrath"
4057,"proc . acm siggraphâ ?? 95 ,",,ã cents â ? ¬ å?plenoptic modeling : an image-based rendering systemã cents â ? ¬ â ?,"l mcmillan , g bishop"
4058,"cochrane database syst . rev ,",2005.0,alkalinisation for organophosphorus pesticide poisoning,"d roberts , n buckley"
4059,"communications-acm ,",2002.0,viewpoint . anonymity on the internet : why the price may be too high,d davenport
4060,acm sigplan,,completeness of many-sorted equational logic,"ja goguen , j meseguer"
4061,"md ,",,"the bandit computer program for the reduction of matrix bandwidth for nastran . rep. 3827 , naval ship",gc everstine
4062,,,gene expression data analysis,"eb analysis , r sites"
4063,"environment protection engineering ,",1992.0,gamma-irradiation combined with ozonization as a method of decomposition of impurities in textile,"j perkowski , l kos"
4064,"information and software technology ,",1999.0,editorial ( s ),"h roberts , d bell"
4065,"cochrane database syst rev ,",2000.0,venepuncture versus heel lance for blood sampling in term neonates,"v shah , a ohlsson"
4066,"vldb ,",2001.0,supporting incremental join queries on ranked inputs,"a natsev , yc chang , jr smith , cs li , js vitter"
4067,"fed proc ,",1987.0,cardiovascular adaptations to exercise training in the elderly,aa ehsani
4068,"electronic library ,",2000.0,information overload and '' just-in-time '' knowledge,r hanka
4069,"proc . acm sigplan ,",,cml : a higher-order concurrent programming language,j reppy
4070,"technical report csl-tr-92-505 , stanford university ,",,loadbalancinganddatalocalityinhierarchicaln-bodymethods,"jp singh , c holt , t totsuka , a gupta , jl hennessy"
4071,,,semantic brokering over dynamic heterogeneous data sources in infosleuth,"m nodine , w bohrer , ahh ngu"
4072,,,a fast distance calculation between convex objects by optimization approach,"s zeghloul , p rambeaud , jp lallemand"
4073,"proc . int . conf . data base management systems ( icmod 78 ) , & hellip ; ,",,multidimensional paging for efficient data base querying,th mzrrett
4074,"proceedings of the 23rd nato-ccms international technical & hellip ; ,",,validation of two photochemical numerical systems under complex mesoscale circulations,"c borrego , n barros , ai miranda , ac carvalho , mj"
4075,"microsoft programming series ,",1996.0,inside com,d rogerson
4076,,2003.0,tandem press,pmc panczenko
4077,"communications-acm ,",2000.0,erp system migrations,"m kremers , h van dissel"
4078,,1993.0,the essence of chaos seattle,e lorenz
4079,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,deduction of homogeneous turbulence statistics from single doppler radar observations,t gal-chen
4080,,1973.0,the effects of object flight variation and subject experience upon speed and accuracy of ball,c bard
4081,"journal of personality and social psychology ,",1990.0,extension of the interpersonal adjective scales to include the big five dimensions of personality,"pd trapnell , js wiggins"
4082,,2003.0,the aegis processor architecture for tamper-evident and tamper-resistant processingâ '' . rapport,"ge suh , d clarke , b gassend , m van dijk , s devadas"
4083,"procs carsâ ?? 03 ,",,relative exophthalmometry in zygomatic fractures using an optical sensor,"e nkenke , m benz , t maier , m kramer , g hã $ usler , j"
4084,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1971.0,two-way coherent tracking systems ( nonlinear theory of cascaded two-way coherent spacecraft tracking,"wc lindsey , jh yuen"
4085,"conf . on management of data , atlantic city , nj , may ,",,"a predicate matching algorithm for database rule systems , '' acm sigmod int","en hanson , m chaabouni , ch kim , yw wang"
4086,,,dirty-paper trellis codes for watermarking,"ml miller , gj doerr , ij cox"
4087,"new directions for program evaluation ,",1994.0,"â ?? i prayed real hard , so i know i 'll get inâ ?? : living with randomization","ja lam , sw hartwell , jf jekel"
4088,"athens , greece , may ,",,multilingual topic detection and tracking : successful research enabled by corpora and evaluation in,c wayne
4089,"technical university of denmark ,",,human perception of air movement,g zhou
4090,"computerworld ,",,re-engineering repercussionsâ ?? â ??,j king
4091,,1996.0,fractals and disordered systems,"a bunde , s havlin"
4092,"international conference on bear research and management ,",,habitat utilization by black bears in northern california,dg kellyhouse
4093,,,intra-query parallelism for multidimensional array data,"k hahn , b reiner"
4094,"acc . chem . res ,",,"chin , dn , mammen , m. & gordon , dm ( 1995 )","gm whitesides , ee simanek , jp mathias , ct seto"
4095,,2002.0,pm4d final report,"m fischer , c kam"
4096,"ieee , proceedings ,",1986.0,spectral analysis and discrimination by zero-crossings,b kedem
4097,"information and software technology ,",,state of art and open issues on graphical user interfaces for object-oriented systems,"m tjoa , ga katypel"
4098,"the academy of management review ,",1989.0,theory construction as disciplined imagination,ke weick
4099,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,"a verifier for interactive , data-driven web applications","a deutsch , m marcus , l sui , v vianu , d zhou"
4100,,,securing routing in open networks using secure traceroute,"g mathur , vn padmanabhan , dr simon"
4101,"aaai workshop on blackboard systems , seattle , washington , & hellip ; ,",,integrating bbl-style control into the generic blackboard system,"pm johnson , dd corkhill , kq gallagher"
4102,,,statistical zero-knowledge proofs with efficient provers : lattice problems and more,"d micciancio , s vadhan"
4103,"submitted for publication ,",1992.0,pre-scheme : a scheme dialect for systems programming,ra kelsey
4104,"proceedings of the international conference on very large & hellip ; ,",2003.0,a dependability benchmark for oltp application environments,"m vieira , h madeira"
4105,,1974.0,applications of fuzzy algorithms for simple dynamic plant,eh mamdani
4106,"& hellip ; institute of justice symposium proceedings ( september 25â ?? & hellip ; ,",,methodological and institutional problems in organized crime control,p reuter
4107,"proceedings of the international conference on very large & hellip ; ,",2003.0,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"a hulgeri , s sudarshan"
4108,,,bumping windows between monitors,"t regan , m czerwinski , b meyers , g smith"
4109,"unpublished manuscript ,",,do progressive taxes really promote wage moderation,a rdseth
4110,"proceedings of acm chiâ ?? 97 workshop on ubiquitous computing & hellip ; ,",1997.0,spirit : a resource database for mobile users,"n adly , p steggles , a harter"
4111,"geography ,",,west german dilemma : little turks or young germans,j salt
4112,"journal of emergency medicine ,",1996.0,the efficacy and comfort of full-body vacuum splints for cervical-spine immobilization,"rs hamilton , pt ponsâ ? ¦"
4113,,1994.0,war and peace on the western front : a study of violent conflict and its correlates in prehistoric,pm lambert
4114,proceedings of acm,,"j. , pirahesh , h. and ramakrishnan , r. magic is relevant","is mumick , s finkeistein"
4115,"phil . mag ,",,creep behaviour in the superplastic pb-62 sn eutectic,"fa mohamed , tg langdon"
4116,,1992.0,kinetics of ordering transformations in metals,"h chen , vk vasudevan"
4117,"at radecs ,",,test needs and error rate predictions approaches for single event transients in fiber optic link,"pw marshall , c poivey , cj marshall , ra reed"
4118,,1985.0,self-reference and modal logic,c smorynski
4119,,,robust control design for discrete time linear uncertain systems with delayed control,e gyurkovics
4120,"acm press , new",,efficient transparent application recovery in client-server information systems ( best paper award ) .,"d lomet , g weikum"
4121,"sigmod conference ,",1994.0,distributing a search tree among a growing number of processors,"b kroell , p widmayer"
4122,"information and software technology ,",1994.0,vuw departmentofcomputerscience,pjl wallis
4123,"phil . mag ,",,the propagation of stress pulses in viscoelastic solids,h kolsky
4124,,,customer relationship management,r robinson
4125,,,using video in the bnr usability lab,s kennedy
4126,"proceedings of the 1994 acm conference on computer supported & hellip ; ,",1994.0,a conceptual model of groupware,"c ellis , j wainer"
4127,,2003.0,microsoft directx 9 programmable graphics pipeline,k gray
4128,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,trajectography of several constant altitude balloons with a non-tracking radar - methodology and,"r cordesses , j fournet-fayard , d ramond , b benech"
4129,,,vizier online data catalog,d monetâ ? ¦
4130,"technical report msr-tr-2001-02 , microsoft research , 2001 . http :",,speech denoising and dereverberation using probabilistic models : mathematical details,"h attias , jc platt , a acero , l deng"
4131,,,"art and history of washington dc florence , italy : bonechi , 1998","i smith , r bruce"
4132,"proceedings of the international conference on very large & hellip ; ,",1998.0,selectivity estimation in extensible databases-a neural network approach,"s lakshmi , s zhou"
4133,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,polarization spectroscopy in oh and flame temperature measurements ( abstract only ),"r meier , k nyholm , m kaivola , cg aminoff"
4134,,,maximum a posteriori ( map ) estimator for polymerase chain reaction ( pcr ) processes,"h kakavand , doâ ?? brien , a hassibi , th lee"
4135,"proceedings of the 23rd annual boston university conference & hellip ; ,",,acquiring tense in form and meaning,l wagner
4136,"submitted for publication ,",,a cartesian grid embedded boundary method for poissonâ ?? s equation and the heat equation in three,"po schwartz , m barad , p colella , tj ligocki"
4137,,1998.0,"advances in databases and information systems : second east european symposium , adbis ' 98 , poznan ,",t morzy
4138,"unpublished manuscript ,",,annotating speech repairs,"pa heeman , j allen"
4139,"journal of personality and social psychology ,",1993.0,"affect , cognition , and awareness : affective priming with optimal and suboptimal stimulus exposures","st murphy , rb zajonc"
4140,acm sigmod,,d. bailay ( 2002 ) â ?? the n-tier hub technologyâ ??,"r sommer , t gulledge"
4141,"unpublished manuscript ,",2000.0,economics in cyberspace : a comparison study,"p navarro , j shoemaker"
4142,"computer networks ,",,an intelligent usage parameter controller based on dynamic rate leaky bucket for atm networks,"mh yaghmaee , m safavi , mb menhaj"
4143,,,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",", r marciano , r moore"
4144,"directorate of management analysis , procs . 2nd . symposium in & hellip ; ,",,distribution of a product by several properties,e shell
4145,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,security of human video objects by incorporating a chaos-based feedback cryptographic scheme,"t paraskevi , n klimis , k stefanos"
4146,acm computing surveys,,parallel database systems in the 1990 's,mj carey
4147,,,toward an object-oriented framework for defining services in future intelligent networks,"sj greenspan , cl mcgowan , mc shekaran"
4148,"proceedings of inet ,",1996.0,towards a framework for defining internet performance metrics,v paxson
4149,"proceedings of the 23rd annual international acm sigir & hellip ; ,",,hierarchical classification of web content,"s dumain , h chen"
4150,"mit/lcs/tm -373 , laboratory for computer science , massachusetts",,"an introduction to input/output automata , technical memo","n lynch , m tuttle"
4151,"proc . acm sigmod symp . on the management of data ,",,object identity as a query language primitive,"sa ak891 , p kanellakis"
4152,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,where are the brave new mobile multimedia applications ?,"s boll , sr ahuja , d friebel , b horowitz , n raman ,"
4153,"proceedings of the ninth acm international conference on & hellip ; ,",2001.0,cpu/power-constrained mobile devices,"r han , cy lin , jr smith , b tseng , v ha"
4154,"proceedings of the international conference on very large & hellip ; ,",2001.0,an extendible hash for multi-precision similarity querying of image databases,"s lin , v oria , r ng"
4155,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,dblearn : a system prototype for knowledge discovery in relational databases - group of 7 & raquo ;,"j han , y fu , y huang , y cai , n cercone"
4156,"& hellip ; on radar meteorology , zurich , switzerland , amer . meteor . soc ,",,differential phase shift,ar jameson
4157,"cochrane database syst rev ,",2004.0,"light therapy for managing sleep , behaviour , and mood disturbances in dementia","d forbes , dg morgan , j bangma , s peacock , n"
4158,,,workflow management for the virtual enterprise,"k dittrich , d tombros"
4159,"academy of management journal ,",2000.0,organizational and hrm strategies in korea : impact on firm performance in an emerging economy,"j bae , jj lawler"
4160,"new directions for adult and continuing education ,",1996.0,group learning in adult education : its historical roots,ad rose
4161,"phil . mag ,",,direct observation of amorphous and crystalline regions in polymers by defocus imaging,"j petermann , h gleiter"
4162,"and interpretation . technical report , massachusetts institute of",,"the architecture of maita : a tool for monitoring , analysis","j doyle , i kohane , w long , p szolovits"
4163,,,a letter oriented minimal perfect hashing function,portal.acm.org
4164,"the histochemical journal ,",1992.0,"calcium localization in the shell-forming tissue of the freshwater snail , biomphalaria glabrata : a","u bielefeld , k zierold , kh kã ¶ rtje , w becker"
4165,"journal of personality and social psychology ,",1988.0,self-efficacy and perceived control : cognitive mediators of pain tolerance,md litt
4166,,,bluetooth based wireless sensor networksâ ?? implementation issues and solutions,s krco
4167,,1959.0,men who manage : fusions of feeling and theory in administration,m dalton
4168,"new directions for teaching and learning ,",1989.0,the challenge of ta training in the 1990s,"jd nyquist , rd abbott , dh wulff"
4169,"submitted for publication ,",1998.0,wishart and pseudo-wishart distributions and some applications to shape theory ii,", r gutierrez-jaimez"
4170,proceedings of acm,,palimpsest : a data model for change oriented revision control,dg durand
4171,"lancet i ,",1969.0,prediction of malignancy in solitary thyroid nodules,"lw kendall , re condon"
4172,"phil . mag ,",,â ?? theory of barium titanate . part ii,af devonshire
4173,"proceedings of the international conference on information & hellip ; ,",1994.0,project size and software maintenance productivity : empirical evidence on economies of scale in,"rd banker , s slaughter"
4174,"phil . mag ,",,on the quantum mechanics of helium ii,o penrose
4175,"lecture notes in computer science ,",1994.0,real-time specification inheritance anomalies and real-time filters,"m aksit , j bosch , w van der sterren , l bergmans"
4176,,,dynamic rate-selection for extending the lifetime of energy-constrained networks,"n aboughazaleh , p lanigan , s gobriel , d mosse , r"
4177,"at . energiya ,",,effect of impurities on the performance of reactor graphite,ys virgilâ ?? ev
4178,,2000.0,a process and impact evaluation of the operation resource assessment service,"b coates , d pearson , la skumatz"
4179,"computer networks ,",2001.0,pollen : using people as a communication medium,"n glance , d snowdon , jl meunier"
4180,"unpublished manuscript ,",,a policymakerâ ?? s guide for the use of central-local transfers : the philippine case,b diokno
4181,"www6 / computer networks ,",1997.0,hypermedia presentation and authoring system,"j yu , y xiang"
4182,acc . chem .,,"methyl 3 , 5-dinitro-trans-cinnamate","cvk saarma , r desira"
4183,"proceedings of the 14th acm international conference on & hellip ; ,",2005.0,maximal termsets as a query structuring mechanism,"b pã ´ ssas , n ziviani , b ribeiro-neto , w meira jr"
4184,"seattle : university of washington ,",,"surface heat budget of the arctic ocean science plan , arcss/oaii report number 5","re moritz , dk perovich"
4185,,2001.0,surfi ng wavelets on streams,"a gilbert , y kotidis , s muthukrishnan , m strauss"
4186,"deep-sea research i ,",1999.0,enhanced preservation of organic matter in sediments deposited within the oxygen minimum zone in the,"ch van der weijden , gj reichart , hj visser"
4187,"social studies and the young learner ,",1994.0,social education as the curriculum integrator : the case of the environment . children 's literature .,rh lombardâ ? ¦
4188,"unpublished manuscript ,",,a follow-up study conducted at the brief family therapy center,d kiser
4189,,,efficient breadthâ ?? first manipulation of binary decision diagrams,pam cheong
4190,"computer networks ,",1999.0,performance engineering of sdl/msc systems,"a mitschele-thiel , b mueller-clostermann"
4191,"proc . itc ,",,"balancing quality of service , pricing and utilisation in multiservice networks with stream and",k lindberger
4192,,,dynamic query evaluation plans,"g graefe , k ward"
4193,"& hellip ; conference on parallel and distributed information systems & hellip ; ,",,"prototyping dbs3 , a shared memory parallel database system","b bjã ¶ rn , c michel , v patrick"
4194,"proc . int . symp . appl . ferroelectrics ,",,mechanisms in electrostrictive polymeric materials .,"h wang , qm zhang , le cross , r ting , c coughlin , k"
4195,"submitted for publication ,",2003.0,"value functions , optimization , and performance evaluation in stochastic network models",sp meyn
4196,"athens , greece : greek productivity center ,",,cogeneration of heat and electricity,"h fragopoulos , e karidoyiannis , g karalis"
4197,,2001.0,studies in bayesian confirmation theory,b fitelson
4198,"ieee software ,",2003.0,guest editor 's introduction : assuring software quality assurance,jm voas
4199,"proc . ieee ,",,review of load-flow calculation methods,b stott
4200,"procs . 12th annual conf . of the cognitive science society ,",,the right concept at the right time : how concepts emerge as relevant in response to context -,"m mitchell , dr hofstadter"
4201,"see ref ,",,biochemical mechanisms of pollutant stress,rl heath
