scholar_id,conf_abbrev,subject_title,author_group,pub_date
29441,"computerworld ,",negotiation-the art of the possible,b batros,
29442,"new directions for adult and continuing education ,",psychodrama : discovering new meaning in personal drama .,wd pearlman,1990.0
29443,proceedings of acm sigmod international conference on,semcog : an object-based image retrieval system and its visual query language,"ws li , c ks , k hirata , y hara",
29444,proceedings of the 22 '' d seed annual design conference,"a , and ochs , john b. , '' collaborative engineering experiences , ''",p van kollenburg,
29445,,extraction and computation of identifiable parameters in robot dynamic models : theory and,ay zomaya,
29446,"area-institute of british geographers ,",london 's housing,c hamnett,2001.0
29447,,page quality : in search of an unbiased web ranking,j cho,
29448,demonstration versions are available by inquiry to pdbeam @,"hyperview , authoringdisplay software designed for educational instruction by paul beam and",p beam,
29449,vldb,munoza ( 1995 ) tigukat : a uniform behavioral objectbase management,"mt ã?zsu , rj peters , d szafron , b irani , a lipka",
29450,"proc . acm sigmod int . conf . on management of data ,",incremental updates of inverted indexes in document retrieval,"a tomasic , h garcia-molina , k shoens",
29451,proceedings of 25 thispne,hypothalamic-pituitary-adrenal axis alteration in posttraumatic stress disorder : an alternative,r yehuda,
29452,proc . acm,feiner . s. '' scope : automated generation of graphical interfaces . '',c beshers,
29453,soc .,documentary television programs,c titles,
29454,"proceedings of acm chi ,",liveworld : a construction kit for animate systems,m travers,1994.0
29455,"computer networks ,",wireless sensor networks : a survey,"if akyildiz , w su , y sankarasubramaniam , e cayirci",2002.0
29456,,the garlic project .,"acms anthology , p edition",
29457,"ieee proc . 28th annual spring reliability seminar ,",a sequential statistical mutation-based testing strategy,"m sahinoglu , eh spafford",
29458,,parallel computer vision,l uhr,1987.0
29459,at .,influence of the radiation composition factor on the radiation damage to graphite,"va nikolaenko , vi karpukhin , vn kuznetsovâ ? ¦",
29460,"proceedings : biological sciences ,",figure -- ground discrimination from temporal information,m fahle,1993.0
29461,,modeling and control of induction motors,"e delaleau , jp louis , r ortega",
29462,"submitted for publication ,",spinal deformation following multi-level thoracic and lumbar laminectomy in children .,"d bell , j walker , goâ ?? connor , j orrel , r",
29463,"proc spie ,",implementation of compression with reversible embedded wavelets,"e schwartz , a zandi , m boliek",1995.0
29464,,automatic presentation of multimedia documents using relational grammars,"l weitzman , k wittenburg",
29465,,finding refactorings via change metrics,"s demeyer , s ducasse , o nierstrasz",
29466,"proceedings of mobile hci ,",investigating context-aware information push vs. information pull to tourists,"k cheverst , k mitchell , n davies",2001.0
29467,bt technology,"swale , international standards for voip","g travers , p richard",
29468,,link spam detection based on mass estimation,"z gyongyi , p berkhin , h garcia-molina , j pedersen",
29469,"proceedings of the 21th international conference on very & hellip ; ,",the oracle warehouse,g hallmark,1995.0
29470,"proceedings of the international conference on very large & hellip ; ,",data mining in the bioinformatics domain,s tsur,2000.0
29471,"see mascle ,",aseismic ridge subduction and vertical motion of overriding plate,"i moretti , k ngokwey",
29472,,antiplatelet therapy for preventing stroke in patients with nonvalvular atrial fibrillation and no,"o benavente , r hart , p koudstaalâ ? ¦",2000.0
29473,"acm transactions on database systems ,",empirical performance evaluation of,e rahm,1993.0
29474,"isbn ,",dnre,neg margins,
29475,,roxels : responsibility weighted 3d volume reconstruction,"js de bonet , p viola",
29476,"proceedings of the 13th annual acm international conference & hellip ; ,",ontology-driven content search for personalized education,awp fok,2005.0
29477,,"a 200 mhz cell for a parallel-successive-approximation adc in 0.8 âµ m cmos , using a reference pre -",je eklund,
29478,"ieee computer ,",paradigm : a highly scalable shared memory multicomputer,"dr cheriton , ha goosen , pd boyle",
29479,proceedings of the acm sigmod international conference on,template-based wrappers in the tsimmis experience,"j hammer , h garcia-molina , s nestorov , r yerneni ,",
29480,"proc . acm-sigmod conf. , february ,",objectsand views,"s abiteboul , a bonner",
29481,"journal of personality and social psychology ,",dispositional optimism and recovery from coronary bypass surgery : the beneficial effects on physical,"mf scheier , ka matthews , jf owens , gj magovern , rc",
29482,"journal of personality and social psychology ,",emotional expression and brain physiology i. approach/withdrawal and cerebral asymmetry,"rj davidson , p ekman , c saron , j senulis , wv",
29483,,how to read a poem : andfall in love with poetry,e hirsch,1999.0
29484,"md ,","distributed depth-first search and deadlock detection , university of maryland at college park ,",b groå ¡ elj,
29485,"wisconsin studies in contemporary literature ,",faulkner 's one ring circus,r pearce,1966.0
29486,"journal of emergency medicine ,",the pathophysiology of tension pneumothorax in ventilated swine,"ed barton , p rhee , kc hutton , p rosen",1997.0
29487,,linking the european monetary union and the information systems strategy of financial institutions :,"mj pereira , lv tavares",
29488,,fishes of wisconsin,gc becker,2001.0
29489,"no . i ,",avtometriya,"al grokhol ` skii , ã?l kashcheev",
29490,submitted for,"db 1998 testing for homogeneityof variance in time series : long memory , wavelets and the nile river","b whitcher , sd byers , pp guttorp",
29491,"proceedings of the 13th annual acm international conference & hellip ; ,",senseye : a multi-tier camera sensor network,"p kulkarni , d ganesan , p shenoy , q lu",2005.0
29492,"proceedings acm sigmod conference , austin , usa",acquisition of terminology knowledge using database design techniques,"cf eick , pc lockemann",
29493,"proceedings of the 1989 vldb conference , amsterdam , august ,","m. takagi , â ?? the effect of bucket size tuning in the dynamic hybrid grace hash join method , â ??","m kitsuregawa , m nakayama",
29494,"proceedings of the eleventh acm international conference on & hellip ; ,",extensible content protection,"f pestoni , c drews",2003.0
29495,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",spectral representation in vision ( abstract only ),"j hallikainen , j parkkinen , t jaaskelainen",1991.0
29496,"proc . spie ,",content-based retrieval of music and audio,j foote,1997.0
29497,"vldb ,",adaptive locking strategies in a multi-node data sharing environment,am joshi,1991.0
29498,,method configuration : adapting to situational characteristics while creating reusable assets,"f karlsson , pj ã?gerfalk",
29499,"technical report ksl-89-83 , stanford university , december",distributed cache coherence for large scale shared memory multiprocessor systems,"m thapar , b delagi",
29500,"& hellip ; of the 2004 acm sigmod international conference on & hellip ; ,",lexequal : multilexical matching operator in sql,"a kumaran , jr haritsa",2004.0
29501,"submitted for publication ,",clustering for searching near-replicas of images on the world-wide web,"e chang , c li , jz wang",
29502,,online index rebuild,"n ponnekanti , h kodavalla",
29503,"genes to cells ,",fas-induced dna fragmentation and proteolysis of nuclear proteins,"a kawahara , m enari , rv talanian , ww wong , s",1998.0
29504,"acm sigmod record ,",temporal database system implementations,m bã ¶ hlen,1995.0
29505,,dyndex : a dynamic and non-metric space indexer,"ks goh , b li , ey chang",
29506,"11th symposium on principles of database systems ,","implementing deductive databases by mixed integer programming , to appear in : acm transactions of","c bell , a nerode , rt ng , vs subrahmanian",
29507,"proceedings of acm-gis ,",maintaining a large spatial index with t2sm,"c jermaine , e omiecinski , wg yee",
29508,"the academy of management review ,",sex effects on evaluation,"vf nieva , ba gutek",1980.0
29509,,multiple disease screening and genetics of resistance in cucumber,zm abdul-hayja,1980.0
29510,"proceedings of the 23rd annual acm siguccs conference on & hellip ; ,",doing more with less ( panel session ) : building a virtual helpsystem with a virtual team ( with,"jt colgrove , j mcanally , b arnold",1995.0
29511,,applied microsoft . net framework programming in microsoft visual basic . net,"j richter , f balena",2002.0
29512,"lecture notes in computer science ,",team formation by self-interested mobile agents,"s ambroszkiewicz , o matyja , w penczek",1998.0
29513,"the academy of management journal ,",making fast strategic decisions in high-velocity environments,km eisenhardt,1989.0
29514,"& hellip ; conference on the history of programming languages ii , for",the evolution of lisp,"rp gabriel , gl steele",
29515,"ph. d. thesis california univ. , santa barbara. ,",the mechanical response of single crystal hgi2,tw james,1980.0
29516,"see polak ,",developmental stabilityfitness relationships in animals : some theoretical considerations,gm clarke,
29517,,first-order temporal pattern mining with regular expression constraints,"s de amo , da furtado",
29518,"computer networks ,",on experiments with a transport protocol for pervasive computing environments,"s avancha , v korolev , a joshi , t finin , y yesha",2002.0
29519,"new directions for higher education ,",communication in reform,md george,2002.0
29520,,xenopus embryonic poly ( a ) binding protein 2 ( epabp2 ) defines a new family of cytoplasmic poly ( a ),"pj good , l abler , d herring , md sheets",
29521,"acm sigplan notices ,",the design of the c++ booch components,g booch,1990.0
29522,"proceedings of acm mobicom ,",self-management in chaotic wireless deployments,"a akella , g judd , s seshan , p steenkiste",2005.0
29523,"vldb ,",architectural issues in distributed data base systems,"cv ramamoorthy , gs ho , t kirshnarao , bw wah",1977.0
29524,"information and software technology ,",expert systems : from database to knowledge base,bj garner,1987.0
29525,"sigmod conference ,",implementing crash recovery in quickstore : a performance study,", dj dewitt",1995.0
29526,"lecture notes in computer science ,",data exchange : semantics and query answering,"r fagin , pg kolaitis , rj miller , l popa",2003.0
29527,"bt technology journal ,","public displays of connection . donath , judith and danah boyd",j dona,
29528,"information and software technology ,",software process modelling and measurement : a qms case study,"a pengelly , m norris , r higham",1993.0
29529,"data & knowledge engineering ,",range queries in dynamic olap data cubes,"w liang , h wang , me orlowska",2000.0
29530,,outerjoin simplification and reordering for query optimization,a rosenthal,1997.0
29531,,logic aided lamarckian evolution,e lamma,
29532,"pc magazine ,",the talk of the internet .,jc dvorak,
29533,"see holland ,",lower palaeozoic rocks of algeria,p legrand,
29534,"zurich , switzerland . springer verlag .","feature identities , descriptors and handles in interoperating geographic information systems : second",p sargent,
29535,"md ,","the ninth text retrieval conference ( trec-9 ) , gaithersburg","em voorhees , dk harman",
29536,at .,radioecological conditions on the territory of the far-east technical bases located onshore,"va danilyan , vl vysotskii , aa maksimov",
29537,,influence of loss of child on mother 's reproduction,cp prakasam,1994.0
29538,"journal of emergency medicine ,",evaluation of quantitative cardiac biomarker point-of-care testing in the emergency department,"te caragher , bb fernandez , fl jacobs , la barr",2002.0
29539,"proc . of acm podsâ ?? 00 ,",indexing moving points,"pk argarwal , l arge , j erickson",
29540,electronic,silicon bipolar laser and line driver ic with symmetrical output pulse shape operation up to 12 gbit,"hm rein , e bertagnolli , a felder , l schmidt",
29541,"unpublished manuscript ,",model checking team automata for access control,"mh ter beek , rp bloem",
29542,"proceedings of the 1999 conference of the centre for & hellip ; ,",storage estimation for multidimensional aggregates in olap,"k runapongsa , tp nadeau , tj teorey",1999.0
29543,procs . of 1st cidr,"query processing , resource management , and approximation in a data stream management system","a arasu , b babcock , s babu , m datar , j rosenstein ,",
29544,,"ma 02140 , usa , tel : + 1 617 354 5800 , 2002",c street,
29545,"bombay times , the times of india ,",51 lettersâ ?? no reply !,g da cunha,
29546,"computerworld ,",fighting mckinsey,p strassmann,2001.0
29547,,the organization of behavior : a neuropsychological theory,do hebb,
29548,"computer networks ,",constructing end-to-end paths for playing media objects,"a nakao , l peterson , a bavier",2002.0
29549,"inffo i/98 ,",aufklã $ rung vor schutzimpfungenâ ?? empfehlungen fã 1/4 r die praxis,"a nassauer , g maass",
29550,"pc magazine ,",ibm upgrades pen line with thinkpad 710t,b brown,1993.0
29551,"sigmod 1997 , proceedings acm sigmod international conference & hellip ; ,",encoded bitmap indexing for data warehouses,"po ` neil , d quass",
29552,,wireless transmission and mobile technologies,r clarke,
29553,,computing representations of the structure of written discourse,sh corston-oliver,
29554,,"action representation , prediction and concepts","m rosenstein , pr cohen , md schmill , ms atkin",
29555,"& hellip ; dissertation . university of zurich , zurich , switzerland ,",long-term course of alveolar echinococcosis in 70 patients treated by benzimidazole derivatives (,b mesarina-wicki,
29556,"proceedings of the 10th international vitamin d workshop ,","critical analysis of 1î ± , 25-dihydroxyvitamin d 3 response elements",c carlberg,
29557,,a semantic model for flash retrieval using co-occurrence analysis,"d ding , q li , b feng , l wenyin",
29558,,fault tolerance of the backpropagation neural network trained on noisy inputs,ji minnix,
29559,"academy of management journal ,",studies of individualism-collectivism : effects on cooperation in groups,ja wagner,1995.0
29560,proceedings of,developing the uml as a formal modelling notation,"a evans , r france , k lano , b rumpe",
29561,proc . acmsigmod,mocha : a self-extensible middleware system for distributed data sources,"m rodrä ± guez-martä ± nez , n roussopoulos",
29562,,no panaceasâ ??,s atre,
29563,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",a technology independent approach to hierarchical ic layout extraction,"a bootehsaz , ra cottrel",1986.0
29564,"vldb ,",bypassing joins in disjunctive queries,acm.org,1995.0
29565,submitted for,"prj stergrd , and r. aus dem spring , asymptotic behaviour of optimal circle packings in a square",kj nurmela,
29566,proceedings of the acm sigmod international conference on,gibbons and . matias . new sampling-based summary statistics for improving approximate query answers,pb gm,
29567,"& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,","modular manufacturing systems for laser welding , cutting and heat treatment","j held , a gillner",1992.0
29568,"academy of management review ,",the social side of creativity : a static and dynamic social network perspective,"je perry-smith , ce shalley",2003.0
29569,,optimization of sequence queries in database systems,"r sadri , c zaniolo , a zarkesh , j adibi",
29570,,"cross-functional project groups in research and new product development : diversity , communications ,",rt keller,
29571,"cochrane database syst rev ,",interventions for preventing obesity in children,"cd summerbell , v ashton , kj campbell , l edmunds , s",2003.0
29572,proceedings of acm sigcomm,internet congestion control for future high bandwidth-delay product environments,"d katabi , m handley , c rohrs",2002.0
29573,"lecture notes in computer science ,",approximate reachability analysis of piecewise-linear dynamical systems,"e asarin , t dang , o maler , o bournez",2000.0
29574,"wisconsin studies in contemporary literature ,",norman mailer and the revolt of the ego : some observations on recent american literature,fj hoffman,1960.0
29575,,the impact of international students on domestic students in us institutions of higher education,ss barger,2004.0
29576,,evaluation of a limited sleep study system,nj douglas,
29577,,a generational mostly-concurrent garbage collector,"d detlefs , t printezis",
29578,,a fast general-purpose hardware synchronisation mechanism,jt robinson,
29579,"proc . intl. conf . on very large databases , ( sep. .","p. , dd chamberlain , '' functional specifications of a sub-system for database integrity , ''",k eswaren,
29580,"urban geography ,","spatial patterns of foreign investment in china 's cities , 1980-1989",h gong,1995.0
29581,"pc magazine ,",how far out is nanotechnology,c levin,
29582,,therapecutic drug monitoring of mycophenolic acid : comparison of hplc and immunoassay reveals new,", m shipkova , vw armstrongâ ? ¦",1998.0
29583,"lecture notes in computer science ,",how to leak a secret,"rl rivest , a shamir , y tauman",2002.0
29584,"proc acm symp ,",at al. analysis of low density parity check codes and improved designs using irregular graphs [ a ],"mg luby , m mitzenmacher",
29585,,in search of real-time internet service,g lawton,
29586,"information & software technology ,",generalized partition testing via bayes linear methods,"fpa coolen , m goldstein , m munro",2001.0
29587,"seattle : university of washington ,",everquest addiction : physical vs. psychological effects ( undergraduate term paper for communication,"e varriano , k white",
29588,"ise integrated systems engineering ag , zurich , switzerland ,",release 9.5,du manual,
29589,,"addison-wesley , 2000",m reading,
29590,"& hellip ; of the twenty-third acm sigmod-sigact-sigart symposium on & hellip ; ,",replicated declustering of spatial data,"h ferhatosmanoç § lu , aå ? tosun , a ramachandran",2004.0
29591,"lecture notes in computer science ,",automating daml-s web services composition using shop2,"d wu , b parsia , e sirin , j hendler , d nau",2003.0
29592,,feedforward control of waves in lattice elements,"jh williams jr , ga norris , ss lee",1985.0
29593,"genes to cells ,","identification of sna41 gene , which is the suppressor of nda4 mutation and is involved in dna","s miyake , s yamashita",1998.0
29594,,the relaxation response,"h benson , m klipper",
29595,"journal of emergency medicine ,",brain computerized tomography after hyperbaric oxygen therapy for carbon monoxide poisoning .,"j pracyk , b stolp , c fife",1996.0
29596,"journal of emergency medicine ,",dissection of the vertebral arteries : case report and discussion,"j glauser , om hastings , m mervart , ma volk",1994.0
29597,"see bergesen ,","global integration and the universal increase of state dominance , 1910-1970",j boli-bennett,
29598,,molecular computing : the lock-key paradigm,m conrad,
29599,"the academy of management review ,",the empowerment process : integrating theory and practice,"ja conger , rn kanungo",1988.0
29600,,ny : hill and wang,n yonk,
29601,,the air pilot 's manual volume 2 : aviation law and meteorology,t thom,2002.0
29602,"electronic markets ,",design quality of websites for electronic commerce : fortune 1000 webmasters ' evaluations,c liu,2000.0
29603,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",an effective hash-based algorithm forming association rules [ a ],"js park , ms chen , ps yu",
29604,"lecture notes in computer science ,",an introduction to the theoretical aspects of coloured petri nets,k jensen,1994.0
29605,"proceedings of the international conference on very large & hellip ; ,",on the minimization of xpath queries,"s flesca , f furfaro , e masciari",2003.0
29606,"new directions for teaching and learning ,",using midsemester student feedback and responding to it,kg lewis,2001.0
29607,"genes to cells ,",cross talk of the interferon-alpha/beta signalling complex with gp130 for effective interleukin-6,"y mitani , a takaoka , sh kim , y kato , t yokochi , n",2001.0
29608,,manipulating the distribution of liquid phases in ceramics,k doyle,1996.0
29609,"computerworld ,",hong kong busks asia services trend,a foley,
29610,,the pineal organ,l vollrath,1981.0
29611,"journal of emergency medicine ,",ultrasonographic guidance of transvenous pacemaker insertion in the emergency department : a report,"w macedo , k sturmann , jm kim , j kang",1999.0
29612,"microsoft technical report ,","nieto-santisteban , ma , thakar , ar , heber , g. , & rots , ah 2004 , â ?? there goes the neighborhood :","j gray , as szalay , g fekete , woâ ?? mullane",
29613,,explaining the minnesota family investment programâ ?? s impacts by housing status,c miller,
29614,"cochrane database syst rev ,",surgery for the resolution of symptoms in malignant bowel obstruction in advanced gynaecological and,"dj feuer , ke broadley , jh shepherd , dp barton",2000.0
29615,"report on a field demonstrationâ ?? , united states department & hellip ; ,",rock preconditioning to prevent rock bursts,"wj karwoski , wc mclaughlin , w blake",
29616,proc . acm,the implications of autonomy for stable policy routing,"n feamster , r johari , h balakrishnan",
29617,"new directions for higher education ,",recommended resources .,ml mcbee,1980.0
29618,,a motion and shape-based pedestrian detection algorithm,"h elzein , s lakshmanan , p watta",
29619,"proc . int . ornithol . congr ,",intergenerational conflicts in species of birds with precocial offspring,r pierotti,
29620,"new directions for teaching and learning ,",the academy of senior professionals at eckerd college .,ll nussbaum,1984.0
29621,"cochrane database syst rev ,",budesonide at different doses for chronic asthma,"n adams , j bestall , pw jones",2001.0
29622,"proc 29th gã ¶ ttingen neurobiol conf ,",morphology of the auditory pathway in congenitally deaf white cats equipped with cochlear implants,"s heid , a kral , r hartmann , r klinke",
29623,,xmill : an efficient compressor for xml data,"h liefke , d suciu",
29624,"at . energ ,",application of inorganic insulating materials in nuclear reactors,na aseev,
29625,"history of programming languages ,",acm sigplan history of programming languages conference pl/i language summary,rf rosin,1978.0
29626,,supporting guarded and nested atomic actions in distributed objects,sy lee,1998.0
29627,,application-controlled storage management,"gr ganger , r grimm , mf kaashoek , dr engler",
29628,at,rna results from baseline and week 8 are summarized in figure 6,hiv plasma,
29629,,pipes and water damage,"a klaus , u straub , c teuber",1992.0
29630,"comm . acm ,",noncommand user interfaces,j nielson,
29631,"new directions for teaching and learning ,",undergraduate research at the research universities,ca merkel,2003.0
29632,"proceedings of the 1987 acm sigmod international conference & hellip ; ,",benchmarking simple database operations,"wb rubenstein , ms kubicar , rgg cattell",1987.0
29633,,current best practice against computer viruses .,f cohen,
29634,"proceedings of seminar d , european transport conference ,",limits to predictability,"m van geenhuizen , h van zuylen , p nijkamp",
29635,"acm transactions on database systems ,",generalized multi-dimensional data mapping and query processing,"r zhang , p kalnis , bc ooi , kl tan",2005.0
29636,,error propagation in directly georeferenced terrestrial laser scanner point clouds for cultural,"dd lichti , sj gordon",
29637,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",the measuring modes and observations with the x-ray spectrometer array sixa onboard spectrum-x-gamma,"j huovelin , h paeivike , o vilhu , v kaemaeraeinen",1991.0
29638,,nature-materials 2002,"w yang , je butler , w cai , j carlisle , d gruen , t",
29639,"journal of emergency medicine ,",successful intubation with the combitube [ r ] in acute asthmatic respiratory distress by a parkmedic,"d liao , m shalit",1996.0
29640,"sigmod conference ,",exploiting statistics on query expressions for optimization,"n bruno , s chaudhuri",2002.0
29641,"& hellip ; , documentation , demonstration programs , and standard","pict : a programming language based on the pi-calculus , 1997","bc pierce , dn turner",
29642,"procs . 3 rd asme/jsme joint fluids engineering conference ,",an assessment of the performance of diffuser augmented wind turbines ( dawt 's ),gjw van bussel,
29643,"new directions for higher education ,",student services and the politics of survival .,dc tilley,1973.0
29644,"seattle , washington , usa ,",poster nr . 218 at the 84 thaacc annual meeting,"kp lai , jf steffe , pkw ng",
29645,"geography ,",recent tourism development in cyprus .,da gilmor,
29646,"unpublished manuscript ,",an agoraphobia scale for assessing the clinical significance of treatment outcome,"ta dykstra , wc follette",
29647,"european rotorcraft forum , 25 th , rome , italy , proceedings. ,",aerodynamic perturbations on the frigate la fayette deck effects on the helicopter flight dynamics,"a taghizad , a desopper , c verbeke",1999.0
29648,,cell based assays for the identification of selectively toxic compounds : novel dsb inducing,"hm dunstan , c ludlow , s goehleâ ? ¦",
29649,,chaos : an introduction to dynamical systems,"kt alligood , t sauer , ja yorke",
29650,"watch what i do : programming by demonstration , the mit press & hellip ; ,",mondrian : a teachable editor,h lieberman,
29651,"blood-new york - ,",infusion of cytotoxic t cells for the prevention and treatment of epstein-barr virus-induced,"cm rooney , ca smith , cyc ng , sk loftin , jw sixbey ,",1998.0
29652,"report of the demonstration programme on food safety & hellip ; ,",mrna fingerprinting of transgenic food crops,"ej kok , j keijer , ama van hoef , enw van der wal -",
29653,"algebra i analiz ,",surface potentials and the method of matching asymptotic expansions in the problem of the helmholtz,rr gadylâ ?? shin,
29654,"proceedings ismir ,",semexâ ?? an efficient music retrieval prototype,"k lemstrom , s perttu",2000.0
29655,,an associative classifier based on positive and negative rules,ml antonie,
29656,"proceedings of chi ,",developing dual user interfaces for integrating blind and sighted users : the homer uims,"a savidis , c stephanidis",1995.0
29657,,agents as mediators in electronic commerce,"rh guttman , ag moukas , p maes",
29658,"proceedings of the international conference on very large & hellip ; ,",chameleon : an extensible and customizable tool for web data translation,"r torlone , p atzeni",2003.0
29659,"acc . chem . res ,",reaction of hydroperoxides with metallotetraphenylporphyrins in aqueous solution,ej thomas,
29660,"md ,",stephen s. pollock,"ad proia , pd md",
29661,ieee,implementing a sentient computing system,a hopper,
29662,,"supporting service level agreements on ip networks , macmillan technical publishing",d verma,
29663,"proc . eighth acm sigact-sigmod-sigart symp . principles of & hellip ; ,",a sound and complete query evaluation algorithm for relational databases with disjunctive,"ly yuan , da chiang",1989.0
29664,"bt technology journal ,",the management and processing of network performance information,"o bashir , i phillips , d parish , jl adams , t",1998.0
29665,"new york ,",the analysis of variance,h scheff,
29666,proceedings of acm/ieee,multimethod communication for high-performance metacomputing,"i foster , j geisler , s tuecke , c kesselman",
29667,"social studies and the young learner ,",smart books : thinking with a purpose across the curriculum . media corner .,r colemanâ ? ¦,1995.0
29668,"bt technology journal ,",unattended audioconferencing,"dl gibson , d pauley , l willis",1997.0
29669,"new directions for adult and continuing education ,",adult degrees and the learning society,wh maehl,2004.0
29670,iso/iec sc21/wg3,sql multimedia application packages ( sql/mm ) - part 2 : full-text,pcisoaw draft,
29671,"journal of emergency medicine ,",a foodborne outbreak causing a cholinergic syndrome,"c greenaway , p orr",1996.0
29672,"acm transactions on database systems ,",disclosure from statistical databases : quantitative aspects of trackers,"jan schlijrer , u ulm , w germany",1980.0
29673,"proceedings of the fourth annual acm symposium on theory of & hellip ; ,",binary search trees of bounded balance,"j nievergelt , em reingold",1972.0
29674,"economic geography ,",the globalization of japanese r & d : the economic geography of japanese r & d investment in the united,"r florida , m kenney",1994.0
29675,"phil . mag ,",conduction in non-crystaline systems v,"ea davis , nf mott",
29676,"vldb ,",a model for integrated information systems,ia macleod,1983.0
29677,"proceedings of the acm sigmod international conference on & hellip ; ,",mocha : a self-extensible database middleware system for distributed data sources,"m rodrä ± guez-martä ± nez , n roussopoulos",2000.0
29678,,operational characteristics of switched reluctance motor drives,"hh moghbelli , m moallem",
29679,,"gazetteer of the bombay presidency . thana , volume xiii , part ii",jm campbell,1882.0
29680,"proceedings of seventeenth conference on uncertainty in & hellip ; ,",learning the dimensionality of hidden variables,"n friedman , g elidan",2001.0
29681,"acm multimedia ,",vic : a flexible framework framework for packet video,"s mccanne , v jacobson",
29682,"information and software technology ,",collaboration and coordination in process-centered software development environments : a review of,p barthelmess,2003.0
29683,,learning to generate fast signal processing implementations,"b singer , m veloso",
29684,"journal of personality and social psychology ,",a 2 x 2 achievement goal framework,"aj elliot , ha mcgregor",2001.0
29685,new directions for adult and continuing,caffarella ( 1994 ) . â ?? experiential learning : a new approach.â ??,l jackson,
29686,"ise integrated systems engineering ag , zurich , switzerland ,",vol . 5,iset manuals,
29687,,"the global forest products model : structure , estimation , and applications",j buongiorno,
29688,,"auv navigation sensor integration , 8p",c stewart,2000.0
29689,"proceedings of the 13th annual acm international conference & hellip ; ,",art exhibition : impossible geographies 01,"p gemeinboeck , ma krell",2005.0
29690,"see ref ,",solar-thermal electric technology,"p de laquil iii , d kearney , m geyer , r diver",
29691,"procs . 12th col1ng-88 , budapest ,",a constructive view of gpsg or how to make it work,"s buseinann , c hauenschild",
29692,"unpublished manuscript ,",changes in part d of idea : an initial analysis of benchmark policy changes and their relationships,"pj kleinhammer-tramill , ks gallagher , p earley",
29693,"journal of personality and social psychology ,",five domains of interpersonal competence in peer relationships,"d buhrmester , w furman , mt wittenberg , ht reis",1988.0
29694,czech technical university,biomechanics of the cardiovascular system,"bb sramek , j valenta , f klimes",
29695,"sigmod conference ,",designing and mining multi-terabyte astronomy archives,"a szalay , j gray , p kunszt , a thakar",
29696,"proc . ieee ,",electromigration failure modes in aluminum metallization for semiconductor devices,jr black,
29697,"acm sigmod record vol . 26 , no. 2 ( june 1997 ) , sigmodâ ?? 97 .",agent-based semantic integration of information in open and dynamic environments,"rj bayardo , w bohrer , r brice , a cichocki , g",
29698,best technology inc. seattle,a primer for vacuum thermocouples,h levinson,
29699,"san diego ,",iuiâ ?? 05,"a nguyen , w woncke",
29700,,"june of 1999 , ins mounted enforcement operation in the vanguard meat processing plant in nebraska ;",i may,
29701,,performance measures for library networked services and resources,r poll,
29702,,accelerating xpath location steps,t grust,
29703,"proceedings of the 1998 acm sigmod international conference & hellip ; ,",enterprise java platform data access,"s white , r cattell , s finkelstein",1998.0
29704,"& hellip ; international conference on aids ( montreal , canada ) , june ,",prevalence of hbv and hdv markers in patients infected with hiv in buenos aires [ abstract a 586 ],"h fainboim , j benetucci , l astarloaâ ? ¦",
29705,"report , university of washington , seattle , washington ,",age at resurfacing for flexible pavements in washington state,s muench,
29706,"unpublished manuscript ,",the racism and life experience scales,sp harrell,
29707,,amphibian embryo protease inhibitors,de slaughter,1976.0
29708,,optimizing web queries through semantic caching,"b chidlovskii , c roncancio , ml schneider",
29709,"bt technology journal ,",a million segments of oneâ ?? how personal should customer relationship management get ?,nj millard,2003.0
29710,,efficiency loss in a cournot mechanism for network resource allocation,"r johari , jn tsitsiklis",
29711,,the branch and bound algorithm for a backup virtual path assignment in survivable atm networks,k walkowiak,
29712,"geography ,",newspapers in the geography class,j haddon,
29713,proc . acm sigmod-sigact-sigart symposium on principles of,"b. , babu , s. , mcalister , j. and widom , j. ( 2002 ) : characterizing memory requirements for queries over",b arasu,
29714,,"traub , f. ( 1972 ) acrasiales in schweizer waeldern","l margulis , jo corliss , m melkonian , dj chapman",1990.0
29715,"proc vldb ,",m. hern andez . schema mapping as query discovery,"r miller , l haas",
29716,"see ref ,",genetic analysis of sym genes and other nodule-related genes in pisum sativum,"nf weeden , be kneen , ta larue",
29717,"social studies and the young learner ,",editor 's notes,r diem,
29718,"multimedia demonstration given at the sixth annual & hellip ; ,",dakoã?a - english dictionary project : a minnesota collaborative effort,"c cavender , c schommer",
29719,"new directions for higher education ,",new realities for financial aid .,rj gibson,1982.0
29720,"proceedings of inet ,",gender swapping on the internet,a bruckman,1993.0
29721,"artificial intelligence review ,",control-sensitive feature selection for lazy learners,f domingos,1997.0
29722,"the proceedings of the bras d &#39; or lakes aquaculture & hellip ; ,",the marine plant industry-commercially important species and resource management,jd pringle,
29723,"acm sigmod record ,",on the design of a query processing strategy in a distributed database environment,"ct yu , cc chang",1983.0
29724,,generalizing mean field theory for distributed optimization and control . 2004,dh wolpert,
