beer_serial,drink_style,vol_alc,brewer_name,beer_title
324,American Amber / Red Ale,5.20 %,Mountain State Brewing Co. .,Almost Heaven Amber Ale
325,American Amber / Red Ale,5.50 %,The Brew Kettle Taproom & Smokehouse / Production Works,Ruddy Rye
326,American Amber / Red Ale,5.50 %,Los Muertos Brewing,Death Becomes You
327,American Amber / Red Ale,6.50 %,Amarcord Birra Artigianale Italiana,Nero _ ™ s Apecchio Red Ale
328,American Amber / Red Ale,8.00 %,Right Brain Brewery,Looping Owl
329,American Amber / Red Ale,7.00 %,Iron Horse Brewery,Double Rainbow Ale
330,American Amber / Red Ale,6.20 %,Lompoc Tavern,Proletariat Red
331,American Amber / Red Ale,6.70 %,Goose Island Beer Co. .,Autumn Ale
332,American Amber / Red Ale,7.10 %,Bootlegger 's Brewery,Rocco Red Ale
333,American Amber / Red Ale,5.50 %,Pump House Brewery,Fire Chief 's Red Ale
334,American Amber / Red Ale,7.50 %,Bold City Brewery,1901 Red Ale
335,American Amber / Red Ale,5.80 %,Mountain Town Brewing Co. .,Cow Catcher Red Ale
336,American Amber / Red Ale,5.00 %,Lake Placid Craft Brewing Company,Barkeater Amber Ale
337,American Amber / Red Ale,5.60 %,Hoppy Brewing Co. .,Stony Face Red Ale
338,American Amber / Red Ale,6.50 %,Barrier Brewing Company,Bulkhead Red
339,American Amber / Red Ale,5.60 %,Liquid Hero Brewery,American Hero
340,American Amber / Red Ale,5.50 %,Minhas Craft Brewery,Minhas Swiss Style Amber
341,American Amber / Red Ale,6.00 %,Goose Island Beer Co. .,Red Felt Ale
342,American Amber / Red Ale,-,Ghost River Brewing,Ghost River Riverbank Red
343,American Amber / Red Ale,5.60 %,The Fort Collins Brewery,Common Ground
344,American Amber / Red Ale,5.50 %,Gray 's Brewing Company,Rathskeller Amber Ale
345,American Amber / Red Ale,5.40 %,Pensacola Bay Brewery,Riptide Amber
346,American Amber / Red Ale,8.30 %,Spring House Brewing Company,Atomic Raygun
347,American Amber / Red Ale,4.00 %,Meantime Brewing Company Limited,Yakima Red
348,American Amber / Red Ale,5.40 %,Carolina Brewery,Copperline Amber Ale
349,American Amber / Red Ale,6.00 %,Flat 12 Bierwerks,Moustache Ride
350,American Amber / Red Ale,5.60 %,Elysian Brewing Company,Men 's Room Original Red
351,American Amber / Red Ale,5.30 %,Triton Brewing Company,Magnificent Amber
352,American Amber / Red Ale,6.70 %,10 Barrel Brewing Co. .,Project Failed Red Ale
353,American Amber / Red Ale,5.50 %,Maritime Pacific Brewing Company,Nightwatch Dark Amber Ale
354,American Amber / Red Ale,9.20 %,Eel River Brewing Co. .,Climax Noel - Imperial Red Ale
355,American Amber / Red Ale,6.00 %,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,Premium Red Ale
356,American Amber / Red Ale,8.00 %,Elysian Brewing Company,Men 's Room Black Imperial Ale
357,American Amber / Red Ale,12.00 %,Firestone Walker Brewing Co. .,Rufus
358,American Amber / Red Ale,5.80 %,Jekyll Brewing,` Merican Amber
359,American Amber / Red Ale,4.50 %,World Brews,Barrel Trolley Amber Ale
360,American Amber / Red Ale,5.00 %,DuClaw Brewing Company,Moon Gun
361,American Amber / Red Ale,7.00 %,Blue Pants Brewery,Knickerbocker Red
362,American Amber / Red Ale,6.50 %,Latitude 42 Brewing Company,Red Beard Ale
363,American Amber / Red Ale,5.38 %,Backcountry Brewery,Backcountry Amber
364,American Amber / Red Ale,6.50 %,Lake Superior Brewing Company,Mesabi Red
365,American Amber / Red Ale,7.20 %,Cigar City Brewing,Citrus Wizard
366,American Amber / Red Ale,6.20 %,Alpine Beer Company,Red Card
367,American Amber / Red Ale,5.20 %,Hawai'i Nui Brewing / Mehana Brewing Company,Mehana Volcano Red Ale
368,American Amber / Red Ale,5.50 %,Triple C Brewing Co. .,Smoked Amber
369,American Amber / Red Ale,5.10 %,Strand Brewing Co. .,Beach House
370,American Amber / Red Ale,5.70 %,Rock Bottom Restaurant & Brewery,Red Ale
371,American Amber / Red Ale,5.00 %,South Street Brewery,Satan 's Pony Amber Ale
372,American Amber / Red Ale,-,Dead Armadillo Craft Brewing,Amber
373,American Amber / Red Ale,5.10 %,Parish Brewing Company,South Coast
374,American Amber / Red Ale,4.70 %,Big River Grille & Brewing Works,Rocket Red Ale
375,American Amber / Red Ale,5.50 %,Beer Valley Brewing Co. .,Owyhee Amber Ale
376,American Amber / Red Ale,7.50 %,BottleTree Beer Co. .,BottleTree Red
377,American Amber / Red Ale,5.50 %,Madison River Brewing Company,Irresistible Amber Ale
378,American Amber / Red Ale,5.80 %,Smartmouth Brewing Company,Murphy 's Law Amber Ale
379,American Amber / Red Ale,5.50 %,Cerveceria Mexicana S.A. De C.V.,Day Of The Dead Beer ( Cerveza De Los Muertos ) Death Becomes You
380,American Amber / Red Ale,5.80 %,Mankato Brewery,Organ Grinder Amber Ale
381,American Amber / Red Ale,7.50 %,Lickinghole Creek Craft Brewery,Gentleman Farmer Estate Hop Ale
382,American Amber / Red Ale,8.50 %,Laurelwood Public House & Brewery,Deranger Imperial Red
383,American Amber / Red Ale,5.50 %,Devil 's Canyon Brewing Company,Deadicated Amber Ale
384,American Amber / Red Ale,5.20 %,Vancouver Island Brewery,Sea Dog Amber Ale
385,American Amber / Red Ale,5.70 %,New Orleans Lager & Ale Brewing Company ( NOLA ),Flambeau Red
386,American Amber / Red Ale,5.20 %,Brasseurs R.J.,Belle Gueule Rousse
387,American Amber / Red Ale,6.60 %,603 Brewery,Winni Ale
388,American Amber / Red Ale,5.50 %,Cannery Brewing Company,Anarchist Amber Ale
389,American Amber / Red Ale,6.00 %,North Country Brewing,Stinky Hippie
390,American Amber / Red Ale,5.50 %,Steamworks Brewing Co. .,Lizard Head Red
391,American Amber / Red Ale,7.50 %,River Horse Brewing Co. .,Imperial Cherry Amber Ale
392,American Amber / Red Ale,5.20 %,Henniker Brewing Co. .,Amber Apparition
393,American Amber / Red Ale,5.40 %,Bozeman Brewing Company,Bozone Select Amber Ale
394,American Amber / Red Ale,6.00 %,Fountain Square Brewing Co. .,Preacher 's Daughter Amber Ale
395,American Amber / Red Ale,5.00 %,Choc Beer Co. / Pete 's Place,Pietro Piegari
396,American Amber / Red Ale,8.60 %,Real Ale Brewing Company,Red King
397,American Amber / Red Ale,7.50 %,Matt Brewing Company / Saranac Brewery,Saranac Immortality
398,American Amber / Red Ale,5.00 %,Central City Brewers + Distillers,Red Racer Copper Ale
399,American Amber / Red Ale,9.00 %,Mispillion River Brewing,Holy Crap
400,American Amber / Red Ale,5.00 %,Old Credit Brewing Co. .,Old Credit Amber Ale
401,American Amber / Red Ale,5.50 %,Fish Brewing Company / Fishbowl Brewpub,Leavenworth Oktoberfest Celebration Ale
402,American Amber / Red Ale,6.30 %,Spanish Peaks Brewing Co. .,Winter Cheer Ale
403,American Amber / Red Ale,7.50 %,Fish Brewing Company / Fishbowl Brewpub,Starfish Imperial Red Ale
404,American Amber / Red Ale,8.00 %,Austin Beerworks,Battle Axe
405,American Amber / Red Ale,5.40 %,Brew Hub,Keybilly
406,American Amber / Red Ale,10.00 %,Ballast Point Brewing Company,Tongue Buckler ( Bourbon Barrel Aged )
407,American Amber / Red Ale,8.00 %,Trillium Brewing Company,Deciduous
408,American Amber / Red Ale,5.50 %,Grizzly Peak Brewing Company,Steelhead Red
409,American Amber / Red Ale,4.80 %,Big Bay Brewing Co. .,Boatilla
410,American Amber / Red Ale,9.20 %,Columbus Brewing Company,Columbus Uncle Rusty
411,American Amber / Red Ale,5.50 %,West Sixth Brewing Company,Deliberation Amber
412,American Amber / Red Ale,5.60 %,Denali Brewing Company / Twister Creek Restaurant,Single Engine Red
413,American Amber / Red Ale,6.50 %,Ritual Brewing Co. .,Extra Red
414,American Amber / Red Ale,-,Prescott Brewing Company,Liquid Amber
415,American Amber / Red Ale,4.70 %,Cold Spring Brewing Co. .,Olde Johnnie Ale
416,American Amber / Red Ale,4.90 %,Boulder Beer / Wilderness Pub,Freshtracks Wet Hopped Ale
417,American Amber / Red Ale,5.00 %,The Brew Kettle Taproom & Smokehouse / Production Works,Copperhead Red
418,American Amber / Red Ale,8.00 %,Grado Plato,Strada S. Felice
419,American Amber / Red Ale,8.30 %,Elevation Beer Co. .,Downpour
420,American Amber / Red Ale,7.00 %,New Albanian Brewing Company - Pizzeria and Public House,Hoosier Daddy
421,American Amber / Red Ale,6.20 %,Green Man Brewery,Green Man Leaf Blower Whole Leaf Amber
422,American Amber / Red Ale,8.00 %,Lighthouse Brewing Company,Siren Red Ale
423,American Amber / Red Ale,6.00 %,Green 's Gluten Free Beers,Green 's Amber Ale
424,American Amber / Red Ale,5.00 %,Quidi Vidi Brewing Company,1892 Traditional Ale
425,American Amber / Red Ale,5.00 %,The Gahan House,Gahan House Island Red Amber
426,American Amber / Red Ale,7.60 %,Aztec Brewing Company,Sacrifice
427,American Amber / Red Ale,7.80 %,Pinglehead Brewing Co. / Brewer 's Pizza,Pinglehead
428,American Amber / Red Ale,7.50 %,Atwater Brewery,Atwater Double Down Imperial Amber Ale
429,American Amber / Red Ale,4.50 %,Picaroons Brewing Co. .,Simeon Jones River Valley Amber Ale
430,American Amber / Red Ale,5.00 %,Jailbreak Brewing Company,The Infinite
431,American Amber / Red Ale,4.80 %,Epic Brewing Company,Cross Fever
432,American Amber / Red Ale,5.70 %,Pisgah Brewing Co. .,Pisgah Leaf Amber
433,American Amber / Red Ale,6.50 %,Portsmouth Brewery,Portsmouth Hop Harvest # 1
434,American Amber / Red Ale,5.90 %,Lagerheads Smokehouse & Brewing Co. .,Bed Head Red
435,American Amber / Red Ale,5.50 %,Utah Brewers Cooperative,Squatters Radio From Hell
436,American Amber / Red Ale,6.00 %,Blue Frog Grog & Grill,Red Frog Ale
437,American Amber / Red Ale,5.50 %,Iron Springs Pub & Brewery,Epiphany Ale
438,American Amber / Red Ale,6.00 %,Bloomington Brewing Company,Ruby Bloom Amber
439,American Amber / Red Ale,6.80 %,Cascade Lakes Brewing Co. .,IRA ( India Red Ale )
440,American Amber / Red Ale,6.00 %,Stoudts Brewing Co. .,Stoudt 's Winter Ale ( 2010-2011 )
441,American Amber / Red Ale,5.50 %,Beach Haus Brewery,Kick Back Ale
442,American Amber / Red Ale,4.00 %,Utah Brewers Cooperative,Squatters Organic Amber Ale
443,American Amber / Red Ale,4.20 %,Hockley Valley Brewing Co. .,Hockley Amber
444,American Amber / Red Ale,-,Trailhead Brewing Co,Trailhead Red
445,American Amber / Red Ale,7.10 %,603 Brewery,9th State Red IPA
446,American Amber / Red Ale,-,Eugene City Brewery,100 Meter Ale
447,American Amber / Red Ale,5.00 %,Boston Beer Works - Canal Street,Victory Red
448,American Amber / Red Ale,7.60 %,21st Amendment Brewery,Toaster Pastry
449,American Amber / Red Ale,5.00 %,Ruby Mountain Brewing,Angel Creek Amber Ale
450,American Amber / Red Ale,5.20 %,Tractor Brewing Co. .,Farmer 's Tan
451,American Amber / Red Ale,5.00 %,Kiuchi Brewery,Hitachino Nest Amber Ale
452,American Amber / Red Ale,5.00 %,Roscoe Beer Co. .,Trout Town American Amber Ale
453,American Amber / Red Ale,8.80 %,Anderson Valley Brewing Company,Bahl Hornin ' Imperial Boont Amber Ale
454,American Amber / Red Ale,-,Belmont Brewing Company,Hop Head Red
455,American Amber / Red Ale,5.70 %,Beachwood BBQ & Brewing,Knucklehead Red Ale
456,American Amber / Red Ale,6.80 %,Twisted Manzanita Ales,Rustic Horizon Red Ale
457,American Amber / Red Ale,-,Springfield Brewing Company,Hop Lobster
458,American Amber / Red Ale,5.50 %,Cumberland Brews,Matt 's Red
459,American Amber / Red Ale,5.20 %,Branchline Brewing Co. .,Evil Owl Amber
460,American Amber / Red Ale,6.50 %,Track 7 Brewing Co. .,Daylight Amber
461,American Amber / Red Ale,5.10 %,Stillmank Beer Company,Wisco Disco
462,American Amber / Red Ale,6.00 %,Boneyard Beer Company,Skunk Ape
463,American Amber / Red Ale,5.50 %,Mount Shasta Brewing,Abner Weed Amber Ale
464,American Amber / Red Ale,8.00 %,Rivertowne Brewing,Patrick 's Poison
465,American Amber / Red Ale,6.70 %,Sloop Brewing,The Red C
466,American Amber / Red Ale,5.70 %,Black Diamond Brewing Co. .,Steep Trail Amber Ale
467,American Amber / Red Ale,5.25 %,Upland Brewing Company,Easy Chair
468,American Amber / Red Ale,6.50 %,West O Beer,Smoked Red Ale
469,American Amber / Red Ale,6.00 %,Jailhouse Brewing Company,Conjugal Visit
470,American Amber / Red Ale,5.00 %,Scuttlebutt Brewing Company,Tell Tale Red Ale
471,American Amber / Red Ale,5.50 %,Tap It Brewing Co. .,Ale Camino
472,American Amber / Red Ale,5.50 %,Minhas Craft Brewery,Gnarly Oak Hazelnut Dark
473,American Amber / Red Ale,5.60 %,Lengthwise Brewing Company,Triple Hop Red
474,American Amber / Red Ale,6.90 %,Rubicon Brewing Company,Irish Red
475,American Amber / Red Ale,6.30 %,Ranger Creek Brewing & Distilling,Red Headed Stranger
476,American Amber / Red Ale,-,Blackhorse Pub & Brewery,Barnstormer Red
477,American Amber / Red Ale,4.90 %,The Hartford Better Beer Co. .,Arch Amber Ale
478,American Amber / Red Ale,5.50 %,Oak Creek Brewing Co. .,Oak Creek Amber
479,American Amber / Red Ale,5.00 %,Fish Brewing Company / Fishbowl Brewpub,Vicious Circle Amber Ale
480,American Amber / Red Ale,5.65 %,Yalobusha Brewing Company,Copperhead Amber Ale
481,American Amber / Red Ale,8.10 %,Rivertowne Pourhouse,Rudolph 's Red
482,American Amber / Red Ale,5.30 %,Brewery Terra Firma,Manitou Amber Ale
483,American Amber / Red Ale,4.60 %,Rohrbach Brewing Company ( Brewpub ),Red Wing Red Ale
484,American Amber / Red Ale,5.00 %,Flying Monkeys Craft Brewery,Flying Monkeys Amber Ale
485,American Amber / Red Ale,5.50 %,Naparbier Sdad . Coop .,ZZ + Amber Ale
486,American Amber / Red Ale,8.00 %,Worthy Brewing Co. .,Eruption Imperial Red Ale
487,American Amber / Red Ale,7.50 %,Howe Sound Inn & Brewing Company,Three Beavers Imperial Red Ale
488,American Amber / Red Ale,5.30 %,Schmohz Brewing Company,Amber Tease
489,American Amber / Red Ale,5.50 %,Sapporo Breweries Ltd. .,Yebisu Kohaku
490,American Amber / Red Ale,5.50 %,961 Beer,961 Red Ale
491,American Amber / Red Ale,13.00 %,West Sixth Brewing Company,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale )
492,American Amber / Red Ale,8.20 %,Phillips Brewing Company,Double Dragon Imperial Red Ale
493,American Amber / Red Ale,6.20 %,Berghoff Brewery,Reppin ' Red Ale
494,American Amber / Red Ale,-,Independence Brewing Co. .,Oklahoma Suks
495,American Amber / Red Ale,8.80 %,Urban Legend Brewing Company,You Big Dummy
496,American Amber / Red Ale,5.40 %,Mountain Goat Beer Pty Ltd,Mountain Goat Fancy Pants Amber Ale
497,American Amber / Red Ale,5.20 %,Liberty Street Brewing Company,Red Glare
498,American Amber / Red Ale,6.20 %,Radiant Pig Craft Beers,Gangster Duck
499,American Amber / Red Ale,3.40 %,Banner Beer Company,Banner American Ale
500,American Amber / Red Ale,5.50 %,Horseheads Brewing Inc. .,Horseheads Brickyard Red Ale
501,American Amber / Red Ale,7.50 %,Great Northern Brewing Co. / Black Star Draught House,Good Medicine Strong Red Ale
502,American Amber / Red Ale,5.60 %,Emmett 's Brewing Company,McCarthy Red
503,American Amber / Red Ale,5.00 %,Cigar City Brewing,Sertoma Smoke
504,American Amber / Red Ale,5.50 %,High Noon Saloon & Brewery,Annie 's Amber Ale
505,American Amber / Red Ale,6.70 %,One Trick Pony,Storm Cat
506,American Amber / Red Ale,5.50 %,Fire Station 5 Brewing Company,Fire Boat Amber
507,American Amber / Red Ale,5.80 %,RJ Rockers Brewing Company,Honey Amber Ale
508,American Amber / Red Ale,10.00 %,Santa Clara Valley Brewing,New Almaden Red
509,American Amber / Red Ale,5.00 %,Bolero Snort Brewery,Ragin ' Bull
510,American Amber / Red Ale,7.00 %,Cortland Beer Company,Red Dragon Ale
511,American Amber / Red Ale,4.80 %,Half Moon Bay Brewing Company,Mavericks Amber Ale
512,American Amber / Red Ale,5.45 %,Hawai'i Nui Brewing / Mehana Brewing Company,Hawai'i Nui Sunset Amber Ale
513,American Amber / Red Ale,5.80 %,Ram Restaurant & Brewery,Buttface Amber
514,American Amber / Red Ale,7.00 %,Ruckus Brewing,Hedonism
515,American Amber / Red Ale,5.30 %,Sun King Brewing Company,Rathskeller Amber
516,American Amber / Red Ale,7.00 %,Omnipollo,En El Bosque
517,American Amber / Red Ale,5.20 %,Two Beers Brewing Co. .,Immersion Amber Ale
518,American Amber / Red Ale,4.50 %,BJ 's Chicago Pizza & Brewery Inc. .,Oasis Amber
519,American Amber / Red Ale,7.18 %,Black Shirt Brewing Co. .,American India Red Ale
520,American Amber / Red Ale,4.00 %,Utah Brewers Cooperative,Squatters Emigration Amber Ale
521,American Amber / Red Ale,-,Thirsty Pagan Brewing,Flat Tire Ale
522,American Amber / Red Ale,8.00 %,Hop Valley Brewing Company,Imperial Red
523,American Amber / Red Ale,-,Anheuser-Busch,Thirsty Frog Red Ale
524,American Amber / Red Ale,5.00 %,Costa Rica 's Craft Brewing Co. .,Segua
525,American Amber / Red Ale,5.60 %,Central City Brewers + Distillers,Red Racer India Style Red Ale
526,American Amber / Red Ale,-,Heavy Seas Beer,Phillips Amber Ale
527,American Amber / Red Ale,7.00 %,Hi-Wire Brewing,Lion Tamer Red
528,American Amber / Red Ale,6.50 %,Georgetown Brewing Company,Chopper 's Red Ale
529,American Amber / Red Ale,4.00 %,Moab Brewery,Derailleur Ale
530,American Amber / Red Ale,6.50 %,Fordham Brewing Company,Close Encounter Harvest Ale
531,American Amber / Red Ale,5.70 %,Northshire Brewery,Battenkill Ale
532,American Amber / Red Ale,5.50 %,Bridge Brew Works LLC,The Blunt
533,American Amber / Red Ale,5.50 %,Piney River Brewing Co. .,McKinney Eddy Amber Ale
534,American Amber / Red Ale,7.10 %,Pikes Peak Brewing Company,Devil 's Head Red
535,American Amber / Red Ale,5.60 %,Mickey Finn 's Brewery,Mickey Finn 's Amber Ale
536,American Amber / Red Ale,9.20 %,Kane Brewing Company,Hop Lab - Imperial Red
537,American Amber / Red Ale,5.70 %,Orlando Brewing Partners,Right On Red
538,American Amber / Red Ale,4.00 %,Snoqualmie Falls Brewing Company & Taproom,PGA ( Perfectly Great Amber )
539,American Amber / Red Ale,5.25 %,Cahaba Brewing Company,Liquidambar
540,American Amber / Red Ale,5.00 %,Red Brick Station,Something Red
541,American Amber / Red Ale,5.00 %,Southend Brewery & Smokehouse,Rip Tide Red
542,American Amber / Red Ale,8.00 %,Lagerheads Smokehouse & Brewing Co. .,Winter Mischief
543,American Amber / Red Ale,-,Black Husky Brewing,Harold The Red Ale
544,American Amber / Red Ale,5.50 %,Eastern Shore Brewing,St. Michaels Ale
545,American Amber / Red Ale,5.00 %,Ezo Beer KK,White Crane Ale ( Rogue 's Oregon Golden Ale )
546,American Amber / Red Ale,6.10 %,Broad Brook Brewing Company,Broad Brook Ale
547,American Amber / Red Ale,5.00 %,August Schell Brewing Company,One Five Five
548,American Amber / Red Ale,5.30 %,River Rat Brewery,Broad River Red Ale
549,American Amber / Red Ale,5.42 %,A1A Aleworks,Red Brick Ale
550,American Amber / Red Ale,4.50 %,Jacob Leinenkugel Brewing Company,Paradise Beach Ale
551,American Amber / Red Ale,-,Phantom Canyon Brewing Company,Railyard Ale
552,American Amber / Red Ale,-,Portsmouth Brewing Co. / Mault 's Brewpub,Portsmouth Brewing Red Bird Ale
553,American Amber / Red Ale,5.30 %,Round Barn Brewery,Indecision Ale
554,American Amber / Red Ale,5.40 %,Marin Brewing Company,Albion Amber
555,American Amber / Red Ale,7.30 %,Lonerider Brewing Company,Red Spur
556,American Amber / Red Ale,5.50 %,Granville Island Brewery,Gastown Amber Ale
557,American Amber / Red Ale,5.30 %,Midland Brewing Company,Copper Harbor Ale
558,American Amber / Red Ale,5.50 %,The BrÃ 1/4 Rm . at BAR,BruRm AmBAR Ale
559,American Amber / Red Ale,6.50 %,North End Tavern & Brewery,Roedy _ ™ s Red
560,American Amber / Red Ale,6.30 %,Southern Oregon Brewing Company,Woodshed Red
561,American Amber / Red Ale,4.80 %,Broadhead Brewing Company,Grindstone Amber
562,American Amber / Red Ale,5.00 %,Atwater Brewery,Atwater Rost
563,American Amber / Red Ale,5.40 %,Capitol City Brewing,Amber Waves Ale
564,American Amber / Red Ale,4.50 %,Black Bear Brewery,Black Bear Gearhead Ale
565,American Amber / Red Ale,6.00 %,Mayday Brewery,Angry RedHead
566,American Amber / Red Ale,4.62 %,Galena Brewing Company,Miner 's Treasure Late Amber
567,American Amber / Red Ale,5.40 %,Golden Valley Brewery and Pub,Red Thistle Ale
568,American Amber / Red Ale,5.10 %,Ezo Beer KK,Red Fox ( Rogue 's American Amber )
569,American Amber / Red Ale,5.00 %,Wisconsin Dells Brewing Co. .,Rustic Red
570,American Amber / Red Ale,-,Franconia Brewing Company,Franconia Amber
571,American Amber / Red Ale,5.60 %,Half Full Brewery,Toasted Amber
572,American Amber / Red Ale,5.20 %,Tied House Cafe & Brewery,Cascade Amber
573,American Amber / Red Ale,4.60 %,Homestead Beer Co. .,Tenpenny Ale
574,American Amber / Red Ale,4.70 %,Mountain Sun Pub & Brewery,Annapurna Amber
575,American Amber / Red Ale,-,Mt. Carmel Brewing Company,Copper Ale
576,American Amber / Red Ale,5.50 %,Sleeman Breweries Ltd. .,Sleeman Red Ale - Rousse
577,American Amber / Red Ale,5.20 %,Mammoth Brewing Company,Dos Osos Amber Ale
578,American Amber / Red Ale,-,Fiddler 's Green Brewing Company,Fiddler 's Green Amber
579,American Amber / Red Ale,9.10 %,DESTIHL Brewery,DeadHead Double Red Ale
580,American Amber / Red Ale,5.80 %,The Fin City Brewing Co. .,The Jackspot
581,American Amber / Red Ale,5.25 %,Public Works Ale,Red Cent Amber
582,American Amber / Red Ale,5.40 %,Horny Goat Brewing Co. .,Horny Goat Red Planet Red Ale
583,American Amber / Red Ale,5.60 %,New Republic Brewing Company,Damnit Jim !
584,American Amber / Red Ale,5.70 %,RoughTail Brewing Co. .,Red Republic
585,American Amber / Red Ale,5.74 %,Coalition Brewing Co. .,King Kitty Red
586,American Amber / Red Ale,6.00 %,Bison Brewing,Bison Organic Red Ale
587,American Amber / Red Ale,6.80 %,Pig Minds Brewing Co. .,Vanilla Bitch Slap
588,American Amber / Red Ale,5.30 %,Day Block Brewing Company,Frank 's Red
589,American Amber / Red Ale,-,Grand Lake Brewing Company,Rocky Mountain Red Ale
590,American Amber / Red Ale,4.70 %,Pizza Port Solana Beach,O.B. Chronic
591,American Amber / Red Ale,-,Mackinaw Brewing Company,Red 8 Ale
592,American Amber / Red Ale,9.40 %,Yellowhammer Brewing,Tobacco Road
593,American Amber / Red Ale,5.60 %,Caldera Brewing Company,Dry Hop Orange
594,American Amber / Red Ale,5.80 %,Kuhnhenn Brewing Company,Kuhnhenn Anneliese Ale
595,American Amber / Red Ale,-,North by Northwest Restaurant & Brewery,Duckabush Amber
596,American Amber / Red Ale,6.00 %,Empyrean Brewing Company,Winter Axis Festivale
597,American Amber / Red Ale,-,Estes Park Brewery,Estes Park Redrum Ale
598,American Amber / Red Ale,4.10 %,Firehouse Brewing Co. .,Red
599,American Amber / Red Ale,-,Ei8ht Ball Brewing,Red Drink
600,American Amber / Red Ale,-,Long Valley Pub & Brewery,German Valley Amber
601,American Amber / Red Ale,5.00 %,Big Rock Brewery,Moxie 's Big Life Amber Ale
602,American Amber / Red Ale,6.00 %,Lawson 's Finest Liquids,Paradise Ale
603,American Amber / Red Ale,5.50 %,Keuka Brewing Company,Briglin Road Red
604,American Amber / Red Ale,9.00 %,Cerveza Artesanal BarbaRoja,Barrel-Aged Red Ale
605,American Amber / Red Ale,7.10 %,Zipline Brewing Co,India Red Ale
606,American Amber / Red Ale,5.80 %,Olde Main Brewing Co. & Restaurant,Long Face
607,American Amber / Red Ale,8.20 %,Cricket Hill Brewing Co. .,Jersey Devil Red Ale
608,American Amber / Red Ale,5.60 %,Tamarack Brewing Company,Yard Sale Ale
609,American Amber / Red Ale,5.00 %,Rockyard Brewing,Redhawk Ale
610,American Amber / Red Ale,6.50 %,Lucid Brewing,Ora
611,American Amber / Red Ale,5.60 %,Depot Street Brewing,Depot Express Amber Ale
612,American Amber / Red Ale,5.00 %,Mt. Begbie Brewing Co. .,Attila The Honey
613,American Amber / Red Ale,9.10 %,Beachwood BBQ & Brewing,Beer Of The Dragon
614,American Amber / Red Ale,4.40 %,Railway City Brewing Company,Railway City Iron Spike - Copper Ale
615,American Amber / Red Ale,5.00 %,Moosehead Breweries Ltd. .,Clancy 's Amber
616,American Amber / Red Ale,6.70 %,El Segundo Brewing Company,Station No. 1
617,American Amber / Red Ale,3.50 %,TRVE Brewing Co. .,Hellion
618,American Amber / Red Ale,6.00 %,Arizona Wilderness Brewing Co,Red Rock Secret
619,American Amber / Red Ale,6.20 %,Tenaya Creek Brewery,Tenaya Creek Red Ryder
620,American Amber / Red Ale,5.40 %,Devils Backbone Brewing Company,Montpelier 's Best Ambition Ale
621,American Amber / Red Ale,6.00 %,Bull & Bush Brewery,Allgood Amber Ale
622,American Amber / Red Ale,6.20 %,Four Corners Brewing Company,Heart O ' Texas
623,American Amber / Red Ale,7.70 %,The LAB ( Lexington Avenue Brewery ),Eleanor 's Rye
624,American Amber / Red Ale,6.00 %,Naked Dove Brewing Company,Hopulus Localus Harvest Ale
625,American Amber / Red Ale,4.80 %,Coney Island Brewing Company,1609 Amber Ale
626,American Amber / Red Ale,6.20 %,Micro-brasserie Saint-Arnould,Vlimeuse
627,American Amber / Red Ale,5.00 %,Brasseurs Sans Gluten,Glutenberg Rousse
628,American Amber / Red Ale,7.00 %,Jackie O 's Pub & Brewery,Really Nelson India Red Ale
629,American Amber / Red Ale,6.40 %,St. Francis Brewery & Restaurant,Wrath
630,American Amber / Red Ale,6.70 %,Blue Point Brewing Company,Blue Point Crop Circle Extraterrestri - Ale Amber Ale
631,American Amber / Red Ale,7.50 %,Birra Tenute Collesi SRL,Imper Ale Ambrata
632,American Amber / Red Ale,5.40 %,Moat Mountain Smoke House & Brewing Co. .,Moat Matilda 's Red Rage
633,American Amber / Red Ale,6.50 %,Brasserie De Brunehaut,Brunehaut Tradition AmbrÃ © e
634,American Amber / Red Ale,5.50 %,Hoptown Brewing Company,Paint The Town Red
635,American Amber / Red Ale,5.70 %,Ice Harbor Brewing Company,Runaway Red
636,American Amber / Red Ale,5.80 %,Original Ittinger KlosterbrÃ $ u,Ittinger Original KlosterbrÃ $ u
637,American Amber / Red Ale,5.00 %,Geneva Lake Brewing Company,Cedar Point Amber Ale
638,American Amber / Red Ale,6.00 %,Ellis Island Casino & Brewery,Ellis Island Amber
639,American Amber / Red Ale,7.07 %,Odd13 Brewing,Eric The Red
640,American Amber / Red Ale,5.20 %,CB Craft Brewers,CB 's St. Patricks Ale
641,American Amber / Red Ale,5.70 %,Caldera Brewing Company,Dry Hop Red
642,American Amber / Red Ale,4.80 %,Sun Up Brewing Co. .,Sun Up Amber Ale
643,American Amber / Red Ale,4.50 %,BrewDog,Alpha Dog
644,American Amber / Red Ale,-,World Brews,Cheers Norm 's Amber Ale
645,American Amber / Red Ale,6.00 %,Strawn Brewing Company,Strawn Amber
646,American Amber / Red Ale,8.50 %,Madhouse Brewing Company,Oak Aged Imperial Red ( Venture Series )
647,American Amber / Red Ale,8.70 %,Iron Hill Brewery & Restaurant,Big Red Wibby
648,American Amber / Red Ale,4.80 %,Silver Gulch Brewing and Bottling Co. .,Copper Creek Amber Ale
649,American Amber / Red Ale,4.50 %,The Able Ebenezer Brewing Company,Auburn
