unique_id,pub_title,publication_venue,authors_list,year_published
1884,recovering information from summary data,vldb,"c faloutsos , h jagadish , n sidiropoulos",1997
1885,managing uncertainty in sensor database,sigmod record,"r cheng , s prabhakar",2003
1886,implementing abstract objects with inheritance in datalogneg,vldb,h jamil,1997
1887,the cougar project : a work-in-progress report,sigmod record,"a demers , j gehrke , r rajaraman , a trigoni , y yao",2003
1888,dbglobe : a service-oriented p2p system for global computing,sigmod record,"e pitoura , s abiteboul , d pfoser , g samaras , m vazirgiannis",2003
1889,mining insurance data at swiss life,vldb,"j kietz , u reimer , m staudt",1997
1890,facilitating multimedia database exploration through visual interfaces and perpetual query reformulations,vldb,"w li , k candan , k hirata , y hara",1997
1891,toward network data independence,sigmod record,j hellerstein,2003
1892,design issues and challenges for rdf - and schema-based peer-to-peer systems,sigmod record,"w nejdl , w siberski , m sintek",2003
1893,treasurer 's message,,,2003
1894,the oracle universal server buffer,vldb,"w bridge , a joshi , m keihl , t lahiri , j loaiza , n macnaughton",1997
1895,chair 's message,,,2003
1896,"the network as a global database : challenges of interoperability , proactivity , interactiveness , legacy",vldb,"p lockemann , u kіlsch , a koschel , r kramer , r nikolai , m wallrath , h walter",1997
1897,selectivity estimation without the attribute value independence assumption,vldb,"v poosala , y ioannidis",1997
1898,journal relevance,sigmod record,r snodgrass,2003
1899,towards an odmg-compliant visual object query language,vldb,"m chavda , p wood",1997
1900,2003 sigmod innovations award speech,sigmod record,d chamberlin,2003
1901,guest editor 's introduction,,,2003
1902,integrating sql databases with content-specific search engines,vldb,"s deпloch , n mattos",1997
1903,resource scheduling in enhanced pay-per-view continuous media databases,vldb,"m garofalakis , b жzden , a silberschatz",1997
1904,learning about data integration challenges from day one,sigmod record,a halevy,2003
1905,spatial joins using r-trees : breadth-first traversal with global optimizations,vldb,"y huang , n jing , e rundensteiner",1997
1906,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),,,2003
1907,the complexity of transformation-based join enumeration,vldb,"a pellenkoft , c galindo-legaria , m kersten",1997
1908,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),,,2003
1909,"using taxonomy , discriminants , and signatures for navigating in text databases",vldb,"s chakrabarti , b dom , r agrawal , p raghavan",1997
1910,information integration on the web : a view from ai and databases ( report on iiweb-03 ),sigmod record,"s kambhampati , c knoblock",2003
1911,report on fqas 2002 : fifth international conference on flexible query answering systems,,,2003
1912,m-tree : an efficient access method for similarity search in metric spaces,vldb,"p ciaccia , m patella , p zezula",1997
1913,optimizing queries across diverse data sources,vldb,"l haas , d kossmann , e wimmers , j yang",1997
1914,editor 's notes,sigmod record,l liu,2003
1915,vertical data migration in large near-line document archives based on markov-chain predictions,vldb,"a kraiss , g weikum",1997
1916,research in database engineering at the university of namur,sigmod record,j hainaut,2003
1917,exposing undergraduate students to database system internals,sigmod record,"a ailamaki , j hellerstein",2003
1918,parallel query scheduling and optimization with time - and space-shared resources,vldb,"m garofalakis , y ioannidis",1997
1919,analysis of sigmod 's co-authorship graph,sigmod record,"m nascimento , j sander , j pound",2003
1920,optimizing queries with universal quantification in object-oriented and object-relational databases,vldb,"j clauпen , a kemper , g moerkotte , k peithner",1997
1921,a performance evaluation of oid mapping techniques,vldb,"a eickler , c gerlhof , d kossmann",1995
1922,editor 's notes,sigmod record,l liu,2003
1923,efficient incremental garbage collection for client-server object database systems,vldb,"l amsaleg , m franklin , o gruber",1995
1924,closing the key loophole in mls databases,sigmod record,"n jukic , s nestorov , s vrbsky",2003
1925,report on the 4th international conference on mobile data management,,,2003
1926,document management as a database problem,vldb,r bayer,1995
1927,in memory of gэsli r. hjaltason,,,2003
1928,from vldb to vmldb ( very many large data bases ) : dealing with large-scale semantic heterogenity,vldb,s madnick,1995
1929,declustering databases on heterogeneous disk systems,vldb,"l chen , d rotem , s seshadri",1995
1930,standards for databases on the grid,sigmod record,"s malaika , a eisenberg , j melton",2003
1931,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002",,,2003
1932,high-concurrency locking in r-trees,vldb,"m kornacker , d banks",1995
1933,duplicate removal in information system dissemination,vldb,"t yan , h garcia-molina",1995
1934,interview with rakesh agrawal,,,2003
1935,reminiscences on influential papers,,,2003
1936,generalizing gloss to vector-space databases and broker hierarchies,vldb,"l gravano , h garcia-molina",1995
1937,in-context peer-to-peer information filtering on the web,sigmod record,a ouksel,2003
1938,tribeca : a stream database manager for network traffic analysis,vldb,m sullivan,1996
1939,selective information dissemination in p2p networks : problems and solutions,sigmod record,"m koubarakis , c tryfonopoulos , s idreos , y drougas",2003
1940,mineset ( tm ) : a system for high-end data mining and visualization,vldb,,1996
1941,the query optimizer in tandem 's new serverware sql product,vldb,p celis,1996
1942,the hyperion project : from data integration to data coordination,sigmod record,"m arenas , v kantere , a kementsietsidis , i kiringa , r miller , j mylopoulos",2003
1943,"tpc-d : the challenges , issues and results",vldb,r bhashyam,1996
1944,relational data sharing in peer-based data management systems,sigmod record,"b ooi , y shu , k tan",2003
1945,performance of future database systems : bottlenecks and bonananzas,vldb,c baru,1996
1946,what is the data warehousing problem ? ( are materialized views the answer ? ),vldb,"a gupta , i mumick",1996
1947,the piazza peer data management project,sigmod record,"i tatarinov , z ives , j madhavan , a halevy , d suciu , n dalvi , x dong , y kadiyska , g miklau , p mork",2003
1948,peer-to-peer research at stanford,sigmod record,"m bawa , b cooper , a crespo , n daswani , p ganesan , h garcia-molina , s kamvar , s marti , m schlosser , q sun , p vinograd , b yang",2003
1949,the structured information manager : a database system for sgml documents,vldb,r sacks-davis,1996
1950,loading the data warehouse across various parallel architectures,vldb,v raghavan,1996
1951,p-grid : a self-organizing structured p2p system,sigmod record,"k aberer , p cudrщ-mauroux , a datta , z despotovic , m hauswirth , m punceva , r schmidt",2003
1952,"report on the 10th conference on database systems for business , technology , and the web ( btw 2003 )",,,2003
1953,an efficient algorithm for mining association rules in large databases,vldb,"a savasere , e omiecinski , s navathe",1995
1954,discovery of multiple-level association rules from large databases,vldb,"j han , y fu",1995
1955,reminiscences on influential papers,,,2003
1956,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,sigmod record,"e chong , j srinivasan , s das , c freiwald , a yalamanchi , m jagannath , a tran , r krishnan , r jiang",2003
1957,dynamic multi-resource load balancing in parallel database systems,vldb,"e rahm , r marek",1995
1958,interview with michael stonebraker,,,2003
1959,a non-uniform data fragmentation strategy for parallel main-menory database systems,vldb,"n bassiliades , i vlahavas",1995
1960,information rules,sigmod record,d stirling,2003
1961,applying database technology in the adsm mass storage system,vldb,"l cabrera , r rees , w hineman",1995
1962,peer-to-peer : harnessing the power of disruptive technologies,sigmod record,m nascimento,2003
1963,generalized search trees for database systems,vldb,"j hellerstein , j naughton , a pfeffer",1995
1964,fundamentals of data warehouses : 2nd revised and extended edition,sigmod record,v hoffner,2003
1965,a scalable architecture for autonomous heterogeneous database interactions,vldb,"s milliner , a bouguettaya , m papazoglou",1995
1966,"fast similarity search in the presence of noise , scaling , and translation in time-series databases",vldb,"r agrawal , k lin , h sawhney , k shim",1995
1967,towards a database body of knowledge : a study from spain,sigmod record,"c calero , m piattini , f ruiz",2003
1968,research issues for data communication in mobile ad-hoc network database systems,sigmod record,"l fife , l gruenwald",2003
1969,coloring away communication in parallel query optimization,vldb,"w hasan , r motwani",1995
1970,bypassing joins in disjunctive queries,vldb,"m steinbrunn , k peithner , g moerkotte , a kemper",1995
1971,modelling temporal thematic map contents,sigmod record,"a d'onofrio , e pourabbas",2003
1972,xpath processing in a nutshell,,,2003
1973,a practical and modular implementation of extended transaction models,vldb,"r barga , c pu",1995
1974,a data transformation system for biological data sources,vldb,"p buneman , s davidson , k hart , g overton , l wong",1995
1975,issues in data stream management,sigmod record,"l golab , m жzsu",2003
1976,chair 's message,,,2003
1977,aggregate-query processing in data warehousing environments,vldb,"a gupta , v harinarayan , d quass",1995
1978,a web odyssey : from codd to xml,sigmod record,v vianu,2003
1979,eager aggregation and lazy aggregation,vldb,"w yan , p larson",1995
1980,book review column,sigmod record,k aberer,2003
1981,a cost model for clustered object-oriented databases,vldb,"g gardarin , j gruser , z tang",1995
1982,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,vldb,"a belussi , c faloutsos",1995
1983,an approach to confidence based page ranking for user oriented web search,sigmod record,"d mukhopadhyay , d giri , s singh",2003
1984,acm tods in this internet age,sigmod record,r snodgrass,2003
1985,zoo : a desktop experiment management environment,vldb,"y ioannidis , m livny , s gupta , n ponnekanti",1996
1986,querying multiple features of groups in relational databases,vldb,"d chatziantoniou , k ross",1996
1987,performing jobs without decompression in a compressed database system,sigmod record,"s o'connell , n winterbottom",2003
1988,modeling skewed distribution using multifractals and the ` 80-20 ' law,vldb,"c faloutsos , y matias , a silberschatz",1996
1989,xpath processing in a nutshell,sigmod record,"g gottlob , c koch , r pichler",2003
1990,semantic data caching and replacement,vldb,"s dar , m franklin , b jѓnsson , d srivastava , m tan",1996
1991,interview with jim gray,,,2003
1992,a database approach to quality of service specification in video databases,sigmod record,"e bertino , a elmagarmid , m hacid",2003
1993,implementation and analysis of a parallel collection query language,vldb,d suciu,1996
1994,ansi sql hierarchical processing can fully integrate native xml,sigmod record,m david,2003
1995,obtaining complete answers from incomplete databases,vldb,a levy,1996
1996,object fusion in mediator systems,vldb,"y papakonstantinou , s abiteboul , h garcia-molina",1996
1997,analysis of existing databases at the logical level : the dba companion project,sigmod record,"f marchi , s lopes , j petit , f toumani",2003
1998,database research at ut arlington,sigmod record,"s chakravarthy , y aslandogan , r elmasri , l fegaras , j oh",2003
1999,the role of integrity constraints in database interoperation,vldb,"m vermeer , p apers",1996
2000,multiscale histograms : summarizing topological relations in large spatial datasets,vldb,"x lin , q liu , y yuan , x zhou",2003
2001,query processing in spatial network databases,vldb,"d papadias , j zhang , n mamoulis , y tao",2003
2002,merging models based on given correspondences,vldb,"r pottinger , p bernstein",2003
2003,avoiding ordering and grouping in query processing,vldb,"x wang , m cherniack",2003
2004,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,vldb,"a hulgeri , s sudarshan",2003
2005,supporting top-k join queries in relational databases,vldb,"i ilyas , w aref , a elmagarmid",2003
2006,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,vldb,"y tao , d papadias , j sun",2003
2007,efficient approximation of optimization queries under parametric aggregation constraints,vldb,"s guha , d gunopulos , n koudas , d srivastava , m vlachos",2003
2008,cache tables : paving the way for an adaptive database cache,vldb,"m altinel , c bornhіvd , s krishnamurthy , c mohan , h pirahesh , b reinwald",2003
2009,lachesis : robust database storage management based on device-specific performance characteristics,vldb,"j schindler , a ailamaki , g ganger",2003
2010,a dependability benchmark for oltp application environments,vldb,"m vieira , h madeira",2003
2011,primitives for workload summarization and implications for sql,vldb,"s chaudhuri , p ganesan , v narasayya",2003
2012,bhunt : automatic discovery of fuzzy algebraic constraints in relational data,vldb,"p brown , p haas",2003
2013,estimating the output cardinality of partial preaggregation with a measure of clusteredness,vldb,"s helmer , t neumann , g moerkotte",2003
2014,memory requirements for query execution in highly constrained devices,vldb,"n anciaux , l bouganim , p pucheral",2003
2015,tabular placement of relational data on mems-based storage devices,vldb,"h yu , d agrawal , a abbadi",2003
2016,capturing global transactions from multiple recovery log files in a partitioned database system,vldb,"c liu , b lindsay , s bourbonnais , e hamel , t truong , j stankiewitz",2003
2017,the bea/xqrl streaming xquery processor,vldb,"d florescu , c hillery , d kossmann , p lucas , f riccardi , t westmann , m carey , a sundararajan , g agrawal",2003
2018,xml schemas in oracle xml db,vldb,"r murthy , s banerjee",2003
2019,integrated data management for mobile services in the real world,vldb,"c hage , c jensen , t pedersen , l speicys , i timko",2003
2020,improving performance with bulk-inserts in oracle r-trees,vldb,"n an , k kanth , s ravada",2003
2021,statistics on views,vldb,"c galindo-legaria , m joshi , f waas , m wu",2003
2022,efficient query processing for multi-dimensionally clustered tables in db2,vldb,"b bhattacharjee , s padmanabhan , t malkemus , t lai , l cranston , m huras",2003
2023,a platform based on the multi-dimensional data model for analysis of bio-molecular structures,vldb,"s srinivasa , s kumar",2003
2024,controlling access to published data using cryptography,vldb,"g miklau , d suciu",2003
2025,oasis : an online and accurate technique for local-alignment searches on biological sequences,vldb,"c meek , j patel , s kasetty",2003
2026,privacy-preserving indexing of documents on the network,vldb,"m bawa , r jr. , r agrawal",2003
2027,data compression in oracle,vldb,"m pіss , d potapov",2003
2028,operator scheduling in a data stream manager,vldb,"d carney , u чetintemel , a rasin , s zdonik , m cherniack , m stonebraker",2003
2029,efficient ir-style keyword search over relational databases,vldb,"v hristidis , l gravano , y papakonstantinou",2003
2030,locating data sources in large distributed systems,vldb,"l galanis , y wang , s jeffery , d dewitt",2003
2031,robust estimation with sampling and approximate pre-aggregation,vldb,c jermaine,2003
2032,chameleon : an extensible and customizable tool for web data translation,vldb,"r torlone , p atzeni",2003
2033,webservice composition with o'grape and osiris,vldb,"r weber , c schuler , p neukomm , h schuldt , h schek",2003
2034,implementing xquery 1.0 : the galax experience,vldb,"m fernandez , j simщon , b choi , a marian , g sur",2003
2035,xiss/r : xml indexing and storage system using rdbms,vldb,"p harding , q li , b moon",2003
2036,a system for keyword proximity search on xml databases,vldb,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",2003
2037,xquec : pushing queries to compressed xml data,vldb,"a arion , a bonifati , g costa , s d'aguanno , i manolescu , a pugliese",2003
2038,managing distributed workspaces with active xml,vldb,"s abiteboul , j baumgarten , a bonifati , g cobena , c cremarenco , f dragan , i manolescu , t milo , n preda",2003
2039,orientstore : a schema based native xml storage system,vldb,"x meng , d luo , m lee , j an",2003
2040,xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data,vldb,"s berger , f bry , s schaffert , c wieser",2003
2041,illuminating the dark side of web services,vldb,m brodie,2003
2042,who needs xml databases ?,vldb,s cluet,2003
2043,a database striptease or how to manage your personal databases,vldb,"m kersten , g weikum , m franklin , d keim , a buchmann , s chaudhuri",2003
2044,the zero-delay data warehouse : mobilizing heterogeneous databases,vldb,e kќhn,2003
2045,commercial use of database technology,vldb,h schіning,2003
2046,grid and applications ( industrial session ),vldb,f leymann,2003
2047,web services ( industrial session ),vldb,f cabrera,2003
2048,privacy-enhanced data management for next-generation e-commerce,,,2003
2049,the semantic web : semantics for data on the web,,,2003
2050,irisnet : an architecture for internet-scale sensing services,vldb,"s nath , a deshpande , y ke , p gibbons , b karp , s seshan",2003
2051,"large-scale , standards-based earth observation imagery and web mapping services",vldb,p baumann,2003
2052,quiet : continuous query-driven index tuning,vldb,"k sattler , i geist , e schallehn",2003
2053,chip-secured data access : reconciling access rights with data encryption,vldb,"l bouganim , f ngoc , p pucheral , l wu",2003
2054,an interpolated volume data model,vldb,"t wang , s santini , a gupta",2003
2055,efficacious data cube exploration by semantic summarization and compression,vldb,"l lakshmanan , j pei , y zhao",2003
2056,atlas : a small but complete sql extension for data mining and data streams,vldb,"h wang , c zaniolo , c luo",2003
2057,business modelling using sql spreadsheets,vldb,"a witkowski , s bellamkonda , t bozkaya , n folkert , a gupta , l sheng , s subramanian",2003
2058,from focused crawling to expert information : an application framework for web exploration and portal generation,vldb,"s sizov , j graupmann , m theobald",2003
2059,cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications,vldb,"w li , o po , w hsiung , k candan , d agrawal , y akca , k taniguchi",2003
2060,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration,vldb,"z nie , s kambhampati , t hernandez",2003
2061,s-topss : semantic toronto publish/subscribe system,vldb,"m petrovic , i burcea , h jacobsen",2003
2062,"nexusscout : an advanced location-based application on a distributed , open mediation platform",vldb,"d nicklas , m groпmann , t schwarz",2003
2063,schema-driven customization of web services,vldb,"s abiteboul , b amann , j baumgarten , o benjelloun , f ngoc , t milo",2003
2064,integrating information for on demand computing,vldb,n mattos,2003
2065,a nanotechnology-based approach to data storage,vldb,"e eleftheriou , p bфchtold , g cherubini , a dholakia , c hagleitner , t loeliger , a pantazi , h pozidis , t albrecht , g binnig , m despont , u drechsler , u dќrig , b gotsmann , d jubin , w hфberle , m lantz , h rothuizen , r stutz , p vettiger , d wiesmann",2003
2066,the history of histograms ( abridged ),vldb,y ioannidis,2003
2067,the data-centric revolution in networking,vldb,s shenker,2003
2068,xsearch : a semantic search engine for xml,vldb,"s cohen , j mamou , y kanza , y sagiv",2003
2069,complex queries over web repositories,vldb,"s raghavan , h garcia-molina",2003
2070,efficient mining of xml query patterns for caching,vldb,"l yang , m lee , w hsu",2003
2071,an efficient and resilient approach to filtering and disseminating streaming data,vldb,"s shah , s dharmarajan , k ramamritham",2003
2072,phrase matching in xml,vldb,"s amer-yahia , m fernandez , d srivastava , y xu",2003
2073,rrxf : redundancy reducing xml storage in relations,vldb,"y chen , s davidson , c hara , y zheng",2003
2074,mars : a system for publishing xml from mixed and redundant storage,vldb,"a deutsch , v tannen",2003
2075,projecting xml documents,vldb,"a marian , j simщon",2003
2076,mixed mode xml query processing,vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",2003
2077,from tree patterns to generalized tree patterns : on efficient evaluation of xquery,vldb,"z chen , h jagadish , l lakshmanan , s paparizos",2003
2078,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach,vldb,c koch,2003
2079,query processing for high-volume xml message brokering,vldb,"y diao , m franklin",2003
2080,a framework for clustering evolving data streams,vldb,"c aggarwal , j han , j wang , p yu",2003
2081,a regression-based temporal pattern mining scheme for data streams,vldb,"w teng , m chen , p yu",2003
2082,on the costs of multilingualism in database systems,vldb,"a kumaran , j haritsa",2003
2083,distributed top-n query processing with possibly uncooperative local systems,vldb,"c yu , g philip , w meng",2003
2084,optimized query execution in large search engines with global page ordering,vldb,"x long , t suel",2003
2085,path queries on compressed xml,vldb,"p buneman , m grohe , c koch",2003
2086,on the minimization of xpath queries,vldb,"s flesca , f furfaro , e masciari",2003
2087,covering indexes for xml queries : bisimulation - simulation = negation,vldb,p ramanan,2003
2088,buffering accesses to memory-resident index structures,vldb,"j zhou , k ross",2003
2089,balancing performance and data freshness in web database servers,vldb,"a labrinidis , n roussopoulos",2003
2090,vipas : virtual link powered authority search in the web,vldb,"c lin , m chen",2003
2091,sash : a self-adaptive histogram set for dynamically changing workloads,vldb,"l lim , m wang , j vitter",2003
