beer_id,producer_name,alcohol_content,brew_product
2765,Roy Pitz Brewing Company,6 %,Roy Pitz Truly Honest Ale
2766,Florida Beer Company,4.80 %,Florida Beer Key West Sunset Ale
2767,21st Amendment Brewery,6.50 %,21st Amendment British Invasion IPA
2768,Circle Brewing Company,4.80 %,Circle Devil_s Envy
2769,&#379; ywiec &#40; &#379; ywiec Group/Heineken &#41;,4.50 %,&#379; ywiec Freeq Red Fruits
2770,Abbey Wright Brewing Company,7.80 %,Abbey Wright Alpha Deuce IPA
2771,Great Adirondack Brewing Co. .,5.60 %,Great Adirondack Ausable Wulff Red Ale
2772,Fernie Brewing Company,5 %,Fernie Big Caboose Red Ale
2773,Breconshire,4.20 %,Breconshire Alleycat Amber Ale
2774,Morgantown Brewing Company,5.80 %,Morgantown Old Morgantown Amber Ale
2775,Boston Beer Company,-,Bell In Hand Ale
2776,Ales of Scilly,4 %,Ales of Scilly Maiden Voyage
2777,Barkerville Brewing Company,4.90 %,Barkerville 18 Karat Ale
2778,8 Sail,4.20 %,8 Sail Green Man Harvest Ale
2779,Faction Brewing,5.60 %,Faction Red
2780,BlueTarp Brewing Company,4.50 %,BlueTarp BantamWeight Ale
2781,Four Corners Brewing Company,6.20 %,Four Corners Red_s Roja
2782,Porcupine Quill Micro Brewery,6 %,African Moon Amber Ale
2783,Redneck Riviera Brewing Project,-,Redneck Riviera Farmer_s Tan
2784,New England Brewing Co. .,6.50 %,New England Fat Ten-Er # 14
2785,McCashin Family Brewery,4.50 %,McCashin Family Stoke Amber
2786,Bluegrass Brewing Company,5 %,Sheltowee 502 Amber Ale
2787,Ecliptic Brewing,5.20 %,Ecliptic Phobos Extra Red Ale
2788,Market Cross Pub and Brewery,5.20 %,Market Cross Red Ale
2789,Firefly Hollow Brewing Company,8.90 %,Firefly Hollow Photon Imperial Crimson
2790,Temperance Beer Company,8 %,Temperance Evenfall
2791,Genesee Brewing Company &#40; North American Breweries &#41;,4.70 %,Trouble Brewing Amber Ale
2792,Odell Brewing Company,5.10 %,Odell Levity Amber Ale
2793,Champion Brewing Company,9 %,Champion Red Scare Imperial Stout
2794,Red Wing Brewery,6.50 %,Red Wing Remmler_s Royal Brew &#40; Oak Aged &#41;
2795,Altamont Beer Works,6 %,Altamont Beer Works Rich Mahogany
2796,Petoskey Brewing,5.80 %,Petoskey North 45 Amber Ale
2797,Freetail Brewing Co. .,4.90 %,Freetail Original Ale
2798,McAuslan Brewing,5 %,St. Ambroise Rousse
2799,Brewery Vivant,6.30 %,Brewery Vivant Big Red Coq
2800,Blimp City Brewery,-,Blimp City Akron/Macon German Style Alt Bier
2801,Big Time Brewery,-,Big Time Better Off Red Ale
2802,Council Brewing Company,8.10 %,Council Royal Blood Imperial Red
2803,Dead Frog Brewery,5 %,Dead Frog Mandarin Orange Amber Ale
2804,Kellys Caribbean Bar & Grill & Brewery,-,Kellys Havana Red Ale
2805,Genesee Brewing Company &#40; North American Breweries &#41;,5.10 %,Metolius River Ales Rusty Spinner Amber Ale
2806,Flat Earth Brewing Company,6.50 %,Flat Earth Cygnus X-1 Red Barchetta
2807,Blue Point Brewing &#40; AB InBev &#41;,4.50 %,Blue Point Bourbon Barrel-Aged Winter Ale
2808,Sierra Blanca Brewing Co,-,Isotopes Slammin Amber
2809,Black Bear Brewery,4.80 %,Black Bear Drop Dead Red Ale
2810,Texas Ale Project,6 %,Texas Ale Project Fire Ant Funeral
2811,Fulton Beer Company,8.50 %,Fulton Garage Series 4 : The Libertine - 2 Gingers Barrel Aged
2812,Railway City Brewing Company,4.60 %,Railway City Iron Spike Amber Ale
2813,New Holland Brewing Company,5 %,New Holland revered
2814,Brasserie GÃ © nÃ © rale,5 %,Les BiÃ ¨ res BÃ © luga Golden Ale
2815,Abita Brewing Company,-,Abita Red Fish Ale
2816,Arizona Wilderness Brewing Company,4.70 %,Arizona Wilderness Rincon Red
2817,Great Black Swamp Brewing Company,-,Great Black Swamp Mosquito Red
2818,Cascade Brewery &#40; CUB &#41;,4.80 %,Cascade Amber Ale
2819,Four Corners Brewing Company,6.20 %,Four Corners Boss Lady Rustic Red
2820,Hardknott,6.50 %,Hardknott Infra Red
2821,Barley and Hops Grill and Microbrewery,5.70 %,Barley and Hops Tuscarora Red
2822,Barnhouse Brewery,5.50 %,Barnhouse Banshee Irish Red
2823,Mildura Brewery,4.50 %,Mildura Brewery Storm Cloudy Ale
2824,Persephone Brewing,6 %,Persephone Rum Runner Red Ale
2825,Alameda Brewing Co. .,6.40 %,Alameda Rose City Red
2826,Galaxy Brewing Company,6.10 %,Galaxy Galactic Silk Ale
2827,Carlton & United Breweries &#40; CUB &#41;,4.60 %,Victoria Bitter Original Ale
2828,Genesee Brewing Company &#40; North American Breweries &#41;,5.10 %,Double Take Amber Ale
2829,Olde Peninsula Brewpub and Restaurant,5.75 %,Olde Peninsula Sunset Red
2830,Dragonmead Brewery,6 %,Dragonmead Corktown Red
2831,Deschutes Brewery,6.40 %,Deschutes Green Lakes Non-Organic Ale
2832,Kamloops Brewery,5.50 %,Bowen Island Mutiny Red Ale
2833,Silver Moon Brewing,4.50 %,Silver Moon Hounds Tooth Amber
2834,Iron Horse Brewery,7.50 %,Iron Horse Loco Imperial Red
2835,Estes Park Brewery,4.50 %,Estes Park Trail Ridge Red
2836,Harviestoun,4.50 %,Harviestoun Broken Dial
2837,4 Noses Brewing Company,5.10 %,4 Noses The Rambler
2838,James River Brewery,4.90 %,James River Rock Island Red
2839,Engine House No. 9 Restaurant and Brewery,5.30 %,Engine House No. 9 Rowdy Dick Amber Ale
2840,BrewDog,8.20 %,BrewDog Hello
2841,Coors Brewing Company &#40; MillerCoors &#41;,5.60 %,Blue Moon Rising Moon Spring Ale
2842,Australian Independent Brewers,5.20 %,Endeavour 2011 Reserve Amber Ale
2843,Marley_s Brewery and Grille,6.30 %,Marley_s Pack Dog Peanut Butter Ale
2844,5 Seasons Westside,-,5 Seasons Westside Raspberry Rapture
2845,1516 Brewing Company,5.40 %,1516 Maple Fall Ale
2846,Rockfish Grill & Anacortes Brewery,5 %,Anacortes Amber
2847,Birrificio Antoniano,5.20 %,Birra Antoniana Bionda Integrale
2848,Water Street Brewery,5 %,Water Street Amber
2849,Great Western Brewing &#40; Canadian Brewing &#41;,5.20 %,Great Western Original 16 Canadian Copper Ale
2850,523,11.30 %,523 / Blackwell / Evil Twin Eau Trappiste
2851,COAST Brewing Company,5.50 %,COAST Same Old
2852,Asher Brewing Company,6 %,Asher Tree Hugger Organic Amber
2853,House Ales,6 %,House Ales X Great Lakes California Love
2854,Beaver Street Brewery,-,Beaver Street Railhead Red
2855,Kennebec River Pub & Brewery,5.20 %,Kennebec River Sledhead Red
2856,Kern River Brewing,10 %,Kern River Double Dirty Hippie
2857,Wrecking Bar Brewpub,7.40 %,Wrecking Bar Nathan_s 13 Minute Amber
2858,Natty Greene_s Pub & Brewing Company,4.90 %,Natty Greene_s Buckshot Amber Ale
2859,Redondo Beach Brewing Company,-,Redondo Beach Dubbel Dark IPA
2860,Great Rhythm Brewing Company,5 %,Great Rhythm AMPLIFIED Amber Ale
2861,18th Street Brewery,8.50 %,18th Street Alpha Company
2862,Kroghs Restaurant & Brew Pub,4.50 %,Kroghs Alpine Glow Red Ale
2863,38 State Brewing Company,7.50 %,38 State Extra Special Bitters
2864,Dempseys Restaurant and Brewery,6 %,Dempseys Red Rooster Ale
2865,Auburn Alehouse &#40; CA &#41;,9 %,Auburn Alehouse Hop Donkey
2866,Cycle Brewing,5.50 %,Cycle Blind Date
2867,O_Fallon Brewery,5.50 %,O_Fallon Hemp Hop Rye
2868,Freetail Brewing Co. .,6 %,Freetail PiÃ ± ata Protest
2869,Creature Comforts Brewing Company,5.50 %,Creature Comforts Misty Valley Reclaimed Rye
2870,Cannon Brewpub,-,Cannon Red Jacket Ale
2871,Tiny Rebel,4.60 %,Tiny Rebel Cwtch
2872,Pyramid Breweries &#40; North American Breweries &#41;,4.80 %,Pyramid Alehouse Amber
2873,Black Dragon Brewery,5 %,Black Dragon Expedition Amber
2874,Bent River Brewing Company,-,Bent River Mississippi Red Lager
2875,Big Time Brewery,5.40 %,Big Time Atlas Amber Ale
2876,Bishop Nick,4.50 %,Bishop Nick Revelry
2877,Austin Beer Garden Brewery,7.90 %,Austin Beer Garden Big Mama Red
2878,Microbrasserie de l __ le d_OrlÃ © ans,6 %,OrlÃ © ans Suzanne Marceau &#40; AmbrÃ © e _ l_rable &#41;
2879,Microbrasserie du LiÃ ¨ vre,5.40 %,La LiÃ ¨ vre Frousse
2880,City Brewery &#40; Melanie Brewing Co &#41;,-,Fort Pitt Ale
2881,Crossroads Brewing Company,5 %,Crossroads Brick Row Red
2882,Bullfrog Brewery,6 %,Bullfrog That Red Ale
2883,Custom Brewcrafters,9.20 %,Three Heads Buffalo Soul Jah Imperial Red Ale
2884,Minocqua Brewing Company,8.50 %,Minocqua Road-Kill Red Ale
2885,SKA Brewing,5.15 %,SKA Pinstripe Red Ale
2886,HammerHeart Brewing Company,8.34 %,HammerHeart Barrel Aged Serpensblod
2887,Howe Sound Brewing,5.50 %,Howe Sound Mettleman Copper Ale
2888,Riverside Brewing Company,6.50 %,Riverside Forty Four American Amber
2889,Metropolitan Brewing,5.40 %,Metropolitan BaphoMetro
2890,Aarhus Bryghus,5 %,Aarhus Frederik
2891,Twin Leaf Brewery,4.90 %,Twin Leaf Paradigm Shift
2892,Coastal Extreme Brewing Company,5.20 %,Newport Storm Hurricane Amber Ale
2893,Microbrasserie Pit-Caribou,5 %,Pit-Caribou Bonne Aventure Rousse
2894,Delafield Brewhaus,5 %,Delafield Bricklayer Pale Ale
2895,Crabtree Brewing Company,6.10 %,Crabtree Serenity Amber Ale
2896,BogotÃ ¡ Beer Company &#40; AB InBev &#41;,5 %,BogotÃ ¡ Beer Company &#40; BBC &#41; Monserrate Roja
2897,Blue Canoe Brewing Company,7.50 %,Blue Canoe Razorback Rye P.A.
2898,Baja Brewing Co. .,6 %,Baja Red
2899,Boxing Rock Brewing Company,6 %,Boxing Rock Temptation Red Ale
2900,Redhook Brewery,5.90 %,Redhook Late Harvest Autumn Ale
2901,Original Gravity Brewing Company,5.50 %,Original Gravity County Street Amber
2902,Rip Current Brewing,7 %,Rip Current Raked Over Red
2903,Drakes Brewing Company,6.50 %,Drakes Red Eye
2904,5 Seasons North,7 %,5 Seasons North The GA Wholesalers Give Millions of Dollars to Our State
2905,18th Street Brewery,6.90 %,18th Street / Central State Garce SalÃ © e
2906,Amazon Beer,6 %,Amazon Beer Priprioca Red Ale
2907,Anheuser-Busch InBev,6 %,Budweiser Black Crown
2908,Charlie & Jakes Brewery & BBQ,-,Charlie and Jakes Indian River Red
2909,Cigar City Brewing,7.50 %,Cigar City Joe_s Hoppy Time IPA
2910,Potbelly,4.80 %,Potbelly / Twickenham Joint Effort
2911,Chelsea Brewing Company,5 %,Chelsea Sunset Red Ale
2912,Dad and Dude_s Breweria,4.60 %,Dad & Dude_s Rockpile Pale Ale
2913,Argus Brewery,-,Argus Country House Red Ale
2914,Exit 6 Pub and Brewery,6.80 %,Exit 6 Ryane_s Red
2915,Elysian Brewing &#40; AB-InBev &#41;,5.60 %,Elysian Men_s Room Summer Gold Ale
2916,Blue Bell Brewery,4.80 %,Blue Bell Old Fashioned
2917,Carver Brewing Company,-,Carver Old Oak Amber Ale
2918,Barley Island Brewing,4.10 %,Barley Island Rust Belt Porter
2919,Maui Brewing Company,5.80 %,Maui Brewing Barefoot Brew
2920,Alpha Brewing Company,5 %,Alpha Northwest Double Pale Ale
2921,5 Seasons Westside,-,5 Seasons Westside High Fiveinator Doppelbock
2922,Mt. Hood Brewing,5 %,Mt. Hood Cloudcap Amber Ale
2923,Shipyard Brewing Company,5 %,Belfast Bay Lobster Ale
2924,Market Street Brewing Co. &#40; NY &#41;,4.60 %,Market Street Wrought Iron Red Ale
2925,_ umavskÃ 1/2 Pivovar,-,_ P Vimperk ZÃ ¡ zvorovÃ 1/2 SpeciÃ ¡ l 13Â ° &#40; Ginger &#41;
2926,903 Brewers,6.90 %,903 Roo_s Red Ale
2927,Nano Brew Cleveland,5.50 %,Nano Brew Cleveland Namber Ale
2928,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,5 %,Alligator Habanero Smoked Ale
2929,Mayflower Brewing Company,5.20 %,Mayflower Spring Hop Ale
2930,Barrel Harbor Brewing,5.20 %,Barrel Harbor Red Ale
2931,Deverell,4.50 %,Deverell Redemption Amber Ale
2932,Lumina Brewing Company,-,Lumina Raccoon Red Ale
2933,Kauai Island Brewing Company,5.80 %,Kauai Island Cane Fire Red
2934,Brutopia Brewery & Kitchen,5.50 %,Brutopian Valhalla Amber
2935,Four Fathers Brewing,9.80 %,Four Fathers Heavy Hitter
2936,Actual Brewing Company,7.30 %,Actual Bourbon Barrel Aged Elektron
2937,North Coast Brewing Company,5.50 %,North Coast Red Seal Ale
2938,Buoy Beer Company,6.70 %,Buoy NW Red Ale
2939,Barnet,4.30 %,Barnet Giddy Up
2940,Napier Brewery,6 %,Napier Roadster Red
2941,Vindication Brewing Co. .,7.20 %,Vindication American Bold Ale
2942,Stonehammer Brewery,5 %,F & M StoneHammer Maple Red Ale
2943,Laurelwood Public House & Brewery,6 %,Laurelwood Tre Otto Amber
2944,Northwest Brewing Company,6 %,Northwest Joker Amber Ale
2945,AF Brew,5.80 %,AF Brew Redrum IPA
2946,Burn _ Em Brewing,7 %,Burn _ Em Red Dead Revelvet
2947,Coors Brewing Company &#40; MillerCoors &#41;,-,AC Golden Colorado Native Saison
2948,Big Island Brewhaus,6.50 %,Big Island Red Giant Ale
2949,Fegley_s Brew Works,4.20 %,Bethlehem Brew Works Knuckleball
2950,Feral Brewing Co. .,7.40 %,Feral Fantapants
2951,Blackrocks Brewery,-,Blackrocks Three Wolf Moon IPA
2952,Bricktown Brewery,-,Bricktown Remington Red
2953,Intracoastal Brewing Company,5 %,Intracoastal This is Americ_Ale _
2954,Aiken Brewing Company,5.20 %,Aiken Thoroughbred Red
2955,Cottrell Brewing Company,5 %,Cottrell Old Yankee Ale
2956,Wolf Hills Brewing Company,4.80 %,Wolf Hills Creeper Trail Amber Ale
2957,Hood Canal Brewery,-,Hood Canal Agate Pass Amber
2958,Skookum Brewery,5.10 %,Skookum Amber_s Hot Friend
2959,Frankenmuth Brewery,-,Frankenmuth Old Detroit Amber Ale
2960,Australian Independent Brewers,5.20 %,Endeavour 2010 Reserve Amber Ale
2961,Hollister Brewing Company,5.50 %,Hollister Table 42 Red
2962,Sand Creek Brewing Company,4.70 %,4 Brothers Blended Beer Sibling Rivalry
2963,Atwater in the Park,5.30 %,Atwater Red Crown Red
2964,Rock Bottom King of Prussia,-,Rock Bottom King of Prussia Penns Curse Amber Ale
2965,Big Grove Brewery,8 %,Big Grove Anniversary Ale 2014
2966,101 Cider House,6.90 %,101 Cider House SoCal Scrumpy
2967,New Belgium Brewing Company,5.20 %,New Belgium Fat Tire
2968,Coda Brewing,6.70 %,Coda Dogcatcher Red Ale
2969,Long Trail Brewery,7.90 %,Long Trail Brewmaster Series Centennial Red
2970,Belching Beaver,6 %,Belching Beaver Blushing Beaver
2971,Indiana City Brewing Company,8.50 %,Indiana City Crimson Bombshell
2972,GoodLife Brewing Company,6 %,GoodLife Redside India Red Ale
2973,Acorn,5 %,Acorn Comet IPA
2974,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;,5.80 %,Boulevard Tasting Room Series Red IPA
2975,Swashbuckler Brewing Company,-,Swashbuckler Red Sea Amber Ale
2976,Central Waters Brewing Co. .,5 %,Central Waters Ouisconsing Red Ale
2977,Le Grimoire Microbrasserie,5 %,Le Grimoire Grimousse
2978,Wicked Weed Brewing,6 %,Wicked Weed Decoy Red
2979,2 Brothers Brewery,5.70 %,2 Brothers Grizz
2980,Cigar City Brewing,6 %,Cigar City Brewpub Grass Fed Red
2981,Howe Sound Brewing,4.50 %,Howe Sound Super Jupiter Grapefruit ISA
2982,Blue Corn Brewery &#40; Santa Fe &#41;,-,Blue Corn Rio Chama Amber Ale
2983,Howe Sound Brewing,5 %,Howe Sound Boomer_s Canadian Red Ale
2984,Caldera Brewing Company,5.60 %,Caldera Ashland Amber Ale
2985,Deschutes Brewery,6.10 %,Deschutes India Red Delicious
2986,Cascade Brewing,7.20 %,Cascade Honeyed Combs
2987,Bison Brewing Company,7 %,Bison Organic Red Reuben
2988,Barley Boys Brewery,-,Barley Boys Eds Red Pale Ale
2989,McMenamins Pubs and Breweries,7.10 %,McMenamins Red Riser IRA
2990,Brew Wharf,5.30 %,Brew Wharf Fire From The Top Of A Monkeys Head
2991,Wildcard Brewing Company,7.50 %,Wildcard Double Down Imperial Red Ale
2992,Red Car Brewery & Restaurant,4.94 %,Red Car Motorman Reserve
2993,Rumspringa Brewing Company,-,Rumspringa Red Caboose Ale
2994,Renaissance Brewing,5 %,8 Wired Farmhouse Pale Ale
2995,The Unknown Brewing Company,5.60 %,The Unknown Southern Hospitali-TEA
2996,Blue & Gray Brewing Co. .,6.50 %,Blue & Gray Christmas Cranberry Ale
2997,Millys Tavern / Stark Brewing Company,4.80 %,Millys Tavern Tashas Red Tail Ale
2998,75th Street Brewery,-,75th Street Hoppopotamus
2999,Point Ybel Brewing Company,5.60 %,Point Ybel Sanibel Red Island Ale
