pub_id,researchers,conf_journal,doc_year
52795,c bussler,"sigmod record ,",2002.0
52796,"a gupta , t weymouth , r jain","proceedingsof the 17th international conferenceof vldb ,",
52797,sa edwards,"acm transactions on design automation of electronic systems ,",2003.0
52798,"c noble , s barnes","geography ,",2000.0
52799,"r nagpal , h shrobe , j bachrach","lecture notes in computer science ,",2003.0
52800,p mcdonald,"bt technology journal ,",1998.0
52801,d katznelson,"lancet i ,",1982.0
52802,"e valtolina , a astol",,2001.0
52803,"rl hawley , ed waddington , jr mcconnell , dp","search open science meeting , seattle , washington ,",
52804,"dx du , rj axelbaum , ck law","proceedings of the 23rd international symposium on & hellip ; ,",
52805,"i stoica , h zhang , t ng",proceedings of acm,
52806,"t nakamura , f hamada , t ishidate , k anai , k","genes to cells ,",1998.0
52807,"c bettini , s jajodia , xs wang , d wijesekera",proceedings of the 28th international conference on very,
52808,"v lesser , cl ortiz , m tambe",,2003.0
52809,h grimm,"& hellip ; proceedings in physics . richter , d. , dianoux , aj , petry , w.",
52810,br nag,,1980.0
52811,"t lang , c wood , eb fernandez","acm transactions on database systems ,",1977.0
52812,f pereira,"history of programming languages ,",1993.0
52813,b technologies,"san diego ,",
52814,"jb rothme , n goodman","proc of the int conf on vldb , tokyo ,",
52815,"dk hall , cs benson","physical geography ,",1995.0
52816,"id la cruz , l thaler",,1996.0
52817,"dp kormann , ad rubin","www9 / computer networks ,",2000.0
52818,"r puri , j gu , e an","proc . of 29th design automation conference ,",
52819,"h harada , m matsumoto , m sato , y kashiwazaki , t","genes to cells ,",1996.0
52820,"s ward , r halstead , j gula , e strovink , c baker","internal memoranda , mit laboratory for computer science ,",
52821,ja orenstein,proceedings of the 1986 acm sigmod international conference,
52822,jf lynch,"acm sigda newsletter ,",1975.0
52823,cbm van riel,,
52824,lc solmon,"new directions for higher education ,",1984.0
52825,"dk kaynar , a chefter , l dean , sj garland , na lynch",submitted for,
52826,fj buckley,,
52827,"r esteller , j echauz , l tcheng",2001 proceedings of the 23rd annual embs international,
52828,av arhangelâ ?? skii,,2002.0
52829,"jf garza , w kim","proc . acm sigmod , chicago , ill. , sigmod record ,",
52830,mj carey,,
52831,"g sedek , m kofta , t tyszka","journal of personality and social psychology ,",1993.0
52832,"jc hoffsommer , dj glover","md ,",
52833,h darwen,"acm sigmod record ,",1996.0
52834,"sb klein , j loftus , t schell","journal of personality and social psychology ,",1994.0
52835,"r galantay , j torpus , m engeli","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
52836,"h klemetti , i lapinleimu , e mã $ kinen , m sieranta","acm sigcse bulletin ,",1995.0
52837,"bt jun , cw jeong , sc joo","proc . of the 28th kiss spring conf ,",
52838,l stein,"fed proc ,",1964.0
52839,e cambouropoulos,,
52840,bp kharlamov,"avtomat . i telemekh ,",
52841,"gj coram , bdo anderson , jl wyatt",,
52842,"g derflinger , w hã ¶ rmann","unpublished manuscript ,",
52843,"mc shan , jw davis , w du , q chen",,
52844,pg beidlerâ ? ¦,"new directions for teaching and learning ,",1986.0
52845,s ulfelder,"computerworld ,",
52846,"j berger , mh fisek , p crosbie",,1970.0
52847,"mv eatonwa , hj henryer","acc . chem . res ,",
52848,dp billington,"new directions for higher education ,",1994.0
52849,dm essentials,,
52850,"a mehta , j geller , y perl , e neuhold","the vldb journal the international journal on very large & hellip ; ,",1998.0
52851,"jp fry , eh sibley","acm computing surveys ( csur ) ,",1976.0
52852,"f geerts , h mannila , e terzi","proceedings of the international conference on very large & hellip ; ,",2004.0
52853,ad linde,,1990.0
52854,"dj abel , k taylor , d kuo","sigmod record ,",1997.0
52855,"l wilkerson , g feletti","new directions for teaching and learning ,",1989.0
52856,p cornell,"new directions for teaching and learning ,",2002.0
52857,"l wen-li , d gui-shi , h xiang-pei",proceedings of 2001 international conference on management,
52858,"s chaudhuri , k shim","proceedings of 23rd international conference on very large & hellip ; ,",
52859,jj cadiz,"technical report , microsoft research , microsoft corporation . (",
52860,"t nabekura , m nakao , y ito , r hori , m terao , f","portland press proceedings ,",1998.0
52861,sc dirks,,1999.0
52862,j king,"computerworld ,",
52863,"g convertino , j chen , b yost , ys ryu , c north",,
52864,"c papachristou , s chiu , h harmanani","proc . 28th designautomationconf ,",
52865,dw randolph,,
52866,"ma casanova , av moura , l tucherman","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0
52867,"mj carey , lm haas , m livny",conf . on management of,
52868,as borovik,"acc chem res ,",2005.0
52869,gj borjas,"the journal of human resources ,",1986.0
52870,"j kiernan , r agrawal","proceedings of the 28th international conference on very & hellip ; ,",
52871,"c yao , xs wang , s jajodia","proceedings of the 31st international conference on very & hellip ; ,",2005.0
52872,a sullivan,"computerworld ,",
52873,"va fonoberov , ep pokatilov , a balandin","& hellip ; electronic materials conference , santa barbara , california , & hellip ; ,",
52874,"phs torr , dw murray",ijcvâ ?? to,
52875,d gross-amblard,,
52876,bqbbq body,"bt technology journal ,",2003.0
52877,"sp jones , a gordon , s finne",the proceedings of the 23rd acm,
52878,"g bilchev , d marston","bt technology journal ,",2003.0
52879,"t wade , j brooks , mc kennicutt , t mcdonald , j","md ,",
52880,"a esuli , f sebastiani",,
52881,"z zhang , o faugeras",,1992.0
52882,m stulle,"technical university munich , germany ,",
52883,"m petropoulos , y papakonstantinou , v vassalos","computer networks ,",2002.0
52884,gl nelson,"new directions for teaching and learning ,",
52885,"c schuengel , mj bakermansâ ?? kranenburg , k van",,2000.0
52886,b klots,"proceedings of the international conference on very large & hellip ; ,",1996.0
52887,"m diehl , w stroebe","journal of personality and social psychology ,",
52888,"p sheridan , jp ballerini","zurich , switzerland ,",
52889,eg manes,,1976.0
52890,"fa tobagi , j pang , r baird , m gang",proc . 1st acm intl conf . on,
52891,"i damgard , e fujisaki","lecture notes in computer science ,",2002.0
52892,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the 1989 acm sigmod international conference,
52893,ga anastassiou,,2004.0
52894,"w hall , h davis",,1994.0
52895,"m heino , v kaitala , e ranta , j lindstrom","proceedings : biological sciences ,",1997.0
52896,"m lucertini , d pacciarelli , a pacifici","systems science-wroclaw - ,",1996.0
52897,"t ikeda , k sugi , h fukazawa , y enjoji , m kasao , k","kokyu to junkan ,",1993.0
52898,m yannakakis,"conf . on very large data bases ,",
52899,"l bing , l yiping , s lianshengâ ? ¦","proceedings d 2nd international symposium on instrumentation & hellip ; ,",
52900,"bp miller , md callaghan , jm cargille , jk","ieee computer ,",
52901,"sn cant , dr jeffery , b henderson-sellers","information and software technology ,",1995.0
52902,nt inside windows,,1993.0
52903,"k abe , a mitsudome , h ogata , m ohfu , m takakusaki","no to hattatsu ,",1990.0
52904,"jm morris , md schwartz","acm sigplan notices ,",1981.0
52905,pc magazine,"pc magazine ,",
52906,pp kã $ renlampi,submitted for,
52907,"f annan , a hsu , my chiu","proc acm multimedia ,",
52908,d scott,unpublished manuscript . available at http://www . cs . cmu .,
52909,j zhang,procs . of the ieee int . conf . on fuzzy,
52910,j annett,"see morrison ,",
52911,"x zhu , j liao , j chen","computer networks ,",2001.0
52912,a levy,proc . acm,
52913,"m dillencourt , lf bic , m fukuda","ieee computer ,",
52914,"m mito , m kusano , y kawaura","transplantation proceedings ,",1992.0
52915,"mk wallis , njd lucas , vi romanov","at energ ,",1991.0
52916,", b montreuil",,
52917,"jf miller , p thomson","lecture notes in computer science ,",2000.0
52918,"r frankel , e galun",,1977.0
52919,mw browne,"unpublished manuscript ,",
52920,"j lundelius , n lynch","unpublished manuscript ,",
52921,"s handschuh , s staab , f ciravegna","lecture notes in computer science ,",2002.0
52922,"ch pair , wh hintz , kr frost , re sneed , tj schultz","md ,",
52923,pc magazine,pc,
52924,"j kohlas , pa monney",,1995.0
52925,"r nuray , f can","proceedings of acm sigir ,",
52926,"yj cha , cs rim , k nakajima","proc . int . symp . on physical design ,",1997.0
52927,tyvd mx,,2004.0
52928,ap french,"phil . mag ,",1951.0
52929,rl mullin,"& hellip ; of international conference on management and financing of & hellip ; ,",
52930,"c chesta , o siohan , ch lee",,
52931,"sa brewster , pc wright , adn edwards",,
52932,"e sgarbossa , s pinski , k gates","journal of emergency medicine ,",1996.0
52933,"h inose , y yasuda","proc . ieee ,",
52934,"rd morris , wj fitzgerald , ac kokaram","proceedings of acm multimedia ,",
52935,p keefe,"computerworld. ,",1984.0
52936,"k hartzell , a botek , s goldberg","journal of emergency medicine ,",1997.0
52937,f taxman,,
52938,od index,,1903.0
52939,a class,,
52940,"k haller , h schuldt , c tã 1/4 rker",,
52941,"a si , hv leong","proceedings of the second acm international conference on & hellip ; ,",1997.0
52942,w cellary,,
52943,r fleming,"wisconsin studies in contemporary literature ,",1961.0
52944,"m barber , rm elliott","astm committee e-14 , montreal , canada , june ,",
52945,"d draper , ay halevy , ds weld","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
52946,"wt hardgrave , eh sibley",,
52947,"cj leggetter , pc woodland","proc . icslp ,",
52948,"pb gibbons , v poosala , s acharya , y bartal , y",,
52949,a rossnagel,,
52950,"mc feller , jp kimmins , ka scoullar","see ref ,",
52951,p grefen,,
52952,sj davis,"unpublished manuscript ,",
52953,"ns argyres , jp liebeskind","the academy of management review ,",1999.0
52954,"i lourel , tn eichmann , s isbister , tj mcintyre ,","proceedings of the 23rd international symposium on shock & hellip ; ,",
52955,"r golman , j widom",proceedings of the twenty-third internation conference on,
52956,"f peng , ss chawathe",,
52957,"d bainbridge , cg nevill-manning , ih witten , la",,
52958,"n reshetikhin , vg turaev","inventiones mathematicae ,",1991.0
52959,"cw may , rr horner , jr karr , bw mar , eb welch","university of washington , seattle ,",1997.0
52960,"m fernandez , d florescu , j kang , a levy , d suciu",proceedings of acm-sigmod international,
52961,"bk roy , vn bapat , dc saha","iee proceedings-d ,",
52962,"j lee , ji pan , jy kuo","information & software technology ,",2001.0
52963,m winslett,"sigmod record ,",2005.0
52964,rb hensley,"new directions for teaching and learning ,",2003.0
52965,jj thomson,"phil . mag ,",
52966,l fasthorse,,1983.0
52967,"s hills , d mcglaughlin , n hanafi","bt technology journal ,",2000.0
52968,g lawton,,1998.0
52969,d westerstahl,"proceedings of llc8 ( d. barker-plummer , d. beaver , j. van",
52970,"m pessa , h asonen , t hakkarainen , m hovinen , j","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
52971,je cloern,,1985.0
52972,aj ryan,"computerworld. ,",1987.0
52973,"r currell , c urquhart , p wainwright , r lewis","cochrane database syst rev ,",2000.0
52974,gp hollenbeck,,1961.0
52975,"tt ng , fh teck","proc . of the technical sessions 29th research oâ ? cers &#39; & hellip ; ,",
52976,mh shapiro,"san diego law review ,",2002.0
52977,dg feam,"& hellip ; electric propulsion conference , seattle , washington , & hellip ; ,",
52978,k kobayashi,"computer networks ,",
52979,"ld landau , em lifschitz","i mechanik ,",
52980,"a strotmann , l kohout",,
52981,"j wang , x lu , w qiu , z yue , s fancler , w shi , dmh",,
52982,"a gupta , hv jagadish , is mumick","lecture notes in computer science ,",1996.0
52983,"d keltner , pc ellsworth , k edwards","journal of personality and social psychology ,",1993.0
52984,"w watkins , a rogers , c ostler , m bamshad , a",,2002.0
52985,y ioanmdis,"acm sigmod record ,",
52986,b staudt,"& hellip ; of massachusetts , amherst , acm transactions on database & hellip ; ,",
52987,"re kraut , re johnston","journal of personality and social psychology ,",
52988,"cm kuok , a fu , mh wong , nt shatin , h kong",,
52989,"x wang , m cherniack","proceedings of the international conference on very large & hellip ; ,",2003.0
52990,"c herrmann , p luksch , m skorsky , r wille",,
52991,"sl stover , ja delisa , gg whiteneck","md ,",
52992,"d arnold , g meyerhans","swiss federal institute of technology , zurich , switzerland ,",
52993,"b josiam , js clements , p hobson","unpublished manuscript ,",
52994,v rotger,submitted to,
52995,tl davis,"santa barbara , university of california ,",
52996,"k ohno , t ikebe , t ikegami","procs . iwuwbs & uwqbst ,",
52997,wl bryan,,1899.0
52998,rl alfred,"new directions for higher education ,",1985.0
52999,y liang,"information & software technology ,",2003.0
53000,"th merrett , ej otoo","vldb ,",1979.0
53001,"ma roth , hf korth , a silberschatz","acm transactions on database systems ,",1988.0
53002,"yn shen , f lombardi","submitted for publication ,",
53003,me conway,"proc . afips ,",
53004,"jn gray , ra lorie , gr putzolu","proc . int . conf . of very large data bases , framingham , mass . & hellip ; ,",
53005,g bracey,"electronic learning ,",1992.0
53006,g lenzi,"proceedings of the 23rd international colloquium on automata & hellip ; ,",1996.0
53007,ja crane,"journal of emergency medicine ,",1997.0
53008,oh ibbarra,"proc . int . parallel processing symp ,",
53009,d harman,"new directions for higher education ,",1976.0
53010,"wp yan , p larson",proc . 21st int . conf . on very large data,
53011,"j gray , w chong , t barclay , a szalay","technical report msr-tr-2002-54 , microsoft research , may 2002 . (",
53012,"m muehlich , r mester","lecture notes in computer science ,",1998.0
53013,lh yap-salinas,"international conference on irrigation management transfer ,",
53014,"im matthews , jp evans , ae magurran","proceedings : biological sciences ,",1997.0
53015,"m delap , b knutsson , h lu , o sokolsky","proceedings of acm sigcomm 2004 workshops on netgames &#39; 04 : & hellip ; ,",2004.0
53016,nt feather,,1975.0
53017,"k laevens , p key","technical report 104 , microsoft research limited , cambridge , uk ,",
53018,mg weimer,"new directions for teaching and learning , no ,",
53019,"jj goedbloed , g jeichar","proc . 8th intern . symp . on emc , zurich , switzerland ,",
53020,c mohan,,
53021,"a eisenberg , j melton","acm sigmod record ,",2004.0
53022,"j shanmugasundaram , e shekita , r barr , m carey , b","the vldb journal the international journal on very large & hellip ; ,",2001.0
53023,a sozialversicherungsgesetz,"bgb1 . i nr ,",
53024,wot james,"technical report mit/lcs/tm -485 , massachusetts institute of",
53025,p barham,,
53026,"h beaumont , c augood , k duckitt , a lethaby","cochrane database syst rev ,",2002.0
53027,i biaggio,"& hellip ; technische hochschule zurich , zurich , switzerland ( personal",
53028,g weikum,,
53029,"m venkatachalam , p chandra , r yavatkar","computer networks ,",2003.0
53030,f driver,"area-institute of british geographers ,",2001.0
53031,yg kim,"proceedings of the international conference on information & hellip ; ,",1995.0
53032,w rounds,"technical report csli-88-129 , csli , stanford university ,",
53033,"m stark , nj stapper , h sondermann , jk mai","the histochemical journal ,",1992.0
53034,"ep krenning , dj kwekkeboom , wh bakker , wap breeman","european journal of nuclear medicine and molecular imaging ,",1993.0
53035,"ch chang , kw han",,
53036,"d ruland , d seipel","proceedings of the fifth acm sigact-sigmod symposium on & hellip ; ,",1985.0
53037,"s arora , tn cason","land economics ,",1996.0
53038,"lm smith , pf kleine","new directions for program evaluation ,",1986.0
53039,"t fujimoto , m ogawa , n minegishi , h yoshida , t","genes to cells ,",2001.0
53040,"j zhang , m zhu , d papadias , y tao , dl lee",,
53041,"wt harbaugh , k krause , sg liday","unpublished manuscript ,",2002.0
53042,"r crockett , sj krishel , a manoguerra , sr williams ,","journal of emergency medicine ,",1996.0
53043,"w namgung , pm stevenson , jf reed","zeitschrift fã 1/4 r physik c particles and fields ,",1989.0
53044,"d papadias , y theodoridis , t sellisâ ? ¦",,1995.0
53045,"d hoadley , j siegel , d scarfe","electronic engineering ,",1998.0
53046,"t gormley , n reingold , e torng , j westbrook",,
53047,"mj berson , ir berson","social studies and the young learner ,",2001.0
53048,of edi,"electronic markets ,",2001.0
53049,"rm tork , p schwarz","proceedings of the 23rd international conference on very & hellip ; ,",1997.0
53050,"jl armstrong , sl yarbrough","new directions for adult and continuing education ,",1996.0
53051,a attanasio,"& hellip ; eidgenoessische technische hochschule , zurich ( switzerland ) & hellip ; ,",1973.0
53052,"g herzwurm , s schockert , u dowie , m breidung","athens ,",
53053,sb merriam,"new directions for adult and continuing education ,",
53054,gd plotkin,"lecture notes in computer science ,",1980.0
53055,sn heritage,"snh west area board ,",
53056,"tt tang , d hawking , n craswell , rs sankaranarayana",,
53057,wy kim,,
53058,wl landryâ ? ¦,"md ,",
53059,t albano,"pc magazine ,",1993.0
53060,pj ilsley,"new directions for adult and continuing education ,",2004.0
53061,"j kodumal , a aiken",,
53062,la suchman,,1987.0
53063,"d hinrichsen , nk son","applied mathematics and computer science ,",1998.0
53064,"s casano , vd antoneillis","information and software technology ,",
53065,"mj natan , te mallouk , ms wrighton","interim technical report massachusetts inst . of tech. , & hellip ; ,",1986.0
53066,"s ghandeharizadeh , e alwagait , s song",submitted for,
53067,a moshaiov,,
53068,"mj findley , hm cooper","journal of personality and social psychology ,",
53069,j bowes,"msc thesis , department of computer science , university of",
53070,"je miller , j trimbur , jm wilkes","new directions for teaching and learning ,",1994.0
53071,"fwm stentiford , pa popay","bt technology journal ,",1999.0
53072,"j liu , m adler",,
53073,a kong,"computer science and statistics : proceedings of the 23rd & hellip ; ,",
53074,it exporting,,
53075,"rp trueblood , hr hartson","acm sigmod record ,",1981.0
53076,ac hearn,"invited demonstration abstract , eurosam ,",
53077,h ibarra,"the academy of management review ,",1993.0
53078,"js whiting , d honig , e carterette , nl eigler",proc .,
53079,"n roussopoulos , a delis","sigmod record ,",1991.0
53080,"jj jiang , g klein , jl balloun , sm crampton","information & software technology ,",1999.0
53081,"es sty931 , kl tan , h young","proc . vldb conf , dublin ,",
53082,r braden,"proceedings of the ietf , montreal , canada . june ,",
53083,c austin,"new directions for teaching and learning ,",1986.0
53084,s schrijnemakers,,
53085,br snyder,"new directions for higher education ,",1973.0
53086,s ricciardi,"pc magazine-american edition - ,",1994.0
53087,k juselius,"unpublished manuscript ,",2002.0
53088,"c cardona , f rendã ³ n , i rodrãguez","procs . international workshop on bemisia and geminivirus ,",
53089,a berger,"unpublished manuscript ,",1997.0
53090,"dr forsyth , jh mcmillan","new directions for teaching and learning ,",1991.0
53091,"c bohm , k kailing , p kroger , a zimek","proc . of acm-sigmod int . conf . on management of data ,",2004.0
53092,k button,"social studies and the young learner ,",1998.0
53093,"a balluchi , l benvenuti , md di benedetto , al","lecture notes in computer science ,",2002.0
53094,"v gerbi , g zeppa , a antonelli , a carnacini , tm","information and software technology ,",1997.0
53095,ll carli,"journal of personality and social psychology ,",
53096,mc mcfarland,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
53097,"dt bell , rcm li","proc . ieee ,",
53098,a trigoni,,
53099,bcj moore,"proc . 16 thint . congress acoust . ( ica ) , seattle , washington , & hellip ; ,",1998.0
53100,"k patel , bc smith , la rowe",,
53101,"r maynard , ee kisker , s kerachasky","& hellip ; female single parent demonstration , into the working world , & hellip ; ,",
53102,"j larson , rs michalski","acm sigart bulletin ,",1977.0
53103,"p lee , r caffarella","new directions for adult and continuing education ,",1994.0
53104,"b theodoulidis , a ait-braham , g andrianopoulos , j",proc . acm sigmod int &#39; l conf . management of,
53105,d plexousakis,,
53106,"s rollins , n sundaresan","www9 / computer networks ,",2000.0
53107,pa bernstein,21st vldb,
53108,jmc scott,"phil . mag ,",
53109,wb coney,"technical report , department of ocean engineering , massachusetts",
53110,"gm bronstein , ri okamoto","computerworld ,",1981.0
53111,"a datta , d vandermeer , k ramamritham , b moon","submitted for publication ,",1998.0
53112,t korja,"proceedings of the 25 th annual conference of the finnish & hellip ; ,",1991.0
53113,d thurs,"unpublished manuscript ,",2005.0
53114,da linden,,1977.0
53115,"a rosenthal , k dittrich , j donahue , b maimone","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
53116,"wg astley , cj fombrun","the academy of management review ,",1983.0
53117,p metsu,"electronic engineering ,",1996.0
53118,"r anderson , c hannan , s gilbertâ ? ¦",,2002.0
53119,"p key , d mcauley",,
53120,"h ishikawa , f io suzuki , f ihiko kozakura",acm transactions on database system,
53121,p scown,,
53122,"v ganti , ml lee , r ramakrishnan","vldb ,",2000.0
53123,"s chaudhuri , k shim","proceedings of the 22nd international conference on very & hellip ; ,",
53124,"vs alagar , a celer","technical report , concordia university , montreal , canada , june",
53125,"mh pittler , e ernst","cochrane database syst rev ,",2003.0
53126,"c corman , m lach","proceedings of the 23rd annual acm siguccs conference on & hellip ; ,",1995.0
53127,"m de la chapelle , aw van ausdale , me fritz","gomac 93 conference proceedings ,",
53128,"s shaw , n qin","european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0
53129,"sf chang , l gravano , ge kaiser , ka ross , sj stolfo","sigmod record ,",1998.0
53130,m freeman,,
53131,"mj carey , lm haas , pm schwarz , m arya , wf cody , r","ibm almaden research center , san jose ,",
53132,ht kung,,
53133,"t shen , kh tai","acc . chem . res ,",
53134,jd ullman,"proceedings of the 1st acm sigact-sigmod symposium on & hellip ; ,",1982.0
53135,gi budkerâ ? ¦,"at . energ ,",
53136,"kk yin , x li , j bonde , c richards , g cholwek","applied mathematics and computer science ,",1998.0
53137,"x li , g agrawal",proceedings of the 31th vldb,
53138,k yue,"sigmod record ,",1991.0
53139,"sl wartick , pl cochran","the academy of management review ,",1985.0
53140,cm liaw,,
53141,k goldsmith,"& hellip ; for american archaeology meetings , seattle , washington ,",
53142,"wa clark , jm frankovich , hp peter-son , jw forgie ,","technical report 6m-4968 , massachusetts institute of technology ,",
53143,"h schwarz , r rimmer",proc,
53144,ca altos,,
53145,"bk yi , c faloutsos","proceedings of vldb , cairo egypt ,",
53146,l kelvin,"phil . mag ,",
53147,kc hodgkinson,"proceedings of the fourth international rangeland congress ,",1993.0
53148,"hlkl tan , s dao",proceedings of the international conference on very large,
53149,ms inc,"san diego ,",
53150,"h bodlaender , m fellows , m hallet , np beyond",proc . acm stoc,
53151,"w scheufele , g moerkotte",,
53152,c bussler,,
53153,"s ramakrishnan , ss collis","submitted for publication ,",2002.0
53154,"b goldys , f gozzi",,
53155,"vcs lee , kw lam , sh son","the computer journal ,",2002.0
53156,"ja stankovic , m spuri , m di natale , g buttazo",ieee,
53157,w feller,"new york ,",
53158,v semonsen,"biologist , santa barbara , california ,",
53159,"agr sheil , aps disney , th mathew , n amiss","transplantation proceedings ,",1993.0
53160,"jj gonzã ¡ lez , p basagoiti",proc . 21st int . conf .,
53161,"s arribas , d carter , l cavaller , c del burgo , r","proc . spie ,",1998.0
53162,ft hofstetter,,
53163,"r kohavi , dh wolpert",,1996.0
53164,"k steele , m greenstone , ja lasserson","cochrane database syst . rev ,",2001.0
53165,i fridovich,"acc . chem . res ,",
53166,pa schwarz,"new directions for program evaluation ,",
53167,ar luria,,
53168,wa martin,,1979.0
53169,t powell,"proceedings 25 thworkshop of reservoir engineering . & hellip ; ,",
53170,"ren hai-ping , hu yang , wu wen-kaiâ ? ¦","proceedings of the 23rd annual international conference of & hellip ; ,",
53171,"psm tripathi , lc ram , sk jha , np vasilakos","theophrastus publications , athens ,",
53172,"q cao , ja stankovic","proceedings of the 5th acm international conference on & hellip ; ,",2005.0
53173,"f kiblawi , i klein , k ojamaa",,2002.0
53174,sa black,"wisconsin studies in contemporary literature ,",1964.0
53175,"s fornasier , m lazzarin","icarus-new york - ,",2001.0
53176,"p constantopoulos , m doerr , y vassiliou",,
53177,"pk gantzel , ra sparks , kn trueblood",uclals,
53178,"b adelberg , m denny",,
53179,d no,"technological development and demonstration activities ,",
53180,"kt foster , g young , jw cook , dea clarke , rh kirby ,","bt technology journal ,",1998.0
53181,jl peterson,"acm sigplan notices ,",1977.0
53182,b fryer,"computerworld ,",
53183,"mf wiersema , ka bantel","the academy of management journal ,",1992.0
53184,"p szolovits , j doyle , wj long , i kohane , sg pauker",,
53185,bg dubovskii,at .,
53186,g yu,"proceedings of the international conference on management & hellip ; ,",
53187,"u schnars , g sepold , wpo juptner","& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,",1992.0
53188,ds sigman,"acc . chem . res ,",
53189,jf canny,"technical report 20 , massachusetts institute of technology ,",
53190,"s satish , k mankides , d zhang","journal of emergency medicine ,",1998.0
53191,"ks wallace , ta brown , ka freestone",,1998.0
53192,g moerkotte,"vldb ,",1998.0
53193,"h yanai , k satoh , a matsumine , t akiyama","genes to cells ,",2000.0
53194,a kornel,"computerworld ,",
53195,"sp quigley , pv paul","inc. , san diego ,",
53196,"s guha , r rastogi , k shim","proc . acm sigmod ,",
53197,s van every,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
53198,"t tsuge , h sato , k watanabe","hf245me , procs of int conf on ozone protection",
53199,"w lefer , jm pierson",,
53200,"gz forristall , rd larrabee , rs mercier","proceedings of the 23rd offshore technology conference , & hellip ; ,",
53201,"j park , m chen , p yu",acm sigmod,
53202,"r impagliazzo , a wigderson",,
53203,"c cunningham , c galindo-legaria , g graefe","proceedings of the international conference on very large & hellip ; ,",2004.0
53204,"w fan , cy chan , m garofalakis","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
53205,"d patterson , r katz","sigmod record ,",
53206,m brody,"approaches to hungarian ,",
53207,j mycka,,
53208,"cr colvin , j block , dc funder","journal of personality and social psychology ,",1995.0
53209,e carmel,"information and software technology ,",1995.0
53210,"mr henzinger , a heydon , m mitzenmacher , m najork","www9 / computer networks ,",2000.0
53211,"p sarda , jr haritsa","proceedings of the international conference on very large & hellip ; ,",2004.0
53212,"tf haughey , rm rollason","computerworld. ,",1983.0
53213,r blau,"proc . acm sigmetrics ,",
53214,lb klyashtorin,"proceedings of second world fisheries congress ( d. hancock & hellip ; ,",
53215,"m laakso , p jalas , m juntunen , t tikkanen , e","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
53216,"c sgadari , al angiolillo , g tosatoâ ? ¦","blood-new york - ,",1996.0
53217,d levy,unpublished,
53218,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0
53219,"rs liu , gs hammond","acc . chem . res ,",2005.0
53220,ga plumb,,
53221,"p mertens , cd ` alessandro",proc . int . congr . phonetic,
53222,â ? ¦,,
53223,m pichlmair,"proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
53224,mp polls,"proc of the 28th cdctampa , florida : ieee ,",
53225,"c fillies , g wood-albrecht","computer networks ,",2003.0
53226,"s kristoffersen , f ljungberg","acm sigchi bulletin ,",1999.0
53227,"r ferrer-cancho , rv solã ©",procs roy soc london b,
53228,"g alonso , d agrawal , a el abbadi",,1993.0
53229,"a yezzi , a tsai , a willsky","proc . int . conf . computer vision ,",
53230,s watson,"computerworld ,",
53231,"g archbold , pv sokolsky","proc . 28th icrc ,",
53232,"pp da silva , nw paton","submitted for publication ,",
53233,"j davidson , sj kaplan",submitted for,
53234,i ahn,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
53235,"re johnson , km cassidy",,1997.0
53236,"k murota , k hirade","proc . ieee 29th veh . technol . conf ,",
53237,"cm glazener , jh evans","cochrane database syst rev ,",2002.0
53238,"hs stone , sh bokhari","ieee computer ,",
53239,rl lichtiâ ? ¦,at,
53240,"vv jikov , sm kozlov , oa oleinik",,1994.0
53241,"n girard , mn courel , a delpech , g bruckner , b","the histochemical journal ,",1992.0
53242,"s naqvi , r krishnamurthy","proceedings of the seventh acm sigact-sigmod-sigart & hellip ; ,",1988.0
53243,"je hollander , rs hoffman","journal of emergency medicine ,",1992.0
53244,rg gordon,,1974.0
53245,a barchiesi,"md ,",
53246,gd lenehan,"journal of emergency nursing ,",1998.0
53247,"m ichimaru , s kamihira , y moriuchi , y kuraishi , n","gan to kagaku ryoho ,",1988.0
53248,jy brunelâ ? ¦,"proceedings , acm press ,",
53249,wa traubâ ? ¦,"proc . spie ,",1998.0
53250,"a benkherouf , ay allidina","& hellip ; proceedings d [ see also iee proceedings-control theory and & hellip ; ,",1988.0
53251,"y he , h el azouzi , ml cervera","at . spectrom ,",
53252,hl tuan,"proceedings of national science council , part d ,",
53253,"x liang , cj wu , jx yan","iscâ ?? 98 proceedings , section d ,",
53254,"j gemmell , s christodoulakis","acm transactions on information systems ( tois ) ,",1992.0
53255,"l liu , w han , d buttler , c pu , w tang","sigmod conference ,",1999.0
