record_id,publication_venue,collaborators,document_title
2367,sigmod conference,"apostolos papadopoulos , yannis manolopoulos",similarity query processing using disk arrays
2368,sigmod record,marianne winslett,interview with jim gray
2369,sigmod conference,"viswanath poosala , sridhar ramaswamy , swarup acharya",selectivity estimation in spatial databases
2370,vldb,"philippe pucheral , luc bouganim",chip-secured data access : confidential data on untrusted servers
2371,acm trans . database syst .,richard t. snodgrass,editorial
2372,vldb,"sven helmer , guido moerkotte , till westmann",diag-join : an opportunistic join algorithm for 1 : n relationships
2373,vldb,"debra e. vandermeer , krithi ramamritham , anindya datta , kaushik dutta , helen m. thomas",demonstration : enabling scalable online personalization on the web
2374,sigmod conference,"manish arya , mary tork roth , laura m. haas , joachim thomas ii , michael j. carey , edward l. wimmers , peter m. schwarz , william f. cody , ronald fagin",the garlic project
2375,vldb,"césar a. galindo-legaria , eirik dahle , tor didriksen",database de-centralization - a practical approach
2376,vldb,"manoj chavda , peter t. wood",towards an odmg-compliant visual object query language
2377,sigmod record,"eric n. hanson , lloyd noronha",timer-driven database triggers and alerters : semantics and a challenge
2378,vldb,"nikolaos sidiropoulos , christos faloutsos , h. v. jagadish",recovering information from summary data
2379,vldb,"shinichi morishita , yasuhiko morimoto , hiromu ishii",efficient construction of regression trees with range and region splitting
2380,sigmod record,marianne winslett,interview with pat selinger
2381,sigmod conference,hasan m. jamil,belief reasoning in mls deductive databases
2382,vldb,"byron dom , rakesh agrawal , prabhakar raghavan , soumen chakrabarti","using taxonomy , discriminants , and signatures for navigating in text databases"
2383,vldb,"anthony tomasic , peter fankhauser , j. muñoz , m. lopez , georges gardarin",experiences in federated databases : from iro-db to miro-web
2384,vldb,"divesh srivastava , nick koudas",data stream query processing : a tutorial
2385,vldb j.,"mike p. papazoglou , bernd j. krämer",erratum : a database model for object dynamics
2386,sigmod conference,cass squire,data extraction and transformation for the data warehouse
2387,sigmod conference,"tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",secure and portable database extensibility
2388,sigmod conference,"yannis e. ioannidis , viswanath poosala",balancing histogram optimality and practicality for query result size estimation
2389,sigmod conference,"yuan wang , feng tian , david j. dewitt , jianjun chen",niagaracq : a scalable continuous query system for internet databases
2390,vldb,"w. bruce croft , james p. callan , eric w. brown",fast incremental indexing for full-text information retrieval
2391,sigmod record,"kenneth a. ross , beng chin ooi , frank neven",reminiscences on influential papers
2392,vldb,"b. sreenath , s. seshadri",the hcc-tree : an efficient index structure for object oriented databases
2393,sigmod record,"lynn l. peterson , jorge c. g. ramirez , lon a. smith",medical information systems : characterization and challenges
2394,sigmod conference,"panos vassiliadis , spyros ligoudistianos , diego calvanese , christoph quix , maurizio lenzerini , matthias jarke , enrico franconi , yannis vassiliou",concept based design of data warehouses : the dwq demonstrators
2395,sigmod record,"alberto o. mendelzon , paolo atzeni",webdb ' 98 : international workshop on the web and databases
2396,sigmod record,object database management group,"response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc"
2397,vldb,"viswanath poosala , yannis e. ioannidis",selectivity estimation without the attribute value independence assumption
2398,vldb,yannis e. ioannidis,the history of histograms ( abridged )
2399,sigmod record,"kathleen hornsby , heidi gregersen , lex wedemeijer , tomi männistö , john f. roddick , florida estrella , federica mandreoli , marlon dumas , lina al-jadir , enric mayol , leopoldo e. bertossi , jens lufter",evolution and change in data management - issues and directions
2400,vldb,c. mohan,an efficient method for performing record deletions and updates using index scans
2401,sigmod record,"chih-he li , irene s. y. kwan , shi-ming huang",a study on the management of semantic transaction for efficient data retrieval
2402,sigmod record,"beng chin ooi , yanfeng shu , kian-lee tan",relational data sharing in peer-based data management systems
2403,vldb,"dan vodislav , sophie cluet , pierangelo veltri",views in a large scale xml repository
2404,vldb j.,"mike p. papazoglou , bernd j. krämer",a database model for object dynamics
2405,vldb,"geetika agrawal , paul lucas , arvind sundararajan , fabio riccardi , michael j. carey , daniela florescu , donald kossmann , till westmann , chris hillery",the bea/xqrl streaming xquery processor
2406,vldb,"yannis papakonstantinou , vasilis vassalos",describing and using query capabilities of heterogeneous sources
2407,sigmod record,"gerald held , hector garcia-molina , michael lesk , jim gray , philip a. bernstein , david maier , h. v. jagadish , michael stonebraker , stefano ceri , joseph m. hellerstein , david j. dewitt , jeffrey d. ullman , michael l. brodie , jeffrey f. naughton , michael j. franklin , hamid pirahesh",the asilomar report on database research
2408,vldb,"kyuseok shim , rajeev rastogi",public : a decision tree classifier that integrates building and pruning
2409,vldb,"gustavo alonso , etzard stolte",efficient exploration of large scientific databases
2410,vldb j.,"julie basu , arthur m. keller",a predicate-based caching scheme for client-server database architectures
2411,sigmod record,"mohand-said hacid , elisa bertino , ahmed k. elmagarmid",a database approach to quality of service specification in video databases
2412,vldb,"yván j. garcía , scott t. leutenegger , mario a. lopez",on optimal node splitting for r-trees
2413,vldb,"philip a. bernstein , umeshwar dayal",an overview of repository technology
2414,sigmod conference,"gautam bhargava , balakrishna r. iyer , piyush goel",hypergraph based reorderings of outer join queries with complex predicates
2415,acm trans . database syst .,v. s. subrahmanian,amalgamating knowledge bases
2416,vldb,"hector garcia-molina , narayanan shivakumar , chandra chekuri",filtering with approximate predicates
2417,vldb,"j. madar , raymond t. ng , h. v. jagadish",semantic compression and pattern extraction with fascicles
2418,vldb j.,"patrick valduriez , philippe pucheral , christophe bobineau , luc bouganim",picodbms : scaling down database techniques for the smartcard
2419,vldb,"r. g. g. cattell , bruce e. martin",relating distributed objects
2420,vldb,"m. tamer özsu , kaladhar voruganti , ronald c. unrau",an adaptive hybrid server architecture for client caching odbmss
2421,sigmod record,"john a. stankovic , krithi ramamritham , ming xiong , rajendran m. sivasankaran , donald f. towsley","integrating temporal , real-time , and active databases"
2422,sigmod conference,"tolga yurek , divyakant agrawal , amr el abbadi , ambuj k. singh",efficient view maintenance at data warehouses
2423,acm trans . database syst .,"laks v. s. lakshmanan , raymond t. ng , carson kai-sang leung",efficient dynamic mining of constrained frequent sets
2424,sigmod record,"timothy w. finin , anupam joshi","agents , turst , and information access on the semantic web"
2425,sigmod conference,"joachim hammer , hector garcia-molina , svetlozar nestorov , ramana yerneni , markus m. breunig , vasilis vassalos",template-based wrappers in the tsimmis system
2426,vldb,"norbert widmann , paula furtado , peter baumann , roland ritsch",geo/environmental and medical data management in the rasdaman system
2427,sigmod record,richard t. snodgrass,journal relevance
2428,sigmod conference,"divesh srivastava , nick koudas , nicolas bruno",holistic twig joins : optimal xml pattern matching
2429,sigmod conference,"richard sidle , wolfgang lehner , hamid pirahesh , roberta cochrane",maintenance of automatic summary tables
2430,vldb,"alon y. levy , divesh srivastava , abraham silberschatz , maria zemankova",challenges for global information systems
2431,sigmod record,"peter buneman , louiqa raschid , jeffrey d. ullman",mediator languages - a proposal for a standard
2432,vldb,"bruno tessier , amélie marian , brendan hills , sophie cluet , jean-claude mamou , bernd amann , anne-marie vercoustre , frédéric hubert , vincent aguilera , laurent mignet , serge abiteboul , sébastien ailleret , tova milo , cassio souza dos santos",xml repository and active views demonstration
2433,sigmod record,"zhan cui , paul o'brien , dean m. jones",semantic b2b integration : issues in ontology-based applications
2434,vldb j.,"k. bernhard schiefer , arun n. swami",estimating page fetches for index scans with finite lru buffers
2435,sigmod conference,"konrad schwarz , eva kühn , thomas tschernko",a language based multidatabase system
2436,vldb j.,"stanley y. w. su , nabil kamel , ping wu",a pattern-based object calculus
2437,vldb j.,?,title
2438,sigmod record,"murali venkatrao , michael pizzo",sql/cli - a new binding style for sql
2439,sigmod record,"paul h. lewis , joseph kuan",a study on data point search for hg-trees
2440,vldb,"yannis papakonstantinou , hector garcia-molina , serge abiteboul",object fusion in mediator systems
2441,vldb,"konrad stocker , alfons kemper , stefan seltzsam , markus keidl",serviceglobe : distributing e-services across the internet
2442,vldb,donald r. slutz,massive stochastic testing of sql
2443,sigmod conference,roberto j. bayardo jr.,efficiently mining long patterns from databases
2444,vldb,"gerhard weikum , peter muth , patrick e. o'neil , achim pick","design , implementation , and performance of the lham log-structured history data access method"
2445,vldb,"shruti kasetty , colin meek , jignesh m. patel",oasis : an online and accurate technique for local-alignment searches on biological sequences
2446,acm trans . database syst .,"leo mark , lars bækgaard",incremental computation of nested relational query expressions
2447,sigmod conference,"mario a. lopez , simonas saltenis , christian s. jensen , scott t. leutenegger",indexing the positions of continuously moving objects
2448,sigmod conference,"jiawei han , teresa mah , laks v. s. lakshmanan , raymond t. ng",exploratory mining via constrained frequent set queries
2449,sigmod conference,sanju k. bansal,real world requirements for decision support - implications for rdbms
2450,sigmod conference,"kevin chen-chuan chang , hector garcia-molina",mind your vocabulary : query mapping across heterogeneous information sources
2451,acm trans . database syst .,"viswanath poosala , phillip b. gibbons , yossi matias",fast incremental maintenance of approximate histograms
2452,sigmod conference,"ouri wolfson , a. prasad sistla",temporal conditions and integrity constraints in active database systems
2453,vldb,roger king,the rubicon of smart data
2454,sigmod record,"terence critchlow , ron musick",practical lessons in supporting large-scale computational science
2455,sigmod record,dan suciu,on database theory and xml
2456,vldb j.,"amit shukla , miron livny , michael j. carey , laura m. haas",seeking the truth about ad hoc join costs
2457,vldb,"philip s. yu , charu c. aggarwal , jiawei han , jianyong wang",a framework for clustering evolving data streams
2458,vldb j.,?,"title , foreword , special issue editorial"
2459,vldb,"ming-syan chen , chi-chun lin",vipas : virtual link powered authority search in the web
2460,vldb,karl-heinz hess,very large databases in a commercial application environment
2461,vldb j.,"martin l. kersten , peter a. boncz",mil primitives for querying a fragmented world
2462,vldb j.,"bruce g. lindsay , hamid pirahesh , berthold reinwald , michael j. carey , rimon barr , jayavel shanmugasundaram , eugene j. shekita",efficiently publishing relational data as xml documents
2463,sigmod conference,charly kleissner,"enterprise objects framework , a second generation object-relational enabler"
2464,sigmod conference,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",enabling dynamic content caching for database-driven web sites
2465,sigmod conference,"goetz graefe , per-åke larson",memory management during run generation in external sorting
2466,sigmod conference,"diane l. davison , goetz graefe",dynamic resource brokering for multi-user query execution
2467,sigmod conference,"michael rabinovich , pradnya karbhari , fred douglis , zhen xiao",acdn : a content delivery network for applications
2468,vldb,"jeffrey f. naughton , pradeep shenoy , raghav kaushik , philip bohannon",updates for structure indexes
2469,vldb,"krithi ramamritham , shyamshankar dharmarajan , shetal shah",an efficient and resilient approach to filtering and disseminating streaming data
2470,acm trans . database syst .,richard t. snodgrass,editorial
2471,vldb,"donald kossmann , frank ramsak , steffen rost",shooting stars in the sky : an online algorithm for skyline queries
2472,vldb,"michael stonebraker , nicholas j. belkin , gio wiederhold , erich j. neuhold , leonard j. seligman",metrics for accessing heterogeneous data : is there any hope ? ( panel )
2473,sigmod record,"ralf-detlef kutsche , geert-jan houben , mark roantree , bodo rieger , wilhelm hasselbring , kazimierz subieta , willem-jan van den heuvel","research and practice in federated information systems , report of the efis ' 2000 international workshop"
2474,acm trans . database syst .,"christian s. jensen , tomás isakowitz , richard t. snodgrass , curtis e. dyreson , james clifford",on the semantics of `` now '' in databases
2475,vldb,"haifeng yu , amin vahdat",efficient numerical error bounding for replicated network services
2476,vldb,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",extracting large-scale knowledge bases from the web
2477,sigmod record,"roger s. barga , david b. lomet , per-åke larson , surajit chaudhuri , vivek r. narasayya",the microsoft database research group
2478,sigmod record,"jeffrey d. ullman , abraham silberschatz , michael stonebraker",database research : achievements and opportunities into the 21st century
2479,vldb,"peter m. g. apers , milan petkovic , roelof van zwol , menzo windhouwer , henk ernst blok , martin l. kersten , willem jonker",flexible and scalable digital library search
2480,sigmod conference,ralf kramer,databases on the web : technologies for federation architectures and case studies ( tutorial )
2481,sigmod record,michael j. franklin,editor 's notes
2482,sigmod conference,"igor tatarinov , wai tak theodora yeung , shiori betzler , jing su , jayant madhavan , rachel pottinger , alon y. levy , ewa jaslikowska , stefan saroiu , qiong chen , zachary g. ives",self-organizing data sharing communities with sagres
2483,sigmod record,xiaolei qian,"turmoil at nasa , and numerous funding announcements"
2484,vldb,"eileen oi-yan mak , quan z. sheng , boualem benatallah , marlon dumas",self-serv : a platform for rapid composition of web services in a peer-to-peer environment
2485,sigmod record,"israel ben-shaul , benny reich",a componentized architecture for dynamic electronic markets
2486,sigmod conference,c. gregory doherty,database systems management and oracle8
2487,sigmod conference,"divesh srivastava , flip korn , johannes gehrke",on computing correlated aggregates over continual data streams
2488,sigmod conference,"alin deutsch , mary f. fernandez , dan suciu",storing semistructured data with stored
2489,sigmod record,"elaheh pourabbas , maurizio rafanelli",a pictorial query language for querying geographic databases using positional and olap operators
2490,vldb,"surajit chaudhuri , vivek r. narasayya",an efficient cost-driven index selection tool for microsoft sql server
2491,sigmod record,richard t. snodgrass,sigmod program review
2492,vldb,boris klots,cache coherency in oracle parallel server
2493,vldb,david campbell,"the new locking , logging , and recovery architecture of microsoft sql server 7.0"
2494,vldb j.,"arturo jaime , oscar díaz",exact : an extensible approach to active object-oriented databases
2495,vldb,"edward l. wimmers , donald kossmann , jun yang , laura m. haas",optimizing queries across diverse data sources
2496,sigmod record,ling liu,editor 's notes
2497,sigmod conference,won kim,unisql/x unified relational and object-oriented database system
2498,sigmod conference,charles levine,order-of-magnitude advantage of tpc-c though massive parallelism
2499,vldb,"evaggelia pitoura , panos k. chrysanthis",exploiting versions for handling updates in broadcast disks
2500,sigmod conference,"walter g. wilson , ambuj goyal , sriram padmanabhan , gilles fecteau , anant jhingran , chaitanya k. baru , hui-i hsiao",an overview of db2 parallel edition
2501,sigmod conference,michael j. carey,on xml and databases : where 's the beef ? ( panel abstract )
2502,vldb j.,"alon y. levy , dan suciu , daniela florescu , mary f. fernandez",declarative specification of web sites with strudel
2503,sigmod conference,"masaru kitsuregawa , takahiko shintani",parallel mining algorithms for generalized association rules with classification hierarchy
2504,sigmod record,"hans-jörg schek , moira c. norrie , gerhard weikum , stephen blott",the database research group at eth zurich
2505,acm trans . database syst .,"john s. keen , william j. dally",extended ehemeral logging : log storage management for applications with long lived transactions
2506,vldb,sophie cluet,who needs xml databases ?
2507,sigmod record,"munindar p. singh , e. michael maximilien",conceptual model of web service reputation
2508,sigmod record,richard t. snodgrass,tods reviewers
2509,sigmod record,michael j. franklin,editor 's notes
2510,vldb,"wei wang , richard r. muntz , jiong yang",sting : a statistical information grid approach to spatial data mining
2511,vldb j.,"chee yong chan , minos n. garofalakis , rajeev rastogi",re-tree : an efficient index structure for regular expressions
2512,sigmod conference,"david b. lomet , roger s. barga",phoenix : making applications robust
2513,sigmod conference,reed m. meseck,"data management : lasting impact of the wild wild , wild , web"
2514,sigmod record,peter fankhauser,xquery formal semantics : state and challenges
2515,vldb,"wolfgang mahnke , christian mathis , hans-peter steiert",extending an ordbms : the statemachine module
2516,sigmod conference,"beng chin ooi , bin cui , kian-lee tan , jianwen su",contorting high dimensional data for efficient main memory processing
2517,sigmod conference,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",genesys : a system for efficient spatial query processing
2518,vldb,"surajit chaudhuri , kyuseok shim",storage and retrieval of xml data using relational databases
2519,sigmod conference,"narain h. gehani , krithi ramamritham , alexandros biliris , h. v. jagadish , shaul dar",asset : a system for supporting extended transactions
2520,acm trans . database syst .,"takeshi tokuyama , yasuhiko morimoto , shinichi morishita , takeshi fukuda",data mining with optimized two-dimensional association rules
2521,vldb,"thomas tesch , peter muth , wolfgang klas , marek rusinkiewicz , jürgen wäsch",towards a cooperative transaction model - the cooperative activity model
2522,sigmod record,"mariano cilia , alejandro p. buchmann",an active functionality service for e-business applications
2523,vldb,"robert fenk , rudolf bayer , volker markl , martin zirkel , frank ramsak , klaus elhardt",integrating the ub-tree into a database system kernel
2524,sigmod conference,christos faloutsos,indexing multimedia databases ( tutorial )
2525,sigmod conference,"arun n. swami , k. bernhard schiefer",estimating page fetches for index scans with finite lru buffers
2526,vldb,"chengwen liu , a. prasad sistla , clement t. yu , king liu",similarity based retrieval of pictures using indices on spatial relationships
2527,sigmod conference,"tali yatzkar-haham , asaf adi , david botzer , opher etzion",monitoring business processes through event correlation based on dependency model
2528,sigmod record,"timos k. sellis , panos vassiliadis",a survey of logical models for olap databases
2529,acm trans . database syst .,"dennis shasha , eric simon , patrick valduriez , françois llirbat",transaction chopping : algorithms and performance studies
2530,vldb,"david j. dewitt , michael j. carey",of objects and databases : a decade of turmoil
2531,vldb,"michael j. franklin , moustafa a. hammad , ahmed k. elmagarmid , walid g. aref",scheduling for shared window joins over data streams
2532,vldb,"sihem amer-yahia , theodore johnson",optimizing queries on compressed bitmaps
2533,sigmod record,"claudia bauzer medeiros , mario a. nascimento",report on the 13th brazilian symposium on database systems ( sbbd ' 98 )
2534,vldb,"mallela subramanyam , mitul tiwari , sandeep srivastava , soumen chakrabarti",memex : a browsing assistant for collaborative archiving and mining of surf trails
2535,sigmod conference,bassel ojjeh,microsoft site server ( commerce edition )
2536,acm trans . database syst .,"fereidoon sadri , laks v. s. lakshmanan , subbu n. subramanian",schemasql : an extension to sql for multidatabase interoperability
2537,vldb j.,"joan peckham , bonnie mackellar , michael doherty",data model for extensible support of explicit relationships in design databases
2538,vldb,"erhard rahm , hong hai do",coma - a system for flexible combination of schema matching approaches
2539,sigmod conference,"nick roussopoulos , alexandros labrinidis",webview materialization
2540,vldb,"jiawei han , zhaohui xie",join index hierarchies for supporting efficient navigations in object-oriented databases
2541,sigmod record,"andrew eisenberg , jim melton","sqlj part 0 , now known as sql/olb ( object-language bindings )"
2542,vldb j.,"jeffrey f. naughton , john c. shafer , david j. dewitt , shivakumar venkataraman",parallelising oodbms traversals : a performance evaluation
2543,sigmod record,"elaheh pourabbas , alberto d'onofrio",modelling temporal thematic map contents
2544,vldb,"richard a. hankins , jignesh m. patel","data morphing : an adaptive , cache-conscious storage technique"
2545,sigmod record,"birgitta könig-ries , peter c. lockemann","research in databases and data-intensive applications - computer science department and fzi , university of karlsruhe"
2546,sigmod conference,"arthur m. keller , michael r. genesereth , oliver m. duschka",infomaster : an information integration system
2547,sigmod record,"v. wiktor marek , bradley f. burton",applications of the java programming language to database management
2548,sigmod record,jennifer widom,editor 's notes
2549,sigmod record,"anastassia ailamaki , joseph m. hellerstein",exposing undergraduate students to database system internals
2550,vldb j.,malcolm p. atkinson,guest editorial
2551,vldb,"kouichi yasutake , kazutoshi sumiya , yoshihiko imai , hirohiko tanaka , norio sanada",a product specification database for visual prototyping
2552,vldb,"jiawei han , yongjian fu",discovery of multiple-level association rules from large databases
2553,vldb,"hans-peter kriegel , bernhard braunmüller , thomas seidl , mihael ankerst",improving adaptable similarity query processing by using approximations
2554,vldb,dan suciu,implementation and analysis of a parallel collection query language
2555,vldb,"neoklis polyzotis , minos n. garofalakis",structure and value synopses for xml data graphs
2556,sigmod record,magdy s. hanna,a close look at the ifo data model
2557,vldb,"laks v. s. lakshmanan , raymond t. ng , theodore johnson",the 3w model and algebra for unified data mining
2558,vldb j.,"henry f. korth , abraham silberschatz , sharad mehrotra",concurrency control in hierarchical multidatabase systems
2559,vldb,"irini fundulaki , daniel f. lieuwen , bharat kumar , richard hull , chris clifton , arnaud sahuguet",privacy-enhanced data management for next-generation e-commerce
2560,sigmod conference,"huacheng c. ying , jennifer widom , jun yang",tip : a temporal extension to informix
2561,sigmod record,"stratis viglas , eugene j. shekita , rajasekar krishnamurthy , jayavel shanmugasundaram , jeffrey f. naughton , jerry kiernan , igor tatarinov",a general techniques for querying xml documents using a relational database system
2562,acm trans . database syst .,"janet l. wiener , yingwei cui , jennifer widom",tracing the lineage of view data in a warehousing environment
2563,sigmod conference,"deok-hwan kim , chin-wan chung",qcluster : relevance feedback using adaptive clustering for content-based image retrieval
2564,vldb,"luc bouganim , nicolas anciaux , philippe pucheral",memory requirements for query execution in highly constrained devices
2565,sigmod conference,"yossi matias , saar cohen",spectral bloom filters
2566,sigmod record,"evaggelia pitoura , melliyal annamalai , bharat k. bhargava",digital library services in mobile computing
2567,sigmod record,"eliseo clementini , paolino di felice",spatial operators
2568,sigmod record,"brian noble , mahadev satyanarayanan",a research status report on adaptation for mobile data access
2569,vldb,"sourav s. bhowmick , pedro cruz , dadabhai t. singh , george rajesh , amey v. laud","the grna : a highly programmable infrastructure for prototyping , developing and deploying genomics-centric applications"
2570,vldb,"chris clifton , wen-syan li",semantic integration in heterogeneous databases using neural networks
2571,vldb j.,"alan jay smith , vigyan singhal",analysis of locking behavior in three real database systems
2572,vldb,"amarnath gupta , tianqiu wang , simone santini",an interpolated volume data model
2573,sigmod conference,"laks v. s. lakshmanan , frédéric gingras , nematollaah shiri , despina papoulis , iyer n. subramanian",languages for multi-database interoperability
2574,sigmod record,"dimitrios georgakopoulos , stef joosten , marek rusinkiewicz , alexander l. wolf , walt scacchi , amit p. sheth , jack c. wileden",report from the nsf workshop on workflow and process automation in information systems
2575,sigmod record,"john murphy , mark roantree , wilhelm hasselbring",the oasis multidatabase prototype
2576,sigmod conference,"tova milo , serge abiteboul , sophie cluet",a database interface for file updates
2577,vldb,"eric hughes , roman ginis , bhavani m. thuraisingham , peter c. krupp , john a. maurer",data manager for evolvable real-time command and control systems
2578,sigmod conference,"surajit chaudhuri , umeshwar dayal",data warehousing and olap for decision support ( tutorial )
2579,sigmod conference,"olga kapitskaia , philippe bonnet , hubert naacke , anthony tomasic , louiqa raschid , rémy amouroux",the distributed information search component ( disco ) and the world wide web
2580,sigmod record,"william i. grosky , farshad fotouhi , d. v. sreenath",emergent semantics and the multimedia semantic web
2581,vldb,"venkatesh ganti , raghu ramakrishnan , mong-li lee",icicles : self-tuning samples for approximate query answering
2582,sigmod record,michael stonebraker,in memory of bob kooi ( 1951-1993 )
2583,sigmod record,karl aberer,book review column
2584,vldb,"anastassia ailamaki , jiri schindler , gregory r. ganger",lachesis : robust database storage management based on device-specific performance characteristics
2585,sigmod record,"giuseppe santucci , laura tarantino",to table or not to table : a hypertabular answer
2586,vldb,mario gentili,italian electronic identity card - principle and architecture
2587,sigmod conference,"kenneth a. ross , jun rao",making b + - trees cache conscious in main memory
2588,sigmod conference,"c. watson , g. linderman , euthimios panagos , t. walters , ion tim ieong , alexandros biliris , j. wang , s. choo , david schrader , p. colin , william o'connell , grace au",a content-based multimedia server for massively parallel architectures
2589,sigmod conference,"ron avnur , joseph m. hellerstein",eddies : continuously adaptive query processing
2590,vldb,"junmin gu , arie shoshani , torben bach pedersen",olap + + : powerful and easy-to-use federations of olap and object databases
2591,sigmod conference,"elke a. rundensteiner , punit r. doshi , jing yang , matthew o. ward",xmdvtool : visual interactive data exploration and trend discovery of high-dimensional data sets
2592,sigmod record,"wolfgang hümmer , wolfgang lehner , hartmut wedekind",contracting in the days of ebusiness
2593,vldb,"shaun cooper , goetz graefe , ross bunker",hash joins and hash teams in microsoft sql server
2594,sigmod record,joachim hammer,treasurer 's message
2595,vldb,"laks v. s. lakshmanan , marc gyssens",a foundation for multi-dimensional databases
2596,sigmod record,anindya datta,research issues in databases for arcs : active rapidly changing data systems
2597,sigmod conference,"lukas relly , stephen blott , hans-jörg schek",an open storage system for abstract objects
2598,vldb,"yuqing song , yong shi , aidong zhang",a shrinking-based approach for multi-dimensional data analysis
2599,sigmod conference,"melliyal annamalai , samuel defazio , rajiv chopra",indexing images in oracle8i
2600,vldb,"stefan deßloch , nelson mendonça mattos",integrating sql databases with content-specific search engines
2601,sigmod record,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",reminiscences on influential papers
2602,sigmod record,"ebru kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet dengi , sena nural , gökhan özhan , fatma ozcan , ismailcem budak arpinar",metu interoperable database system
2603,acm trans . database syst .,"sha guo , mark allen weiss , wei sun",solving satisfiability and implication problems in database systems
2604,vldb,"seok-ju chun , ju-hong lee , seok-lyong lee , chin-wan chung",dynamic update cube for range-sum queries
2605,vldb,"gerhard weikum , david b. lomet , german shegalov , roger s. barga",eos : exactly-once e-service middleware
2606,vldb j.,"guido moerkotte , michael steinbrunn , alfons kemper",heuristic and randomized optimization for the join ordering problem
2607,vldb,"jeffrey f. naughton , janet l. wiener",bulk loading into an oodb : a performance study
2608,sigmod record,"daniel barbará , sushil jajodia , ningning wu , julia couto",adam : a testbed for exploring the use of data mining in intrusion detection
2609,vldb,"patrick valduriez , mihnea andrei",user-optimizer communication using abstract plans in sybase ase
2610,sigmod record,arbee l. p. chen,database research at nthu and itri
2611,acm trans . database syst .,"scott shenker , christos h. papadimitriou , richard m. karp",a simple algorithm for finding frequent elements in streams and bags
2612,vldb,"lipyeow lim , min wang , jeffrey scott vitter",sash : a self-adaptive histogram set for dynamically changing workloads
2613,acm trans . database syst .,"kaushik chakrabarti , eamonn j. keogh , michael j. pazzani , sharad mehrotra",locally adaptive dimensionality reduction for indexing large time series databases
2614,sigmod record,richard t. snodgrass,chair 's message
2615,vldb,"bongki moon , quanzhong li",indexing and querying xml data for regular path expressions
