beer_pk,brew_type,beer_strength,beer_title,beer_factory_name
2703,Amber Ale,5.30 %,Deschutes Cinder Cone Red Ale,Deschutes Brewery
2704,Amber Ale,5.40 %,Devils Backbone Montpelier_s Best Ambition Ale,Devils Backbone Brewing Company
2705,Specialty Grain,8 %,Lexington Avenue Eleanor_s Rye,Lexington Avenue Brewery
2706,Amber Ale,4.80 %,Coney Island 1609 Amber Ale,Shmaltz Brewing Company
2707,Amber Ale,6.20 %,Saint Arnould Vlimeuse,Saint Arnould
2708,Amber Ale,5 %,Glutenberg Rousse,Glutenberg Craft Brewery
2709,Smoked,7.20 %,Against the Grain The Wrath of the Krauth of Khan,Against the Grain Brewery
2710,Amber Ale,5.50 %,Dark Horse Amber Ale,Dark Horse Brewing Company
2711,BiÃ ¨ re de Garde,7.50 %,Collesi Imper Ale Ambrata Fiat Lux,Tenute Collesi
2712,Amber Ale,5.50 %,HopTown Paint the Town Red,HopTown Brewing Company
2713,Amber Ale,5.70 %,Ice Harbor Runaway Red Ale,Ice Harbor Brewing Company
2714,Amber Ale,5 %,Geneva Lake Cedar Point Amber Ale,Geneva Lake Brewing Company
2715,Amber Ale,6 %,Ellis Island Amber Ale,Ellis Island Casino & Brewery
2716,Amber Lager/Vienna,-,1904 American Red,Anheuser-Busch InBev
2717,Amber Ale,5.30 %,Atlanta Laughing Skull Amber Ale &#40; 2009 - present &#41;,Red Brick Brewing Company
2718,Amber Ale,5.50 %,Chatham Maple Amber,Chatham Brewing
2719,American Strong Ale,9.10 %,Big Dog_s Alpha Dog Double Red,Big Dog_s Brewing Co. .
2720,Amber Ale,4.50 %,Cheers Norm_s Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2721,Amber Ale,6 %,Strawn Amber Ale,Strawn Brewing Company
2722,American Strong Ale,8.50 %,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company
2723,American Strong Ale,7.50 %,Iron Hill Big Red Wibby,Iron Hill Lancaster
2724,Amber Ale,5 %,Silver Gulch Copper Creek Amber Ale,Silver Gulch Brewing & Bottling Co. .
2725,Amber Ale,5.30 %,Widmer Brothers Drop Top Amber Ale,Widmer Brothers Brewing Company
2726,American Strong Ale,7.30 %,Southbound Fade to Red,Southbound Brewing Company
2727,Amber Ale,6.30 %,Firefly Hollow Moonrise Amber,Firefly Hollow Brewing Company
2728,American Strong Ale,9.50 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;
2729,American Strong Ale,7.20 %,Noble Ale Works Alpha Red,Noble Ale Works
2730,Amber Ale,4 %,Zion Canyon Springdale Amber Ale,Zion Canyon Brewing Company
2731,Amber Ale,5.60 %,Granville Island Swing Span Amber Ale,Granville Island &#40; Brewery - MolsonCoors &#41;
2732,Amber Ale,5.90 %,Thirsty Dog Hoppus Maximus,Thirsty Dog Brewing Company
2733,Sweet Stout,6.30 %,Falling Sky Reelin _ In the Oats Stout,Falling Sky Brewing
2734,American Strong Ale,7.80 %,Ale Asylum Limited # 8 : Phantasm Autumn Ale,Ale Asylum
2735,Amber Ale,5 %,Maumee Bay Fallen Timbers Red Ale,Maumee Bay Brewing Co. .
2736,Amber Ale,6 %,Kuhnhenn Red Run Red Ale,Kuhnhenn Brewing
2737,Belgian Ale,5 %,Boot Tread,Martens
2738,Traditional Ale,10.30 %,Breakside Alan from the Wood,Breakside Brewery
2739,American Pale Ale,5 %,2cabeÃ § as Sunset American Pale Ale,2cabeÃ § as
2740,Amber Ale,5 %,Okanagan Spring Cloudy Amber Ale,Okanagan Spring Brewery &#40; Sapporo &#41;
2741,Amber Ale,4.50 %,Angry Minnow Nut Red Ale,Angry Minnow
2742,Amber Ale,4.70 %,Beer Here Dead Cat,De Proefbrouwerij
2743,Amber Ale,5.20 %,Mudshark Scorpion Amber Ale,Mudshark Brewing Company
2744,Irish Ale,5.70 %,BoB The Griffin Ryerish Redhead Ale,The Brew on Broadway &#40; BoB &#41;
2745,Amber Ale,7 %,Battered Boar Briarpatch Amber Ale,Battered Boar Brewing Company
2746,Amber Ale,5.20 %,Four Sons Going &#40; Coco &#41; Nuts,Four Sons Brewing
2747,Session IPA,4.40 %,8 Wired Semiconductor Session IPA,Renaissance Brewing
2748,Irish Ale,4.80 %,Bent Hill Maple Irish Red Ale,Bent Hill Brewery
2749,Amber Ale,4.50 %,Chicago Ramblin Reck Amber Ale,Chicago Brewing Company
2750,Amber Ale,5.80 %,Big Horn Buttface Amber Ale,Big Horn Brewing Company &#40; Ram International &#41;
2751,Spice/Herb/Vegetable,7 %,Beer Valley Jackalope Imperial Pumpkin Porter,Beer Valley Brewing Company
2752,Specialty Grain,4.20 %,Kilannan 100 Mile Rye Pale Ale,Kilannan Brewing Company
2753,Amber Ale,5 %,Kawaba Sunrise Ale,Kawaba Beer
2754,Amber Ale,5.20 %,Pair O _ Dice Hop Bet Red Ale &#40; Red IPA &#41;,Pair O _ Dice Brewing Company
2755,Irish Ale,4.90 %,Weeping Radish Ruddy Raddish,Weeping Radish Farm Brewery
2756,Amber Ale,5 %,Crooked Ladder Gypsy Red,Crooked Ladder Brewing Company
2757,India Pale Ale &#40; IPA &#41;,6.20 %,Sierra Nevada Flipside Red IPA,Sierra Nevada Brewing Company
2758,Amber Ale,7 %,Evil Twin Hop Flood,Two Roads Brewing Company
2759,Amber Ale,5.50 %,Infamous Bugsy_s Firebrush Amber,Infamous Brewing Company
2760,Amber Ale,5.50 %,Big Buck Redbird Ale,Big Buck Brewery
2761,Scottish Ale,-,Barrio Rojo,Barrio Brewing Co. .
2762,American Strong Ale,6.20 %,Ruhstaller The Kenyan [ v. 2 ],Ruhstaller
2763,American Strong Ale,8.50 %,The Brew Hub Diver Down,The Brew Hub
2764,American Strong Ale,7.50 %,Fearless Loki Red Ale,Fearless Brewing Company
2765,American Pale Ale,6 %,Roy Pitz Truly Honest Ale,Roy Pitz Brewing Company
2766,Amber Ale,4.80 %,Florida Beer Key West Sunset Ale,Florida Beer Company
2767,India Pale Ale &#40; IPA &#41;,6.50 %,21st Amendment British Invasion IPA,21st Amendment Brewery
2768,Amber Ale,4.80 %,Circle Devil_s Envy,Circle Brewing Company
2769,Fruit Beer,4.50 %,&#379; ywiec Freeq Red Fruits,&#379; ywiec &#40; &#379; ywiec Group/Heineken &#41;
2770,Imperial IPA,7.80 %,Abbey Wright Alpha Deuce IPA,Abbey Wright Brewing Company
2771,Amber Ale,5.60 %,Great Adirondack Ausable Wulff Red Ale,Great Adirondack Brewing Co. .
2772,Amber Ale,5 %,Fernie Big Caboose Red Ale,Fernie Brewing Company
2773,Bitter,4.20 %,Breconshire Alleycat Amber Ale,Breconshire
2774,Amber Ale,5.80 %,Morgantown Old Morgantown Amber Ale,Morgantown Brewing Company
2775,Amber Ale,-,Bell In Hand Ale,Boston Beer Company
2776,Bitter,4 %,Ales of Scilly Maiden Voyage,Ales of Scilly
2777,Amber Ale,4.90 %,Barkerville 18 Karat Ale,Barkerville Brewing Company
2778,Golden Ale/Blond Ale,4.20 %,8 Sail Green Man Harvest Ale,8 Sail
2779,Amber Ale,5.60 %,Faction Red,Faction Brewing
2780,Amber Ale,4.50 %,BlueTarp BantamWeight Ale,BlueTarp Brewing Company
2781,Amber Ale,6.20 %,Four Corners Red_s Roja,Four Corners Brewing Company
2782,Amber Ale,6 %,African Moon Amber Ale,Porcupine Quill Micro Brewery
2783,Saison,-,Redneck Riviera Farmer_s Tan,Redneck Riviera Brewing Project
2784,Amber Ale,6.50 %,New England Fat Ten-Er # 14,New England Brewing Co. .
2785,Amber Ale,4.50 %,McCashin Family Stoke Amber,McCashin Family Brewery
2786,Amber Ale,5 %,Sheltowee 502 Amber Ale,Bluegrass Brewing Company
2787,Amber Ale,5.20 %,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing
2788,Amber Ale,5.20 %,Market Cross Red Ale,Market Cross Pub and Brewery
2789,American Strong Ale,8.90 %,Firefly Hollow Photon Imperial Crimson,Firefly Hollow Brewing Company
2790,American Strong Ale,8 %,Temperance Evenfall,Temperance Beer Company
2791,Amber Ale,4.70 %,Trouble Brewing Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2792,Amber Ale,5.10 %,Odell Levity Amber Ale,Odell Brewing Company
2793,Imperial Stout,9 %,Champion Red Scare Imperial Stout,Champion Brewing Company
2794,Brown Ale,6.50 %,Red Wing Remmler_s Royal Brew &#40; Oak Aged &#41;,Red Wing Brewery
2795,Amber Ale,6 %,Altamont Beer Works Rich Mahogany,Altamont Beer Works
2796,Amber Ale,5.80 %,Petoskey North 45 Amber Ale,Petoskey Brewing
2797,Amber Ale,4.90 %,Freetail Original Ale,Freetail Brewing Co. .
2798,Amber Ale,5 %,St. Ambroise Rousse,McAuslan Brewing
2799,India Pale Ale &#40; IPA &#41;,6.30 %,Brewery Vivant Big Red Coq,Brewery Vivant
2800,Altbier,-,Blimp City Akron/Macon German Style Alt Bier,Blimp City Brewery
2801,Amber Ale,-,Big Time Better Off Red Ale,Big Time Brewery
2802,American Strong Ale,8.10 %,Council Royal Blood Imperial Red,Council Brewing Company
2803,Amber Ale,5 %,Dead Frog Mandarin Orange Amber Ale,Dead Frog Brewery
2804,Amber Ale,-,Kellys Havana Red Ale,Kellys Caribbean Bar & Grill & Brewery
2805,Amber Ale,5.10 %,Metolius River Ales Rusty Spinner Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2806,Porter,6.50 %,Flat Earth Cygnus X-1 Red Barchetta,Flat Earth Brewing Company
2807,Amber Ale,4.50 %,Blue Point Bourbon Barrel-Aged Winter Ale,Blue Point Brewing &#40; AB InBev &#41;
2808,Amber Ale,-,Isotopes Slammin Amber,Sierra Blanca Brewing Co
2809,Amber Ale,4.80 %,Black Bear Drop Dead Red Ale,Black Bear Brewery
2810,Amber Ale,6 %,Texas Ale Project Fire Ant Funeral,Texas Ale Project
2811,Specialty Grain,8.50 %,Fulton Garage Series 4 : The Libertine - 2 Gingers Barrel Aged,Fulton Beer Company
2812,Amber Ale,4.60 %,Railway City Iron Spike Amber Ale,Railway City Brewing Company
2813,India Pale Ale &#40; IPA &#41;,5 %,New Holland revered,New Holland Brewing Company
2814,Golden Ale/Blond Ale,5 %,Les BiÃ ¨ res BÃ © luga Golden Ale,Brasserie GÃ © nÃ © rale
2815,Amber Ale,-,Abita Red Fish Ale,Abita Brewing Company
2816,Amber Ale,4.70 %,Arizona Wilderness Rincon Red,Arizona Wilderness Brewing Company
2817,Amber Ale,-,Great Black Swamp Mosquito Red,Great Black Swamp Brewing Company
2818,Amber Ale,4.80 %,Cascade Amber Ale,Cascade Brewery &#40; CUB &#41;
2819,Amber Ale,6.20 %,Four Corners Boss Lady Rustic Red,Four Corners Brewing Company
2820,Amber Ale,6.50 %,Hardknott Infra Red,Hardknott
2821,Amber Ale,5.70 %,Barley and Hops Tuscarora Red,Barley and Hops Grill and Microbrewery
2822,Irish Ale,5.50 %,Barnhouse Banshee Irish Red,Barnhouse Brewery
2823,American Pale Ale,4.50 %,Mildura Brewery Storm Cloudy Ale,Mildura Brewery
2824,Amber Ale,6 %,Persephone Rum Runner Red Ale,Persephone Brewing
2825,Amber Ale,6.40 %,Alameda Rose City Red,Alameda Brewing Co. .
2826,Amber Ale,6.10 %,Galaxy Galactic Silk Ale,Galaxy Brewing Company
2827,Bitter,4.60 %,Victoria Bitter Original Ale,Carlton & United Breweries &#40; CUB &#41;
2828,Amber Ale,5.10 %,Double Take Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
2829,Amber Ale,5.75 %,Olde Peninsula Sunset Red,Olde Peninsula Brewpub and Restaurant
2830,Amber Ale,6 %,Dragonmead Corktown Red,Dragonmead Brewery
2831,Amber Ale,6.40 %,Deschutes Green Lakes Non-Organic Ale,Deschutes Brewery
2832,Amber Ale,5.50 %,Bowen Island Mutiny Red Ale,Kamloops Brewery
2833,Amber Ale,4.50 %,Silver Moon Hounds Tooth Amber,Silver Moon Brewing
2834,American Strong Ale,7.50 %,Iron Horse Loco Imperial Red,Iron Horse Brewery
2835,Bitter,4.50 %,Estes Park Trail Ridge Red,Estes Park Brewery
2836,Amber Ale,4.50 %,Harviestoun Broken Dial,Harviestoun
2837,Spice/Herb/Vegetable,5.10 %,4 Noses The Rambler,4 Noses Brewing Company
2838,Wheat Ale,4.90 %,James River Rock Island Red,James River Brewery
2839,Amber Ale,5.30 %,Engine House No. 9 Rowdy Dick Amber Ale,Engine House No. 9 Restaurant and Brewery
2840,Imperial IPA,8.20 %,BrewDog Hello,BrewDog
2841,Wheat Ale,5.60 %,Blue Moon Rising Moon Spring Ale,Coors Brewing Company &#40; MillerCoors &#41;
2842,Amber Ale,5.20 %,Endeavour 2011 Reserve Amber Ale,Australian Independent Brewers
2843,Spice/Herb/Vegetable,6.30 %,Marley_s Pack Dog Peanut Butter Ale,Marley_s Brewery and Grille
2844,Fruit Beer,-,5 Seasons Westside Raspberry Rapture,5 Seasons Westside
2845,Spice/Herb/Vegetable,5.40 %,1516 Maple Fall Ale,1516 Brewing Company
2846,Amber Ale,5 %,Anacortes Amber,Rockfish Grill & Anacortes Brewery
2847,Zwickel/Keller/Landbier,5.20 %,Birra Antoniana Bionda Integrale,Birrificio Antoniano
2848,Amber Ale,5 %,Water Street Amber,Water Street Brewery
2849,Amber Ale,5.20 %,Great Western Original 16 Canadian Copper Ale,Great Western Brewing &#40; Canadian Brewing &#41;
2850,Imperial Stout,11.30 %,523 / Blackwell / Evil Twin Eau Trappiste,523
2851,Amber Ale,5.50 %,COAST Same Old,COAST Brewing Company
2852,Amber Ale,6 %,Asher Tree Hugger Organic Amber,Asher Brewing Company
2853,American Pale Ale,6 %,House Ales X Great Lakes California Love,House Ales
2854,Amber Ale,-,Beaver Street Railhead Red,Beaver Street Brewery
2855,Amber Ale,5.20 %,Kennebec River Sledhead Red,Kennebec River Pub & Brewery
2856,American Strong Ale,10 %,Kern River Double Dirty Hippie,Kern River Brewing
2857,Amber Ale,7.40 %,Wrecking Bar Nathan_s 13 Minute Amber,Wrecking Bar Brewpub
2858,Amber Ale,4.90 %,Natty Greene_s Buckshot Amber Ale,Natty Greene_s Pub & Brewing Company
2859,Black IPA,-,Redondo Beach Dubbel Dark IPA,Redondo Beach Brewing Company
2860,Amber Ale,5 %,Great Rhythm AMPLIFIED Amber Ale,Great Rhythm Brewing Company
2861,Saison,8.50 %,18th Street Alpha Company,18th Street Brewery
2862,Amber Ale,4.50 %,Kroghs Alpine Glow Red Ale,Kroghs Restaurant & Brew Pub
2863,Premium Bitter/ESB,7.50 %,38 State Extra Special Bitters,38 State Brewing Company
2864,Amber Ale,6 %,Dempseys Red Rooster Ale,Dempseys Restaurant and Brewery
2865,American Strong Ale,9 %,Auburn Alehouse Hop Donkey,Auburn Alehouse &#40; CA &#41;
2866,Amber Ale,5.50 %,Cycle Blind Date,Cycle Brewing
2867,Specialty Grain,5.50 %,O_Fallon Hemp Hop Rye,O_Fallon Brewery
2868,Witbier,6 %,Freetail PiÃ ± ata Protest,Freetail Brewing Co. .
2869,Amber Ale,5.50 %,Creature Comforts Misty Valley Reclaimed Rye,Creature Comforts Brewing Company
2870,Amber Ale,-,Cannon Red Jacket Ale,Cannon Brewpub
2871,Amber Ale,4.60 %,Tiny Rebel Cwtch,Tiny Rebel
2872,Amber Ale,4.80 %,Pyramid Alehouse Amber,Pyramid Breweries &#40; North American Breweries &#41;
2873,Amber Ale,5 %,Black Dragon Expedition Amber,Black Dragon Brewery
2874,Oktoberfest/M Ã $ rzen,-,Bent River Mississippi Red Lager,Bent River Brewing Company
2875,Amber Ale,5.40 %,Big Time Atlas Amber Ale,Big Time Brewery
2876,Bitter,4.50 %,Bishop Nick Revelry,Bishop Nick
2877,American Strong Ale,7.90 %,Austin Beer Garden Big Mama Red,Austin Beer Garden Brewery
2878,Amber Ale,6 %,OrlÃ © ans Suzanne Marceau &#40; AmbrÃ © e _ l_rable &#41;,Microbrasserie de l __ le d_OrlÃ © ans
2879,Amber Ale,5.40 %,La LiÃ ¨ vre Frousse,Microbrasserie du LiÃ ¨ vre
2880,Brown Ale,-,Fort Pitt Ale,City Brewery &#40; Melanie Brewing Co &#41;
2881,Amber Ale,5 %,Crossroads Brick Row Red,Crossroads Brewing Company
2882,Amber Ale,6 %,Bullfrog That Red Ale,Bullfrog Brewery
2883,American Strong Ale,9.20 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters
2884,Amber Ale,8.50 %,Minocqua Road-Kill Red Ale,Minocqua Brewing Company
2885,Amber Ale,5.15 %,SKA Pinstripe Red Ale,SKA Brewing
2886,Amber Ale,8.34 %,HammerHeart Barrel Aged Serpensblod,HammerHeart Brewing Company
2887,Amber Ale,5.50 %,Howe Sound Mettleman Copper Ale,Howe Sound Brewing
2888,Amber Ale,6.50 %,Riverside Forty Four American Amber,Riverside Brewing Company
2889,Spice/Herb/Vegetable,5.40 %,Metropolitan BaphoMetro,Metropolitan Brewing
2890,Fruit Beer,5 %,Aarhus Frederik,Aarhus Bryghus
2891,Amber Lager/Vienna,4.90 %,Twin Leaf Paradigm Shift,Twin Leaf Brewery
2892,Amber Ale,5.20 %,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Company
2893,Amber Ale,5 %,Pit-Caribou Bonne Aventure Rousse,Microbrasserie Pit-Caribou
2894,English Pale Ale,5 %,Delafield Bricklayer Pale Ale,Delafield Brewhaus
2895,Amber Ale,6.10 %,Crabtree Serenity Amber Ale,Crabtree Brewing Company
2896,Amber Ale,5 %,BogotÃ ¡ Beer Company &#40; BBC &#41; Monserrate Roja,BogotÃ ¡ Beer Company &#40; AB InBev &#41;
2897,India Pale Ale &#40; IPA &#41;,7.50 %,Blue Canoe Razorback Rye P.A.,Blue Canoe Brewing Company
2898,Amber Ale,6 %,Baja Red,Baja Brewing Co. .
2899,Amber Ale,6 %,Boxing Rock Temptation Red Ale,Boxing Rock Brewing Company
2900,Amber Ale,5.90 %,Redhook Late Harvest Autumn Ale,Redhook Brewery
2901,Amber Ale,5.50 %,Original Gravity County Street Amber,Original Gravity Brewing Company
2902,Amber Ale,7 %,Rip Current Raked Over Red,Rip Current Brewing
2903,Amber Ale,6.50 %,Drakes Red Eye,Drakes Brewing Company
2904,India Pale Ale &#40; IPA &#41;,7 %,5 Seasons North The GA Wholesalers Give Millions of Dollars to Our State,5 Seasons North
2905,Saison,6.90 %,18th Street / Central State Garce SalÃ © e,18th Street Brewery
2906,Amber Ale,6 %,Amazon Beer Priprioca Red Ale,Amazon Beer
2907,Amber Lager/Vienna,6 %,Budweiser Black Crown,Anheuser-Busch InBev
2908,Amber Ale,-,Charlie and Jakes Indian River Red,Charlie & Jakes Brewery & BBQ
2909,India Pale Ale &#40; IPA &#41;,7.50 %,Cigar City Joe_s Hoppy Time IPA,Cigar City Brewing
2910,Premium Bitter/ESB,4.80 %,Potbelly / Twickenham Joint Effort,Potbelly
2911,Amber Ale,5 %,Chelsea Sunset Red Ale,Chelsea Brewing Company
2912,American Pale Ale,4.60 %,Dad & Dude_s Rockpile Pale Ale,Dad and Dude_s Breweria
2913,Amber Ale,-,Argus Country House Red Ale,Argus Brewery
2914,Amber Ale,6.80 %,Exit 6 Ryane_s Red,Exit 6 Pub and Brewery
2915,American Pale Ale,5.60 %,Elysian Men_s Room Summer Gold Ale,Elysian Brewing &#40; AB-InBev &#41;
2916,Premium Bitter/ESB,4.80 %,Blue Bell Old Fashioned,Blue Bell Brewery
2917,Amber Ale,-,Carver Old Oak Amber Ale,Carver Brewing Company
2918,Porter,4.10 %,Barley Island Rust Belt Porter,Barley Island Brewing
2919,Amber Ale,5.80 %,Maui Brewing Barefoot Brew,Maui Brewing Company
2920,American Pale Ale,5 %,Alpha Northwest Double Pale Ale,Alpha Brewing Company
2921,Doppelbock,-,5 Seasons Westside High Fiveinator Doppelbock,5 Seasons Westside
2922,Amber Ale,5 %,Mt. Hood Cloudcap Amber Ale,Mt. Hood Brewing
2923,Amber Ale,5 %,Belfast Bay Lobster Ale,Shipyard Brewing Company
2924,Amber Ale,4.60 %,Market Street Wrought Iron Red Ale,Market Street Brewing Co. &#40; NY &#41;
2925,Spice/Herb/Vegetable,-,_ P Vimperk ZÃ ¡ zvorovÃ 1/2 SpeciÃ ¡ l 13Â ° &#40; Ginger &#41;,_ umavskÃ 1/2 Pivovar
2926,Amber Ale,6.90 %,903 Roo_s Red Ale,903 Brewers
2927,Amber Ale,5.50 %,Nano Brew Cleveland Namber Ale,Nano Brew Cleveland
2928,Spice/Herb/Vegetable,5 %,Alligator Habanero Smoked Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
2929,Amber Ale,5.20 %,Mayflower Spring Hop Ale,Mayflower Brewing Company
2930,Irish Ale,5.20 %,Barrel Harbor Red Ale,Barrel Harbor Brewing
2931,Amber Ale,4.50 %,Deverell Redemption Amber Ale,Deverell
2932,Amber Ale,-,Lumina Raccoon Red Ale,Lumina Brewing Company
2933,Amber Ale,5.80 %,Kauai Island Cane Fire Red,Kauai Island Brewing Company
2934,Amber Ale,5.50 %,Brutopian Valhalla Amber,Brutopia Brewery & Kitchen
2935,Imperial Stout,9.80 %,Four Fathers Heavy Hitter,Four Fathers Brewing
2936,Amber Ale,7.30 %,Actual Bourbon Barrel Aged Elektron,Actual Brewing Company
2937,American Pale Ale,5.50 %,North Coast Red Seal Ale,North Coast Brewing Company
2938,Amber Ale,6.70 %,Buoy NW Red Ale,Buoy Beer Company
2939,Bitter,4.30 %,Barnet Giddy Up,Barnet
2940,Brown Ale,6 %,Napier Roadster Red,Napier Brewery
2941,American Strong Ale,7.20 %,Vindication American Bold Ale,Vindication Brewing Co. .
2942,Amber Ale,5 %,F & M StoneHammer Maple Red Ale,Stonehammer Brewery
2943,Amber Ale,6 %,Laurelwood Tre Otto Amber,Laurelwood Public House & Brewery
2944,Amber Ale,6 %,Northwest Joker Amber Ale,Northwest Brewing Company
2945,India Pale Ale &#40; IPA &#41;,5.80 %,AF Brew Redrum IPA,AF Brew
2946,Stout,7 %,Burn _ Em Red Dead Revelvet,Burn _ Em Brewing
2947,Saison,-,AC Golden Colorado Native Saison,Coors Brewing Company &#40; MillerCoors &#41;
2948,American Strong Ale,6.50 %,Big Island Red Giant Ale,Big Island Brewhaus
2949,American Pale Ale,4.20 %,Bethlehem Brew Works Knuckleball,Fegley_s Brew Works
2950,American Strong Ale,7.40 %,Feral Fantapants,Feral Brewing Co. .
2951,India Pale Ale &#40; IPA &#41;,-,Blackrocks Three Wolf Moon IPA,Blackrocks Brewery
2952,Irish Ale,-,Bricktown Remington Red,Bricktown Brewery
2953,American Pale Ale,5 %,Intracoastal This is Americ_Ale _,Intracoastal Brewing Company
2954,Irish Ale,5.20 %,Aiken Thoroughbred Red,Aiken Brewing Company
2955,Amber Ale,5 %,Cottrell Old Yankee Ale,Cottrell Brewing Company
2956,Amber Ale,4.80 %,Wolf Hills Creeper Trail Amber Ale,Wolf Hills Brewing Company
2957,Amber Ale,-,Hood Canal Agate Pass Amber,Hood Canal Brewery
2958,Amber Ale,5.10 %,Skookum Amber_s Hot Friend,Skookum Brewery
2959,Amber Ale,-,Frankenmuth Old Detroit Amber Ale,Frankenmuth Brewery
2960,Amber Ale,5.20 %,Endeavour 2010 Reserve Amber Ale,Australian Independent Brewers
2961,Amber Ale,5.50 %,Hollister Table 42 Red,Hollister Brewing Company
2962,Amber Ale,4.70 %,4 Brothers Blended Beer Sibling Rivalry,Sand Creek Brewing Company
2963,Belgian Ale,5.30 %,Atwater Red Crown Red,Atwater in the Park
2964,Amber Ale,-,Rock Bottom King of Prussia Penns Curse Amber Ale,Rock Bottom King of Prussia
2965,Imperial IPA,8 %,Big Grove Anniversary Ale 2014,Big Grove Brewery
2966,Cider,6.90 %,101 Cider House SoCal Scrumpy,101 Cider House
2967,Amber Ale,5.20 %,New Belgium Fat Tire,New Belgium Brewing Company
2968,Amber Ale,6.70 %,Coda Dogcatcher Red Ale,Coda Brewing
2969,American Strong Ale,7.90 %,Long Trail Brewmaster Series Centennial Red,Long Trail Brewery
2970,Amber Ale,6 %,Belching Beaver Blushing Beaver,Belching Beaver
2971,Amber Ale,8.50 %,Indiana City Crimson Bombshell,Indiana City Brewing Company
2972,India Pale Ale &#40; IPA &#41;,6 %,GoodLife Redside India Red Ale,GoodLife Brewing Company
2973,American Pale Ale,5 %,Acorn Comet IPA,Acorn
2974,India Pale Ale &#40; IPA &#41;,5.80 %,Boulevard Tasting Room Series Red IPA,Boulevard Brewing Company &#40; Duvel-Moortgat &#41;
2975,Amber Ale,-,Swashbuckler Red Sea Amber Ale,Swashbuckler Brewing Company
2976,Amber Ale,5 %,Central Waters Ouisconsing Red Ale,Central Waters Brewing Co. .
2977,Amber Ale,5 %,Le Grimoire Grimousse,Le Grimoire Microbrasserie
2978,Amber Ale,6 %,Wicked Weed Decoy Red,Wicked Weed Brewing
2979,Amber Ale,5.70 %,2 Brothers Grizz,2 Brothers Brewery
2980,Amber Ale,6 %,Cigar City Brewpub Grass Fed Red,Cigar City Brewing
2981,Session IPA,4.50 %,Howe Sound Super Jupiter Grapefruit ISA,Howe Sound Brewing
2982,Amber Ale,-,Blue Corn Rio Chama Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;
2983,Amber Ale,5 %,Howe Sound Boomer_s Canadian Red Ale,Howe Sound Brewing
2984,Amber Ale,5.60 %,Caldera Ashland Amber Ale,Caldera Brewing Company
2985,India Pale Ale &#40; IPA &#41;,6.10 %,Deschutes India Red Delicious,Deschutes Brewery
2986,Sour/Wild Ale,7.20 %,Cascade Honeyed Combs,Cascade Brewing
2987,Specialty Grain,7 %,Bison Organic Red Reuben,Bison Brewing Company
2988,American Pale Ale,-,Barley Boys Eds Red Pale Ale,Barley Boys Brewery
2989,Specialty Grain,7.10 %,McMenamins Red Riser IRA,McMenamins Pubs and Breweries
2990,Amber Ale,5.30 %,Brew Wharf Fire From The Top Of A Monkeys Head,Brew Wharf
2991,American Strong Ale,7.50 %,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company
2992,American Pale Ale,4.94 %,Red Car Motorman Reserve,Red Car Brewery & Restaurant
2993,Amber Ale,-,Rumspringa Red Caboose Ale,Rumspringa Brewing Company
2994,Saison,5 %,8 Wired Farmhouse Pale Ale,Renaissance Brewing
2995,Amber Ale,5.60 %,The Unknown Southern Hospitali-TEA,The Unknown Brewing Company
2996,Fruit Beer,6.50 %,Blue & Gray Christmas Cranberry Ale,Blue & Gray Brewing Co. .
2997,Amber Ale,4.80 %,Millys Tavern Tashas Red Tail Ale,Millys Tavern / Stark Brewing Company
2998,American Pale Ale,-,75th Street Hoppopotamus,75th Street Brewery
2999,Irish Ale,5.60 %,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company
