beer_identifier,maker_name,alcohol_pct,beer_desc,brew_style
2095,Ale Asylum,6.70 %,Ale Asylum Ambergeddon,Amber Ale
2096,Coal Creek TAP Brewery,5.50 %,Coal Creek TAP The Church Lady,Amber Ale
2097,Wet Head Brewery,6.30 %,Wet Head Wetlands Bitter Sweet Red &#40; BSR &#41;,American Strong Ale
2098,Imperial Oak Brewing,8.50 %,Imperial Oak Wee Willie_s Big Breakfast,Scotch Ale
2099,Right Eye Brewing Company,5.50 %,Right Eye CU29,Amber Ale
2100,Sarungano Brewing,5.50 %,Sarungano Gudo,Amber Ale
2101,Birrificio Sagrin,4.50 %,Bunpat Rossa,Amber Ale
2102,Vernal Brewing Co. .,4 %,Vernal Allosaurus Amber,Amber Ale
2103,Manor Hill Brewing,7.50 %,Manor Hill Stone Bridge Amber,Amber Ale
2104,Benelux Brasserie Artisanale,6 %,Benelux Semuta,Saison
2105,401 Cider Brewery,5 %,401 Caramel Apple Cider,Cider
2106,Neath,4.20 %,Neath Witch Hunter,Bitter
2107,Beardslee Alehouse,6.40 %,Beardslee Four Ginger IPA,India Pale Ale &#40; IPA &#41;
2108,la VallÃ © e du Giffre,4.70 %,la VallÃ © e du Giffre La Petit MPC,Belgian Ale
2109,Lake Ann Brewing Company,5.30 %,Lake Ann Amber,Amber Ale
2110,5 Seasons North,-,5 Seasons North Connemara Irish Red Ale,Irish Ale
2111,Blaengawney Cider,6 %,Blaengawney Heartbreaker Cider &#40; Draught &#41;,Cider
2112,Baylands Brewery,5.70 %,Baylands Red Ryder IPA,Specialty Grain
2113,Praxis,6.20 %,Praxis Ambar,Amber Ale
2114,Chelsea Alehouse,4.40 %,Chelsea Haywagon Red,Amber Ale
2115,Appalachian Mountain Brewery,5.40 %,Appalachian Mountain Switchback Amber Ale,Amber Ale
2116,Yaletown Brewing Co. .,5 %,Yaletown Red Galaxy Ale,Amber Ale
2117,The 1925 Microbrewery & Restaurant,6.20 %,1925 BLK6 .22,Amber Ale
2118,Altes Tramdepot,5.10 %,Altes Tramdepot Canadian Red Ale,Amber Ale
2119,Pac City Brewery,5 %,Pac City Not So Amber Ale,Amber Ale
2120,Bendorf,6 %,Bendorf Neudorf Red Ale,Irish Ale
2121,The Good Shepherds Brewing Co. .,-,Sheps Amber Ale,Amber Ale
2122,Kemptown,5 %,Brighton Bier South Coast IPA,India Pale Ale &#40; IPA &#41;
2123,1648,3.60 %,1648 Ruby Mild,Mild Ale
2124,Salty Nut Brewery,5.50 %,Salty Nut Bee Transfixed Honey Amber Ale,Amber Ale
2125,Baguales,-,Baguales Rubia,India Pale Ale &#40; IPA &#41;
2126,Blackjack,7.20 %,Blackjack Blackberry King of Clubs,Imperial Stout
2127,Battered Boar Brewing Company,-,Battered Boar Blue Face Scottish Ale,Scottish Ale
2128,Triple Crossing Brewing Company,5.50 %,Triple Crossing Rochelle Rochelle,Amber Ale
2129,5 Paddles Brewing Company,-,5 Paddles The Village Idiot,Amber Ale
2130,18th Street Brewery,8.60 %,18th Street Under Crown,Imperial IPA
2131,American Brewing Company,6.80 %,American Fall Harvest Sour Ale,Sour Red/Brown
2132,Hog_s Head Brewing Company,5 %,Amber_s Australian Mountain Pepper Berry Lager,Fruit Beer
2133,Beer Valley Brewing Company,5.50 %,Beer Valley Owyhee Amber Ale,Amber Ale
2134,Half Pints Brewing Co. .,5.20 %,Half Pints SaazAmatazz,Amber Ale
2135,Salopian,4.20 %,Blackwater Art Deco,Golden Ale/Blond Ale
2136,NÃ ¸ rrebro Bryghus,7.50 %,Croocked Moon Meat Market,American Strong Ale
2137,Liftline Brewing Company,5.10 %,Liftline First Tracks Amber Ale,Amber Ale
2138,The Freehouse,5.50 %,The Freehouse No. 22 Honey Red Ale,Amber Ale
2139,Thomas Creek Brewery,7.50 %,BottleTree Imperial Red Ale,American Strong Ale
2140,Epidemic Ales,5.50 %,Epidemic Ales Affliction Amber,Amber Ale
2141,Egan & Sons,-,Egan & Sons Oddfellows Ale,Amber Ale
2142,5280 Roadhouse & Brewery,-,5280 Roadhouse Pioneer Pale Ale,American Pale Ale
2143,Winthrop Brewing Company,-,Winthrop Double Dry Hopped Amber,Amber Ale
2144,Nausta Bryggeri,5 %,Nausta Inland Red Ale,Amber Ale
2145,NeustÃ $ dter Hausbrauerei,4.70 %,NeustÃ $ dter Elbhang Rot,Amber Lager/Vienna
2146,Vital Brewing,9.40 %,Vital Infrared Imperial Red,American Strong Ale
2147,Madison River Brewing Company,5.50 %,Madison River Irresistible Amber Ale,Amber Ale
2148,Feral Brewing Co. .,5.80 %,Feral B.F.H. &#40; Barrel Fermented Hog &#41;,India Pale Ale &#40; IPA &#41;
2149,John Harvard_s Brewhouse &#40; Corporate Office &#41;,6.50 %,John Harvards Oatmeal Amber Ale,Amber Ale
2150,Hop Haus Brewing Company,5.30 %,Hop Haus Wildcat Amber,Amber Ale
2151,Helm Brasseur Gourmand,4.80 %,Helm Rousse du Parc,Bitter
2152,Beerbliotek,5.60 %,Beerbliotek Rye Pale Ale Chinook Columbus,Specialty Grain
2153,Inducerv,4 %,ApÃ ³ stol Frutos Rojos,Fruit Beer
2154,Begyle Brewing Company,5.40 %,Begyle Bushel and a Peck - Montmorency,Fruit Beer
2155,Brouwerij de Molen,6.60 %,De Molen Rye IPA Simcoe,India Pale Ale &#40; IPA &#41;
2156,Smartmouth Brewing Company,5.70 %,Smartmouth Murphy_s Law Amber Ale,Amber Ale
2157,Abbeydale,5.30 %,Beer Works Doctor Morton_s Implant Jammer,Golden Ale/Blond Ale
2158,Abita Brewing Company,4.20 %,Abita Strawberry Harvest Lager,Fruit Beer
2159,Brasserie Artisanale Albion,6.20 %,Albion Chiniquy Chante NoÃ `` l,English Strong Ale
2160,Manantler Craft Brewing,5 %,Manantler Shelf Conscious Amber Ale,Amber Ale
2161,1516 Brewing Company,-,1516 NZ Nelson Sauvin Pale Ale,India Pale Ale &#40; IPA &#41;
2162,Paper City Brewery,7 %,Backlash Ricochet,India Pale Ale &#40; IPA &#41;
2163,Intracoastal Brewing Company,5.50 %,Intracoastal Sore Amber,Amber Ale
2164,Jacks Brewing Co. &#40; formerly Fremont Brewing Co. &#41;,5.60 %,Jacks Grid Iron Amber Ale,Amber Ale
2165,Blue Island Beer Company,4.50 %,Blue Island Massive Political Corruption,Amber Ale
2166,Three Notch_d Brewing Company,5.90 %,Three Notch_d Harrisonburg Peanut Butter Amber,Amber Ale
2167,Mankato Brewery,5.80 %,Mankato Organ Grinder Amber Ale,Amber Ale
2168,Flying Heart Brewing,6.60 %,Flying Heart Louisiana Amber,Amber Ale
2169,Mt. Carmel Brewing Company,5.80 %,Mt. Carmel Snapshot Series : Hopton Golden Ale,Golden Ale/Blond Ale
2170,Clarens Brewery,-,Clarens Red Ale,American Pale Ale
2171,Primal Brewery,5.50 %,Primal Lucille Red Ale,Irish Ale
2172,Royale Brewing Company,6.50 %,Royale The Visitor Red Ale,Amber Ale
2173,Lickinghole Creek Craft Brewery,7.50 %,Lickinghole Creek Gentleman Farmer Estate Hop Ale,American Pale Ale
2174,Cold Spring Brewery,4.40 %,21st Amendment Bitter American,Session IPA
2175,Square Tail Brewing Company,4.40 %,Square Tail Mid Arbor Red Ale,Amber Ale
2176,Innovation Brew Works,5 %,Innovation Brew Works Rubottom_s Red,Amber Ale
2177,508 Gastrobrewery,4 %,508 Sour Seduction,Berliner Weisse
2178,Bedondaine et Bedons Ronds,6 %,Bedondaine et Bedons Ronds Le Rubis de la Rousse,Amber Ale
2179,Sesma Brewing,5 %,Sesma La Petra Tostada,Amber Ale
2180,Odell Brewing Company,6.50 %,Odell Runoff Red IPA,India Pale Ale &#40; IPA &#41;
2181,Granville Brewing Company,6.80 %,Granville Belgian Amber,Abbey Dubbel
2182,Edge Brewing Barcelona,5 %,Edge Brewing Big Bully Amber Ale,Amber Ale
2183,Cwmbran,3.80 %,Cwmbran Drayman_s Amber Lite,Bitter
2184,Aardwolf,5.50 %,Aardwolf Mochaweisse &#40; There_s Always Money in the Banana Stand &#41;,Spice/Herb/Vegetable
2185,Carson_s Restaurant and Brewery,-,Carson_s Amber Red,Amber Ale
2186,Cap d_Ona,6.60 %,Cap d_Ona L_envie,Spice/Herb/Vegetable
2187,Staromestny Pivovar,5.50 %,Ale Capone,Brown Ale
2188,Five Dons Brewing,7.50 %,Five Dons Wiseguy Amber Ale,Amber Ale
2189,Sharps &#40; MolsonCoors &#41;,10 %,Sharps Honey Spice Triple,Belgian Strong Ale
2190,Bullfrog Brewery,4.50 %,Bullfrog Sunrise Red,Amber Ale
2191,North Center Brewing Company,5 %,North Center Stinson Amber,Amber Ale
2192,Bowland,3.80 %,Bowland Devils Rock,Bitter
2193,Montgomery Brewing Company &#40; MN &#41;,5.70 %,Montgomery The Chief Beer,Amber Ale
2194,Sea Dog Brewing &#40; Shipyard Brewing Co. &#41;,5.20 %,Sea Dog Biscut Malt Amber Ale,Amber Ale
2195,Bravo &#033; Restaurant,6.30 %,Bravo &#033; Chef_s Amber Ale,Amber Ale
2196,Sprig and Fern Brewery,4 %,Sprig and Fern Fern Draught,Amber Lager/Vienna
2197,NOLA - New Orleans Lager & Ale,5.70 %,NOLA Flambeau Red Ale,Amber Ale
2198,115 Grill & Brewhouse,4.20 %,One One Five Batch 01 : Amber Ale,Amber Ale
2199,Iechyd Da Brewing Company,5.50 %,Iechyd Da Main Drag Amber,Amber Ale
2200,Crannog Ales,5.50 %,Crannog Spawning Sockeye Ale,Amber Ale
2201,&#40; 512 &#41; Brewing Company,-,&#40; 512 &#41; Three Sisters,India Pale Ale &#40; IPA &#41;
2202,Wild Beast Brewing,5 %,Wild Beast Amber Ale,Amber Ale
2203,Frothy Beard Brewing Company,5 %,Frothy Beard Smokey the Ambear,Smoked
2204,Brasseurs RJ,5.20 %,Belle Gueule Rousse,Amber Lager/Vienna
2205,Cellar Dweller Craft Beers &#40; Valley Vineyards Winery &#41;,6.50 %,Cellar Dweller Ryno_s Amber,Amber Ale
2206,Champion Brewing Company,6 %,Champion Blood Red Hibiscus Hefeweizen,German Hefeweizen
2207,Main Street Brewing &#40; BC &#41;,5.80 %,Main Street Heal & Grow,Amber Ale
2208,Nighthawk Brewery,6.70 %,Nighthawk 16-Hour Dry Hopped Amber,Amber Ale
2209,Black Sands Brewing Company,5 %,Black Sands Pacific Red Ale,Amber Ale
2210,603 Brewery,6.50 %,603 Winni Ale,Amber Ale
2211,Murrays Craft Brewing Co. .,5.20 %,Murray_s Sutton Hoo,Amber Ale
2212,Mill City Brew Werks,7 %,Mill City Red Beard IRA,India Pale Ale &#40; IPA &#41;
2213,14th Star Brewing Company,5.90 %,14th Star Pursuit of Happiness,Stout
2214,AMB - MaÃ ® tre Brasseur,5 %,AMB Rousse Classique,Amber Ale
2215,49th State Brewery,8.80 %,49th State Equinox D.I.P.A.,Imperial IPA
2216,Chorlton Brewing Company,6.70 %,Chorlton Sandalwood Ale,Amber Lager/Vienna
2217,AnkerbrÃ $ u Steinach,7 %,Steinacher Ankerla Kolonial Red Ale,Amber Ale
2218,Brasserie Chez Gambrinus,5 %,Chez Gambrinus Galarneau,Amber Ale
2219,Catawba Valley Brewing Company,6 %,Catawba Valley REDiculous Red IPA,India Pale Ale &#40; IPA &#41;
2220,Cannery Brewing Company,5.50 %,Cannery Anarchist Amber Ale,Amber Ale
2221,Mad Hatter,7 %,Mad Hatter Unhinged Amber Ale,Amber Ale
2222,Brasserie artisanale de Nice,5 %,Brasserie de Nice Hopstock,Amber Ale
2223,3Cross Brewing Company,5.20 %,3Cross Single Speed Pale Ale - Northern Brewer,American Pale Ale
2224,18th Street Brewery,7.40 %,Rude Hippo Honey Basil Amber,Amber Ale
2225,4 Hands Brewing Company,3.50 %,4 Hands Ruby Red Prussia,Berliner Weisse
2226,High Point Brewing Company,5 %,Bolero Snort Crouching Tiger Ragin _ Bull,Spice/Herb/Vegetable
2227,North Country Brewing Company,4.40 %,North Country Stinky Hippie,India Pale Ale &#40; IPA &#41;
2228,BRB &#40; Be Right Back - Big River &#41;,5 %,Big River Riverport Traditional Ale,Amber Ale
2229,Buxton,7.50 %,Buxton Red Point IPA,Amber Ale
2230,192 Brewing Company,6.50 %,192 Malty Amber,Amber Ale
2231,R. Shea Brewing,4.50 %,R. Shea Rubber City Red,Amber Ale
2232,Off the Rail Brewing,6.40 %,Off the Rail Raybuck Red Ale,Amber Ale
2233,Steamworks Brewing Co. &#40; US &#41;,5.20 %,Steamworks Lizard Head Red,Amber Ale
2234,Stilt House Brewery,5.70 %,Stilt House Weekender Amber Ale,Amber Ale
2235,Big Shed,3.80 %,Big Shed Sentinel Amber Ale,Bitter
2236,Magic Hat Brewing Company &#40; North American Breweries &#41;,10.80 %,Magic Hat Humdinger Series - Graupel,Barley Wine
2237,Hawcreek Brewing Co. .,-,Hawcreek Get Down Ruby Red,Irish Ale
2238,7 Devils Brewing Company,5.40 %,7 Devils Arago Amber,Amber Ale
2239,350 Brewing Company,6.50 %,350 British Bulldog,India Pale Ale &#40; IPA &#41;
2240,Blind Tiger,7.70 %,Blind Tiger Ruby Slippers Imperial Red IPA,Imperial IPA
2241,Cold Water Brewery & Grill,6 %,Cold Water Amber,Amber Ale
2242,Aston Manor,6 %,Aston Manor Amber Harvest Strong Dry Cider,Cider
2243,Cascade Brewing,-,Cascade FredBonic Plague,Sour/Wild Ale
2244,Big Axe Brewery and B & B,5 %,Big Axe Maple Wheat Amber Ale,Amber Ale
2245,Bull & Barrel Brew Pub,5 %,Bull & Barrel Left Hand Rye Pale Ale,American Pale Ale
2246,Nevin_s Brewing Company,6.20 %,Nevin_s Mildly Confusing,Belgian Strong Ale
2247,Brasserie de Sulauze,5 %,Sulauze Cabosse,Spice/Herb/Vegetable
2248,Central City Brewers + Distillers,6.50 %,Central City Red Racer IPA - Nectarine & Mosaic Hops,India Pale Ale &#40; IPA &#41;
2249,Bridge Brewing Company,5.30 %,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Amber Ale
2250,Weasel Boy Brewing Company,-,Weasel Boy Feisty Fisher Amber Ale,Amber Ale
2251,Bridge Brewing Company,5.30 %,Bridge Ambleside Amber Ale,Amber Ale
2252,Panimo Hiisi,5.30 %,Hiisi Rooster Lager,Smoked
2253,Aviator Brewing Company,10.20 %,Aviator Horsepower,Imperial IPA
2254,Bozeman Brewing Company,5.50 %,Bozeman Bozone Select Amber Ale,Amber Ale
2255,Idle Hands Craft Ales,8.30 %,Idle Hands Craft Ales Dimples Redux,Abbey Dubbel
2256,13 Virtues Brewing Company,6 %,13 Virtues Morocco Mole Mexican Lager,Premium Lager
2257,Brau Brothers Brewing Company,5.90 %,Walleye Chop Lager,Pale Lager
2258,Arkose Brewery,6.80 %,Arkose High Ridge Double Red,American Strong Ale
2259,Holy City Brewing,4.80 %,Holy City The Liberation Libation,Amber Ale
2260,Barley_s Brewing Company,3.60 %,Barley_s Mild Child,Mild Ale
2261,Massey University Microbrewery,4.20 %,Funk Estate Parleyer,Golden Ale/Blond Ale
2262,Bobage Brewing,3.90 %,Bobage Crew Brew Triple AAA,Bitter
2263,CervecerÃa Artesanal Amalias,-,Amalias _ mbar,American Pale Ale
2264,Niagara College Teaching Brewery,-,Certified Originals Sol y Sambra,Amber Ale
2265,Westport Brewing Company,5.25 %,Westport Sailor_s Delight Amber Ale,Amber Ale
2266,Anacapa Brewing Company,8 %,Anacapa Riptide Imperial Red Ale,American Strong Ale
2267,Brasserie La Binchoise,8.20 %,Aora Tostada,English Strong Ale
2268,Alpha State,6.50 %,Alpha State Sorachi Red IPA,India Pale Ale &#40; IPA &#41;
2269,450 North Brewing Company,5.60 %,450 North Road Rage Ale,American Pale Ale
2270,Kinzua Dam Beer Company,-,Kinzua Dam My Hearts Content Amber Ale,Amber Ale
2271,Brocklebank Craft Brewing,-,Brocklebank The Drunkards _ Reunion,Wheat Ale
2272,Canton Brew Works,5.30 %,Canton Brew Works Admiral Ambar,Amber Ale
2273,Picobrouwerij Alvinne,6 %,Alvinne Red King,Sour/Wild Ale
2274,PIONEER BEER COMPANY,6 %,PIONEER AMERICAN RED ALE,American Pale Ale
2275,Faustino Microcervejeira,6 %,Maldita Old Continent American Amber Ale,Amber Ale
2276,Brassneck Brewery,4.50 %,Brassneck No Brainer Pre-Prohibition Style Corn Lager,Pale Lager
2277,Redhook Brewery,5 %,Resignation / Redhook KCCO Amber Ale,Amber Ale
2278,ValhÃ ¶ ll Brewing Company,8.90 %,ValhÃ ¶ ll Kilted Viking,Scotch Ale
2279,_ La FÃ '' t,5.70 %,_ La FÃ '' t SÃ © rie Brouepub Cascade Rousse,Amber Ale
2280,Cerveza Torquemada,7 %,Torquemada Sarmiento,Amber Ale
2281,Star Inn &#40; prev Bazens &#41;,4 %,Bazens May Beer,Bitter
2282,F.X. Matt Brewing Company,7.50 %,Saranac High Peaks Immortality,American Strong Ale
2283,Great Northern Brewing Company,8 %,Great Northern Good Medicine Strong Red Ale,American Strong Ale
2284,Barley Johns Brew Pub,5.44 %,Barley Johns Reds on Vacation,Amber Ale
2285,4 Hands Brewing Company,9 %,4 Hands The Woodsman,Imperial Stout
2286,Dogfish Head Brewery,15 %,Dogfish Head Olde School Barleywine,Barley Wine
2287,Bells Brewery,12 %,Bells Traverse City Third Coast Old Ale,Old Ale
2288,Central Waters Brewing Co. .,11.20 %,Central Waters Brewer_s Reserve Bourbon Barrel Barleywine,Barley Wine
2289,Burton Bridge,4.50 %,Burton Bridge Horizontal Hold,Golden Ale/Blond Ale
2290,Lagunitas Brewing Company &#40; Heineken &#41;,10.60 %,Lagunitas Olde GnarlyWine,Barley Wine
2291,AleSmith Brewing Company,11 %,AleSmith Old Numbskull,Barley Wine
2292,Rogue Ales,11.50 %,Rogue XS Old Crustacean Barleywine,Barley Wine
2293,Hair of the Dog Brewing Company,9.50 %,Hair of the Dog Bourbon Doggie Claws from the Wood,Barley Wine
2294,Bad Brewing Company,8.10 %,Bad Brewing Ho Ho Holy Crap Christmas Ale,American Strong Ale
2295,Uinta Brewing Company,11.10 %,Uinta Crooked Line Cockeyed Cooper,Barley Wine
2296,Dieu du Ciel,10.20 %,Dieu du Ciel Solstice d_Hiver,Barley Wine
2297,Bluegrass Brewing Company,11 %,Bluegrass Bearded Pats Barleywine Style Ale,Barley Wine
2298,Climax Brewing Company,10 %,Climax Barleywine 10th Anniversary Ale,Barley Wine
2299,Hermitage Brewing Company,12 %,Almanac Heirloom Pumpkin Barleywine &#40; 2013 &#41;,Spice/Herb/Vegetable
2300,18th Street Brewery,8.50 %,18th Street Deal With the Devil Pale Ale,Imperial IPA
2301,Boulder Beer Company,10 %,Boulder Beer Killer Penguin Barleywine,Barley Wine
2302,21st Amendment Brewery,11.50 %,21st Amendment Lower da Boom &#40; DeBoom &#41; Barleywine,Barley Wine
2303,Boston Beer Company,11.50 %,Samuel Adams Griffin_s Bow Oaked Blonde Barleywine Ale,Barley Wine
2304,Captain Lawrence Brewing Company,6.66 %,Captain Lawrence Pilot Batch : Sisyphus _ Smile,Black IPA
2305,Alaskan Brewing Company,10.70 %,Alaskan Pilot Series : Barley Wine Ale,Barley Wine
2306,East End Brewing Company,11.50 %,East End Gratitude,Barley Wine
2307,2 Brothers Brewery,6.90 %,2 Brothers/The Park/Great Northern Kryptonite,Black IPA
2308,Rock Art Brewery,10 %,Rock Art Vermonster,Barley Wine
2309,_ vyturys &#40; Carlsberg &#41;,4.90 %,_ vyturys T &#363; kstantme &#269; io 1000,Pale Lager
2310,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;,13.20 %,Firestone Walker Helldorado,Barley Wine
2311,De Proefbrouwerij,12 %,Mikkeller Big Worse Barley Wine,Barley Wine
2312,Great Divide Brewing Company,11.80 %,Great Divide Old Ruffian - Barrel Aged,Barley Wine
2313,AleSmith Brewing Company,11 %,AleSmith Old Numbskull - Bourbon Barrel Aged,Barley Wine
2314,Hangar 24 Craft Brewery,11.20 %,Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Barley Wine
2315,Santa Fe Brewing Company,10 %,Santa Fe Chicken Killer Barley Wine,Barley Wine
2316,Moylans Brewery & Restaurant,10 %,Moylans Old Blarney Barleywine &#40; Bourbon Barrel &#41;,Barley Wine
2317,Devils Backbone Brewing Company,5.60 %,Devils Backbone Black Rock Milk Stout,Sweet Stout
2318,Middle Ages Brewing,9.50 %,Middle Ages Druid Fluid,Barley Wine
2319,Big Sky Brewing Company,8.75 %,Big Sky Olde Bluehair Barleywine,Barley Wine
2320,Berkshire Brewing Company,9.50 %,Berkshire Holidale,Barley Wine
2321,Blue Point Brewing &#40; AB InBev &#41;,10 %,Blue Point Old Howling Bastard,Barley Wine
2322,DuClaw Brewing Company,10.60 %,DuClaw Hell on Wood,Barley Wine
2323,Rogue Ales,10.80 %,Rogue New Crustacean Barleywineish Imperial IPA Sorta,Barley Wine
2324,Left Hand Brewing Co. .,8.80 %,Left Hand Oak Aged Widdershins,Barley Wine
2325,NÃ ¸ gne _ &#40; Hansa Borg &#41;,11 %,NÃ ¸ gne _ Sunturnbrew,Smoked
2326,Fish Brewing Company/Leavenworth Beers,7.50 %,Fish Tale Starfish Imperial Red,American Strong Ale
2327,AleWerks Brewing Company,11 %,AleWerks Brewmasters Reserve Grand Illumination Ale,Barley Wine
2328,Speakeasy Ales and Lagers,13.30 %,Speakeasy Brewer_s Reserve Old Godfather Barleywine,Barley Wine
2329,Free State Brewing Company,10.50 %,Free State Old Backus Barleywine,Barley Wine
2330,New England Brewing Co. .,11.80 %,New England Premeditated Murder Barleywine,Barley Wine
2331,Thomas Hooker Brewing Company,10 %,Thomas Hooker Old Marley Barleywine,Barley Wine
2332,Pipeworks Brewing Company,10 %,Pipeworks Santa vs. Unicorn American Barleywine,Barley Wine
2333,Redhook Brewery,10.10 %,Redhook Treblehook,Barley Wine
2334,Austin Beerworks,8 %,Austin Beerworks Battle Axe Imperial Red Ale,American Strong Ale
2335,Short_s Brewing Company,11.80 %,Short_s Bourbon Wizard,Barley Wine
2336,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;,13.60 %,Firestone Walker Maltose Falcons Brownywine,American Strong Ale
2337,Alltech Lexington Brewing And Distilling,10 %,Kentucky Bourbon Barrel Barleywine,Barley Wine
2338,New England Brewing Co. .,-,New England Attempted RedRum,Barley Wine
2339,Pipeworks Brewing Company,10 %,Pipeworks Reaper vs Unicorn,Barley Wine
2340,Mountain Goat Beer &#40; Asahi Holdings - Australia &#41;,7.40 %,Mountain Goat Before the Dawn,Black IPA
2341,Minneapolis Town Hall Brewery,10.90 %,Town Hall Twisted Trace,Barley Wine
2342,The Brew Hub,5.40 %,The Brew Hub Keybilly,Amber Ale
2343,_ i_lavar - PrvnÃ SvobodnÃ 1/2 _ abov &#345; eskÃ 1/2 Pivovar,-,_ i_lavar Barley Wine,Barley Wine
2344,Beerbliotek,8 %,Beerbliotek / Flying Couch Night & Day,Black IPA
2345,Sebago Brewing Company,12.50 %,Sebago Single Batch Series Barleywine,Barley Wine
2346,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;,10 %,Leinenkugels Big Eddy Ryewine Ale,Barley Wine
2347,Half Acre Beer Company,10 %,Half Acre Quakerbridge Barley Wine,Barley Wine
2348,4 Pines Brewing Company,5.40 %,4 Pines Comfortably Numb,Stout
2349,Fish Brewing Company/Leavenworth Beers,10 %,Fish Tale Leviathan Barleywine &#40; Batch 5 + &#41;,Barley Wine
2350,Austin Beer Garden Brewery,7.80 %,Austin Beer Garden Luxury Liner,Imperial IPA
2351,Driftwood Brewery &#40; Canada &#41;,14 %,Driftwood Old Cellar Dweller Barleywine,Barley Wine
2352,Cambridge Brewing Company,11 %,Cambridge Barrel-Aged Blunderbuss Barleywine,Barley Wine
2353,De Proefbrouwerij,18.50 %,Mikkeller Big Worst Barley Wine,Barley Wine
2354,Alley Kat Brewing Company,10.30 %,Alley Kat Olde Deuteronomy Barley Wine,Barley Wine
2355,Tenaya Creek Brewery,10.40 %,Tenaya Creek Old Jackalope Barleywine,Barley Wine
2356,Black Raven Brewing,12.20 %,Black Raven Old Birdbrain Barleywine,Barley Wine
2357,Cismontane Brewing,4.50 %,Cismontane Deciduous IPA,American Pale Ale
2358,Appalachian Brewing Company &#40; PA &#41;,12.80 %,Appalachian Broad Street Barley Wine,Barley Wine
2359,The Bruery,11.10 %,The Bruery Oaked Old Richland,Barley Wine
2360,Kuhnhenn Brewing,17.50 %,Kuhnhenn Extraneous Ale,Barley Wine
2361,Celt Experience,4.30 %,Newmans Woolly Rhinoceros,Bitter
2362,Solemn Oath Brewery,12 %,Solemn Oath Heavyweight Ticklefight Champion of the World,Barley Wine
2363,Marin Brewing Company,9 %,Marin Old Dipsea Barleywine Style Ale,Barley Wine
2364,Crazy Mountain Brewing Company,10 %,Crazy Mountain Lawyers,Barley Wine
2365,Grizzly Peak Brewing Co. .,5.50 %,Grizzly Peak Steelhead Red Guns and Money,Amber Ale
2366,Elysian Brewing &#40; AB-InBev &#41;,9.85 %,Elysian Cyclops Barleywine,Barley Wine
2367,Equinox Brewing,6.10 %,Equinox Entropycal Red IPA,India Pale Ale &#40; IPA &#41;
2368,Ninkasi Brewing Company,10 %,Ninkasi Critical Hit Barley Wine,Barley Wine
2369,FiftyFifty Brewing Company,7.50 %,FiftyFifty Annularity,Barley Wine
2370,NÃ ¸ rrebro Bryghus,12.25 %,NÃ ¸ rrebro Little Korkny Ale,Barley Wine
2371,Milwaukee Brewing Company,4.80 %,Big Bay Boatilla Amber Ale,Amber Ale
2372,Dick_s Brewing Company,10 %,Dick_s Barley Wine,Barley Wine
2373,Kuhnhenn Brewing,17 %,Kuhnhenn Vintage Ale,Barley Wine
2374,Bristol Brewing Company,11.25 %,Bristol Old No. 23 Barley Wine,Barley Wine
2375,Bills Tavern and Brewhouse,-,Bills Foggy Notion Weissbier,German Hefeweizen
2376,Kuhnhenn Brewing,11.50 %,Kuhnhenn American Barley Wine,Barley Wine
2377,1516 Brewing Company,-,1516 Grand Reserve Triple Barrique,Belgian Strong Ale
2378,Columbus Brewing Company,-,Columbus Bourbon Barrel Aged Uncle Rusty,American Strong Ale
2379,Horseheads Brewing,12 %,Horseheads Domination Ale,Barley Wine
2380,Brutopia,11 %,Brutopia Rocket Fuel,Imperial IPA
2381,Hopworks Urban Brewery,9.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Barley Wine
2382,Shoreline Brewery,13 %,Shoreline Big Bourbon Series Discombobulation Celebration Ale,Barley Wine
2383,East End Brewing Company,-,East End Gratitude &#40; Bourbon Barrel Aged &#41;,Barley Wine
2384,18th Street Brewery,11.50 %,18th Street Barrel Aged Devil_s Spear,Barley Wine
2385,FiftyFifty Brewing Company,9.05 %,FiftyFifty Old Conundrum Barley Wine,Barley Wine
2386,_ l_Abri de la TempÃªte,9 %,_ l_Abri de la TempÃªte Corps Mort,Barley Wine
2387,13 Virtues Brewing Company,10.50 %,13 Virtues Patience Imperial Stout,Imperial Stout
2388,Tired Hands Brewing Company,11.20 %,Tired Hands MotherAnimal,Barley Wine
2389,Portsmouth Brewery,11.50 %,Portsmouth Barleywine,Barley Wine
2390,Kane Brewing Company,10.20 %,Kane Vengeful Heart,Barley Wine
2391,Minneapolis Town Hall Brewery,10.98 %,Town Hall Twisted Reality Barleywine,Barley Wine
2392,Oskar Blues Brewery,13.20 %,Oskar Blues Old Double Bagger &#40; ODB &#41;,Barley Wine
2393,Union Craft Brewing Company,9.80 %,Union Craft Chessie Barleywine,Barley Wine
2394,Terrapin Beer Company,10.60 %,Terrapin Oaked Big Hoppy Monster,Imperial IPA
2395,Denali Brewing Company,5.60 %,Denali Single Engine Red,Amber Ale
