ref_id,pub_year,series_name,paper_subject
2059,2003,vldb,cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications
2060,2003,vldb,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration
2061,2003,vldb,s-topss : semantic toronto publish/subscribe system
2062,2003,vldb,"nexusscout : an advanced location-based application on a distributed , open mediation platform"
2063,2003,vldb,schema-driven customization of web services
2064,2003,vldb,integrating information for on demand computing
2065,2003,vldb,a nanotechnology-based approach to data storage
2066,2003,vldb,the history of histograms ( abridged )
2067,2003,vldb,the data-centric revolution in networking
2068,2003,vldb,xsearch : a semantic search engine for xml
2069,2003,vldb,complex queries over web repositories
2070,2003,vldb,efficient mining of xml query patterns for caching
2071,2003,vldb,an efficient and resilient approach to filtering and disseminating streaming data
2072,2003,vldb,phrase matching in xml
2073,2003,vldb,rrxf : redundancy reducing xml storage in relations
2074,2003,vldb,mars : a system for publishing xml from mixed and redundant storage
2075,2003,vldb,projecting xml documents
2076,2003,vldb,mixed mode xml query processing
2077,2003,vldb,from tree patterns to generalized tree patterns : on efficient evaluation of xquery
2078,2003,vldb,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach
2079,2003,vldb,query processing for high-volume xml message brokering
2080,2003,vldb,a framework for clustering evolving data streams
2081,2003,vldb,a regression-based temporal pattern mining scheme for data streams
2082,2003,vldb,on the costs of multilingualism in database systems
2083,2003,vldb,distributed top-n query processing with possibly uncooperative local systems
2084,2003,vldb,optimized query execution in large search engines with global page ordering
2085,2003,vldb,path queries on compressed xml
2086,2003,vldb,on the minimization of xpath queries
2087,2003,vldb,covering indexes for xml queries : bisimulation - simulation = negation
2088,2003,vldb,buffering accesses to memory-resident index structures
2089,2003,vldb,balancing performance and data freshness in web database servers
2090,2003,vldb,vipas : virtual link powered authority search in the web
2091,2003,vldb,sash : a self-adaptive histogram set for dynamically changing workloads
