beer_identifier,beer_flavor,beer_product,alcohol_by_volume
3942,American Amber / Red Ale,BresaÃ ± Tostada,6.50 %
3943,American Amber / Red Ale,Red Plague,5.00 %
3944,American Amber / Red Ale,Waroux - BiÃ ¨ re De ChÃ cents teau,7.50 %
3945,American Amber / Red Ale,La Rousse De Saint-Louis,5.00 %
3946,American Amber / Red Ale,Ragin ' Bull 's Pecan Pie,5.00 %
3947,American Amber / Red Ale,Maple Wheat Amber Ale,-
3948,American Amber / Red Ale,Left Hand Rye Pale Ale,5.00 %
3949,American Amber / Red Ale,Mildly Confusing,6.20 %
3950,American Amber / Red Ale,Cabosse,-
3951,American Amber / Red Ale,Red Beer,5.60 %
3952,American Amber / Red Ale,Ambleside Amber Ale - Pomegranate & Galena Hops,5.30 %
3953,American Amber / Red Ale,Oscar Red Ale,-
3954,American Amber / Red Ale,Feisty Fisher Amber Ale,-
3955,American Amber / Red Ale,Oxit AmbrÃ © e,5.50 %
3956,American Amber / Red Ale,Ambleside Amber Ale,5.30 %
3957,American Amber / Red Ale,Rooster Lager,5.40 %
3958,American Amber / Red Ale,REDemption,7.80 %
3959,American Amber / Red Ale,Amber Ale With Spanish Orange,6.00 %
3960,American Amber / Red Ale,Horse Power,5.90 %
3961,American Amber / Red Ale,Redux Red Ale,5.40 %
3962,American Amber / Red Ale,Chaleur Phantom,5.00 %
3963,American Amber / Red Ale,Hop Around Imperial Red Ale,9.00 %
3964,American Amber / Red Ale,Lager X ( # 13 ),5.00 %
3965,American Amber / Red Ale,Walleye Chop,5.90 %
3966,American Amber / Red Ale,Waldorf Nitro Amber Ale,-
3967,American Amber / Red Ale,Hoppin Honey Red Ale,8.50 %
3968,American Amber / Red Ale,La Calavera Brettanojingo,6.20 %
3969,American Amber / Red Ale,High Ridge Double Red,6.80 %
3970,American Amber / Red Ale,The Liberation Libation,4.80 %
3971,American Amber / Red Ale,Batch # 0037 - Imperial Amber,7.10 %
3972,American Amber / Red Ale,Mild Child,3.50 %
3973,American Amber / Red Ale,Parley,5.00 %
3974,American Amber / Red Ale,Triple AAA,5.60 %
3975,American Amber / Red Ale,Alias,5.90 %
3976,American Amber / Red Ale,60 Miles From Bangor,6.00 %
3977,American Amber / Red Ale,Certified Originals Sol Y Sambra,-
3978,American Amber / Red Ale,Sailor 's Delight Amber,5.25 %
3979,American Amber / Red Ale,Copperhead Road,5.20 %
3980,American Amber / Red Ale,Riptide,6.90 %
3981,American Amber / Red Ale,Rover Capacity Red,-
3982,American Amber / Red Ale,Redemption Red,6.00 %
3983,American Amber / Red Ale,Tostada,5.40 %
3984,American Amber / Red Ale,Sorachi Red,5.30 %
3985,American Amber / Red Ale,Verde Canyon Railroad Copper Rail Ale,5.50 %
3986,American Amber / Red Ale,Road Rage,10.00 %
3987,American Amber / Red Ale,My Hearts Content,-
3988,American Amber / Red Ale,Reunion,5.00 %
3989,American Amber / Red Ale,Admiral Ambar,5.30 %
3990,American Amber / Red Ale,Amber Smashed Face,-
3991,American Amber / Red Ale,Nut Red,5.40 %
3992,American Amber / Red Ale,Pioneer American Red Ale,5.70 %
3993,American Amber / Red Ale,No-Brainer,8.80 %
3994,American Amber / Red Ale,KCCO Amber Ale,5.00 %
3995,American Amber / Red Ale,Kilted Viking,8.90 %
3996,American Amber / Red Ale,Serie Brouepub Cascade Rousse,5.70 %
3997,American Amber / Red Ale,Torquemada Sarmiento,7.00 %
3998,American Amber / Red Ale,May-Bee,4.80 %
3999,American Amber / Red Ale,Herrmann The Great,6.00 %
4000,American Amber / Red Ale,Northern Red Ale,-
4001,American Amber / Red Ale,Stoaked Imperial Red,-
4002,American Amber / Red Ale,Rose Bud,6.00 %
4003,American Amber / Red Ale,Red 's On Vacation,5.44 %
4004,American Amber / Red Ale,The Woodsman,-
4005,American Amber / Red Ale,The Revival Of Refreshment,5.00 %
4006,American Barleywine,Sierra Nevada Bigfoot Barleywine Style Ale,9.60 %
4007,American Barleywine,Olde School Barleywine,15.04 %
4008,American Barleywine,Old Ruffian Barley Wine,10.20 %
4009,American Barleywine,Brewer 's Reserve Bourbon Barrel Barleywine,11.50 %
4010,American Barleywine,Hog Heaven Barley Wine,9.20 %
4011,American Barleywine,Old Guardian Barley Wine Style Ale,11.00 %
4012,American Barleywine,Old Horizontal,11.00 %
4013,American Barleywine,Behemoth Blonde Barleywine,10.50 %
4014,American Barleywine,Olde GnarlyWine,10.60 %
4015,American Barleywine,TrÃ ¶ egs Flying Mouflan,9.30 %
4016,American Barleywine,AleSmith Old Numbskull,11.00 %
4017,American Barleywine,XS Old Crustacean,11.50 %
4018,American Barleywine,Doggie Claws,11.50 %
4019,American Barleywine,Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged,12.20 %
4020,American Barleywine,Cockeyed Cooper,11.10 %
4021,American Barleywine,Solstice D'hiver,10.20 %
4022,American Barleywine,Barleywine Style Ale,10.90 %
4023,American Barleywine,Anniversary Barley Wine Ale,10.40 %
4024,American Barleywine,Heirloom Pumpkin Barleywine,12.00 %
4025,American Barleywine,A Deal With The Devil,17.30 %
4026,American Barleywine,Killer Penguin Barleywine,10.00 %
4027,American Barleywine,Lower De Boom Barleywine,11.50 %
4028,American Barleywine,Griffin 's Bow,11.50 %
4029,American Barleywine,Sisyphus,11.50 %
4030,American Barleywine,Alaskan Barley Wine ( Pilot Series ),10.70 %
4031,American Barleywine,Smuttynose Barleywine Style Ale ( Big Beer Series ),11.60 %
4032,American Barleywine,Gratitude,11.50 %
4033,American Barleywine,Great,14.00 %
4034,American Barleywine,The Vermonster,10.00 %
4035,American Barleywine,John Barleycorn Barleywine Ale,11.40 %
4036,American Barleywine,Evil Twin Freudian Slip,10.30 %
4037,American Barleywine,# 100,10.00 %
4038,American Barleywine,Helldorado,13.20 %
4039,American Barleywine,Big Worse,12.00 %
4040,American Barleywine,Barrel Aged Old Ruffian,12.70 %
4041,American Barleywine,Old Guardian Barley Wine Style Ale - Extra Hoppy,11.00 %
4042,American Barleywine,AleSmith Old Numbskull - Barrel Aged,11.00 %
4043,American Barleywine,Barrel Aged Behemoth,12.50 %
4044,American Barleywine,Old Boardhead Barleywine Ale,9.00 %
4045,American Barleywine,Barrel Roll No. 4 Hammerhead,13.80 %
4046,American Barleywine,Chicken Killer Barley Wine,10.00 %
4047,American Barleywine,Old Blarney Barleywine,10.00 %
4048,American Barleywine,Devil 's Milk,10.60 %
4049,American Barleywine,Olde Bluehair Barley Wine,12.00 %
4050,American Barleywine,Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),9.60 %
4051,American Barleywine,Holidale,9.50 %
4052,American Barleywine,Blue Point Old Howling Bastard,10.00 %
4053,American Barleywine,Talon - True Style Barley Wine Ale,10.50 %
4054,American Barleywine,Hell On Wood,10.60 %
4055,American Barleywine,New Crustacean,11.60 %
4056,American Barleywine,Widdershins,10.00 %
4057,American Barleywine,Sunturnbrew,11.00 %
4058,American Barleywine,Grand Illumination,10.00 %
4059,American Barleywine,Old Godfather,9.50 %
4060,American Barleywine,Old Backus Barleywine,10.50 %
4061,American Barleywine,Imperial Barley Wine Style Ale,11.00 %
4062,American Barleywine,Premeditated Murder Barleywine,11.80 %
4063,American Barleywine,Thomas Hooker Old Marley Barleywine,10.00 %
4064,American Barleywine,Old Knucklehead Barleywine,9.20 %
4065,American Barleywine,Santa Vs. Unicorn,10.00 %
4066,American Barleywine,Old Embalmer,10.20 %
4067,American Barleywine,Redhook Treblehook,10.10 %
4068,American Barleywine,Pike Old Bawdy Barley Wine,9.90 %
4069,American Barleywine,Short 's The Wizard,11.00 %
4070,American Barleywine,10 Squared Fish Tale Ale,10.00 %
4071,American Barleywine,Maltose Falcons Brownywine,13.60 %
4072,American Barleywine,Kentucky Bourbon Barrel Barleywine,10.00 %
4073,American Barleywine,Attempted RedRum,13.00 %
4074,American Barleywine,Three Guy Off The Scale Barley Wine,15.00 %
4075,American Barleywine,Reaper Vs. Unicorn,10.00 %
4076,American Barleywine,Before The Dawn,13.70 %
4077,American Barleywine,Twisted Trace,9.90 %
4078,American Barleywine,Barley Wine,10.10 %
4079,American Barleywine,Day & Night,10.00 %
4080,American Barleywine,Single Batch Series - Barleywine,9.20 %
4081,American Barleywine,Big Eddy Ryewine Ale,10.00 %
4082,American Barleywine,Quakerbridge,10.00 %
4083,American Barleywine,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,11.20 %
4084,American Barleywine,Numb Comfort,11.50 %
4085,American Barleywine,Bernese Barleywine Ale,10.50 %
4086,American Barleywine,Fish Tale Leviathan Barleywine,10.00 %
4087,American Barleywine,Old Herb Barleywine,11.00 %
4088,American Barleywine,Old Cellar Dweller,11.60 %
4089,American Barleywine,Blunderbuss Barleywine,11.50 %
4090,American Barleywine,Big Worst,18.50 %
4091,American Barleywine,Short 's Bourbon Barrel Aged Wizard,11.00 %
4092,American Barleywine,Olde Deuteronomy,11.00 %
4093,American Barleywine,Tenaya Creek Old Jackalope Barleywine,10.40 %
4094,American Barleywine,TrÃ ¶ egs Flying Mouflan ( Bourbon Barrel Aged ),13.40 %
4095,American Barleywine,Bearded Pat 's Barleywine,11.00 %
4096,American Barleywine,Old Birdbrain,11.50 %
4097,American Barleywine,Broad Street Barley Wine,8.70 %
4098,American Barleywine,Oaked Old Richland,11.10 %
4099,American Barleywine,Fathead Barleywine - Reserve Series Aged In Whiskey Barrels,12.10 %
4100,American Barleywine,Bourbon Barrel-Aged Old Dipsea With Brett,9.00 %
4101,American Barleywine,Kuhnhenn Extraneous Ale,17.00 %
4102,American Barleywine,Rhinoceros,10.00 %
4103,American Barleywine,Tickle Fight,11.00 %
4104,American Barleywine,Kickin ' Chicken Bourbon Barrel Barley Wine,12.00 %
4105,American Barleywine,Old Dipsea Barleywine Style Ale,9.60 %
4106,American Barleywine,Live Oak Old Treehugger Barleywine,11.50 %
4107,American Barleywine,Cyclops Barleywine,9.85 %
4108,American Barleywine,Good,17.00 %
4109,American Barleywine,3 Sheets Barleywine,9.50 %
4110,American Barleywine,Entropy,14.20 %
4111,American Barleywine,He'Brew Jewbelation 18,12.40 %
4112,American Barleywine,Critical Hit,11.70 %
4113,American Barleywine,Bourbon Barrel Aged Vermonster,10.00 %
4114,American Barleywine,Annularity,10.00 %
4115,American Barleywine,Little Korkny Ale,12.25 %
4116,American Barleywine,Dick 's Barley Wine,10.00 %
4117,American Barleywine,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,11.20 %
4118,American Barleywine,Kuhnhenn Vintage Ale,17.00 %
4119,American Barleywine,Olde Scoutter 's Barleywine,10.40 %
4120,American Barleywine,Old No. 23,11.25 %
4121,American Barleywine,Foggy Notion,10.00 %
4122,American Barleywine,Kuhnhenn American Barley Wine,11.50 %
4123,American Barleywine,Moosekiller Barley Wine Style Ale,9.80 %
4124,American Barleywine,Highway To Ale Barleywine,10.50 %
4125,American Barleywine,Grand Reserve,11.00 %
4126,American Barleywine,Domination Ale,12.00 %
4127,American Barleywine,Top Fuel,14.00 %
4128,American Barleywine,Barrel Aged GnarlyWine,11.00 %
4129,American Barleywine,Noggin Floggin,11.00 %
4130,American Barleywine,Big Bourbon Series Discombobulation Celebration Ale,13.00 %
4131,American Barleywine,Trainwreck Organic Barleywine Style Ale,10.60 %
4132,American Barleywine,Gratitude - Bourbon Barrel Aged,11.40 %
4133,American Barleywine,Devil 's Spear,11.50 %
4134,American Barleywine,Old Conundrum,9.05 %
4135,American Barleywine,Corps Mort,11.00 %
4136,American Barleywine,Patience,13.20 %
4137,American Barleywine,MotherAnimal,11.50 %
4138,American Barleywine,Three Sheets Barleywine ( Barrel Aged ),9.00 %
4139,American Barleywine,Portsmouth Barleywine,11.50 %
4140,American Barleywine,Vengeful Heart,10.30 %
4141,American Barleywine,Twisted Reality Barleywine,9.90 %
4142,American Barleywine,_ berschwein,9.20 %
4143,American Barleywine,Old Double Bagger ( ODB ),13.20 %
4144,American Barleywine,Chessie Barleywine,9.80 %
4145,American Barleywine,SÃ © rie Signature Barleywine AmÃ © ricain,11.70 %
4146,American Barleywine,Tenderfoot,11.50 %
4147,American Barleywine,CucapÃ ¡ Barleywine,10.00 %
4148,American Barleywine,Trainwreck Barley Wine,10.00 %
4149,American Barleywine,Liquid Courage Barley Wine,10.30 %
4150,American Barleywine,Clare 's Right Hook,12.50 %
4151,American Barleywine,Smuttlabs Ol' Grundy Humper,10.80 %
4152,American Barleywine,Bourbon Barrel Aged Behemoth With Cherries,12.50 %
4153,American Barleywine,Bishop 's Barrel 10,14.00 %
4154,American Barleywine,Super Chicken Barley Wine,11.00 %
4155,American Barleywine,Hopsquatch Barleywine,11.50 %
4156,American Barleywine,Release The Hounds,10.50 %
4157,American Barleywine,Fisherman 's Tea Party,9.00 %
4158,American Barleywine,Ponche !,12.00 %
4159,American Barleywine,Carolina Old 392,8.70 %
4160,American Barleywine,Gramps,8.80 %
4161,American Barleywine,Centurion Barleywine Ale,-
4162,American Barleywine,John Barleycorn - Bourbon Barrel Aged,12.50 %
4163,American Barleywine,Barleywine,10.10 %
4164,American Barleywine,Old Wooly Barleywine,9.00 %
4165,American Barleywine,Samurai Barley Ale,10.00 %
4166,American Barleywine,Mikkeller / Three Floyds Risgoop,10.40 %
4167,American Barleywine,The Gourdfather,11.20 %
4168,American Barleywine,Elevator Barrel Aged Barley Wine ( Bar Bar ),11.00 %
4169,American Barleywine,Well Water,11.70 %
4170,American Barleywine,Annihilator,12.00 %
4171,American Barleywine,Mary,9.60 %
4172,American Barleywine,Old Bounder,9.60 %
4173,American Barleywine,AmEn ! Barleywine - Barrel Aged,11.10 %
4174,American Barleywine,Snowbeard,9.50 %
4175,American Barleywine,Headbutter,-
4176,American Barleywine,Institutionalized,10.50 %
4177,American Barleywine,Barrel-Aged Old Kaya Dog,10.30 %
4178,American Barleywine,Fat Hog,11.60 %
4179,American Barleywine,White Birch Barley Wine Ale,9.00 %
4180,American Barleywine,Sawyer 's Swap Barley Wine Ale,9.60 %
4181,American Barleywine,Inception Series - Runnin ' With The Devil,11.90 %
4182,American Barleywine,Horn Of The Beer,8.60 %
4183,American Barleywine,Clown King,12.00 %
4184,American Barleywine,Triton,9.50 %
4185,American Barleywine,Shipwreck Circus,12.00 %
4186,American Barleywine,Green Card Barleywine,10.00 %
4187,American Barleywine,Roza Reserve,9.20 %
4188,American Barleywine,Repent Rye,9.00 %
4189,American Barleywine,Benedictus,8.40 %
4190,American Barleywine,2nd Anniversary Barrel-Aged Barleywine,14.50 %
4191,American Barleywine,Killdozer 12 Point Buck,13.00 %
4192,American Barleywine,Moose Knuckle Barleywine,11.00 %
4193,American Barleywine,Bluebelly Barleywine,10.00 %
4194,American Barleywine,Preservation Series : Oaked Old Richland,11.10 %
4195,American Barleywine,Old Musty Barleywine,9.50 %
4196,American Barleywine,Barley 's Barleywine !,12.00 %
4197,American Barleywine,Hypnosis,12.00 %
4198,American Barleywine,Antares Barleywine,10.00 %
4199,American Barleywine,Ryeday The 13th,11.00 %
4200,American Barleywine,Bourbon Barrel Aged Auld Bitch,11.00 %
4201,American Barleywine,Copper Snow Barleywine Style-ale,10.00 %
4202,American Barleywine,Old Blowhole Barleywine,12.50 %
4203,American Barleywine,Three Sheets Barleywine ( Syrah Barrel Aged ),9.00 %
4204,American Barleywine,Old Kaya Dog,10.30 %
4205,American Barleywine,Grateful Dog,10.00 %
4206,American Barleywine,StonerWitch,10.80 %
4207,American Barleywine,Rakish Ryewine,11.50 %
4208,American Barleywine,Evil Twin TÃ ¸ rst Front Room V. 2,12.00 %
4209,American Barleywine,Barrel-Aged Vermilion Barleywine,11.00 %
4210,American Barleywine,Simpatico,10.00 %
4211,American Barleywine,Single Barrel Foggy Notion,10.80 %
4212,American Barleywine,Polissonne,11.00 %
4213,American Barleywine,Mineshaft Gap,13.00 %
4214,American Barleywine,Bough Breaker,9.10 %
4215,American Barleywine,The Duke,12.00 %
4216,American Barleywine,Noggin Floggin ( Bourbon Barrel Aged ),9.60 %
4217,American Barleywine,March To The Sea,11.00 %
4218,American Barleywine,Barrel Aged Moose Knuckle,13.00 %
4219,American Barleywine,Really Really Nelson,11.70 %
4220,American Barleywine,Big Bang,10.50 %
4221,American Barleywine,Old Devil 's Tooth Barleywine,10.30 %
4222,American Barleywine,Barrel Aged Devil 's Spear,-
4223,American Barleywine,No. 9 Barleywine,10.00 %
4224,American Barleywine,Cherry Annularity,12.50 %
4225,American Barleywine,Gaz De Course,11.00 %
4226,American Barleywine,The Camp Barleywine,10.00 %
4227,American Barleywine,Ol' Redbeard Barleywine,10.30 %
4228,American Barleywine,Stone Old Guardian Barley Wine Style Ale 2014,11.60 %
4229,American Barleywine,Frappabord,11.00 %
4230,American Barleywine,Cold North Wind,8.70 %
4231,American Barleywine,Smoke Chaser ( Cherrywood Smoked ),12.00 %
4232,American Barleywine,Old Conundrum - Heaven Hill Rye,11.00 %
4233,American Barleywine,Old Tavern Rat,9.70 %
4234,American Barleywine,Sasquatch,9.50 %
4235,American Barleywine,Old '99 Barleywine,11.00 %
4236,American Barleywine,Old Soul,9.30 %
4237,American Barleywine,Barrel Aged Chessie,9.80 %
4238,American Barleywine,Ladies & Gentlemen,11.00 %
4239,American Barleywine,Scourge Of The Dude Barrel Aged Barleywine,12.50 %
4240,American Barleywine,Barrington Yule Fuel,11.00 %
4241,American Barleywine,Old Stumblefoot,11.90 %
4242,American Barleywine,Brewed Witch,9.80 %
4243,American Barleywine,Midwinter Warmer,10.00 %
4244,American Barleywine,Jumbo Love,11.00 %
4245,American Barleywine,High Society,9.60 %
4246,American Barleywine,BB10,10.00 %
4247,American Barleywine,Barrel Aged Barleywine ( 2015 - Heaven Hill ),9.80 %
4248,American Barleywine,Slobberknocker,8.00 %
4249,American Barleywine,Sugar & Spice,12.00 %
4250,American Barleywine,Hercules Strong Ale,11.50 %
4251,American Barleywine,Yule Ale,11.00 %
4252,American Barleywine,Big Chuck Barleywine,11.70 %
4253,American Barleywine,Winter Slayer Oat Wine,9.10 %
4254,American Barleywine,El Diablo,9.50 %
4255,American Barleywine,Sedici Gradi,16.00 %
4256,American Barleywine,Frost Quake Bourbon Barrel Aged Barley Wine,9.80 %
4257,American Barleywine,Blue Monk Barley Wine,9.90 %
4258,American Barleywine,Motor City Winter Ale,8.80 %
4259,American Barleywine,Anabasis,14.00 %
4260,American Barleywine,Bommen & Granaten - Cascade Dry Hopped,15.20 %
4261,American Barleywine,Old Saguaro Barleywine Style Ale,8.00 %
4262,American Barleywine,Bacchanalian Barleywine,10.50 %
4263,American Barleywine,Empire Barley Wine,12.50 %
4264,American Barleywine,St. Fillin 's,9.90 %
4265,American Barleywine,Day & Night ( Honduran Manasapa Barrington Coffee ),10.00 %
4266,American Barleywine,Fathead Barleywine,11.30 %
4267,American Barleywine,Captain Swing,9.00 %
4268,American Barleywine,Undertow,9.00 %
4269,American Barleywine,Barrel Of Monkeys,14.00 %
4270,American Barleywine,Apple Brandy Cold North Wind,8.70 %
4271,American Barleywine,Beer Goggles Barleywine,10.00 %
4272,American Barleywine,Ordeum Rex,12.00 %
4273,American Barleywine,Barrel Roll No. 4 Hammerhead - Augie _ ™ s Coffee Edition,13.90 %
4274,American Barleywine,Dead To Me,-
4275,American Barleywine,Barrel Roll No. 4 Hammerhead - Bourbon Chai Edition,13.90 %
4276,American Barleywine,White Out,10.00 %
4277,American Barleywine,Breidablik Barley Wine Style Ale,7.50 %
4278,American Barleywine,10th Anniversary Barleywine ( 2014 ),10.20 %
4279,American Barleywine,Tenderfoot - Barrel Aged,11.50 %
4280,American Barleywine,Erzulie,13.00 %
4281,American Barleywine,Maelstrom ( for SNAB ),9.80 %
4282,American Barleywine,Mea Magna Culpa,9.00 %
4283,American Barleywine,Fogcutter Barleywine,-
4284,American Barleywine,Oak Aged Slobberknocker,9.00 %
4285,American Barleywine,Brewers Reserve Barley Wine Style Ale,10.50 %
4286,American Barleywine,Heavyweight Ticklefight Champion Of The World,12.00 %
4287,American Barleywine,Old Boneyards Barleywine,9.80 %
4288,American Barleywine,Barrel Aged Olde Bartholomew,9.00 %
4289,American Barleywine,Barbarian Barley Wine,9.50 %
4290,American Barleywine,Woody B. Barley Wine Ale,12.00 %
4291,American Barleywine,Ye Olde Twinkler Barleywine,9.00 %
4292,American Barleywine,#Mashtag 2015,10.00 %
4293,American Barleywine,Bluster Barleywine,9.60 %
4294,American Barleywine,Pizza Boy / Chip Bender - Benders Barleywine,10.00 %
4295,American Barleywine,Nutted Bourbon Barrel Brick Kiln,11.00 %
4296,American Barleywine,Dr Strangelove,11.50 %
4297,American Barleywine,Fortis Pagus,11.80 %
4298,American Barleywine,Obscura Aurantium,10.00 %
4299,American Barleywine,Bishops Gate,10.90 %
4300,American Barleywine,Big Worster ( Malaga Edition ),18.30 %
4301,American Barleywine,Jolly Abbot Barley Wine,13.00 %
4302,American Barleywine,Wolf 's Breath Winter Warmer,9.00 %
4303,American Barleywine,Bourbon Barleywine,10.60 %
4304,American Barleywine,Isle Of Pines Barley Wine,11.00 %
4305,American Barleywine,The `` Herc '' C-130 Barleywine Style Ale,10.50 %
4306,American Barleywine,Grande Reserve Vin No 1,9.50 %
4307,American Barleywine,Auld Bitch Barleywine,11.70 %
4308,American Barleywine,Massive Barleywine,13.50 %
4309,American Barleywine,Tectonic Barleywine,11.00 %
4310,American Barleywine,Old Embalmer '13 ( Brothers Reserve ) - Featuring X-431 Hops,10.20 %
4311,American Barleywine,Triton Barley Wine,11.50 %
4312,American Barleywine,RVA Beard League,12.50 %
4313,American Barleywine,Old 320 Barleywine,9.80 %
4314,American Barleywine,Great Lakes Barley Wine,10.20 %
4315,American Barleywine,American Barley Wine,11.50 %
4316,American Barleywine,The Demise,10.00 %
4317,American Barleywine,Old Toad Barleywine,11.00 %
4318,American Barleywine,The Situation,10.20 %
4319,American Barleywine,2 Biggie ( Collab With Batch Brewing ),9.80 %
4320,American Barleywine,Stow The Crows,11.00 %
4321,American Barleywine,Morgue Party,10.80 %
4322,American Barleywine,Colossal Oversight,12.00 %
4323,American Barleywine,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),-
4324,American Barleywine,Farligwine,11.00 %
4325,American Barleywine,Mysterium Verum The Kraken,11.00 %
4326,American Barleywine,Bourbon Barrel Aged Snowbeard,9.50 %
4327,American Barleywine,Old Conundrum - Elijah Craig ( 12 Year ),10.00 %
4328,American Barleywine,Sled Wreck Winter Ale,10.50 %
4329,American Barleywine,Barrel Aged Series : Barley Wine,11.80 %
4330,American Barleywine,Fogcutter Barleywine ( Oak Aged ),-
4331,American Barleywine,Batch # 100 Barleywine - Brandy Barrel,11.00 %
4332,American Barleywine,Bourbon Barrel Aged Barleywine,10.90 %
4333,American Barleywine,Elixir De Belphegor,-
4334,American Barleywine,Embalmer,9.20 %
4335,American Barleywine,Whisperer In Darkness,10.40 %
4336,American Barleywine,Old Blarney Barleywine - Bourbon Barrel Aged,10.00 %
4337,American Barleywine,Vin D'orge AmÃ © ricain,8.50 %
4338,American Barleywine,BBA Ye Old Battering Ram,-
4339,American Barleywine,Marley 's Gnarley Barley Wine,8.50 %
4340,American Barleywine,Nonstop Forever,9.00 %
4341,American Barleywine,Old Familiar Barleywine,8.30 %
4342,American Barleywine,Little Willie Barleywine,11.50 %
4343,American Barleywine,Olde Reliable,10.00 %
4344,American Barleywine,Bourbon Barrel Barleywine,13.00 %
