beer_ref,brew_style,beer_product,beer_factory_name
2136,American Strong Ale,Croocked Moon Meat Market,NÃ ¸ rrebro Bryghus
2137,Amber Ale,Liftline First Tracks Amber Ale,Liftline Brewing Company
2138,Amber Ale,The Freehouse No. 22 Honey Red Ale,The Freehouse
2139,American Strong Ale,BottleTree Imperial Red Ale,Thomas Creek Brewery
2140,Amber Ale,Epidemic Ales Affliction Amber,Epidemic Ales
2141,Amber Ale,Egan & Sons Oddfellows Ale,Egan & Sons
2142,American Pale Ale,5280 Roadhouse Pioneer Pale Ale,5280 Roadhouse & Brewery
2143,Amber Ale,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company
2144,Amber Ale,Nausta Inland Red Ale,Nausta Bryggeri
2145,Amber Lager/Vienna,NeustÃ $ dter Elbhang Rot,NeustÃ $ dter Hausbrauerei
2146,American Strong Ale,Vital Infrared Imperial Red,Vital Brewing
2147,Amber Ale,Madison River Irresistible Amber Ale,Madison River Brewing Company
2148,India Pale Ale &#40; IPA &#41;,Feral B.F.H. &#40; Barrel Fermented Hog &#41;,Feral Brewing Co. .
2149,Amber Ale,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;
2150,Amber Ale,Hop Haus Wildcat Amber,Hop Haus Brewing Company
2151,Bitter,Helm Rousse du Parc,Helm Brasseur Gourmand
2152,Specialty Grain,Beerbliotek Rye Pale Ale Chinook Columbus,Beerbliotek
2153,Fruit Beer,ApÃ ³ stol Frutos Rojos,Inducerv
2154,Fruit Beer,Begyle Bushel and a Peck - Montmorency,Begyle Brewing Company
2155,India Pale Ale &#40; IPA &#41;,De Molen Rye IPA Simcoe,Brouwerij de Molen
2156,Amber Ale,Smartmouth Murphy_s Law Amber Ale,Smartmouth Brewing Company
2157,Golden Ale/Blond Ale,Beer Works Doctor Morton_s Implant Jammer,Abbeydale
2158,Fruit Beer,Abita Strawberry Harvest Lager,Abita Brewing Company
2159,English Strong Ale,Albion Chiniquy Chante NoÃ `` l,Brasserie Artisanale Albion
2160,Amber Ale,Manantler Shelf Conscious Amber Ale,Manantler Craft Brewing
2161,India Pale Ale &#40; IPA &#41;,1516 NZ Nelson Sauvin Pale Ale,1516 Brewing Company
2162,India Pale Ale &#40; IPA &#41;,Backlash Ricochet,Paper City Brewery
2163,Amber Ale,Intracoastal Sore Amber,Intracoastal Brewing Company
2164,Amber Ale,Jacks Grid Iron Amber Ale,Jacks Brewing Co. &#40; formerly Fremont Brewing Co. &#41;
2165,Amber Ale,Blue Island Massive Political Corruption,Blue Island Beer Company
2166,Amber Ale,Three Notch_d Harrisonburg Peanut Butter Amber,Three Notch_d Brewing Company
2167,Amber Ale,Mankato Organ Grinder Amber Ale,Mankato Brewery
2168,Amber Ale,Flying Heart Louisiana Amber,Flying Heart Brewing
2169,Golden Ale/Blond Ale,Mt. Carmel Snapshot Series : Hopton Golden Ale,Mt. Carmel Brewing Company
2170,American Pale Ale,Clarens Red Ale,Clarens Brewery
2171,Irish Ale,Primal Lucille Red Ale,Primal Brewery
2172,Amber Ale,Royale The Visitor Red Ale,Royale Brewing Company
2173,American Pale Ale,Lickinghole Creek Gentleman Farmer Estate Hop Ale,Lickinghole Creek Craft Brewery
2174,Session IPA,21st Amendment Bitter American,Cold Spring Brewery
2175,Amber Ale,Square Tail Mid Arbor Red Ale,Square Tail Brewing Company
2176,Amber Ale,Innovation Brew Works Rubottom_s Red,Innovation Brew Works
2177,Berliner Weisse,508 Sour Seduction,508 Gastrobrewery
2178,Amber Ale,Bedondaine et Bedons Ronds Le Rubis de la Rousse,Bedondaine et Bedons Ronds
2179,Amber Ale,Sesma La Petra Tostada,Sesma Brewing
2180,India Pale Ale &#40; IPA &#41;,Odell Runoff Red IPA,Odell Brewing Company
2181,Abbey Dubbel,Granville Belgian Amber,Granville Brewing Company
2182,Amber Ale,Edge Brewing Big Bully Amber Ale,Edge Brewing Barcelona
2183,Bitter,Cwmbran Drayman_s Amber Lite,Cwmbran
2184,Spice/Herb/Vegetable,Aardwolf Mochaweisse &#40; There_s Always Money in the Banana Stand &#41;,Aardwolf
2185,Amber Ale,Carson_s Amber Red,Carson_s Restaurant and Brewery
2186,Spice/Herb/Vegetable,Cap d_Ona L_envie,Cap d_Ona
2187,Brown Ale,Ale Capone,Staromestny Pivovar
2188,Amber Ale,Five Dons Wiseguy Amber Ale,Five Dons Brewing
2189,Belgian Strong Ale,Sharps Honey Spice Triple,Sharps &#40; MolsonCoors &#41;
2190,Amber Ale,Bullfrog Sunrise Red,Bullfrog Brewery
2191,Amber Ale,North Center Stinson Amber,North Center Brewing Company
2192,Bitter,Bowland Devils Rock,Bowland
2193,Amber Ale,Montgomery The Chief Beer,Montgomery Brewing Company &#40; MN &#41;
2194,Amber Ale,Sea Dog Biscut Malt Amber Ale,Sea Dog Brewing &#40; Shipyard Brewing Co. &#41;
2195,Amber Ale,Bravo &#033; Chef_s Amber Ale,Bravo &#033; Restaurant
2196,Amber Lager/Vienna,Sprig and Fern Fern Draught,Sprig and Fern Brewery
2197,Amber Ale,NOLA Flambeau Red Ale,NOLA - New Orleans Lager & Ale
2198,Amber Ale,One One Five Batch 01 : Amber Ale,115 Grill & Brewhouse
2199,Amber Ale,Iechyd Da Main Drag Amber,Iechyd Da Brewing Company
2200,Amber Ale,Crannog Spawning Sockeye Ale,Crannog Ales
2201,India Pale Ale &#40; IPA &#41;,&#40; 512 &#41; Three Sisters,&#40; 512 &#41; Brewing Company
2202,Amber Ale,Wild Beast Amber Ale,Wild Beast Brewing
2203,Smoked,Frothy Beard Smokey the Ambear,Frothy Beard Brewing Company
2204,Amber Lager/Vienna,Belle Gueule Rousse,Brasseurs RJ
2205,Amber Ale,Cellar Dweller Ryno_s Amber,Cellar Dweller Craft Beers &#40; Valley Vineyards Winery &#41;
2206,German Hefeweizen,Champion Blood Red Hibiscus Hefeweizen,Champion Brewing Company
2207,Amber Ale,Main Street Heal & Grow,Main Street Brewing &#40; BC &#41;
2208,Amber Ale,Nighthawk 16-Hour Dry Hopped Amber,Nighthawk Brewery
2209,Amber Ale,Black Sands Pacific Red Ale,Black Sands Brewing Company
2210,Amber Ale,603 Winni Ale,603 Brewery
2211,Amber Ale,Murray_s Sutton Hoo,Murrays Craft Brewing Co. .
2212,India Pale Ale &#40; IPA &#41;,Mill City Red Beard IRA,Mill City Brew Werks
2213,Stout,14th Star Pursuit of Happiness,14th Star Brewing Company
2214,Amber Ale,AMB Rousse Classique,AMB - MaÃ ® tre Brasseur
2215,Imperial IPA,49th State Equinox D.I.P.A.,49th State Brewery
2216,Amber Lager/Vienna,Chorlton Sandalwood Ale,Chorlton Brewing Company
2217,Amber Ale,Steinacher Ankerla Kolonial Red Ale,AnkerbrÃ $ u Steinach
2218,Amber Ale,Chez Gambrinus Galarneau,Brasserie Chez Gambrinus
2219,India Pale Ale &#40; IPA &#41;,Catawba Valley REDiculous Red IPA,Catawba Valley Brewing Company
2220,Amber Ale,Cannery Anarchist Amber Ale,Cannery Brewing Company
2221,Amber Ale,Mad Hatter Unhinged Amber Ale,Mad Hatter
2222,Amber Ale,Brasserie de Nice Hopstock,Brasserie artisanale de Nice
2223,American Pale Ale,3Cross Single Speed Pale Ale - Northern Brewer,3Cross Brewing Company
2224,Amber Ale,Rude Hippo Honey Basil Amber,18th Street Brewery
2225,Berliner Weisse,4 Hands Ruby Red Prussia,4 Hands Brewing Company
2226,Spice/Herb/Vegetable,Bolero Snort Crouching Tiger Ragin _ Bull,High Point Brewing Company
2227,India Pale Ale &#40; IPA &#41;,North Country Stinky Hippie,North Country Brewing Company
2228,Amber Ale,Big River Riverport Traditional Ale,BRB &#40; Be Right Back - Big River &#41;
2229,Amber Ale,Buxton Red Point IPA,Buxton
2230,Amber Ale,192 Malty Amber,192 Brewing Company
2231,Amber Ale,R. Shea Rubber City Red,R. Shea Brewing
2232,Amber Ale,Off the Rail Raybuck Red Ale,Off the Rail Brewing
2233,Amber Ale,Steamworks Lizard Head Red,Steamworks Brewing Co. &#40; US &#41;
2234,Amber Ale,Stilt House Weekender Amber Ale,Stilt House Brewery
2235,Bitter,Big Shed Sentinel Amber Ale,Big Shed
2236,Barley Wine,Magic Hat Humdinger Series - Graupel,Magic Hat Brewing Company &#40; North American Breweries &#41;
2237,Irish Ale,Hawcreek Get Down Ruby Red,Hawcreek Brewing Co. .
2238,Amber Ale,7 Devils Arago Amber,7 Devils Brewing Company
2239,India Pale Ale &#40; IPA &#41;,350 British Bulldog,350 Brewing Company
2240,Imperial IPA,Blind Tiger Ruby Slippers Imperial Red IPA,Blind Tiger
2241,Amber Ale,Cold Water Amber,Cold Water Brewery & Grill
2242,Cider,Aston Manor Amber Harvest Strong Dry Cider,Aston Manor
2243,Sour/Wild Ale,Cascade FredBonic Plague,Cascade Brewing
2244,Amber Ale,Big Axe Maple Wheat Amber Ale,Big Axe Brewery and B & B
2245,American Pale Ale,Bull & Barrel Left Hand Rye Pale Ale,Bull & Barrel Brew Pub
2246,Belgian Strong Ale,Nevin_s Mildly Confusing,Nevin_s Brewing Company
2247,Spice/Herb/Vegetable,Sulauze Cabosse,Brasserie de Sulauze
2248,India Pale Ale &#40; IPA &#41;,Central City Red Racer IPA - Nectarine & Mosaic Hops,Central City Brewers + Distillers
2249,Amber Ale,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company
2250,Amber Ale,Weasel Boy Feisty Fisher Amber Ale,Weasel Boy Brewing Company
2251,Amber Ale,Bridge Ambleside Amber Ale,Bridge Brewing Company
2252,Smoked,Hiisi Rooster Lager,Panimo Hiisi
2253,Imperial IPA,Aviator Horsepower,Aviator Brewing Company
2254,Amber Ale,Bozeman Bozone Select Amber Ale,Bozeman Brewing Company
2255,Abbey Dubbel,Idle Hands Craft Ales Dimples Redux,Idle Hands Craft Ales
2256,Premium Lager,13 Virtues Morocco Mole Mexican Lager,13 Virtues Brewing Company
2257,Pale Lager,Walleye Chop Lager,Brau Brothers Brewing Company
2258,American Strong Ale,Arkose High Ridge Double Red,Arkose Brewery
2259,Amber Ale,Holy City The Liberation Libation,Holy City Brewing
2260,Mild Ale,Barley_s Mild Child,Barley_s Brewing Company
2261,Golden Ale/Blond Ale,Funk Estate Parleyer,Massey University Microbrewery
2262,Bitter,Bobage Crew Brew Triple AAA,Bobage Brewing
2263,American Pale Ale,Amalias _ mbar,CervecerÃa Artesanal Amalias
2264,Amber Ale,Certified Originals Sol y Sambra,Niagara College Teaching Brewery
2265,Amber Ale,Westport Sailor_s Delight Amber Ale,Westport Brewing Company
2266,American Strong Ale,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company
2267,English Strong Ale,Aora Tostada,Brasserie La Binchoise
2268,India Pale Ale &#40; IPA &#41;,Alpha State Sorachi Red IPA,Alpha State
2269,American Pale Ale,450 North Road Rage Ale,450 North Brewing Company
2270,Amber Ale,Kinzua Dam My Hearts Content Amber Ale,Kinzua Dam Beer Company
2271,Wheat Ale,Brocklebank The Drunkards _ Reunion,Brocklebank Craft Brewing
2272,Amber Ale,Canton Brew Works Admiral Ambar,Canton Brew Works
2273,Sour/Wild Ale,Alvinne Red King,Picobrouwerij Alvinne
2274,American Pale Ale,PIONEER AMERICAN RED ALE,PIONEER BEER COMPANY
2275,Amber Ale,Maldita Old Continent American Amber Ale,Faustino Microcervejeira
2276,Pale Lager,Brassneck No Brainer Pre-Prohibition Style Corn Lager,Brassneck Brewery
2277,Amber Ale,Resignation / Redhook KCCO Amber Ale,Redhook Brewery
2278,Scotch Ale,ValhÃ ¶ ll Kilted Viking,ValhÃ ¶ ll Brewing Company
2279,Amber Ale,_ La FÃ '' t SÃ © rie Brouepub Cascade Rousse,_ La FÃ '' t
2280,Amber Ale,Torquemada Sarmiento,Cerveza Torquemada
2281,Bitter,Bazens May Beer,Star Inn &#40; prev Bazens &#41;
2282,American Strong Ale,Saranac High Peaks Immortality,F.X. Matt Brewing Company
2283,American Strong Ale,Great Northern Good Medicine Strong Red Ale,Great Northern Brewing Company
2284,Amber Ale,Barley Johns Reds on Vacation,Barley Johns Brew Pub
2285,Imperial Stout,4 Hands The Woodsman,4 Hands Brewing Company
2286,Barley Wine,Dogfish Head Olde School Barleywine,Dogfish Head Brewery
2287,Old Ale,Bells Traverse City Third Coast Old Ale,Bells Brewery
2288,Barley Wine,Central Waters Brewer_s Reserve Bourbon Barrel Barleywine,Central Waters Brewing Co. .
2289,Golden Ale/Blond Ale,Burton Bridge Horizontal Hold,Burton Bridge
2290,Barley Wine,Lagunitas Olde GnarlyWine,Lagunitas Brewing Company &#40; Heineken &#41;
2291,Barley Wine,AleSmith Old Numbskull,AleSmith Brewing Company
2292,Barley Wine,Rogue XS Old Crustacean Barleywine,Rogue Ales
2293,Barley Wine,Hair of the Dog Bourbon Doggie Claws from the Wood,Hair of the Dog Brewing Company
2294,American Strong Ale,Bad Brewing Ho Ho Holy Crap Christmas Ale,Bad Brewing Company
2295,Barley Wine,Uinta Crooked Line Cockeyed Cooper,Uinta Brewing Company
2296,Barley Wine,Dieu du Ciel Solstice d_Hiver,Dieu du Ciel
2297,Barley Wine,Bluegrass Bearded Pats Barleywine Style Ale,Bluegrass Brewing Company
2298,Barley Wine,Climax Barleywine 10th Anniversary Ale,Climax Brewing Company
2299,Spice/Herb/Vegetable,Almanac Heirloom Pumpkin Barleywine &#40; 2013 &#41;,Hermitage Brewing Company
2300,Imperial IPA,18th Street Deal With the Devil Pale Ale,18th Street Brewery
2301,Barley Wine,Boulder Beer Killer Penguin Barleywine,Boulder Beer Company
2302,Barley Wine,21st Amendment Lower da Boom &#40; DeBoom &#41; Barleywine,21st Amendment Brewery
2303,Barley Wine,Samuel Adams Griffin_s Bow Oaked Blonde Barleywine Ale,Boston Beer Company
2304,Black IPA,Captain Lawrence Pilot Batch : Sisyphus _ Smile,Captain Lawrence Brewing Company
2305,Barley Wine,Alaskan Pilot Series : Barley Wine Ale,Alaskan Brewing Company
2306,Barley Wine,East End Gratitude,East End Brewing Company
2307,Black IPA,2 Brothers/The Park/Great Northern Kryptonite,2 Brothers Brewery
2308,Barley Wine,Rock Art Vermonster,Rock Art Brewery
2309,Pale Lager,_ vyturys T &#363; kstantme &#269; io 1000,_ vyturys &#40; Carlsberg &#41;
2310,Barley Wine,Firestone Walker Helldorado,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;
2311,Barley Wine,Mikkeller Big Worse Barley Wine,De Proefbrouwerij
2312,Barley Wine,Great Divide Old Ruffian - Barrel Aged,Great Divide Brewing Company
2313,Barley Wine,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company
2314,Barley Wine,Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Hangar 24 Craft Brewery
2315,Barley Wine,Santa Fe Chicken Killer Barley Wine,Santa Fe Brewing Company
2316,Barley Wine,Moylans Old Blarney Barleywine &#40; Bourbon Barrel &#41;,Moylans Brewery & Restaurant
2317,Sweet Stout,Devils Backbone Black Rock Milk Stout,Devils Backbone Brewing Company
2318,Barley Wine,Middle Ages Druid Fluid,Middle Ages Brewing
2319,Barley Wine,Big Sky Olde Bluehair Barleywine,Big Sky Brewing Company
2320,Barley Wine,Berkshire Holidale,Berkshire Brewing Company
2321,Barley Wine,Blue Point Old Howling Bastard,Blue Point Brewing &#40; AB InBev &#41;
2322,Barley Wine,DuClaw Hell on Wood,DuClaw Brewing Company
2323,Barley Wine,Rogue New Crustacean Barleywineish Imperial IPA Sorta,Rogue Ales
2324,Barley Wine,Left Hand Oak Aged Widdershins,Left Hand Brewing Co. .
2325,Smoked,NÃ ¸ gne _ Sunturnbrew,NÃ ¸ gne _ &#40; Hansa Borg &#41;
2326,American Strong Ale,Fish Tale Starfish Imperial Red,Fish Brewing Company/Leavenworth Beers
2327,Barley Wine,AleWerks Brewmasters Reserve Grand Illumination Ale,AleWerks Brewing Company
2328,Barley Wine,Speakeasy Brewer_s Reserve Old Godfather Barleywine,Speakeasy Ales and Lagers
2329,Barley Wine,Free State Old Backus Barleywine,Free State Brewing Company
2330,Barley Wine,New England Premeditated Murder Barleywine,New England Brewing Co. .
2331,Barley Wine,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company
2332,Barley Wine,Pipeworks Santa vs. Unicorn American Barleywine,Pipeworks Brewing Company
2333,Barley Wine,Redhook Treblehook,Redhook Brewery
2334,American Strong Ale,Austin Beerworks Battle Axe Imperial Red Ale,Austin Beerworks
2335,Barley Wine,Short_s Bourbon Wizard,Short_s Brewing Company
2336,American Strong Ale,Firestone Walker Maltose Falcons Brownywine,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;
2337,Barley Wine,Kentucky Bourbon Barrel Barleywine,Alltech Lexington Brewing And Distilling
2338,Barley Wine,New England Attempted RedRum,New England Brewing Co. .
2339,Barley Wine,Pipeworks Reaper vs Unicorn,Pipeworks Brewing Company
2340,Black IPA,Mountain Goat Before the Dawn,Mountain Goat Beer &#40; Asahi Holdings - Australia &#41;
2341,Barley Wine,Town Hall Twisted Trace,Minneapolis Town Hall Brewery
2342,Amber Ale,The Brew Hub Keybilly,The Brew Hub
2343,Barley Wine,_ i_lavar Barley Wine,_ i_lavar - PrvnÃ SvobodnÃ 1/2 _ abov &#345; eskÃ 1/2 Pivovar
2344,Black IPA,Beerbliotek / Flying Couch Night & Day,Beerbliotek
2345,Barley Wine,Sebago Single Batch Series Barleywine,Sebago Brewing Company
2346,Barley Wine,Leinenkugels Big Eddy Ryewine Ale,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;
2347,Barley Wine,Half Acre Quakerbridge Barley Wine,Half Acre Beer Company
2348,Stout,4 Pines Comfortably Numb,4 Pines Brewing Company
2349,Barley Wine,Fish Tale Leviathan Barleywine &#40; Batch 5 + &#41;,Fish Brewing Company/Leavenworth Beers
2350,Imperial IPA,Austin Beer Garden Luxury Liner,Austin Beer Garden Brewery
2351,Barley Wine,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;
2352,Barley Wine,Cambridge Barrel-Aged Blunderbuss Barleywine,Cambridge Brewing Company
2353,Barley Wine,Mikkeller Big Worst Barley Wine,De Proefbrouwerij
2354,Barley Wine,Alley Kat Olde Deuteronomy Barley Wine,Alley Kat Brewing Company
2355,Barley Wine,Tenaya Creek Old Jackalope Barleywine,Tenaya Creek Brewery
2356,Barley Wine,Black Raven Old Birdbrain Barleywine,Black Raven Brewing
2357,American Pale Ale,Cismontane Deciduous IPA,Cismontane Brewing
2358,Barley Wine,Appalachian Broad Street Barley Wine,Appalachian Brewing Company &#40; PA &#41;
2359,Barley Wine,The Bruery Oaked Old Richland,The Bruery
2360,Barley Wine,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing
2361,Bitter,Newmans Woolly Rhinoceros,Celt Experience
2362,Barley Wine,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery
2363,Barley Wine,Marin Old Dipsea Barleywine Style Ale,Marin Brewing Company
2364,Barley Wine,Crazy Mountain Lawyers,Crazy Mountain Brewing Company
2365,Amber Ale,Grizzly Peak Steelhead Red Guns and Money,Grizzly Peak Brewing Co. .
2366,Barley Wine,Elysian Cyclops Barleywine,Elysian Brewing &#40; AB-InBev &#41;
2367,India Pale Ale &#40; IPA &#41;,Equinox Entropycal Red IPA,Equinox Brewing
2368,Barley Wine,Ninkasi Critical Hit Barley Wine,Ninkasi Brewing Company
2369,Barley Wine,FiftyFifty Annularity,FiftyFifty Brewing Company
2370,Barley Wine,NÃ ¸ rrebro Little Korkny Ale,NÃ ¸ rrebro Bryghus
2371,Amber Ale,Big Bay Boatilla Amber Ale,Milwaukee Brewing Company
2372,Barley Wine,Dick_s Barley Wine,Dick_s Brewing Company
2373,Barley Wine,Kuhnhenn Vintage Ale,Kuhnhenn Brewing
2374,Barley Wine,Bristol Old No. 23 Barley Wine,Bristol Brewing Company
2375,German Hefeweizen,Bills Foggy Notion Weissbier,Bills Tavern and Brewhouse
2376,Barley Wine,Kuhnhenn American Barley Wine,Kuhnhenn Brewing
2377,Belgian Strong Ale,1516 Grand Reserve Triple Barrique,1516 Brewing Company
2378,American Strong Ale,Columbus Bourbon Barrel Aged Uncle Rusty,Columbus Brewing Company
2379,Barley Wine,Horseheads Domination Ale,Horseheads Brewing
2380,Imperial IPA,Brutopia Rocket Fuel,Brutopia
2381,Barley Wine,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery
2382,Barley Wine,Shoreline Big Bourbon Series Discombobulation Celebration Ale,Shoreline Brewery
2383,Barley Wine,East End Gratitude &#40; Bourbon Barrel Aged &#41;,East End Brewing Company
2384,Barley Wine,18th Street Barrel Aged Devil_s Spear,18th Street Brewery
2385,Barley Wine,FiftyFifty Old Conundrum Barley Wine,FiftyFifty Brewing Company
2386,Barley Wine,_ l_Abri de la TempÃªte Corps Mort,_ l_Abri de la TempÃªte
2387,Imperial Stout,13 Virtues Patience Imperial Stout,13 Virtues Brewing Company
2388,Barley Wine,Tired Hands MotherAnimal,Tired Hands Brewing Company
2389,Barley Wine,Portsmouth Barleywine,Portsmouth Brewery
2390,Barley Wine,Kane Vengeful Heart,Kane Brewing Company
2391,Barley Wine,Town Hall Twisted Reality Barleywine,Minneapolis Town Hall Brewery
2392,Barley Wine,Oskar Blues Old Double Bagger &#40; ODB &#41;,Oskar Blues Brewery
2393,Barley Wine,Union Craft Chessie Barleywine,Union Craft Brewing Company
2394,Imperial IPA,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company
2395,Amber Ale,Denali Single Engine Red,Denali Brewing Company
2396,Imperial IPA,Barrier Tenderfoot,Barrier Brewing Company
2397,Barley Wine,Phillips Trainwreck Barley Wine,Phillips Brewing Co. .
2398,Barley Wine,Rock Bottom Boston Liquid Courage Barley Wine,Rock Bottom Boston
2399,Barley Wine,Haymarket Clare_s Right Hook,Haymarket Pub & Brewery
