media_id,copyright_text,music_release_date,track,album_title_nm,musical_length,style,performer
351,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is the Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
352,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is the Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
353,2015 Mad Decent,10-Jul-15,Lean On ( Moska Remix ) [ feat . M ' ... & DJ Snake ],Lean On ( Remixes ) [ feat . M ' ... & DJ Snake ] - EP,4:07,"Electronic , Music",Major Lazer
354,2010 VP Music Group ( US ),21-Jun-10,No Apology,Reggae Gold 2010,4:04,"Reggae , Music",Beres Hammond
355,2010 Downtown Recordings LLC,20-Jul-10,Jump Up ( Thom Yorke Remix ),Lazers Never Die - EP,4:46,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
356,2010 Downtown Recordings LLC,20-Jul-10,Jump Up ( Thom Yorke Remix ),Lazers Never Die - EP,4:46,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
357,2010 Downtown Recordings LLC,20-Jul-10,Jump Up ( Thom Yorke Remix ),Lazers Never Die - EP,4:46,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
358,2010 Downtown Recordings LLC,20-Jul-10,Jump Up ( Thom Yorke Remix ),Lazers Never Die - EP,4:46,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
359,2010 Downtown Recordings LLC,20-Jul-10,Jump Up ( Thom Yorke Remix ),Lazers Never Die - EP,4:46,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
360,2010 - Southern Fried Records,8-Mar-10,Just Ca n't Get Enough,Tons of Friends,3:18,"Dance , Music , Electronic , Electronica , House , Jungle/Drum 'n' bass , Techno",Crookers & Edu K
361,2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,1-Nov-11,Original Don ( feat . The Partysquad ) [ The Partysquad & Punish Smash Em Remix ],Original Don ( feat . The Partysquad ) [ Remixes ] - EP,3:38,"Electronic , Music , Dance",Major Lazer
362,2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,1-Nov-11,Original Don ( feat . The Partysquad ) [ The Partysquad & Punish Smash Em Remix ],Original Don ( feat . The Partysquad ) [ Remixes ] - EP,3:38,"Electronic , Music , Dance",Major Lazer
363,2012 colette,21-Jun-12,Get Free ( feat . Amber ),Colette Athletics,4:48,"Alternative , Music",Major Lazer
364,2012 Ministry of Sound Recordings Limited,24-Sep-12,Alive ( Sticky Remix ),"Addicted to Bass Dubstep , Drum & Bass + Future Bass - Ministry of Sound",3:59,"Dance , Music",Toddla T & Shola Ama
365,2012 Southern Fried Records,29-Oct-12,From Then Until Now ( Continuous Mix ),From Then Until Now,1:19:48,"Dance , Music , Electronic",Crookers
366,2012 Mad Decent Protocol,2-Nov-10,Hold On ( feat . Amber Coffman ) [ Sub Focus Remix ],Blow Your Head : Diplo Presents Dubstep,4:27,"Electronic , Music",Rusko
367,2012 Mad Decent Protocol,17-Oct-12,Keep It Going Louder ( So Shifty Remix ) [ feat . Nina Sky & Ricky Blaze ],"Mad Decent , Vol . 1",3:53,"Electronic , Music",Major Lazer
368,2013 Secretly Canadian / Mad Decent,27-Feb-13,Get Free ( Andy C remix ),Get Free - Single,5:31,"Electronic , Music , Dance , Rock , Electronica",Major Lazer
369,2012 ITH Ltd,12-Oct-12,New York London ( Chocolate Puma Remix ) [ Nick Fiorucci vs. SOUP ],Defected Presents Chocolate Puma in the House,6:29,"Dance , Music",Nick Fiorucci & SOUP
370,2011 Mad Decent,11-Oct-11,Keep It Going Louder ( So Shifty Remix ),"Mad Decent , Vol . 1",3:53,"Electronic , Music",Major Lazer
371,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is The Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
372,"2014 Republic Records , a division of UMG Recordings , Inc.",3-Dec-14,The Hanging Tree ( feat . Jennifer Lawrence ),"The Hunger Games : Mockingjay , Pt. 1 ( Original Motion Picture Soundtrack )",3:38,"Soundtrack , Music",James Newton Howard
373,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is The Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
374,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is The Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
375,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is the Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
376,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is The Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
377,2015 Mad Decent,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Peace Is The Mission,3:49,"Electronic , Music , Reggae , Modern Dancehall , Dance",Major Lazer
378,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
379,"2015 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",21-Apr-15,Chains ( Audien Radio Edit ),Chains ( Audien Radio Edit ) - Single,3:31,"Dance , Music",Nick Jonas
380,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
381,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
382,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
383,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
384,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
385,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
386,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
387,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
388,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
389,"2015 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",2-Mar-15,Chains ( feat . Jhen ' © Aiko ) [ Remix ],Chains ( feat . Jhen ' © Aiko ) [ Remix ] - Single,3:23,"R&B / Soul , Music",Nick Jonas
390,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
391,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
392,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
393,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
394,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
395,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
396,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
397,"2015 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",27-Mar-15,Chains ( DJ Mike D and ChAdachi Remix ),Chains ( DJ Mike D and ChAdachi Remix ) - Single,3:36,"Dance , Music , R&B / Soul , Rock , Electronic",Nick Jonas
398,"2015 Republic Records , a division of UMG Recordings , Inc.",9-Jun-15,If the World Turned Upside Down,Finding Neverland : The Album ( Songs from the Broadway Musical ),3:53,"Soundtrack , Music",The Goo Goo Dolls
399,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
400,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
401,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
402,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
403,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
404,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
405,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
406,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
407,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
408,"2014 Island Records , a division of UMG Recordings , Inc.",16-Sep-14,Chains ( Mike Hawkins Remix ),Chains ( Mike Hawkins Remix ) - Single,4:01,"Dance , Music , R&B / Soul , Rock , Electronic",Nick Jonas
409,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
410,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
411,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
412,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
413,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
414,2010 Jonas Enterprises,2-Feb-10,Stronger ( Back On the Ground ),Who I Am,4:54,"Rock , Music , Pop , Teen Pop , Pop/Rock",Nick Jonas & The Administration
415,"2014 Island Records , a division of UMG Recordings , Inc.",16-Sep-14,Chains ( Dan Farber Remix ),Chains ( Dan Farber Remix ) - Single,3:28,"Dance , Music , R&B / Soul , Rock , Electronic",Nick Jonas
416,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
417,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
418,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
419,"2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",27-Oct-14,Jealous ( Ugo Remix ),Jealous ( Ugo Remix ) - Single,3:58,"Dance , Music , Rock , R&B / Soul",Nick Jonas
420,"2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",27-Oct-14,Jealous ( The Rooftop Boys Remix ),Jealous ( The Rooftop Boys Remix ) - Single,4:16,"Dance , Music , Rock , R&B / Soul",Nick Jonas
421,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",27-Oct-14,Jealous ( Bent Collective Remix ),Jealous ( Bent Collective Remix ) - Single,7:02,"Dance , Music , Rock , R&B / Soul",Nick Jonas
422,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
423,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
424,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
425,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
426,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
427,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
428,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
429,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
430,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
431,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe ),3:48,"Pop , Music , Rock , Pop/Rock",Nick Jonas
432,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
433,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
434,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Pop/Rock , Rock",Nick Jonas
435,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
436,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
437,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Nothing Would Be Better,Nick Jonas,4:34,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",Nick Jonas
438,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
439,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
440,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
441,"2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",5-Nov-14,Jealous ( feat . Tinash ' © ) [ Remix ],Jealous ( Remix ) [ feat . Tinash ' © ] - Single,3:42,"R&B / Soul , Music , Rock",Nick Jonas
442,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
443,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",10-Nov-14,Closer ( feat . Mike Posner ),Nick Jonas ( Deluxe Version ),3:48,"Pop , Music , Teen Pop , Pop/Rock , Rock",Nick Jonas
444,"2015 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",21-Aug-15,Levels,Levels - Single,2:47,"Pop , Music",Nick Jonas
445,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
446,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
447,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
448,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
449,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
450,2013 WaterTower Music,10-Dec-13,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ),The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ),--,"Soundtrack , Music , Soundtrack , Classical , Original Score",Ed Sheeran & Howard Shore
451,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
452,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
453,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
454,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
455,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
456,This compilation 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,19-May-14,Best Shot ( Bonus Track ),The Fault In Our Stars ( Music From the Motion Picture ),2:53,"Soundtrack , Music",Birdy & Jaymes Young
457,2009 Soundwaves,10-Apr-09,Set This Town Alight,"Sounds of the East Coast , Vol . II - Sound Waves Amplify the Coast",3:04,"Alternative , Music",Silk and Steel
458,2012 Warner Music UK LImited,3-Sep-12,The A Team ( Live ),iTunes Festival : London 2012 - EP,5:01,"Singer/Songwriter , Music",Ed Sheeran
459,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
460,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
461,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
462,"2014 Asylum Records UK , a Warner Music UK Company",20-Jun-14,Afire Love,x,5:14,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
463,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
464,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
465,"2014 Asylum Records UK , a division of Atlantic Records UK , except track 2 2014 BBC under licence to Asylum Records UK , a division of Atlantic Records UK . A Warner Music Group company",12-Aug-14,Friends,Do n't - EP,3:10,"Pop , Music , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
466,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
467,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
468,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
469,"2014 Asylum Records UK , a Warner Music UK Company",20-Jun-14,Afire Love,x,5:14,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
470,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
471,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
472,"2014 Asylum Records UK , a division of Atlantic Records UK , except track 2 2014 BBC under licence to Asylum Records UK , a division of Atlantic Records UK . A Warner Music Group company",12-Aug-14,Friends,Do n't - EP,3:10,"Pop , Music , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
473,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
474,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
475,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
476,2011 Warner Music UK Limited,9-Sep-11,Sunburn ( Bonus Track ),#NAME ?,4:35,"Singer/Songwriter , Music",Ed Sheeran
477,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",20-Jun-14,I See Fire,x ( Deluxe Edition ),4:59,"Singer/Songwriter , Music",Ed Sheeran
478,"2014 Asylum Records UK , a division of Atlantic Records UK , except track 2 2014 BBC under licence to Asylum Records UK , a division of Atlantic Records UK . A Warner Music Group company",12-Aug-14,Friends,Do n't - EP,3:10,"Pop , Music , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
479,2014 Warner Music UK LImited,23-Jun-14,Goodbye to You ( feat . Dot Rotten ),5,5:30,"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative",Ed Sheeran
480,2011 Warner Music UK Limited,9-Sep-11,Give Me Love,+,8:46,"Singer/Songwriter , Music,Folk-Rock , Rock , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",Ed Sheeran
