ref_id,journal_title,pub_forum,contributors
804,metu object-oriented dbms,sigmod conference,"cetin ozkan , cem evrendilek , yuksel saygin , ilker altintas , ismailcem budak arpinar , mehmet altinel , tansel okay , ilker durusoy , asuman dogac"
805,orthogonally persistent object systems,vldb j.,"malcolm p. atkinson , ronald morrison"
806,concurrent garbage collection in o2,vldb,"marcin skubiszewski , patrick valduriez"
807,"constructing and integrating data-centric web applications : methods , tools , and techniques",vldb,"ioana manolescu , stefano ceri"
808,guest editor 's introduction,sigmod record,"robert meersman , amit p. sheth"
809,dtl 's dataspot : database exploration using plain language,vldb,"gadi entin , shai geva , shaul dar , eran palmon"
810,editor 's notes,sigmod record,michael j. franklin
811,applying database technology in the adsm mass storage system,vldb,"robert rees , luis-felipe cabrera , wayne hineman"
812,dynamic buffer allocation in video-on-demand systems,sigmod conference,"kyu-young whang , yang-sae moon , il-yeol song , sang ho lee"
813,holistic twig joins on indexed xml documents,vldb,"wei wang , haifeng jiang , hongjun lu , jeffrey xu yu"
814,obtaining complete answers from incomplete databases,vldb,alon y. levy
815,incremental maintenance of externally materialized views,vldb,"martin staudt , matthias jarke"
816,databases for gis,sigmod record,"claudia bauzer medeiros , fatima pires"
817,query optimization in the presence of limited access patterns,sigmod conference,"dan suciu , ioana manolescu , daniela florescu , alon y. levy"
818,an effective hash based algorithm for mining association rules,sigmod conference,"ming-syan chen , philip s. yu , jong soo park"
819,a dependability benchmark for oltp application environments,vldb,"henrique madeira , marco vieira"
820,high speed on-line backup when using logical log operations,sigmod conference,david b. lomet
821,towards on-line analytical mining in large databases,sigmod record,jiawei han
822,facilitating multimedia database exploration through visual interfaces and perpetual query reformulations,vldb,"kyoji hirata , yoshinori hara , wen-syan li , k. selçuk candan"
823,"the glue-nail deductive database system : design , implementation , and evaluation",vldb j.,"geoffrey phipps , marcia a. derr , shinichi morishita"
824,cubetree : organization of and bulk updates on the data cube,sigmod conference,"nick roussopoulos , mema roussopoulos , yannis kotidis"
825,interview with avi silberschatz,sigmod record,marianne winslett
826,database research at the university of illinois at urbana-champaign,sigmod record,"chengxiang zhai , marianne winslett , yuanyuan zhou , kevin chen-chuan chang , jiawei han , anhai doan"
827,sql open heterogeneous data access,sigmod conference,"berthold reinwald , hamid pirahesh"
828,report on the 18th british national conference on databases ( bncod ),sigmod record,"carole a. goble , brian j. read"
829,materialized view selection for multidimensional datasets,vldb,"jeffrey f. naughton , amit shukla , prasad deshpande"
830,hmap - a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,vldb j.,"carlo combi , giuseppe pozzi"
831,"topaz : a cost-based , rule-driven , multi-phase parallelizer",vldb,"bernhard mitschang , clara nippl"
832,a sequential pattern query language for supporting instant data mining for e-services,vldb,"reza sadri , amir m. zarkesh , jafar adibi , carlo zaniolo"
833,combi-operator : database support for data mining applications,vldb,"wolfgang lehner , alexander hinneburg , dirk habich"
834,the semantic web : semantics for data on the web,vldb,"vipul kashyap , stefan decker"
835,managing video data in a mobile environment,sigmod record,"rafael alonso , yuh-lin chang , v. s. mani , liviu iftode"
836,parallel query scheduling and optimization with time - and space-shared resources,vldb,"yannis e. ioannidis , minos n. garofalakis"
837,a general solution of the n-dimensional b-tree problem,sigmod conference,michael freeston
838,parallel database systems 101,sigmod conference,jim gray
839,secure buffering in firm real-time database systems,vldb,"binto george , jayant r. haritsa"
840,workflow history management,sigmod record,"pinar koksal , sena nural arpinar , asuman dogac"
841,broadcast disks : data management for asymmetric communications environments,sigmod conference,"michael j. franklin , stanley b. zdonik , swarup acharya , rafael alonso"
842,comparing data streams using hamming norms ( how to zero in ),vldb,"mayur datar , piotr indyk , s. muthukrishnan , graham cormode"
843,the a-tree : an index structure for high-dimensional spaces using relative approximation,vldb,"masatoshi yoshikawa , shunsuke uemura , yasushi sakurai , haruhiko kojima"
844,r-tree based indexing of now-relative bitemporal data,vldb,"simonas saltenis , christian s. jensen , giedrius slivinskas , rasa bliujute"
845,skew handling techniques in sort-merge join,sigmod conference,"richard t. snodgrass , wei li , dengfeng gao"
846,online index rebuild,sigmod conference,"hanuma kodavalla , nagavamsi ponnekanti"
847,efficient similarity search for market basket data,vldb j.,"alexandros nanopoulos , yannis manolopoulos"
848,compressed accessibility map : efficient access control for xml,vldb,"divesh srivastava , ting yu , h. v. jagadish , laks v. s. lakshmanan"
849,toxgene : a template-based data generator for xml,sigmod conference,"alberto o. mendelzon , john keenleyside , denilson barbosa , kelly a. lyons"
850,interviewing during a tight job market,sigmod record,"zachary g. ives , qiong luo"
851,star-cubing : computing iceberg cubes by top-down and bottom-up integration,vldb,"jiawei han , xiaolei li , benjamin w. wah , dong xin"
852,datawarehousing has more colours than just black & white,vldb,"thomas zurek , markus sinnwell"
853,chronological scheduling of transactions with temporal dependencies,vldb j.,"marek rusinkiewicz , dimitrios georgakopoulos , witold litwin"
854,query processing over object views of relational data,vldb j.,"gustav fahl , tore risch"
855,semantic caching of web queries,vldb j.,"boris chidlovskii , uwe m. borghoff"
856,capturing and querying multiple aspects of semistructured data,vldb,"curtis e. dyreson , michael h. böhlen , christian s. jensen"
857,aggregate maintenance for data warehousing in informix red brick vista,vldb,"latha s. colby , gopal mulagund , richard l. cole , craig j. bunker , william j. mckenna , david wilhite"
858,supporting state-wide immunisation tracking using multi-paradigm workflow technology,vldb,"devashish worah , souvik das , ivan shevchenko , amit p. sheth , john a. miller , chenye lin , devanand palaniswami , krys kochut , john lynch"
859,visual coko : a debugger for query optimizer development,sigmod conference,"daniel j. abadi , mitch cherniack"
860,data compression in oracle,vldb,"meikel pöss , dmitry potapov"
861,a multidatabase system for tracking and retrieval of financial data,vldb,"munir cochinwala , john bradley"
862,shrinking the warehouse update window,sigmod conference,"hector garcia-molina , ramana yerneni , wilburt labio"
863,an efficient algorithm for mining association rules in large databases,vldb,"edward omiecinski , shamkant b. navathe , ashok savasere"
864,update propagation strategies to improve freshness in lazy master replicated databases,vldb j.,"eric simon , esther pacitti"
865,the sift information dissemination system,acm trans . database syst .,"tak w. yan , hector garcia-molina"
866,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,sigmod record,daniel barbará
867,extracting and exploiting structure in text search,sigmod conference,prabhakar raghavan
868,plastic : reducing query optimization overheads through plan recycling,sigmod conference,"jayant r. haritsa , vibhuti s. sengar"
869,wavelet synopses with error guarantees,sigmod conference,"phillip b. gibbons , minos n. garofalakis"
870,generating efficient plans for queries using views,sigmod conference,"chen li , jeffrey d. ullman , foto n. afrati"
871,qc-trees : an efficient summary structure for semantic olap,sigmod conference,"laks v. s. lakshmanan , jian pei , yan zhao"
872,information management for genome level bioinformatics,vldb,"norman w. paton , carole a. goble"
873,efficient filtering of xml documents for selective dissemination of information,vldb,"michael j. franklin , mehmet altinel"
874,bounded ignorance : a technique for increasing concurrency in a replicated system,acm trans . database syst .,"arthur j. bernstein , narayanan krishnakumar"
875,editor 's notes and erratum,sigmod record,arie segev
876,research and products : are they relevant to each other ? ( panel ),sigmod conference,herb edelstein
877,nsf workshop on industrial/academic cooperation in database systems,sigmod record,"leonard j. seligman , michael j. carey"
878,operating system extensions for the teradata parallel vldb,vldb,"sorana rabinovici , john catozzi"
879,efficient mining of xml query patterns for caching,vldb,"liang huai yang , mong-li lee , wynne hsu"
880,is gui programming a database research problem ?,sigmod conference,"ravi krishnamurthy , charles hoch , nita goyal , michael suckow , brian meckler"
881,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,sigmod record,terence critchlow
882,toward recovery-oriented computing,vldb,armando fox
883,adaptable similarity search using non-relevant information,vldb,"t. v. ashwin , rahul gupta , sugata ghosal"
884,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )",vldb,"james l. edwards , meridith a. lane , ebbe nielsen"
885,temporal database bibliography update,sigmod record,"anil kumar , vassilis j. tsotras"
886,an orthogonally persistent java,sigmod record,"mick j. jordan , susan spence , laurent daynès , malcolm p. atkinson , tony printezis"
887,socqet : semantic olap with compressed cube and summarization,sigmod conference,"yan zhao , laks v. s. lakshmanan , jian pei"
888,integration of electronic tickets and personal guide system for public transport using mobile terminals,sigmod conference,"yahiko kambayashi , koichi goto"
889,tail recursion elimination in deductive databases,acm trans . database syst .,kenneth a. ross
890,a case-based approach to information integration,vldb,"maurizio panti , alberto giretti , luca spalazzi"
891,distributed transactions in practice,sigmod record,"lyman do , pamela drew , prabhu ram"
892,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",vldb,"zhao-hui tang , fei sha , georges gardarin"
893,quality of service in multimedia digital libraries,sigmod record,"elisa bertino , ahmed k. elmagarmid , mohand-said hacid"
894,eiha ?!? : deploying web and wap services using xml technology,sigmod record,"jean-christophe r. pazzaglia , chiara biancheri , gavino paddeu"
895,join synopses for approximate query answering,sigmod conference,"swarup acharya , viswanath poosala , phillip b. gibbons , sridhar ramaswamy"
896,distributed hypertext resource discovery through examples,vldb,"martin van den berg , soumen chakrabarti , byron dom"
897,data management challenges in crm,sigmod conference,george colliat
898,sql standardization : the next steps,sigmod record,"andrew eisenberg , jim melton"
899,devise : integrated querying and visualization of large datasets,sigmod conference,"miron livny , raghu ramakrishnan , donko donjerkovic , shilpa lawande , jussi myllymaki , guangshun chen , r. kent wenger , kevin s. beyer"
900,storage estimation for multidimensional aggregates in the presence of hierarchies,vldb,"jeffrey f. naughton , amit shukla , karthikeyan ramasamy , prasad deshpande"
901,an optimal and progressive algorithm for skyline queries,sigmod conference,"bernhard seeger , dimitris papadias , greg fu , yufei tao"
902,methodology for development and employment of ontology based knowledge management applications,sigmod record,"steffen staab , rudi studer , york sure"
903,processing complex aggregate queries over data streams,sigmod conference,"alin dobra , johannes gehrke , rajeev rastogi , minos n. garofalakis"
904,web services ( industrial session ),vldb,felipe cabrera
905,query flocks : a generalization of association-rule mining,sigmod conference,"chris clifton , svetlozar nestorov , rajeev motwani , shalom tsur , jeffrey d. ullman , arnon rosenthal , serge abiteboul"
906,i/o-conscious data preparation for large-scale web search engines,vldb,"maxim lifantsev , tzi-cker chiueh"
907,reminiscences on influential papers,sigmod record,richard t. snodgrass
908,a protein patent query system powered by kleisli,sigmod conference,"jing chen , louxin zhang , limsoon wong"
909,database systems - breaking out of the box,sigmod record,"abraham silberschatz , stanley b. zdonik"
910,providing database migration tools - a practicioner 's approach,vldb,andreas meier
911,synthesis of extended transaction models using acta,acm trans . database syst .,"panos k. chrysanthis , krithi ramamritham"
912,amdb : an access method debugging tool,sigmod conference,"joseph m. hellerstein , mehul a. shah , marcel kornacker"
913,checkpointing in oracle,vldb,"juan loaiza , ashok joshi , tirthankar lahiri , william bridge"
914,"title , foreword , vldb journal to be published electronically , index vol . 4",vldb j.,?
915,design and management of data warehouses : report on the dmdw '99 workshop,sigmod record,"martin staudt , yannis vassiliou , manfred a. jeusfeld , stella gatziu"
916,information sharing across private databases,sigmod conference,"ramakrishnan srikant , rakesh agrawal , alexandre v. evfimievski"
917,adaptive parallel aggregation algorithms,sigmod conference,"jeffrey f. naughton , ambuj shatdal"
918,indexing medium-dimensionality data in oracle,sigmod conference,"jayant sharma , kothuri venkata ravi kanth , jay banerjee , siva ravada"
919,view maintenance in a warehousing environment,sigmod conference,"jennifer widom , hector garcia-molina , yue zhuge , joachim hammer"
920,chair 's message,sigmod record,richard t. snodgrass
921,disima : a distributed and interoperable image database system,sigmod conference,"vincent oria , benjamin bin yao , shu lin , paul iglinski , m. tamer özsu"
922,change-centric management of versions in an xml warehouse,vldb,"laurent mignet , amélie marian , gregory cobena , serge abiteboul"
923,spirit : sequential pattern mining with regular expression constraints,vldb,"rajeev rastogi , kyuseok shim , minos n. garofalakis"
924,user-adaptive exploration of multidimensional data,vldb,sunita sarawagi
925,improving timeliness in real-time secure database systems,sigmod record,"sang hyuk son , rasikan david , bhavani m. thuraisingham"
926,an extensible compressor for xml data,sigmod record,"dan suciu , hartmut liefke"
927,the demarcation protocol : a technique for maintaining constraints in distributed database systems,vldb j.,"daniel barbará , hector garcia-molina"
928,monitoring streams - a new class of data management applications,vldb,"mitch cherniack , stanley b. zdonik , nesime tatbul , ugur çetintemel , greg seidman , michael stonebraker , christian convey , donald carney , sangdon lee"
929,client-server paradise,vldb,"jignesh m. patel , jie-bing yu , navin kabra , david j. dewitt , jun luo"
930,from data independence to knowledge independence : an on-going story,vldb,laurent vieille
931,petabyte databases,sigmod conference,dirk düllmann
932,query rewriting for semistructured data,sigmod conference,"vasilis vassalos , yannis papakonstantinou"
933,outerjoin simplification and reordering for query optimization,acm trans . database syst .,"césar a. galindo-legaria , arnon rosenthal"
934,reminiscences on influential papers,sigmod record,richard t. snodgrass
935,integrating symbolic images into a multimedia database system using classification and abstraction approaches,vldb j.,"hanan samet , aya soffer"
936,javax.xxl : a prototype for a library of query processing algorithms,sigmod conference,"bernhard seeger , jens-peter dittrich , jochen van den bercken"
937,`` one size fits all '' database architectures do not work for dds,sigmod conference,clark d. french
938,interview with david maier,sigmod record,marianne winslett
939,factorizing complex predicates in queries to exploit indexes,sigmod conference,"prasanna ganesan , sunita sarawagi , surajit chaudhuri"
940,a taxonomy of correctness criteria in database applications,vldb j.,"krithi ramamritham , panos k. chrysanthis"
941,editor 's notes,sigmod record,ling liu
942,book review column,sigmod record,karl aberer
943,dna-miner : a system prototype for mining dna sequences,sigmod conference,"jiawei han , liangyou chen , jian pei , ying lu , yaqin liao , hasan m. jamil"
944,efficient algorithms for minimizing tree pattern queries,sigmod conference,prakash ramanan
945,research directions in biodiversity informatics,vldb,john l. schnase
946,information integration and xml in ibm 's db2,vldb,patricia g. selinger
947,peer-to-peer research at stanford,sigmod record,"mayank bawa , sergio marti , sepandar d. kamvar , brian cooper , mario t. schlosser , neil daswani , qi sun , hector garcia-molina , arturo crespo , beverly yang , patrick vinograd , prasanna ganesan"
948,text databases : a survey of text models and systems,sigmod record,arjan loeffen
949,dissemination of dynamic data,sigmod conference,"pavan deolasee , amol katkar , krithi ramamritham , ankur panchbudhe , prashant j. shenoy"
950,walking through a very large virtual environment in real-time,vldb,"yixin ruan , kian-lee tan , jason chionh , lidan shou , zhiyong huang"
951,"improving business process quality through exception understanding , prediction , and prevention",vldb,"fabio casati , daniela grigori , umeshwar dayal , ming-chien shan"
952,the design of a retrieval technique for high-dimensional data on tertiary storage,sigmod record,"ratko orlandic , craig swietlik , jack lukaszuk"
953,accessing relational databases from the world wide web,sigmod conference,"tam nguyen , v. srinivasan"
954,"high-performance and scalability through application tier,in-memory data management",vldb,?
955,fundamental techniques for order optimization,sigmod conference,"eugene j. shekita , david e. simmen , timothy malkemus"
956,locating and accessing data repositories with websemantics,vldb j.,"george a. mihaila , louiqa raschid , anthony tomasic"
957,guest editorial,vldb j.,"kyu-young whang , gunter schlageter , amr el abbadi"
958,reminiscences on influential papers,sigmod record,"s. sudarshan , charu c. aggarwal , mihalis yannakakis , alfons kemper , kenneth a. ross , sunita sarawagi"
959,the dedale system for complex spatial queries,sigmod conference,"luc segoufin , philippe rigaux , stéphane grumbach"
960,semantic data caching and replacement,vldb,"björn þór jónsson , shaul dar , divesh srivastava , michael tan , michael j. franklin"
961,inferring function semantics to optimize queries,vldb,"mitch cherniack , stanley b. zdonik"
962,the evolution of effective b-tree : page organization and techniques : a personal account,sigmod record,david b. lomet
963,efficient testing of high performance transaction processing systems,vldb,"d. wildfogel , ramana yerneni"
964,generic database cost models for hierarchical memory systems,vldb,"peter a. boncz , martin l. kersten , stefan manegold"
965,an extended entity-relationship model for geographic applications,sigmod record,"nectaria tryfona , thanasis hadzilacos"
966,optimizing result prefetching in web search engines with segmented indices,vldb,"shlomo moran , ronny lempel"
967,experiments on access to digital libraries : how can images and text be used together,vldb,michael lesk
968,reminiscences on influential papers,sigmod record,"james r. hamilton , limsoon wong , kenneth a. ross , laks v. s. lakshmanan"
969,ensuring consistency in multidatabases by preserving two-level serializability,acm trans . database syst .,sharad mehrotra
970,"object-relational database systems : principles , products , and challenges ( tutorial )",sigmod conference,"michael j. carey , anil nori , nelson mendonça mattos"
971,synchronization and recovery in a client-server storage system,vldb j.,"alexandros biliris , euthimios panagos"
972,applying update streams in a soft real-time database system,sigmod conference,"brad adelberg , hector garcia-molina , ben kao"
973,the ccube constraint object-oriented database system,sigmod conference,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen"
974,index research : forest or trees ? ( panel abstract ),sigmod conference,joseph m. hellerstein
975,nonstop sql : scalability and availability for decision support,sigmod conference,susanne englert
976,query processing techniques for arrays,vldb j.,"arunprasad p. marathe , kenneth salem"
977,the ecobase project : database and web technologies for environmental information systems,sigmod record,"asterio k. tanaka , patrick valduriez"
978,sap r/3 : a database application system ( tutorial ),sigmod conference,"alfons kemper , florian matthes , donald kossmann"
979,olympic records for data at the 1998 nagano games,sigmod conference,edwin r. lassettre
980,mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application,sigmod conference,"m. toiati , michele missikoff"
981,query processing for high-volume xml message brokering,vldb,"michael j. franklin , yanlei diao"
982,treasurer 's message,sigmod record,joachim hammer
983,chair 's message,sigmod record,m. tamer özsu
984,an almost-serial protocol for transaction execution in main-memory database systems,vldb,"stephen blott , henry f. korth"
985,mining frequent itemsets using support constraints,vldb,"jiawei han , ke wang , yu he"
986,interviso : dealing with the complexity of federated database access,vldb j.,"edward maros , darrel j. van buer , marjorie templeton , herbert henley"
987,open object database management systems,sigmod conference,josé a. blakeley
988,materialized views selection in a multidimensional database,vldb,"ernest teniente , elena baralis , stefano paraboschi"
989,on saying enough already ! in sql,sigmod conference,"donald kossmann , michael j. carey"
990,shoring up persistent applications,sigmod conference,"mark l. mcauliffe , c. k. tan , marvin h. solomon , nancy e. hall , michael j. zwilling , michael j. carey , michael j. franklin , seth j. white , jeffrey f. naughton , david j. dewitt , odysseas g. tsatalos , daniel t. schuh"
991,load shedding in a data stream manager,vldb,"michael stonebraker , nesime tatbul , mitch cherniack , stanley b. zdonik , ugur çetintemel"
992,optimizing queries on files,sigmod conference,"tova milo , mariano p. consens"
993,rainforest - a framework for fast decision tree construction of large datasets,vldb,"johannes gehrke , venkatesh ganti , raghu ramakrishnan"
994,probabilistic optimization of top n queries,vldb,"donko donjerkovic , raghu ramakrishnan"
995,bigsur : a system for the management of earth science data,vldb,"paul brown , michael stonebraker"
996,data management research at the mitre corporation,sigmod record,"arnon rosenthal , edward lafferty , leonard j. seligman , catherine d. mccollum , bhavani m. thuraisingham , barbara t. blaustein"
997,rrxf : redundancy reducing xml storage in relations,vldb,"carmem s. hara , susan b. davidson , yi chen , yifeng zheng"
998,psoup : a system for streaming queries over streaming data,vldb j.,"sirish chandrasekaran , michael j. franklin"
999,ontology-based support for digital government,vldb,"ahmed k. elmagarmid , athman bouguettaya , mourad ouzzani , brahim medjahed"
1000,monitoring xml data on the web,sigmod conference,"benjamin nguyen , serge abiteboul , gregory cobena , mihai preda"
1001,join queries with external text sources : execution and optimization techniques,sigmod conference,"umeshwar dayal , surajit chaudhuri , tak w. yan"
1002,neurorule : a connectionist approach to data mining,vldb,"hongjun lu , huan liu , rudy setiono"
1003,chair 's message,sigmod record,richard t. snodgrass
1004,editor 's notes,sigmod record,jennifer widom
1005,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,vldb,"michel schneider , jérôme darmont"
1006,the sdss skyserver : public access to the sloan digital sky server data,sigmod conference,"tanu malik , jordan raddick , alexander s. szalay , peter z. kunszt , jim gray , christopher stoughton , ani thakar , jan vandenberg"
1007,"panel : future directions of database research - the vldb broadening strategy , part 1",vldb,hans-jörg schek
1008,"gangam - a solution to support multiple data models , their mappings and maintenance",sigmod conference,"elke a. rundensteiner , gail mitchell , wang-chien lee , harumi a. kuno , xin zhang , hong su , kajal t. claypool"
1009,distance-based outliers : algorithms and applications,vldb j.,"v. tucakov , raymond t. ng , edwin m. knorr"
1010,spotfire : an information exploration environment,sigmod record,christopher ahlberg
1011,quality-driven integration of heterogenous information systems,vldb,"johann christoph freytag , felix naumann , ulf leser"
1012,"ambient intelligence with the ubiquitous network , the embedded computer devices and the hidden databases ( abstract )",vldb,egbert-jan sol
1013,spatial join selectivity using power laws,sigmod conference,"christos faloutsos , bernhard seeger , caetano traina jr. , agma j. m. traina"
1014,red brick warehouse : a read-mostly rdbms for open smp platforms,sigmod conference,phillip m. fernandez
1015,report on the 1995 international workshop on temporal databases,sigmod record,"arie segev , richard t. snodgrass , christian s. jensen"
1016,implementation aspects of an object-oriented dbms,sigmod record,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac"
1017,safe and efficient sharing of persistent objects in thor,sigmod conference,"atul adya , liuba shrira , miguel castro , robert gruber , andrew c. myers , barbara liskov , umesh maheshwari , sanjay ghemawat , mark day"
1018,the worlinfo assistant : spatio-temporal information integration on the web,vldb,"cyrus shahabi , mohammad r. kolahdouzan , craig a. knoblock , josé luis ambite , maria muslea , snehal thakkar"
1019,the software information base : a server for reuse,vldb j.,"panos constantopoulos , yannis vassiliou , matthias jarke , john mylopoulos"
1020,database research at arizona state university,sigmod record,"suzanne w. dietrich , forouzan golshani , susan darling urban"
1021,the algres testbed of chimera : an active object-oriented database system,sigmod conference,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali"
1022,editor 's notes,sigmod record,ling liu
1023,about quark digital media system,sigmod conference,kamar aulakh
1024,research perspectives for time series management systems,sigmod record,"duri schmidt , angelika kotz dittrich , werner dreyer"
1025,collaborative analytical processing - dream or reality ? ( panel abstract ),vldb,"goetz graefe , william o'connell , andrew witkowski"
1026,building hierarchical classifiers using class proximity,vldb,"shiang chen liew , senqiang zhou , ke wang"
1027,profiling and internet connectivity in automotive environments,vldb,"p. hasselmayer , mariano cilia , alejandro p. buchmann"
1028,tam : a system for dynamic transactional activity management,sigmod conference,"ling liu , calton pu , tong zhou"
1029,scalable techniques for mining causal structures,vldb,"sergey brin , craig silverstein , rajeev motwani , jeffrey d. ullman"
1030,caching multidimensional queries using chunks,sigmod conference,"karthikeyan ramasamy , prasad deshpande , amit shukla , jeffrey f. naughton"
1031,copy detection mechanisms for digital documents,sigmod conference,"hector garcia-molina , sergey brin , james davis"
1032,"ratio rules : a new paradigm for fast , quantifiable data mining",vldb,"yannis kotidis , christos faloutsos , flip korn , alexandros labrinidis"
1033,data page layouts for relational databases on deep memory hierarchies,vldb j.,"david j. dewitt , mark d. hill , anastassia ailamaki"
1034,optimizing multi-feature queries for image databases,vldb,"ulrich güntzer , werner kießling , wolf-tilo balke"
1035,trade press news,sigmod record,rafael alonso
1036,automatic generation of production rules for integrity maintenance,acm trans . database syst .,"letizia tanca , stefano ceri , piero fraternali , stefano paraboschi"
1037,efficient integration and aggregation of historical information,sigmod conference,"amr el abbadi , mirek riedewald , divyakant agrawal"
1038,transactional client-server cache consistency : alternatives and performance,acm trans . database syst .,"michael j. franklin , michael j. carey , miron livny"
1039,why and how to benchmark xml databases,sigmod record,"ralph busse , michael j. carey , daniela florescu , martin l. kersten , albrecht schmidt , florian waas , ioana manolescu"
1040,"fault-tolerant , load-balancing queries in telegraph",sigmod conference,"mehul a. shah , sirish chandrasekaran"
1041,size separation spatial join,sigmod conference,"kenneth c. sevcik , nick koudas"
1042,distributing a search tree among a growing number of processors,sigmod conference,"brigitte kröll , peter widmayer"
1043,mining quantitative association rules in large relational tables,sigmod conference,"ramakrishnan srikant , rakesh agrawal"
1044,communication efficient distributed mining of association rules,sigmod conference,"ran wolff , assaf schuster"
1045,database design with common sense business reasoning and learning,acm trans . database syst .,"debabrata dey , roger h. l. chiang , shankar sundaresan , robert c. goldstein , veda c. storey"
