paper_id,creator_names,conf_abbrev,article_title,publication_yr
356,"a kementsietsidis , m arenas , r miller",sigmod conference,mapping data in peer-to-peer systems : semantics and algorithmic issues,2003
357,"p bernstein , a halevy , r pottinger",sigmod record,a vision of management of complex models,2000
358,"e stolte , c praun , g alonso , t gross",sigmod conference,scientific data repositories : designing for a moving target,2003
359,,,chair 's message,2000
360,"a gupta , d suciu",sigmod conference,stream processing of xpath queries with predicates,2003
361,,,xml and information retrieval : a sigir 2000 workshop,2001
362,,,report on the fourth international conference on flexible query answering systems,2001
363,"f peng , s chawathe",sigmod conference,xpath queries on streaming data,2003
364,"j zhang , m zhu , d papadias , y tao , d lee",sigmod conference,location-based spatial queries,2003
365,"j melton , j michels , v josifovski , k kulkarni , p schwarz , k zeidenstein",sigmod record,sql and management of external data,2001
366,"r miller , m hernсndez , l haas , l yan , c ho , r fagin , l popa",sigmod record,the clio project : managing heterogeneity,2001
367,"s madden , m franklin , j hellerstein , w hong",sigmod conference,the design of an acquisitional query processor for sensor networks,2003
368,"j min , m park , c chung",sigmod conference,xpress : a queriable compression for xml data,2003
369,"e bertino , a elmagarmid , m hacid",sigmod record,quality of service in multimedia digital libraries,2001
370,"c qun , a lim , k ong",sigmod conference,d ( k ) - index : an adaptive structural summary for graph-structured data,2003
371,"l feng , m jeusfeld , j hoppenbrouwers",sigmod record,towards knowledge-based digital libraries,2001
372,c dyreson,sigmod conference,"temporal coalescing with now , granularity , and incomplete information",2003
373,,,reminiscences on influential papers,2001
374,,,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,2001
375,"y zhu , d shasha",sigmod conference,warping indexes with envelope transforms for query by humming,2003
376,,,chair 's message,2001
377,"s melnik , e rahm , p bernstein",sigmod conference,rondo : a programming platform for generic model management,2003
378,"j kang , j naughton",sigmod conference,on schema matching with opaque column names and data values,2003
379,c aggarwal,sigmod record,re-designing distance functions and distance-based applications for high dimensional data,2001
380,"b he , k chang",sigmod conference,statistical schema matching across web query interfaces,2003
381,"j lawder , p king",sigmod record,querying multi-dimensional data indexed using the hilbert space-filling curve,2001
382,"s cohen , y matias",sigmod conference,spectral bloom filters,2003
383,"c pu , k schwan , j walpole",sigmod record,infosphere project : system support for information flow applications,2001
384,"p bernstein , m brodie , s ceri , d dewitt , m franklin , h garcia-molina , j gray , g held , j hellerstein , h jagadish , m lesk , d maier , j naughton , h pirahesh , m stonebraker , j ullman",sigmod record,the asilomar report on database research,1998
385,"g luo , c ellmann , p haas , j naughton",sigmod conference,a scalable hash ripple join algorithm,2002
386,"h hacigќmќs , b iyer , c li , s mehrotra",sigmod conference,executing sql over encrypted data in the database-service-provider model,2002
387,"m christoffel , s pulkowski , b schmitt , p lockemann",sigmod record,electronic market : the roadmap for university libraries and members to survive in the information jungle,1998
388,"r kaushik , p bohannon , j naughton , h korth",sigmod conference,covering indexes for branching path queries,2002
389,"b meltzer , r glushko",sigmod record,xml and electronic commerce : enabling the network economy,1998
390,"c chung , j min , k shim",sigmod conference,apex : an adaptive path index for xml data,2002
391,"m bichler , a segev , j zhao",sigmod record,component-based e-commerce : assesment of current practices and future directions,1998
392,t grust,sigmod conference,accelerating xpath location steps,2002
393,m franklin,sigmod record,editor 's notes,1998
394,"v zadorozhny , l raschid , m vidal , t urhan , l bright",sigmod conference,efficient evaluation of queries in a mediator for websources,2002
395,"a eisenberg , j melton",sigmod record,"sqlj part 0 , now known as sql/olb ( object-language bindings )",1998
396,d ritter,sigmod record,the middleware muddle,1998
397,"c olston , j widom",sigmod conference,best-effort cache synchronization with source cooperation,2002
398,,,reminiscences on influential papers,1998
399,"s madden , m shah , j hellerstein , v raman",sigmod conference,continuously adaptive continuous queries over streams,2002
400,"p kalnis , w ng , b ooi , d papadias , k tan",sigmod conference,an adaptive peer-to-peer network for distributed caching of olap results,2002
401,"s boll , w klas , b battaglin",sigmod record,design and implementation of rmp - a virtual electronic market place,1998
402,"b reich , i ben-shaul",sigmod record,a componentized architecture for dynamic electronic markets,1998
403,"m riedewald , d agrawal , a abbadi",sigmod conference,efficient integration and aggregation of historical information,2002
404,"p buneman , s khanna , k tajima , w tan",sigmod conference,archiving scientific data,2002
405,"n jennings , t norman , p faratin",sigmod record,adept : an agent-based approach to business process management,1998
406,,,xquery : a query language for xml,2003
407,"a dogac , i durusoy , s arpinar , n tatbul , p koksal , i cingil , n dimililer",sigmod record,a workflow-based electronic marketplace on the web,1998
408,,,guest editor 's introduction,1998
409,"j gray , h schek , m stonebraker , j ullman",sigmod conference,the lowell report,2003
410,,,chair 's message,1998
411,"n koudas , d srivastava",sigmod conference,panel : querying networked databases,2003
412,"f korn , s muthukrishnan , y zhu",sigmod conference,ipsofacto : a visual correlation tool for aggregate network traffic data,2003
413,"j domingo-ferrer , j herrera-joancomartэ",sigmod record,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,1998
414,"a bќchner , m mulvenna",sigmod record,discovering internet marketing intelligence through online analytical web usage mining,1998
415,"v sengar , j haritsa",sigmod conference,plastic : reducing query optimization overheads through plan recycling,2003
416,"p bohannon , x dong , s ganguly , h korth , c li , p narayan , p shenoy",sigmod conference,rolex : relational on-line exchange with xml,2003
417,"a sheth , c bertram , k shah",sigmod record,videoanywhere : a system for searching and managing distributed video assets,1999
418,,,reminiscences on influential papers,1999
419,"y zhu , d shasha , x zhao",sigmod conference,query by humming - in action with its technology revealed,2003
420,"x zhang , k dimitrova , l wang , m el-sayed , b murphy , b pielech , m mulchandani , l ding , e rundensteiner",sigmod conference,rainbow : multi-xquery optimization using materialized xml views,2003
421,,,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),1999
422,"s paparizos , s al-khalifa , a chapman , h jagadish , l lakshmanan , a nierman , j patel , d srivastava , n wiwatwattana , y wu , c yu",sigmod conference,timber : a native system for querying xml,2003
423,"m roantree , j murphy , w hasselbring",sigmod record,the oasis multidatabase prototype,1999
424,"s cho , s amer-yahia , l lakshmanan , d srivastava",sigmod conference,lockx : a system for efficiently querying secure xml,2003
425,m franklin,sigmod record,editor 's notes,1998
426,s danish,sigmod record,building database-driven electronic catalogs,1998
427,"a zhou , q wang , z guo , x gong , s zheng , h wu , j xiao , k yue , w fan",sigmod conference,trex : dtd-conforming xml to xml transformations,2003
428,,,nsf workshop on industrial/academic cooperation in database systems,1999
429,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,irisnet : internet-scale resource-intensive sensor services,2003
430,"a eisenberg , j melton",sigmod record,"sql : 1999 , formerly known as sql 3",1999
431,"s chandrasekaran , o cooper , a deshpande , m franklin , j hellerstein , w hong , s krishnamurthy , s madden , f reiss , m shah",sigmod conference,telegraphcq : continuous dataflow processing,2003
432,d mackay,sigmod record,semantic integration of environmental models for application to global information systems and decision-making,1999
433,"s amer-yahia , m fernandez , d srivastava , y xu",sigmod conference,pix : exact and approximate phrase matching in xml,2003
434,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,stream : the stanford stream data manager,2003
435,"e forte , f haenni , k warkentyne , e duval , k cardinaels , e vervaet , k hendrikx , m forte , f simillion",sigmod record,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,1999
436,e hanson,sigmod record,statement from the treasurer,1999
437,"p larson , j goldstein , j zhou",sigmod conference,transparent mid-tier database caching in sql server,2003
438,"a ouksel , a sheth",sigmod record,semantic interoperability in global information systems : a brief introduction to the research area and the special section,1999
439,"e agichtein , l gravano",sigmod conference,qxtract : a building block for efficient information extraction from plain-text databases,2003
440,"b ooi , k tan , a zhou , c goh , y li , c liau , b ling , w ng , y shu , x wang , m zhang",sigmod conference,peerdb : peering into personal databases,2003
441,"s bergamaschi , s castano , m vincini",sigmod record,semantic integration of semistructured and structured data sources,1999
442,"d liu , m franklin , d parekh",sigmod conference,griddb : a database interface to the grid,2003
443,a gal,sigmod record,semantic interoperability in information services : experiencing with coopware,1999
444,"k smith , l obrst",sigmod record,unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,1999
445,"c zuzarte , h pirahesh , w ma , q cheng , l liu , k wong",sigmod conference,winmagic : subquery elimination using window aggregation,2003
446,"l lakshmanan , j pei , y zhao",sigmod conference,socqet : semantic olap with compressed cube and summarization,2003
447,a hampapur,sigmod record,semantic video indexing : approach and issue,1999
448,"d shasha , p bonnet",sigmod conference,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )",2002
449,"k sycara , m klusch , s widoff , j lu",sigmod record,dynamic service matchmaking among agents in open information environments,1999
450,"d shasha , p bonnet",sigmod conference,"database tuning : principles , experiments , and troubleshooting techniques ( part i )",2002
451,"m papazoglou , j hoppenbrouwers",sigmod record,contextualizing the information space in federated digital libraries,1999
452,"m souza , m sampaio",sigmod record,efficient materialization and use of views in data warehouses,1999
453,"s viglas , j naughton",sigmod conference,rate-based query optimization for streaming information sources,2002
454,,,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002",2002
455,"j fowler , b perry , m nodine , b bargmeyer",sigmod record,agent-based semantic interoperability in infosleuth,1999
456,"j kuan , p lewis",sigmod record,a study on data point search for hg-trees,1999
457,"a hinneburg , d keim , m wawryniuk",sigmod conference,hd-eye : visual clustering of high dimensional data,2002
458,"s ceri , p fraternali , s paraboschi",sigmod record,design principles for data-intensive web sites,1999
459,"j phan , r ng",sigmod conference,gea : a toolkit for gene expression analysis,2002
460,,,chair 's message,1999
461,p bonnet,sigmod conference,going public : open-source databases and database research,2002
462,w kim,,"message from editor-in-chief , acm transactions on database systems",1999
463,"j hellerstein , j widom",sigmod conference,data streams : fresh current or stagnant backwater ? ( panel ),2002
464,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,database research at the university of oklahoma,1999
465,"c cranor , y gao , t johnson , v shkapenyuk , o spatscheck",sigmod conference,gigascope : high performance network monitoring with an sql interface,2002
466,"r domenig , k dittrich",sigmod record,an overview and classification of mediated query systems,1999
467,"s madden , j hellerstein",sigmod conference,distributing queries over low-power wireless sensor networks,2002
468,"s agrawal , s chaudhuri , g das",sigmod conference,dbxplorer : enabling keyword search over relational databases,2002
469,,,chair 's message,1999
470,,,vice chair 's message,1999
471,"j han , j wang , g dong , j pei , k wang",sigmod conference,cubeexplorer : online exploration of data cubes,2002
472,"p karbhari , m rabinovich , z xiao , f douglis",sigmod conference,acdn : a content delivery network for applications,2002
473,"s yau , h leong , d mcleod , a si",sigmod record,on multi-resolution document transmission in mobile web,1999
474,"m altinel , q luo , s krishnamurthy , c mohan , h pirahesh , b lindsay , h woo , l brown",sigmod conference,dbcache : database caching for web application servers,2002
475,,,"towards adaptive workflow systems , cscw-98 workshop report",1999
476,"w fung , d sun , j gehrke",sigmod conference,cougar : the network is the database,2002
477,m franklin,sigmod record,editor 's notes,1999
478,"t wang , s tang , d yang , j gao , y wu , j pei",sigmod conference,"commix : towards effective web information extraction , integration and query answering",2002
479,,,reminiscences on influential papers,1999
480,"a dogac , y tambag , p pembecioglu , s pektas , g laleci , g kurt , s toprak , y kabak",sigmod conference,an ebxml infrastructure implementation through uddi registries and rosettanet pips,2002
481,,sigmod record,"the active database central , er2000 , vldb 2000 , wise 2000 , books , acm dl",1999
482,"p bumbulis , i bowman",sigmod conference,a compact b-tree,2002
483,m franklin,sigmod record,editor 's notes,1999
484,a weininger,sigmod conference,efficient execution of joins in a star schema,2002
485,"s conrad , w hasselbring , u hohenstein , r kutsche , m roantree , g saake , f saltor",sigmod record,engineering federated information systems : report of efis '99 workshop,1999
486,"a frank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,chorochronos : a research network for spatiotemporal database systems,1999
487,"j rao , c zhang , n megiddo , g lohman",sigmod conference,automating physical database design in a parallel database,2002
488,"j boulos , k ono",sigmod record,cost estimation of user-defined methods in object-relational database systems,1999
489,c aggarwal,sigmod conference,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",2002
490,"a rosenthal , e sciore",sigmod record,first-class views : a key to user-centered computing,1999
491,"y sismanis , a deligiannakis , n roussopoulos , y kotidis",sigmod conference,dwarf : shrinking the petacube,2002
492,"p ram , l do , p drew",sigmod record,distributed transactions in practice,1999
493,"s chaudhuri , a gupta , v narasayya",sigmod conference,compressing sql workloads,2002
494,"m papiani , j wason , a dunlop , d nicole",sigmod record,"a distributed scientific data archive using the web , xml and sql/med",1999
495,"s bhattacharya , c mohan , k brannon , i narang , h hsiao , m subramanian",sigmod conference,coordinating backup/recovery and data consistency between database and file systems,2002
496,,,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems,1999
497,"y moon , k whang , w han",sigmod conference,general match : a subsequence matching method in time-series databases based on generalized windows,2002
498,"h wang , w wang , j yang , p yu",sigmod conference,clustering by pattern similarity in large data sets,2002
499,"e hanson , l noronha",sigmod record,timer-driven database triggers and alerters : semantics and a challenge,1999
500,l libkin,sigmod record,"some remarks on variable independence , closure , and orthographic dimension in constraint databases",1999
501,"c procopiuc , m jones , p agarwal , t murali",sigmod conference,a monte carlo algorithm for fast projective clustering,2002
502,"n thaper , s guha , p indyk , n koudas",sigmod conference,dynamic multidimensional histograms,2002
503,l libkin,sigmod record,database principles column - introduction,1999
504,"n bruno , s chaudhuri",sigmod conference,exploiting statistics on query expressions for optimization,2002
505,s abiteboul,sigmod record,on views and xml,1999
506,p ramanan,sigmod conference,efficient algorithms for minimizing tree pattern queries,2002
507,,,reminiscences on influential papers,1999
508,"a vries , n mamoulis , n nes , m kersten",sigmod conference,efficient k-nn search on vertically decomposed data,2002
509,"r musick , t critchlow",sigmod record,practical lessons in supporting large-scale computational science,1999
510,"l gao , x wang",sigmod conference,continually evaluating similarity-based pattern queries on a streaming time series,2002
511,"a eisenberg , j melton",sigmod record,sqlj-part 1 : sql routines using the java programming language,1999
512,"a datta , k dutta , h thomas , d vandermeer , s suresha , k ramamritham",sigmod conference,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,2002
513,"j mchugh , j widom",sigmod record,integrating dynamically-fetched external information into a dbms for semistructured data,1997
514,"p atzeni , g mecca , p merialdo",sigmod record,semistructured und structured data in the web : going back and forth,1997
515,"a dobra , m garofalakis , j gehrke , r rastogi",sigmod conference,processing complex aggregate queries over data streams,2002
516,"s chen , p gibbons , t mowry , g valentin",sigmod conference,fractal prefetching bбtrees : optimizing both cache and disk performance,2002
517,,,intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases,1997
518,"j zhou , k ross",sigmod conference,implementing database operations using simd instructions,2002
519,"s nestorov , s abiteboul , r motwani",sigmod record,infering structure in semistructured data,1997
520,,,chair 's message,1997
521,"j freire , j haritsa , m ramanath , p roy , j simщon",sigmod conference,statix : making xml count,2002
522,"r nado , s huffman",sigmod record,extracting entity profiles from semistructured information spaces,1997
