item_id,final_price,item_cat,product_detail,producer
352,8.27,stationery & office machinery,aurora products elements eco-friendly round ring binder,
353,19.88,mice,logitech wireless mouse m315 silver,logitech
354,7.47,stationery & office machinery,avery 3 durable view binder with ez-turn ring black,avery
355,37.88,electronics - general,jwin mega bass pro headphones,jwin
356,20.84,printers,epson t008201 color ink cartridge for stylus color 780 870 875 dc 875dcs and 890,epson
357,65.84,electronics - general,actiontec modem for verizon dsl,actiontec
358,2.0,electronics - general,bic round stic ball pen blue 1-dozen 2-pack,
359,24.88,prepaid wireless phones,arkon bbbold112 deluxe non-skid weighted dashboard mount with safety hook for blackberry bold 9900,arkon
360,16.88,mp3 accessories,scosche fptag anti-glare screen protectors for ipod touch 2pk,scosche
361,9.24,electronics-inflexible kit,five star 3-subject college rule notebook 2 pack,
362,110.84,printers,xerox 108r00602 maintenance kit,xerox
363,26.99,mice,north carolina tar heels pro grip mouse,team pro mark
364,32.27,camera and camcorder accessories,sony portable handycam ac adaptor,sony
365,86.6,electronics - general,mustang 70 x 70 manual screen in matte white,mustang
366,39.98,usb drives,edge 16gb proshot 133x cf memory card,edge tech
367,624.25,electronics - general,draper matte white salara plug and play electric screen - ntsc 7 diagonal,draper
368,1505.95,electronics - general,draper high contrast grey access series e electric screen - av format 72 x 96,draper
369,2865.0,electronics - general,draper m2500 ultimate access series v electric screen - av format 70 x 70,draper
370,39.88,usb drives,eye-fi connect x2 4gb wireless sd memory card,eye-fi
371,39.99,electronics - general,midland gmrs radio action throat microphone headset,midland
372,119.98,hard drives,cms products v2abs-500 abs hard drive,cms products
373,43.0,electronics - general,antenna classic laptop sleeve in suede,antenna
374,0.0,stationery & office machinery,avery mailing seals 200ct white,avery
375,99.99,electronics - general,griffin technology roadtrip hands-free,griffin technology
376,89.0,hard drives,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive,toshiba
377,6.47,stationery & office machinery,avery table of contents legal dividers 1-25,avery
378,61.88,mp3 accessories,maxell 631012 blu-ray disc 15 pk,maxell
379,37.77,stationery & office machinery,casio tape cassettes for kl label makers 18mm x 26 2pk black on clear,casio
380,46.77,electronics - general,cables to go 2m vga video cable adapter,cables to go
381,22.94,stationery & office machinery,rediform money receipt book 300 sets book,
382,100.0,digital cameras,casio exilim ex-zs5 14.1 mp digital camera silver w 5x optical zoom 2.7 lcd display,casio
383,26.88,electronics - general,dicota padguard tablet pc case black,dicota
384,468.0,desktop computers,asus et1611put-b001e 15.6 windows 7 home premium,asus
385,19.88,electronics - general,philips pop color headset pink,philips
386,229.0,television,toshiba 19 ultra slim 19slv411u,toshiba
387,68.99,electronics - general,evga 1gb geforce gt 520 ddr3 graphics card,evga
388,369.99,stationery & office machinery,fellowes b-121c shredder,fellowes
389,59.84,photography - general,canon rechargeable battery nb-2lh,canon
390,52.88,usb drives,sandisk ultraii 8gb memory stick pro duo,sandisk
391,0.0,electronics - general,energizer max aaa 6pk,energizer
392,17.88,electronics - general,cyberpower trvl918 3-outlet travel surge protector,cyberpower
393,44.84,electronics - general,ergotron 47-092-800 100 series wall mount single pivot - 25 lb - gray,ergotron
394,136.94,stationery & office machinery,dymo by pelouze heavy-duty electronic utility scale,
395,27.54,stationery & office machinery,avery 8691 cd dvd and jewel case spine label,avery
396,19.88,stationery & office machinery,epson s041062 presentation paper,epson
397,122.98,hard drives,iomega 2tb ego desktop usb 2.0 portable hard drive - midnight blue,iomega
398,51.79,stationery & office machinery,pendaflex two-ply dark kraft file folders top tab brown 100 box,
399,38.84,electronics - general,motorola h17 bluetooth headset,motorola
400,4115.5,electronics - general,draper m1300 signature series v electric screen - ntsc 200 diagonal,draper
401,1006.45,electronics - general,draper glass beaded access series m manual screen - 162 diagonal widescreen format,draper
402,1303.99,electronics - general,draper hidef grey shadowbox clarion fixed frame screen - 133 diagonal hdtv format,draper
403,6797.5,electronics - general,draper diamondscreen rear projection screen with no frame - 96 diagonal ntsc format,draper
404,32.99,electronics - general,middle atlantic iec power cords 4 pieces,middle atlantic
405,19.99,electronics - general,case logic 11.6 hard shell netbook sleeve,case logic
406,104.99,electronics - general,skb cases caster kit,skb cases
407,5.56,electronics - general,bic velocity 0.9 mm mechanical pencil 4 ct. 2-pack,
408,27.97,house wares,san jamar foam cup dispenser,
409,0.0,software,system suite 11 professional pc,avanquest
410,6.88,electronics - general,v7 25 cat5e network patch cable red,v7
411,64.98,hard drives,hitachi 500gb touro mobile usb 2.0 hard drive,hitachi
412,29.99,electronics - general,ooma bluetooth adapter,ooma
413,25.94,stationery & office machinery,national brand texhide accounting book black burgundy 10 3 8 x 8 3 8,national products ltd.
414,79.0,dvd players,sony bdp-s360 1080p blu-ray disc player - refurbished,sony
415,419.0,stationery & office machinery,quartet magnetic dry-erase board mahogany frame,quartet
416,12.0,electronics - general,belkin conserve socket power timer,belkin
417,2931.99,electronics - general,da-lite da-plex standard rear projection screen - 60 x 80 video format,da-lite
418,222.99,electronics - general,da-lite matte white designer model b with fabric case in frost gray - 84 x 84 av format,da-lite
419,98.92,hard drives,western digital 1tb my passport essential se usb 3.0 portable external hard drive,western digital
420,229.0,dvd players,iluv 8.9 portable multimedia player for ipod and dvds,iluv
421,24.94,stationery & office machinery,pendaflex 2 reinforced hanging file folder standard green 25 box,
422,26.88,electronics - general,sabrent 3.5 usb 3.0 sata hdd enclosure,sabrent
423,9.43,electronics - general,grip 43096 10 piece 12 inch x 1 4 inch heat shrink tubes,grip
424,146.25,electronics - general,cooler master storm sniper edition black,coolermaster
425,418.0,desktop computers,lenovo black thinkcentre a70 desktop pc with intel e5800 processor 320gb hard drive monitor not included and windows 7 professional,lenovo
426,42.88,electronics - general,ilive iphone alarm clock speaker,ilive
427,150.0,fishing and boating,cobra marine radio with rewind-say-again,cobra
428,19.97,printers,hp 27 black inkjet cartridge c8727an,hp
429,199.0,computers,western digital 2tb my book studio edition ii external hard drive,western digital
430,111.99,electronics - general,mobile edge 16pc 17mac premium leather v-load,mobile edge
431,23.88,portable audio,gpx iphone travel speaker,gpx
432,73.54,ipod,apple ipod shuffle 4gb pink 4th gen,apple
433,25.0,electronics - general,apc professional surgearrest 8 outlet 2 pairs phone line protection 120v,apc
434,18.88,networking,startech.com svusb2n1-10 10 ft 2-in-1 universal usb kvm cable,startech
435,49.88,stationery & office machinery,epson s041289 photographic papers,epson
436,70.88,electronics - general,sparkle power spi3001uh-b204 spi3001uh atx12v power supply,sparkle power
437,41.89,furniture,atlantic drawbridge multimedia storage unit black wood,atlantic
438,34.84,electronics - general,siig soundwave 7.1 channel pci sound card,siig
439,4.53,electronics - general,bic ultra round stic grip ball pen blue 1-dozen 3-pack,
440,446.15,electronics - general,draper matte white baronet electric screen - ntsc 7 diagonal,draper
441,1441.0,electronics - general,draper glass beaded envoy electric screen - ntsc 11 diagonal,draper
442,1534.5,electronics - general,draper m1300 premier electric screen - av format 84 x 84,draper
443,2332.95,electronics - general,draper glass beaded signature series e electric screen - ntsc 11 diagonal,draper
444,349.88,electronics - general,draper high contrast grey luma 2 manual screen - 60 x 60 av format,draper
445,985.99,electronics - general,draper m2500 shadowbox clarion fixed frame screen - 10 diagonal ntsc format,draper
446,78.0,software,namo webeditor professional,namo
447,29.99,tv accessories,ematic articulating wall mount kit for 15 tv includes 6ft hdmi cable cleaning solution cleaning cloth emw3202,ematic
448,84.0,tv accessories,ematic full-motion wall mount kit for 37 tv with 6ft hdmi cable 15ft hdmi cable cleaning solution cleaning cloth emw5001,ematic
449,15.29,stationery & office machinery,bic triumph 537r needle point roller pen 0.5 mm black 1-dozen,bic
450,11.88,stationery & office machinery,bic velocity mechanical pencil 0.5 mm black 1-dozen,bic
451,6.54,stationery & office machinery,bic clic stic retractable ball pen medium black 1-dozen,bic
452,4.54,stationery & office machinery,quartet rewritables dry erase mini-markers fine point 6 assorted colors,quartet
453,28.5,mp3 accessories,incipio ak-334 kaddy nylon folio for amazon kindle 3 black,incipio
454,19.0,mp3 accessories,incipio cl-470 ipad screen protector 2pk clear,incipio
455,18.99,mice,wanderlei silva mouse pad,wincraft
456,19.88,mp3 accessories,dreamgear charge and sync cable for ipod iphone ipad purple,dreamgear
457,338.0,laptop computers,asus black 10.1 eee seashell 1015px-pu17-bk netbook pc with intel atom dual-core n570 processor and windows 7 starter,asus
458,6.88,electronics - general,v7 25 cat5e snagless network patch cable yellow,v7
459,5.0,stationery & office machinery,pentel quicker clicker automatic pencil,pentel
460,22.0,electronics - general,aleratec inc. 2.5 ide hard drive adapter 2pk .,aleratec
461,21.94,stationery & office machinery,expo low-odor dry erase marker eraser cleaner chisel fine 12 set,expo
462,657.99,electronics - general,da-lite video spectra 1.5 model c with csr manual screen - 69 x 92 video format,da-lite
463,14.57,electronics - general,startech 1 dvi-i analog to 2x vga video splitter cable,startech
464,179.0,television,viore 24 class 1080p lcd hdtv 60hz - choose your color,viore
465,69.98,hard drives,verbatim store n go superspeed usb 3.0 portable hard drive 500gb,verbatim
466,2500.99,electronics - general,da-lite pearlescent tensioned cosmopolitan electrol - av format 9 x 9 diagonal,da-lite
467,30.59,storage,universal quick set-up lift-off lid box ltr lgl fiberboard 12 x 10 x 15 blk we 12 ctn,universal products
468,25.0,electronics - general,diaper dude eco green ipad case,diaper dude
469,155.88,camcorders,midland xtc200 hd 720p extreme action camera,midland
470,14.84,networking,iogear gbu421w6 bluetooth usb micro adapter,iogear
471,103.35,toys - games,hello kitty super karaoke with camera,sakar
472,69.88,mp3 accessories,targus truss case for ipad black blue,targus
473,83.88,dvd players,gpx 7 tft portable dvd player,gpx
474,46.88,usb drives,duracell 16gb class 10 high-speed sd card,duracell
475,740.84,fish finder,lowrance elite-5 dsi fishfinder base,lowrance
476,40.84,mice,razer pro click mobile notebook mouse pink,razer
477,799.0,electronics - general,epson b11b181061 gt-2500 plus sheetfed scanner,epson
478,24.0,portable audio,disney toy story alarm clock radio,disney
479,9.88,electronics - general,treque 1 meter 3.28 element series usb 2.0 a to mini b cable,treque
480,12.0,tv accessories,belkin f8v3311b10 hdmi cable,belkin
481,55.92,mp3 accessories,imation 11864 slr-5 data cartridge,imation
482,139.82,memory,edge 8gb 4x2gb pc38500 ecc unbuffered 240 pin ddr3 kit apple,edge
483,159.0,hard drives,micronet mde1000 1tb fantom g-force megadisk usb 2.0 esata raid sub system,micronet
484,6.88,networking,link depot 3 gold plated high speed hdmi premium cable,link depot
485,9.84,usb drives,tony hawk birdhouse royale skatedrive 2gb usb flash drive w xbox live support,ep memory
486,1474.45,electronics - general,draper glass beaded rolleramic electric screen - av format 7 x 9,draper
487,2077.45,electronics - general,draper glass beaded access multiview series e - hdtv to ntsc 133 diagonal,draper
488,3518.45,electronics - general,draper matte white signature series e electric screen - widescreen 190 diagonal,draper
489,104.76,electronics - general,draper matte white star manual screen - 84 x 84 av format,draper
490,17.49,electronics - general,coby pink high-performance isolation stereo earphones cvem79pnk,coby
491,41.88,car stereos,pioneer adtva133 2-din installation kit,pioneer
492,67.88,electronics - general,corsair builder series cx v2 500w 80 plus certified power supply,corsair
493,20.94,stationery & office machinery,cross contour ballpoint pen satin barrel medium point,cross
494,19.97,stationery & office machinery,3m address labels 3700-c,3m
495,214.88,printers,lexmark extra high yield return pgm print cartridge - magenta,lexmark
496,9.59,mp3 accessories,case logic universal pocket - camouflage,case logic
497,549.0,storage,hon 310 series full-suspension file,hon
498,49.84,prepaid wireless phones,t-mobile samsung sgh-t249 prepaid slider camera phone with bluetooth,t-mobile
499,39.99,electronics - general,targus 16 unofficial laptop backpack,targus
500,17.03,stereos/audio,cobra highgear noise-canceling external speaker,cobra
501,12.88,usb drives,edge tech 512mb proshot 100x compact flash memory card,edge tech
502,47.92,electronics - general,startech pci express to pci riser card,startech
503,274.36,digital cameras,nikon coolpix l120 14.1 mp bronze digital camera 4.5-94 .5 mm zoom nikkor lens 3.0 lcd display hd video w 50 bonus prints,nikon
504,199.99,camera and camcorder accessories,sony alpha sal-30m28 macro lens dt30mm f2 .8 with sam,sony
505,13.88,photography - general,kodak essentials large hard camera case,kodak
506,688.0,electronics : flat panel tv,panasonic 46 class plasma 1080p 600hz hdtv tc-p46s1,panasonic
507,16.0,electronics - general,case logic 10 tablet sleeve black,case logic
508,29.94,stationery & office machinery,smead 10pk 100 percent recycled wallet blue moon,
509,129.0,digital cameras,panasonic lumix dmc-fh5v 16.1 mp violet digital camera w 4x optical zoom 2.7 lcd display,panasonic
