doc_id,doc_authors,pub_forum,study_title
1833,guido moerkotte,vldb,small materialized aggregates : a light weight index structure for data warehousing
1834,"kyu-young whang , gio wiederhold , sang-wook kim",vldb j.,dynamic maintenance of data distribution for selectivity estimation
1835,"jeffrey scott vitter , yossi matias , min wang",sigmod conference,wavelet-based histograms for selectivity estimation
1836,sunita sarawagi,vldb,automation in information extraction and data integration
1837,"donald r. slutz , jim gray , tom barclay",sigmod conference,terraserver : a spatial data warehouse
1838,angelo pruscino,sigmod conference,oracle rac : architecture and performance
1839,"ravishankar subramanya , christos faloutsos , yoshiharu ishikawa",vldb,mindreader : querying databases through multiple examples
1840,"rajeev rastogi , pascal felber , chee yong chan , wenfei fan , minos n. garofalakis",vldb,tree pattern aggregation for scalable xml data dissemination
1841,anant jhingran,sigmod conference,anatomy of a real e-commerce system
1842,"tolga urhan , michael j. franklin",vldb,dynamic pipeline scheduling for improving interactive query performance
1843,"veda c. storey , terence m. barron , debabrata dey",acm trans . database syst .,improving database design through the analysis of relationships
1844,ugur çetintemel,sigmod record,on the academic interview circuit : an end-to-end discussion
1845,"yunyue zhu , dennis shasha",vldb,statstream : statistical monitoring of thousands of data streams in real time
1846,michael l. brodie,vldb,"panel : future directions of database research - the vldb broadening strategy , part 2"
1847,"philip s. yu , wei-guang teng , ming-syan chen",vldb,a regression-based temporal pattern mining scheme for data streams
1848,paul w. p. j. grefen,sigmod record,what will be - book review
1849,"laks v. s. lakshmanan , stelios paparizos , nuwee wiwatwattana , cong yu , jignesh m. patel , h. v. jagadish , andrew nierman , divesh srivastava , adriane chapman , yuqing wu , shurug al-khalifa",sigmod conference,timber : a native system for querying xml
1850,"raymond t. ng , jiawei han",vldb,efficient and effective clustering methods for spatial data mining
1851,"prakash sundaresan , jim gray , robert barnes , tom barclay",sigmod record,loading databases using dataflow parallelism
1852,"athman bouguettaya , steven milliner , mike p. papazoglou",vldb,a scalable architecture for autonomous heterogeneous database interactions
1853,"michael kifer , pinar senkul , ismail h. toroslu",vldb,a logical framework for scheduling workflows under resource allocation constraints
1854,"jano moreira de souza , geraldo zimbrao",vldb,a raster approximation for processing of spatial joins
1855,"weiyi meng , clement t. yu , king-lup liu , wensheng wu",sigmod conference,efficient and effective metasearch for text databases incorporating linkages among documents
1856,"swarup acharya , stanley b. zdonik , michael j. franklin",sigmod conference,balancing push and pull for data broadcast
1857,"giedrius slivinskas , richard t. snodgrass , christian s. jensen",sigmod record,bringing order to query optimization
1858,umang gupta,vldb,the changing landscape of the software industry and its implications for india
1859,"masahisa tamura , masaru kitsuregawa",vldb,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems
1860,"craig s. freedman , david j. dewitt",sigmod conference,the spiffi scalable video-on-demand system
1861,"ibrahim kamel , christos faloutsos",vldb,hilbert r-tree : an improved r-tree using fractals
1862,"ioana ursu , donald kossmann , laura m. haas",vldb,loading a cache with query results
1863,"lynn o. wilson , peter g. selfridge , divesh srivastava",sigmod conference,idea : interactive data exploration and analysis
1864,"haifeng jiang , hongjun lu , wei wang , jeffrey xu yu",sigmod conference,containment join size estimation : models and methods
1865,"sandeepan banerjee , ravi murthy",vldb,xml schemas in oracle xml db
1866,daniel a. keim,sigmod conference,databases and visualization
1867,"jin jing , tetsuya furukawa , ahmed k. elmagarmid",sigmod record,wireless client/server computing for personal information services and applications
1868,"marcelo arenas , vasiliki kantere , renée j. miller , anastasios kementsietsidis , john mylopoulos , iluju kiringa",sigmod record,the hyperion project : from data integration to data coordination
1869,"philip bohannon , rajeev rastogi , peter mcilroy",sigmod conference,main-memory index structures with fixed-size partial keys
1870,"werner dreyer , angelika kotz dittrich , duri schmidt",sigmod conference,using the calanda time series management system
1871,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith",sigmod conference,spire : a progressive content-based spatial image retrieval engine
1872,"betty salzberg , david b. lomet , georgios evangelidis",vldb j.,"the hb-pi-tree : a multi-attribute index supporting concurrency , recovery and node consolidation"
1873,?,vldb j.,"title , foreword"
1874,"laks v. s. lakshmanan , alex pang , raymond t. ng , jiawei han",sigmod conference,optimization of constrained frequent set queries with 2-variable constraints
1875,alon y. halevy,sigmod record,learning about data integration challenges from day one
1876,"yunyue zhu , s. muthukrishnan , flip korn",sigmod conference,ipsofacto : a visual correlation tool for aggregate network traffic data
1877,"jason tsong-li wang , george jyh-shian chang , dennis shasha , girish patel , kaizhong zhang , liam relihan",sigmod conference,structural matching and discovery in document databases
1878,"chun xu , eric n. hanson , roxana dastur , i.-cheng chen , vijay ramaswamy , wendy tan , kurt engel",vldb j.,a flexible and recoverable client/server database event notification system
1879,"kaushik chakrabarti , sharad mehrotra , eamonn j. keogh , michael j. pazzani",sigmod conference,locally adaptive dimensionality reduction for indexing large time series databases
1880,"jussi myllymaki , shilpa lawande , donko donjerkovic , raghu ramakrishnan , guangshun chen , kevin s. beyer , miron livny , r. kent wenger",sigmod conference,devise : integrated querying and visual exploration of large datasets ( demo abstract )
1881,"chris clifton , yücel saygin , vassilios s. verykios",sigmod record,using unknowns to prevent discovery of association rules
1882,david ritter,sigmod record,the middleware muddle
1883,"elke a. rundensteiner , song wang , li chen",sigmod conference,xcache : a semantic caching system for xml queries
1884,michael a. olson,sigmod conference,cover your assets
1885,"shunsuke uemura , masatoshi yoshikawa , yasushi sakurai , haruhiko kojima",vldb j.,spatial indexing of high-dimensional data based on relative approximation
1886,"marvin h. solomon , michael j. carey , mark l. mcauliffe",sigmod conference,towards effective and efficient free space management
1887,"johannes gehrke , abhinandan das , mirek riedewald",sigmod conference,approximate join processing over data streams
1888,?,vldb j.,"title , announcement"
1889,"stephen blott , roger weber , hans-jörg schek",vldb,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces
1890,radek vingralek,vldb,"gnatdb : a small-footprint , secure database system"
1891,"kevin s. beyer , raghu ramakrishnan",sigmod conference,bottom-up computation of sparse and iceberg cubes
1892,"zhiyuan chen , flip korn , johannes gehrke",sigmod conference,query optimization in compressed database systems
1893,richard t. snodgrass,sigmod record,"rights of tods readers , authors and reviewers"
1894,"giuseppe de giacomo , moshe y. vardi , maurizio lenzerini , diego calvanese",sigmod record,reasoning on regular path queries
1895,"john r. smith , yuan-chi chang , chung-sheng li , jeffrey scott vitter , apostol natsev",vldb,supporting incremental join queries on ranked inputs
1896,"laks v. s. lakshmanan , divesh srivastava , h. v. jagadish",sigmod conference,snakes and sandwiches : optimal clustering strategies for a data warehouse
1897,christoph bussler,sigmod conference,semantic b2b integration
1898,"dinkar sitaram , asit dan",sigmod conference,an online video placement policy based on bandwith to space ratio ( bsr )
1899,karl aberer,sigmod record,book review column
1900,"michael h. böhlen , christian s. jensen , michalis vazirgiannis , nikos a. lorentzos , markus schneider , ralf hartmut güting , martin erwig",acm trans . database syst .,a foundation for representing and quering moving objects
1901,"jiawei han , nebojsa stefanovic , krzysztof koperski",sigmod conference,geominer : a system prototype for spatial data mining
1902,"leonard j. seligman , arnon rosenthal",vldb,data integration in the large : the challenge of reuse
1903,"jing an , mong-li lee , daofeng luo , xiaofeng meng",vldb,orientstore : a schema based native xml storage system
1904,"flip korn , s. muthukrishnan , divesh srivastava",vldb,reverse nearest neighbor aggregates over data streams
1905,arie segev,sigmod record,editor 's notes
1906,"yasushi sakurai , shunsuke uemura , masatoshi yoshikawa , ryoji kataoka",vldb,similarity search for adaptive ellipsoid queries using spatial transformation
1907,"tak w. yan , hector garcia-molina",acm trans . database syst .,index structures for selective dissemination of information under the boolean model
1908,thomas maguire,sigmod conference,catalog management in websphere commerce suite
1909,"chris olston , brian babcock",sigmod conference,distributed top-k monitoring
1910,"ashish gupta , inderpal singh mumick , kenneth a. ross",sigmod conference,adapting materialized views after redefinitions
1911,"mario a. nascimento , jörg sander , jeffrey pound",sigmod record,analysis of sigmod 's co-authorship graph
1912,"kajal t. claypool , elke a. rundensteiner , hong su , keiji oenoki , li chen",sigmod conference,serfing the web : web site management made easy
1913,?,vldb j.,"title , foreword"
1914,"jan van den bussche , surajit chaudhuri , moshe y. vardi , kenneth a. ross , gösta grahne , h. v. jagadish",sigmod record,reminiscences on influential papers
1915,"sunil prabhakar , radu sion , mikhail j. atallah",sigmod conference,rights protection for relational data
1916,"brad adelberg , matthew denny",sigmod conference,nodose version 2.0
1917,"umeshwar dayal , mehmet sayal , ming-chien shan , fabio casati",vldb,business process cockpit
1918,"roger s. barga , calton pu",vldb,a practical and modular implementation of extended transaction models
1919,"claudio petrone , marco mesiti , munir cochinwala , patrizia santa , chung-min chen , sunil samtani , marc pucci",sigmod conference,internet traffic warehouse
1920,"mary f. fernandez , dan suciu , atsuyuki morishima",sigmod conference,efficient evaluation of xml middle-ware queries
1921,"m. tamer özsu , shu lin , raymond t. ng , vincent oria",vldb,an extendible hash for multi-precision similarity querying of image databases
1922,"junghoo cho , hector garcia-molina",acm trans . database syst .,effective page refresh policies for web crawlers
1923,"julian kupiec , jan o. pedersen , lynn wilcox , marti a. hearst , francine chen",sigmod record,metadata for mixed-media access
1924,"kenneth c. sevcik , nick koudas",vldb,filter trees for managing spatial data over a range of size granularities
1925,?,sigmod record,"the active database central , er2000 , vldb 2000 , wise 2000 , books , acm dl"
1926,"yossi matias , jeffrey scott vitter , min wang",vldb,dynamic maintenance of wavelet-based histograms
1927,"wei fan , sanghyun park , philip s. yu , haixun wang",sigmod conference,vist : a dynamic index method for querying xml data by tree structures
1928,"jen-yao chung , asit dan , philip s. yu",vldb j.,characterization of database access pattern for analytic prediction of buffer hit probability
1929,"renée j. miller , c. t. howard ho , lucian popa , ling-ling yan , ronald fagin , mauricio a. hernández , laura m. haas",sigmod record,the clio project : managing heterogeneity
1930,"hector garcia-molina , luis gravano",vldb,merging ranks from heterogeneous internet sources
1931,"hector garcia-molina , sudarshan s. chawathe",sigmod conference,meaningful change detection in structured data
1932,"minos n. garofalakis , johannes gehrke",vldb,querying and mining data streams : you only get one look
1933,"daniela florescu , dan suciu , alon y. levy",vldb,is web-site management a database problem ?
1934,eva kühn,vldb,the zero-delay data warehouse : mobilizing heterogeneous databases
1935,"paul w. p. j. grefen , heiko ludwig",sigmod record,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga
1936,"anh-tuan tran , chuck freiwald , aravind yalamanchi , samuel defazio , souripriya das , ramkumar krishnan , jagannathan srinivasan , mahesh jagannath , eugene inseok chong , jayanta banerjee",vldb,oracle8i index-organized table and its application to new domains
1937,"peter m. g. apers , hennie j. steenhagen , henk m. blanken , rolf a. de by",vldb,from nested-loop to join queries in oodb
1938,"jérôme siméon , vassilis christophides , sophie cluet",sigmod conference,on wrapping query languages and efficient xml integration
1939,"peter sawyer , awais rashid",sigmod record,object database evolution using separation of concerns
1940,harald schöning,vldb,commercial use of database technology
1941,"gottfried vossen , richard mcclatchey",sigmod record,workshop on workflow management in scientific and engineering applications - report
1942,"henry f. korth , gregory d. speegle",acm trans . database syst .,formal aspects of concurrency control in long-duration transaction systems using the nt/pv model
1943,"björn þór jónsson , divesh srivastava , michael j. franklin",sigmod conference,interaction of query evaluation and buffer management for information retrieval
1944,"luis gravano , surajit chaudhuri",vldb,evaluating top-k selection queries
1945,"dieter fensel , alexander maedche , christoph bussler",sigmod record,a conceptual architecture for semantic web enabled web services
1946,?,vldb j.,"title , preface to the special issue on persistent object systems"
1947,"christian böhm , hans-peter kriegel , stefan berchtold",sigmod conference,the pyramid-technique : towards breaking the curse of dimensionality
1948,"german shegalov , gerhard weikum , wolfgang wonner , michael gillmann , jeanine weißenfels",sigmod conference,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite
1949,"lipyeow lim , ronald parr , jeffrey scott vitter , sriram padmanabhan , min wang",vldb,xpathlearner : an on-line self-tuning markov histogram for xml path selectivity estimation
1950,"sunita sarawagi , ashish gupta , rakesh agrawal , prasad deshpande , jeffrey f. naughton , sameet agarwal , raghu ramakrishnan",vldb,on the computation of multidimensional aggregates
1951,"holger meinecke , uwe heinkel , ralf rantzau , carmen constantinescu",vldb,champagne : data change propagation for heterogeneous information systems
1952,"pradeep shenoy , xin dong , henry f. korth , philip bohannon , p. p. s. narayan , chengkai li , sumit ganguly",sigmod conference,rolex : relational on-line exchange with xml
1953,"arvind hulgeri , s. sudarshan",vldb,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions
1954,"thomas stöhr , erhard rahm",vldb,warlock : a data allocation tool for parallel warehouses
1955,michael j. franklin,sigmod record,editor 's notes
1956,"ramakrishnan srikant , balakrishna r. iyer , christos faloutsos , arun n. swami , h. miranda , sakti p. ghosh , a. mahboob , maurice a. w. houtsma , michael j. carey , tomasz imielinski , rakesh agrawal",sigmod conference,quest : a project on database mining
1957,"sangyong hwang , kihong kim , sang kyun cha , keunjoo kwon",vldb,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems
1958,"laura m. haas , renée j. miller , mauricio a. hernández",sigmod conference,clio : a semi-automatic tool for schema mapping
1959,"bruce hillyer , abraham silberschatz",sigmod conference,random i/o scheduling in online tertiary storage systems
1960,"carl medsker , margaret christensen , il-yeol song",sigmod record,a comparison of three user interfaces to relational microcomputer data bases
1961,"dan cosley , steve lawrence , david m. pennock",vldb,referee : an open framework for practical testing of recommender systems using researchindex
1962,"dennis shasha , radu preotiuc-pietro , joão pereira , kenneth a. ross , françois llirbat , françoise fabret",vldb,publish/subscribe on the web at extreme speed
1963,"georg gottlob , christoph koch , reinhard pichler",sigmod record,xpath processing in a nutshell
1964,"klaus r. dittrich , stella gatziu , andreas geppert",sigmod conference,the samos active dbms prototype
1965,"nick bassiliades , ioannis p. vlahavas",vldb,a non-uniform data fragmentation strategy for parallel main-menory database systems
1966,adam bosworth,sigmod conference,the future of web services - i
1967,"k. selçuk candan , yoshinori hara , kyoji hirata , wen-syan li",vldb j.,supporting efficient multimedia database exploration
1968,"mary f. fernandez , peter buneman , dan suciu",vldb j.,unql : a query language and algebra for semistructured data based on structural recursion
1969,"holger märtens , erhard rahm , thomas stöhr",vldb,multi-dimensional database allocation for parallel data warehouses
1970,"arne koschel , ralf kramer , ralf nikolai , peter c. lockemann , mechtild wallrath , ulrike kölsch , hans-dirk walter",vldb,"the network as a global database : challenges of interoperability , proactivity , interactiveness , legacy"
1971,"amir netz , surajit chaudhuri , jeff bernhardt , usama m. fayyad",vldb,integration of data mining with database technology
1972,sergio greco,vldb,binding propagation in disjunctive databases
1973,"stéphane grumbach , philippe rigaux , luc segoufin",vldb,manipulating interpolated data is easier than you thought
1974,"yu yin , raymond t. ng , alan s. wagner",sigmod conference,iceberg-cube computation with pc clusters
1975,"hector garcia-molina , wilburt labio , yingwei cui , jennifer widom , jun yang",vldb,performance issues in incremental warehouse maintenance
1976,richard t. snodgrass,sigmod record,chair 's message
1977,oliver günther,sigmod record,environment information systems - guest editor 's foreword
1978,"calton pu , jonathan walpole , karsten schwan",sigmod record,infosphere project : system support for information flow applications
1979,"ji-rong wen , qing li , wei-ying ma , hongjiang zhang",sigmod record,a multi-paradigm querying approach for a generic multimedia database management system
1980,"jennifer widom , jason mchugh",sigmod record,integrating dynamically-fetched external information into a dbms for semistructured data
1981,"peter scheuermann , radek vingralek , junho shim",vldb,watchman : a data warehouse intelligent cache manager
1982,"kaushik dutta , debra e. vandermeer , krithi ramamritham , anindya datta , shamkant b. navathe",vldb j.,an architecture to support scalable online personalization on the web
1983,"stefano ceri , stefano paraboschi , angela bonifati",vldb j.,active rules for xml : a new paradigm for e-services
1984,leonard gallagher,sigmod record,influencing database language standards
1985,keishi tajima,sigmod conference,static detection of security flaws in object-oriented databases
1986,"philip s. yu , kun-lung wu",sigmod record,report on second international workshop on advanced issues of e-commerce and web-based information systems
1987,"jef wijsen , toon calders , raymond t. ng",acm trans . database syst .,searching for dependencies at multiple abstraction levels
1988,"anand deshpande , shridhar shukla",sigmod conference,tutorial : ldap directory services - just another database application ?
1989,h. v. jagadish,sigmod conference,databases for networks
1990,"k. ong , christine tomlinson , darrell woelk , c. unnikrishnan , william bohrer , nigel jacobs",sigmod conference,carnot and infosleuth : database technology and the world wide web
1991,"benjamin nguyen , iraklis varlamis , maria halkidi , michalis vazirgiannis",vldb j.,thesus : organizing web document collections based on link semantics
1992,david b. lomet,sigmod record,b-tree page size when caching is considered
1993,"venky harinarayan , dallan quass , ashish gupta",vldb,aggregate-query processing in data warehousing environments
1994,"luis gravano , hector garcia-molina",vldb,generalizing gloss to vector-space databases and broker hierarchies
1995,vernon hoffner,sigmod record,fundamentals of data warehouses : 2nd revised and extended edition
1996,"jennifer widom , mayur datar , shivnath babu , justin rosenstein , itaru nishizawa , arvind arasu , keith ito , brian babcock",sigmod conference,stream : the stanford stream data manager
1997,chaitanya k. baru,vldb,performance of future database systems : bottlenecks and bonananzas
1998,"weipeng p. yan , per-åke larson",vldb,eager aggregation and lazy aggregation
1999,"veda c. storey , yair wand , ron weber",acm trans . database syst .,an ontological analysis of the relationship construct in conceptual modeling
2000,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",vldb,retrieval of composite multimedia objects
2001,"helen m. thomas , krithi ramamritham , anindya datta",vldb,curio : a novel solution for efficient storage and indexing in data warehouses
2002,"mary tork roth , laura m. haas , fatma ozcan",vldb,cost models do matter : providing cost information for diverse data sources in a federated system
2003,"philip a. bernstein , david shutt , shankar pal",vldb,context-based prefetch for implementing objects on relations
2004,bill rosneblatt,sigmod record,unix rdbms : the next generation
2005,sunil choenni,vldb,design and implementation of a genetic-based algorithm for data mining
2006,"stanley m. t. yau , antonio si , dennis mcleod , hong va leong",sigmod record,on multi-resolution document transmission in mobile web
2007,"davood rafiei , alberto o. mendelzon",vldb j.,efficient retrieval of similar shapes
2008,"claudio sartori , sonia bergamaschi , domenico beneventano",acm trans . database syst .,description logics for semantic query optimization in object-oriented database systems
2009,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,one-dimensional and multi-dimensional substring selectivity estimation
2010,"pedro josé marrón , georg lausen",vldb,on processing xml in ldap
2011,"vladislav shkapenyuk , tamraparni dasu , s. muthukrishnan , theodore johnson",sigmod conference,"mining database structure ; or , how to build a data quality browser"
2012,"tei-wei kuo , aloysius k. mok",sigmod record,real-time database - similarity semantics and resource scheduling
2013,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vldb,incremental maintenance for materialized views over semistructured data
2014,"bernd burkert , yaron engel , ralf böttger , gerd kachel , elke radeke , silvia kolmschlag , dietmar nolte",sigmod conference,efendi : federated database system of cadlab
2015,rafael alonso,sigmod record,trade press news
2016,"stefan manegold , martin l. kersten , peter a. boncz",vldb,what happens during a join ? dissecting cpu and memory optimization effects
2017,"jutai zhou , ouri wolfson , sam chamberlain , a. prasad sistla , bo xu",sigmod conference,domino : databases for moving objects tracking
2018,"paul ammann , indrakshi ray , sushil jajodia",acm trans . database syst .,applying formal methods to semantic-based decomposition of transactions
2019,akmal b. chaudhri,sigmod record,workshop report on experiences using object data management in the real-world
2020,"karthikeyan ramasamy , jeffrey f. naughton , jignesh m. patel , raghav kaushik",vldb,"set containment joins : the good , the bad and the ugly"
2021,"bennet vance , david maier",sigmod conference,rapid bushy join-order optimization with cartesian products
2022,"sridhar ramaswamy , swarup acharya , phillip b. gibbons , viswanath poosala",sigmod conference,the aqua approximate query answering system
2023,donald d. chamberlin,sigmod record,2003 sigmod innovations award speech
2024,"roy goldman , jennifer widom",sigmod conference,wsq/dsq : a practical approach for combined querying of databases and the web
2025,"dimitris margaritis , christos faloutsos , sebastian thrun",vldb,netcube : a scalable tool for fast data mining and compression
2026,"koichi goto , yahiko kambayashi",vldb,a new passenger support system for public transport using mobile database access
2027,"masaru kitsuregawa , kazuhiko mogi",sigmod conference,hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5
2028,"joão b. d. cabrera , raman k. mehra , lundy m. lewis",sigmod record,detection and classification of intrusions and faults using sequences of system calls
2029,"xuemin lin , qing liu , yidong yuan , xiaofang zhou",vldb,multiscale histograms : summarizing topological relations in large spatial datasets
2030,"qiang wang , brian d. davison",sigmod record,review of web caching and replication by michael rabinovich and oliver spatscheck . addison wesley 2002
2031,"jingren zhou , kenneth a. ross",vldb,buffering accesses to memory-resident index structures
2032,"king-ip lin , harpreet s. sawhney , rakesh agrawal , kyuseok shim",vldb,"fast similarity search in the presence of noise , scaling , and translation in time-series databases"
2033,"abraham silberschatz , christos faloutsos , yossi matias",vldb,modeling skewed distribution using multifractals and the ` 80-20 ' law
2034,"cui yu , kian-lee tan , beng chin ooi , h. v. jagadish",vldb,indexing the distance : an efficient method to knn processing
2035,"tomasz imielinski , daniel barbará",vldb j.,sleepers and workaholics : caching strategies in mobile environments
2036,"hans-peter kriegel , stefan berchtold",sigmod conference,s3 : similarity search in cad database systems
2037,"piyush goel , balakrishna r. iyer",sigmod conference,sql query optimization : reordering for a general class of queries
2038,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer",vldb,controlling data warehouses with knowledge networks
2039,"h. v. jagadish , ting yu , divesh srivastava , sudipto guha , nick koudas",sigmod conference,approximate xml joins
2040,"minos n. garofalakis , neoklis polyzotis",sigmod conference,statistical synopses for graph-structured xml databases
2041,marianne winslett,sigmod record,interview with michael stonebraker
2042,"thomas eiter , v. s. subrahmanian , thomas lukasiewicz , james j. lu",acm trans . database syst .,probabilistic object bases
2043,"daniel barbará , tomasz imielinski",sigmod conference,sleepers and workaholics : caching strategies in mobile environments
2044,larry ellison,sigmod conference,keynote address
2045,"barbara pernici , massimo mecella",vldb j.,designing wrapper components for e-services in integrating heterogeneous systems
2046,edward sciore,vldb j.,versioning and configuration management in an object-oriented data model
2047,"anthony brockwell , spiros papadimitriou , christos faloutsos",vldb,"adaptive , hands-off stream mining"
2048,"christian a. lang , ambuj k. singh",sigmod conference,modeling high-dimensional index structures using sampling
2049,c. mohan,vldb,repeating history beyond aries
2050,"felipe cariño , pekka kostamaa , art kaufmann , john burgess",sigmod conference,"storhouse metanoia - new applications for database , storage & data warehousing"
2051,"alex pang , jiawei han , raymond t. ng , laks v. s. lakshmanan",sigmod conference,exploratory mining and pruning optimizations of constrained association rules
2052,"klaudia hergula , fernando de ferreira rezende",vldb,the heterogeneity problem and middleware technology : experiences with and performance of database gateways
2053,krishna g. kulkarni,sigmod conference,object-oriented extensions in sql3 : a status report
2054,viswanathan krishnamurthy,sigmod conference,oracle xml db repository
2055,gerhard weikum,sigmod record,foundations of statistical natural language processing - book review
2056,"waqar hasan , rajeev motwani",vldb,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism
2057,"aashu virmani , tomasz imielinski",sigmod conference,datamine - interactive rule discovery system
2058,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,caching strategies for data-intensive web sites
2059,"ion stoica , nick lanham , scott shenker , joseph m. hellerstein , boon thau loo , ryan huebsch",vldb,querying the internet with pier
2060,"hamid pirahesh , christof bornhövd , berthold reinwald , sailesh krishnamurthy , mehmet altinel , c. mohan",vldb,cache tables : paving the way for an adaptive database cache
2061,"inderpal singh mumick , ashish gupta",vldb,what is the data warehousing problem ? ( are materialized views the answer ? )
2062,"jeffrey xu yu , weifa liang , maria e. orlowska",vldb j.,optimizing multiple dimensional queries simultaneously in multidimensional databases
2063,"ling liu , robert meersman",acm trans . database syst .,the building blocks for specifying communication behavior of complex objects : an activity-driven approach
2064,?,sigmod record,calls for papers / announcements
2065,"yiu-kai ng , y. s. jiang , david w. embley",sigmod conference,record-boundary discovery in web documents
2066,"ouri wolfson , kailash narayanan , son dao , ramya raj , a. prasad sistla",sigmod record,view maintenance in mobile computing
2067,"nick roussopoulos , alexandros labrinidis",vldb,balancing performance and data freshness in web database servers
2068,"jayant r. haritsa , juliana freire , maya ramanath , prasan roy , jérôme siméon",sigmod conference,statix : making xml count
2069,"christian s. jensen , david b. lomet",vldb,transaction timestamping in ( temporal ) databases
2070,"igor timko , torben bach pedersen , christian hage , christian s. jensen , laurynas speicys",vldb,integrated data management for mobile services in the real world
2071,"markus schneider , ralf hartmut güting",vldb j.,realm-based spatial data types : the rose algebra
2072,"david wai-lok cheung , ada wai-chee fu",vldb,a transaction replication scheme for a replicated database with node autonomy
2073,aris m. ouksel,sigmod record,in-context peer-to-peer information filtering on the web
2074,"raghu ramakrishnan , s. sudarshan , divesh srivastava , praveen seshadri",vldb j.,the coral deductive system
2075,"alan sussman , anurag acharya , joel h. saltz , chialin chang",sigmod record,t2 : a customizable parallel database for multi-dimensional data
2076,"renée j. miller , anastasios kementsietsidis , marcelo arenas",sigmod conference,mapping data in peer-to-peer systems : semantics and algorithmic issues
2077,garth a. gibson,sigmod conference,storage technology : raid and beyond
2078,"arnon rosenthal , edward sciore",sigmod record,first-class views : a key to user-centered computing
2079,hyoungdo kim,sigmod record,conceptual modeling and specification generation for b2b business process based on ebxml
2080,"shing-shan peng , kwei-jay lin",sigmod record,enhancing external consistency in real-time transactions
2081,"thierry coupaye , t. svensen , christine collet",vldb,naos - efficient and modular reactive capabilities in an object-oriented database system
2082,arnaud sahuguet,sigmod conference,kweelt : more than just yet another framework to query xml !
2083,"elizabeth a. m. shriver , bruce hillyer , wee teck ng , banu özden , eran gabber , david j. dewitt , john wilkes , jim gray , bruce gordon",vldb,storage service providers : a solution for storage management ? ( panel )
2084,"mark deppe , yongdong wang , alex gorelik",sigmod conference,sybase replication server
2085,"angelo pruscino , rafiul ahad , roger bamford",vldb,a scalable and highly available networked database architecture
2086,"robert j. glushko , bart meltzer",sigmod record,xml and electronic commerce : enabling the network economy
2087,"maurizio rafanelli , elaheh pourabbas",sigmod record,hierarchies and relative operators in the olap environment
2088,"benjamin g. zorn , alexander l. wolf , jonathan e. cook",sigmod conference,partition selection policies in object database garbage collection
2089,"jörg-uwe kietz , ulrich reimer , martin staudt",vldb,mining insurance data at swiss life
2090,"jörg sander , hans-peter kriegel , peer kröger , markus m. breunig",sigmod conference,data bubbles : quality preserving performance boosting for hierarchical clustering
2091,"peter dadam , wolfgang klas",sigmod record,the database and information system research group at the university of ulm
