scholar_id,auth_names,journal_name,pub_title,published_yr
40545,"mcf ferreira , h zantema",,termination by dummy elimination,1994.0
40546,l riord,,stratified semiconcave control-lyapunov functions and the stabilization problem,
40547,cj wilson,"san diego : academic ,","dendritic morphology , inward rectification , and the functional properties of neostriatal neurons .",
40548,"p seeman , k ohara , c ulpian , mv seeman","neuropsychopharmacology-san diego - ,",schizophrenia : normal sequence in the dopamine d ~ 2 receptor region that couples to g-proteins . dna,1993.0
40549,"ww craig , fe christensen , ta decker , cj hailey , fa","proc . spie ,",hard x-ray optics for the heft balloon-borne payload : prototype design and status,1998.0
40550,j viescas,,running microsoft access 97,1997.0
40551,"y coady , g kiczales , m feeley , n hutchinson , js","communications-acm ,",structuring operating system aspects,2001.0
40552,sc stearns,"new york ,",the evolution of life histories : oxford university press,
40553,mr cunningham,"journal of personality and social psychology ,",measuring the physical in physical attractiveness : quasi-experiments on the sociobiology of female,
40554,"h kato , m billinghurst , i poupyrev , k imamoto , k","proceedings of isar ,",virtual object manipulation on a table-top ar environment,2000.0
40555,"d long , l clarke","technical report , computer science department , university of",task interaction graph a representation for concurrency analysis,
40556,dr fergusonâ ? ¦,proc . 13th acm symp . computational,algorithmic tolerances and semantics in data exchange,
40557,e shaffer,,virtue : performance visualization of parallel and distributed applications,
40558,ja woodcock,,introducing microsoft exchange 2000 server,2000.0
40559,"i hertel , g strauss , d apeltâ ? ¦",procs,surgical segmentation for preoperative planning in paranasal sinus surgery,
40560,"v batagelj , u brandes","at sunbelt ,",efficient generation of random graphs,
40561,"et higgins , cjr roney , e crowe , c hymes","journal of personality and social psychology ,",ideal versus ought predilections for approach and avoidance : distinct self-regulatory systems,1994.0
40562,"h nanda , c benabdelkedar , l davis",,modelling pedestrian shapes for outlier detection : a neural net based approach,
40563,"j widom , rj cochrane , bg lindsay","vldb endowment ,",implementing set-oriented production rules as an extension to starburst in proceedings of the 17th,
40564,cj bontempo,"acm sigmod record ,",book and paper reviews,1977.0
40565,"rl rivest , a shamir , l adelman",,on digital signatures and public key cryptosystems . technical memorandum 82,1977.0
40566,d peachey,"unpublished manuscript ,",texture on demand,
40567,sl gilman,,sexuality : an illustrated history,1989.0
40568,"ec smith , ms lewicki",,efficient auditory coding,
40569,"s gasner , s schooler , r frederick , v jacobson",proc . acm,multimedia teleconferencing on the internet multicast backbone ( mbone ),
40570,c stedman,,failed erp gamble haunts hershey,
40571,"d pelled , o sperling , e zoref-shani","cellular and molecular biology letters ,",abnormal purine and pyrimidine nucleotide content in primary astroglia cultures from hgprt-deficient,1999.0
40572,"a vannelli , gs rowan","proc . 28th midwest symposium on circuits and systems ,",a constrained clustering approach for partitioning netlists,
40573,"m reed , b simon",vol .,"methods of modern mathematical physics ( academic , new york , 1972 )",
40574,ee adams,"development and demonstration programmes ,",co 2 ocean storage research,
40575,"r facklam , b beall , a efstratiou","demonstration of emm typing and validation of provisional m & hellip ; ,",other authors ( 1999 ),
40576,"v zadorozhny , l raschid , t urhanâ ? ¦","proceedings of the acm sigmod conference ,",efficient evaluation of queries in a web query optimizer,
40577,"f kamoun , l kleinrock","computer networks ,",stochastic performance evaluation of hierarchical routing for large networks,
40578,"a kecskemethy , m hiller",proc . 26th int . symp . automotive technology and,an object-oriented tool-set for the computer modeling of vehicle dynamics,
40579,"j melton , sql andrew eisenberg","sigmod record , feb ,",formerly known as sql3,
40580,l benini,,systemc cosimulation and emulation of multiprocessor soc designs,
40581,"lh plotnick , fm ducharme","cochrane database syst rev ,",combined inhaled anticholinergics and beta2-agonists for initial treatment of acute asthma in,2000.0
40582,tj holroyd,,the acoustic emission and ultrasonics handbook,
40583,jj parsons,"geography ,",annals of the,1977.0
40584,lk meulbroek,,the efficiency of equity-linked compensation : understanding the full cost of awarding executive,
40585,e stamatis,,archimedes collected works,1970.0
40586,"s chaudhuri , v narasayya","proceedings of the 1998 acm sigmod international conference & hellip ; ,",autoadmin â ?? whatifâ ?? index analysis utility,
40587,a jonas,"urban geography ,",urban growth coalitions and urban development policy : postwar growth and the politics of annexation,
40588,d paulson,"seattle , washington , usa ,",shorebirds of the pacific northwest : university of washington press,
40589,"d shasha , n goodman","acm transactions on database systems ,",concurrent search structure algorithms,1988.0
40590,s sarawagi,"proceedings of 25th international conference on very large & hellip ; ,","explaining differences in multidimensional aggregates , vldbâ ?? 99",
40591,"ad malony , k nichols","acm press frontier series ,",standards working group summary,1990.0
40592,d groups,,accessibility analysis literature review,
40593,e kroth,"& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,",bevel edge preparation with plasma cutting system and laser sensor,1992.0
40594,"l ainsworth , d garnett , d phelps , s shannon","new directions for teaching and learning ,",steps in starting supplemental instruction,1994.0
40595,tr weiss,,aol wins $ 7 million award in antispam case,
40596,"r ladner , n lynch , a selman","proceedings of the sixth annual acm symposium on theory of & hellip ; ,",comparison of polynomial-time reducibilities,1974.0
40597,acms anthology,"sigmod record ,",engineering federated information systems : report of efis '99 workshop .,1999.0
40598,"w power , ago ausindustry",narrogin bioenergy plant : demonstration of integrated wood,enecon & oil mallee co. c2002,
40599,c ordonez,,horizontal aggregations for building tabular data sets,
40600,"cf eick , pc lockemann","proceedings of the 1985 acm sigmod international conference & hellip ; ,",acquisition of terminological knowledge using database design techniques,1985.0
40601,w morrison,"information and software technology ,",communicating with users during systems development .,1988.0
40602,b longueville,,"meydiam , a project memory for innovativeproduct design .",
40603,c austin,new directions for teaching and,grey ( 1986 ) . orientation to honors education,
40604,"e kolodner , b liskov , w weihl","acm sigmod record ,",atomic garbage collection : managing a stable heap,1989.0
40605,lk johnsrud,"new directions for teaching and learning ,",enabling the success of junior faculty women through mentoring,1994.0
40606,ds dimitrov,,dynamic interactions between approaching surfaces of biological interest,1984.0
40607,"r gupta , j gernshiemer , j golden , n narra , t","journal of emergency medicine ,",abdominal pain secondary to stump appendicitis in a child,2000.0
40608,jp wideberg,"proceedings of the i mech e part d journal of automobile & hellip ; ,",dynamic effect of the non-rigid modified bicycle model,2002.0
40609,"ac noble , dl elliott-fisk","proceedings of iv symposium international d &#39; oenologie ,",evaluation of the effects of soil and other geographical parameters on wine composition and flavour :,
40610,d lidsky,pc magazine,"online content : the web delivers news , sports , weather , and even software come to your desktop .",
40611,"b gallagher , d jacobs , a langen","proceedings of the 2005 acm sigmod international conference & hellip ; ,","a high-performance , transactional filestore for application servers",2005.0
40612,a runge,"electronic markets ,",the need for supporting electronic commerce transactions with electronic contracting systems,1998.0
40613,"js townsend , va bailey","phil . mag ,","inst . 200 , 586 ( 1925 )",
40614,sb pope,proceedings of the 23rd symposium ( international ) on,computationso f turbulent combustion : progressandchallenges,
40615,"s sithanantham , ss lateef , w reed","proc . int . workshop pigeonpeas ,",podfly susceptibility in pigeonpea : some aspects of oviposition preference,
40616,"j delaunay , n aloisio , l morle","cellular and molecular biology letters ,",molecular genetics of hereditary spherocytosis,1996.0
40617,"r schulz , s decker","journal of personality and social psychology ,","long-term adjustment to physical disability : the role of social support , perceived control , and self",1985.0
40618,a rivers,"northwest regional office , seattle , washington ,",north americaâ ?? s most endangered and threatened rivers of 1966,
40619,"y papakostantantinou , s abiteboul , h garcia-molina","proc . 22nd international conference on very large databases & hellip ; ,",object fusion in mediator systems,
40620,"j nichols , ba myers , m higgins , j hughes , tk","proceedings of the 15th annual acm symposium on user & hellip ; ,",generating remote control interfaces for complex appliances,2002.0
40621,vv nikulin,"proc . int . congr . math . berkeley ,",discrete reflection groups in lobachevsky spaces and algebraic surfaces,
40622,jm sattler,,ad $ essment ofchildren,1990.0
40623,"tw custer , ba rattner , hm ohlendorf , mj melancon","proc . int . ornithol . congr ,",herons and egrets as proposed indicators of estuarine contamination in the united states,
40624,"r costanza , c folke","rights to nature ,",the structure and function of ecological systems in relation to property-rights regimes,
40625,mj wilson,,the dual role of guidance counselor/athletic coach,2000.0
40626,dw matula,"submitted for publication ,",short reciprocal division,
40627,t schwentick,"sigmod record ,",xpath query containment,2004.0
40628,"ap mallarino , d rueber","& hellip ; 1998 . northern research and demonstration farm . isrf98â ?? 22 . & hellip ; ,",crop rotation and nitrogen fertilization for crop production . p. 30â ?? 33,
40629,"y ishino , t tsurimoto , s ishino , iko cann","genes to cells ,",functional interactions of an archaeal sliding clamp with mammalian clamp loader and dna polymerase,2001.0
40630,h model,,at 34-35 . we note that this model has since been revised,
40631,"ms warner , rj geraghty , wm martinez , ri montgomery",submitted for,a cell surface protein with herpesvirus entry activity ( hveb ) confers susceptibility to infection by,
40632,"ss masterson , k lewis , bm goldman , ms taylor",,integrating justice and social exchange : the differing effects of fair procedures and treatment on,
40633,r green,"procs . of the 4th int . isko conference ,",knowledge organization and change,
40634,"m carroll , s ohno-jones , s tamura , j zimmermann ,","blood-new york - ,","cgp 57148 , a tyrosine kinase inhibitor , inhibits the growth of cells expressing bcr-abl , tel-abl ,",1997.0
40635,"ja bargh , p pietromonaco","journal of personality and social psychology ,",automatic information processing and social perception : the influence of trait information presented,
40636,sjgp schroder,,wavelet radiosity,
40637,"kl heong , mm escalada , aa lazaro","see ref ,","misuse of pesticides among rice farmers in leyte , philippines",
40638,"k hisamitsu , d navarro , t yamaoka , m suetake , h",submitted for,modeling of the pinch-off condition in 100nm-mosfets for circuit simulation,
40639,ls dembo,"wisconsin studies in contemporary literature ,","vladimir nabokov , an introduction",1967.0
40640,"d beech , js feldman",,the integrated data model : a database perspective,
40641,"x lin , q liu , y yuan , x zhou",,multiscale histograms : summarizing topological relations in large spatial datasets,
40642,eh kim,,foreword,
40643,pb allard,"new directions for adult and continuing education ,",why they did n't learn what we wanted them to learn .,1991.0
40644,"a aiello , hp nii","technical report stan-hpp-79-3 , stanford university , february ,",building a knowledge-based system with age,
40645,"j leor , r kloner","journal of emergency medicine ,",the northridge earthquake as a trigger for acute myocardial infarction,1997.0
40646,"jp parmantier , jp aparicio","& hellip ; on electromagnetic compatibility , zurich , switzerland , mar. & hellip ; ,",electromagnetic topology-coupling of two wires through an aperture,1991.0
40647,"vi gudkov , vi didenko , gr dik , ia evdokimov , an","at . energy ,",measurements of critical mass of the wwr-m fuel assemblies . sov,
40648,"mk sonmez , l heck , m weintraub , e shriberg",proc .,a lognormal tied mixture model of pitch for prosody-based speaker recognition,
40649,ms bsee,"ph. d. , university of california , santa","university of illinois , urbana",
40650,b miller,"political geography ,",political action and the geography of defense investment : geographical scale and the representation,1997.0
40651,"a de bruin , ep de vink",,continuation semantics for prolog with cut,
40652,c zone,"nmfs . seattle , washington ,",estuarine services division,
40653,"pf mckee , iw marshall , id henning","bt technology journal ,",research directions in distributed systems,1999.0
40654,"mgj van den brand , a van deursen , j heering , ha de","lecture notes in computer science ,",the asf + sdf meta-environment : a component-based language development environment,2001.0
40655,"e subrahmanian , y reich , s konda , d cunningham , a","san diego ,",the < i > n < / i > - dim approach to building design support systems . < i > asme design theory and,
40656,"yq feng , jh kwak",,constructing an infinite family of cubic 1-regular graphs with insolvable automorphism groups,
40657,q zhang,"proceedings of the i mech e part d journal of automobile & hellip ; ,",a generic fuzzy electrohydraulic steering controller for off-road vehicles,2003.0
40658,"t takahashi , ej freise","phil . mag ,",determination of the slip systems in single crystals of tungsten monocarbide,
40659,"a borrmann , r gerdzen",,"vernetztes lernenâ ?? hypertexte , homepages & ... was man im sprachunterricht damit machen kann , klett ,",
40660,"ac philip , rm zhou","technical report msr-tr-2001-35 , microsoft research , redmond ,",rate-distortion optimized streaming on packetized media,
40661,p hettema,"acm press siggraph series ,",adrenaline by design,1998.0
40662,j thompson,to,quadratic pairs,
40663,"n beckmann , hp kriegel , r schneider , b seeger","proc . acm sigmod conf . on management of data ,",the r * - tree : an efficient anf robust access mehod for points and rectangles,
40664,pa lawler,"new directions for adult and continuing education ,",ethical issues in continuing professional education,2000.0
40665,"c silverstein , s brin , r motwani",,etal . scalable techniques for mining causal structures [ a ] . vldb '98 [ c ],1998.0
40666,e pitouraâ ? ¦,"sigmod record ,",dbglobe : a service-oriented p2p system for global computing,2003.0
40667,g michaelson,"information and software technology ,",interpreter prototypes from language definition style specifications .,1988.0
40668,"r fagin , j nievergelt , n pippenger , hr strong","acm transactions on database systems ,",extendible hashing -- a fast access method for dynamic files,1979.0
40669,wa kalender,,computed tomography,
40670,"h chen , s dumais","proceedings of the 23rd annual international acm sigir & hellip ; ,",hierarchical classification of web content,
40671,rw lake,"political geography ,",negotiating local autonomy,1994.0
40672,dh beck,"seattle washington , june ,",invited talk at the 2nd international symposium on symmetries in subatomic physics,
40673,"pe oliver , dj myers",,the coevolution of social movements,
40674,ns api,,programmer 's guide,
40675,sw chen,"acm tods ,",c. pu . a structural classification of integrated replica control mechanisms,
40676,f jacobs,"new directions for higher education ,",expectations of and by faculty : an overview for the 1990 s.,1990.0
40677,ai rudnicky,submitted for,system response delay and user strategy selection in a spreadsheet task,
40678,"s flodin , t risch","zurich , switzerland ,","processing object-oriented queries with invertible late bound functions , 21st vldb conf",
40679,jm ross-gordon,"new directions for adult and continuing education ,",gender development and gendered adult development,1999.0
40680,zi kertesz,,methods in enzymology,1955.0
40681,"gr oldham , a cummings","the academy of management journal ,",employee creativity : personal and contextual factors at work,1996.0
40682,s folkman,"journal of personality and social psychology ,",personal control and stress and coping processes : a theoretical analysis,1984.0
40683,"h zuse , p bollmann","acm sigplan notices ,",software metrics : using measurement theory to describe the properties and scales of static software,1989.0
40684,"j hammer , h garcia-molina , s nestorov , r yerneni ,",proceedings of 23 rdacm sigmod international conference on,"v. , â ?? template-based wrappers in the tsimmis systemâ ??",
40685,z bellahsene,"knowledge and data engineering , ieee transactions on ,",view adaptation in the fragment-based approach,2004.0
40686,v gaede,,an informal introduction to constraint database systems,
40687,e sheppard,"urban geography ,",dissenting from spatial analysis,1995.0
40688,"s thomas , s bodagala , k alsabti , s ranka",,an efficient algorithm for the incremental updation of association rules in large databases,
40689,mkes conditions,,"cemof project , lenzen yard site , san jose , california , prepared by environmental resources",
40690,"dg kleinbaum , ll kupper , h morgenstern",,epidemiologic research : principles and quantitative methods,
40691,"k seino , n kayagaki , k fukao , k okumura , h yagita","transplantation proceedings ,",rejection of fas ligand-expressing grafts,1997.0
40692,dl kimbrough,,"structure , petrology and geochronology of mesozoic paleooceanic terranes on cedros island and the",1982.0
40693,"mw schwartz , rj seeley , sc woods , ds weigle , la",diabetes-new,leptin increases hypothalamic pro-opiomelanocortin mrna expression in the rostral arcuate nucleus,
40694,"ye ioannidis , r ramakrishnan","proceedings of the fourteenth international conference on & hellip ; ,",efficient transitive closure algorithms,1988.0
40695,"b page , r walker","economic geography ,",from settlement to fordism : the agro-industrial revolution in the american midwest .,1991.0
40696,"d anhai , m jayant , d robin , d pedro , h alon","the vldb journal ,",learning to match ontologies on the semantic web,
40697,é ?? æ ?? ç ? ² ï 1/4 ? å ® ? æ · ? æ ?? ï 1/4 ? å ?? æ ?? å ? 1/2 ï 1/4 ? æ 1/2 ? åº?å ??,"i. å ¹ ¿ ä ¸ ? ç ?? ,",ç ¨ '' ç ?? ç ?? è ?? ç 3/4 $ ä 1/2 ? ç ?? å ?? å?é ?? ä 1/4 å ¦ ç ? ç © ¶,
40698,k aulakh,"sigmod conference ,",about quark digital media system,1998.0
40699,"w greiff , a morgan , r fish , m richards , a kundu",,fine-grained hidden markov modeling for broadcast-news story segmentation,
40700,p koton,,integrating case-based and model-based reasoning : a symbiotic system '' phd thesis,1988.0
40701,"r frey , f pradere","& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",tunable infrared generation by stimulated raman scattering,1976.0
40702,l hjelmslev,,prolegomena to a theory of language,1961.0
40703,"vn gudivada , vv raghavan","ieee computer ,",special issue on content-based image retrieval systems,
40704,mj millerâ ? ¦,"pc magazine sa ,",memphis & ie 4.0,
40705,h li,to,an approach to tensor product theory for representations of a vertex operator algebra,
40706,hj muller,"proc . int . congr . genet ,",further studies on the nature and causes of gene mutations,
40707,rd powers,"journal of emergency medicine ,",medicaid managed care and the emergency department : the first one hundred days,1997.0
40708,"zg ives , ay halevy , ds weld","proc . of the 2004 acm sigmod intl. conf . on management of & hellip ; ,",adapting to source properties in processing data integration queries,2004.0
40709,ba nardi,"acm sigchi bulletin ,",the use of scenarios in design,1992.0
40710,"fg howarth , a asquith , g nishida","unpublished manuscript ,",insects of hawaii : status and trends,
40711,"s hanson , p hanson","economic geography ,",the travel-activity patterns of urban residents : dimensions and relationships to sociodemographic,1981.0
40712,jm ziman,"phil . mag ,","electrons and phonons ( ref . 23 ) , p. 362",
40713,"a hirst , r sloan","cochrane database syst rev ,",benzodiazepines and related drugs for insomnia in palliative care,2001.0
40714,"nv gorin , yz kandiev , ea kashaevaâ ? ¦",at .,characteristic features of the thermal-neutron field in the experimental channel of igr,
40715,"jj thomson , e rutherford","phil . mag ,",on the passage of electricity through gases exposed to roentgen rays,
40716,"c meek , jm patel , s kasetty","proceedings of the international conference on very large & hellip ; ,",oasis : an online and accurate technique for local-alignment searches on biological sequences,2003.0
40717,"e levlin , h tidestrã ¶ m , s kapilashrami , k stark , b",,"slamkvalitet och trender fã ¶ r slamhanteringâ ?? va-forskrapport 2001 : 05 , vav , stockholm",2001.0
40718,"a natsev , r rastogi , k shim","proc . acm sigmod int . conf . on management of data , & hellip ; ,",walrus : a similarity retrieval algorithm for large databases,
40719,"hg murray , rd renaud","new directions for teaching and learning ,",disciplinary differences in classroom teaching behaviors,1995.0
40720,g doerre,"kdd99 proceedings acm ,","seiffert , â ?? text mining finding nuggets in mountains of textual dataâ ??",
40721,"r flournoy , r ginstrom , k imai , s kaufmann , g",,personalization and users ' semantic expectations,
40722,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",translating update operations from relational to object-oriented databases,2000.0
40723,"r price , pe green jr",,a communication technique for multipath channels,1958.0
40724,"mg gabrielli , p palatroni","the histochemical journal ,",differential inhibition by acetazolamide on carbonic anhydrase distribution in the quail kidney : a,1992.0
40725,"cm glazener , mc lapitan","cochrane database syst rev ,",urodynamic investigations for management of urinary incontinence in adults,2002.0
40726,"gs chinchwadkar , a goh","the computer journal ,",an overview of vertical partitioning in object oriented databases,1999.0
40727,"gs horn , jw baxter","procs 10 thconference on computer generated forces & & hellip ; ,",an interactive planner for tank assaults,
40728,"a borgida , ke williamson","vldb ,","accommodating exceptions in databases , and refining the schema by learning from them",1985.0
40729,jd ullman,"acm transactions on database systems ,",implementation of logical query languages for databases,1985.0
40730,cb searâ ? ¦,"unesco international drought management conference ,",integrated drought early warningâ ?? the botswana example . pretoria,
40731,"y ohoka , y takai","genes to cells ,","isolation and characterization of cortactin isoforms and a novel cortactin-binding protein , cbp 90",1998.0
40732,"em voorhees , rm tong",,multiple search engines in database merging,
40733,cy hsinâ ? ¦,"proceedings of the sixth inter . conf . on numerical ship & hellip ; ,",a higher order method based on b-splines [ a ],1994.0
40734,"l cavaliere , a sgroi","new directions for adult and continuing education ,",active learning : perspectives on learning that leads to personal development and social change .,1992.0
40735,"pp griffiths , mm astrahan , dd chamberlin , ra lorie","acm sigmod international conference on management of data ,",access path selection in a relational database management system,
40736,"ag adhs , dj ailamaki , md dewitt",proceedings of the international conference on very large,"hill , and m. skounakis . weaving relations for cache performance",
40737,m kifer,"acm sigmod international conf . on management of data ,","w. k im , and y. sagiv . querying objectoriented databases",
40738,b armenterosâ ? ¦,"phil . mag ,","butler , and cachon",
40739,"g battilotti , g sambin","submitted for publication ,","pretopologies and a uniform presentation of suplattices , quantales and frames",
40740,"i bouyukliev , prj ostergard",submitted for,classification of self-orthogonal codes over f 3 and f 4,
40741,d schneider,tutorial on the vldb,the ins and outs of data warehousing,
40742,"c buchalew , d fussell","acm siggraph computer graphics ,",illumination networks : fast realistic rendering with general reflectance functions,1989.0
40743,"n yannoutsos , jnm ijzermans , c harkes , f bonthuis ,","genes to cells ,",a membrane cofactor protein transgenic mouse model for the study of discordant xenograft rejection,1996.0
40744,"j seward , s marlow , a gill , s finne , sp jones",,architecture of the haskell execution platform ( hep ),
40745,"lf tiemeijer , dbm klaassen","proc . 28th eur . solid-state device research conf . ( essderc ) ,",geometry scaling of the substrate loss of rf mosfets,
40746,"m cordano , ih frieze","academy of management journal ,",pollution reduction preferences of us environmental managers : applying ajzen 's theory of planned,2000.0
40747,"a ailamaki , c faloutsos , p fischbeck , m small , j","sigmod record ,",an environmental sensor network to determine drinking water quality and security,2003.0
40748,"m dalpasso , a bogliolo , l benini","proceedings , acm ,","hardware/software ipprotection , dacâ ?? 2000â ?? design automation conference , los angeles , usa , june",
40749,f hurst,,architectural participatory design methods,2000.0
40750,"w aiello , j hastad","extended abstract available in proc . 28th focs ,","statistical zero-knowledge languages can be recognized in two rounds '' , jcss , to appear",
40751,"sb dynes , pa gloor","tech . rep. tns group , mit laboratory for computer science ,",using hierarchical knowledge representation for an animated algorithm hypertext learning environment,
40752,rw hamming,"j. , < / i ,",bell system tech,
40753,"a tadahiro , m atsumi , o terushige , m takehiro , n","proceedings of the 23rd international pyrotechnics seminar ,",evaluation of the explosion strength of al/kclo 3 firework compositions,
40754,"r barga , d lomet","sigmod record ,",phoenix project : fault-tolerant applications,2002.0
40755,"c boelen , je des morchais , mp kantrowitz","seattle , washington , usa ,",developing protocols for change in medical education : report of the informal consultation,
40756,cg newsome,"new directions for higher education ,",what does a dean do ?,1997.0
40757,"jk balciunas , td center , fa dray jr","proceedings of the 23rd annual meeting of the aquatic plant & hellip ; ,",testing suitability of australian bioagents for control of hydrilla verticillata,
40758,m stonebraker,"proceedings of the 1998 acm sigmod international conference & hellip ; ,",are we working on the right problems ? ( panel ),1998.0
40759,a lini,,"early cretaceous carbon isotope stratigraphy of the maiolica formation , southern alps ( northern",1994.0
40760,d tidman,"phil . mag ,","herz , and tennent",
40761,"bl chamberlain , se choi , l snyder","submitted for publication ,",ironman : an architecture indepedent communication interface for parallel computers,
40762,ig austin,"phil . mag ,","g. , and turner , ce , 1969",
40763,dm marshall,"university of california , santa",presentation at the winter study group,
40764,"dw aha , l breslow","lecture notes in computer science ,",refining conversational case libraries,1997.0
40765,"f xia , m palmer , nw xue , me okurowski , j kovarik ,","athens , greece ,",developing guidelines and ensuring consistency for chinese text annotation . < i > proc of the 2nd,
40766,"t yanagi , h higuchi","proc . 28th conf . coast . eng. , japan society of civil & hellip ; ,",tide and tidal current in the seto inland sea,
40767,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",production rules in parallel and distributed database systems,
40768,re salluzzo,"new directions for higher education ,",using the budget as an effective management tool,1999.0
40769,"tw banta , ms moffett","new directions for higher education ,",performance funding in tennessee : stimulus for program improvement .,1987.0
40770,"g ferrari , u montanari , r raggi , e tuosto",submitted for,from coalgebraic specification to toolkit development,
40771,"a liguori , p aggleton","see aggleton ,",aspects of male sex work in mexico city,
40772,"q li , b moon","proe of the 27th vldb conf , roma , italy ,",indexing and queryifig xml data for regular path expressions [ c ],
40773,h burner,"computerworld. ,",team approach advocated to define requirements .,1982.0
40774,"af bird , j bird","san diego , california ,","the structure of nematodes , 2nd ed : academic press",
40775,pj cowley,,scientific data management : real-world issues and requirements,
40776,l garber,,denial-of-service attacks rip the internet,
40777,"b schilstrom , s de villiers , a malmerfelt , th","synapse-new york - ,",nicotine-induced fos expression in the nucleus accumbens and the medial prefrontal cortex of the rat,2000.0
40778,"a tomasic , h garcia-molina , k shoens",,incremental updates of inverted lists for text document retrieval . technical note stan-cs-tn-93-1,1993.0
40779,"v mirvoda , d sandel , f wã 1/4 st , r noã ©",proc . 28th eur . conf . optical communication ( ecoc,optimized polarization scramblers for pmd detection,
40780,m ayala-rincã ³ nâ ? ¦,"acm proc . sbcci ,",modeling and prototyping dynamically reconfigurable systems for efficient comp . of dynamic,
40781,k voruganti,,an adaptive hybrid server architecture for client caching object dbmss,
40782,"g back , d engler",,mj : a system for constructing bug-finding analyses for java,
40783,"cj denny , d kollek","journal of emergency medicine ,",practicing procedures on the recently dead-validity study of teaching and assessment modalities,1999.0
40784,"tm amabile , kg hill , ba hennessey , em tighe","journal of personality and social psychology ,",the work preference inventory : assessing intrinsic and extrinsic motivational orientations,1994.0
40785,da dubofsky,,a market microstructure explanation of ex-day abnormal returns,
40786,"d kinlyside , g dickson","procs satellite navigation technology conference , unsw , & hellip ; ,",dgps activities of the land information centre,
40787,"rv tamhankar , m rao , rv krishnan","powder metallurgy alloys symposium [ abstracts ] , bombay , india & hellip ; ,",powder metallurgy of superalloys,1980.0
40788,s vries,,gewenst beleid tegen ongewenst gedrag : voorbeelden van goed beleid tegen ongewenste omgangsvormen op,
40789,"l portnoy , e eskin , sj stolfo","proceedings of acm css workshop on data mining applied to & hellip ; ,",intrusion detection with unlabeled data using clustering,2001.0
40790,"r bliujflute , cs jensen , s saltenis","the proc . of the 24th vldb conf ,",andg . slivinskas . r-treebasedindexing ofnow-relative bitemporal data,
40791,"mr pinto , c rafferty , rw dutton",,pisces-11 : poisson continuity equation solver,1984.0
40792,ach freude,internet ( 8.7 . 2002 ) : http://www . online-demonstration . org /,online-demonstration : die idee,
40793,te brady,"new directions for higher education ,",building natural science communities,2002.0
40794,"pt snee , ck payne , kt kotz , h yang , cb harris","acc . chem . res ,",triplet organometallic reactivity under ambient conditions : an ultrafast uv pump/ir probe study,1995.0
40795,j alves-foss,,an efficient secure authenticated group key exchange algorithm for large and dynamic groups,
40796,"ma swaby , pm dew , pj kearney","bt technology journal ,",model-based construction of collaborative systems,1999.0
40797,"n tatbul , u cetintemel , s zdonik , m cherniack , m","proceedings of the international conference on very large & hellip ; ,",load shedding in a data stream manager,2003.0
40798,d verton,"computerworld ,",electronic government,
40799,"jf polo , lm rotchford , pm setteducati","new directions for adult and continuing education ,",creating innovative partnerships,1999.0
40800,"h balakrishnan , j cates , f dabek , f kaashoek , d",,"chord : scalable , robust peer-to-peer services",
40801,"a dogac , c ozkan , b arpinar , t okay , c evrendilek",,metu object-oriented dbms,
40802,w clark,"new directions for higher education ,",the global information economy and its effect on local economic development,1997.0
40803,"r kulier , a fekih , gj hofmeyr , a campana","cochrane database syst rev ,",surgical methods for first trimester termination of pregnancy,2001.0
40804,"re evenson , hd wilson jr , ks muir","santa barbara , california ,",yield of the carpinteria and goleta ground-water basins,
40805,"n gatsonis , x yin","proceedings of the 25 thinternational electric propulsion & hellip ; ,",numerical investigation of pulsed plasma thruster plumes,
40806,jc platt,"technical report msr-tr-98-14 , microsoft research ,",sequential minimal optimizer : a fast algorithm for training support vector machines,
40807,jm peckham,"acm sigmod record ,",source acm sigmod record archive,1997.0
40808,"gr hjaltason , h samet","acm transactions on database systems ,",index-driven similarity search in metric spaces,2003.0
40809,"jm billson , rg tiberius","new directions for teaching and learning ,",effective social arrangements for teaching and learning,1991.0
40810,f goodenough,electronic,fast ldoâ ?? s and switchers provide sub-5-v power,
40811,p melnykovich,"journal of emergency nursing ,",developing self-teaching packages for the emergency department staff,1994.0
40812,"s kelly , k smolander","information and software technology ,",evolution and issues in metacase,1996.0
40813,re arvind,"mit/lcs/tm -178 , computer science laboratory , mit , cambridge , ma ,",thomas : i-structures : an efficient data type for functional languages,
40814,"gt bersch , cl lund","new directions for adult and continuing education ,",learning communities in remote retreat settings,2002.0
40815,se hollimon,,division of labor and gender roles in santa barbara channel area prehistory,1990.0
40816,"hp schwefel , g rudolph","lecture notes in computer science ,",contemporary evolution strategies,1995.0
40817,"y suga , n kosugi , m morimoto","proceedings of the 12th annual acm international conference & hellip ; ,",real-time background music monitoring based on content-based retrieval,2004.0
40818,"p baumann , a dehmel , p furtado , r ritsch , n","proc . very large data bases ( vldb ) , edinburgh ,",spatio-temporal retrieval with rasdaman ( system demonstration ),
40819,j ward,,space-time processing for for airborne radar,1994.0
40820,r freedman,"wisconsin studies in contemporary literature ,",saul bellow : the illusion of environment,1960.0
