doc_id,conf_loc,record_year,doc_authors,work_title
267,sigmod conference,2000,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",lambda-db : an odmg-based object-oriented dbms
268,sigmod conference,1996,josé a. blakeley,data access for the masses through ole db
269,sigmod conference,1999,"nikos mamoulis , dimitris papadias",integration of spatial join algorithms for processing multiple inputs
270,sigmod record,2002,"bay-wei chang , yoëlle s. maarek , aya soffer",report on the mobile search workshop at www 2002
271,sigmod conference,1996,"ming-ling lo , chinya v. ravishankar",spatial hash-joins
272,vldb j.,1994,"king-ip lin , h. v. jagadish , christos faloutsos",the tv-tree : an index structure for high-dimensional data
273,vldb,1994,"beat wüthrich , suryanarayana m. sripada",cumulative updates
274,sigmod record,2003,"nina edelweiss , ana carolina salgado",report on the 17th brazilian symposium on database systems ( sbbd 2002 )
275,sigmod record,2001,richard t. snodgrass,accessibility of the database literature
276,sigmod record,2002,michael stonebraker,too much middleware
277,sigmod conference,2001,arnon rosenthal,will database researchers have any role in data security ? ( panel abstract )
278,sigmod conference,1998,"ashok josji , tirthankar lahiri , amit jasuja , sumanta chatterjee","50,000 users on an oracle8 universal server database"
279,vldb,2000,"hector garcia-molina , kevin chen-chuan chang",approximate query translation across heterogeneous information sources
280,vldb,2000,carsten blecken,media360 workflow-implementing a workflow engine inside a database
281,sigmod conference,2003,"bin he , kevin chen-chuan chang",statistical schema matching across web query interfaces
282,vldb j.,1999,"jen-wen ding , yueh-min huang , shiao-li tsao",constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data
283,acm trans . database syst .,2000,"donald kossmann , gerhard drasch , michael j. franklin",cache investment : integrating query optimization and distributed data placement
284,sigmod record,1997,michael j. franklin,editor 's notes
285,sigmod record,1998,alberto o. mendelzon,information director 's message
286,sigmod record,2001,"jennifer widom , shivnath babu",continuous queries over data streams
287,sigmod record,1997,joseph fong,converting relational to object-oriented databases
288,sigmod conference,1995,"wen-chi hou , zhongyang zhang",enhancing database correctness : a statistical approach
289,sigmod record,1994,"andreas geppert , klaus r. dittrich",constructing the next 100 database management systems
290,sigmod conference,2001,"guozhu dong , jian pei , jiawei han , ke wang",efficient computation of iceberg cubes with complex measures
291,vldb,2001,"brian cooper , gísli r. hjaltason , michael j. franklin , neal sample , moshe shadmon",a fast index for semistructured data
292,sigmod conference,2002,"michael jones , pankaj k. agarwal , t. m. murali , cecilia magdalena procopiuc",a monte carlo algorithm for fast projective clustering
293,sigmod record,2003,"mario piattini , francisco ruiz , coral calero",towards a database body of knowledge : a study from spain
294,vldb,2003,"subbarao kambhampati , zaiqing nie , thomas hernandez",bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration
295,sigmod conference,2002,christoph bussler,software as a service : asp and asp aggregation
296,vldb,2000,"gustavo alonso , guy pardon",cheetah : a lightweight transaction server for plug-and-play internet data management
297,sigmod record,2001,"nick koudas , dimitrios gunopulos",dimacs summer school tutorial on new frontiers in data mining
298,vldb,1997,"fenia zioga , peter triantafillou , stavros christodoulakis",principles of optimally placing data in tertiary storage libraries
299,acm trans . database syst .,2001,"v. s. subrahmanian , sushil jajodia , pierangela samarati , maria luisa sapino",flexible support for multiple access control policies
300,sigmod conference,1994,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures
301,sigmod conference,1996,"antonio badia , dirk van gucht , sudhir rao",providing better support for a class of decision support queries
302,vldb,1999,"peter baumann , norbert widmann , roland ritsch , paula furtado , andreas dehmel",spatio-temporal retrieval with rasdaman
303,sigmod record,1996,ramesh bhashyam,"tcp-d - the challenges , issues and results"
304,sigmod record,2001,"per-åke larson , luis gravano , stefano ceri , leonid libkin , tova milo , kenneth a. ross",reminiscences on influential papers
305,vldb,1998,"hector garcia-molina , narayanan shivakumar , jeffrey d. ullman , rajeev motwani , min fang",computing iceberg queries efficiently
306,sigmod conference,1995,paradise team,paradise : a database system for gis applications
307,vldb,1995,david vaskevitch,"very large databases : how large , how different ?"
308,sigmod conference,2001,"vinayak r. borkar , sunita sarawagi , kaustubh deshmukh",automatic segmentation of text into structured records
309,vldb,2000,"michael j. carey , subbu n. subramanian , eugene j. shekita , jerry kiernan , jayavel shanmugasundaram",xperanto : middleware for publishing object-relational data as xml documents
310,sigmod conference,2001,"elizabeth j. o'neil , denis rinfret , patrick e. o'neil",bit-sliced index arithmetic
311,sigmod record,2001,joachim hammer,treasurer 's message
312,sigmod record,1994,li yang,a hypertext query language for images
313,sigmod conference,1997,"jeffrey f. naughton , michael j. carey , dhaval shah , johannes gehrke , mohammad asgarian , david j. dewitt , paul brown",the bucky object-relational benchmark ( experience paper )
314,vldb j.,2000,"v. s. subrahmanian , eric lemar , k. selçuk candan",view management in multimedia databases
315,vldb,2001,"daniela florescu , cristian-augustin saita , eric simon , dennis shasha , helena galhardas","declarative data cleaning : language , model , and algorithms"
316,vldb,2002,"arvind hulgeri , gaurav bhalotia , soumen chakrabarti , parag , s. sudarshan , charuta nakhe , b. aditya",banks : browsing and keyword searching in relational databases
317,vldb j.,1998,"s. sudarshan , prasan roy , abraham silberschatz , srinivas ashwin , s. seshadri",garbage collection in object-oriented databases using transactional cyclic reference counting
318,sigmod conference,2003,"myung-jae park , jun-ki min , chin-wan chung",xpress : a queriable compression for xml data
319,vldb,1999,"anindya datta , chris jermaine , edward omiecinski",a novel index supporting high volume data warehouse insertion
320,vldb,1995,"rajeev motwani , waqar hasan",coloring away communication in parallel query optimization
321,vldb,2002,christos faloutsos,sensor data mining : similarity search and pattern analysis
322,vldb,2003,"mayank bawa , rakesh agrawal , roberto j. bayardo jr.",privacy-preserving indexing of documents on the network
323,sigmod conference,1999,"stacia de lima , li chen , ming li , s. weiner , chandrakant natarajan , elke a. rundensteiner , xin zhang , kajal t. claypool , jing jin",serf : odmg-based generic re-structuring facility
324,acm trans . database syst .,1998,"weimin du , xiangning liu , abdelsalam helal",multiview access protocols for large-scale replication
325,vldb,1997,"raghu ramakrishnan , miron livny , praveen seshadri",the case for enhanced abstract data types
326,sigmod conference,2001,"mehran sahami , panagiotis g. ipeirotis , luis gravano","probe , count , and classify : categorizing hidden web databases"
327,vldb,1996,"peter m. g. apers , mark w. w. vermeer",the role of integrity constraints in database interoperation
328,vldb,1997,"paolo ciaccia , pavel zezula , marco patella",m-tree : an efficient access method for similarity search in metric spaces
329,vldb j.,1998,"james geller , ashish mehta , erich j. neuhold , yehoshua perl",the oodb path-method generator ( pmg ) using access weights and precomputed access relevance
330,sigmod record,2000,"anca vaduva , thomas vetterli , martin staudt",metadata standards for data warehousing : open information model vs. common warehouse metamodel
331,sigmod record,1994,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin",comprehension syntax
332,sigmod conference,1994,"m. ranganathan , christos faloutsos , yannis manolopoulos",fast subsequence matching in time-series databases
333,sigmod conference,2003,"h. v. jagadish , shurug al-khalifa , cong yu",querying structured text in an xml database
334,vldb,2001,"svein erik bratsberg , rune humborstad",online scaling in a highly available database
335,sigmod conference,1999,"min wang , jeffrey scott vitter",approximate computation of multidimensional aggregates of sparse data using wavelets
336,vldb,2001,vadim draluk,discovering web services : an overview
337,sigmod conference,2002,"c. mohan , inderpal narang , suparna bhattacharya , karen brannon , hui-i hsiao , mahadevan subramanian",coordinating backup/recovery and data consistency between database and file systems
338,sigmod record,1997,richard t. snodgrass,chair 's message
339,vldb,2000,"svein-olaf hvasshovd , svein erik bratsberg , øystein torbjørnsen",an ultra highly available dbms
340,vldb,2002,"jens-peter dittrich , peter widmayer , david scot taylor , bernhard seeger",progressive merge join : a generic and non-blocking sort-based join algorithm
341,sigmod conference,1994,"inderpal singh mumick , hamid pirahesh",implementation of magic-sets in a relational database system
342,vldb j.,2003,"boris motik , alexander maedche , ljiljana stojanovic",managing multiple and distributed ontologies on the semantic web
343,sigmod conference,2001,"charu c. aggarwal , philip s. yu",outlier detection for high dimensional data
344,vldb j.,2002,"mahmut t. kandemir , ning an , mary jane irwin , anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan",energy-performance trade-offs for spatial access methods on memory-resident data
345,acm trans . database syst .,1995,"i-min a. chen , dennis mcleod , richard hull",an execution model for limited ambiguity rules and its application to derived data update
346,vldb,2003,"ioana manolescu , gianni costa , andrei arion , andrea pugliese , angela bonifati , sandra d'aguanno",xquec : pushing queries to compressed xml data
347,vldb,1997,"weiye zhang , per-åke larson",dynamic memory adjustment for external mergesort
348,sigmod conference,1998,daniel s. whelan,filenet integrated document management database usage and issues
349,vldb,1994,"david wilhite , balakrishna r. iyer",data compression support in databases
350,acm trans . database syst .,1998,"richard t. snodgrass , curtis e. dyreson",supporting valid-time indeterminacy
351,vldb,2001,oded shmueli,architectures for internal web services deployment
352,vldb,1998,"donald kossmann , michael j. carey",reducing the braking distance of an sql query engine
353,sigmod conference,1994,daniel j. dietterich,dec data distributor : for data replication and data warehousing
354,sigmod conference,2001,"sang kyun cha , keunjoo kwon , kihong kim",optimizing multidimensional index trees for main memory access
355,sigmod record,2003,"sanasam ranbir singh , debasis giri , debajyoti mukhopadhyay",an approach to confidence based page ranking for user oriented web search
356,vldb,1996,"raghu ramakrishnan , miron livny , praveen seshadri",the design and implementation of a sequence database system
357,sigmod conference,1996,"donovan a. schneider , phillip m. fernandez",the ins and outs ( and everthing in between ) of data warehousing
358,sigmod record,2002,"riza cenk erdur , oguz dikenelli",a multi-agent system infrastructure for software component market-place : an ontological perspective
359,sigmod record,2001,"daniel j. rosenkrantz , nick koudas , dan suciu , peter scheuermann , rajeev rastogi , jiawei han , kenneth a. ross",reminiscences on influential papers
360,vldb,2003,"elio masciari , sergio flesca , filippo furfaro",on the minimization of xpath queries
361,vldb,1998,"p. p. s. narayan , s. joshi , m. nemeth , abraham silberschatz , henry f. korth , a. khivesera , jerry baulier , s. sudarshan , philip bohannon , peter mcilroy , j. miller , s. gogate , rajeev rastogi , c. gupta",datablitz : a high performance main-memory storage manager
362,sigmod conference,1998,"seth j. white , r. g. g. cattell , sheldon j. finkelstein",enterprise java platform data access
363,vldb j.,1996,"marie-jo bellosta , eric amiel , eric simon , eric dujardin",type-safe relaxing of schema consistency rules for flexible modeling in oodbms
364,vldb j.,2000,"peter a. boncz , stefan manegold , martin l. kersten",optimizing database architecture for the new bottleneck : memory access
365,vldb,1994,"nandlal l. sarda , mukesh k. mohania",some issues in design of distributed deductive databases
366,sigmod conference,1994,"goetz graefe , richard l. cole",optimization of dynamic query evaluation plans
367,vldb,2001,"robert w. irving , ela hunt , malcolm p. atkinson",a database index to large biological sequences
368,sigmod conference,1997,"christian böhm , bernhard braunmüller , hans-peter kriegel , daniel a. keim , stefan berchtold",fast parallel similarity search in multimedia databases
369,vldb j.,1996,"kotagiri ramamohanarao , evan p. harris",join algorithm costs revisited
370,sigmod conference,2002,"kenneth a. ross , jingren zhou",implementing database operations using simd instructions
371,sigmod record,1997,"daniel barbará , mark sullivan",quasi-cubes : exploiting approximations in multidimensional databases
372,sigmod record,1999,"sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers",database research at the university of oklahoma
373,vldb,1995,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi",procedures in object-oriented query languages
374,sigmod record,1996,"gonzalo navarro , ricardo a. baeza-yates",integrating contents and structure in text retrieval
375,sigmod conference,1994,joseph m. hellerstein,practical predicate placement
376,vldb j.,1997,"philip s. yu , ming-syan chen , hui-i hsiao",on applying hash filters to improving the execution of multi-join queries
377,sigmod conference,1996,"young-gook ra , viviane crestana-taube , matthew c. jones , elke a. rundensteiner , pedro josé marrón , harumi a. kuno",the multiview project : object-oriented view technology and applications
378,vldb j.,2003,"qing li , chi-wai fung , kamalakar karlapalem",cost-driven vertical class partitioning for methods in object oriented databases
379,sigmod conference,1999,"dimitra vista , h. v. jagadish , divesh srivastava , tova milo , laks v. s. lakshmanan",querying network directories
380,vldb,1998,"gopalan arun , ashok joshi",koda - the architecture and interface of a data model independent kernel
381,sigmod conference,2001,"tiziana catarci , giuseppe santucci",the prototype of the dare system
382,sigmod conference,2003,charu c. aggarwal,a framework for change diagnosis of data streams
383,vldb,2003,"xiaoyu wang , mitch cherniack",avoiding ordering and grouping in query processing
384,sigmod conference,1998,"jenny chiang , ze-nian li , osmar r. zaïane , sonny h. chee , jiawei han",multimediaminer : a system prototype for multimedia data mining
385,sigmod conference,1999,ming-chuan wu,query optimization for selections using bitmaps
386,sigmod record,2002,karl aberer,book review column
387,sigmod record,2002,"kenneth a. ross , kyuseok shim , mary f. fernandez",reminiscences on influential papers
388,vldb,1995,"david konopnicki , oded shmueli",w3qs : a query system for the world-wide web
389,sigmod record,2003,"marianne winslett , xiaosong ma , ting yu",two-body job searches
390,sigmod conference,2001,"daniel s. weld , alon y. halevy , denise draper",the nimble integration engine
391,vldb,1996,"luc bouganim , daniela florescu , patrick valduriez",dynamic load balancing in hierarchical parallel database systems
392,sigmod record,1998,nick roussopoulos,materialized views and data warehouses
393,sigmod conference,2003,"arun jagatheesan , arcot rajasekar",data grid management systems
394,sigmod record,1999,"márcio farias de souza , marcus costa sampaio",efficient materialization and use of views in data warehouses
395,vldb,2001,serge novaretti,french government activity in the conservation of data and electronic documents
396,vldb,2000,"abdelsalam helal , hua li",rainbow : distributed database system for classroom education and experimental research
397,vldb,1998,"claude delobel , sophie cluet , sihem amer-yahia",bulk-loading techniques for object databases and an application to relational data
398,vldb,2001,"boualem benatallah , anne h. h. ngu , phuong nguyen , liangzhao zeng",agflow : agent-based cross-enterprise workflow management system
399,sigmod record,2002,alfons kemper,databases and transaction processing : an application-oriented approach - book review
400,vldb j.,2001,"philip a. bernstein , erhard rahm",a survey of approaches to automatic schema matching
401,sigmod conference,2003,"qi cheng , hamid pirahesh , linqi liu , kwai wong , wenbin ma , calisto zuzarte",winmagic : subquery elimination using window aggregation
402,vldb,1998,objectivity,objectivity industrial exhibit
403,sigmod record,1996,"leonardo tininini , antonia bezenchek , maurizio rafanelli",the aggregate data problem : a system for their definition and management
404,sigmod conference,1994,"terrance swift , konstantinos f. sagonas , david scott warren",xsb as a deductive database
405,sigmod record,2003,dale a. stirling,information rules
406,sigmod conference,2002,"anja theobald , gerhard weikum",the xxl search engine : ranked retrieval of xml data using indexes and ontologies
407,sigmod record,1994,"oscar díaz , arturo jaime , ghassan al-qaimari , norman w. paton",supporting dynamic displays using active rules
408,sigmod record,1998,"chris miller , ron musick",report on the second ieee metadata conference ( metadata ' 97 )
409,vldb,1999,"tok wang ling , sin yeung lee",unrolling cycles to decide trigger termination
410,vldb,1997,"edward y. chang , hector garcia-molina",effective memory use in a media server
411,sigmod conference,1997,"gale martin , ray shea , tomasz ksiezyk , roberto j. bayardo jr. , marian h. nodine , william bohrer , vipul kashyap , c. unnikrishnan , richard s. brice , mosfeq rashid , amy unruh , abdelsalam helal , andrzej cichocki , marek rusinkiewicz , darrell woelk , jerry fowler",infosleuth : semantic integration of information in open and dynamic environments ( experience paper )
412,sigmod conference,1995,shore team,shore : combining the best features of oodbms and file systems
413,vldb,1996,"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta",zoo : a desktop experiment management environment
414,sigmod record,1995,"bharat k. bhargava , evaggelia pitoura",a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases
415,vldb,1995,"peter j. haas , lynne stokes , s. seshadri , jeffrey f. naughton",sampling-based estimation of the number of distinct values of an attribute
416,sigmod record,1998,michael j. franklin,editor 's notes
417,vldb,2000,"wes cowley , dimitris plexousakis",temporal integrity constraints with indeterminacy
418,sigmod conference,1995,"alin deutsch , jürgen zimmermann , m. higa , alejandro p. buchmann",the reach active oodbms
419,vldb,1998,"d. butler , boris klots , roger bamford , n. macnaughton",architecture of oracle parallel server
420,vldb,1996,narendra mohan,dwms : data warehouse management system
421,sigmod record,2003,"fernando berzal galiano , nicolás marín","review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999"
422,vldb,2002,"luis gravano , panagiotis g. ipeirotis",distributed search over the hidden web : hierarchical database sampling and selection
423,sigmod conference,2001,"edward chan , tei-wei kuo , s. w. ng , dick hung , kam-yiu lam",retina : a real-time traffic navigation system
424,sigmod conference,1997,"rajeev motwani , sergey brin , craig silverstein",beyond market baskets : generalizing association rules to correlations
425,vldb j.,2002,"ugo capuozzo , elena ferrari , vijayalakshmi atluri , elisa bertino , nabil r. adam",an authorization system for digital libraries
426,vldb,1994,"goetz graefe , diane l. davison",memory-contention responsive hash joins
427,sigmod record,2003,ya-hui chang,a graphical query language for mobile information systems
428,sigmod conference,2001,"elisa bertino , elena ferrari , silvana castano",securing xml documents : the author-x project demonstration
429,vldb,2000,"gio wiederhold , erhard rahm , matthias jarke , laura m. haas , philip a. bernstein",panel : is generic metadata management feasible ?
430,vldb,1995,"georgios evangelidis , betty salzberg , david b. lomet","the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation"
431,vldb j.,1998,"prabhakar raghavan , byron dom , rakesh agrawal , soumen chakrabarti","scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies"
432,sigmod conference,1998,"david j. dewitt , navin kabra",efficient mid-query re-optimization of sub-optimal query execution plans
433,sigmod record,2002,"a. prasad sistla , isabel f. cruz , ashfaq a. khokhar , clement t. yu , bing liu , ouri wolfson",research activities in database management and information retrieval at the university of illinois at chicago
434,sigmod conference,2002,"wei wang , philip s. yu , jiong yang , jiawei han",mining long sequential patterns in a noisy environment
435,vldb,1999,"laks v. s. lakshmanan , h. v. jagadish , divesh srivastava",what can hierarchies do for data warehouses ?
436,vldb,1997,"s. seshadri , rajeev rastogi , abraham silberschatz , philip bohannon , dennis w. leinbaugh , s. sudarshan",logical and physical versioning in main memory databases
437,sigmod conference,1998,"david b. lomet , gerhard weikum",efficient and transparent application recovery in client-server information systems
438,sigmod conference,1996,"luis gravano , surajit chaudhuri",optimizing queries over multimedia repositories
439,sigmod record,1995,"h. olivie , r. maelbrancke",optimizing jan jannink 's implementation of b + - tree deletion
440,sigmod conference,1999,"kevin smith , athman bouguettaya , mourad ouzzani , james beard , lily hendra , boualem benatallah","world wide database - integrating the web , corba , and databases"
441,vldb,2000,"hua-gang li , sin yeung lee , tok wang ling",hierarchical compact cube for range-max queries
442,sigmod conference,2000,"narayanan shivakumar , junghoo cho , hector garcia-molina",finding replicated web collections
443,sigmod conference,1996,"jennifer widom , sudarshan s. chawathe , hector garcia-molina , anand rajaraman",change detection in hierarchically structured information
444,sigmod conference,1997,"kirby zhang , isabel f. cruz , michael averbuch , wendy t. lucas , melissa radzyminski",delaunay : a database visualization system
445,acm trans . database syst .,1998,"alexei p. stolboushkin , michael a. taitslin",safe stratified datalog with integer order does not have syntax
446,sigmod record,2001,nam huyn,data analysis and mining in the life sciences
447,sigmod record,1998,michael j. franklin,editor 's notes
448,sigmod record,2003,"omar boucelma , zoé lacroix",report on the first international workshop an efficient web-based information systems
449,vldb j.,1994,peter baumann,management of multidimensional discrete data
450,sigmod record,2000,jan van den bussche,constraint databases : a tutorial introduction
451,sigmod record,1994,?,calls for papers / announcements
452,sigmod record,2003,karl aberer,"report on the first international conference on ontologies , databases and applications of semantics"
453,sigmod record,2000,jeffrey f. naughton,sigmod ' 2000 program chair 's message
454,sigmod conference,2003,?,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003"
455,sigmod record,1994,"shashi k. gadia , christian s. jensen , patrick j. hayes , ramez elmasri , sushil jajodia , james clifford",a consensus glossary of temporal database concepts
456,vldb,1997,"ning jing , yun-wu huang , elke a. rundensteiner",spatial joins using r-trees : breadth-first traversal with global optimizations
457,sigmod conference,1998,motomichi toyama,supersql : an extended sql for database publishing and presentation
458,vldb j.,2003,"george v. moustakides , vassilios s. verykios , mohamed g. elfeky",a bayesian decision model for cost optimal record matching
459,vldb,1995,"brajesh goyal , s. seshadri , v. srinivasan , jayant r. haritsa",index concurrency control in firm real-time database systems
460,acm trans . database syst .,2000,"richard t. snodgrass , christian s. jensen , michael h. böhlen",temporal statement modifiers
461,sigmod record,1999,eric n. hanson,statement from the treasurer
462,sigmod conference,2001,"per-åke larson , jonathan goldstein","optimizing queries using materialized views : a practical , scalable solution"
463,sigmod conference,1999,"yannis papakonstantinou , richard marciano , chaitanya k. baru , pavel velikhov , vincent chu , amarnath gupta , bertram ludäscher",xml-based information mediation with mix
464,vldb,2002,eamonn j. keogh,exact indexing of dynamic time warping
465,vldb,1998,"k. bernhard schiefer , karen brannon , guy m. lohman , gene fuh , jim kleewein",ibm 's db2 universal database demonstrations at vldb '98
466,acm trans . database syst .,2000,christian böhm,a cost model for query processing in high dimensional data spaces
467,vldb j.,2002,gonzalo navarro,searching in metric spaces by spatial approximation
468,sigmod conference,2003,"brian babcock , shivnath babu , rajeev motwani , mayur datar",chain : operator scheduling for memory minimization in data stream systems
469,sigmod conference,1995,"amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",infoharness : a system for search and retrieval of heterogeneous information
470,vldb,1998,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",a database system for real-time event aggregation in telecommunication
471,vldb j.,2002,alon y. halevy,guest editorial
472,sigmod record,1998,"hector garcia-molina , patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass",reminiscences on influential papers
473,sigmod conference,1999,"matthias jarke , dirk lehmann , gunter michalk , guido blees , stefan striel , christoph quix",improving oltp data quality using data warehouse mechanisms
474,vldb,2002,"uwe röhm , klemens böhm , hans-jörg schek , heiko schuldt",fas - a freshness-sensitive coordination middleware for a cluster of olap components
475,sigmod record,2002,"carole a. goble , omar boucelma , silvana castano , vanja josifovski , zoé lacroix , bertram ludäscher",report on the edbt '02 panel on scientific data integration
476,vldb,2002,"z. meral özsoyoglu , gultekin özsoyoglu , abdullah al-hamdani , özgür ulusoy , selma ayse özel , ismail sengör altingövde",sideway value algebra for object-relational databases
477,sigmod record,2000,isabel f. cruz,sigmod digital symposium collection ( disc ) editor 's message
478,sigmod conference,2003,"martin pfeifle , hans-peter kriegel , stefan brecheisen , peer kröger , matthias schubert",using sets of feature vectors for similarity search on voxelized cad objects
479,vldb j.,1996,"yannis e. ioannidis , marvin h. solomon , odysseas g. tsatalos",the gmap : a versatile tool for physical data independence
480,vldb,2002,"antara ghosh , vibhuti s. sengar , jayant r. haritsa , jignashu parikh",plan selection based on query clustering
481,sigmod record,2001,"david buttler , wei han , calton pu",wrapping web data into xml
482,vldb j.,2001,"paul w. p. j. grefen , peter m. g. apers , jochem vonk",global transaction support for workflow management systems : from formal specification to practical implementation
483,vldb,1998,jack a. orenstein,starting ( and sometimes ending ) a database company
484,sigmod conference,1999,"jörg sander , hans-peter kriegel , markus m. breunig , mihael ankerst",optics : ordering points to identify the clustering structure
485,acm trans . database syst .,1999,"stefano paraboschi , stefano ceri , fabio casati , giuseppe pozzi",specification and implementation of exceptions in workflow management systems
486,sigmod record,1996,andrew eisenberg,new standard for stored procedures in sql
487,vldb,1999,"khaled yagoub , dan suciu , alon y. levy , daniela florescu",optimization of run-time management of data intensive web-sites
488,sigmod conference,2003,"ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena",dynamic xml documents with distribution and replication
489,sigmod conference,1997,"thin-fong tsuei , allan packer , keng-tai ko",database buffer size investigation for oltp workloads ( experience paper )
490,sigmod record,1999,"patrick valduriez , serge abiteboul , sophie cluet , kenneth a. ross , raghu ramakrishnan , guy m. lohman , david b. lomet , richard t. snodgrass , gultekin özsoyoglu , michael j. franklin , timos k. sellis",reminiscences on influential papers
491,sigmod conference,1999,"sridhar rajagopalan , bruce g. lindsay , gurmeet singh manku",random sampling techniques for space efficient online computation of order statistics of large datasets
492,vldb j.,2003,m. tamer özsu,new partnership with acm and update on the journal
493,sigmod conference,2000,"stéphane bressan , kian-lee tan , beng chin ooi , chong leng goh",integrating replacement policies in storm : an extensible approach
494,sigmod conference,1995,kestutis ivinskis,high availability of commercial applications
495,vldb,1996,"d. janaki ram , r. ramakrishnan",modeling design versions
496,sigmod conference,1998,"daniel a. keim , stefan berchtold","high-dimensional index structures , database support for next decade 's applications ( tutorial )"
497,sigmod conference,2003,"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia",lockx : a system for efficiently querying secure xml
498,sigmod record,2002,marianne winslett,david dewitt speaks out
499,sigmod conference,1998,"richard frank , gopalan arun , richard anderson",oracle rdb 's record caching model
500,sigmod conference,1996,ramesh c. agarwal,a super scalar sort algorithm for risc processors
501,acm trans . database syst .,1995,"goetz graefe , richard l. cole",fast algorithms for universal quantification in large databases
502,sigmod record,1999,richard t. snodgrass,chair 's message
503,vldb,2001,"umeshwar dayal , gerhard weikum , rakesh agrawal , johannes klein , shalom tsur , serge abiteboul",are web services the next revolution in e-commerce ? ( panel )
504,vldb,2000,"hongyan liu , hongjun lu",decision tables : scalable classification exploring rdbms capabilities
505,sigmod conference,1998,"jun rao , kenneth a. ross",reusing invariants : a new strategy for correlated queries
506,vldb,2000,"munir cochinwala , francesco caruso , paolo missier , uma ganapathy , gail lalk",telcordia 's database reconciliation and data quality analysis tool
507,vldb,1997,"kenneth a. ross , damianos chatziantoniou",groupwise processing of relational queries
508,vldb j.,2002,"thorsten fiebig , till westmann , robert schiele , guido moerkotte , carl-christian kanne , julia neumann , sven helmer",anatomy of a native xml base management system
509,sigmod conference,2000,"henrique paques , wei tang , calton pu , wei han , ling liu , david buttler",aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems
510,vldb j.,2001,"stefan seltzsam , donald kossmann , markus keidl , reinhard braumandl , alexander kreutz , konrad stocker , alfons kemper",objectglobe : ubiquitous query processing on the internet
511,sigmod record,2000,"gerard rodríguez-mulà , andreas paepcke , junghoo cho , hector garcia-molina",beyond document similarity : understanding value-based search and browsing technologies
512,sigmod conference,1997,"jeanine weißenfels , dirk wodtke , angelika kotz dittrich , gerhard weikum , peter muth",the mentor workbench for enterprise-wide workflow management
513,sigmod conference,1994,"luis gravano , anthony tomasic , hector garcia-molina",the effectiveness of gloss for the text database discovery problem
514,vldb,1998,david elliot shaw,technology and the future of commerce and finance ( abstract )
515,vldb,1997,"alon y. levy , daniela florescu , daphne koller",using probabilistic information in data integration
516,sigmod conference,2002,"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya",compressing sql workloads
517,vldb,2003,"bernhard mitschang , tobias kraft , holger schwarz , ralf rantzau",coarse-grained optimization : techniques for rewriting sql statement sequences
518,vldb j.,1998,"achim kraiss , gerhard weikum",integrated document caching and prefetching in storage hierarchies based on markov-chain predictions
519,sigmod record,2002,"ouri wolfson , s. a. m. makki , kia makki , charles e. perkins , birgitta könig-ries , peter l. reiher , niki pissinou , peter scheuermann , jari veijalainen",report on the nsf workshop on building an infrastructure for mobile and wireless systems
520,sigmod conference,1998,michael stonebraker,are we working on the right problems ? ( panel )
521,vldb,2000,?,"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword"
522,acm trans . database syst .,2002,"wolfgang may , bertram ludäscher",understanding the global semantics of referential actions using logic rules
