object_id,pub_yr,doc_name,publication_venue
1022,1999,snakes and sandwiches : optimal clustering strategies for a data warehouse,sigmod conference
1023,1999,selectivity estimation in spatial databases,sigmod conference
1024,1994,medical information systems : characterization and challenges,sigmod record
1025,1999,in-memory data management for consumer transactions the times-ten approach,sigmod conference
1026,2001,storage and querying of e-commerce data,vldb
1027,2001,"improving business process quality through exception understanding , prediction , and prevention",vldb
1028,1999,microsoft site server ( commerce edition ),sigmod conference
1029,1999,e-commerce database issues and experience,sigmod conference
1030,2001,weaving relations for cache performance,vldb
1031,1999,versions and workspaces in microsoft repository,sigmod conference
1032,2001,similarity search for adaptive ellipsoid queries using spatial transformation,vldb
1033,2001,self-similarity in the web,vldb
1034,1999,the need for distributed asynchronous transactions,sigmod conference
1035,2001,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,vldb
1036,1999,improving oltp data quality using data warehouse mechanisms,sigmod conference
1037,2001,roadrunner : towards automatic data extraction from large web sites,vldb
1038,1999,nodose version 2.0,sigmod conference
1039,2001,visual web information extraction with lixto,vldb
1040,1999,phoenix : making applications robust,sigmod conference
1041,1999,"powerbookmarks : a system for personalizable web information organization , sharing , and management",sigmod conference
1042,2001,netcube : a scalable tool for fast data mining and compression,vldb
1043,2001,mining multi-dimensional constrained gradients in data cubes,vldb
1044,1999,serf : odmg-based generic re-structuring facility,sigmod conference
1045,1999,tam : a system for dynamic transactional activity management,sigmod conference
