beer_no,abv_percentage,maker_name,beer_kind
440,6.00 %,Stoudts Brewing Co. .,American Amber / Red Ale
441,5.50 %,Beach Haus Brewery,American Amber / Red Ale
442,4.00 %,Utah Brewers Cooperative,American Amber / Red Ale
443,4.20 %,Hockley Valley Brewing Co. .,American Amber / Red Ale
444,-,Trailhead Brewing Co,American Amber / Red Ale
445,7.10 %,603 Brewery,American Amber / Red Ale
446,-,Eugene City Brewery,American Amber / Red Ale
447,5.00 %,Boston Beer Works - Canal Street,American Amber / Red Ale
448,7.60 %,21st Amendment Brewery,American Amber / Red Ale
449,5.00 %,Ruby Mountain Brewing,American Amber / Red Ale
450,5.20 %,Tractor Brewing Co. .,American Amber / Red Ale
451,5.00 %,Kiuchi Brewery,American Amber / Red Ale
452,5.00 %,Roscoe Beer Co. .,American Amber / Red Ale
453,8.80 %,Anderson Valley Brewing Company,American Amber / Red Ale
454,-,Belmont Brewing Company,American Amber / Red Ale
455,5.70 %,Beachwood BBQ & Brewing,American Amber / Red Ale
456,6.80 %,Twisted Manzanita Ales,American Amber / Red Ale
457,-,Springfield Brewing Company,American Amber / Red Ale
458,5.50 %,Cumberland Brews,American Amber / Red Ale
459,5.20 %,Branchline Brewing Co. .,American Amber / Red Ale
460,6.50 %,Track 7 Brewing Co. .,American Amber / Red Ale
461,5.10 %,Stillmank Beer Company,American Amber / Red Ale
462,6.00 %,Boneyard Beer Company,American Amber / Red Ale
463,5.50 %,Mount Shasta Brewing,American Amber / Red Ale
464,8.00 %,Rivertowne Brewing,American Amber / Red Ale
465,6.70 %,Sloop Brewing,American Amber / Red Ale
466,5.70 %,Black Diamond Brewing Co. .,American Amber / Red Ale
467,5.25 %,Upland Brewing Company,American Amber / Red Ale
468,6.50 %,West O Beer,American Amber / Red Ale
469,6.00 %,Jailhouse Brewing Company,American Amber / Red Ale
470,5.00 %,Scuttlebutt Brewing Company,American Amber / Red Ale
471,5.50 %,Tap It Brewing Co. .,American Amber / Red Ale
472,5.50 %,Minhas Craft Brewery,American Amber / Red Ale
473,5.60 %,Lengthwise Brewing Company,American Amber / Red Ale
474,6.90 %,Rubicon Brewing Company,American Amber / Red Ale
475,6.30 %,Ranger Creek Brewing & Distilling,American Amber / Red Ale
476,-,Blackhorse Pub & Brewery,American Amber / Red Ale
477,4.90 %,The Hartford Better Beer Co. .,American Amber / Red Ale
478,5.50 %,Oak Creek Brewing Co. .,American Amber / Red Ale
479,5.00 %,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale
480,5.65 %,Yalobusha Brewing Company,American Amber / Red Ale
481,8.10 %,Rivertowne Pourhouse,American Amber / Red Ale
482,5.30 %,Brewery Terra Firma,American Amber / Red Ale
483,4.60 %,Rohrbach Brewing Company ( Brewpub ),American Amber / Red Ale
484,5.00 %,Flying Monkeys Craft Brewery,American Amber / Red Ale
485,5.50 %,Naparbier Sdad . Coop .,American Amber / Red Ale
486,8.00 %,Worthy Brewing Co. .,American Amber / Red Ale
487,7.50 %,Howe Sound Inn & Brewing Company,American Amber / Red Ale
488,5.30 %,Schmohz Brewing Company,American Amber / Red Ale
489,5.50 %,Sapporo Breweries Ltd. .,American Amber / Red Ale
490,5.50 %,961 Beer,American Amber / Red Ale
491,13.00 %,West Sixth Brewing Company,American Amber / Red Ale
492,8.20 %,Phillips Brewing Company,American Amber / Red Ale
493,6.20 %,Berghoff Brewery,American Amber / Red Ale
494,-,Independence Brewing Co. .,American Amber / Red Ale
495,8.80 %,Urban Legend Brewing Company,American Amber / Red Ale
496,5.40 %,Mountain Goat Beer Pty Ltd,American Amber / Red Ale
497,5.20 %,Liberty Street Brewing Company,American Amber / Red Ale
498,6.20 %,Radiant Pig Craft Beers,American Amber / Red Ale
499,3.40 %,Banner Beer Company,American Amber / Red Ale
500,5.50 %,Horseheads Brewing Inc. .,American Amber / Red Ale
501,7.50 %,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale
502,5.60 %,Emmett 's Brewing Company,American Amber / Red Ale
503,5.00 %,Cigar City Brewing,American Amber / Red Ale
504,5.50 %,High Noon Saloon & Brewery,American Amber / Red Ale
505,6.70 %,One Trick Pony,American Amber / Red Ale
506,5.50 %,Fire Station 5 Brewing Company,American Amber / Red Ale
507,5.80 %,RJ Rockers Brewing Company,American Amber / Red Ale
508,10.00 %,Santa Clara Valley Brewing,American Amber / Red Ale
509,5.00 %,Bolero Snort Brewery,American Amber / Red Ale
510,7.00 %,Cortland Beer Company,American Amber / Red Ale
511,4.80 %,Half Moon Bay Brewing Company,American Amber / Red Ale
512,5.45 %,Hawai'i Nui Brewing / Mehana Brewing Company,American Amber / Red Ale
513,5.80 %,Ram Restaurant & Brewery,American Amber / Red Ale
514,7.00 %,Ruckus Brewing,American Amber / Red Ale
515,5.30 %,Sun King Brewing Company,American Amber / Red Ale
516,7.00 %,Omnipollo,American Amber / Red Ale
517,5.20 %,Two Beers Brewing Co. .,American Amber / Red Ale
518,4.50 %,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale
519,7.18 %,Black Shirt Brewing Co. .,American Amber / Red Ale
520,4.00 %,Utah Brewers Cooperative,American Amber / Red Ale
521,-,Thirsty Pagan Brewing,American Amber / Red Ale
522,8.00 %,Hop Valley Brewing Company,American Amber / Red Ale
523,-,Anheuser-Busch,American Amber / Red Ale
524,5.00 %,Costa Rica 's Craft Brewing Co. .,American Amber / Red Ale
525,5.60 %,Central City Brewers + Distillers,American Amber / Red Ale
526,-,Heavy Seas Beer,American Amber / Red Ale
527,7.00 %,Hi-Wire Brewing,American Amber / Red Ale
528,6.50 %,Georgetown Brewing Company,American Amber / Red Ale
529,4.00 %,Moab Brewery,American Amber / Red Ale
530,6.50 %,Fordham Brewing Company,American Amber / Red Ale
531,5.70 %,Northshire Brewery,American Amber / Red Ale
532,5.50 %,Bridge Brew Works LLC,American Amber / Red Ale
533,5.50 %,Piney River Brewing Co. .,American Amber / Red Ale
534,7.10 %,Pikes Peak Brewing Company,American Amber / Red Ale
535,5.60 %,Mickey Finn 's Brewery,American Amber / Red Ale
536,9.20 %,Kane Brewing Company,American Amber / Red Ale
537,5.70 %,Orlando Brewing Partners,American Amber / Red Ale
538,4.00 %,Snoqualmie Falls Brewing Company & Taproom,American Amber / Red Ale
539,5.25 %,Cahaba Brewing Company,American Amber / Red Ale
540,5.00 %,Red Brick Station,American Amber / Red Ale
541,5.00 %,Southend Brewery & Smokehouse,American Amber / Red Ale
542,8.00 %,Lagerheads Smokehouse & Brewing Co. .,American Amber / Red Ale
543,-,Black Husky Brewing,American Amber / Red Ale
544,5.50 %,Eastern Shore Brewing,American Amber / Red Ale
545,5.00 %,Ezo Beer KK,American Amber / Red Ale
546,6.10 %,Broad Brook Brewing Company,American Amber / Red Ale
547,5.00 %,August Schell Brewing Company,American Amber / Red Ale
548,5.30 %,River Rat Brewery,American Amber / Red Ale
549,5.42 %,A1A Aleworks,American Amber / Red Ale
550,4.50 %,Jacob Leinenkugel Brewing Company,American Amber / Red Ale
551,-,Phantom Canyon Brewing Company,American Amber / Red Ale
552,-,Portsmouth Brewing Co. / Mault 's Brewpub,American Amber / Red Ale
553,5.30 %,Round Barn Brewery,American Amber / Red Ale
554,5.40 %,Marin Brewing Company,American Amber / Red Ale
555,7.30 %,Lonerider Brewing Company,American Amber / Red Ale
556,5.50 %,Granville Island Brewery,American Amber / Red Ale
557,5.30 %,Midland Brewing Company,American Amber / Red Ale
558,5.50 %,The BrÃ 1/4 Rm . at BAR,American Amber / Red Ale
559,6.50 %,North End Tavern & Brewery,American Amber / Red Ale
560,6.30 %,Southern Oregon Brewing Company,American Amber / Red Ale
561,4.80 %,Broadhead Brewing Company,American Amber / Red Ale
562,5.00 %,Atwater Brewery,American Amber / Red Ale
563,5.40 %,Capitol City Brewing,American Amber / Red Ale
564,4.50 %,Black Bear Brewery,American Amber / Red Ale
565,6.00 %,Mayday Brewery,American Amber / Red Ale
566,4.62 %,Galena Brewing Company,American Amber / Red Ale
567,5.40 %,Golden Valley Brewery and Pub,American Amber / Red Ale
568,5.10 %,Ezo Beer KK,American Amber / Red Ale
569,5.00 %,Wisconsin Dells Brewing Co. .,American Amber / Red Ale
570,-,Franconia Brewing Company,American Amber / Red Ale
571,5.60 %,Half Full Brewery,American Amber / Red Ale
572,5.20 %,Tied House Cafe & Brewery,American Amber / Red Ale
573,4.60 %,Homestead Beer Co. .,American Amber / Red Ale
574,4.70 %,Mountain Sun Pub & Brewery,American Amber / Red Ale
575,-,Mt. Carmel Brewing Company,American Amber / Red Ale
576,5.50 %,Sleeman Breweries Ltd. .,American Amber / Red Ale
577,5.20 %,Mammoth Brewing Company,American Amber / Red Ale
578,-,Fiddler 's Green Brewing Company,American Amber / Red Ale
579,9.10 %,DESTIHL Brewery,American Amber / Red Ale
580,5.80 %,The Fin City Brewing Co. .,American Amber / Red Ale
581,5.25 %,Public Works Ale,American Amber / Red Ale
582,5.40 %,Horny Goat Brewing Co. .,American Amber / Red Ale
583,5.60 %,New Republic Brewing Company,American Amber / Red Ale
584,5.70 %,RoughTail Brewing Co. .,American Amber / Red Ale
585,5.74 %,Coalition Brewing Co. .,American Amber / Red Ale
586,6.00 %,Bison Brewing,American Amber / Red Ale
587,6.80 %,Pig Minds Brewing Co. .,American Amber / Red Ale
588,5.30 %,Day Block Brewing Company,American Amber / Red Ale
589,-,Grand Lake Brewing Company,American Amber / Red Ale
590,4.70 %,Pizza Port Solana Beach,American Amber / Red Ale
591,-,Mackinaw Brewing Company,American Amber / Red Ale
592,9.40 %,Yellowhammer Brewing,American Amber / Red Ale
593,5.60 %,Caldera Brewing Company,American Amber / Red Ale
594,5.80 %,Kuhnhenn Brewing Company,American Amber / Red Ale
595,-,North by Northwest Restaurant & Brewery,American Amber / Red Ale
596,6.00 %,Empyrean Brewing Company,American Amber / Red Ale
597,-,Estes Park Brewery,American Amber / Red Ale
598,4.10 %,Firehouse Brewing Co. .,American Amber / Red Ale
599,-,Ei8ht Ball Brewing,American Amber / Red Ale
600,-,Long Valley Pub & Brewery,American Amber / Red Ale
601,5.00 %,Big Rock Brewery,American Amber / Red Ale
602,6.00 %,Lawson 's Finest Liquids,American Amber / Red Ale
603,5.50 %,Keuka Brewing Company,American Amber / Red Ale
604,9.00 %,Cerveza Artesanal BarbaRoja,American Amber / Red Ale
605,7.10 %,Zipline Brewing Co,American Amber / Red Ale
606,5.80 %,Olde Main Brewing Co. & Restaurant,American Amber / Red Ale
607,8.20 %,Cricket Hill Brewing Co. .,American Amber / Red Ale
608,5.60 %,Tamarack Brewing Company,American Amber / Red Ale
609,5.00 %,Rockyard Brewing,American Amber / Red Ale
610,6.50 %,Lucid Brewing,American Amber / Red Ale
611,5.60 %,Depot Street Brewing,American Amber / Red Ale
612,5.00 %,Mt. Begbie Brewing Co. .,American Amber / Red Ale
613,9.10 %,Beachwood BBQ & Brewing,American Amber / Red Ale
614,4.40 %,Railway City Brewing Company,American Amber / Red Ale
615,5.00 %,Moosehead Breweries Ltd. .,American Amber / Red Ale
616,6.70 %,El Segundo Brewing Company,American Amber / Red Ale
617,3.50 %,TRVE Brewing Co. .,American Amber / Red Ale
618,6.00 %,Arizona Wilderness Brewing Co,American Amber / Red Ale
619,6.20 %,Tenaya Creek Brewery,American Amber / Red Ale
620,5.40 %,Devils Backbone Brewing Company,American Amber / Red Ale
621,6.00 %,Bull & Bush Brewery,American Amber / Red Ale
622,6.20 %,Four Corners Brewing Company,American Amber / Red Ale
623,7.70 %,The LAB ( Lexington Avenue Brewery ),American Amber / Red Ale
624,6.00 %,Naked Dove Brewing Company,American Amber / Red Ale
625,4.80 %,Coney Island Brewing Company,American Amber / Red Ale
626,6.20 %,Micro-brasserie Saint-Arnould,American Amber / Red Ale
627,5.00 %,Brasseurs Sans Gluten,American Amber / Red Ale
628,7.00 %,Jackie O 's Pub & Brewery,American Amber / Red Ale
629,6.40 %,St. Francis Brewery & Restaurant,American Amber / Red Ale
630,6.70 %,Blue Point Brewing Company,American Amber / Red Ale
631,7.50 %,Birra Tenute Collesi SRL,American Amber / Red Ale
632,5.40 %,Moat Mountain Smoke House & Brewing Co. .,American Amber / Red Ale
633,6.50 %,Brasserie De Brunehaut,American Amber / Red Ale
634,5.50 %,Hoptown Brewing Company,American Amber / Red Ale
635,5.70 %,Ice Harbor Brewing Company,American Amber / Red Ale
636,5.80 %,Original Ittinger KlosterbrÃ $ u,American Amber / Red Ale
637,5.00 %,Geneva Lake Brewing Company,American Amber / Red Ale
638,6.00 %,Ellis Island Casino & Brewery,American Amber / Red Ale
639,7.07 %,Odd13 Brewing,American Amber / Red Ale
640,5.20 %,CB Craft Brewers,American Amber / Red Ale
641,5.70 %,Caldera Brewing Company,American Amber / Red Ale
642,4.80 %,Sun Up Brewing Co. .,American Amber / Red Ale
643,4.50 %,BrewDog,American Amber / Red Ale
644,-,World Brews,American Amber / Red Ale
645,6.00 %,Strawn Brewing Company,American Amber / Red Ale
646,8.50 %,Madhouse Brewing Company,American Amber / Red Ale
647,8.70 %,Iron Hill Brewery & Restaurant,American Amber / Red Ale
648,4.80 %,Silver Gulch Brewing and Bottling Co. .,American Amber / Red Ale
649,4.50 %,The Able Ebenezer Brewing Company,American Amber / Red Ale
650,7.60 %,Southbound Brewing Company,American Amber / Red Ale
651,6.30 %,Firefly Hollow Brewing Co. .,American Amber / Red Ale
652,8.24 %,Bitter Root Brewing,American Amber / Red Ale
653,9.00 %,Monday Night Brewing,American Amber / Red Ale
654,5.00 %,Wormtown Brewery,American Amber / Red Ale
655,9.50 %,Pizza Port Solana Beach,American Amber / Red Ale
656,7.20 %,Noble Ale Works,American Amber / Red Ale
657,4.00 %,Zion Canyon Brewing Company,American Amber / Red Ale
658,4.50 %,Granville Island Brewery,American Amber / Red Ale
659,5.20 %,Thunderhead Brewing Company,American Amber / Red Ale
660,5.50 %,Hopothesis Beer Company,American Amber / Red Ale
661,7.80 %,Ale Asylum,American Amber / Red Ale
662,5.50 %,NÃ ¸ rrebro Bryghus,American Amber / Red Ale
663,9.00 %,Flying Fish Brewing Company,American Amber / Red Ale
664,-,Maumee Bay Brewing Company,American Amber / Red Ale
665,6.00 %,Kuhnhenn Brewing Company,American Amber / Red Ale
666,5.00 %,Brouwerij Martens NV,American Amber / Red Ale
667,10.30 %,Breakside Brewery,American Amber / Red Ale
668,4.60 %,Two Birds Brewing,American Amber / Red Ale
669,5.00 %,Okanagan Spring Brewery,American Amber / Red Ale
670,5.90 %,Fort George Brewery + Public House,American Amber / Red Ale
671,4.70 %,Beer Here,American Amber / Red Ale
672,5.50 %,Mudshark Brewing Co. .,American Amber / Red Ale
673,6.00 %,Sprecher Brewing Company,American Amber / Red Ale
674,-,Boundary Bay Brewery & Bistro,American Amber / Red Ale
675,7.00 %,Battered Boar Brewing Company,American Amber / Red Ale
676,10.80 %,Eagle Rock Brewery,American Amber / Red Ale
677,5.20 %,Four Sons Brewing,American Amber / Red Ale
678,8.60 %,The Actual Brewing Co. .,American Amber / Red Ale
679,7.30 %,Tustin Brewing Company,American Amber / Red Ale
680,4.50 %,Chicago Brewing Company,American Amber / Red Ale
681,5.80 %,Ram Restaurant & Brewery,American Amber / Red Ale
682,5.25 %,Odd Side Ales,American Amber / Red Ale
683,5.40 %,Ontario Beer Company,American Amber / Red Ale
684,5.00 %,Denen Plaza Kawaba Brewery,American Amber / Red Ale
685,-,Pair O ' Dice Brewing Company,American Amber / Red Ale
686,6.40 %,Weeping Radish Eco Farm & Brewery,American Amber / Red Ale
687,6.00 %,Back Bay Brewing Co. .,American Amber / Red Ale
688,5.00 %,Crooked Ladder Brewing Company,American Amber / Red Ale
689,5.50 %,Infamous Brewing Company,American Amber / Red Ale
690,5.50 %,Cerveceria Mexicana S.A. De C.V.,American Amber / Red Ale
691,5.30 %,DESTIHL Brewery,American Amber / Red Ale
692,5.30 %,All Saints Brewing Company,American Amber / Red Ale
693,5.70 %,Barrio Brewing Company,American Amber / Red Ale
694,6.20 %,Ruhstaller,American Amber / Red Ale
695,8.00 %,Brew Hub,American Amber / Red Ale
696,9.00 %,BJ 's Restaurant & Brewhouse,American Amber / Red Ale
697,7.70 %,Fearless Brewing Company,American Amber / Red Ale
698,6.00 %,Roy Pitz Brewing Company,American Amber / Red Ale
699,9.90 %,Black Market Brewing Co. .,American Amber / Red Ale
700,6.20 %,Les 3 Brasseurs Vieux-MontrÃ © al,American Amber / Red Ale
701,4.80 %,Circle Brewing Company,American Amber / Red Ale
702,5.00 %,The Seven Barrel Brewery,American Amber / Red Ale
703,7.50 %,Rhinegeist Brewery,American Amber / Red Ale
704,8.20 %,Boston Beer Works - Canal Street,American Amber / Red Ale
705,5.20 %,Great Adirondack Steak And Seafood Co. .,American Amber / Red Ale
706,5.00 %,Fernie Brewing Co. .,American Amber / Red Ale
707,5.40 %,Roosterfish Brewing Co. .,American Amber / Red Ale
708,-,New South Brewing Co. .,American Amber / Red Ale
709,5.80 %,Morgantown Brewing Company,American Amber / Red Ale
710,-,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale
711,4.90 %,Brewboys,American Amber / Red Ale
712,4.90 %,Barkerville Brewing Co. .,American Amber / Red Ale
713,6.10 %,Hop Valley Brewing Company,American Amber / Red Ale
714,6.30 %,Wit 's End Brewing Company,American Amber / Red Ale
715,5.50 %,Backwoods Brewing Company,American Amber / Red Ale
716,5.60 %,Faction Brewing,American Amber / Red Ale
717,4.50 %,BlueTarp Brewing Co. .,American Amber / Red Ale
718,6.20 %,Four Corners Brewing Company,American Amber / Red Ale
719,8.20 %,Voodoo Brewing Company,American Amber / Red Ale
720,6.50 %,New England Brewing Co. .,American Amber / Red Ale
721,4.50 %,McCashin 's Brewery,American Amber / Red Ale
722,5.50 %,Fat Head 's Brewery & Saloon,American Amber / Red Ale
723,5.00 %,Bluegrass Brewing Co. - East St. Matthew 's,American Amber / Red Ale
724,5.20 %,Ecliptic Brewing,American Amber / Red Ale
725,-,Market Cross Pub & Brewery,American Amber / Red Ale
726,8.90 %,Firefly Hollow Brewing Co. .,American Amber / Red Ale
727,8.00 %,Temperance Beer Co. .,American Amber / Red Ale
728,4.70 %,World Brews,American Amber / Red Ale
729,5.60 %,Beach Chalet Brewery and Restaurant,American Amber / Red Ale
730,5.00 %,Naked Dove Brewing Company,American Amber / Red Ale
731,7.10 %,Revolution Brewing Company,American Amber / Red Ale
732,-,Abita Brewing Co. .,American Amber / Red Ale
733,5.50 %,Royal Oak Brewery,American Amber / Red Ale
734,6.00 %,Triple Rock Brewery & Alehouse,American Amber / Red Ale
735,6.00 %,Altamont Beer Works,American Amber / Red Ale
736,5.80 %,Petoskey Brewing Company,American Amber / Red Ale
737,6.80 %,Freetail Brewing Company,American Amber / Red Ale
738,5.00 %,McAuslan Brewing,American Amber / Red Ale
739,6.50 %,Brasserie Distillerie Du Mont Blanc,American Amber / Red Ale
740,11.00 %,Clown Shoes,American Amber / Red Ale
741,6.70 %,Vintage Brewing Company,American Amber / Red Ale
742,8.10 %,Council Brewing Company,American Amber / Red Ale
743,-,Les 3 Brasseurs,American Amber / Red Ale
744,5.00 %,Dick 's Brewing Company,American Amber / Red Ale
745,5.00 %,Dead Frog Brewing,American Amber / Red Ale
746,5.10 %,World Brews,American Amber / Red Ale
747,7.10 %,Green Man Brewery,American Amber / Red Ale
748,-,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale
749,5.90 %,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale
750,6.00 %,Texas Ale Project,American Amber / Red Ale
751,-,Fulton Beer,American Amber / Red Ale
752,9.00 %,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale
753,4.50 %,Thornbridge Brewery,American Amber / Red Ale
754,4.60 %,Railway City Brewing Company,American Amber / Red Ale
755,5.00 %,Sail and Anchor Pub Brewery,American Amber / Red Ale
756,5.00 %,Wachusett Brewing Company,American Amber / Red Ale
757,5.80 %,Pinthouse Pizza Craft Brewpub,American Amber / Red Ale
758,-,Santa Barbara Brewing Company,American Amber / Red Ale
759,5.00 %,Great Black Swamp Brewing Co. .,American Amber / Red Ale
760,4.50 %,Septem Microbrewery,American Amber / Red Ale
761,7.00 %,CIB Brewery & BBQ,American Amber / Red Ale
762,-,Phantom Canyon Brewing Company,American Amber / Red Ale
763,-,Four Corners Brewing Company,American Amber / Red Ale
764,6.00 %,L'AmÃ ¨ re _ Boire,American Amber / Red Ale
765,6.50 %,Hardknott Brewery,American Amber / Red Ale
766,-,Boston Beer Works - Canal Street,American Amber / Red Ale
767,5.20 %,Barley and Hops Grill & Microbrewery,American Amber / Red Ale
768,4.50 %,Mildura Theatre Brewery Pty Ltd,American Amber / Red Ale
769,-,Liberty Steakhouse & Brewery,American Amber / Red Ale
770,5.00 %,Persephone Brewing,American Amber / Red Ale
771,6.00 %,Alameda Brewhouse,American Amber / Red Ale
772,6.40 %,Galaxy Brewing Company,American Amber / Red Ale
773,6.10 %,Flat 12 Bierwerks,American Amber / Red Ale
774,4.60 %,World Brews,American Amber / Red Ale
775,5.10 %,Olde Peninsula Brewpub & Restaurant,American Amber / Red Ale
776,5.70 %,Dragonmead Microbrewery,American Amber / Red Ale
777,6.00 %,Bowen Island Brewing Co. Ltd. .,American Amber / Red Ale
778,5.50 %,Silver Moon Brewing,American Amber / Red Ale
779,4.40 %,Captain Lawrence Brewing Co. .,American Amber / Red Ale
780,6.50 %,Iron Horse Brewery,American Amber / Red Ale
781,7.50 %,Grand Lake Brewing Company,American Amber / Red Ale
782,5.00 %,Harviestoun Brewery Ltd. .,American Amber / Red Ale
783,4.50 %,Beer Here,American Amber / Red Ale
784,4.70 %,Phantom Carriage,American Amber / Red Ale
785,7.80 %,River City Brewing Co. .,American Amber / Red Ale
786,-,Engine House No. 9,American Amber / Red Ale
787,6.20 %,Endeavour Beverages,American Amber / Red Ale
788,5.20 %,Highland Brewing,American Amber / Red Ale
789,5.80 %,Marley 's Brewery And Grille,American Amber / Red Ale
790,6.30 %,Magic Rock Brewing,American Amber / Red Ale
791,4.60 %,Yazoo Brewing Company,American Amber / Red Ale
792,4.50 %,Anacortes Brewery & Rockfish Grill,American Amber / Red Ale
793,5.00 %,The Lucky Monk,American Amber / Red Ale
794,5.50 %,Water Street Brewery,American Amber / Red Ale
795,-,21st Amendment Brewery,American Amber / Red Ale
796,5.40 %,Great Western Brewing,American Amber / Red Ale
797,5.20 %,The Unknown Brewing Co. .,American Amber / Red Ale
798,5.50 %,Asher Brewing Company,American Amber / Red Ale
799,8.50 %,Smog City Brewing,American Amber / Red Ale
800,5.20 %,Beaver Street Brewery & Whistle Stop Cafe,American Amber / Red Ale
801,5.20 %,Kennebec River Brewery,American Amber / Red Ale
802,5.20 %,The Defiant Brewing Company,American Amber / Red Ale
803,5.90 %,3 Daughters Brewing,American Amber / Red Ale
804,10.00 %,Kern River Brewing Company,American Amber / Red Ale
805,7.40 %,The Wrecking Bar Brewpub,American Amber / Red Ale
806,6.60 %,Six String Brewing Company,American Amber / Red Ale
807,5.00 %,Great Rhythm Brewing Company,American Amber / Red Ale
808,5.20 %,Mill House Brewing Company,American Amber / Red Ale
809,4.50 %,Krogh 's Restaurant And Brewpub,American Amber / Red Ale
810,5.60 %,Big Dog 's Draft House,American Amber / Red Ale
811,6.20 %,Dempsey 's Restaurant And Brewery,American Amber / Red Ale
812,6.30 %,Right Brain Brewery,American Amber / Red Ale
813,6.60 %,Jupiter,American Amber / Red Ale
814,8.50 %,Auburn Alehouse Brewery & Restaurant,American Amber / Red Ale
815,-,Peg 's Cantina & Brew Pub,American Amber / Red Ale
816,6.00 %,Freetail Brewing Company,American Amber / Red Ale
817,7.00 %,Intuition Ale Works,American Amber / Red Ale
818,5.50 %,Creature Comforts,American Amber / Red Ale
819,-,The Cannon Brewpub,American Amber / Red Ale
820,4.60 %,Tiny Rebel Brewing Co. .,American Amber / Red Ale
821,-,Harmon Restaurant & Brewery,American Amber / Red Ale
822,6.40 %,7 Seas Brewery and Taproom,American Amber / Red Ale
823,5.80 %,StormBreaker Brewing,American Amber / Red Ale
824,-,Big Time Brewery & Alehouse,American Amber / Red Ale
825,7.90 %,Austin Beer Garden Brewing Co. .,American Amber / Red Ale
826,6.00 %,Microbrasserie de l'ile d'OrlÃ © ans,American Amber / Red Ale
827,5.00 %,Microbrasserie du LiÃ ¨ vre,American Amber / Red Ale
828,-,Duquesne Bottling Company,American Amber / Red Ale
829,4.80 %,Bent Hill Brewery,American Amber / Red Ale
830,5.00 %,Crossroads Brewing Company,American Amber / Red Ale
831,6.00 %,Bullfrog Brewery,American Amber / Red Ale
832,5.00 %,Picaroons Brewing Co. .,American Amber / Red Ale
833,9.20 %,Three Heads Brewing,American Amber / Red Ale
834,-,Minocqua Brewing Company,American Amber / Red Ale
835,-,McMenamins,American Amber / Red Ale
836,7.00 %,Aspen Brewing Co. .,American Amber / Red Ale
837,8.30 %,HammerHeart Brewing Company,American Amber / Red Ale
838,7.40 %,Obed & Isaac _ ™ s Microbrewery & Eatery,American Amber / Red Ale
839,5.50 %,Howe Sound Inn & Brewing Company,American Amber / Red Ale
840,6.50 %,Riverside Brewing Company,American Amber / Red Ale
841,8.30 %,Snoqualmie Falls Brewing Company & Taproom,American Amber / Red Ale
842,6.50 %,The Grumpy Troll Restaurant and Brewery,American Amber / Red Ale
843,6.20 %,Williams Brothers Brewing Company,American Amber / Red Ale
844,7.50 %,Payette Brewing,American Amber / Red Ale
845,5.00 %,Microbrasserie Pit Caribou,American Amber / Red Ale
846,5.50 %,Stoup Brewing,American Amber / Red Ale
847,5.00 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale
848,6.70 %,Tradesman Brewing Co. .,American Amber / Red Ale
849,6.10 %,Crabtree Brewing Company,American Amber / Red Ale
850,5.60 %,Pumphouse Brewery,American Amber / Red Ale
851,5.00 %,Bogota Beer Company,American Amber / Red Ale
852,4.80 %,Snowy Mountains Brewery,American Amber / Red Ale
853,6.00 %,Baja Brewing Company,American Amber / Red Ale
854,6.00 %,Boxing Rock Brewing Co. .,American Amber / Red Ale
855,5.50 %,Original Gravity Brewing Company,American Amber / Red Ale
856,7.00 %,Rip Current Brewing,American Amber / Red Ale
857,5.60 %,Big Muddy Brewing,American Amber / Red Ale
858,6.50 %,Drake 's Brewing Co. .,American Amber / Red Ale
859,6.83 %,5 Stones Craft Brewing Co. .,American Amber / Red Ale
860,5.30 %,Big Elm Brewing,American Amber / Red Ale
861,-,Bold City Brewery,American Amber / Red Ale
862,6.00 %,Cervejaria AmazÃ ´ nia Ltda .,American Amber / Red Ale
863,6.00 %,Labatt Brewing Company Ltd. .,American Amber / Red Ale
864,5.50 %,Strangeways Brewing,American Amber / Red Ale
865,6.00 %,Double Barley Brewing,American Amber / Red Ale
866,-,Charlie & Jake 's Brewery & Grille,American Amber / Red Ale
867,4.70 %,Lervig Aktiebryggeri AS,American Amber / Red Ale
868,5.60 %,Redhook Ale Brewery,American Amber / Red Ale
