entry_id,event_site,paper_title,release_year
2266,the vldb journal -- the international journal on very large data bases,psoup : a system for streaming queries over streaming data,2003
2267,very large data bases,an overview of repository technology,1994
2268,the vldb journal -- the international journal on very large data bases,aurora : a new model and architecture for data stream management,2003
2269,very large data bases,implementing lazy database updates for an object database system,1994
2270,the vldb journal -- the international journal on very large data bases,a performance study of four index structures for set-valued attributes of low cardinality,2003
2271,very large data bases,persistent threads,1994
2272,the vldb journal -- the international journal on very large data bases,instance-based attribute identification in database integration,2003
2273,very large data bases,fast incremental indexing for full-text information retrieval,1994
2274,the vldb journal -- the international journal on very large data bases,computing complete answers to queries in the presence of limited access patterns,2003
2275,very large data bases,access to objects by path expressions and rules,1994
2276,the vldb journal -- the international journal on very large data bases,cost-driven vertical class partitioning for methods in object oriented databases,2003
2277,very large data bases,some issues in design of distributed deductive databases,1994
2278,acm sigmod record,standards for databases on the grid,2003
2279,very large data bases,supporting exceptions to schema consistency to ease schema evolution in oodbms,1994
2280,acm sigmod record,dbglobe : a service-oriented p2p system for global computing,2003
2281,very large data bases,indexing multiple sets,1994
2282,acm sigmod record,selective information dissemination in p2p networks : problems and solutions,2003
2283,very large data bases,a low-cost storage server for movie on demand databases,1994
2284,acm sigmod record,in-context peer-to-peer information filtering on the web,2003
2285,very large data bases,cumulative updates,1994
2286,the vldb journal -- the international journal on very large data bases,re-tree : an efficient index structure for regular expressions,2003
2287,very large data bases,an approach for building secure database federations,1994
2288,the vldb journal -- the international journal on very large data bases,a case for fractured mirrors,2003
2289,very large data bases,dual-buffering strategies in object bases,1994
2290,the vldb journal -- the international journal on very large data bases,guest editorial,2003
2291,very large data bases,graphdb : modeling and querying graphs in databases,1994
2292,acm sigmod record,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002 .",2003
2293,very large data bases,bulk loading into an oodb : a performance study,1994
