beer_pk,brew_item,brew_type,manufacturer_name
944,Plattsburgh Brewing Spitfire Red Ale,Amber Ale,Plattsburgh Brewing Company
945,Dunedin IPA Chronicle 8 : Scottish,India Pale Ale &#40; IPA &#41;,Dunedin Brewery
946,Amsterdam Big Wheel Deluxe Amber Beer,Amber Ale,Amsterdam Brewing Company
947,Tommyknocker Mountain City Amber Ale,Amber Ale,Tommyknocker Brewery
948,Lovibonds Henley Amber,Bitter,Lovibonds
949,Rockaway Double Curiosity,American Strong Ale,Rockaway Brewing Company
950,AJ_s Ales Ruby Red,Bitter,AJ_s Ales
951,Lighthouse Lumberjack Amber Ale,Amber Ale,Lighthouse Brewing Company &#40; USA &#41;
952,2 Brothers Rusty,Belgian Ale,2 Brothers Brewery
953,3 Rivers Pilgrims Progress,Golden Ale/Blond Ale,3 Rivers
954,14th Star Valor Ale,Amber Ale,14th Star Brewing Company
955,Baerlic Primeval Brown Ale,Brown Ale,Baerlic Brewing
956,Von Jakob Red Ale,American Pale Ale,Von Jakob Vineyard & Brewery
957,Cornerstone Patriot Red,Amber Ale,Cornerstone Brewing Company
958,Blue Mountain / Beer Run PR Job,India Pale Ale &#40; IPA &#41;,Blue Mountain Brewery
959,Benford Summer Irish Blonde,Golden Ale/Blond Ale,Benford Brewing
960,Brown Ales Full Metal Jacket,American Pale Ale,Ashover
961,Right Brain Northern Hawk Owl Amber,Amber Ale,Right Brain Brewery
962,Draught Works Shadow Caster,Altbier,Draught Works Brewery
963,Former Future Second Story,Amber Ale,Former Future Brewing Company
964,Audacity Wallonia,Saison,Audacity Brew House
965,1565 Victory Lager,Pale Lager,LÃ ¶ wenbrÃ $ u Munich &#40; InBev &#41;
966,The Beer Diviner Rudy_s Hammer Pale Ale,English Pale Ale,Bly Hollow Brewery
967,Sornin AmbrÃ © e &#40; Biere du Sornin &#41;,Amber Ale,Les Brasseurs du Sornin
968,Swamp Head Lost in Time Amber Ale,Amber Ale,Swamp Head Brewery
969,Bad Bear Amber Ale,Amber Ale,Bad Bear Brewery
970,Duncans Founders 1903 Red Ale,Amber Ale,Duncans Founders Brewery &#40; Independent Breweries NZ &#41;
971,Full Sail Nugget Special Red Ale,Amber Ale,Full Sail Brewing Company
972,William Street Red Sky Amber Ale,Amber Ale,William Street Beer Co. .
973,Pitchfork Cranberry Cheer Amber,Fruit Beer,Pitchfork Brewing Company
974,Arcadia Panama Red,Smoked,Arcadia Brewing Company
975,La Fabrique Salamagone,American Pale Ale,La Fabrique
976,Small Batch A Player to be Named Later,Amber Ale,Small Batch Beer Company
977,Barley Macca Meda,Amber Ale,Birrificio Barley
978,BRASSTA Rousse et Or,Irish Ale,Brasseurs du Nord
979,Celestial Meads Odins Gift,Mead,Celestial Meads
980,Kern River Dirty Hippie Imperial Red Ale,American Strong Ale,Kern River Brewing
981,Minhas Lazy Mutt Alberta Red Ale,Amber Ale,Minhas Micro Brewery - Calgary
982,Twin Peaks Ride The Hoh &#033; Red Ale,Irish Ale,Twin Peaks Brewing and Malting Company
983,Bear Creek Log Jam Amber,Amber Ale,Bear Creek Brewing Company
984,New Glory Rapid Fire Red Ale,Amber Ale,New Glory Craft Brewery
985,I & I Bitter Orange Blossom,Amber Ale,I & I Brewing
986,Scuttlebutt Amber Ale,Amber Ale,Scuttlebutt Brewing Co. .
987,Carlsberg Brewmasters Collection India Pale Ale,India Pale Ale &#40; IPA &#41;,Carlsberg Brewery
988,Loch Lomond The Ale of Leven,Bitter,Loch Lomond
989,Maku Amber Ale,Amber Ale,Maku Brewing
990,Isle of Mull The Red Monk of Iona,Amber Ale,Oban Bay &#40; Argyll Breweries &#41;
991,Multi-Brasses Buck Rousse,Amber Ale,Multi-Brasses
992,Aslan Alpenglow Summer Ale,Golden Ale/Blond Ale,Aslan Brewing Company
993,Green Room Ravenous Ruby Red,Amber Ale,Green Room Brewing &#40; FL &#41;
994,Ithaca Cascazilla,Amber Ale,Ithaca Beer Company
995,Kona Aina Brown Ale,Brown Ale,Kona Brewing Company
996,Mountain Town Cow Catcher Red Ale,Amber Ale,Mountain Town Brewing Company
997,Ice Harbor Double Red Ale - Fresh Hop,Amber Ale,Ice Harbor Brewing Company
998,Liberator Carols Speckelbelly Amber,Amber Ale,Liberator Brewing
999,Firehouse Smokin _ Betty,Smoked,Firehouse Brewing Company &#40; SD &#41;
1000,BJ_s Goliath,Barley Wine,BJ_s Restaurant & Brewhouse
1001,Banger Rebellion Red,Irish Ale,Banger Brewing Company
1002,Smog City Sabre Toothed Squirrel,Amber Ale,Smog City Brewing
1003,Bushnell Bofuss Amber Ale,Amber Ale,Bushnell Craft Brewing
1004,Wendlandt Harry Polanco Red Ale,Amber Ale,CervecerÃa Wendlandt
1005,Blue Ridge Hiawassee Golden Ale,Golden Ale/Blond Ale,Blue Ridge Brewery
1006,Maui Brewing Hole in the Head Red,Amber Ale,Maui Brewing Company
1007,Schoune Alsacienne Pale Ale,India Pale Ale &#40; IPA &#41;,Ferme Brasserie Schoune
1008,5 Seasons Westside Jurassic Fat Lip Belgian Amber,Belgian Ale,5 Seasons Westside
1009,Oskar Blues G_Knight &#40; Apple Whiskey Barrel &#41;,American Strong Ale,Oskar Blues Brewery
1010,Bells Debs Red Ale,Amber Ale,Bells Brewery
1011,Great Waters Killybegs Amber Ale,Amber Ale,Great Waters Brewing
1012,Alpha Four Horsemen CuveÃ ©,Sour/Wild Ale,Alpha Brewing Company
1013,Atom Rare Earth,Specialty Grain,Atom
1014,Milwaukee Ale House Scooter Ale,Amber Ale,Milwaukee Ale House
1015,3 Ravens / Bacchus / Holgate / Moo Brew The Congress,Smoked,3 Ravens
1016,Reads Landing Cap_n Amber,Amber Ale,Reads Landing Brewing Company
1017,Blue Monkey Monkey Wrench,Golden Ale/Blond Ale,Blue Monkey
1018,Carlow O_Hara_s / Starr Hill Foreign Affair,India Pale Ale &#40; IPA &#41;,Carlow
1019,Tapistry Amber Cadabra,Amber Ale,Tapistry Brewing
1020,FlyCaster Yakima River Red,Amber Ale,FlyCaster Brewing Company
1021,Alehouse Yet Another Tick &#033;,Bitter,Verulam
1022,5 Rabbit Gringolandia Series : Magnifica Wheat,Wheat Ale,5 Rabbit Cerveceria
1023,Britt Chat-Malo,Amber Lager/Vienna,Britt &#40; Brasserie de Bretagne &#41;
1024,Caleya Mayuca Amber,Amber Ale,Cerveza Caleya
1025,Out of Bounds Relentless Double Red Ale,American Strong Ale,Out of Bounds Brewing Company
1026,ShuBrew Heart and Sole Imperial Red Ale,American Strong Ale,ShuBrew
1027,Beaver Island Fabulous Armadillo Session IPA,Session IPA,Beaver Island Brewing Company
1028,Duck Foot Red Ale,Amber Ale,Duck Foot Brewing Company
1029,Beer Works Amber Chai,Spice/Herb/Vegetable,Beer Works
1030,Offshore Amber Ale,Amber Ale,Offshore Ale Company
1031,Arbor Red Dawn American Amber,Amber Ale,Arbor Brewing Company Pub & Eatery
1032,Fall Unicorn Stampede,Amber Ale,Fall Brewing Company
1033,Seven Arrows Maelstrom Red,Amber Ale,Seven Arrows Brewing Company
1034,Heartly Amber Ale Lucky Rhino,Amber Ale,Heartly Craft Brewery
1035,Florida Orange Groves Orange Blossom Honey Wine,Mead,Florida Orange Groves
1036,Intuition Ale Works Jesses Girl,Abt/Quadrupel,Intuition Ale Works
1037,Franklins Anacostia Ale,Amber Ale,Brewery & General Store
1038,Lancaster Hop Buggy Amber Ale,Amber Ale,Lancaster Brewing Co. .
1039,Santa Cruz Mountain Nicky 666,American Strong Ale,Santa Cruz Mountain Brewing
1040,Able Ebenezer Emma Wood Pale Ale,Belgian Ale,Able Ebenezer Brewing Company
1041,Briarbank Cardinale Wolsey,Old Ale,Briarbank Brewing
1042,#Freedom A Toast,Brown Ale,#Freedom Craft Brewery
1043,1933 Dry Hopped Irish Red,Irish Ale,1933 Brewing Company
1044,New Boswell The Hoppit Amber Ale,Amber Ale,New Boswell Brewing Company
1045,DryHop Photobomb,American Strong Ale,DryHop Brewers
1046,Eugene City Natty Red,American Strong Ale,Eugene City Brewery & Rogue Ales
1047,Queens Head Fuggles Red Ale,Amber Ale,Queens Head &#40; UK &#41;
1048,Hillcrest Big Red Balls,Imperial IPA,Hillcrest Brewing Company
1049,Arcadia Salted Caramel Amber,Amber Ale,Arcadia Brewing Company
1050,BandWagon North by Northwest,Amber Ale,BandWagon Brewpub
1051,Barley Brothers Freedom Bridge Amber Ale,Amber Ale,Barley Brothers Brewery and Grill
1052,Shine Down Dog Imperial Red,American Strong Ale,Shine Brewing Co. .
1053,Rockslide Rabbit Ears Amber Ale,Amber Ale,Rockslide Brew Pub
1054,Headstrong Mulish Amber Ale,Amber Ale,Headstrong Brewery
1055,SPB Barrel Aged Mississippi Fire Ant,American Strong Ale,Southern Prohibition Brewery
1056,The Libertine Pub / ManRock Brewery Amber Sour Mash,Sour/Wild Ale,The Libertine Pub
1057,Karma Amber Doll,Spice/Herb/Vegetable,Karma
1058,American Sky Curly Juniper Pale Ale,American Pale Ale,Hudson Brewing Company
1059,Storybook Little Red_s Rocking Ale,Amber Ale,Storybook Brewing
1060,Aftershock Red Alert,Amber Ale,Aftershock Brewing Company
1061,American Winter Classic,American Strong Ale,American Brewing Company
1062,Aarup Red Bitter Ale,Premium Bitter/ESB,Aarup Bryghus
1063,Epic Carolina,Amber Ale,Steam Brewing Company
1064,10 Barrel Rude Boy Rye,Specialty Grain,10 Barrel Brewing &#40; AB InBev &#41;
1065,J.G. Crummers Kick Arse Ale,Amber Ale,Custom Brewcrafters
1066,Bootstrap Red Beerd,Irish Ale,Bootstrap Brewing
1067,Pat O_Hara Attitude Adjustment,Amber Ale,Pat O_Hara Brewing Company
1068,Hilton Head Calibogue Amber,Amber Ale,Hilton Head Brewing Company
1069,Hammond River Red Coat India Red Ale,Amber Ale,Hammond River Brewing
1070,Los Muertos Agave Maria Amber Ale,Amber Ale,Los Muertos Brewing
1071,Denver Beer Mud Bug Amber,Amber Ale,Denver Beer Company
1072,Full Sail Amber Ale,Amber Ale,Full Sail Brewing Company
1073,Upland Rad Red Amber Ale,Amber Ale,Upland Brewing Company
1074,Sarasota Brewing Ya Mills Honeymeade Ale,Amber Ale,Sarasota Brewing Company
1075,Funky Buddha Combat Rock,Amber Ale,Funky Buddha Brewery
1076,Black Market Holiday 2014 - Triple Black Rye IPA,American Strong Ale,Black Market Brewing Company
1077,Aux Fous Brassant Hurluberlue,Amber Ale,Aux Fous Brassant
1078,Bredalens GÃ ¥ rdscider,Cider,Bredalens GÃ ¥ rdsmusteri
1079,Charleston Brewing Westward Gaze,Amber Ale,Charleston Brewing Company &#40; WV &#41;
1080,3 Sheeps Rebel Kent The First,Belgian Ale,3 Sheeps Brewing Company
1081,Bowser Winifred Red Raider Ale,Amber Ale,Bowser Brewing Company
1082,75th Street Waldo Wallace Scotch Ale,Scotch Ale,75th Street Brewery
1083,RÃ ¥ danÃ $ s Hillbilly Red Ale,Amber Ale,RÃ ¥ danÃ $ s Bryggeri
1084,Plank Town Lil Red Ryder Ale,Amber Ale,Plank Town Brewing Company
1085,Rockyard Blarney Rock Irish Ale,Irish Ale,Rockyard Brewing Company
1086,Gusswerk AAA Austrian Amber Ale,Amber Ale,Brauerei Gusswerk
1087,Titletown Toasted Oats and Molasses Brown Ale,Brown Ale,Titletown Brewing Company
1088,Bike Rack Rusty Tricycle,Amber Ale,Bike Rack Brewing Company
1089,AllGates Bottoms Up,Bitter,AllGates
1090,Below Grade Super Duty Double Red Ale,American Strong Ale,Below Grade Brewing LLC
1091,Hideout Hired Gun Red,Irish Ale,The Hideout Brewing Company
1092,3 Guys & A Beer_d Happy Holidays De-Icer,Amber Ale,3 Guys & A Beer_d Brewing Company
1093,DuClaw Misfit Red,Amber Ale,DuClaw Brewing Company
1094,Georgetown SuperChopp,American Strong Ale,Georgetown Brewing Company
1095,Beaver Creek Castor Mexican Amber,Amber Ale,Beaver Creek Brewery
1096,Boxing Cat Firecracker Imperial Red Ale,Amber Ale,Boxing Cat Brewery
1097,Stadtguet Amber,Amber Ale,Stadtguet
1098,The Hop Garden Sunset Imperial Amber,American Strong Ale,House of Brews
1099,Ironwood St. Colombanos Of Bobbio Not So Red,Irish Ale,Ironwood Brewing Co. . LLC
1100,Southern Star Red Cockaded Ale,Imperial IPA,Southern Star Brewing Company
1101,Brooksville Hot Head Red Ale,Amber Ale,Brooksville Brewing Company
1102,Bridger Roosevelt Red Ale,Amber Ale,Bridger Brewing
1103,Tumbledown Imp Imperial Red Ale,American Strong Ale,Tumbledown Brewing LLC
1104,Blackstone Red Trail Ale,Amber Ale,Blackstone Restaurant & Brewery
1105,Wensky Saci American Amber Ale,Amber Ale,Wensky Beer
1106,De Koninck TSTBRW 01 Imperial Red Ale,American Strong Ale,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;
1107,Rapscallion Blessing,American Strong Ale,Paper City Brewery
1108,Minhas Fire Brew Red Ale,Amber Ale,Minhas Craft Brewery
1109,Fat Head_s Autumn Brisk Amber Ale,Amber Ale,Fat Head_s Brewery & Saloon
1110,Red Castle Scarlet Throne Amber IPA,India Pale Ale &#40; IPA &#41;,Red Castle Brewery & Distillery
1111,Black Iris Bleeding Heart,Specialty Grain,Black Iris
1112,Bravo Zulu Ember Amber Ale,Amber Ale,Bravo Zulu Brewing
1113,Books & Brews Clifford The Lil Red Ale,Amber Ale,Books & Brews
1114,St Brigid_s TKO Amber Ale,Amber Ale,St Brigid_s Brewery
1115,Wasatch Evolution Amber Ale,Amber Ale,Wasatch Brewery
1116,Cellarmaker Schwag,Brown Ale,Cellarmaker Brewing Company
1117,Dogfish Head Black and Red,Spice/Herb/Vegetable,Dogfish Head Brewery
1118,Amber Summer Bock,Bitter,Amber
1119,Peter Bs Sum Of Hours Imperial Red Ale,American Strong Ale,Peter Bs Brewpub
1120,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,American Strong Ale,Figueroa Mountain Brewing
1121,Horse Heaven Hills Mustang Red,Amber Ale,Horse Heaven Hills Brewery
1122,De Molen Pais & Vree,Belgian Strong Ale,Brouwerij de Molen
1123,Cherry Street The Redcoats Are Cumming,American Strong Ale,Cherry Street Brewing Cooperative
1124,Big Nose Red Ale,Amber Ale,Big Nose Brewing
1125,Atlas Orange is the New Red,Amber Ale,Atlas Brewing Company
1126,Lakeland Brewing Company Damn It,Specialty Grain,Lakeland Brewing Co. & Old School Annex
1127,Prodigal Son Righteous Indignation Organic Red,Amber Ale,Prodigal Son Brewery
1128,Kona Lavaman Red Ale,Amber Ale,Kona Brewing Company
1129,Nebraska Ninja Gnome &#40; Inception Series &#41;,Spice/Herb/Vegetable,Nebraska Brewing Company
1130,Alpine Dog Howl At The Moon Imperial Red,American Strong Ale,Alpine Dog Brewery
1131,Seven Brides Waldo Hills IRA,India Pale Ale &#40; IPA &#41;,Seven Brides Brewing Company
1132,Firehall Stoked Ember Ale,Amber Ale,Firehall Brewery
1133,Glasstown Fortescue Fisherman_s Ale,American Pale Ale,Glasstown Brewing Company
1134,Burial / Quest Calumet Strawberry Rhubarb Grisette,Saison,Burial Beer Company
1135,Revolutions / Five Towns Scary Monsters,Black IPA,Revolutions
1136,Excel My Hoppy Valentine,Amber Ale,Excel Brewing Company
1137,Fetching Lab Round Up Amber,Amber Ale,Fetching Lab Brewery
1138,Ore Dock Good Grist,Specialty Grain,Ore Dock Brewing Company
1139,Adnams / The Alchemist Enraptured,Amber Ale,Adnams
1140,1516 Pub & Brewery May Smoked Ale,Smoked,1516 Pub & Brewery
1141,Off the Grid Trail Blazer Red,American Strong Ale,Inland Empire Brewing
1142,Rogue Dry Hopped St. Rogue Red Ale,Amber Ale,Rogue Ales
1143,Ipswich Harvest Ale,India Pale Ale &#40; IPA &#41;,Ipswich Ale Brewery
1144,Alley Kat Dragon Series Bearded Dragon Imperial Red IPA,Imperial IPA,Alley Kat Brewing Company
1145,Ragtime Tavern Atlantic Beach Amber,Amber Ale,Ragtime Tavern &#40; Gordon Biersch &#41;
1146,3Cross Kannibaal,Amber Ale,3Cross Brewing Company
1147,Mismatch Archie_s Red Ale,Amber Ale,Big Shed Brewing Concern
1148,Twains River Sunset Amber,Amber Ale,Twains Billiards and Tap
1149,Elk Grove Woodys Hophead Red,Amber Ale,Elk Grove Brewery
1150,Amherst Ace in the Hole Pilsner,Pilsener,Amherst Brewing Company
1151,Gallo Red Lager,Amber Lager/Vienna,Cerveceria Centro Americana
1152,Big Muddy Saluki Dunkeldog Dark Amber,Amber Ale,Big Muddy Brewing Company
1153,Short_s Proverbial Mind Spread,Amber Ale,Short_s Brewing Company
1154,Bear Republic Smoked Prickly Pear Lager,Amber Lager/Vienna,Bear Republic Brewing Company
1155,Franciscan Well Rebel Red Ale,Irish Ale,Franciscan Well &#40; MolsonCoors &#41;
1156,Bad Weather Windvane Minnesota Red Ale,Amber Ale,Lucid Brewing Company
1157,TwoRows Jalapeno Route 66 Amber Ale,Spice/Herb/Vegetable,TwoRows Restaurant & Brewery
1158,North Mountain Octomalt,Amber Ale,North Mountain Brewing Company
1159,Liquid Laundry Sleepless In Saison,Saison,Liquid Laundry
1160,Noire et Blanche B_rousse Willis,Specialty Grain,Brasseur De MontrÃ © al
1161,4th Street Red Lager,Amber Lager/Vienna,4th Street Brewing Co
1162,Big Rock Paradox Dark Light Ale,Mild Ale,Big Rock Brewery
1163,Intuition Barrel Aged Riverside Red,Amber Ale,Intuition Ale Works
1164,Tooborac Woodcutter_s Amber Ale,Amber Ale,Tooborac Hotel and Brewery
1165,Outpost Mr. Grain Jeans Organic Amber Ale,Amber Ale,Lakefront Brewery
1166,Aftershock Oatmeal Raisin Cookie Ale,Golden Ale/Blond Ale,Aftershock Brewing Company
1167,Harbor City Mile Rock Amber Ale,Amber Ale,Sand Creek Brewing Company
1168,Cambridge 25th Anniversary Imperial Amber Ale,Amber Ale,Cambridge Brewing Company
1169,Rincon Warrior Pride Red Ale,Amber Ale,Rincon Brewery
1170,Buffys Garnet,Premium Bitter/ESB,Buffys
1171,Iron Springs Anne Marie_s Amber,Amber Ale,Iron Springs Pub and Brewery
1172,Cigar City French Toast Brown Ale,Brown Ale,Cigar City Brewing
1173,Bear Republic Rebellion IPA &#40; 05256 &#41;,India Pale Ale &#40; IPA &#41;,Bear Republic Brewing Company
1174,Flossmoor Station Barrel Aged Panama Limited Red Ale,Amber Ale,Flossmoor Station Restaurant & Brewery
1175,Solemn Oath Ultrahighfrequency,Amber Ale,Solemn Oath Brewery
1176,Bear Republic Speed Bump,Amber Ale,Bear Republic Brewing Company
1177,Capitol City Amber Waves Ale,Amber Ale,Capitol City Brewing Company
1178,Flat Tail Amber Ale,Amber Ale,Flat Tail Brewing Company
1179,M.T. Head Punter_s Special Ale,Irish Ale,M.T. Head Brewing Co
1180,Blue Skye Fire Engine Red,Amber Ale,Blue Skye Brewery and Eats
1181,Hale_s Red Menace Big Amber,Amber Ale,Hale_s Ales
1182,Zaftig Heavy Hearted Amber Ale,Amber Ale,Zaftig Brewing Company
1183,Pacific Crest Dryhopped Red,Amber Ale,Pacific Crest Brewing Company
1184,Secret Engine Sticke Handwerker,Altbier,Rocky Point Artisan Brewers
1185,Big Time Dragonfly,American Pale Ale,Big Time Brewery
1186,Get Well Amarillo Sunrise Amber Ale,Amber Ale,Get Well
1187,Ellicott Mills Redrum Ale,Amber Ale,Ellicott Mills Brewing
1188,Declaration Hardtack Copper,Amber Ale,Declaration Brewing
1189,Coronado Rambler_s Red,Irish Ale,Coronado Brewing Company
1190,Mehana Volcano Red Ale,Amber Ale,Mehana Brewing Company
1191,Corfu Beer Red Ale Special,Amber Ale,Corfu Beer
1192,38 State Titan Rock Red,Amber Ale,38 State Brewing Company
1193,Denver Beer 545 Summit Sunrise,Amber Ale,Denver Beer Company
1194,Yolo Assemblyman Red IPA,India Pale Ale &#40; IPA &#41;,Yolo Brewing Company
1195,Natty Greene_s Double Ought Buck Double Amber,Amber Ale,Natty Greene_s Pub & Brewing Company
1196,_ ambereckÃ 1/2 Kanec Imperial Stout,Imperial Stout,Pivovar _ amberk
1197,Arvada Butter Pecan Brown,Brown Ale,Arvada Beer Company
1198,Innovation Phat Chance Amber,Amber Ale,Innovation Brewing
1199,Allersheimer Blue Moon,Spice/Herb/Vegetable,Brauerei Allersheim
