beer_key,alcohol_pct,beer_subtype,brewery_factory,brew_nm
310,5 %,Amber Ale,Brasseur De MontrÃ © al,Jukebox Jazz
311,-,Amber Ale,Ahnapee Brewery,Ahnapee Little Soldier
312,6.10 %,Irish Ale,23rd Street Brewery,23rd Street Crimson Phog Irish Ale
313,5.30 %,Amber Ale,Mantorville Brewing Co,Stagecoach Amber Ale
314,7 %,Amber Ale,Prohibition Brewing &#40; California &#41;,Prohibition Sweet Biscuit Amber Ale &#40; SBA &#41;
315,5.20 %,Saison,4 Pines Brewing Company,4 Pines Christmas Ale 2012
316,-,Amber Ale,Thirsty Pagan Brewing,Thirsty Pagan North Coast Amber Ale
317,12 %,American Strong Ale,Ipswich Ale Brewery,Clown Shoes Rexx
318,-,Fruit Beer,El Toro Brewing Co. .,El Toro Peach Flavored Ale
319,4 %,Amber Ale,Shades of Pale Brewing Company,Shades of Pale Ready to Fly
320,9.50 %,Barley Wine,Black Dog Brewery,Black Dog / Eel River EelDog Muscat Mongrel
321,6 %,Amber Ale,Barley Mow Brewing Company,Barley Mow Lamp Lighter Amber
322,5.75 %,Amber Ale,Flagstaff Brewing Company,Flagstaff Agassiz Amber
323,4.20 %,Golden Ale/Blond Ale,Redline Brewhouse,Redline 501 Golden Ale
324,5.20 %,Amber Ale,Fiddlehead Brewing Company,Fiddlehead Mellow Mike
325,8 %,Imperial Pils/Strong Pale Lager,Krugher & Brent,Krugher & Brent Red Beer
326,5 %,Amber Ale,North Peak Brewing Company,North Peak Siren Amber Ale
327,10.50 %,American Strong Ale,Scarlet Lane Brewing Company,Scarlet Lane Night_s Watch
328,4.50 %,Amber Ale,Donegal Brewing Co,Donegal Atlantic Amber
329,5.50 %,Amber Ale,Maui Brewing Company,Maui Brewing Amber Reign
330,6.60 %,Specialty Grain,Northbound Smokehouse Brewpub,Northbound Smokehouse Wild Rice Amber
331,5.90 %,Amber Ale,Two Brothers Brewing Company,Two Brothers Bottlenectar
332,8 %,Amber Ale,Columbia Kettle Works,Columbia Kettle Works Kettleface
333,6.20 %,Amber Ale,Thorn Street Brewery,Thorn Street Smugglers Cove Agave Amber Ale
334,-,Amber Ale,Minipivovar _ tramÃ ¡ k,_ tramÃ ¡ k Amber Ale 12Â °
335,9 %,American Strong Ale,Ethereal Brewing,Ethereal Rum Reckoner
336,6.30 %,Amber Ale,Columbia Kettle Works,Columbia Kettle Works Bald Guy
337,5 %,Specialty Grain,Drummond Brewing Company / Something Brewing,Drummond Gluten Free
338,4.40 %,Black IPA,1516 Pub & Brewery,1516 Pub & Brewery American Black Ale
339,7.40 %,American Strong Ale,Books & Brews,Books & Brews Clifford The Big Red Ale
340,5.20 %,Amber Ale,Sand Creek Brewing Company,Essers Anniversary Ale
341,4.50 %,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Wild Range Amber Ale
342,9.50 %,Specialty Grain,Westfield River Brewing Company,Westfield River Big Red Barn
343,9.80 %,Spice/Herb/Vegetable,HopCat,HopCat Ginger Slap
344,7.60 %,Specialty Grain,Absolution Brewing Company,Absolution American Revelation Bourbon Barrel RyePA
345,9.50 %,Barley Wine,Boneshaker Community Brewery,Boneshaker Rusty Chain English Barleywine
346,6.10 %,Amber Ale,Lazy Boy Brewing,Lazy Boy Dumb Luck Amber Ale
347,6.50 %,Amber Ale,Castle Danger Brewery,Castle Danger Barrel Aged Nestor Grade Amber Ale
348,6 %,Amber Ale,Baranof Island Brewing Company,Baranof Island Redoubt Red Ale
349,7.20 %,Amber Ale,Cigar City Brewing,Cigar City Cold Brew Series - Red Ale
350,5.50 %,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Revolution Harbor Amber Ale
351,9 %,American Strong Ale,Imperial Oak Brewing,Imperial Oak Barrel Aged Odin_s Beard
352,5.50 %,Amber Ale,Naparbier,Naparbier ZZ + Amber Ale
353,4.50 %,Bitter,Rebellion,Rebellion Scandale
354,5.50 %,Irish Ale,Crooked Fence Brewing Company,Crooked Fence Trainwreck Red Ale
355,6.60 %,Pilsener,Dragoon Brewing Company,Dragoon / Fate &#40; AZ &#41; Infringement Pils
356,6.50 %,Amber Ale,Old Market Pub and Brewery,Old Market Mr. Toads Wild Red Ale
357,7.80 %,Amber Ale,Pizza Boy Brewing,Pizza Boy Hop Test # 1 &#40; Ginger Red Ale &#41;
358,6 %,Amber Ale,Bentley Brewing Co. / Dark Horse Tavern,Bentley Hooligan Amber Ale
359,5.50 %,Amber Ale,2 Way Brewing Company,2 Way Revolution Red
360,4.90 %,Amber Ale,Tipping Point Tavern,Tipping Point Chunky Gal Amber
361,5.70 %,Amber Ale,Willimantic Brewing Company,Willimantic Fire Engine Red
362,4.80 %,Golden Ale/Blond Ale,St Peters &#40; UK &#41;,St Peters Amarillo Ale
363,5 %,Golden Ale/Blond Ale,Hog_s Head Brewing Company,Amber_s Bub_s Lunch Pail Ale
364,5.80 %,Amber Ale,Americas Brewpub,Americas Reindeer Red Ale
365,8.20 %,American Strong Ale,Turner Alley Brewing Company,Roosevelt Imperial Red
366,5.20 %,Amber Lager/Vienna,Old Dominion Brewing Company &#40; Coastal Brewing Co. &#41;,Victory Amber Lager
367,-,American Pale Ale,River Horse Brewing Company,River Horse Burnt Sugar Ale
368,5.50 %,Premium Bitter/ESB,LInox MaÃ ® tres Brasseurs,LInox Trois de Pique
369,6 %,Amber Ale,Brewsters Brewing Co. - Alberta,Brewsters Winter WARMer Amber Ale
370,-,Amber Ale,Big Rock Brewery,Original Joe_s Red Ale
371,4.70 %,Amber Ale,Fordham Brewing Company &#40; Coastal Brewing Co. &#41;,Coastal Pamlico Amber
372,3.50 %,Session IPA,14th Star Brewing Company,14th Star Hop Tea Session IPA
373,4.50 %,Amber Ale,Southern Bay Brewing Company,Ranga Premium Red Ale
374,8 %,Scotch Ale,5 Seasons Brewing Company,5 Seasons Kilt Lifter Scotch Ale
375,5.60 %,Belgian Ale,Monkish Brewing Co. .,Monkish False Prophet
376,5.80 %,India Pale Ale &#40; IPA &#41;,Brouwerij _ t IJ,_ t IJ Red Rye IPA
377,-,Saison,5 Seasons Westside,5 Seasons Westside Imagine Rustic Farmhouse Ale
378,6.70 %,Amber Ale,Sasquatch Brewing Company,Sasquatch Red Electric IRA
379,6.50 %,Amber Ale,Sycamore Brewing,Sycamore Salty Coconut Red Ale
380,-,Amber Ale,Big Ridge Brewing Co. .,Big Ridge Red Truck Ale
381,-,Amber Ale,Brewbakers Brewing Company,Brewbakers Oatmeal Amber
382,4.40 %,Golden Ale/Blond Ale,Amber,Amber Autumn Pale
383,-,Imperial IPA,1516 Brewing Company,1516 Tres Conejones
384,5 %,Amber Ale,Northampton Brewing Co. &#40; NB &#41;,Picaroons Afterglow Aphrodisiac Ale
385,5.75 %,Amber Ale,Mount Dora Brewing,Mount Dora Dora Drawdy Drool
386,5 %,Amber Ale,Big Rock Brewery,Moxies Big Life Amber Ale
387,3.90 %,Bitter,Salopian,Blackwater Libertine
388,5 %,English Pale Ale,Austmann Bryggeri,Austmann Easter Ale
389,5.30 %,Golden Ale/Blond Ale,Aksarben Brewing Company,Aksarben Antler Ale
390,-,Amber Ale,Rogues _ Harbor Brewing,Rogues _ Harbor Route 34 Red Ale
391,7.40 %,BiÃ ¨ re de Garde,Growlers,Growlers Alley Way Amber
392,6.25 %,Amber Ale,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Double Barrel NW Red
393,4 %,Irish Ale,Arvada Beer Company,Arvada Flanagans Irish Red
394,4.50 %,Amber Ale,Flyers Restaurant & Brewery,Flyers First Flight Amber Ale
395,6 %,Amber Ale,Rivertowne Pour House,Rivertowne Arctic Amber
396,5.30 %,Amber Ale,River Rat Brewery,River Rat Broad River Red Ale
397,5.20 %,Amber Ale,Device Brewing Company,Device Derby Gurl American Amber Ale
398,5.40 %,Spice/Herb/Vegetable,Barrier Brewing Company,Barrier Nunu Bru
399,-,American Strong Ale,Fegley_s Brew Works,Fegley_s Brew Works Richter_s Revenge
400,5.50 %,Amber Ale,Bobcat Cafe and Brewery,Bobcat Cafe Ripton Red
401,7 %,India Pale Ale &#40; IPA &#41;,Sun King Brewing Company,Sun King Bring The Hops
402,7.80 %,Spice/Herb/Vegetable,Uncommon Brewers,Uncommon Brewers Rubidus Red Ale
403,5 %,Amber Ale,Cigar City Brewing,Cigar City White Oak Sunspear with Coffee
404,4.75 %,Irish Ale,Summit Brewing Company,Finnegans Irish Amber
405,4.20 %,Amber Ale,Lake Tahoe Brewing,Lake Tahoe Crystal Bay Red Ale
406,8 %,India Pale Ale &#40; IPA &#41;,Panhead Custom Ales,Canhead Johnny Octane Red IPA
407,-,Scottish Ale,Pecan Street Brewing,Pecan Street Ten Penny Nail
408,5 %,Pilsener,McMenamins Pubs and Breweries,McMenamins Bagdad Ale
409,6.50 %,Amber Ale,CervecerÃa Barbarian,Barbarian Red Ale
410,4 %,Bitter,Rockingham,Rockingham A1 Amber Ale
411,8.60 %,American Strong Ale,Laurelwood Public House & Brewery,Laurelwood Organic Deranger Imperial Red Ale
412,5 %,Amber Ale,Haines Brewing Co. .,Haines Eldred Rock Amber
413,5 %,Specialty Grain,Philadelphia Brewing Company,Philadelphia Rowhouse Red
414,7 %,Amber Ale,Eight Bridges Brewing,Eight Bridges Twisted Red
415,5.50 %,Amber Ale,House of Brews,House of Brews A-Frame Amber
416,6 %,BiÃ ¨ re de Garde,Agrarian Ales,Agrarian Curiosity
417,11 %,Imperial Porter,Renaissance Brewing,8 Wired Barrel Aged Smoked Imperial Porter &#40; 2011 &#41;
418,5 %,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Genesee Brew House American Red Ale
419,4.50 %,Amber Ale,Big Texan Brewery,Big Texan Texas Red Amber Ale
420,6.90 %,American Strong Ale,Liberty Brewing Co,Liberty Yakima Scarlet
421,5 %,Brown Ale,Beer Works,Beer Works Beantown Nut Brown Ale
422,6 %,Belgian Ale,Toxic Brew Company,Toxic Gem City Ruby
423,8.10 %,Stout,Big Alice Brewing,Big Alice No. 0104 - Red Oak & White Ash Aged Stout
424,9 %,American Strong Ale,Shipyard Brewing Company,Peak Organic King Crimson
425,5 %,Irish Ale,CJs Brewing Company,CJs Rich-Hagg Red Ale
426,5.20 %,Amber Ale,Beierhaascht,Beierhaascht l_AmbrÃ © e
427,5.20 %,Irish Ale,Catawba Valley Brewing Company,Catawba Valley Revenuers Red Ale
428,5.50 %,Amber Ale,300 Suns Brewing,300 Suns Kentucky Uncommon Whiskey Ale
429,5.70 %,Amber Ale,Bicycle Craft Brewery,Bicycle Craft Crimson Cascade
430,3.90 %,Amber Ale,Portneuf Valley Brewing Co. .,Portneuf Valley Twisted Stick Amber Ale
431,-,American Strong Ale,Milwaukee Ale House,Milwaukee Ale House Double Louies Demise
432,4.90 %,Amber Ale,Cambridge Brewing Company,Cambridge Valley Girl
433,4.50 %,Amber Ale,Heist Brewery,Heist American Style Red Ale
434,7.10 %,Amber Ale,Broken Goblet Brewing,Broken Goblet Amber Management
435,7.50 %,Premium Bitter/ESB,Porcupine Quill Micro Brewery,African Moon Black Buck Bitter
436,5.70 %,Amber Ale,Calfkiller Brewing Company,Calfkiller Scorned Hooker
437,5 %,Amber Ale,Seabright Brewery,Seabright Amber
438,5.50 %,Amber Ale,West Sixth Brewing Company,West Sixth Amber
439,5.90 %,Amber Ale,Bagby Beer Company,Bagby Hop Crop Red Ale
440,6.60 %,Amber Ale,Triple Crossing Brewing Company,Triple Crossing Demon Days
441,-,Amber Ale,Healthy Brew,Healthy Brew Easy Amber
442,5.90 %,Golden Ale/Blond Ale,Coors Brewing Company &#40; MillerCoors &#41;,Keystone V9
443,7.20 %,American Pale Ale,Big Boss Brewing Company,Big Boss Miss Charlotte
444,5 %,Wheat Ale,Fat Head_s Brewery & Saloon,Fat Head_s Zest For Breasts
445,4.70 %,Amber Ale,First Magnitude Brewing Company,First Magnitude 450 Amber Ale
446,5.70 %,Amber Ale,Backshore Brewing Company,Backshore Happy Camper Amber Ale
447,4.50 %,Fruit Beer,Big Bear Mountain Brewery,Big Bear Mountain Orange Blossom Amber Ale
448,4.90 %,Amber Ale,Liberal Cup Public House and Brewery,Liberal Cup State Budget Red Ale
449,5.50 %,Amber Ale,BNS Brewing & Distilling,BNS Ole Prospector Red Ale
450,5.20 %,Amber Ale,Timeless Pints Brewing Company,Timeless Pints A Precarious Proposal - Amber Ale
451,5.20 %,Amber Ale,3 Cordilleras,3 Cordilleras Mulata
452,-,Amber Ale,San Diego Brewing Company,Callahans Red
453,5.90 %,Amber Ale,Vancouver Island Brewery,Vancouver Island Mile High Mountain Ale
454,5.50 %,Amber Ale,Thomas Creek Brewery,Thomas Creek Appalachian Amber Ale
455,5.80 %,Amber Ale,Big Rock Urban Brewery,Big Rock Urban Hollow Tree Pacific Northwest Red
456,6.50 %,Amber Ale,Titletown Brewing Company,Titletown Addlepated Ale
457,5.70 %,Amber Ale,Willimantic Brewing Company,Willimantic AmBeerlicious American Ale
458,5 %,Amber Ale,Szot Microbrewery,Szot Amber Ale
459,6 %,Amber Ale,Frog Island Brewing,Frog Island Amber Ale
460,5.50 %,Irish Ale,MashCraft Brewing,MashCraft Java Red
461,7.50 %,Amber Ale,Yukon Brewing Company,Yukon You Only Live Once Imperial Red Ale
462,4.80 %,Amber Ale,Elk Grove Brewery,Elk Grove Wrangler Red Ale
463,6.30 %,Amber Ale,Northbound Smokehouse Brewpub,Northbound Smokehouse Pride Red
464,4.60 %,Amber Ale,THAT Brewery & Pub at Rimside,THAT Amber Ale
465,5.50 %,Amber Ale,Cape Cod Beer,Cape Cod Bourbon Barrel Red
466,5.50 %,English Pale Ale,L_Alchimiste,L_Alchimiste Pale Ale Rousse
467,-,Irish Ale,Coopers Cave Ale Company,Coopers Cave Radeau Red Ale
468,7 %,Amber Ale,The Beer Company,The Beer Company Bloodshot Red
469,6.50 %,Amber Ale,Aspen Brewing Company,Aspen Bourbon Barrel Aged Conundrum Red Ale
470,5.80 %,Oktoberfest/M Ã $ rzen,Baird Brewing Co. .,Baird Big Red Machine Fall Classic
471,-,Amber Ale,Les Brasseurs du Petit Sault,Les Brasseurs du Petit Sault Louis XVII
472,8.75 %,India Pale Ale &#40; IPA &#41;,Block 15 Brewery,Block 15 King Caspian Royalty Red
473,7 %,American Pale Ale,Puyallup River Brewing Company,Puyallup River Fryingpan Cascadian Red Ale
474,5.60 %,Amber Ale,Bissell Brothers Brewing Company,Bissell Brothers Bucolia Ale
475,5.20 %,Amber Ale,Hollywood Beach Brewing Company,Hollywood Beach Red Tide Amber Ale
476,5.40 %,Amber Ale,Northampton Brewery &#40; MA &#41;,Northampton Clifford
477,5 %,Amber Ale,Quidi Vidi Brewing Company,Quidi Vidi Mummer_s Brew Amber Ale
478,5.50 %,Amber Ale,Palouse Falls Brewing Company,Palouse Falls Crimson Pride Ale
479,6.90 %,Spice/Herb/Vegetable,Congregation Ales,Congregation Communion Chile Red
480,5 %,Traditional Ale,Whistler Brewhouse/High Mountain,Brewhouse Alta Lake Ale
481,4.50 %,Amber Ale,Lassen Ale Works,Lassen Almanor Amber Ale
482,5 %,Amber Ale,Sebago Brewing Company,Sebago Runabout Red Ale
483,6 %,Amber Ale,Maui Brewing Company,Maui Brewing Island Hopper Red
484,5.25 %,Amber Ale,Bare Bones Grill & Brewery,Bare Bones Tiber River Red
485,5 %,Amber Ale,Nail Brewing Australia,Nail Beazle Brew
486,9 %,American Strong Ale,Renaissance Brewing,8 Wired / Renaissance / NÃ ¸ gne _ - _ For Awesome Imperial Amber Ale
487,10 %,Imperial IPA,7venth Sun Brewery,7venth Sun Mangrove Double IPA - Red Oak
488,9 %,American Strong Ale,Pipeworks Brewing Company,Pipeworks Sam vs Unicorn
489,6.10 %,India Pale Ale &#40; IPA &#41;,Thunder Canyon Brewery,Thunder Canyon Little Red Ryeding Hood IPA
490,5.50 %,Amber Ale,Central Coast Brewing,Central Coast Old Mission Amber Ale
491,-,Irish Ale,Horsefly Brewing Company,Horsefly Tabano Red
492,8 %,American Strong Ale,Lynnwood Grill & Brewing Concern,Lynnwood Imperial Red
493,5.90 %,Amber Ale,75th Street Brewery,75th Street Fountain City Amber
494,6 %,Amber Ale,Green Room Brewing &#40; FL &#41;,Green Room South Swell
495,5.70 %,Amber Ale,Fegley_s Brew Works,Bethlehem Brew Works West End Red
496,5 %,Amber Ale,AleWerks Brewing Company,AleWerks Red Marker Ale
497,6.40 %,Spice/Herb/Vegetable,AF Brew,AF Brew Redneck Ale
498,8 %,Old Ale,Indie Alehouse Brewing Co. .,Indie Alehouse Grendel_s Revenge
499,6.50 %,Amber Ale,Left Hand Brewing Co. .,Left Hand Safety Round 2
500,5.50 %,Amber Ale,Blue Blood Brewing Company,Storz Gold Crest Amber Ale
501,5.20 %,Amber Ale,Apocalypse Brew Works,Apocalypse Brew Works Atomic Amber
502,7 %,Amber Ale,Elevation 66 Brewing Company,Elevation 66 Ramble Tamble Red Ale
503,5.50 %,Oktoberfest/M Ã $ rzen,AllgÃ $ uer Brauhaus &#40; Oetker Group &#41;,AllgÃ $ uer Winterfestbier
504,5.20 %,Amber Ale,Sierra Blanca Brewing Co,Sierra Blanca Roswell Alien Amber Ale
505,5.10 %,Amber Ale,King Street Brewing Company,King Street Amber
506,4.80 %,Amber Ale,Border Brewing Company,Border Brewing Rooftop Red Ale
507,5 %,Pale Lager,Woodward Avenue Brewers,WAB Custom Blonde
508,5.50 %,Amber Ale,Bierbrouwerij Sint Servattumus,Koelschip Amber Skyline Almeers Stadsbier
509,5.90 %,India Pale Ale &#40; IPA &#41;,Celt Experience,Newmans Continental Drift Red Rye IPA
510,5.30 %,Dunkel/Tmav Ã 1/2,612 Brew,612 Brew Wild Rice Dunkel
511,-,Amber Ale,Illinois Brewing,Illinois Uptown Amber
512,-,Spice/Herb/Vegetable,Big Island Brewhaus,Big Island Starshine Ginger Beer
513,5.80 %,Amber Ale,Hopworks Urban Brewery,Hopworks Rise-Up Red Ale
514,5.90 %,Amber Ale,Powerhouse Restaurant & Brewery,Powerhouse Amperage Amber
515,-,Amber Ale,Loowit Brewing Company,Loowit Two-Sixteen Red Ale
516,5.20 %,Bitter,Naples Beach Brewery,Naples Beach Rojo Especial
517,4.98 %,Amber Ale,Flying Goose Brew Pub,Flying Goose Wildflower Honey Ale
518,6.30 %,Amber Ale,AB BiÃ ¨ re,AB BiÃ ¨ re La Margoulette AmbrÃ © e
519,6.30 %,India Pale Ale &#40; IPA &#41;,Carlsberg Brewery,Carlsberg Semper Ardens First Gold I.P.A.
520,5.70 %,Amber Ale,Shipyard Brewing Company,Peak Organic Fall Summit Ale
521,6 %,Amber Ale,Spiteful Brewing,Spiteful Angry Adam Hoppy Red Ale
522,-,Sour/Wild Ale,Crabtree Brewing Company,Crabtree 5
523,-,Belgian Ale,Big Barn Brewery,Big Barn Bluff Top Belgian
524,6.60 %,Amber Ale,Conshohocken Brewing Co. .,Conshohocken Hale Fire Red Ale
525,7.50 %,American Strong Ale,BS Brewing,BS Brewing College Chronic
526,4.50 %,Amber Ale,Wolf_s Ridge Brewing,Wolf_s Ridge Little Red Riding Ale
527,5.90 %,Amber Ale,Vindication Brewing Co. .,Vindication Premium Session Bold Ale
528,5 %,Altbier,Butternuts Beer and Ale,Alphabet City Dizzy Brewnette
529,5 %,Amber Ale,Kamloops Brewery,Bowen Island Sea Spray Amber Ale
530,-,English Strong Ale,21st Amendment Brewery,21st Amendment Imperial Churchyard
531,5.60 %,Amber Ale,Birrificio Rurale,Birrificio Rurale Reset
532,4.80 %,Amber Ale,Appalachian Brewing Company &#40; PA &#41;,Appalachian Riverside Red Ale
533,5 %,Amber Ale,Hyouko Yashiki No Mori Brewery ( Swan Lake ),Swan Lake Amber Swan Ale
534,4.80 %,Amber Ale,BrÃ 1/4 eprint Brewing Company,BrÃ 1/4 eprint BrÃ 1/4 e Scarlet
535,5.80 %,Amber Ale,Lake Chelan Brewery,Lake Chelan Mackinaw Red Amber Ale
536,5.40 %,Irish Ale,Rock Bottom Ahwatukee,Rock Bottom Ahwatukee Raptor Red
537,8.60 %,American Strong Ale,La Cumbre Brewing Company,La Cumbre Grange_s Red Card 4 ALS
538,5.50 %,Amber Ale,Cervecera Regional,Cerveza Queretaro
539,9.70 %,Barley Wine,2 Brothers Brewery,2 Brothers Bloody Oak
540,6.16 %,Amber Ale,No Label Brewing Co. .,No Label Ridgeback Ale
541,5 %,Amber Ale,Highway 1 Brewing Company,Highway 1 Amberdextrous
542,6.30 %,India Pale Ale &#40; IPA &#41;,Copperpoint Brewing Company,Copperpoint A10 Hop Hog
543,6.40 %,Amber Ale,Waconia Brewing Company,Waconia 255 Amber Ale
544,6.66 %,Amber Ale,Acoustic Ales Brewing Experiment,Acoustic Ales Mosh Pit Hoppy Red Ale
545,5 %,Amber Ale,Big Rock Brewery,Pine Creek River Valley Red Ale
546,5.40 %,Irish Ale,Barley Browns Brewpub,Barley Browns Point Blank Red &#40; PBR &#41;
547,4.20 %,Bitter,Arundel,Arundel Red Devil
548,4.60 %,Amber Ale,Third Base Sports Bar & Brewery,Third Base Red Rocket Amber Ale
549,6 %,Amber Ale,300 Suns Brewing,300 Suns Rabbit Mountain Red Ale
550,9 %,Imperial IPA,Boneyard Beer Company,Boneyard Chingadera IIRA
551,4.80 %,Amber Ale,Jack Cody_s,Jack Cody_s Smiggy Amber Ale
552,7.20 %,Porter,Big Storm Brewing Company,Big Storm Red Hot Mama
553,6 %,Amber Ale,Lake Effect Brewing Company,Lake Effect Whoopskibier
554,5.90 %,Spice/Herb/Vegetable,Smog City Brewing,Smog City Fluffy Fuzz Buzz
555,7.80 %,Spice/Herb/Vegetable,515 Brewing Company,515 Undead Red
556,5.50 %,Brown Ale,Black Bridge Brewery &#40; AZ &#41;,Black Bridge Trailblazer Brown Ale
557,5 %,Spice/Herb/Vegetable,Amber_s Brewing Company,Amber_s Axl Rosehip
558,4.70 %,Amber Ale,Saimaan Juomatehdas,Saimaan Brewer_s Special American Red Ale
559,5.40 %,Amber Ale,Rock Bottom La Jolla,Rock Bottom La Jolla Ragtop Red Ale
560,5.20 %,Amber Ale,Kilannan Brewing Company,Kilannan New Zealand Red Ale
561,-,Premium Lager,Stevens Point Brewery,Lakemaid Frosty Winter Lager
562,5.50 %,American Pale Ale,PangPang Brewery,PangPang Hornstull Honey Amber
563,5.80 %,Amber Ale,Great Lakes Brewing &#40; Ohio &#41;,Great Lakes Rally Drum Red Ale
564,5.50 %,Amber Ale,Diamond Knot Brewery,Diamond Knot Fog Bank Fall Ale
565,4.20 %,Bitter,Downton,Downton Chimera Maltster_s Best
566,5.80 %,Amber Ale,Big Tide Brewing,Big Tide Anniversary Amber Ale
567,5.80 %,Oktoberfest/M Ã $ rzen,Domus Pub and Brewery,Nostra Domus
568,-,Amber Ale,Intuition Ale Works,Intuition Ale Works Longleaf Amber
569,4.40 %,American Pale Ale,Custom Brewcrafters,Lux New Olde Horny Brew
570,5 %,Sweet Stout,Crow Hop Brewery,Crow Hop Sleeping Owl Stout
571,5.90 %,Amber Ale,Pints Brewing Company,Pints Rip Saw Red
572,6.10 %,Amber Ale,Laurelwood Public House & Brewery,Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;
573,10.10 %,American Strong Ale,Brouwerij de Molen,Kaapse Brouwers Jaapie
574,4.90 %,Amber Ale,R.J. Rockers Brewing Co. .,R.J. Rockers Red Glare
575,5.50 %,Amber Ale,Intracoastal Brewing Company,Intracoastal Amberica
576,5.60 %,Amber Ale,Marthas Exchange Restaurant and Brewing,Marthas Old Dunstable Amber
577,-,Black IPA,Fort Myers Brewing Company,Fort Myers Incognito Black Imperial IPA
578,5 %,Amber Ale,Brassneck Brewery,Brassneck Mr. Personality
579,-,Amber Ale,Lodi Beer Company,Lodi Mo kel ko Red Ale
580,6.50 %,India Pale Ale &#40; IPA &#41;,Prism Brewing Company,Prism Bitto Honey IPA
581,2.90 %,Amber Ale,HopDog BeerWorks,HopDog BeerWorks Midgee
582,8.30 %,Imperial IPA,Widmer Brothers Brewing Company,Widmer Brothers TimBrrr
583,4.50 %,Amber Ale,Australian Independent Brewers,Fish Rock Red Emperor Amber Ale
584,6.20 %,Irish Ale,Ancient City Brewing,Ancient City Matanzas River Red Ale
585,5.50 %,Amber Ale,Rat Hole Brewing,Rat Hole Rotation Red Ale
586,4.50 %,Bitter,Bank Top,Bank Top Little Red Rooster
587,5.90 %,Premium Bitter/ESB,Buffalo Bayou Brewing,Buffalo Bayou 1836
588,8.50 %,American Strong Ale,Logboat Brewing Co. .,Logboat Jupiter_s Moons
589,10.75 %,American Strong Ale,Big Alice Brewing,Big Alice No. 0040 - Biscuit & Buckwheat Honey
590,5.50 %,English Pale Ale,Sacramento Brewing Company,Sacramento River Otter Ale
591,4.90 %,Irish Ale,Roc Brewing Company,Roc Brewing Red Nutz
592,5.90 %,Amber Ale,Klamath Basin Brewing / The Creamery Brew Pub & Grill,Klamath Basin Rebellion Red Ale
593,5.40 %,Amber Ale,Wild Woods Brewery,Wild Woods Campfire Red Ale
594,-,Amber Ale,Coachs Brewery,Coachs Railyard Amber Ale
595,5.10 %,Amber Ale,Seminar Brewing,Seminar Howler American Red Ale
596,5.75 %,Premium Bitter/ESB,Lone Peak Brewery,Lone Peak Class V Amber
597,7.80 %,Imperial IPA,Three Notch_d Brewing Company,Three Notch_d Fandom of the Hopera
598,7 %,Amber Ale,21st Amendment Brewery,21st Amendment Ales for ALS
599,8 %,Amber Ale,Public Craft Brewing Co. .,Public Craft No Front Porches
