record_id,pub_authors,yr_published,pub_forum,paper_name
51954,"wf finzer , l gould",,"watch what i do : programming by demonstration ,",rehearsal world
51955,"lj jagadeesan , r viswanathan",2005.0,"proceedings of the 5th acm international conference on & hellip ; ,",passive mid-stream monitoring of real-time properties
51956,"pa franaszek , jt robinson , a thomasian",1992.0,"acm transactions on database systems ,",concurrency control for high contention environments
51957,j addams,,,twenty years at hull house
51958,wa redmond,1994.0,,microsoft visual c++ : class library reference for the microsoft foundation class library
51959,"y masumoto , vsn murty , m jury , mj mcphaden , p",2002.0,"unpublished manuscript ,",tropical indian ocean mooring array : present status and future plans
51960,wf maxwell,,financial,the january effect in the corporate bond market : a systematic examination
51961,j lacan,,"schriften i ,",das spiegelstadium als bildner der ich-funktion
51962,ma griesel,,submitted for,a generalized pã ³ lya algorithm
51963,m chae,2002.0,"electronic markets ,",information quality for mobile internet services : a theoretical model with empirical validation
51964,"bm chen , a saberi , u ly",,"proc . 28th annual allerton conf . commun . contr . computing , & hellip ; ,",exact computation of the inmum in h 1 optimization via state feedback
51965,"p america , h obbink , r van ommering , f van der",2000.0,,copam : a component-oriented platform architecting method for product family engineering
51966,"n mii , t takeshita",1993.0,"information and software technology ,",software re-engineering and reuse from a japanese point of view
51967,"p apkarian , d noll",,,nonsmooth optimization for multidisk hâ ?? synthesis
51968,"s goutas , p soupos , d christodoulakis",1991.0,"information and software technology ,",formalization of object-oriented database model with rules
51969,"ja tsitsipis , be mazomenos , c christoulas , s",,"& hellip ; interbalkanic plant protection conference , athens , greece ,","report on the lepidopterous insects attacking corn in greece with emphasis on the corn stalk borer ,"
51970,wj okin,1997.0,,the biodiversity management area selection model : constructing a solution approach
51971,dm gillies,,proc . 29th annual ieee/acm international symposium on,"d.-cr ju , r. johnson and m. schlansker . global predicate analysis and its application to register"
51972,"j yuan , k mills",,,implication of internet traffic characteristics for network-adaptive distributed systems
51973,"qn ahmed , sv vrbsky",2002.0,"journal of systems and software ,",maintaining security and timeliness in real-time database system
51974,"s banerjee , b bhattacharjee , c kommareddy",,"proc . of acm sigcomm ,",scalable application multicast
51975,"cr fremling , jl rasmussen , re sparks , sp cobb , cf",,"proceedings of the international large river symposium ( lars & hellip ; ,",mississippi river fisheries
51976,"j shanmugasundaram , h gang , k tufte , c zhang , djd",,conference on very large data bases,relational databases for querying xml documents : limitations and opportunities . intl
51977,"we cashin , rg downey",1995.0,"new directions for teaching and learning ,",disciplinary differences in what is taught and in students ' perceptions of what they learn and of
51978,pc fischer,,in fernatzonul conference on very large databases .,"mm van gucht , d 1985 determmmg when a structure ma nested relatlon"
51979,"t modood , s may",2001.0,"international journal of educational research ,",multiculturalism and education in britain : an internally contested debate
51980,rc merton,,,a functional perspective of financial intermediation
51981,lr derogatis,,"md ,","bsi : administration , scoring , and procedures manualâ ?? ii ; clinical psychometric research : towson"
51982,"a rao , k lakshminarayanan , s surana , r karp , i",2003.0,"lecture notes in computer science ,",load balancing in structured p2p systems
51983,r pamatatau,,"nz infotech weekly ,",the warehouse outsources oracle management
51984,"vd sevastâ ?? yanov , as koshelev , gn maslov",,"at . energ ,",determination of the energy spectra of neutrons in fast-reactor cores
51985,"sl wang , cy kuo , tp hong",,,mining fuzzy similar association rules from quantitative data
51986,jl fitzpatrick,,"new directions for program evaluation ,",alternative models for the structuring of professional preparation programs
51987,u gisi,,"see ref ,",biophysical aspects of the development of phytophthora
51988,"cj brinker , gw scherer",,"san diego , ca ,","sol-gel science : the physics and chemistry of sol-gel processing , academic press , inc"
51989,"w liu , w kostis , vk prasanna",1996.0,"proceedings of the 4th international workshop on parallel & hellip ; ,",communication issues in heterogeneous embedded systems
51990,"m franklin , b jonsson , d kossmann",,acm sigmod international conference on the management of,performance tradeoffs for client-server query execution
51991,"y chawathe , sa fink , s mccanne , ea brewer",,,a proxy architecture for reliable multicast in heterogeneous environments
51992,s maeis,,,ibus : the java intranet software bus
51993,"t bertram , f svaricek",,automatisierungstechnik,zur kompensation der trockenen reibung mit hilfe der fuzzy-logik
51994,"p boncz , s manegold , m kersten",,"proc . 25th international conference on very large data bases & hellip ; ,",databasearchitecture optimizedforthenewbottleneck : memoryaccess
51995,r gupta,,"ms thesis ( under dual degree ) , iit , bombay , india , june",reconfigurable hardware design for packet router
51996,"a johnston , pw mcowan , h buxton",1992.0,"proceedings : biological sciences ,",a computational model of the analysis of some first-order and second-order motion patterns by simple
51997,"je hiller , e griffith , f jenner",,"database syst rev ,",education for contraceptive use by women after childbirth cochrane
51998,r young,1991.0,"proc . spie ,","oh say , can you see ? . the physiology of vision"
51999,e michelson,1997.0,"new directions for adult and continuing education ,",multicultural approaches to portfolio development
52000,a bullock,,,hitler : a study in tyranny
52001,"ka cagney , cr browning , m wen",,"unpublished manuscript ,",race and selfâ ?? rated health at older ages : what difference does the neighborhood make
52002,"jm williams , ma beno , hh wang , pcw leung , tj emge",,"acc . chem . res ,","cw , enge , tj , geiser , u. & carlson , dd ( 1985 )"
52003,"m atiquzzaman , s fu , w ivancic",,,trash-sn : a transport layer seamless handoff scheme for space networks
52004,"d hull , de rimmer",,"phil . mag ,",the growth of grain boundary voids under stress
52005,"hc du , js sobolewski",1982.0,"acm transactions on database systems ,",disk allocation for cartesian product files on multiple-disk systems
52006,"r wood , a bandura",1989.0,"journal of personality and social psychology ,",impact of conceptions of ability on self-regulatory mechanisms and complex decision making
52007,s bhatia,1999.0,,distributed garbage collection in a reliable messaging system
52008,"x su , g de veciana",2003.0,"computer networks ,",predictive routing to enhance qos for stream-based flows sharing excess bandwidth
52009,h boley,1986.0,"acm sigplan notices ,",relfun : a relational/functional integration with valued clauses
52010,"a lindquist , g picci",,,"on noncausal estimation , stochastic realization and the riccati inequality"
52011,"j ng , k rajaraman , e altman",2004.0,"proceedings of the 12th annual acm international conference & hellip ; ,",mining emergent structures from mixed media for content retrieval
52012,"aab maggs , j pang , s seshan , a skaikh",,"proceedings acm sigcomm ,",a comparison of overlay routing and multihoming route control
52013,v babrauskas,,"md ,","development of cone calorimeter , nbsir 82-2611 , us bureau of standards : gaitherburg"
52014,"k sagonas , t swift , ds warren",1994.0,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",xsb as a deductive database
52015,j felsenstein,1993.0,,"ph lip , ph logen inference package"
52016,wg clark,1981.0,"fed proc ,",effects of opioid peptides on thermoregulation
52017,m tarokh,,,approach to pole assignment by centralised and decentralised output feedback
52018,k ajitabh,,to,modules over elliptic algebras and quantum planes
52019,"h arisawa , k moriya , t miura",,"proc . vldb ,",properties on non-first-normal-form relational databases
52020,"ed pontikakis , vs verykios , y theodoridis",,"athens , greece , june ,",on the comparison of association rule hiding techniques hellenic database management symposium
52021,"d solomon , m russinovich",,"microsoft press ,","microsoft windows internals : microsoft windows server 2003 , windows xp , and windows 2000 . 4"
52022,"scpb gibbons , tc mowry",,,improving index performance through prefetching
52023,"pad de maine , p xia",,proc . 35th acm southeast,manipulation of information representations
52024,"p mockapetris , k dunlap",,proceedings acm,"development of the domain name system acm computer communications review 18 , 4 : 123-133"
52025,"g moerkotte , pc lockemann",1991.0,"acm transactions on database systems ,",reactive consistency control in deductive databases
52026,"g aist , j dowding , ba hockey , m rayner , j",,"software demonstration , budapest , hungary , april ,",european association for computational linguistics ( eacl ) 2003 meeting
52027,"m pienaar , p van brakel",1999.0,"electronic library ,",the changing face of geographic information on the web : a breakthrough in spatial data sharing
52028,"d serby , m harders , g szã?kely",,procs . of the fourth international conference on medical,ã ¬ a new approach to cutting into finite element models . ã ® in
52029,"hv jagadish , s al-khalifa , a chapman , lvs",2002.0,"the vldb journal the international journal on very large & hellip ; ,",timber : a native xml database
52030,"o fujimori , hm sobue , k yamada",1988.0,"the histochemical journal ,",lectin binding sites of glycoproteins as revealed by lectin-gold-silver and lectin-peroxidase -
52031,hm levin,1987.0,"new directions for program evaluation ,",cost-benefit and cost-effectiveness analyses
52032,"m sadker , d sadker",1992.0,"new directions for teaching and learning ,",ensuring equitable participation in college classes .
52033,dv parke,,"biochem . i ,",the metabolism ofm-dinitro [ â ?? 4c ] benzene in the rabbit
52034,a khoumsi,2003.0,"information and software technology ,",testing distributed real-time systems in the presence of inaccurate clock synchronizations
52035,"lm haas , mj carey , m livny , a shukla",1997.0,"the vldb journalâ ?? the international journal on very large & hellip ; ,",sing the truth about ad hoc join costs
52036,"a hinneburg , da keim , m wawryniuk",1999.0,"computer graphics and applications , ieee ,",hd-eye : visual mining of high-dimensional data
52037,"ja pearce , mj norry",1979.0,"contributions to mineralogy and petrology ,","petrogenetic implications of ti , zr , y , and nb variations in volcanic rocks"
52038,yt sharma,,"nirnay sagar press , bombay , india ,",sushruta 's sushrut samhita ( sanskrit )
52039,"mw smith , ps james , dr tivey , d brown",1988.0,"the histochemical journal ,",automated histochemical analysis of cell populations in the intact follicle-associated epithelium of
52040,"tw yan , m jacobsen , h garcia-molina , u dayal",1996.0,"www5 / computer networks ,",from user access patterns to dynamic hypertext linking
52041,"dma hydrographic , t center",,"md ,","american practical navigator , an epitome of navigation ( bowditch ) , publication no. 9 , dma stock no ."
52042,rv long,,"proc . 29th annual meeting forestry committee great plains & hellip ; ,",desert forestry potential in nevada-phase i
52043,"s mavromatis , j boi",,"proceedings of the 23rd annual international conference of & hellip ; ,","medical image segmentation using texture directional features , engineering in medicine and biology"
52044,s mezick,1998.0,,active server pages
52045,acms anthology,1998.0,"sigmod record ,",enhanced nearest neighbour search on the r-tree .
52046,r allan,,"electronic design ,",factory communication : map promises to pull the pieces together
52047,as morse,,"proc . int . symp. , udine , italy ,",system invariants under feedback and cascade control
52048,s hutflesz,,proc . acm sigmod,"widmayer 1988a : a. hutflesz , hw s ix , and p. widmayer , twin grid files : space optimizing access"
52049,"i mathsoft , w seattle",1998.0,,sp lus 5 for unix userâ ? s guide
52050,"a melnick , jd licht",1999.0,"blood-new york - ,","deconstructing a disease : rar , its fusion partners , and their roles in the pathogenesis of acute"
52051,a press,,"acc . chem . res ,","new york , 1973 ; b ) j. dunitz"
52052,dm nakaji,1991.0,"new directions for teaching and learning ,",classroom research in physics : gaining insights into visualization and problem solving .
52053,j meyer,1999.0,"written at the ibm almaden research center , submitted as & hellip ; ,","how to manage , negotiate , and transfer personal information on the web"
52054,"t barclay , r barnes , j gray , p sundaresan",1994.0,"sigmod record ,",loading databases using dataflow parallelism
52055,"d lambert , s slater",,,"first , fast , and on-time . the path to success . or is it ?"
52056,"l raschid , j lobo",1996.0,,semantics for update rule programs and implementation in a relational database management system
52057,"k schlacher , j holl , s fuchshumer",,,zur modellierung und aktiven schwingungsunterdruckung in stahlwalzanlagen
52058,"ls goodman , a gilmanâ ? ¦",1975.0,,the pharmacological basis of therapeutics
52059,"l kaufman , pj rousseeuw",1990.0,,finding groups in data : an introduction to cluster analysis
52060,"s mehrotra , t sellis",2001.0,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",source international conference on management of data archive
52061,"vs ramachandran , d rogers-ramachandran",1996.0,"proceedings : biological sciences ,",synaesthesia in phantom limbs induced with mirrors
52062,"s wasta , c lott",2000.0,"social studies and the young learner ,",my right to be : children 's voices in trade books
52063,l libkin,1996.0,"sigmod conference ,","a query language for multidimensional arrays : design , implementation , and optimization techniques"
52064,"cn butcher , ae gilmour",,"dmfs reports i ,",free oscillations in wellington and lyttelton harbours
52065,"p andritsos , rj miller , p tsaparas",,proceedings of the acm sigmod international conference on,information-theoretic tools for structure discovery in large data sets
52066,p krishnan,1995.0,"information and software technology ,",deriving distributed processes from concurrent processes
52067,"s el yacoubi , a el jai , j karrakchou",1998.0,"applied mathematics and computer science ,",spreadability and spray actuators
52068,"l zhao , mj zaki",2005.0,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",tricluster : an effective algorithm for mining coherent clusters in 3d microarray data
52069,d thornburg,,"electronic learning ,",killing the fatted calf .
52070,"e freeman , d gelernter",1996.0,"sigmod record ,",lifestreams : a storage model for personal data
52071,"jg olin , rb kiland",,"symp . on aircraft wake turbulence , seattle , washington ,",split-film anemometer sensor for three dimensional velocity-vector measurements
52072,"d mcleod , k narayanaswamy , rao bapa",,proceedings of the sigmod conference on databases for,kv 1983 . an approach to information management for cad/vlsi applications
52073,s zedler,,"ma thesis , university of california , santa barbara ,",observations and modeling of the ocean 's response to hurricane felix at the bermuda testbed mooring
52074,"pt beatty , bp robbins",1990.0,"new directions for adult and continuing education ,",the educative role of religious institutions .
52075,", m mlivoncic , hj schek , r weber",2001.0,"vldb ,",fast evaluation techniques for complex similarity queries
52076,"nx hoai , ri mckay , d essam",,"& hellip ; journal of intelligent information processing systems ,",solving the symbolic regression problem with tree adjoining grammar guided genetic programming
52077,s garcãa,,,huidobro valdã © s y otros con colbãºn-machicura ( ct. app . talca 1989 ) ( unpublished ) ( on file with
52078,"c quirk , a menezes , c cherry",,microsoft research technical report :,dependency tree translation
52079,p mathieu,,"presentation at ,",near zero emission power plants as future co 2 control technologies
52080,gsuv who,,,"index , a practical guide"
52081,i dates,2003.0,"computer networks ,",â ?? fiâ ?? coii 29d
52082,eh weiss,1983.0,"computerworld. ,",usability : toward a science of user documentation .
52083,"d long , r wood , h koop",1994.0,,leap : the educational effects of leap and enhanced services in cleveland
52084,"kg larsen , ji rasmussen",,,optimal conditional reachability for multi-priced timed automata
52085,"fcf freytag , n goodman",,proceedmgs of acm sigmod conference . ( june,translating relational quenes mto iterative programs using a program transformanon approach
52086,"p kuhn , m skuterude",2001.0,,does internet job search reduce unemployed workersâ ?? jobless durations ?
52087,dr humphrey,1986.0,"fed proc ,",representation of movements and muscles within the primate precentral motor cortex : historical and
52088,"jw sargent , rj seffl",1970.0,"fed proc ,",properties of perfluorinated liquids
52089,"s chakrabarti , b dom , r agrawal , p raghavan",1998.0,,classification and signature generation for organizing large text databases into hierarchical topic
52090,"ac antoulas , dc sorensen",,,approximation of large-scale dynamical systems : an overview
52091,"ms fontan , mj mataric",,,a study of territoriality : the role of critical mass in adaptive task division
52092,jj thomson,,"phil . mag ,","recombination of gaseous ions , the chemical combination of gases and monomolecular reactions"
52093,"v griffin , u seligsoh , s rapport",1995.0,,coagulation abnormalities in thrombosis
52094,"m kalyanakrishnan , rk iyer , ju patel",1999.0,"computer networks ,",reliability of internet hosts : a case study from the end user 's perspective
52095,b barrera,1998.0,"electronic engineering ,",code coverage analysis - essential to a safe design
52096,"h wu , b salzberg , gc sharp , sb jiang , h shirato , d",2005.0,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",subsequence matching on structured time series data
52097,"bn fisker , g sã ¸ rensen",,"mtg. eaap , zurich , switzerland ,",effect of fiber rich diets for loose housed pregnant sows . 50th annu
52098,rw rodieck,,"from pigments to perception ,",which cells code for color
52099,h odenkamp,,"proceedings of the 25 thieee photovoltaic specialists & hellip ; ,","dejong i. , baltus , c. , verhoeven , s. , elstgeest , s. , '' reliability and accelerated life tests of the"
52100,"j han , y fu",1995.0,,discovery of multiple-level association rules from large databases
52101,ct mowbray,1988.0,"new directions for program evaluation ,",getting the system to respond to evaluation findings
52102,"ja oâ ?? sullivan , d agrawal , rs indeck , mw muller",,,signal precompensation for multiplicative noise in magnetic recording
52103,m eisenberg,1995.0,"acm sigchi bulletin ,",programmable applications : interpreter meets interface
52104,qict force,,,â ?? doing what counts for patient safety : federal actions to reduce medical errors and their impact
52105,"tj cooke , jm shumway",,"urban geography ,",developing the spatial mismatch hypothesis : problems of accessibility to employment for low-wage
52106,"b hunsberger , k smart",1965.0,"wisconsin studies in contemporary literature ,",kit smart 's '' howl ''
52107,t rizzo,2000.0,,"programming microsoft outlook and microsoft exchange , 2nd ed. , june"
52108,b bresar,2003.0,"discussiones mathematicae graph theory ,",arboreal structure and regular graphs of median-like classes
52109,t hazumi,,"international conference on bear research and management ,",status of japanese black bear
52110,s pejhan,,proc of acm,"t. chiang , y. zhang . dynamic frame rate control for video streams"
52111,l hart,1987.0,"new directions for higher education ,",financing tuition : are prepayment plans the right answer ? .
52112,"aca del valle , jl dugelay",,,online face analysis : coupling head pose-tracking with face expression analysis
52113,a rosenthalâ ? ¦,,proc . 1986 a cm-sigmod intl conf . on management of,a dbms approach to recursion
52114,rg o'sullivan,1995.0,"new directions for program evaluation ,",emerging roles of evaluation in science education reform .
52115,rt azuma,,"siggraph , san diego ,",making direct manipulation work in virtual reality
52116,m astrahanâ ? ¦,,"acm-tods , june ,",system r : a relational approach to data
52117,"kkw chu , mh wong",1999.0,"proc acm sigact sigmod sigart symp princ database syst ,",fast time-series searching with scaling and shifting
52118,sa cook,1975.0,"proceedings of seventh annual acm symposium on theory of & hellip ; ,",feasibly constructive proofs and the propositional calculus ( preliminary version )
52119,bwl chee,,"see jing ,",eating snacks and biting pressure : only children in beijing
52120,"ka marko , jv james , tm feldkamp , cv puskorius , ja",,"proc . isata 29th international symposium on automotive & hellip ; ,",applications of neural networks to the construction of â ?? virtualâ ?? sensors and model-based
52121,iwwatl gestation,,,two large laminaria
52122,ehpcm evers,,"i > proc . 29th ann . int &#39; l symp . microarchitecture , < / i ,","m. evers , and y. patt . increasing the instruction fetch rate via block-structured instruction set"
52123,gp scavone,,"proc . int . computer music conference ,",digital waveguide modeling of the non-linear excitation of single reed woodwind instruments
52124,"rj kusters , m van genuchten , f heemstra",1990.0,"information and software technology ,",are software cost-estimation models accurate
52125,"jd coleman , e klement , a savchenko , a goettsch",1997.0,"proceedings of the fourth acm international conference on & hellip ; ,",teleinvivo : a novel telemedical application for collaborative volume visualization
52126,"m ch , x montaigne",,,management du risqueâ ''
52127,"e chang , h garcia-molina",,,"accounting for memory use , cost , throughput , and latency in the design of a media server"
52128,"k ohara , c ulpian , p seeman , rk sunahara",1993.0,"neuropsychopharmacology-san diego - ,","schizophrenia : dopamine d ~ 1 receptor sequence is normal , but has dna polymorphisms"
52129,d stacey,,oracle or sybaseâ ?? database programming &,replication : db2
52130,g dramitinos,1995.0,"proceedings of the 4th international workshop on object - & hellip ; ,",adding flexibility to a remote memory pager
52131,ja braunâ ? ¦,1993.0,"social studies and the young learner ,","social mathematics and media : using pictures , maps , charts , and graphs . media corner ."
52132,"k harknett , la gennetian",,,how an earnings supplement can affect the marital behaviour of welfare recipients : evidence from the
52133,tw dibblee,1988.0,,geologic map of the lompoc and surf quadrangles
52134,d cheriton,,"proc . of acm sigcomm ,",vmtp : a protocol for the next generation of communication systems
52135,"n azarmi , r smith",1995.0,"bt technology journal ,",intelligent scheduling and planning systems for telecommunications resource management
52136,p robertson,,"msc thesis . computer science department , university of",detecting economic clusters using self organising maps
52137,mjc gordon,1979.0,,the denotational description of programming languages
52138,"f giannotti , g manco",,,specifying mining algorithms with iterative user-defined aggregates
52139,m amoser,,"phd diss ( -- ) . zurich , switzerland ,",strã ¶ mungsfelder und radialkrã $ fte in labyrinthdichtungen hydraulischer strã ¶ mungsmaschinen
52140,"gw burton , ku ingold",,"acc chem res ,",application of the prmclples of physical organic chemistry to the exploration of its structure and
52141,r novak,,,rerouting of multicast connections with quality-of-service constraints
52142,ba vorontsov-velyaminov,,,atlas and catalogue of interacting galaxies
52143,cam lebre,2001.0,"bt technology journal ,",recent bt patents
52144,"a srivastava , mi miller , u grenander",,"proc . 29th annual allerton conference on communication , & hellip ; ,",jump diffusion processes for object tracking and direction finding
52145,"pd koelliker , la brannam",1999.0,"journal of emergency medicine ,",epidural pneumatosis associated with spontaneous pneumomediastinum : case report and review of the
52146,"e brown , pf maeder",1973.0,"new directions for higher education ,",a fiscal fitness exercise .
52147,"wj lucas , ja berry",,"md ,",inorganic carbon uptake by aquatic photosynthetic organisms . american society of plant physiologists
52148,ta ringness,1959.0,,emotional reactions to learning situations as related to the learning efficiency of mentally
52149,"e zerrik , l badraoui",2000.0,"applied mathematics and computer science ,",sensor characterization for regional boundary observability
52150,"gr hanson , c huston",1995.0,"new directions for teaching and learning ,",academic advising and assessment
52151,"b zmazek , j zerovnik",,,recognizing weighted directed cartesian graph bundles
52152,"s chaudhuri , l gravano",1999.0,"vldb ,",evaluating top-k selection queries
52153,"a konig , g weikum",,"conference on the management of data , pune , india ,",auto-tuned spline synopses for database statistics management . 10th int
52154,"c reeg , a randle , j duir",,"proceedings of the 23rd oil shale symposium , 1990 ,",unocalâ ?? s parachute creek oil shale project
52155,"y ioannidis , v poosala",,"proc . 25th international conf . on very large databases ,",histogram-based techniques for approximating set-valued query-answers
52156,"s ghandeharizadeh , r hull , d jacobs",1996.0,"acm transactions on database systems ,",heraclitus : elevating deltas to be first-class citizens in a language
52157,b burgstaller,,,examples of higher rank cuntz-krieger algebras
52158,sg vorobyov,1998.0,"proceedings of the 23rd international symposium on & hellip ; ,",forall exists * - equational theory of context unification is pi10-hard
52159,"m chalmers , a galani",,proc . of acm dis,seamful interleaving : heterogeneity in the design and theory of interactive systems
52160,"y papakonstantinou , v vassalos",,"acm sigmod international conference on management of data ,",rewriting queries using semistructured views
52161,"a kumar , m stonebraker",,"proc . intl. conf . on management of data ,",semantics based transaction management techniques for replicated databases
52162,r fish,1993.0,"journal of emergency medicine ,","electric shock , part i : physics and pathophysiology"
52163,"s chakravarthy , v krishnaprasad , e anwar , sk kim",,"contexts , and detection , procs . of the 20th intâ ?? l conf . on & hellip ; ,",composite events for active databases : semantics
52164,hj walke,,"phil . mag ,",radioactivity and nuclear synthesis
52165,"g ned , k michael , m gavin",,"proceedings of acm siggraph 1993 ,",hierarchical z-buffer visibility
52166,jlc sanz,,"ibm workshop , almaden research center , san jose , calif ,",opportumties and constraints of parallel computing
52167,"pd sampson , s lewis , p guttorp , fl bookstein , cb",,proceedings of the 23rd symposium on the,1991 . computation and interpretation of deformations for landmark data in morphometricsand
52168,"js black , m mendenhall , g oddou",1991.0,"the academy of management review ,",toward a comprehensive model of international adjustment : an integration of multiple theoretical
52169,"fm goodman , p la harpe , vfr jones",1989.0,,coxeter graphs and towers of algebras
52170,l blakeley,,proc . acm sigmod,"tompa 1986 : ja blakeley , pa larson , and fw tompa , efficiently updating materialized views"
52171,a handbook,,"the mountaineers , seattle , washington ,",by david mcclung and peter schaerer
52172,dm eggers,,"to ,",robust harvest policies for pacific salmon fisheries
52173,x wu,2002.0,,correlation of physio-chemical characteristics in the seed coat and canning quality in different
52174,se straus,,,overview : the biology of varicella-zoster virus infection
52175,"h lu , r setiono , hn liu",,"proceedings of the 21st vldb conference , zurish , swizerland ,",a connectionist approach to data mining
52176,"a eisenberg , k de volder",,"aosd 2004 demonstration ,",jquery : finding your way through tangled code
52177,t slezakâ ? ¦,,"proc . 28th ann . int . cong . on system sciences ,","a database system for constructing , integrating , and displaying maps of chromosome 19 . 14â ?? 23"
52178,gl steele jr,,"technical report . thinking machines corporation ( cambridge ,",how to compose monads
52179,k annan,2000.0,,we the peoples : the role of the united nations in the 21 stcentury
52180,"cth ho , f naumann , x tian , lm haas , n megiddo",,"submitted for consideration to vldb ,",automatic classification of attributes using feature analysis
52181,"d woelk , w kim",,,an object-oriented approach to multimedia databases
52182,pc fife,1979.0,,mathematical aspects of reacting and diffusing systems
52183,"c fu , t yang",1996.0,"proceedings of acm/ieee supercomputing , pittsburgh , november ,",sparse lu factorization with partial pivoting on distributed memory machines
52184,v strumpen,,,indolent closure creation
52185,"af nikiforov , sk suslov , vb uvarov",1992.0,,classical orthogonal polynomials of a discrete variable
52186,"k mayer-patel , la rowe",1999.0,"proceedings of the seventh acm international conference on & hellip ; ,",a multicast scheme for parallel software-only video effects processing
52187,r randell,,,"morse theory , milnor fibers and hyperplane arrangements , math"
52188,"jc vazquez , j villar",2003.0,"cochrane database syst rev ,",treatments for symptomatic urinary tract infections during pregnancy
52189,"bj hirsch , bd rapkin",1986.0,"journal of personality and social psychology ,","multiple roles , social networks , and women 's well-being"
52190,"jh greenhaus , s parasuraman , wm wormley",1990.0,"the academy of management journal ,","effects of race on organizational experiences , job performance evaluations , and career outcomes"
52191,"a kilambi , cs johnson , dn wilson",,"procs 9th australasian conf . on inf . systems ,",australian experience with post-implementation reviews
52192,aj francis,,,foreword
52193,"s saunders , l rauchwerger",,,"armi : an adaptive , platform independent communication library"
52194,"j seton , mp hollier , fwm stentiford",1999.0,"bt technology journal ,",people and technology
52195,dj watts,1999.0,,small worlds : the dynamics of networks between order and randomness
52196,"am keller , g wiederhold",1988.0,"sigmod record ,",concurrent use of b-trees with variable-length entries
52197,"k chen , j varon , oc wenker",1998.0,"journal of emergency medicine ,",malignant airway obstruction : recognition and management
52198,k papadopoulouâ ?? vrynioti,,"bull . geol . soc . greece xxi , p61-70 athens ,",morphogenetic study of the hellikon polje ( beotia-greece
52199,lp csernai,,,introduction relativistic heavy ion collisions
52200,"b liskov , r atkinson , t bloom , je moss , jc",1978.0,,"clu reference manual , computation structures group memo 161"
52201,j paredaensâ ? ¦,1989.0,,the structure of the relational database model
52202,b hoard,,"computerworld ,",survey finds dp salaries up 6.5 this year
52203,"c tracy , h widom",1994.0,"communications in mathematical physics ,",level-spacing distributions and the airy kernel
52204,a borgida,1985.0,"acm transactions on database systems ,",language features for flexible handling of exceptions in information systems
52205,"v kumar , rb allen",,,metadata visualization for digital libraries : interactive timeline editing and review
52206,"a kontostathis , wm pottenger",2002.0,"submitted for publication ,",improving retrieval performance with positive and negative equivalence classes of terms
52207,"mj mcnallan , ns jacobson , yy lee , yw chang",,"seattle , washington ( electrochem . soc. , pennington , nj ,",high temperature materials chemistryâ ?? v
52208,"hq nguyen , c bac , g bernard",,,integrating qos management in a micro-kernel based unix operating system
52209,x zhang,,,positive mass conjecture for 5-dimensional lorentzian manifolds
52210,"r mills , j sankar , a voigt , j he , p ray , b",,,synthesis and characterization of diamond films from mpcvd of an energetic argon-hydrogen plasma and
52211,r byrne,1999.0,,building applications with microsoft outlook 2000 : technical reference
52212,"yb kim , wg hwang , cd kee , hb yi",2001.0,"proceedings of the i mech e part d journal of automobile & hellip ; ,",active vibration control of a suspension system using an electromagnetic damper
52213,"nj kumar , s shivshankar , ag dean",,,asynchronous software thread integration for efficient software implementations of embedded
52214,"e sprangle , d carmean",,proc . 29th ann . intâ ?? l symp . computer,increasing processor performance by implementing baseline with 512-kbyte l2 cache 512-kbyte l2 cache
52215,tim bussiek,1999.0,"electronic markets ,",the internet-based supply chain-new forms of procurement utilizing standard business software
52216,t kostova,1999.0,"the academy of management review ,",transnational transfer of strategic organizational practices : a contextual perspective
52217,"em evans , ws eldridge",1978.0,"j audiov media med ,",audiovisual media : a combined operation .
52218,f trouton,,"phil . mag ,",iv . on molecular latent heat
52219,"gh fischer , iw molenaar",1995.0,,"rasch models : foundations , recent developments , and applications"
52220,"s takahata , t ozaki , j mimura , y kikuchi , k sogawa",2000.0,"genes to cells ,","transactivation mechanisms of mouse clock transcription factors , mclock and marnt3"
52221,"j xu , g bailey",,,the airport gate assignment problem : mathematical model and a tabu search algorithm
52222,"b efron , a gous",,,bayesian and frequentist model selection
52223,n caplan,1980.0,"new directions for program evaluation ,",what do we know about knowledge utilization ?
52224,"j gao , m li , a wu , cn huang",,,chinese word segmentation : a pragmatic approach
52225,m murahkrishna,,,optrmaation and dataflow algorithms for nested tree queries
52226,n electronics,,,"7272 park circle drive , hanover"
52227,"f castai , s ceri",,"acm tods . sep ,",specification and implementation of exceptions in workflow management systems [ j ]
52228,"f kienberger , a ebner , hj gruber , p hinterdorfer",2006.0,"acc chem res ,",molecular recognition imaging and force spectroscopy of single biomolecules .
52229,"j han , j pei , g dong , k wang",,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",efficient computation of iceberg queries with complex measures
52230,"y afek , y mansour , z ostfeld",2000.0,"computer networks ,",phantom : a simple and effective flow control scheme
