acm_record_id,date_year,conf_title,journal_name,creators
2062,2003,dynamic xml documents with distribution and replication,international conference on management of data,"serge abiteboul , angela bonifati , gr &#233; gory cob &#233; na , ioana manolescu , tova milo"
2063,2003,dynamic sample selection for approximate query processing,international conference on management of data,"brian babcock , surajit chaudhuri , gautam das"
2064,2003,database principles,acm sigmod record,leonid libkin
2065,2003,peer-to-peer : harnessing the power of disruptive technologies,acm sigmod record,mario a. nascimento
2066,2003,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees,acm sigmod record,"eugene inseok chong , jagannathan srinivasan , souripriya das , chuck freiwald , aravind yalamanchi , mahesh jagannath , anh-tuan tran , ramkumar krishnan , richard jiang"
2067,2003,a web odyssey : from codd to xml,acm sigmod record,victor vianu
2068,2003,xml schema,acm sigmod record,"charles e. campbell , andrew eisenberg , jim melton"
2069,2003,standards,acm sigmod record,andrew eisenberg
2070,2003,time management for new faculty,acm sigmod record,"anastassia ailamaki , johannes gehrke"
2071,2003,career forum,acm sigmod record,alexandros labrinidis
2072,2003,discovering all most specific sentences,acm transactions on database systems ( tods ),"dimitrios gunopulos , roni khardon , heikki mannila , sanjeev saluja , hannu toivonen , ram sewak sharma"
2073,2003,spatial queries in dynamic environments,acm transactions on database systems ( tods ),"yufei tao , dimitris papadias"
2074,2003,improving the efficiency of database-system teaching,international conference on management of data,jeffrey d. ullman
2075,2003,on the computation of relational view complements,acm transactions on database systems ( tods ),"jens lechtenb &#246; rger , gottfried vossen"
2076,2003,xrank : ranked keyword search over xml documents,international conference on management of data,"lin guo , feng shao , chavdar botev , jayavel shanmugasundaram"
2077,2003,querying structured text in an xml database,international conference on management of data,"shurug al-khalifa , cong yu , h. v. jagadish"
2078,2003,approximate join processing over data streams,international conference on management of data,"abhinandan das , johannes gehrke , mirek riedewald"
2079,2003,distributed top-k monitoring,international conference on management of data,"brian babcock , chris olston"
2080,2003,spreadsheets in rdbms for olap,international conference on management of data,"andrew witkowski , srikanth bellamkonda , tolga bozkaya , gregory dorman , nathan folkert , abhinav gupta , lei shen , sankar subramanian"
2081,2003,qc-trees : an efficient summary structure for semantic olap,international conference on management of data,"laks v. s. lakshmanan , jian pei , yan zhao"
2082,2003,winnowing : local algorithms for document fingerprinting,international conference on management of data,"saul schleimer , daniel s. wilkerson , alex aiken"
2083,2003,information sharing across private databases,international conference on management of data,"rakesh agrawal , alexandre evfimievski , ramakrishnan srikant"
2084,2003,rights protection for relational data,international conference on management of data,"radu sion , mikhail atallah , sunil prabhakar"
2085,2003,vist : a dynamic index method for querying xml data by tree structures,international conference on management of data,"haixun wang , sanghyun park , wei fan , philip s. yu"
2086,2003,xpress : a queriable compression for xml data,international conference on management of data,"jun-ki min , myung-jae park , chin-wan chung"
2087,2003,d ( k ) - index : an adaptive structural summary for graph-structured data,international conference on management of data,"qun chen , andrew lim , kian win ong"
2088,2003,containment join size estimation : models and methods,international conference on management of data,"wei wang , haifeng jiang , hongjun lu , jeffrey xu yu"
2089,2003,efficient processing of joins on set-valued attributes,international conference on management of data,nikos mamoulis
2090,2003,"temporal coalescing with now granularity , and incomplete information",international conference on management of data,curtis e. dyreson
2091,2003,warping indexes with envelope transforms for query by humming,international conference on management of data,"yunyue zhu , dennis shasha"
2092,2003,rondo : a programming platform for generic model management,international conference on management of data,"sergey melnik , erhard rahm , philip a. bernstein"
2093,2003,on schema matching with opaque column names and data values,international conference on management of data,"jaewoo kang , jeffrey f. naughton"
2094,2003,statistical schema matching across web query interfaces,international conference on management of data,"bin he , kevin chen-chuan chang"
2095,2003,extended wavelets for multiple measures,international conference on management of data,"antonios deligiannakis , nick roussopoulos"
2096,2001,an internet-based negotiation server for e-commerce,the vldb journal -- the international journal on very large data bases,"stanley y.w. su , chunbo huang , joachim hammer , yihua huang , haifei li , liu wang , youzhong liu , charnyote pluempitiwiriyawej , minsoo lee , herman lam"
2097,2001,objectglobe : ubiquitous query processing on the internet,the vldb journal -- the international journal on very large data bases,"r. braumandl , m. keidl , a. kemper , d. kossmann , a. kreutz , s. seltzsam , k. stocker"
2098,2001,active rules for xml : a new paradigm for e-services,the vldb journal -- the international journal on very large data bases,"angela bonifati , stefano ceri , stefano paraboschi"
2099,2001,integrating and customizing heterogeneous e-commerce applications,the vldb journal -- the international journal on very large data bases,"anat eyal , tova milo"
2100,2001,picodbms : scaling down database techniques for the smartcard,the vldb journal -- the international journal on very large data bases,"philippe pucheral , luc bouganim , patrick valduriez , christophe bobineau"
2101,2001,guest editorial,the vldb journal -- the international journal on very large data bases,"amr el abbadi , gunter schlageter , kyu-young whang"
2102,2001,an architecture to support scalable online personalization on the web,the vldb journal -- the international journal on very large data bases,"anindya datta , kaushik dutta , debra vandermeer , krithi ramamritham , shamkant b. navathe"
2103,2001,xml-enabled workflow management for e-services across heterogeneous platforms,the vldb journal -- the international journal on very large data bases,"german shegalov , michael gillmann , gerhard weikum"
2104,2001,approximate query processing using wavelets,the vldb journal -- the international journal on very large data bases,"kaushik chakrabarti , minos garofalakis , rajeev rastogi , kyuseok shim"
2105,2001,minicon : a scalable algorithm for answering queries using views,the vldb journal -- the international journal on very large data bases,"rachel pottinger , alon halevy"
2106,2001,approximate query mapping : accounting for translation closeness,the vldb journal -- the international journal on very large data bases,"kevin chen-chuan chang , h &#233; ctor garc &#237; a-molina"
2107,2001,efficiently publishing relational data as xml documents,the vldb journal -- the international journal on very large data bases,"jayavel shanmugasundaram , eugene shekita , rimon barr , michael carey , bruce lindsay , hamid pirahesh , berthold reinwald"
2108,2001,monotonic complements for independent data warehouses,the vldb journal -- the international journal on very large data bases,"d. laurent , j. lechtenb &#246; rger , n. spyratos , g. vossen"
2109,2001,answering queries using views : a survey,the vldb journal -- the international journal on very large data bases,alon y. halevy
2110,2001,semantic integrity support in sql :1999 and commercial ( object - ) relational database management systems,the vldb journal -- the international journal on very large data bases,"can t &#252; rker , michael gertz"
2111,2001,user-cognizant multidimensional analysis,the vldb journal -- the international journal on very large data bases,sunita sarawagi
2112,2003,new partnership with acm and update on the journal,the vldb journal -- the international journal on very large data bases,m. tamer &#214; zsu
2113,2003,complex relationships and knowledge discovery support in the infoquilt system,the vldb journal -- the international journal on very large data bases,"a. sheth , s. thacker , s. patel"
2114,2001,global transaction support for workflow management systems : from formal specification to practical implementation,the vldb journal -- the international journal on very large data bases,"paul grefen , jochem vonk , peter apers"
2115,2001,a survey of approaches to automatic schema matching,the vldb journal -- the international journal on very large data bases,"erhard rahm , philip a. bernstein"
2116,2003,business-to-business interactions : issues and enabling technologies,the vldb journal -- the international journal on very large data bases,"b. medjahed , b. benatallah , a. bouguettaya , a. h. h. ngu , a. k. elmagarmid"
2117,2003,issues in data stream management,acm sigmod record,"lukasz golab , m. tamer &#214; zsu"
2118,2003,a bayesian decision model for cost optimal record matching,the vldb journal -- the international journal on very large data bases,"v. s. verykios , g. v. moustakides , m. g. elfeky"
2119,2003,lineage tracing for general data warehouse transformations,the vldb journal -- the international journal on very large data bases,"y. cui , j. widom"
2120,2003,an approach to confidence based page ranking for user oriented web search,acm sigmod record,"debajyoti mukhopadhyay , debasis giri , sanasam ranbir singh"
2121,2003,modelling temporal thematic map contents,acm sigmod record,"alberto d'onofrio , elaheh pourabbas"
2122,2003,closing the key loophole in mls databases,acm sigmod record,"nenad jukic , svetlozar nestorov , susan vrbsky"
2123,2003,xpath processing in a nutshell,acm sigmod record,"georg gottlob , christoph koch , reinhard pichler"
2124,2003,book reviews,acm sigmod record,karl aberer
2125,2003,book review column,acm sigmod record,karl aberer
2126,2003,research issues for data communication in mobile ad-hoc network database systems,acm sigmod record,"leslie d. fife , le gruenwald"
2127,2003,towards a database body of knowledge : a study from spain,acm sigmod record,"coral calero , mario piattini , francisco ruiz"
2128,2003,database principles,acm sigmod record,
2129,2003,book reviews,acm sigmod record,
2130,2003,reports,acm sigmod record,
2131,2003,special topic section on peer to peer data management,acm sigmod record,
2132,2003,standards,acm sigmod record,
2133,2003,book reviews,acm sigmod record,
2134,2003,special section on sensor network technology and sensor data managment,acm sigmod record,
2135,1998,objectivity industrial exhibit,very large data bases,objectivity
2136,2000,author index,very large data bases,
2137,2003,fundamentals of data warehouses : 2nd revised and extended edition,acm sigmod record,vernon hoffner
2138,2003,information rules,acm sigmod record,dale a. stirling
2139,2000,"ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword",very large data bases,
2140,2000,media360 workflow-implementing a workflow engine inside a database,very large data bases,carsten blecken
2141,1999,microsoft english query 7.5 : automatic extraction of semantics from relational databases and olap cubes,very large data bases,adam blum
2142,1999,in cyber space no one can hear you scream,very large data bases,chris pound
2143,1998,mapinfo spatialware : a spatial information server for rdbms,very large data bases,chebel mina
2144,1998,oracle industrial exhibit,very large data bases,amy pogue
2145,1995,special issue on persistent object systems,the vldb journal -- the international journal on very large data bases,
2146,1998,dms : a parallel data mining server,very large data bases,felicity george
2147,2001,surveys,acm sigmod record,jos &#233; blakeley
2148,2001,systems and prototypes,acm sigmod record,
2149,2002,surveys,acm sigmod record,jos &#233; blakeley
2150,2001,special section on advanced xml data processing,acm sigmod record,
2151,2003,information integration on the web : a view from ai and databases ( report on iiweb-03 ),acm sigmod record,"subbarao kambhampati , craig a. knoblock"
2152,2003,research in database engineering at the university of namur,acm sigmod record,jean-luc hainaut
2153,2003,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),acm sigmod record,paolo giorgini
2154,2003,report on fqas 2002 : fifth international conference on flexible query answering systems,acm sigmod record,"amihai motro , troels andreasen"
2155,1996,large databases for remote sensing and gis,very large data bases,a. r. dasgupta
2156,1997,innovation in database management : computer science vs. engineering,very large data bases,kenneth r. jacobs
2157,1996,using referential integrity to easily define consistent subset replicas,very large data bases,brad hammond
2158,1996,disnic-plan : a nicnet based distributed database for micro-level planning in india,very large data bases,m. moni
2159,1996,very large databases in a commercial application environment,very large data bases,karl-heinz hess
2160,1996,the xps approach to loading and unloading terabyte databases,very large data bases,sanket atal
2161,1995,"very large databases : how large , how different ?",very large data bases,david vaskevitch
2162,1995,informix-online xps : a dynamically scalable rdbms for open parallel platforms,very large data bases,hannes spintzik
2163,2001,the semantic web paving the way to the knowledge society,very large data bases,pierre-paul sondag
2164,2001,the long-term preservation of authentic electronic records,very large data bases,luciana duranti
2165,2001,french government activity in the conservation of data and electronic documents,very large data bases,serge novaretti
2166,2001,italian electronic identity card - principle and architecture,very large data bases,mario gentili
2167,2001,"ambient intelligence with the ubiquitous network , the embedded computer devices and the hidden databases ( abstract )",very large data bases,egbert-jan sol
2168,2001,scientific olap for the biotech domain,very large data bases,nam huyn
2169,2001,discovering web services : an overview,very large data bases,vadim draluk
2170,2000,the zero latency enterprise,very large data bases,dave liles
2171,2003,efficient dynamic mining of constrained frequent sets,acm transactions on database systems ( tods ),"laks v. s. lakshmanan , carson kai-sang leung , raymond t. ng"
2172,2003,effective page refresh policies for web crawlers,acm transactions on database systems ( tods ),"junghoo cho , hector garcia-molina"
2173,2003,preference formulas in relational queries,acm transactions on database systems ( tods ),jan chomicki
2174,2003,path sharing and predicate evaluation for high-performance xml filtering,acm transactions on database systems ( tods ),"yanlei diao , mehmet altinel , michael j. franklin , hao zhang , peter fischer"
2175,2003,index-driven similarity search in metric spaces,acm transactions on database systems ( tods ),"gisli r. hjaltason , hanan samet"
2176,2003,edgar f. codd : a tribute and personal memoir,acm sigmod record,c. j. date
2177,1994,a requirement-based approach to data modeling and re-engineering,very large data bases,"alice h. muntz , christian t. ramiller"
2178,2003,developments at acm tods,acm sigmod record,richard snodgrass
2179,2001,actiview : adaptive data presentation using supersql,very large data bases,"yoko maeda , motomichi toyama"
2180,2003,sensor : the atomic computing particle,acm sigmod record,vijay kumar
2181,1994,modelling and querying video data,very large data bases,"rune hjelsvold , roger midtstraum"
2182,2003,incremental computation and maintenance of temporal aggregates,the vldb journal -- the international journal on very large data bases,"jun yang , jennifer widom"
2183,2001,walking through a very large virtual environment in real-time,very large data bases,"lidan shou , jason chionh , zhiyong huang , yixin ruan , kian-lee tan"
2184,2003,guest editorial,the vldb journal -- the international journal on very large data bases,"vijay atluri , anupam joshi , yelena yesha"
2185,2001,cache fusion : extending shared-disk clusters with shared caches,very large data bases,"tirthankar lahiri , vinay srihari , wilson chan , n. macnaughton , sashikanth chandrasekaran"
2186,2003,managing multiple and distributed ontologies on the semantic web,the vldb journal -- the international journal on very large data bases,"a. maedche , b. motik , l. stojanovic"
2187,2001,analyzing energy behavior of spatial access methods for memory-resident data,very large data bases,"ning an , anand sivasubramaniam , narayanan vijaykrishnan , mahmut t. kandemir , mary jane irwin , sudhanva gurumurthi"
2188,2003,learning to match ontologies on the semantic web,the vldb journal -- the international journal on very large data bases,"anhai doan , jayant madhavan , robin dhamankar , pedro domingos , alon halevy"
2189,2001,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems,very large data bases,"sang k. cha , sangyong hwang , kihong kim , keunjoo kwon"
2190,2003,thesus : organizing web document collections based on link semantics,the vldb journal -- the international journal on very large data bases,"maria halkidi , benjamin nguyen , iraklis varlamis , michalis vazirgiannis"
2191,2001,on processing xml in ldap,very large data bases,"pedro jos &#233; marr &#243; n , georg lausen"
2192,2003,composing web services on the semantic web,the vldb journal -- the international journal on very large data bases,"brahim medjahed , athman bouguettaya , ahmed k. elmagarmid"
2193,2001,efficient management of multiversion documents by object referencing,very large data bases,"shu-yao chien , vassilis j. tsotras , carlo zaniolo"
2194,2003,poesia : an ontological workflow approach for composing web services in agriculture,the vldb journal -- the international journal on very large data bases,"renato fileto , ling liu , calton pu , eduardo delgado assad , claudia bauzer medeiros"
2195,2001,roadrunner : towards automatic data extraction from large web sites,very large data bases,"valter crescenzi , giansalvatore mecca , paolo merialdo"
2196,2003,analysis of predictive spatio-temporal queries,acm transactions on database systems ( tods ),"yufei tao , jimeng sun , dimitris papadias"
2197,2001,xxl - a library approach to supporting efficient implementations of advanced database queries,very large data bases,"jochen van den bercken , bj &#246; rn blohsfeld , jens-peter dittrich , j &#252; rgen kr &#228; mer , tobias sch &#228; fer , martin schneider , bernhard seeger"
2198,2003,distributed deviation detection in sensor networks,acm sigmod record,"themistoklis palpanas , dimitris papadopoulos , vana kalogeraki , dimitrios gunopulos"
2199,1994,v-trees - a storage method for long vector data,very large data bases,"maur &#236; cio r. mediano , marco a. casanova , marcelo dreux"
2200,2003,multimedia streaming in large-scale sensor networks with mobile swarms,acm sigmod record,"mario gerla , kaixin xu"
2201,1994,query optimization by predicate move-around,very large data bases,"alon y. levy , inderpal singh mumick , yehoshua sagiv"
2202,2003,book review column,acm sigmod record,karl aberer
2203,1994,new concurrency control algorithms for accessing and compacting b-trees,very large data bases,"v. w. setzer , andrea zisman"
2204,2003,reasoning on regular path queries,acm sigmod record,"d. calvanese , g. de giacomo , m. lenzerini , m. y. vardi"
2205,1994,qualified answers that reflect user needs and preferences,very large data bases,"terry gaasterland , jorge lobo"
2206,2003,"review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999 .",acm sigmod record,"fernando berzal , nicol &#225; s mar &#237; n"
2207,1994,fast algorithms for mining association rules in large databases,very large data bases,"rakesh agrawal , ramakrishnan srikant"
2208,2003,review of web caching and replication by michael rabinovich and oliver spatscheck . addison wesley 2002 .,acm sigmod record,"qiang wang , brian d. davison"
2209,1994,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,very large data bases,"waqar hasan , rajeev motwani"
2210,2003,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),acm sigmod record,"hans j. lenz , panos vassiliadis , manfred jeusfeld , martin staudt"
2211,1994,including group-by in query optimization,very large data bases,"surajit chaudhuri , kyuseok shim"
2212,2003,"review of spatial databases with application to gis by philippe rigaux , michel scholl , and agnes voisard . morgan kaufmann 2002 .",acm sigmod record,nancy wiegand
2213,1994,building a laboratory information system around a c++ - based object-oriented dbms,very large data bases,"nathan goodman , steve rozen , lincoln stein"
2214,2003,understanding the semantics of sensor data,acm sigmod record,murali mani
2215,1994,on spatially partitioned temporal join,very large data bases,"hongjun lu , beng chin ooi , kian-lee tan"
2216,2003,"the sensor spectrum : technology , trends , and requirements",acm sigmod record,"joseph m. hellerstein , wei hong , samuel r. madden"
2217,1994,towards event-driven modelling for database design,very large data bases,"maguelonne teisseire , pascal poncelet , rosine cicchetti"
2218,2003,managing uncertainty in sensor database,acm sigmod record,"reynold cheng , sunil prabhakar"
2219,1994,experiments on access to digital libraries : how can images and text be used together,very large data bases,michael lesk
2220,2003,bluetooth-based sensor networks,acm sigmod record,"philippe bonnet , allan beaufour , mads bondo dydensborg , martin leopold"
2221,1994,reasoning about spatial relationships in picture retrieval systems,very large data bases,"a. prasad sistla , clement t. yu , r. haddad"
2222,2003,the cougar project : a work-in-progress report,acm sigmod record,"alan demers , johannes gehrke , rajmohan rajaraman , niki trigoni , yong yao"
2223,1994,maximizing buffer and disk utilizations for news on-demand,very large data bases,"raymond t. ng , jinhai yang"
2224,2003,an environmental sensor network to determine drinking water quality and security,acm sigmod record,"anastassia ailamaki , christos faloutos , paul s. fischbeck , mitchell j. small , jeanne vanbriesen"
2225,1994,efficient and effective clustering methods for spatial data mining,very large data bases,"raymond t. ng , jiawei han"
2226,2003,power efficient data gathering and aggregation in wireless sensor networks,acm sigmod record,"h &#252; seyin &#214; zg &#252; r tan , ibrahim k &#246; rpeo &#487; lu"
2227,1994,semantic integration in heterogeneous databases using neural networks,very large data bases,"wen-syan li , chris clifton"
2228,2003,energy and rate based mac protocol for wireless sensor networks,acm sigmod record,"rajgopal kannan , ram kalidindi , s. s. iyengar , vijay kumar"
2229,1994,content-based image indexing,very large data bases,tzi-cker chiueh
2230,2003,p-grid : a self-organizing structured p2p system,acm sigmod record,"karl aberer , philippe cudr &#233; - mauroux , anwitaman datta , zoran despotovic , manfred hauswirth , magdalena punceva , roman schmidt"
2231,1994,data integration in the large : the challenge of reuse,very large data bases,"arnon rosenthal , leonard j. seligman"
2232,2003,toward network data independence,acm sigmod record,joseph m. hellerstein
2233,1994,client-server paradise,very large data bases,"david j. dewitt , navin kabra , jun luo , jignesh m. patel , jie-bing yu"
2234,2003,guest editor 's introduction,acm sigmod record,karl aberer
2235,1994,"fast , randomized join-order selection - why use transformations ?",very large data bases,"c &#233; sar a. galindo-legaria , arjan pellenkoft , martin l. kersten"
2236,2003,peer-to-peer research at stanford,acm sigmod record,"mayank bawa , brian f. cooper , arturo crespo , neil daswani , prasanna ganesan , hector garcia-molina , sepandar kamvar , sergio marti , mario schlosser , qi sun , patrick vinograd , beverly yang"
2237,1994,database graph views : a practical model to manage persistent graphs,very large data bases,"alejandro guti &#233; rrez , philippe pucheral , hermann steffen , jean-marc th &#233; venin"
2238,2003,the hyperion project : from data integration to data coordination,acm sigmod record,"marcelo arenas , vasiliki kantere , anastasios kementsietsidis , iluju kiringa , ren &#233; e j. miller , john mylopoulos"
2239,1994,an effective deductive object-oriented database through language integration,very large data bases,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn"
2240,2003,relational data sharing in peer-based data management systems,acm sigmod record,"beng chin ooi , yanfeng shu , kian-lee tan"
2241,1994,data compression support in databases,very large data bases,"balakrishna r. iyer , david wilhite"
2242,2003,design issues and challenges for rdf - and schema-based peer-to-peer systems,acm sigmod record,"wolfgang nejdl , wolf siberski , michael sintek"
2243,1994,odefs : a file system interface to an object-oriented database,very large data bases,"narain h. gehani , h. v. jagadish , william d. roome"
2244,2003,the piazza peer data management project,acm sigmod record,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork"
2245,1994,challenges for global information systems,very large data bases,"alon y. levy , abraham silberschatz , divesh srivastava , maria zemankova"
2246,2003,iterative spatial join,acm transactions on database systems ( tods ),"edwin h. jacox , hanan samet"
2247,1994,investigation of algebraic query optimisation techniques for database programming languages,very large data bases,"alexandra poulovassilis , carol small"
2248,2003,are quorums an alternative for data replication ?,acm transactions on database systems ( tods ),"ricardo jim &#233; nez-peris , m. pati &#241; o-mart &#237; nez , gustavo alonso , bettina kemme"
2249,1994,an empirical performance study of the ingres search accelerator for a large property management database system,very large data bases,"sarabjot s. anand , david a. bell , john g. hughes"
2250,2003,data grid management systems,international conference on management of data,"arun jagatheesan , arcot rajasekar"
2251,1994,providing dynamic security control in a federated database,very large data bases,"n. b. idris , w. a. gray , r. f. churchhouse"
2252,2003,removing permissions in the flexible authorization framework,acm transactions on database systems ( tods ),"duminda wijesekera , sushil jajodia , francesco parisi-presicce , &#197; sa hagstr &#246; m"
2253,1994,a multidatabase system for tracking and retrieval of financial data,very large data bases,"munir cochinwala , john bradley"
2254,2003,learning about data integration challenges from day one,acm sigmod record,alon y. halevy
2255,1994,the impact of global clustering on spatial database systems,very large data bases,"thomas brinkhoff , hans-peter kriegel"
2256,2003,exposing undergraduate students to database system internals,acm sigmod record,"anastassia ailamaki , joseph m. hellerstein"
2257,1994,rp * : a family of order preserving scalable distributed data structures,very large data bases,"witold litwin , marie-anne neimat , donovan a. schneider"
2258,2003,analysis of sigmod 's co-authorship graph,acm sigmod record,"mario a. nascimento , j &#246; rg sander , jeffrey pound"
2259,1994,join index hierarchies for supporting efficient navigations in object-oriented databases,very large data bases,"zhaohui xie , jiawei han"
2260,2003,journal relevance,acm sigmod record,richard snodgrass
2261,1994,integrating a structured-text retrieval system with an object-oriented database system,very large data bases,"tak w. yan , jurgen annevelink"
2262,2003,fast and accurate text classification via multiple linear discriminant projections,the vldb journal -- the international journal on very large data bases,"soumen chakrabarti , shourya roy , mahesh v. soundalgekar"
2263,1994,the gmap : a versatile tool for physical data independence,very large data bases,"odysseas g. tsatalos , marvin h. solomon , yannis e. ioannidis"
2264,2003,"watermarking relational data : framework , algorithms and analysis",the vldb journal -- the international journal on very large data bases,"rakesh agrawal , peter j. haas , jerry kiernan"
2265,1994,a top-down approach for two level serializability,very large data bases,"m. ouzzani , m. a. atroun , n. l. belkhodja"
2266,2003,psoup : a system for streaming queries over streaming data,the vldb journal -- the international journal on very large data bases,"sirish chandrasekaran , michael j. franklin"
2267,1994,an overview of repository technology,very large data bases,"philip a. bernstein , umeshwar dayal"
2268,2003,aurora : a new model and architecture for data stream management,the vldb journal -- the international journal on very large data bases,"daniel j. abadi , don carney , ugur &#199; etintemel , mitch cherniack , christian convey , sangdon lee , michael stonebraker , nesime tatbul , stan zdonik"
2269,1994,implementing lazy database updates for an object database system,very large data bases,"fabrizio ferrandina , thorsten meyer , roberto zicari"
2270,2003,a performance study of four index structures for set-valued attributes of low cardinality,the vldb journal -- the international journal on very large data bases,"sven helmer , guido moerkotte"
2271,1994,persistent threads,very large data bases,"florian matthes , joachim w. schmidt"
2272,2003,instance-based attribute identification in database integration,the vldb journal -- the international journal on very large data bases,"cecil eng h. chua , roger h. l. chiang , ee-peng lim"
2273,1994,fast incremental indexing for full-text information retrieval,very large data bases,"eric w. brown , james p. callan , w. bruce croft"
2274,2003,computing complete answers to queries in the presence of limited access patterns,the vldb journal -- the international journal on very large data bases,chen li
2275,1994,access to objects by path expressions and rules,very large data bases,"j &#252; rgen frohn , georg lausen , heinz uphoff"
2276,2003,cost-driven vertical class partitioning for methods in object oriented databases,the vldb journal -- the international journal on very large data bases,"chi-wai fung , kamalakar karlapalem , qing li"
2277,1994,some issues in design of distributed deductive databases,very large data bases,"mukesh k. mohania , nandlal l. sarda"
2278,2003,standards for databases on the grid,acm sigmod record,"susan malaika , andrew eisenberg , jim melton"
2279,1994,supporting exceptions to schema consistency to ease schema evolution in oodbms,very large data bases,"eric amiel , marie-jo bellosta , eric dujardin , eric simon"
2280,2003,dbglobe : a service-oriented p2p system for global computing,acm sigmod record,"evaggelia pitoura , serge abiteboul , dieter pfoser , george samaras , michalis vazirgiannis"
2281,1994,indexing multiple sets,very large data bases,"christoph kilger , guido moerkotte"
2282,2003,selective information dissemination in p2p networks : problems and solutions,acm sigmod record,"manolis koubarakis , christos tryfonopoulos , stratos idreos , yannis drougas"
2283,1994,a low-cost storage server for movie on demand databases,very large data bases,"banu &#214; zden , alexandros biliris , rajeev rastogi , abraham silberschatz"
2284,2003,in-context peer-to-peer information filtering on the web,acm sigmod record,aris m. ouksel
2285,1994,cumulative updates,very large data bases,"suryanarayana m. sripada , beat w &#252; thrich"
2286,2003,re-tree : an efficient index structure for regular expressions,the vldb journal -- the international journal on very large data bases,"chee-yong chan , minos garofalakis , rajeev rastogi"
2287,1994,an approach for building secure database federations,very large data bases,"dirk jonscher , klaus r. dittrich"
2288,2003,a case for fractured mirrors,the vldb journal -- the international journal on very large data bases,"ravishankar ramamurthy , david j. dewitt , qi su"
2289,1994,dual-buffering strategies in object bases,very large data bases,"alfons kemper , donald kossmann"
2290,2003,guest editorial,the vldb journal -- the international journal on very large data bases,"philip a. bernstein , yannis ioannidis , raghu ramakrishnan"
2291,1994,graphdb : modeling and querying graphs in databases,very large data bases,ralf hartmut g &#252; ting
2292,2003,"review of the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ) by ralph kimball , margy ross . john wiley & sons , inc. 2002 .",acm sigmod record,alexander a. anisimov
2293,1994,bulk loading into an oodb : a performance study,very large data bases,"janet l. wiener , jeffrey f. naughton"
