paper_id,event_year,pub_name,pub_authors
1339,2002,legodb : customizing relational storage for xml documents,"prasan roy , philip bohannon , jayant r. haritsa , jérôme siméon , maya ramanath , juliana freire"
1340,2002,an xml query engine for network-bound data,"daniel s. weld , alon y. halevy , zachary g. ives"
1341,1994,v-trees - a storage method for long vector data,"maurício r. mediano , marcelo dreux , marco a. casanova"
1342,2001,application servers : born-again tp monitors for the web ? ( panel abstract ),c. mohan
1343,1999,dbmss on a modern processor : where does time go ?,"david a. wood , mark d. hill , david j. dewitt , anastassia ailamaki"
1344,1999,high-performance extensible indexing,marcel kornacker
1345,1999,"message from editor-in-chief , acm transactions on database systems",won kim
1346,1997,data management for earth system science,"james frew , jeff dozier"
1347,1997,dataguides : enabling query formulation and optimization in semistructured databases,"roy goldman , jennifer widom"
1348,1998,approximate medians and other quantiles in one pass and with limited memory,"bruce g. lindsay , gurmeet singh manku , sridhar rajagopalan"
1349,1997,on-demand data elevation in hierarchical multimedia storage servers,"thomas papadakis , peter triantafillou"
1350,1994,rp * : a family of order preserving scalable distributed data structures,"witold litwin , marie-anne neimat , donovan a. schneider"
1351,2000,foreword by the vldb '98 pc chairmen : best papers of vldb '98,"oded shmueli , jennifer widom"
1352,2002,going public : open-source databases and database research,philippe bonnet
1353,1999,chorochronos : a research network for spatiotemporal database systems,"enrico nardelli , timos k. sellis , andrew u. frank , stéphane grumbach , hans-jörg schek , manolis koubarakis , michel scholl , ralf hartmut güting , barbara pernici , christian s. jensen , nikos a. lorentzos , babis theodoulidis , yannis manolopoulos , peter widmayer"
1354,2003,qxtract : a building block for efficient information extraction from plain-text databases,"luis gravano , eugene agichtein"
1355,1997,information systems research at george mason university,"sushil jajodia , amihai motro , edgar h. sibley , alexander brodsky , larry kerschberg , xiaoyang sean wang , daniel barbará"
1356,2001,answering queries with useful bindings,"edward y. chang , chen li"
1357,1996,heraclitus : elevating deltas to be first-class citizens in a database programming language,"dean jacobs , shahram ghandeharizadeh , richard hull"
1358,1996,using referential integrity to easily define consistent subset replicas,brad hammond
1359,1997,sentinel : an object-oriented dbms with event-based rules,sharma chakravarthy
1360,1996,pesto : an integrated query/browser for object databases,"laura m. haas , michael j. carey , vivekananda maganty , john h. williams"
1361,1997,integrating modelling systems for environmental management information systems,"david j. abel , dean kuo , kerry l. taylor"
1362,2002,timber : a native xml database,"andrew nierman , cong yu , jignesh m. patel , adriane chapman , nuwee wiwatwattana , h. v. jagadish , yuqing wu , laks v. s. lakshmanan , divesh srivastava , shurug al-khalifa , stelios paparizos"
1363,1998,nodose - a tool for semi-automatically extracting semi-structured data from text documents,brad adelberg
1364,2001,distinct sampling for highly-accurate answers to distinct values queries and event reports,phillip b. gibbons
1365,1996,report on first international workshop on real-time database systems,"sang hyuk son , kwei-jay lin , azer bestavros"
1366,1996,real-time index concurrency control,"s. seshadri , jayant r. haritsa"
1367,1997,efficiently supporting ad hoc queries in large datasets of time sequences,"h. v. jagadish , christos faloutsos , flip korn"
1368,1999,extending practical pre-aggregation in on-line analytical processing,"torben bach pedersen , curtis e. dyreson , christian s. jensen"
1369,2003,call for book reviews,karl aberer
1370,2003,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"john shepherd , quan z. sheng , du q. huynh , jialie shen , anne h. h. ngu"
1371,1998,your mediators need data conversion !,"sophie cluet , katarzyna smaga , jérôme siméon , claude delobel"
1372,2000,generating spatiotemporal datasets on the www,"mario a. nascimento , yannis theodoridis"
1373,2001,enabling end-users to construct data-intensive web-sites from xml repositories : an example-based approach,"hiroyuki kitagawa , satoshi takano , seiichi koizumi , atsuyuki morishima"
1374,1997,the context interchange mediator prototype,"kofi fynn , henry b. kon , cheng hian goh , thomas lee , stéphane bressan , stuart e. madnick , michael siegel , annie w. shum , marta jessica jakobisiak , tito pena , jessica qu , karim hussein"
1375,1997,1-safe algorithms for symmetric site configurations,"maitrayi sabaratnam , øystein torbjørnsen , rune humborstad , svein-olaf hvasshovd"
1376,1996,a framework for information visualisation,"peter j. barclay , kenneth j. mitchell , jessie b. kennedy"
1377,2002,introduction to constraint databases - book review,bart kuijpers
1378,1999,broadcast protocols to support efficient retrieval from databases by mobile users,"anindya datta , vijay kumar , aslihan celik , debra e. vandermeer"
1379,1998,bitmap index design and evaluation,"yannis e. ioannidis , chee yong chan"
1380,2003,book review column,karl aberer
1381,2003,analysis of existing databases at the logical level : the dba companion project,"fabien de marchi , jean-marc petit , farouk toumani , stéphane lopes"
1382,1996,a framework for supporting data integration using the materialized and virtual approaches,"gang zhou , richard hull"
1383,2000,from browsing to interacting : dbms support for responive websites ( abstract ),raghu ramakrishnan
1384,1995,enterprise transaction processing on windows nt,greg hope
1385,1999,semantic integration of semistructured and structured data sources,"sonia bergamaschi , maurizio vincini , silvana castano"
1386,1997,picture programming project,"nita goyal , moshé m. zloof , charles hoch , michael suckow , ravi krishnamurthy , brian meckler"
1387,2000,ajax : an extensible data cleaning tool,"daniela florescu , helena galhardas , dennis shasha , eric simon"
1388,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","dennis shasha , philippe bonnet"
1389,2003,tuple routing strategies for distributed eddies,"feng tian , david j. dewitt"
1390,1999,aqua : a fast decision support systems using approximate query answers,"swarup acharya , phillip b. gibbons , viswanath poosala"
1391,2003,systematic development of data mining-based data quality tools,"matthias jarke , udo grimmer , dominik lübbers"
1392,2002,xl : a platform for web services,"andreas grünhagen , steffen rost , donald kossmann , daniela florescu"
1393,1996,prospector : a content-based multimedia server for massively parallel architectures,"g. linderman , alexandros biliris , h. chen , k. ganapathi , euthimios panagos , s. choo , david schrader , william o'connell"
1394,2002,exploiting versions for on-line data warehouse maintenance in molap servers,"heum-geun kang , chin-wan chung"
1395,1994,optimizing disjunctive queries with expensive predicates,"alfons kemper , guido moerkotte , michael steinbrunn , klaus peithner"
1396,1994,an approach for building secure database federations,"klaus r. dittrich , dirk jonscher"
1397,2000,guest editorial : databases and the web,"alberto o. mendelzon , paolo atzeni"
1398,1996,guidelines for presentation and comparison of indexing techniques,"kotagiri ramamohanarao , alistair moffat , justin zobel"
1399,2002,a bandwidth model for internet search,axel uhl
1400,2003,a system for watermarking relational databases,"peter j. haas , rakesh agrawal , jerry kiernan"
1401,2001,mining multi-dimensional constrained gradients in data cubes,"jiawei han , ke wang , joyce m. w. lam , guozhu dong , jian pei"
1402,2003,a comprehensive xquery to sql translation using dynamic interval encoding,"m. tamer özsu , david toman , mariano p. consens , david dehaan"
1403,2001,advanced xml data processing - guest editor 's introduction,karl aberer
1404,1996,an asymptotically optimal multiversion b-tree,"thomas ohler , peter widmayer , bruno becker , stephan gschwind , bernhard seeger"
1405,2003,interview with rakesh agrawal,marianne winslett
1406,1997,supporting multiple view maintenance policies,"latha s. colby , kenneth a. ross , akira kawaguchi , daniel f. lieuwen , inderpal singh mumick"
1407,1998,flowback : providing backward recovery for workflow systems,"maria e. orlowska , ralf mühlberger , bartek kiepuszewski"
1408,1994,towards event-driven modelling for database design,"maguelonne teisseire , pascal poncelet , rosine cicchetti"
1409,2000,congressional samples for approximate answering of group-by queries,"viswanath poosala , swarup acharya , phillip b. gibbons"
1410,1997,a configrable type hierarchy index for oodb,"thomas a. mück , martin l. polaschek"
1411,2000,functional-join processing,"reinhard braumandl , alfons kemper , donald kossmann , jens claußen"
1412,1998,autoadmin ` what-if ' index analysis utility,"surajit chaudhuri , vivek r. narasayya"
1413,2002,efficient k-nn search on vertically decomposed data,"niels nes , martin l. kersten , nikos mamoulis , arjen p. de vries"
1414,1999,"`` honey , i shrunk the dbms '' : footprint , mobility , and beyond ( panel )",praveen seshadri
1415,1994,the impact of global clustering on spatial database systems,"thomas brinkhoff , hans-peter kriegel"
1416,1994,access to objects by path expressions and rules,"jürgen frohn , georg lausen , heinz uphoff"
1417,2002,a multi-version cache replacement and prefetching policy for hybrid data delivery environments,"andré seifert , marc h. scholl"
1418,1994,on parallel execution of multiple pipelined hash joins,"philip s. yu , hui-i hsiao , ming-syan chen"
1419,2003,preference formulas in relational queries,jan chomicki
1420,2002,supply chain infrastructures : system integration and information sharing,"michael o. ball , louiqa raschid , meng ma , zhengying zhao"
1421,1997,critical database technologies for high energy physics,"david m. malon , edward n. may"
1422,2000,chair 's message,richard t. snodgrass
1423,2003,composing xsl transformations with xml publishing views,"chengkai li , p. p. s. narayan , henry f. korth , philip bohannon"
1424,1995,informix online xps,robert h. gerber
1425,2003,analysis of predictive spatio-temporal queries,"dimitris papadias , jimeng sun , yufei tao"
1426,1994,quickly generating billion-record synthetic databases,"susanne englert , jim gray , kenneth baclawski , peter j. weinberger , prakash sundaresan"
1427,2003,projecting xml documents,"amélie marian , jérôme siméon"
1428,1996,sampling large databases for association rules,hannu toivonen
1429,1997,"adaptive , fine-grained sharing in a client-server oodbms : a callback-based approach","michael j. carey , michael j. franklin , markos zaharioudakis"
1430,1995,a performance evaluation of oid mapping techniques,"andré eickler , carsten andreas gerlhof , donald kossmann"
1431,2001,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",marianne winslett
1432,1995,political winds change direction again,xiaolei qian
1433,2000,rethinking database system architecture : towards a self-tuning risc-style database system,"surajit chaudhuri , gerhard weikum"
1434,2000,online dynamic reordering,"bhaskaran raman , joseph m. hellerstein , vijayshankar raman"
1435,1995,hyperfile : a data and query model for documents,"david bloom , chris clifton , hector garcia-molina"
1436,1998,a case for intelligent disks ( idisks ),"kimberly keeton , joseph m. hellerstein , david a. patterson"
1437,2002,learning table access cardinalities with leo,"volker markl , guy m. lohman"
1438,1995,implementing deletion in b + - trees,jan jannink
1439,1999,implementation of two semantic query optimization techniques in db2 universal database,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng"
1440,1997,multiple-view self-maintenance in data warehousing environments,nam huyn
1441,1994,oracle media server : providing consumer based interactive access to multimedia data,"mark porter , andrew laursen , jeffrey olkin"
1442,2003,irisnet : an architecture for internet-scale sensing services,"phillip b. gibbons , suman nath , amol deshpande , srinivasan seshan , brad karp , yan ke"
1443,2000,a framework for expressing and combining preferences,"edward l. wimmers , rakesh agrawal"
1444,1994,the myriad federated database prototype,"k. mediratta , ee-peng lim , j. stenoien , s. musukula , jaideep srivastava , h.-r . yang , d. clements , m. ganesh , san-yih hwang"
1445,1998,xmas : an extensible main-memory storage system for high-performance applications,"ki hong kim , yong sik kwon , sang kyun cha , jang ho park , byoung dae park , sangho lee"
1446,2002,effective change detection using sampling,"alexandros ntoulas , junghoo cho"
1447,1994,qualified answers that reflect user needs and preferences,"terry gaasterland , jorge lobo"
1448,2001,constraints for semi-structured data and xml,"wenfei fan , peter buneman , scott weinstein , jérôme siméon"
1449,1995,trade press news,rafael alonso
1450,1995,acm multimedia '94 conference workshop on multimedia database management systems,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu"
1451,2002,querying and mining data streams : you only get one look a tutorial,"minos n. garofalakis , rajeev rastogi , johannes gehrke"
1452,2003,book review column,karl aberer
1453,2001,independence is good : dependency-based histogram synopses for high-dimensional data,"amol deshpande , rajeev rastogi , minos n. garofalakis"
1454,2002,xmark : a benchmark for xml data management,"martin l. kersten , ralph busse , florian waas , michael j. carey , albrecht schmidt , ioana manolescu"
1455,2003,chair 's message,m. tamer özsu
1456,1998,approximate similarity retrieval with m-trees,"fausto rabitti , giuseppe amato , pavel zezula , pasquale savino"
1457,1999,finding intensional knowledge of distance-based outliers,"raymond t. ng , edwin m. knorr"
1458,1997,highly concurrent cache consistency for indices in client-server database systems,"michael j. carey , markos zaharioudakis"
1459,1994,a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier"
1460,2000,xtract : a system for extracting document type descriptors from xml documents,"rajeev rastogi , s. seshadri , minos n. garofalakis , aristides gionis , kyuseok shim"
1461,2003,atlas : a small but complete sql extension for data mining and data streams,"haixun wang , chang luo , carlo zaniolo"
1462,2001,filtering algorithms and implementation for very fast publish/subscribe,"kenneth a. ross , françoise fabret , françois llirbat , joão pereira , hans-arno jacobsen , dennis shasha"
1463,1995,towards an effective calculus for object query languages,"david maier , leonidas fegaras"
1464,2003,xml schema,"jim melton , charles e. campbell , andrew eisenberg"
1465,2003,fast and accurate text classification via multiple linear discriminant projections pp,"shourya roy , mahesh v. soundalgekar , soumen chakrabarti"
1466,1995,document management as a database problem,rudolf bayer
1467,1997,fast incremental maintenance of approximate histograms,"yossi matias , phillip b. gibbons , viswanath poosala"
1468,2001,minimization of tree pattern queries,"sihem amer-yahia , divesh srivastava , laks v. s. lakshmanan , sungran cho"
1469,2001,report on the fourth international conference on flexible query answering systems,"gabriella pasi , amihai motro , patrick bosc"
1470,1999,a user-centered interface for querying distributed multimedia databases,"kimberly m. james , isabel f. cruz"
1471,1998,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"alfons kemper , reinhard braumandl , jens claußen"
1472,1996,the query optimizer in tandem 's new serverware sql product,pedro celis
1473,2001,self-similarity in the web,"stephen dill , andrew tomkins , ravi kumar , sridhar rajagopalan , kevin s. mccurley , d. sivakumar"
1474,2003,developments at acm tods,richard t. snodgrass
1475,2001,sit-in : a real-life spatio-temporal information system,"stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi"
1476,1998,conceptual schema analysis : techniques and applications,"valeria de antonellis , barbara pernici , maria grazia fugini , silvana castano"
1477,1998,on the discovery of interesting patterns in association rules,"sridhar ramaswamy , sameer mahajan , abraham silberschatz"
1478,1995,"db2 common server : technology , progress , & directions",bruce g. lindsay
1479,2001,models and languages for describing and discovering e-services,"ming-chien shan , fabio casati"
1480,2002,distributed query evaluation on semistructured data,dan suciu
1481,1996,database management systems and the internet,susan malaika
1482,2001,estimating the selectivity of xml path expressions for internet scale applications,"ashraf aboulnaga , jeffrey f. naughton , alaa r. alameldeen"
1483,2002,active xml : peer-to-peer data and web services integration,"tova milo , roger weber , ioana manolescu , omar benjelloun , serge abiteboul"
1484,2000,a 20/20 vision of the vldb-2020 ?,"shamkant b. navathe , erich j. neuhold , gio wiederhold , anant jhingran , s. misbah deen"
1485,2002,a brief survey of web data extraction tools,"berthier a. ribeiro-neto , alberto h. f. laender , altigran soares da silva , juliana s. teixeira"
1486,1994,editor 's notes,arie segev
1487,1999,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance","antony l. hosking , jiawan chen"
1488,1996,query execution techniques for caching expensive methods,"joseph m. hellerstein , jeffrey f. naughton"
1489,2001,online query processing,"peter j. haas , joseph m. hellerstein"
1490,1997,"lessons from wall street : case studies in configuration , tuning , and distribution ( tutorial )",dennis shasha
1491,1995,declarative updates of relational databases,weidong chen
1492,2002,a case for fractured mirrors,"ravishankar ramamurthy , qi su , david j. dewitt"
1493,1994,providing dynamic security control in a federated database,"r. f. churchhouse , w. a. gray , n. b. idris"
1494,2001,"semantic web workshop : models , architectures and management","vassilis christophides , dimitris plexousakis , panos constantopoulos"
1495,1994,persistent threads,"joachim w. schmidt , florian matthes"
1496,1997,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa"
1497,1995,flexible relations - operational support of variant relational structures,"peter dadam , christian kalus"
1498,1996,mariposa : a wide-area distributed database system,"carl staelin , paul m. aoki , witold litwin , michael stonebraker , adam sah , jeff sidell , andrew yu , avi pfeffer"
1499,2002,report on the semantic web workshop at www 2002,"martin r. frank , natalya fridman noy , steffen staab"
1500,1994,overview of the special section on temporal database infrastructure,richard t. snodgrass
1501,2003,path queries on compressed xml,"martin grohe , peter buneman , christoph koch"
1502,1999,a comparison of selectivity estimators for range queries on metric attributes,"bernhard seeger , björn blohsfeld , dieter korus"
1503,1996,the dangers of replication and a solution,"dennis shasha , jim gray , patrick e. o'neil , pat helland"
1504,1995,the query by image content ( qbic ) system,"denis lee , wayne niblack , james l. hafner , dragutin petkovic , myron flickner , jonathan ashley"
1505,2003,distributed deviation detection in sensor networks,"dimitrios gunopulos , themistoklis palpanas , dimitris papadopoulos , vana kalogeraki"
1506,1995,response to a close look at the ifo data model,"serge abiteboul , richard hull"
1507,1996,query decomposition and view maintenance for query languages for unstructured data,dan suciu
1508,2001,"et tu , xml ? the downfall of the relational empire ( abstract )",philip wadler
1509,1998,scalable sweeping-based spatial join,"lars arge , jeffrey scott vitter , torsten suel , sridhar ramaswamy , octavian procopiuc"
1510,1998,algorithms for mining association rules for binary segmentations of huge categorical databases,"kunikazu yoda , hirofumi matsuzawa , takeshi tokuyama , yasuhiko morimoto , takeshi fukuda"
1511,2002,selectivity estimation for spatio-temporal queries to moving objects,"yong-jin choi , chin-wan chung"
1512,2001,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"anna c. gilbert , martin strauss , yannis kotidis , s. muthukrishnan"
1513,1996,incremental data structures and algorithms for dynamic query interfaces,"ben shneiderman , richard beigel , egemen tanin"
1514,1997,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"norio katayama , shin ` ichi satoh"
1515,1994,sequoia 2000 metadata schema for satellite images,"michael stonebraker , jean t. anderson"
1516,2002,archiving scientific data,"sanjeev khanna , peter buneman , wang chiew tan , keishi tajima"
1517,2003,extracting structured data from web pages,"arvind arasu , hector garcia-molina"
1518,1997,a consumer viewpoint on mediator languages - a proposal for a standard,"eric hughes , leonard j. seligman , arnon rosenthal , scott renner"
1519,2001,a data warehousing architecture for enabling service provisioning process,yannis kotidis
1520,1995,qbi : query by icons,"antonio massari , panos k. chrysanthis , lorenzo saladini , stefano pavani"
1521,2001,crawling the hidden web,"sriram raghavan , hector garcia-molina"
1522,2003,peer-to-peer : harnessing the power of disruptive technologies,mario a. nascimento
1523,2001,a graph-theoretic model for optimizing queries involving methods,"yaw-huei chen , chi-sheng shih , chiang lee"
1524,1994,a tsql2 tutorial,"james clifford , ramez elmasri , michael d. soo , wolfgang käfer , nick kline , arie segev , suryanarayana m. sripada , fabio grandi , john f. roddick , richard t. snodgrass , christian s. jensen , nikos a. lorentzos , ilsoo ahn , gad ariav , don s. batory , t. y. cliff leung , curtis e. dyreson , krishna g. kulkarni"
1525,1997,dynamic itemset counting and implication rules for market basket data,"shalom tsur , rajeev motwani , sergey brin , jeffrey d. ullman"
1526,1998,unbundling active functionality,"hans fritschi , arne koschel , günter von bültzingsloewen , stella gatziu"
1527,2003,checks and balances : monitoring data quality problems in network traffic databases,"flip korn , yunyue zhu , s. muthukrishnan"
1528,1998,the cubetree storage organization,"yannis kotidis , nick roussopoulos"
1529,1995,multigranularity locking in multiple job classes transaction processing system,"sheung-lun hung , shan-hoi ng"
1530,2001,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri"
1531,2002,optimizing the secure evaluation of twig queries,"sihem amer-yahia , divesh srivastava , sungran cho , laks v. s. lakshmanan"
1532,1996,illustra 's web datablade module,john gaffney
1533,1994,sequence query processing,"raghu ramakrishnan , miron livny , praveen seshadri"
1534,1997,innovation in database management : computer science vs. engineering,kenneth r. jacobs
1535,1995,oodb indexing by class-division,"sridhar ramaswamy , paris c. kanellakis"
1536,2000,"toto , we 're not in kansas anymore : on transitioning from research to the real ( invited industrial talk )",michael j. carey
1537,2000,an optimisation scheme for coalesce/valid time selection operator sequences,costas vassilakis
1538,2000,automated selection of materialized views and indexes in sql databases,"surajit chaudhuri , sanjay agrawal , vivek r. narasayya"
1539,2001,efficient management of multiversion documents by object referencing,"vassilis j. tsotras , carlo zaniolo , shu-yao chien"
1540,2001,efficient index structures for string databases,"tamer kahveci , ambuj k. singh"
1541,1996,data mining techniques,jiawei han
1542,1997,extraction of object-oriented structures from existing relational databases,"julia e. hodges , shekar ramanathan"
1543,2002,multi-dimensional regression analysis of time-series data streams,"benjamin w. wah , yixin chen , jianyong wang , guozhu dong , jiawei han"
1544,2000,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",?
1545,1996,dynamic information visualization,yannis e. ioannidis
1546,2003,grid data management systems & services,"reagan moore , arun jagatheesan , paul watson , norman w. paton"
1547,2000,comparative analysis of six xml schema languages,"dongwon lee , wesley w. chu"
1548,1994,graphdb : modeling and querying graphs in databases,ralf hartmut güting
1549,1997,"the five-minute rule ten years later , and other computer storage rules of thumb","jim gray , goetz graefe"
1550,2001,cache fusion : extending shared-disk clusters with shared caches,"tirthankar lahiri , n. macnaughton , sashikanth chandrasekaran , wilson chan , vinay srihari"
1551,1997,www-udk : a web-based environmental meta-information system,"rudolf legat , arne koschel , andree keitel , ralf kramer , claudia rolker , ralf nikolai , peter c. lockemann , konrad zirm"
1552,2003,on the computation of relational view complements,"gottfried vossen , jens lechtenbörger"
1553,2002,database indexing for large dna and protein sequence collections,"robert w. irving , malcolm p. atkinson , ela hunt"
1554,2003,mars : a system for publishing xml from mixed and redundant storage,"alin deutsch , val tannen"
1555,1997,incremental organization for data recording and warehousing,"s. sudarshan , p. p. s. narayan , rama kanneganti , h. v. jagadish , s. seshadri"
1556,2003,understanding the semantics of sensor data,murali mani
1557,2003,power efficient data gathering and aggregation in wireless sensor networks,"ibrahim korpeoglu , hüseyin özgür tan"
1558,2003,treasurer 's message,joachim hammer
1559,1994,multi-step processing of spatial joins,"ralf schneider , thomas brinkhoff , bernhard seeger , hans-peter kriegel"
1560,2001,combining multi-visual features for efficient indexing in a large image database,"quan z. sheng , anne h. h. ngu , ron lei , du q. huynh"
1561,1996,lifestreams : a storage model for personal data,"eric freeman , david gelernter"
1562,2003,computing complete answers to queries in the presence of limited access patterns,chen li
1563,2002,report on the web dynamics workshop at www 2002,"alexandra poulovassilis , mark levene"
1564,1994,dblearn : a system prototype for knowledge discovery in relational databases,"yue huang , yandong cai , yongjian fu , nick cercone , jiawei han"
1565,1998,information gathering in the world-wide web : the w3ql query language and the w3qs system,"david konopnicki , oded shmueli"
1566,2002,advanced database technologies in a diabetic healthcare system,"chenyi xia , wynne hsu , keng lik teo , mong-li lee , beng chin ooi , pranab kumar mohanty"
1567,2000,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer","césar a. galindo-legaria , florian waas"
1568,1995,parallel evaluation of multi-join queries,"jan flokstra , annita n. wilschut , peter m. g. apers"
