beer_identifier,style_type,beer_nm,brew_fac
1541,Golden Ale/Blond Ale,Iechyd Da Brass Band Golden Ale,Iechyd Da Brewing Company
1542,Amber Ale,Beer Works Boston Red Ale,Beer Works
1543,Amber Ale,Fallbrook Secret Lake Amber Ale,Fallbrook Brewing Company
1544,Amber Ale,Brady_s Calibration Ale,Brady_s Brewhouse
1545,Oktoberfest/M Ã $ rzen,Galactic Coast Goblin Hunter,Galactic Coast Brewing Company
1546,English Strong Ale,75th Street Happy Ending Strong Ale,75th Street Brewery
1547,Spice/Herb/Vegetable,Breakside Just The Tip Spruced Wheat,Breakside Brewery
1548,Amber Ale,Bitter Creek Red Desert Ale,Bitter Creek Brewing Company
1549,American Pale Ale,Four Peaks McCarthys Red,Four Peaks Brewing Company
1550,Amber Ale,Marshall Revival Red Ale,Marshall Brewing Company
1551,American Strong Ale,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;
1552,Pilsener,1516 Opal Pils,1516 Brewing Company
1553,Amber Ale,Fountain City Prairie Moon Red,Grays Brewing Company
1554,American Strong Ale,Freedom_s Edge Magnitude Imperial Red,Freedom_s Edge Brewing
1555,Spice/Herb/Vegetable,Alley Kat Pumpkin Pie Spiced Ale,Alley Kat Brewing Company
1556,Brown Ale,Brewer_s Alley Two Loves Chocolate Ale,Brewer_s Alley Restaurant & Brewery
1557,English Pale Ale,Caledonian Drop Kick,Caledonian &#40; Heineken UK &#41;
1558,Amber Ale,The Unknown Open Road Hop Red,The Unknown Brewing Company
1559,Barley Wine,Black Dog Bone Crusher Barley Wine,Black Dog Brewery
1560,Amber Ale,Old Bakery The Observer,Old Bakery Beer Company
1561,Amber Ale,Gardians Grain rouge,BiÃ ¨ re des Gardians
1562,Amber Ale,Le Malbord La Rousse du Malbord,Le Malbord
1563,Amber Ale,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company
1564,Amber Ale,McMenamins Workingmans Red,McMenamins Pubs and Breweries
1565,Amber Ale,Ship in a Bottle Mersey Ale,Liverpool Organic
1566,Amber Ale,Oakshire Amber,Oakshire Brewing
1567,Amber Ale,All Saints Crimson Halo,All Saints Brewing Company
1568,Smoked,Redfish Wildfire Smoked Porter,Redfish New Orleans Brewhouse
1569,Spice/Herb/Vegetable,Cheaha Xena Winter Ale,Cheaha Brewing Company
1570,Amber Ale,Mia and Pias Rods Rodeo Red,Mia and Pias Pizzeria and Brewhouse
1571,India Pale Ale &#40; IPA &#41;,Awesome Red : Red House IRA,Seven Brides Brewing Company
1572,Amber Ale,Stone Levitation Ale,Stone Brewing Company
1573,Amber Ale,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company
1574,Amber Lager/Vienna,A. Le Coq Special Red,A. Le Coq &#40; Olvi &#41;
1575,Amber Ale,Barnstormers Red Baron Ale,Custom Brewcrafters
1576,Amber Ale,Blacksmith Montana Amber Ale,Blacksmith Brewing Company
1577,Amber Ale,Hellbender Red Line Ale &#40; Rum Barrel &#41;,Hellbender Brewing Company
1578,Irish Ale,Hoppers Tampa Red,Hoppers Grille & Brewery
1579,Specialty Grain,Royal Gorge Skyline Rye,Royal Gorge Brewing Company
1580,Amber Ale,Camino del Sol Cerveza Artesanal Red Llama Ale,Camino del Sol Cerveza Artesanal
1581,India Pale Ale &#40; IPA &#41;,3 Guys & A Beer_d 2 Bit IPA,3 Guys & A Beer_d Brewing Company
1582,Amber Ale,D_s Aggie Amber Ale,De La Vega_s Pecan Grill and Brewery
1583,Bitter,Archers Robin Red Breast,Archers &#40; Evan Evans &#41;
1584,Amber Ale,Beerbliotek Mankerbeer Red Ale,Beerbliotek
1585,Wheat Ale,AdstraGold Red Summer Wheat,AdstraGold Microbrewery & Bistro Bar
1586,Amber Ale,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company
1587,Amber Ale,Garage &#40; CA &#41; Ragtop Red,Garage Brewing Company and Pizzeria
1588,Berliner Weisse,Bad Tattoo No Walls Berliner Weisse,Bad Tattoo Brewing
1589,Specialty Grain,Sprague Farm French and Indian Corn Ale,Sprague Farm & Brew Works
1590,Amber Ale,Ise Kadoya Amarillo Amber Ale,Ise Kadoya
1591,American Strong Ale,Philipsburg NewlyRed Double Red,Philipsburg Brewing Company
1592,Amber Ale,Bricktowne Table Rock Red Ale,Bricktowne Brewing Company
1593,Wheat Ale,Flossmoor Station Rot Geist American Red Wheat,Flossmoor Station Restaurant & Brewery
1594,Amber Ale,Charleville Tornado Alley Amber Ale,Charleville Vineyard & Microbrewery
1595,Stout,14th Star Maple Breakfast Stout,14th Star Brewing Company
1596,Imperial IPA,Thirsty Monk Robustus Rubeus Imperial Red,Thirsty Monk Pub and Brewery
1597,Amber Ale,Sunriver Chalk Rock Amber,Sunriver Brewing Company
1598,Amber Ale,Roosters Brewing Rude Ram Red,Roosters Brewing Co. &#40; US &#41;
1599,Amber Ale,la Loire 109,Brasserie de la Loire
1600,Oktoberfest/M Ã $ rzen,Cervecera del Centro Ambar,Cervecera del Centro
1601,Amber Ale,JT Schmids Emils Amber Ale,JT Schmids Brewhouse & Eatery
1602,Amber Ale,Amherst Minuteman Red,Amherst Brewing Company
1603,Amber Ale,Lazy Hiker Inaugural Amber,Lazy Hiker Brewing Company
1604,Amber Ale,Stadin American Red Ale,Stadin Panimo
1605,Amber Ale,Cumberland Slewfoot,Cumberland Brews &#40; US &#41;
1606,Spice/Herb/Vegetable,Anacortes Creamsicle Ale,Rockfish Grill & Anacortes Brewery
1607,Amber Ale,Swamp Cabbage Merry Cinnamas,Swamp Cabbage Brewing Company
1608,Specialty Grain,192 Amber Rye,192 Brewing Company
1609,India Pale Ale &#40; IPA &#41;,Siren Red Rind IPA,Siren
1610,Amber Ale,Creature Comforts Borboya Reclaimed Rye,Creature Comforts Brewing Company
1611,India Pale Ale &#40; IPA &#41;,Aftershock Misty Mountain Hop White IPA,Aftershock Brewing Company
1612,Amber Lager/Vienna,Base Camp New Wave Amber,Base Camp Brewing Company
1613,Amber Ale,Blind Pig Hopped-up Red,Blind Pig Brewery
1614,Witbier,Copper Kettle Belgian Tart Wit,Copper Kettle Brewing &#40; CO &#41;
1615,Session IPA,Cannonball Creek Lil _ Vic,Cannonball Creek Brewing Company
1616,Amber Ale,PÃµhjala / Norway Brewing Co. . Batch Zero,PÃµhjala
1617,Spice/Herb/Vegetable,De Molen Bed & Breakfast,Brouwerij de Molen
1618,Amber Ale,Le Magnifiche Elbana,La Petrognola / Rio Maggio
1619,Amber Ale,Odell Fir Na Tine,Odell Brewing Company
1620,Scottish Ale,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery
1621,Amber Ale,Obed and Isaac_s Obed_s Pride Amber Ale,Obed and Isaac_s Microbrewery and Eatery
1622,Irish Ale,3 Freaks Lucky Clover Red Ale,3 Freaks Brewery
1623,Amber Lager/Vienna,Crazy Mountain Loco Rio,Crazy Mountain Brewing Company
1624,Amber Ale,Moncada Notting Hill Red,Moncada
1625,Amber Ale,BÃ © ily_s Foxtail Red,BÃ © ily_s Brewing Co. .
1626,Oktoberfest/M Ã $ rzen,RJ King Wingwalker Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
1627,Bitter,Bewdley Tornado,Bewdley
1628,Amber Ale,Snake River Fireweed IRA,Snake River Brewing Co. .
1629,Golden Ale/Blond Ale,Brewerkz Mad Bee Honey Ale,Brewerkz
1630,Amber Lager/Vienna,Kirin Fuyu Nodogoshi Hanayagu Koku,Kirin Brewery Company
1631,Golden Ale/Blond Ale,Abbeydale Serenity,Abbeydale
1632,Session IPA,Big Bear Lake Sage Hopinion IPA,Big Bear Lake Brewing Company
1633,American Pale Ale,Cellar Rats Rat Tail Ale,Cellar Rats Brewery &#40; DebonnÃ © Vineyards &#41;
1634,Specialty Grain,Everards Stateside Rye,Everards
1635,American Strong Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .
1636,Premium Lager,La Rouget de Lisle PrintaniÃ ¨ re,La Rouget de Lisle
1637,Amber Ale,Pyynikin Papabeers Ruby Jazz Ale Special Edition,Pyynikin KÃ $ sityÃ ¶ lÃ $ ispanimo
1638,American Strong Ale,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company
1639,Bitter,Adkin Alfred_s Elswith Ale,Adkin
1640,Berliner Weisse,7venth Sun / Red Light Red Light Let_s Go Halvsies,7venth Sun Brewery
1641,Amber Ale,The Livery Harbor Shores Amber,The Livery
1642,Spice/Herb/Vegetable,16 Mile Soulful Ginger,16 Mile Brewing Company
1643,Abt/Quadrupel,12 Degree Crimson Fog,12 Degree Brewing
1644,Pilsener,Vadia Loira Export,Essencia D_Alma Lda - Vadia Cervejas
1645,Amber Ale,8 Wired Tall Poppy India Red Ale,Renaissance Brewing
1646,Amber Ale,Red Arrow Midnite Umber Ale,Red Arrow Brewing
1647,Amber Ale,Bull City Movamber Moustache Ale,Bull City Burger and Brewery
1648,American Pale Ale,Covered Bridge Moustache SMaSH,Covered Bridge Brewing Company
1649,Amber Ale,TitanbrÃ $ u Rossa,TitanbrÃ $ u - Birrificio Artigianale Sammarinese
1650,Amber Ale,Pike Unite Red Rye Ale,Pike Brewing Company
1651,Amber Ale,Twisted Pine American Amber Ale,Twisted Pine Brewing
1652,Bitter,3 Rivers Manchester IPA,3 Rivers
1653,Amber Ale,On Rotation Saved By The Belma,On Rotation
1654,English Pale Ale,Ambar Pale Ale 1900,La Zaragozana
1655,Amber Ale,LTD I Dream of Amber,LTD Brewing Company
1656,Amber Ale,Findlay Sweet Amber Ale,Findlay Brewing Company
1657,Irish Ale,Clocktower Fenian Red,Clocktower Brewpub
1658,India Pale Ale &#40; IPA &#41;,10 Barrel Big Daddy Fresh,10 Barrel Brewing &#40; AB InBev &#41;
1659,India Pale Ale &#40; IPA &#41;,BarNone Red Eye IPA,BarNone Brewing
1660,Amber Ale,Highlands Hollow 3 Speed,Highlands Hollow
1661,American Strong Ale,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company
1662,American Strong Ale,BJ_s Barrel Aged Jeremiah Red,BJ_s Restaurant & Brewhouse
1663,Premium Bitter/ESB,Marthas Will_s Fault Wicked Good Beah,Marthas Exchange Restaurant and Brewing
1664,Saison,Snake River Danimal_s Farmhouse Saison,Snake River Brewing Co. .
1665,Amber Ale,Brewbakers Red Hawk Ale,Brewbakers Brewing Company
1666,Amber Ale,ManRock Fear The Reaper Amber,ManRock Brewing Company
1667,Amber Ale,Bulldog Roby Red Ale,Bulldog Brewing Company
1668,American Pale Ale,Asheville United Pale Ale,Asheville Brewing Company
1669,Bitter,Brewster_s Red Hop Lover,Brewster_s &#40; UK &#41;
1670,Amber Ale,Angel City Belligerent Bloke &#40; 4.5 % &#41;,Angel City Brewing Company
1671,India Pale Ale &#40; IPA &#41;,Beer & Burger No. 2 India Pale Ale,Old Town Brewery &#40; formerly Motala Brygghus &#41;
1672,Amber Ale,St. George Fishbones Amber Ale,St. George Brewing Company
1673,Amber Ale,Tempest A Face With No Name,Tempest Brew Co
1674,Amber Ale,Le Saint Graal Flashwood,Le Saint Graal
1675,Session IPA,Crux Experimental Off Leash,Crux Fermentation Project
1676,Bitter,Brains Open Casket,Brains
1677,Amber Ale,Birdsview Amber Lushus,Birdsview Brewing Company
1678,India Pale Ale &#40; IPA &#41;,Mammoth / June Lake Swordfight IRA,Mammoth Brewing Company
1679,American Strong Ale,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery
1680,Amber Ale,Caldera No Grain No Pain,Caldera Brewing Company
1681,Amber Ale,Fat Bottom Ruby Red American Ale,Fat Bottom Brewery
1682,American Strong Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company
1683,Amber Ale,Whetstone Station Waimea Wonders,Whetstone Station
1684,Amber Ale,Knucklehead Ehret_s Amber Ale,Knucklehead Craft Brewing
1685,Amber Ale,Liquid Riot Jewel Box Bronze,Liquid Riot Bottling Company
1686,English Strong Ale,Olivers Shot Down in Flames,Oliver Breweries
1687,Amber Ale,Lighthouse Race Rocks Ale,Lighthouse Brewing &#40; Canada &#41;
1688,Amber Lager/Vienna,Amber_s Honey Brown,Alley Kat Brewing Company
1689,Amber Ale,508 Brollaboration Series # 2 - Hamber,508 Gastrobrewery
1690,Amber Ale,Draught House Nut Bush Ale,Draught House Pub & Brewery
1691,Amber Ale,Katabatic Anabatic Amber,Katabatic Brewing Company
1692,Amber Ale,Pismo Roadster Red Ale,Pismo Brewing Company
1693,Amber Ale,Brutal Brewing Texas State Of Mind Austin Amber,Spendrups Bryggeri
1694,Amber Ale,Buffalo Tap Room Amber Ale,Custom Brewcrafters
1695,Amber Ale,Bindlestick Monkey Wagon Amber Ale,Bindlestick Brewing Company
1696,Bitter,Glastonbury Lady of the Lake,Glastonbury
1697,Amber Ale,Carbondale Beer Works Bonedog Amber,Carbondale Beer Works
1698,American Strong Ale,Swamp Head Sciaenhops Imperial Red Ale,Swamp Head Brewery
1699,American Strong Ale,Blue Heron Walking Red,Blue Heron Brewpub
1700,Amber Ale,Nurse Vetusta,Cerveza Mica de la Sierra
1701,Amber Ale,Dungeness Agnew Amber,Dungeness Brewing Company
1702,Amber Ale,Lakefront Fixed Gear,Lakefront Brewery
1703,Belgian Ale,Freetail Belgian Freetail Ale,Freetail Brewing Co. .
1704,Amber Ale,Edge Amber The Enabler,Edge Brewing Company
1705,Abbey Dubbel,Buonconvento Ambrio,Birrificio Angel
1706,Amber Ale,Barley Mow The Fez Amber,Barley Mow Brewing Company
1707,Amber Ale,360Â ° Pacific Red # 45,360Â ° Brewing
1708,Amber Ale,Fixture Fox River Red Ale,Fixture Brewing Company
1709,Amber Ale,Lumberjack Railhead Red Ale,Lumberjack Brewing Company
1710,Amber Ale,Waen Hanging Rock,Waen
1711,Amber Ale,Lucky Labrador Rose City Red Ale,Lucky Labrador Brewing Company
1712,Amber Ale,Thirsty Monk Electrum Autumn Ale,Thirsty Monk Pub and Brewery
1713,Dunkelweizen,3 Sheeps Baaad Boy Black Wheat,3 Sheeps Brewing Company
1714,American Strong Ale,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company
1715,Bitter,Allendale End 67 Ruby Tuesday,Allendale
1716,American Pale Ale,Rock Creek Red Ale,Chesapeake Bay Brewing &#40; formerly Rock Creek &#41;
1717,Imperial Porter,Ballast Point Victory at Sea - Rum Raisin and Cinnamon,Ballast Point Brewing Company
1718,Premium Bitter/ESB,Angelic Arch Amber,Angelic Brewing Company
1719,Saison,8 Wired Chardonnay Barrel Aged Saeson,Renaissance Brewing
1720,Session IPA,Great Lakes x Amsterdam x Bar Hop Misdemeanor,Great Lakes Brewing &#40; Ontario &#41;
1721,Amber Ale,3 Freaks Freaks Amber,3 Freaks Brewery
1722,Amber Ale,Feral Nan_s Driving,Feral Brewing Co. .
1723,Brown Ale,Son Pampa,Ca l_Arenys - Cervezas Guineu
1724,Golden Ale/Blond Ale,Glentworth Spellbound,Glentworth
1725,Spice/Herb/Vegetable,Brewsters School_s Out PB&J Brownie,Brewsters Brewing Co. - Alberta
1726,Amber Ale,Dodgeton Creek Red_s Dirty Lil _ Ale,Dodgeton Creek Brewing Company
1727,Amber Lager/Vienna,George Killian_s Irish Red,Coors Brewing Company &#40; MillerCoors &#41;
1728,Amber Ale,North Sound Here_s Your Damn Amber,North Sound Brewing Company
1729,Premium Bitter/ESB,Badger Export Ale,Badger &#40; Hall & Woodhouse &#41;
1730,Amber Ale,Angry Chair Red Ale - Rose Hips and Juniper Berries,Angry Chair Brewing
1731,Amber Ale,Belly Love Bunk Off &#033;,Belly Love Brewing Company
1732,Smoked,GoatHouse Dirty Redhead,GoatHouse Brewing
1733,Belgian Strong Ale,AB BiÃ ¨ re La Margoulette de NoÃ `` l,AB BiÃ ¨ re
1734,Amber Ale,Muddy York Unearthed Amber Ale,Muddy York Brewing Co
1735,Premium Bitter/ESB,Cricket Hill Fall Festivus,Cricket Hill Brewing Co. .
1736,Saison,5 Seasons Westside Red-Headed Stepchild,5 Seasons Westside
1737,Amber Lager/Vienna,Freedom Soho Red,Freedom
1738,American Pale Ale,Ruosniemen Pikkupomo,Ruosniemen panimo
1739,Specialty Grain,Rock Bottom Chicago My-O-My Amber Rye,Rock Bottom Chicago
1740,Amber Ale,Det Lille Bryggeri Celebration Ale # 4 Festbier,Det Lille Bryggeri &#40; Roskilde _ l &#41;
1741,Amber Ale,Free State The Vortex Red,Free State Brewing Company
1742,Bitter,B&T Tinker,B&T Brewery
1743,Scotch Ale,406 Snowy Owl Scotch Ale,406 Brewing Company
1744,Amber Ale,Solemn Oath Axe Scar Pig,Solemn Oath Brewery
1745,Amber Lager/Vienna,Heartland Fresh Hop Amber Lager,Greenpoint Beer Works
1746,Amber Ale,Block Alias Amber,Block Brewing Company
1747,Amber Ale,Hillbilly FU2 Amber Ale,Maiden Wines LLC
1748,Brown Ale,Armstrong Ales St. George_s Ginger Brown Ale,Armstrong Ales
1749,Amber Lager/Vienna,La Cotta di Giulietta e Romeo Birra Verona Rossa,Birrificio Mastino
1750,Amber Ale,Denver Beer 549 Lohi Amber Ale,Denver Beer Company
1751,American Strong Ale,Zeroday Critical Condition,Zeroday Brewing Company
1752,Amber Ale,Red Eye S.H.R. American Amber - Horizon,Red Eye Brewing Company
1753,India Pale Ale &#40; IPA &#41;,Backshore Hop Solo,Backshore Brewing Company
1754,India Pale Ale &#40; IPA &#41;,Hoppy Face Amber Ale,Hoppy Brewing Company
1755,Spice/Herb/Vegetable,La Micro Guato Gato,La Micro Brewing Co. .
1756,Sour/Wild Ale,Bear Republic Toyon Brut,Bear Republic Brewing Company
1757,Mead,Broken Horn Blood Of My Enemies,Broken Horn Brewing Company
1758,India Pale Ale &#40; IPA &#41;,Brays Redeye IPA,Brays Brewing
1759,Spice/Herb/Vegetable,Port Townsend Santa Kisser,Port Townsend Brewing Company
1760,Amber Ale,Ascension Amber,Ascension Brewing Company
1761,Amber Ale,Stewarts Rough Sesh,Stewarts Brewing Company
1762,Amber Ale,Brutopia Frosty Morning Amber Ale,Brutopia
1763,Amber Ale,Elk Street Oakley_s Amber,Elk Street Brewery
1764,Amber Ale,Conshohocken In Amber Clad,Conshohocken Brewing Co. .
1765,India Pale Ale &#40; IPA &#41;,Ale Asylum Velveteen Habit,Ale Asylum
1766,Specialty Grain,Rivertowne Sow Your Oats Red Ale,Rivertowne Pour House
1767,Amber Ale,Siren Liquid Mistress,Siren
1768,Spice/Herb/Vegetable,Belder Red Ginger Ale,Belder
1769,Amber Ale,Border Town Firehouse 28 Red Ale,Border Town Pub Brewery & Eatery
1770,India Pale Ale &#40; IPA &#41;,8 Wired Fresh HopWired,8 Wired Brewing
1771,Golden Ale/Blond Ale,4T_s Santas Sack,4T_s
1772,Amber Ale,Boundary Road Brewer_s Cut Red Baron,Independent Breweries NZ &#40; Boundary Road &#41;
1773,Amber Ale,Gallows Hill Amber Ale,Two Rivers Brewing Company
1774,Spice/Herb/Vegetable,Big Island Red Sea of Cacao,Big Island Brewhaus
1775,Imperial IPA,18th Street Villain,18th Street Brewery
1776,Amber Ale,Due South Red Hoptober,Due South Brewing Co. .
1777,English Strong Ale,Cascade Lakes Slippery Slope,Cascade Lakes Brewing Co. .
1778,Specialty Grain,Flat 12 Red Oat-tober,Flat 12 Bierwerks
1779,Amber Ale,Yak and Yeti Rupee Red,Yak and Yeti
1780,Golden Ale/Blond Ale,Michael_s Genuine Home Brew,Back Forty Beer Company
1781,Amber Ale,Kaktus Amber Late Hop Ale,Kaktus Brewing Company
1782,Black IPA,Arch Rock Brewer_s Select Series # 2 : Trident Black IPA,Arch Rock Brewing Company
1783,Amber Ale,Moosehead Boundary Ale,Moosehead Brewery
1784,Belgian Strong Ale,Solemn Oath Man vs. Internet vs. Mothra,Solemn Oath Brewery
1785,Amber Ale,Main Seidla Amber Spezial,Brauhaus Binkert / Main Seidla
1786,Amber Ale,Gold Camp Mamies Amber,Gold Camp Brewing Company
1787,Amber Ale,Wendlandt Humpy Humpy Amber Ale,CervecerÃa Wendlandt
1788,Amber Ale,La Cumbre Tank 10 Red,La Cumbre Brewing Company
1789,Amber Ale,Lost Province Compass Rose Amber Ale,Lost Province Brewing Company
1790,Cider,Archibald Orchards Canadian Maple,Archibald Orchards and Estate Winery
1791,Amber Ale,Mountain State Almost Heaven Amber Ale,Mountain State Brewing Co. .
1792,Amber Ale,Barrier Calm It,Barrier Brewing Company
1793,Amber Ale,Marstons Single Hop Saphir,Marstons
1794,Belgian Ale,Redfish Angry Monk Belgian Ale,Redfish New Orleans Brewhouse
1795,Spice/Herb/Vegetable,Sick N Twisted Balls of Fire,Sick N Twisted Brewing Company
1796,Schwarzbier,Beachside High Tide Black Beer with Pomegranate,Florida Beer Company
1797,Specialty Grain,Outer Banks Ruddy_s Rye I.P.A.,Outer Banks Brewing Station
1798,American Strong Ale,Barba Roja Barrel Aged Red Ale,Barba Roja de Anapa
1799,Imperial Porter,7venth Sun Imperial Maple Bacon Glazed Donut Porter,7venth Sun Brewery
