ref_id,publication_yr,pub_venue,authors_list,paper_name
850,1995,sigmod record,"a elmagarmid , j jing , t furukawa",wireless client/server computing for personal information services and applications
851,2000,sigmod conference,"v christophides , s cluet , j simщon",on wrapping query languages and efficient xml integration
852,1995,sigmod record,"p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich",data and knowledge base research at hong kong university of science and technology
853,2000,sigmod conference,"m breunig , h kriegel , r ng , j sander",lof : identifying density-based local outliers
854,2000,sigmod conference,"j cho , h garcia-molina",synchronizing a database to improve freshness
855,1995,,"m dunham , a helal",from the guest editors - special section on data management issues in mobile computing
856,1995,sigmod record,"b bhargava , m annamalai , e pitoura",digital library services in mobile computing
857,2000,sigmod conference,"c faloutsos , b seeger , a traina , c jr.",spatial join selectivity using power laws
858,2000,sigmod conference,"f korn , s muthukrishnan",influence sets based on reverse nearest neighbor queries
859,1995,sigmod record,ж ulusoy,an annotated bibliography on real-time database systems
860,2000,sigmod conference,"h liefke , d suciu",xmill : an efficient compressor for xml data
861,1995,sigmod record,j widom,editor 's notes
862,1995,sigmod record,"b noble , m satyanarayanan",a research status report on adaptation for mobile data access
863,2000,sigmod conference,"m garofalakis , a gionis , r rastogi , s seshadri , k shim",xtract : a system for extracting document type descriptors from xml documents
864,1995,sigmod record,j fong,mapping extended entity relationship model to object modeling technique
865,2000,sigmod conference,a nori,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract )
866,2000,sigmod conference,j hellerstein,index research : forest or trees ? ( panel abstract )
867,1995,sigmod record,"p o'neil , g graefe",multi-table joins through bitmapped join indices
868,1995,sigmod record,"r maelbrancke , h olivie",optimizing jan jannink 's implementation of b + - tree deletion
869,2000,sigmod conference,r ramakrishnan,from browsing to interacting : dbms support for responive websites ( abstract )
870,1995,sigmod record,"s abiteboul , r hull",\ response to \ '' \ `` a close look at the ifo data model \ '' \ '' \ '' ''
871,2000,sigmod conference,"c ordonez , p cereghini",sqlem : fast clustering in sql using the em algorithm
872,2000,,,tutorial : data access
873,1995,sigmod record,j richey,condition handling in sql persistent stored modules
874,1995,sigmod record,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",data management research at the mitre corporation
875,2000,,,"data management in ecommerce : the good , the bad , and the ugly"
876,2000,,,tutorial : designing an ultra highly available dbms
877,1995,sigmod record,"n rishe , w sun , d barton , y deng , c orji , m alexopoulos , l loureiro , c 0002 , m sanchez , a shaposhnikov",florida international university high performance database research center
878,1995,sigmod record,"e pitoura , b bhargava",a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases
879,2000,sigmod conference,m carey,on xml and databases : where 's the beef ? ( panel abstract )
880,2000,sigmod conference,"j rao , k ross",making b + - trees cache conscious in main memory
881,1995,sigmod record,l wong,an introduction to remy 's fast polymorphic record projection
882,1995,sigmod record,"c lee , c chen , h lu",an aspect of query optimization in multidatabase systems ( extended abstract )
883,2000,sigmod conference,"r agrawal , r srikant",privacy-preserving data mining
884,1995,sigmod record,"d doan , n paton , a kilgour",design and user testing of a multi-paradigm query interface to an object-oriented database
885,2000,sigmod conference,"h jagadish , n koudas , d srivastava",on effective multi-dimensional indexing for strings
886,1995,sigmod record,j widom,editor 's notes
887,2000,sigmod conference,"y chang , l bergman , v castelli , c li , m lo , j smith",the onion technique : indexing for linear optimization queries
888,2000,sigmod conference,"c chen , m cochinwala , c petrone , m pucci , s samtani , p santa , m mesiti",internet traffic warehouse
889,1995,sigmod record,,calls for papers and announcements
890,2000,sigmod conference,"m annamalai , r chopra , s defazio",indexing images in oracle8i
891,1995,sigmod record,r finkelstein,the new middleware
892,1995,sigmod record,d stacey,"replication : db2 , oracle , or sybase ?"
893,2000,sigmod conference,"n ponnekanti , h kodavalla",online index rebuild
894,1995,,,trade press news
895,2000,sigmod conference,"w lehner , r sidle , h pirahesh , r cochrane",maintenance of automatic summary tables
896,1994,,,trade press news
897,2000,sigmod conference,"c goh , b ooi , s bressan , k tan",integrating replacement policies in storm : an extensible approach
898,1994,sigmod record,m winslett,progress on hpcc and nii
899,2000,sigmod conference,"p revesz , r chen , p kanjamala , y li , y liu , y wang",the mlpq/gis constraint database system
900,1999,sigmod conference,"k chakrabarti , s mehrotra",efficient concurrency control in multidimensional access methods
901,2003,acm trans . database syst .,"y tao , j sun , d papadias",analysis of predictive spatio-temporal queries
902,2003,acm trans . database syst .,"l lakshmanan , c leung , r ng",efficient dynamic mining of constrained frequent sets
903,1999,sigmod conference,"c aggarwal , c procopiuc , j wolf , p yu , j park",fast algorithms for projected clustering
904,2000,sigmod conference,"w hsu , m lee , k goh",image mining in iris : integrated retinal information system
905,2003,acm trans . database syst .,"j cho , h garcia-molina",effective page refresh policies for web crawlers
906,2003,acm trans . database syst .,j chomicki,preference formulas in relational queries
907,2000,sigmod conference,"m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katz , z song , j jсjс",mocha : a database middleware system featuring automatic deployment of application-specific functionality
908,2000,sigmod conference,"j yang , h ying , j widom",tip : a temporal extension to informix
909,2003,acm trans . database syst .,"y diao , m altinel , m franklin , h zhang , p fischer",path sharing and predicate evaluation for high-performance xml filtering
910,2000,sigmod conference,"c li , l bergman , v castelli , j smith",spire : a progressive content-based spatial image retrieval engine
911,2003,acm trans . database syst .,"g hjaltason , h samet",index-driven similarity search in metric spaces
912,2000,sigmod conference,"p merialdo , p atzeni , m magnante , g mecca , m pecorone",homer : a model-based case tool for data-intensive web sites
913,1994,sigmod record,"w dreyer , a dittrich , d schmidt",research perspectives for time series management systems
914,1994,sigmod record,"o dэaz , a jaime , n paton , g al-qaimari",supporting dynamic displays using active rules
915,2000,sigmod conference,"j bercken , j dittrich , b seeger",javax.xxl : a prototype for a library of query processing algorithms
916,1994,sigmod record,r snodgrass,overview of the special section on temporal database infrastructure
917,2000,sigmod conference,"s sarawagi , g sathe","i3 : intelligent , interactive investigaton of olap data cubes"
918,2000,sigmod conference,"j pei , r mao , k hu , h zhu",towards data mining benchmarking : a testbed for performance study of frequent pattern mining
919,1994,,,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop
920,2000,,,tutorial : ldap directory services - just another database application ?
921,1994,sigmod record,"r snodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",tsql2 language specification
922,1994,sigmod record,a loeffen,text databases : a survey of text models and systems
923,2000,sigmod conference,"z ives , a levy , j madhavan , r pottinger , s saroiu , i tatarinov , s betzler , q chen , e jaslikowska , j su , w yeung",self-organizing data sharing communities with sagres
924,1994,sigmod record,"m norrie , s blott , h schek , g weikum",the database research group at eth zurich
925,2000,sigmod conference,"l fegaras , c srinivasan , a rajendran , d maier",lambda-db : an odmg-based object-oriented dbms
926,1994,sigmod record,l gallagher,influencing database language standards
927,2000,sigmod conference,"e rundensteiner , k claypool , l chen , h su , k oenoki",serfing the web : web site management made easy
928,1999,sigmod conference,"r yerneni , c li , h garcia-molina , j ullman",computing capabilities of mediators
929,2002,acm trans . database syst .,"w may , b ludфscher",understanding the global semantics of referential actions using logic rules
930,1999,sigmod conference,d keim,efficient geometry-based similarity search of 3d spatial databases
931,2003,acm trans . database syst .,"s melnik , h garcia-molina",adaptive algorithms for set containment joins
932,1999,sigmod conference,"h davulcu , j freire , m kifer , i ramakrishnan",a layered architecture for querying dynamic web content
933,2001,,,information management for genome level bioinformatics
934,2002,acm trans . database syst .,"m fernandez , y kadiyska , d suciu , a morishima , w tan",silkroute : a framework for publishing relational data in xml
935,2002,acm trans . database syst .,"p ciaccia , m patella",searching in metric spaces with user-defined and approximate distances
936,1999,sigmod conference,"j callan , m connell , a du",automatic discovery of language models for text databases
937,1999,sigmod conference,"k beyer , r ramakrishnan",bottom-up computation of sparse and iceberg cubes
938,2002,acm trans . database syst .,"p gibbons , y matias , v poosala",fast incremental maintenance of approximate histograms
939,1999,sigmod conference,"t mayr , p seshadri",client-site query extensions
940,2002,acm trans . database syst .,"t calders , r ng , j wijsen",searching for dependencies at multiple abstraction levels
941,1999,sigmod conference,"c aggarwal , j wolf , p yu",a new method for similarity indexing of market basket data
942,2002,acm trans . database syst .,"k chakrabarti , e keogh , s mehrotra , m pazzani",locally adaptive dimensionality reduction for indexing large time series databases
943,2002,acm trans . database syst .,"y tao , d papadias , j zhang",cost models for overlapping and multiversion structures
944,1999,sigmod conference,"y kotidis , n roussopoulos",dynamat : a dynamic view management system for data warehouses
945,1999,sigmod conference,"c chan , y ioannidis",an efficient bitmap encoding scheme for selection queries
946,2003,acm trans . database syst .,"e jacox , h samet",iterative spatial join
947,1999,sigmod conference,"j vitter , m wang",approximate computation of multidimensional aggregates of sparse data using wavelets
948,2003,acm trans . database syst .,"d wijesekera , s jajodia , f parisi-presicce , х hagstrіm",removing permissions in the flexible authorization framework
949,1999,sigmod conference,"z ives , d florescu , m friedman , a levy , d weld",an adaptive query execution system for data integration
950,2003,acm trans . database syst .,"y tao , d papadias",spatial queries in dynamic environments
951,1999,sigmod conference,"b blohsfeld , d korus , b seeger",a comparison of selectivity estimators for range queries on metric attributes
952,2003,acm trans . database syst .,"r jimщnez-peris , m patiёo-martэnez , g alonso , b kemme",are quorums an alternative for data replication ?
953,1999,sigmod conference,h jamil,belief reasoning in mls deductive databases
954,2003,acm trans . database syst .,"j lechtenbіrger , g vossen",on the computation of relational view complements
955,2003,acm trans . database syst .,"d gunopulos , r khardon , h mannila , s saluja , h toivonen , r sharm",discovering all most specific sentences
956,1999,sigmod conference,"j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",efficient concurrency control for broadcast environments
957,2003,acm trans . database syst .,"r karp , s shenker , c papadimitriou",a simple algorithm for finding frequent elements in streams and bags
958,1999,sigmod conference,"j gehrke , v ganti , r ramakrishnan , w loh",boat-optimistic decision tree construction
959,1999,sigmod conference,"s adali , m sapino , v subrahmanian",a multimedia presentation algebra
960,2003,acm trans . database syst .,"d beneventano , s bergamaschi , c sartori",description logics for semantic query optimization in object-oriented database systems
961,1994,sigmod record,a segev,editor 's notes
962,1999,sigmod conference,"i cruz , k james",a user-centered interface for querying distributed multimedia databases
963,1994,sigmod record,"nodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",a tsql2 tutorial
964,1999,sigmod conference,"n mamoulis , d papadias",integration of spatial join algorithms for processing multiple inputs
965,1999,sigmod conference,"e rundensteiner , a koeller , x zhang , a wyk , y li , a lee , a nica",evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes
966,1994,sigmod record,x qian,"announcements from nsf , nasa , and elsewhere"
967,1994,sigmod record,,calls for papers / announcements
968,1999,sigmod conference,"r ng , l lakshmanan , j han , t mah",exploratory mining via constrained frequent set queries
969,1994,sigmod record,a datta,research issues in databases for arcs : active rapidly changing data systems
970,1999,sigmod conference,"o wolfson , a sistla , b xu , j zhou , s chamberlain",domino : databases for moving objects tracking
971,1999,sigmod conference,"r braumandl , a kemper , d kossmann",database patchwork on the internet
972,1994,sigmod record,h klein,how to modify sql queries in order to guarantee sure answers
973,1994,sigmod record,a chen,database research at nthu and itri
974,1999,sigmod conference,"l liu , w han , d buttler , c pu , w tang",an xml-based wrapper generator for web information extraction
975,1994,sigmod record,o group,"response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc"
976,1999,sigmod conference,"m altinel , d aksoy , t baby , m franklin , w shapiro , s zdonik",dbis-toolkit : adaptable middleware for large scale data delivery
977,1999,sigmod conference,r greer,daytona and the fourth-generation language cymbal
978,1994,sigmod record,"u glavitsch , p schфuble , m wechsler",metadata for integrating speech documents in a text retrieval system
979,1994,sigmod record,"f chen , m hearst , j kupiec , j pedersen , l wilcox",metadata for mixed-media access
980,1999,sigmod conference,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia
981,1994,sigmod record,"j anderson , m stonebraker",sequoia 2000 metadata schema for satellite images
982,1999,sigmod conference,"j baulier , p bohannon , s gogate , c gupta , s haldar , s joshi , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , s seshadri , a silberschatz , s sudarshan , m wilder , c wei",datablitz storage manager : main memory database performance for critical applications
983,1994,sigmod record,"w grosky , f fotouhi , i sethi",using metadata for the intelligent browsing of structured media objects
984,1999,sigmod conference,w kohler,emc information sharing : direct access to mvs data from unix and nt
985,1994,,,trade press news - announcement and preface
986,1999,sigmod conference,"a hinneburg , d keim",clustering methods for large databases : from the past to the future
987,1999,sigmod conference,"v krishnamurthy , s banerjee , a nori",bringing object-relational technology to mainstream
988,1994,sigmod record,b rosneblatt,unix rdbms : the next generation
989,1994,sigmod record,"t barclay , r barnes , j gray , p sundaresan",loading databases using dataflow parallelism
990,1999,sigmod conference,m жzsu,data management issues in electronic commerce ( panel )
991,1999,sigmod conference,c mohan,a database perspective on lotus domino/notes
992,1994,sigmod record,"n mattos , l demichiel",recent design trade-offs in sql3
993,1999,sigmod conference,"d florescu , a levy , i manolescu , d suciu",query optimization in the presence of limited access patterns
994,1994,sigmod record,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",a consensus glossary of temporal database concepts
995,1999,sigmod conference,"p haas , j hellerstein",ripple joins for online aggregation
996,1994,sigmod record,"a geppert , k dittrich",constructing the next 100 database management systems
997,1999,sigmod conference,"s acharya , p gibbons , v poosala , s ramaswamy",join synopses for approximate query answering
998,1994,sigmod record,l yang,a hypertext query language for images
999,1999,sigmod conference,"s chaudhuri , r motwani , v narasayya",on random sampling over joins
1000,1994,sigmod record,a segev,editor 's notes
1001,1999,sigmod conference,"g manku , s rajagopalan , b lindsay",random sampling techniques for space efficient online computation of order statistics of large datasets
1002,1994,sigmod record,w kim,observations on the odmg-93 proposal
1003,1994,,,in memory of bob kooi ( 1951-1993 )
1004,1999,sigmod conference,m wu,query optimization for selections using bitmaps
1005,1999,sigmod conference,"j lee , d kim , c chung",multi-dimensional selectivity estimation using compressed histogram information
1006,1994,sigmod record,"c medeiros , f pires",databases for gis
1007,1999,sigmod conference,"a aboulnaga , s chaudhuri",self-tuning histograms : building histograms without looking at data
1008,1994,sigmod record,"p buneman , l libkin , d suciu , v tannen , l wong",comprehension syntax
1009,1994,sigmod record,j widom,research issues in active database systems : report from the closing panel at ride-ads '94
1010,1999,sigmod conference,"l lakshmanan , r ng , j han , a pang",optimization of constrained frequent set queries with 2-variable constraints
1011,1994,sigmod record,"d barbarс , j blakeley , d fishman , d lomet , m stonebraker",the impact of database research on industrial products ( panel summary )
1012,1999,sigmod conference,c hidber,online association rule mining
1013,1994,sigmod record,,the tsql2 final language definition announcement
1014,1999,sigmod conference,"h jagadish , l lakshmanan , t milo , d srivastava , d vista",querying network directories
1015,1994,sigmod record,"c yeung , s hung , k lam",performance evaluation of a new distributed deadlock detection algorithm
1016,1999,sigmod conference,"y breitbart , r komondoor , r rastogi , s seshadri , a silberschatz",update propagation protocols for replicated databases
1017,1999,sigmod conference,"d lomet , m tuttle",logical logging to extend recovery to new domains
1018,1994,sigmod record,,calls for papers / announcements
1019,1994,sigmod record,x qian,jumping on the nii bandwagon
1020,1999,sigmod conference,"m ankerst , m breunig , h kriegel , j sander",optics : ordering points to identify the clustering structure
1021,1994,,,trade press news
1022,1999,sigmod conference,"h jagadish , l lakshmanan , d srivastava",snakes and sandwiches : optimal clustering strategies for a data warehouse
1023,1999,sigmod conference,"s acharya , v poosala , s ramaswamy",selectivity estimation in spatial databases
1024,1994,sigmod record,"j ramirez , l smith , l peterson",medical information systems : characterization and challenges
1025,1999,sigmod conference,t team,in-memory data management for consumer transactions the times-ten approach
1026,2001,vldb,"r agrawal , a somani , y xu",storage and querying of e-commerce data
1027,2001,vldb,"d grigori , f casati , u dayal , m shan","improving business process quality through exception understanding , prediction , and prevention"
1028,1999,sigmod conference,b ojjeh,microsoft site server ( commerce edition )
1029,1999,sigmod conference,a rajaraman,e-commerce database issues and experience
1030,2001,vldb,"a ailamaki , d dewitt , m hill , m skounakis",weaving relations for cache performance
1031,1999,sigmod conference,"t bergstraesser , p bernstein , s pal , d shutt",versions and workspaces in microsoft repository
1032,2001,vldb,"y sakurai , m yoshikawa , r kataoka , s uemura",similarity search for adaptive ellipsoid queries using spatial transformation
1033,2001,vldb,"s dill , r kumar , k mccurley , s rajagopalan , d sivakumar , a tomkins",self-similarity in the web
1034,1999,sigmod conference,"l do , p ram , p drew",the need for distributed asynchronous transactions
1035,2001,vldb,"a gilbert , y kotidis , s muthukrishnan , m strauss",surfing wavelets on streams : one-pass summaries for approximate aggregate queries
1036,1999,sigmod conference,"m jarke , c quix , g blees , d lehmann , g michalk , s striel",improving oltp data quality using data warehouse mechanisms
1037,2001,vldb,"v crescenzi , g mecca , p merialdo",roadrunner : towards automatic data extraction from large web sites
1038,1999,sigmod conference,"b adelberg , m denny",nodose version 2.0
1039,2001,vldb,"r baumgartner , s flesca , g gottlob",visual web information extraction with lixto
1040,1999,sigmod conference,"r barga , d lomet",phoenix : making applications robust
1041,1999,sigmod conference,"w li , q vu , e chang , d agrawal , k hirata , s mukherjea , y wu , c bufi , k chang , y hara , r ito , y kimura , k shimazu , y saito","powerbookmarks : a system for personalizable web information organization , sharing , and management"
1042,2001,vldb,"d margaritis , c faloutsos , s thrun",netcube : a scalable tool for fast data mining and compression
1043,2001,vldb,"g dong , j han , j lam , j pei , k wang",mining multi-dimensional constrained gradients in data cubes
1044,1999,sigmod conference,"e rundensteiner , k claypool , m li , l chen , x zhang , c natarajan , j jin , s lima , s weiner",serf : odmg-based generic re-structuring facility
1045,1999,sigmod conference,"t zhou , l liu , c pu",tam : a system for dynamic transactional activity management
