beer_key,beer_class,beer_alc_content,brew_product,brewery_factory
2931,American Amber / Red Ale,5.00 %,McCarthy 's Red,Tomoka Brewery
2932,American Amber / Red Ale,4.50 %,Bucket Of Blood,St. Austell Brewery
2933,American Amber / Red Ale,-,Cheerwood Amber,Marz Community Brewing
2934,American Amber / Red Ale,9.50 %,Ale Mania Imperial Red Ale,Ale-Mania
2935,American Amber / Red Ale,6.00 %,OPA,Nita Beer Company
2936,American Amber / Red Ale,-,Prairie Moon Red,The Monarch Tavern - Fountain City Brewing Co. .
2937,American Amber / Red Ale,-,Barkin ' Bacon,Veterans United Craft Brewery
2938,American Amber / Red Ale,6.20 %,La Calavera Jingo Amber Lunch,La Calavera
2939,American Amber / Red Ale,7.50 %,Magnitude Imperial Red,Freedom 's Edge Brewing Co. .
2940,American Amber / Red Ale,7.00 %,L _ ™ ambrÃ © e,Brasserie Artisanale du Val D'Ainan
2941,American Amber / Red Ale,-,Pumpkin Pie Spiced Ale,St. Francis Brewery & Restaurant
2942,American Amber / Red Ale,5.10 %,Two Loves Chocolate Ale,Brewer 's Alley Restaurant & Brewery
2943,American Amber / Red Ale,6.50 %,Open Road Hop Red,The Unknown Brewing Co. .
2944,American Amber / Red Ale,-,Bone Crusher,Silver Moon Brewing
2945,American Amber / Red Ale,6.90 %,Festival Amber ( AmbrÃ © e Des FÃªtes ),The 3 Brewers
2946,American Amber / Red Ale,5.30 %,The Observer,The Old Bakery Beer Company
2947,American Amber / Red Ale,4.70 %,Grain Rouge,La BiÃ ¨ re des Gardians
2948,American Amber / Red Ale,5.00 %,La Rousse Du Malbord,Microbrasserie Le Malbord
2949,American Amber / Red Ale,-,Pleasure Victim,Sick N Twisted Brewing Co. .
2950,American Amber / Red Ale,-,Working Mans Red,McMenamins Six Arms
2951,American Amber / Red Ale,7.50 %,Ten Grain To Your Brain Amber Ale,Snow Eagle Brewing & Grill
2952,American Amber / Red Ale,5.20 %,Ship In A Bottle Mersey Ale,Liverpool Organic Brewery
2953,American Amber / Red Ale,5.30 %,Crimson Halo,All Saints Brewing Company
2954,American Amber / Red Ale,-,331 Red,August Schell Brewing Company
2955,American Amber / Red Ale,7.60 %,Wildfire Red,Mt. Emily Ale House
2956,American Amber / Red Ale,5.50 %,Xena,Brewery Vivant
2957,American Amber / Red Ale,5.00 %,You 've Got Red On You,Frozen Toes Brewing / Pizza By Elizabeths
2958,American Amber / Red Ale,4.70 %,Rod 's Rodeo Red,Mia & Pia 's Pizzeria And Brewhouse
2959,American Amber / Red Ale,4.10 %,Rutland City Red,Hop 'n Moose Brewing Company
2960,American Amber / Red Ale,5.90 %,Sequoia American Amber Ale,Wig And Pen
2961,American Amber / Red Ale,6.50 %,Capitol Copper Ale,American River Brewing Company
2962,American Amber / Red Ale,7.10 %,Awesome Red : Red House IRA,Awesome Ales
2963,American Amber / Red Ale,5.70 %,Red Special,Blue Note Brewing Company
2964,American Amber / Red Ale,6.50 %,Red Baron Ale,Schram Vineyards Winery & Brewery
2965,American Amber / Red Ale,-,Montana Amber,Blacksmith Brewing
2966,American Amber / Red Ale,-,Bronc Buster Double Red,Wildlife Brewing & Pizza
2967,American Amber / Red Ale,5.70 %,Hop Mama Amber,Old Forge Brewing Company
2968,American Amber / Red Ale,6.00 %,Red Line Ale ( Rum Barrel ),Hellbender Brewing Company
2969,American Amber / Red Ale,4.80 %,Tampa Red,LagerHaus Grill & Brewery
2970,American Amber / Red Ale,6.50 %,Skyline Rye,Royal Gorge Brewing Co. & Restaurant
2971,American Amber / Red Ale,6.50 %,Red Llama,Steel String Brewery
2972,American Amber / Red Ale,6.00 %,Imperial Moustache Red Ale,Salty Nut Brewery
2973,American Amber / Red Ale,5.70 %,Cardinal Park Red Ale,Johnson City Brewing Company
2974,American Amber / Red Ale,6.10 %,Beer 'd,John Harvard 's Brewery & Ale House
2975,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery
2976,American Amber / Red Ale,5.20 %,Aggie Amber Ale,De La Vega 's Pecan Grill & Brewery
2977,American Amber / Red Ale,-,Red Robin Red,Three Notch 'd Brewing Company
2978,American Amber / Red Ale,-,Copper Hull,Island Hoppin ' Brewery
2979,American Amber / Red Ale,7.20 %,Street Cred India Rye Red Ale,Roaring Fork Beer Company
2980,American Amber / Red Ale,5.60 %,Ruthless Red Ale,Honey Wagon Brewing
2981,American Amber / Red Ale,6.00 %,Mankerbeer Red Ale,Beerbliotek
2982,American Amber / Red Ale,-,Red Red Wheat,Ex Novo Brewing
2983,American Amber / Red Ale,5.40 %,Ragtop Red,Garage Brewing Co. .
2984,American Amber / Red Ale,4.90 %,Walls,Concrete Beach Brewery
2985,American Amber / Red Ale,6.00 %,La Soyeuse AmbrÃ © e,Ferme Brasserie La Soyeuse
2986,American Amber / Red Ale,7.30 %,Rodan Red IPA,Pacific Brewing Company
2987,American Amber / Red Ale,5.40 %,Red Sun,Mad Hops
2988,American Amber / Red Ale,8.40 %,Barrel Aged Old Fashion,Wicked Weed Brewing
2989,American Amber / Red Ale,5.40 %,Wilbur 's Regret,Palmetto Brewing Company
2990,American Amber / Red Ale,-,French And Indian Corn Ale,Sprague Farm & Brew Works
2991,American Amber / Red Ale,-,Auger Falls Dark Amber Ale,Von Scheidt Brewing Company
2992,American Amber / Red Ale,4.50 %,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery
2993,American Amber / Red Ale,6.90 %,NewlyRed Double Red,Philipsburg Brewing Company
2994,American Amber / Red Ale,5.00 %,Ansel 's Amber,The VB Brewery
2995,American Amber / Red Ale,-,Table Rock Red,BricktownE Brewing Company
2996,American Amber / Red Ale,5.50 %,Earth Day Hemp Ale,Six Rivers Brewery
2997,American Amber / Red Ale,5.50 %,Amberjax,Green Room Brewing
2998,American Amber / Red Ale,5.60 %,Porta Coeli Amber,BoquerÃ ³ n Brewing Co. .
2999,American Amber / Red Ale,5.20 %,American Red Wheat,Beer Engine
3000,American Amber / Red Ale,6.50 %,Barrel Aged Extra Red,Ritual Brewing Co. .
3001,American Amber / Red Ale,5.40 %,MC Yammer,Palmetto Brewing Company
3002,American Amber / Red Ale,5.90 %,Enambered - Pilot Batch,Captain Lawrence Brewing Co. .
3003,American Amber / Red Ale,-,Bitter Creek Amber X,Bitter Creek Brewing Company
3004,American Amber / Red Ale,8.00 %,Robustus Rubeus,Thirsty Monk
3005,American Amber / Red Ale,5.80 %,Barrel Aged Quinoa & Amber,Flat 12 Bierwerks
3006,American Amber / Red Ale,5.60 %,Chalk Rock Amber,Sunriver Brewing Company
3007,American Amber / Red Ale,4.60 %,Ho'okipa Amber,Redhook Ale Brewery
3008,American Amber / Red Ale,7.40 %,Hop Sock Organic Red Ale,Garage Brewing Co. .
3009,American Amber / Red Ale,4.00 %,Rude Ram Red,Roosters Brewing Company and Restaurant
3010,American Amber / Red Ale,6.00 %,La 109,Brasserie De La Loire
3011,American Amber / Red Ale,5.00 %,Cutthroat Double Oak Casked,Tree Brewing Beer Intitute
3012,American Amber / Red Ale,5.20 %,Emil 's Amber Ale,JT Schmid 's
3013,American Amber / Red Ale,4.80 %,Minuteman Red,Amherst Brewing Co. .
3014,American Amber / Red Ale,7.50 %,Burley Beaver,Tree Brewing Beer Intitute
3015,American Amber / Red Ale,5.25 %,Inaugural Amber,Lazy Hiker Brewing Company
3016,American Amber / Red Ale,5.60 %,Stadin Red Ale,Stadin Panimo
3017,American Amber / Red Ale,4.30 %,Slewfoot,Cumberland Brews
3018,American Amber / Red Ale,5.70 %,Creamsicle,Village Idiot Brewing Company
3019,American Amber / Red Ale,5.00 %,Merry Cinnamas,Swamp Cabbage Brewing Company
3020,American Amber / Red Ale,5.30 %,Amber Rye,192 Brewing Company & Lake Trail Taproom
3021,American Amber / Red Ale,5.70 %,Red Rind IPA,Siren Craft Brew
3022,American Amber / Red Ale,6.25 %,Misty Mountain Hop,North by Northwest Restaurant & Brewery
3023,American Amber / Red Ale,5.50 %,Gordon Biersch Red Ale,Gordon Biersch Brewery Restaurant
3024,American Amber / Red Ale,-,New Wave Amber,Base Camp Brewing Company
3025,American Amber / Red Ale,6.50 %,Hopped Up Red,Garage Brewing Co. .
3026,American Amber / Red Ale,4.20 %,Copper Tart,Hallertau Brewbar
3027,American Amber / Red Ale,4.60 %,Lil ' Vic,Cannonball Creek Brewing Company
3028,American Amber / Red Ale,5.00 %,Boston Ale,Gambrinus
3029,American Amber / Red Ale,7.00 %,Awesome Amber,Cortland Beer Company
3030,American Amber / Red Ale,8.70 %,Batch Zero,PÃµhjala Brewery
3031,American Amber / Red Ale,9.20 %,Flagstaff Big Rapid Red,Flagstaff Brewing Company
3032,American Amber / Red Ale,8.00 %,Le Magnifiche Elbana,La Petrognola
3033,American Amber / Red Ale,-,Murph 's Irish Gold,Toppling Goliath Brewing Company
3034,American Amber / Red Ale,5.30 %,Fir Na Tine,Odell Brewing Company
3035,American Amber / Red Ale,4.70 %,Regimental 80 Scottish Ale,Crooked Eye Brewery
3036,American Amber / Red Ale,5.60 %,Ed 's Amber Ale,Wild Run Brewery
3037,American Amber / Red Ale,4.50 %,Lucky Clover Red Ale,3 Freaks Brewery
3038,American Amber / Red Ale,5.50 %,Loco Rio,Crazy Mountain Brewing Company
3039,American Amber / Red Ale,6.00 %,Notting Hill Red,Moncada Brewery Ltd
3040,American Amber / Red Ale,5.00 %,Foxtail,5 Stones Craft Brewing Co. .
3041,American Amber / Red Ale,-,Mano Roja,Domingo 7 : La Micro Brewing Co. .
3042,American Amber / Red Ale,4.30 %,Tornado,Three Castles Brewery
3043,American Amber / Red Ale,-,Fireweed IRA,Snake River Brewing Company & Brewpub
3044,American Amber / Red Ale,6.00 %,Mad Bee Honey Ale,Brewerkz - Riverside Point
3045,American Amber / Red Ale,5.20 %,Go Fetch Me A Daaamn Beer,English Setter Brewing Company
3046,American Amber / Red Ale,6.10 %,Serenity,Crabtree Brewing Company
3047,American Amber / Red Ale,5.60 %,Hellstork DeÅ 3/4 ko 12Â °,Ko_ovnÃ 1/2 Pivovar Hellstork
3048,American Amber / Red Ale,5.00 %,Local Yeast Amber,Thirsty Pagan Brewing
3049,American Amber / Red Ale,5.60 %,Black Pepper Casek Gaelic Ale,Highland Brewing
3050,American Amber / Red Ale,-,Big Hopi,Confluence Brewing Company
3051,American Amber / Red Ale,6.00 %,InaugurALE Red,Dad & Dude 's Breweria
3052,American Amber / Red Ale,4.50 %,Stateside Rye,Everards Brewery Ltd. .
3053,American Amber / Red Ale,5.30 %,Big Willie Style,Ex Novo Brewing
3054,American Amber / Red Ale,5.80 %,Michael 's Red Ale,Thirsty Pagan Brewing
3055,American Amber / Red Ale,10.00 %,Mateo Loco,Scuttlebutt Brewing Company
3056,American Amber / Red Ale,4.60 %,Confidence,Moor Beer Company
3057,American Amber / Red Ale,6.00 %,La Printaniere,Les 3 Brasseurs - Quartier Dix30
3058,American Amber / Red Ale,4.80 %,1865 Amber,South Bend Brew Werks
3059,American Amber / Red Ale,4.70 %,Ruby Jazz Ale,Pyynikin KÃ $ sityÃ ¶ lÃ $ ispanimo
3060,American Amber / Red Ale,-,Harvestman Red,Lompoc Tavern
3061,American Amber / Red Ale,5.20 %,Bob 's Knotty Amber,Lazy Boy Brewing
3062,American Amber / Red Ale,6.00 %,Big Ed 's Red Rye,Liberty Steakhouse & Brewery
3063,American Amber / Red Ale,-,Red Light,OPA-OPA Steakhouse & Brewery
3064,American Amber / Red Ale,5.00 %,Harbor Shores,The Livery
3065,American Amber / Red Ale,5.60 %,Soulful Ginger,16 Mile Brewing Company
3066,American Amber / Red Ale,6.50 %,Ardwen AmbrÃ © e,SociÃ © tÃ © Ardennaise De Brasserie
3067,American Amber / Red Ale,5.60 %,The Crimson,RemmarlÃ ¶ v GÃ ¥ rdsbryggeri
3068,American Amber / Red Ale,-,Conor Larkin 's Amber,Boston Beer Company ( Samuel Adams )
3069,American Amber / Red Ale,8.50 %,Vadia Export,Cerveja Vadia
3070,American Amber / Red Ale,-,Amber Dexterous,Highway 1 Brewing Co
3071,American Amber / Red Ale,5.10 %,Midnite Umber Ale,Red Arrow Brewing Company
3072,American Amber / Red Ale,5.70 %,Blood Falls,New Orleans Lager & Ale Brewing Company ( NOLA )
3073,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery
3074,American Amber / Red Ale,5.50 %,West Coast Red ( Oak Aged _ `` Glenlivet Casks ),Bristol Beer Factory
3075,American Amber / Red Ale,8.50 %,Gentleman Grant ( Manhattan Whiskey Barrels W/Cherries ),Mission Brewery
3076,American Amber / Red Ale,5.90 %,Moustache Red,Salty Nut Brewery
3077,American Amber / Red Ale,5.20 %,IPAmber,Salish Sea Brewing Co. .
3078,American Amber / Red Ale,7.50 %,Titanbrau Rossa,Birrifico Artigianale Sammarinese Srl
3079,American Amber / Red Ale,4.60 %,Unite Red Rye Ale,The Pike Brewing Company
3080,American Amber / Red Ale,-,Hester,Ebenezer 's Brewpub / Lively Brewing Co. .
3081,American Amber / Red Ale,6.40 %,Red Setter Retriever,English Setter Brewing Company
3082,American Amber / Red Ale,6.00 %,NW ( Leaf Raker ) Red,Salish Sea Brewing Co. .
3083,American Amber / Red Ale,5.00 %,Saved By The Belma,On Rotation
3084,American Amber / Red Ale,6.00 %,Ambar Ale,CervecerÃa Costumbres
3085,American Amber / Red Ale,5.20 %,I Dream Of Amber,LTD Brewing Co. .
3086,American Amber / Red Ale,-,Twain 's Good N ' Lonesome Toasted Ale,Twain 's Billiards and Tap
3087,American Amber / Red Ale,5.00 %,LÃ ¨ che-Babines,Bedondaine & Bedons Ronds
3088,American Amber / Red Ale,5.50 %,Sweet Amber Ale,Findlay Brewing Company
3089,American Amber / Red Ale,-,Fenian Red,Brimstone Brewing Company
3090,American Amber / Red Ale,8.00 %,Red 88 Imperial Amber Ale,River City Brewing Co. .
3091,American Amber / Red Ale,6.00 %,Sombre HÃ © ro,Microbrasserie Artisanale Sainte Crucienne
3092,American Amber / Red Ale,6.60 %,Red Eye P.A.,Great Basin Brewing Co. .
3093,American Amber / Red Ale,6.50 %,BiÃ ¨ re Du Moulin Ambrata,Amarcord Birra Artigianale Italiana
3094,American Amber / Red Ale,5.50 %,Kyo No Kyoto Beer - Amber Ale,Haneda Shuzo Y.K.
3095,American Amber / Red Ale,6.00 %,Werk Force/Burn 'Em Did You Just FahrvergnÃ 1/4 gen ?,Werk Force Brewing Co
3096,American Amber / Red Ale,6.30 %,Highlands Hollow 3 Speed,Highlands Hollow Brewhouse
3097,American Amber / Red Ale,5.20 %,Expansion Amber,Salish Sea Brewing Co. .
3098,American Amber / Red Ale,8.50 %,Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company
3099,American Amber / Red Ale,-,Alvarado Ale,San Diego Brewing Co. .
3100,American Amber / Red Ale,6.50 %,Loki 's Folly,Sidhe Brewing Company
3101,American Amber / Red Ale,4.30 %,Will 's Fault Wicked Good Beah,Martha 's Exchange
3102,American Amber / Red Ale,6.00 %,Danimal,The Livery
3103,American Amber / Red Ale,-,Robles Roja,Oakshire Brewing
3104,American Amber / Red Ale,6.70 %,Red Hawk,Wolf Creek Brewing
3105,American Amber / Red Ale,6.30 %,Fear The Reaper,ManRock Brewing Company
3106,American Amber / Red Ale,7.00 %,Roby Red Ale,Bulldog Brewing Company
3107,American Amber / Red Ale,7.50 %,Unite,Midnight Sun Brewing Co. .
3108,American Amber / Red Ale,8.00 %,Red Hop Love,Tustin Brewing Company
3109,American Amber / Red Ale,7.60 %,Beer X,Roc Brewing Company
3110,American Amber / Red Ale,5.50 %,Bulls Ay ! Ale,Barranco Beer Company
3111,American Amber / Red Ale,4.50 %,Belligerent Bloke,Angel City Brewery
3112,American Amber / Red Ale,-,Downeast Engineering Amber,Deepwater Brewing Company
3113,American Amber / Red Ale,8.30 %,Overload Imperial Red,Hopped Up Brewing Company
3114,American Amber / Red Ale,5.40 %,Red Dawn,Blackstone Restaurant & Brewery
3115,American Amber / Red Ale,5.90 %,Hommeles / De Eem Rat Ale Green Hops,Brouwerij Hommeles
3116,American Amber / Red Ale,-,O2 Ale,Ram Restaurant & Brewery
3117,American Amber / Red Ale,7.90 %,Hopacolpyse,Iron Hill Brewery & Restaurant
3118,American Amber / Red Ale,5.50 %,A Face With No Name,Tempest Brewing Company
3119,American Amber / Red Ale,5.50 %,Flashwood,Brasserie Artisanale Le Saint Graal
3120,American Amber / Red Ale,6.00 %,Off The Leash,Noble Rey Brewing Company
3121,American Amber / Red Ale,5.30 %,Cooper _ ™ s Copper Ale,Marietta Brewing Company
3122,American Amber / Red Ale,4.50 %,Brains Open Casket,Brains
3123,American Amber / Red Ale,6.80 %,Amber Lushus,Birdsview Brewing Company
3124,American Amber / Red Ale,6.00 %,Sword Fight IRA,Mammoth Brewing Company
3125,American Amber / Red Ale,5.50 %,Mezs ( Forest ),Alus DarbnÄ `` ca Labietis
3126,American Amber / Red Ale,8.00 %,Deputation Imperial Red Ale,Brannon 's Pub and Brewery
3127,American Amber / Red Ale,5.40 %,No Grain No Pain,Caldera Brewing Company
3128,American Amber / Red Ale,5.20 %,James Squires Red Handed Red Ale,Malt Shovel Brewery
3129,American Amber / Red Ale,5.50 %,Axlebox Amber,Railtown Brewing Company
3130,American Amber / Red Ale,-,Ulysses Imperial Red Ale,Barley 's Brewing Company
3131,American Amber / Red Ale,5.40 %,Waimea Wonders,Whetstone Station Restaurant and Brewery
3132,American Amber / Red Ale,-,Ehret 's Amber Ale,Knucklehead Craft Brewing
3133,American Amber / Red Ale,-,Quincy Smelter Golden Ale,Keweenaw Brewing Company
3134,American Amber / Red Ale,7.40 %,Phobos Single Hop Red Ale,Ecliptic Brewing
3135,American Amber / Red Ale,-,RB 4:05,Rustic Brew
3136,American Amber / Red Ale,5.00 %,Wonder Red,Cascade Brewing / Raccoon Lodge & Brewpub
3137,American Amber / Red Ale,6.00 %,Jewel Box Bronze,Liquid Riot Bottling Company
3138,American Amber / Red Ale,8.00 %,Oliver 's Shot Down In Flames,Pratt Street Ale House
3139,American Amber / Red Ale,-,Honey Amber,Kaskaskia Brewing Company
3140,American Amber / Red Ale,7.00 %,Hamber,Thai Me Up / Melvin Brewing
3141,American Amber / Red Ale,-,Nut Bush,Draught House Pub & Brewery
3142,American Amber / Red Ale,6.10 %,Anabatic Amber,Katabatic Brewing Company
3143,American Amber / Red Ale,5.70 %,Roadster Red Ale,Pismo Brewing Company
3144,American Amber / Red Ale,5.00 %,Brutal Brewing Texas State Of Mind Austin Amber,Spendrups Bryggeri AB
3145,American Amber / Red Ale,5.00 %,Tap Amber,The Tap Brewery
3146,American Amber / Red Ale,-,Monkey Wagon Amber,Bindlestick Brewing Co. .
3147,American Amber / Red Ale,4.20 %,Lady Of The Lake,Glastonbury Ales
3148,American Amber / Red Ale,5.60 %,Bone Dog Amber,Carbondale Beer Works
3149,American Amber / Red Ale,8.50 %,The Walking Red,O.H.S.O. Eatery & Nano-Brewery
3150,American Amber / Red Ale,-,The Lab Amber,The Lab Gastropub
3151,American Amber / Red Ale,-,Taildragger _ ™ s Tuskegee Red Tail,Saddle Mountain Brewing Company
3152,American Amber / Red Ale,5.30 %,Vetusta,Cerveza Nurse
3153,American Amber / Red Ale,6.20 %,Indefinite Noises,The Courtyard Brewery
3154,American Amber / Red Ale,6.11 %,Valle Del Tafi Roja,CervecerÃa CalchaquÃ
3155,American Amber / Red Ale,7.00 %,Rover Imperial Red,Bolt Brewery
3156,American Amber / Red Ale,-,T.N.T. American Amber ESB,High Sierra Brewing Company
3157,American Amber / Red Ale,-,Agnew Amber,Dungeness Brewing
3158,American Amber / Red Ale,-,The Other Side Of 80 Collaboration Series : Southside Amber Lager,Turkey Hill Brewing Co. . Pub & Grille
3159,American Amber / Red Ale,5.20 %,Thunder Canyon Rabbit 's Marana Mild,Thunder Canyon Brewery
3160,American Amber / Red Ale,-,Barbe BiÃ ¨ re,Ras L'Bock
3161,American Amber / Red Ale,7.00 %,Bourbon Mash Amber Ale,Stone Corral Brewery
3162,American Amber / Red Ale,5.50 %,Amber The Enabler,Edge Brewing Company
3163,American Amber / Red Ale,4.40 %,Pungo Red Ale,Two Fathers Beer Company
3164,American Amber / Red Ale,6.30 %,Final Frontier Amber,Adventure Brewing Company
3165,American Amber / Red Ale,4.40 %,Levitation Ale With Hibiscus,Stone Brewing Co. .
3166,American Amber / Red Ale,6.70 %,Brewer 's Reserve Blitzgrieg,Townshend Brewery
3167,American Amber / Red Ale,6.00 %,Ambrio,Grind Modern Burger & PostModern Brewers
3168,American Amber / Red Ale,5.30 %,The Fez,Barley Mow Brewing Company
3169,American Amber / Red Ale,7.90 %,36 Red,Sundowner Brewery
3170,American Amber / Red Ale,8.00 %,Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery
3171,American Amber / Red Ale,-,Fox River Red,Fixture Brewing Company
3172,American Amber / Red Ale,5.70 %,Lumberjack Red,Rock Bottom Restaurant & Brewery
3173,American Amber / Red Ale,6.50 %,Red Krush,Montavilla Brew Works
3174,American Amber / Red Ale,5.60 %,Hanging Rock,The Waen Brewery
3175,American Amber / Red Ale,5.70 %,Rose City Red Ale,New Boswell Brewery & Tap Room
3176,American Amber / Red Ale,5.50 %,Electrum Autumn Ale,Thirsty Monk
3177,American Amber / Red Ale,5.00 %,Ciel _ toilÃ ©,Brasserie Dieu Du Ciel
3178,American Amber / Red Ale,5.00 %,AAA,Siboire - DÃ © pÃ ´ t
3179,American Amber / Red Ale,4.80 %,Rojo Grande,Picacho Peak Brewing Company
3180,American Amber / Red Ale,6.00 %,The Hoppit Amber Ale,New Boswell Brewery & Tap Room
3181,American Amber / Red Ale,-,Tokyo Ale No. 3,Tokyo Brewing Company
3182,American Amber / Red Ale,3.90 %,Ruby Tuesday,Boggart Hole Clough Brewing Co. .
3183,American Amber / Red Ale,-,Rock Creek Red,Blue House Mediterranean Cafe
3184,American Amber / Red Ale,-,Rum Raisin,Greenbush Brewing Company
3185,American Amber / Red Ale,7.75 %,Sledgehammer Imperial Red Ale,Cambridge Brewing Company
3186,American Amber / Red Ale,5.30 %,Proxima Centauri,The BottleHouse Brewing Company
3187,American Amber / Red Ale,5.80 %,Angelic Amber,Picacho Peak Brewing Company
3188,American Amber / Red Ale,5.20 %,Red Don,Phantom Canyon Brewing Company
3189,American Amber / Red Ale,9.60 %,Electrum ( Apple Brandy Barrel Aged ),Black Acre Brewing Co. .
3190,American Amber / Red Ale,5.50 %,Freaks Amber,3 Freaks Brewery
3191,American Amber / Red Ale,7.80 %,Coronado Imperial Red,Pleasure House Brewing
3192,American Amber / Red Ale,3.20 %,Nan 's Driving,Feral Brewing Co. .
3193,American Amber / Red Ale,5.00 %,Son Pampa,SON Brewing Co. .
3194,American Amber / Red Ale,-,Uncle Bucks Autumn Amber,Uncle Buck 's Brewery & Steakhouse
3195,American Amber / Red Ale,4.00 %,Spellbound,Merlin Microbrewery
3196,American Amber / Red Ale,8.10 %,Brew School,Oskar Blues Grill & Brew
3197,American Amber / Red Ale,-,Zingibeer Amber,Gravity BrewWorks
3198,American Amber / Red Ale,5.10 %,Red 's Dirty Lil ' Ale,Dodgeton Creek Brewing Co. .
3199,American Amber / Red Ale,5.60 %,Steamboat Smoked Ale,Hermann Wurst Haus
3200,American Amber / Red Ale,5.10 %,Here 's Your Damn Amber,North Sound Brewing Company
3201,American Amber / Red Ale,-,Badger Ale,Whistle Stop Restaurant & Woodman Brewery
3202,American Amber / Red Ale,4.70 %,Juniper Red Ale,Bacchus Brewing Co. .
3203,American Amber / Red Ale,5.10 %,Bunk Off !,Belly Love Brewing Company
3204,American Amber / Red Ale,7.50 %,Dirty Redhead,GoatHouse Brewing
3205,American Amber / Red Ale,-,Colorado Hoppy Red,New Belgium Brewing
3206,American Amber / Red Ale,8.50 %,Biere De Noel,Brewery Becker
3207,American Amber / Red Ale,5.20 %,Unearthed,Muddy York Brewing Co. .
3208,American Amber / Red Ale,4.80 %,Galactic Amber Ale,Harvest Moon Brewery & Cafe
3209,American Amber / Red Ale,6.00 %,Red Headed Step Child,Mississippi Brewing Company
3210,American Amber / Red Ale,4.70 %,Freedom Soho Red,Freedom Brewery Ltd
3211,American Amber / Red Ale,6.00 %,Pikkupomo,Ruosniemen Panimo
3212,American Amber / Red Ale,-,My O My Amber Rye,Rock Bottom Restaurant & Brewery
3213,American Amber / Red Ale,5.80 %,Redheaded Step Brewer,Departed Soles Brewing Co. .
3214,American Amber / Red Ale,5.00 %,Celebration Ale # 4 Festbier,Det Lille Bryggeri
3215,American Amber / Red Ale,6.10 %,Uncle Chugga,BrickHouse Brewery
3216,American Amber / Red Ale,-,Vortex Red,Free State Brewing Co. .
3217,American Amber / Red Ale,5.60 %,Snowy Owl,Sketchbook Brewing Company
3218,American Amber / Red Ale,-,Fresh Hop Amber,Georgetown Brewing Company
3219,American Amber / Red Ale,5.80 %,Jacks Or Better,Wonder Bar ( Wyoming State Brewing Company )
3220,American Amber / Red Ale,-,Amber Block,Intuition Ale Works
3221,American Amber / Red Ale,-,FU2 Amber Ale,Hillbilly Brewing
3222,American Amber / Red Ale,-,George 's Ale,Jacob Leinenkugel Brewing Company
3223,American Amber / Red Ale,5.20 %,La Cotta Rossa,Societ _ Agricola Colleverde
3224,American Amber / Red Ale,-,Lohi Amber,Denver Beer Co. .
3225,American Amber / Red Ale,8.00 %,Critical Condition,Zeroday Brewing Co. .
3226,American Amber / Red Ale,5.00 %,SHR American Amber,Red Eye Brewing Company
3227,American Amber / Red Ale,4.50 %,Hop Solo,Mother Earth Brew Co. .
3228,American Amber / Red Ale,5.00 %,Guato Gato,Florida Bebidas S.A.
3229,American Amber / Red Ale,5.80 %,Toyon,Cambria Beer Company
3230,American Amber / Red Ale,7.90 %,Blood Of My Enemies,Green Man Brewery
3231,American Amber / Red Ale,5.90 %,Redeye P.A.,Bray 's Brewing Company
3232,American Amber / Red Ale,-,Santa Kisser,Port Townsend Brewing Company
3233,American Amber / Red Ale,-,Ascension Amber,Ascension Brewing Company
3234,American Amber / Red Ale,-,Hill Country Organic Amber,Uncle Billy 's Brew & Que
3235,American Amber / Red Ale,5.00 %,Beach House With Pacific Gem,Strand Brewing Co. .
3236,American Amber / Red Ale,4.70 %,Rough Sesh,Stewart 's Brewing Co. .
3237,American Amber / Red Ale,5.80 %,Local 303 Red IPA,Factotum Brewhouse
3238,American Amber / Red Ale,-,Nipigon,Ore Dock Brewing Company
3239,American Amber / Red Ale,5.00 %,Frosty Morning,Brutopia
3240,American Amber / Red Ale,4.60 %,Oakley 's Amber,Elk Street Brewery & Tap Room
3241,American Amber / Red Ale,6.00 %,La Belle _ L' _ rable,Les 3 Brasseurs
3242,American Amber / Red Ale,6.60 %,In Amber Clad,Conshohocken Brewing Company
3243,American Amber / Red Ale,5.25 %,Velveteen,Eagle Rock Brewery
3244,American Amber / Red Ale,4.50 %,Lil Orphan Amber,JDub 's Brewing Company
3245,American Amber / Red Ale,5.40 %,RED ALE Sow Your Oats,Rivertowne Pourhouse
3246,American Amber / Red Ale,-,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company
3247,American Amber / Red Ale,4.30 %,Big ! Red,Dave 's BrewFarm
3248,American Amber / Red Ale,6.80 %,The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room
3249,American Amber / Red Ale,-,Jurassic Duck Amber Ale,The Dodging Duck Brewhaus
3250,American Amber / Red Ale,5.30 %,Firehouse Red,Bull & Barrel Brew Pub
3251,American Amber / Red Ale,7.40 %,Fresh Hop Red,Liquid Mechanics Brewing Co. .
3252,American Amber / Red Ale,9.00 %,Santa 's Sack,The Funky Bow Brewery & Beer Company
