beer_id,drink_style,alc_vol,brew_factory,beer_nm
3799,American Amber / Red Ale,4.70 %,NeustÃ $ dter Hausbrauerei,Elbhang Rot
3800,American Amber / Red Ale,9.40 %,Vital Brewing,Vital Infrared Imperial Red
3801,American Amber / Red Ale,5.50 %,Climbing Bines Hop Farm,BFH
3802,American Amber / Red Ale,5.70 %,Ornery Beer Company Public House,Oatmeal Amber Ale
3803,American Amber / Red Ale,6.00 %,Werk Force Brewing Co,Bad Polaroid
3804,American Amber / Red Ale,5.30 %,Hop Haus Brewing Company,Wildcat Amber
3805,American Amber / Red Ale,-,Helm,Du Parc
3806,American Amber / Red Ale,7.00 %,Ithaca Beer Company,Cascazilla Aged On Cherry Wood
3807,American Amber / Red Ale,5.30 %,Wiper & True Brewery,Columbus And Rye
3808,American Amber / Red Ale,6.00 %,Spangher,Rojo
3809,American Amber / Red Ale,-,SociÃ © tÃ © Microbrasserie & Pizzeria,Morency
3810,American Amber / Red Ale,5.60 %,Wiper & True Brewery,Simcoe And Rye
3811,American Amber / Red Ale,6.40 %,Twisted Crew Brewing Company,Plan Bee
3812,American Amber / Red Ale,5.20 %,3 Freaks Brewery,Trouser Punch Ale
3813,American Amber / Red Ale,8.50 %,Crooked Ladder Brewing Company,Photobomb Imperial Red Ale
3814,American Amber / Red Ale,-,Two Goats Brewing,Harvest Lager
3815,American Amber / Red Ale,-,Wood Boat Brewing Co. .,Wood * Boat Amber Ale
3816,American Amber / Red Ale,4.00 %,Brasserie Artisanale Albion,Chiniquy
3817,American Amber / Red Ale,6.50 %,Eastwood Brewing Co. .,Nugget Centennial Amber
3818,American Amber / Red Ale,5.90 %,Beer By Design,Alpine Mountain Amber Ale
3819,American Amber / Red Ale,4.40 %,Homestead Beer Co. .,Ploughshare Ale
3820,American Amber / Red Ale,5.00 %,Manantler Craft Brewing,Shelf Conscious
3821,American Amber / Red Ale,6.50 %,Eastwood Brewing Co. .,Amarillo Amber
3822,American Amber / Red Ale,-,12th Abbey Brewing Company,Altered Amber
3823,American Amber / Red Ale,8.00 %,Quer Beer,Nelson Sauvin
3824,American Amber / Red Ale,5.50 %,Deck & Donohue,Ricochet
3825,American Amber / Red Ale,5.50 %,Intracoastal Brewing Company,Sore Amber
3826,American Amber / Red Ale,7.00 %,Flying Fish Brewing Company,Scarlet Fever Hoppy Red Ale
3827,American Amber / Red Ale,5.60 %,Jack 's Brewing Company,Grid Iron Amber Ale
3828,American Amber / Red Ale,4.50 %,Blue Island Beer Co. .,Massive Political Corruption
3829,American Amber / Red Ale,4.50 %,Alus DarbnÄ `` ca Labietis,Akmenrags ( Place On West Coast Of Latvia )
3830,American Amber / Red Ale,-,Full Pint Brewing Company,Peanut Butter Amber
3831,American Amber / Red Ale,6.60 %,Flying Heart Brewing,Louisiana Amber
3832,American Amber / Red Ale,-,Mt. Carmel Brewing Company,Hopton Golden Ale
3833,American Amber / Red Ale,4.50 %,Clarens Brewery,Clarens Red
3834,American Amber / Red Ale,-,Rogue Ales,Hellboy Right Hand Of Doom Red Ale
3835,American Amber / Red Ale,5.20 %,Legends Brewpub and Wine Bar,Cardinal Red Ale
3836,American Amber / Red Ale,5.00 %,Microbrasserie Jukebox,Jazz ( Vieillie Sur ChÃªne )
3837,American Amber / Red Ale,5.80 %,Whetstone Station Restaurant and Brewery,Batch # 90 Amber Gambler
3838,American Amber / Red Ale,5.30 %,Beer By Design,Lucille Red Ale
3839,American Amber / Red Ale,6.00 %,The Filling Station Microbrewery,Aurora Amber Ale
3840,American Amber / Red Ale,5.80 %,Royale Brewing Company,The Visitor Red Ale
3841,American Amber / Red Ale,5.40 %,Eskilstuna _ lkultur,RÃ ¶ da Havet Red Ale
3842,American Amber / Red Ale,6.50 %,Twisted K-8 Brewing Company,Red Headed Slut Amber Ale
3843,American Amber / Red Ale,4.50 %,John Harvard 's Brewery & Ale House,American Bitter
3844,American Amber / Red Ale,4.40 %,Square Tail Brewing Co. .,Mid Arbor Red Ale
3845,American Amber / Red Ale,5.00 %,Innovation Brew Works,Rubottom 's Red
3846,American Amber / Red Ale,4.30 %,Two Goats Brewing,Red Beard Red Ale
3847,American Amber / Red Ale,5.20 %,Dancing Duck Brewery,Seduction
3848,American Amber / Red Ale,5.90 %,Border Brew Supply,Ambah Ale
3849,American Amber / Red Ale,-,Bedondaine & Bedons Ronds,Le Rubis De La Rousse
3850,American Amber / Red Ale,5.00 %,Sesma Brewing Co. .,La Petra Tostada
3851,American Amber / Red Ale,5.00 %,Three Creeks Brewing Co. .,Anvil Amber
3852,American Amber / Red Ale,5.00 %,Edge Brewing,Big Bully Amber Ale
3853,American Amber / Red Ale,3.00 %,Mickey Finn 's Brewery,Amber Lite
3854,American Amber / Red Ale,5.70 %,Front Street Brewery,Galaxy Red Ale
3855,American Amber / Red Ale,6.00 %,The North Brewery,Money
3856,American Amber / Red Ale,5.80 %,Heathen Brewing,Arson Amber
3857,American Amber / Red Ale,5.80 %,Heathen Brewing,Brewed Arson Amber
3858,American Amber / Red Ale,6.00 %,Distillerie Warenghem,Diwall AmbrÃ © e
3859,American Amber / Red Ale,-,Uncle Ernie 's Bayfront Grill & Brew House,Uncle Ernie _ ™ s Amber Ale
3860,American Amber / Red Ale,-,Microbrasserie La PÃ © cheresse,L'Envie
3861,American Amber / Red Ale,8.10 %,Andersonville Brewing,Capone
3862,American Amber / Red Ale,7.50 %,Five Dons ' Brewing,Wise Guy Amber
3863,American Amber / Red Ale,9.00 %,Fermentation Lounge / Golden Horn Brewing,Triple Honey
3864,American Amber / Red Ale,6.00 %,Longneck Brew House,Sunrise Red
3865,American Amber / Red Ale,5.00 %,North Center Brewing Company,Stinson Amber
3866,American Amber / Red Ale,6.00 %,Ferme De Laubicherie,BiÃ ¨ re De Ferme AmbrÃ © e
3867,American Amber / Red Ale,9.00 %,BrewDog,Democratic Imperial Red Ale
3868,American Amber / Red Ale,-,Barbe-broue Ville-Marie,La Devil 's Roc
3869,American Amber / Red Ale,6.50 %,Oslo Mikrobryggeri,Jubileum Ale
3870,American Amber / Red Ale,5.00 %,Montgomery Brewing Company,The Chief Beer
3871,American Amber / Red Ale,6.10 %,Blue Earl Brewing Company,Give Me Back My Wig
3872,American Amber / Red Ale,4.50 %,L'Espace Public-Brasseurs de quartier,La TrÃ ¨ s Douce
3873,American Amber / Red Ale,-,Captain Lawrence Brewing Co. .,Tans-Atlantic Imperial Red
3874,American Amber / Red Ale,-,Les Trois Mousquetaires,Red Harvest
3875,American Amber / Red Ale,5.60 %,Downpour Brewing,The Pamber
3876,American Amber / Red Ale,6.70 %,Dirty Hands Brewing Company,Chkalov Red Ale
3877,American Amber / Red Ale,6.30 %,Bravo ! Restaurant & Cafe,Chefs Ale
3878,American Amber / Red Ale,-,Thirsty Dog Brewing Company,Rosewood Red
3879,American Amber / Red Ale,5.00 %,Yorkholo Brewing Co. .,Dead River Amber Ale
3880,American Amber / Red Ale,4.00 %,The Sprig & Fern Brewery,Fern Draught
3881,American Amber / Red Ale,5.50 %,Broad Ripple Brew Pub,Wiggly Field
3882,American Amber / Red Ale,4.10 %,115 Grill & Brewhouse,Amber Ale - Batch # 01
3883,American Amber / Red Ale,5.50 %,Iechyd Da Brewing Company,Main Drag Amber
3884,American Amber / Red Ale,5.00 %,Micro-Brasserie Brouemont,Rousse _ L _ ™ _ rable
3885,American Amber / Red Ale,5.00 %,Micro-Brasserie Brouemont,Rousse GoÃ '' t
3886,American Amber / Red Ale,5.50 %,CrannÃ ³ g Ales,Spawning Sockeye Ale
3887,American Amber / Red Ale,-,Fathom & League Hop Yard Brewery,Olympic Peninsula Ale
3888,American Amber / Red Ale,4.30 %,Alechemy Brewing,5 Sisters
3889,American Amber / Red Ale,6.00 %,Wild Beast Brewery,Wild Beast Amber Ale
3890,American Amber / Red Ale,5.00 %,Frothy Beard Brewing Company,Smokey The Ambear
3891,American Amber / Red Ale,5.80 %,Valley Vinyards / Cellar Dweller Craft Beers,Ryno 's
3892,American Amber / Red Ale,5.00 %,Big Rock Brewery,River Valley Red Ale
3893,American Amber / Red Ale,6.20 %,Wavelength Brewing Company,Hibiscus Red
3894,American Amber / Red Ale,4.70 %,4 Pines Brewing Company,4 Pines Keller Door Big Mark Red Ale
3895,American Amber / Red Ale,3.50 %,Green Beacon Brewing Co,Mainstay Amber
3896,American Amber / Red Ale,5.20 %,DuVig Brewing Co. .,Moxie Ale
3897,American Amber / Red Ale,5.80 %,Main Street Brewing Company,Heal & Grow
3898,American Amber / Red Ale,6.80 %,Nighthawk Brewery,16-Hour Dry Hopped Amber
3899,American Amber / Red Ale,5.50 %,Brasserie de la VallÃ © e du Giffre,Pacific Red Ale
3900,American Amber / Red Ale,6.10 %,F-Town Brewing Co. .,Oho-Rojo
3901,American Amber / Red Ale,4.70 %,Townshend Brewery,Sutton Hoo
3902,American Amber / Red Ale,-,Mill City Brew Werks,Red Beard IRA
3903,American Amber / Red Ale,3.50 %,2 Brothers Brewery,Happiness
3904,American Amber / Red Ale,5.00 %,La Barberie,Rousse Classique
3905,American Amber / Red Ale,6.30 %,Tilted Barn Brewery,Equinox
3906,American Amber / Red Ale,6.70 %,Chorlton Brewing Company,Sandalwood Ale
3907,American Amber / Red Ale,7.00 %,Brauerei Gasthof AnkerbrÃ $ u,Ankerla Kolonial Red Ale
3908,American Amber / Red Ale,5.00 %,Gambrinus,Galarneau
3909,American Amber / Red Ale,6.50 %,Ambitious Ales,Honey I Shrunk The Figs
3910,American Amber / Red Ale,6.70 %,Old Ivy Brewery and Taproom,Rediculous
3911,American Amber / Red Ale,7.40 %,Mad Hatter Brewing,Unhinged Amber
3912,American Amber / Red Ale,4.50 %,River Horse Brewing Co. .,Special Ale Aged With Chocolate And Arbol Chiles
3913,American Amber / Red Ale,5.50 %,La Brasserie Artisanale de Nice,Hopstock
3914,American Amber / Red Ale,5.20 %,Frothy Beard Brewing Company,Sumter Street Amber
3915,American Amber / Red Ale,5.00 %,BiÃ ¨ re du Vercors,BiÃ ¨ re Du Vercors AmbrÃ © e
3916,American Amber / Red Ale,6.30 %,Highlands Hollow Brewhouse,3 Speed
3917,American Amber / Red Ale,7.40 %,Rude Hippo Brewing Company,Honey Basil Amber
3918,American Amber / Red Ale,6.70 %,Granite Brewery & Restaurant,Harvest
3919,American Amber / Red Ale,6.20 %,Honey Hollow Brewing Co. .,Ruby Red
3920,American Amber / Red Ale,5.00 %,Bolero Snort Brewery,Crouching Tiger Ragin ' Bull
3921,American Amber / Red Ale,5.14 %,Navigation Brewing Co. .,Navigation Brewing Co. . American Amber Ale
3922,American Amber / Red Ale,5.00 %,Big River Brewpub,Riverport Traditional Ale
3923,American Amber / Red Ale,7.50 %,Buxton Brewery,Red Point IPA
3924,American Amber / Red Ale,-,192 Brewing Company & Lake Trail Taproom,Malty Amber
3925,American Amber / Red Ale,-,Au Brasseur,AmbrÃ © e St Guillaume
3926,American Amber / Red Ale,5.40 %,Ale Syndicate,1837 Red Special Edition
3927,American Amber / Red Ale,4.50 %,R. Shea Brewing,Rubber City Red
3928,American Amber / Red Ale,4.80 %,Triple Rock Brewery & Alehouse,Liar 's Moon
3929,American Amber / Red Ale,6.40 %,Off The Rail Brewing Company,Raybuck Red Ale
3930,American Amber / Red Ale,6.00 %,Alvarado Street Brewery & Grill,Resin Red
3931,American Amber / Red Ale,5.70 %,Stilt House Brewery,Weekender Amber Ale
3932,American Amber / Red Ale,3.80 %,Big Shed Brewery,Sentinel Amber Ale
3933,American Amber / Red Ale,5.90 %,Snake River Brewing Company & Brewpub,Graupel
3934,American Amber / Red Ale,-,Hawcreek Brewing Co. .,Get Down Ruby Red
3935,American Amber / Red Ale,5.30 %,Pyynikin KÃ $ sityÃ ¶ lÃ $ ispanimo,Papabeers Ruby Jazz Ale Special Edition
3936,American Amber / Red Ale,5.50 %,7 Devils Brewing Co. .,Arago Amber
3937,American Amber / Red Ale,5.00 %,Broken Goblet Brewing Company,Dog And Bull
3938,American Amber / Red Ale,8.70 %,Toxic Brewing Co. .,Imperial Ruby
3939,American Amber / Red Ale,6.00 %,Cold Water Brewery & Grill,Cold Water Amber
3940,American Amber / Red Ale,5.50 %,Levante Brewing Company,Harvest Amber
3941,American Amber / Red Ale,5.70 %,Still Hill Brewery,Red Storm Ryesing
3942,American Amber / Red Ale,6.50 %,BresaÃ ± Cerveza Artesanal,BresaÃ ± Tostada
3943,American Amber / Red Ale,5.00 %,Epidemic Ales,Red Plague
3944,American Amber / Red Ale,7.50 %,Brasserie C,Waroux - BiÃ ¨ re De ChÃ cents teau
3945,American Amber / Red Ale,5.00 %,BiÃ ¨ res De Saint-Louis,La Rousse De Saint-Louis
3946,American Amber / Red Ale,5.00 %,Bolero Snort Brewery,Ragin ' Bull 's Pecan Pie
3947,American Amber / Red Ale,-,Big Axe Brewery and B&B,Maple Wheat Amber Ale
3948,American Amber / Red Ale,5.00 %,Bull & Barrel Brew Pub,Left Hand Rye Pale Ale
3949,American Amber / Red Ale,6.20 %,Nevin 's Brewing Company,Mildly Confusing
3950,American Amber / Red Ale,-,Brasserie de Sulauze,Cabosse
3951,American Amber / Red Ale,5.60 %,Brew Practitioners Brewery & Taproom,Red Beer
3952,American Amber / Red Ale,5.30 %,Bridge Brewing Company,Ambleside Amber Ale - Pomegranate & Galena Hops
3953,American Amber / Red Ale,-,Dobler 's Brewery and Tavern,Oscar Red Ale
3954,American Amber / Red Ale,-,Weasel Boy Brewing Company,Feisty Fisher Amber Ale
3955,American Amber / Red Ale,5.50 %,Brasserie des Coteaux,Oxit AmbrÃ © e
3956,American Amber / Red Ale,5.30 %,Bridge Brewing Company,Ambleside Amber Ale
3957,American Amber / Red Ale,5.40 %,Bank Brewing Co. .,Rooster Lager
3958,American Amber / Red Ale,7.80 %,Adroit Theory Brewing Company,REDemption
3959,American Amber / Red Ale,6.00 %,Dangerous Man Brewing,Amber Ale With Spanish Orange
3960,American Amber / Red Ale,5.90 %,Kansas Territory Brewing Company,Horse Power
3961,American Amber / Red Ale,5.40 %,Three Forks Bakery & Brewing Co. .,Redux Red Ale
3962,American Amber / Red Ale,5.00 %,Savoie 's Brewhouse,Chaleur Phantom
3963,American Amber / Red Ale,9.00 %,Big Bay Brewing Co. .,Hop Around Imperial Red Ale
3964,American Amber / Red Ale,5.00 %,The Standeaven Brewery,Lager X ( # 13 )
3965,American Amber / Red Ale,5.90 %,Bank Brewing Co. .,Walleye Chop
3966,American Amber / Red Ale,-,Batch Brewing Co. .,Waldorf Nitro Amber Ale
3967,American Amber / Red Ale,8.50 %,Bulk Head Brewing Co. .,Hoppin Honey Red Ale
3968,American Amber / Red Ale,6.20 %,La Calavera,La Calavera Brettanojingo
3969,American Amber / Red Ale,6.80 %,Arkose Brewing,High Ridge Double Red
3970,American Amber / Red Ale,4.80 %,Holy City Brewing,The Liberation Libation
3971,American Amber / Red Ale,7.10 %,3cross Brewing Company,Batch # 0037 - Imperial Amber
3972,American Amber / Red Ale,3.50 %,O'Connor Brewing Co. .,Mild Child
3973,American Amber / Red Ale,5.00 %,Foley Brothers Brewing,Parley
3974,American Amber / Red Ale,5.60 %,Crafty Devil Brewing,Triple AAA
3975,American Amber / Red Ale,5.90 %,Block Brewing Company,Alias
3976,American Amber / Red Ale,6.00 %,Northumberland Hills Brewery,60 Miles From Bangor
3977,American Amber / Red Ale,-,First Draft - Niagara College Teaching Brewery,Certified Originals Sol Y Sambra
3978,American Amber / Red Ale,5.25 %,Westport Brewing,Sailor 's Delight Amber
3979,American Amber / Red Ale,5.20 %,450 North Brewing Company,Copperhead Road
3980,American Amber / Red Ale,6.90 %,Westport Brewing,Riptide
3981,American Amber / Red Ale,-,Moccasin Bend Brewing Co. .,Rover Capacity Red
3982,American Amber / Red Ale,6.00 %,Doomsday Brewing Company,Redemption Red
3983,American Amber / Red Ale,5.40 %,Cerveza Milana,Tostada
3984,American Amber / Red Ale,5.30 %,BadWolf Brewing Company,Sorachi Red
3985,American Amber / Red Ale,5.50 %,Oak Creek Brewing Co. .,Verde Canyon Railroad Copper Rail Ale
3986,American Amber / Red Ale,10.00 %,Escape Craft Brewery,Road Rage
3987,American Amber / Red Ale,-,Kinzua Dam Beer Company,My Hearts Content
3988,American Amber / Red Ale,5.00 %,Enki Brewing,Reunion
3989,American Amber / Red Ale,5.30 %,Canton Brew Works,Admiral Ambar
3990,American Amber / Red Ale,-,3 Floyds Brewing Co. .,Amber Smashed Face
3991,American Amber / Red Ale,5.40 %,Grain Station Brew Works,Nut Red
3992,American Amber / Red Ale,5.70 %,Pioneer Beer Company,Pioneer American Red Ale
3993,American Amber / Red Ale,8.80 %,Valholl Brewing Co. . LLC,No-Brainer
3994,American Amber / Red Ale,5.00 %,Resignation Brewery,KCCO Amber Ale
3995,American Amber / Red Ale,8.90 %,Valholl Brewing Co. . LLC,Kilted Viking
3996,American Amber / Red Ale,5.70 %,_ La FÃ '' t,Serie Brouepub Cascade Rousse
3997,American Amber / Red Ale,7.00 %,Cerveza Torquemada,Torquemada Sarmiento
3998,American Amber / Red Ale,4.80 %,Dorset Brewing Company,May-Bee
3999,American Amber / Red Ale,6.00 %,Kretschmann Brewing Company,Herrmann The Great
4000,American Amber / Red Ale,-,Village Brewery,Northern Red Ale
4001,American Amber / Red Ale,-,Upland Brewing Company,Stoaked Imperial Red
4002,American Amber / Red Ale,6.00 %,The Hourglass Brewery,Rose Bud
4003,American Amber / Red Ale,5.44 %,Barley John 's Brew Pub,Red 's On Vacation
4004,American Amber / Red Ale,-,Village Brewery,The Woodsman
4005,American Amber / Red Ale,5.00 %,Icicle Brewing Company,The Revival Of Refreshment
4006,American Barleywine,9.60 %,Sierra Nevada Brewing Co. .,Sierra Nevada Bigfoot Barleywine Style Ale
4007,American Barleywine,15.04 %,Dogfish Head Brewery,Olde School Barleywine
4008,American Barleywine,10.20 %,Great Divide Brewing Company,Old Ruffian Barley Wine
4009,American Barleywine,11.50 %,Central Waters Brewing Co. .,Brewer 's Reserve Bourbon Barrel Barleywine
4010,American Barleywine,9.20 %,Avery Brewing Company,Hog Heaven Barley Wine
4011,American Barleywine,11.00 %,Stone Brewing Co. .,Old Guardian Barley Wine Style Ale
4012,American Barleywine,11.00 %,Victory Brewing Company,Old Horizontal
4013,American Barleywine,10.50 %,3 Floyds Brewing Co. .,Behemoth Blonde Barleywine
4014,American Barleywine,10.60 %,Lagunitas Brewing Company,Olde GnarlyWine
4015,American Barleywine,9.30 %,TrÃ ¶ egs Brewing Company,TrÃ ¶ egs Flying Mouflan
4016,American Barleywine,11.00 %,AleSmith Brewing Company,AleSmith Old Numbskull
4017,American Barleywine,11.50 %,Rogue Ales,XS Old Crustacean
4018,American Barleywine,11.50 %,Hair of the Dog Brewing Company / Brewery and Tasting Room,Doggie Claws
4019,American Barleywine,12.20 %,Sierra Nevada Brewing Co. .,Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged
4020,American Barleywine,11.10 %,Uinta Brewing Company,Cockeyed Cooper
4021,American Barleywine,10.20 %,Brasserie Dieu Du Ciel,Solstice D'hiver
4022,American Barleywine,10.90 %,Green Flash Brewing Co. .,Barleywine Style Ale
4023,American Barleywine,10.40 %,Uinta Brewing Company,Anniversary Barley Wine Ale
4024,American Barleywine,12.00 %,Almanac Beer Co. .,Heirloom Pumpkin Barleywine
4025,American Barleywine,17.30 %,Anchorage Brewing Company,A Deal With The Devil
4026,American Barleywine,10.00 %,Boulder Beer / Wilderness Pub,Killer Penguin Barleywine
4027,American Barleywine,11.50 %,21st Amendment Brewery,Lower De Boom Barleywine
4028,American Barleywine,11.50 %,Boston Beer Company ( Samuel Adams ),Griffin 's Bow
4029,American Barleywine,11.50 %,Real Ale Brewing Company,Sisyphus
4030,American Barleywine,10.70 %,Alaskan Brewing Co. .,Alaskan Barley Wine ( Pilot Series )
4031,American Barleywine,11.60 %,Smuttynose Brewing Company,Smuttynose Barleywine Style Ale ( Big Beer Series )
4032,American Barleywine,11.50 %,East End Brewing Company,Gratitude
4033,American Barleywine,14.00 %,Alpine Beer Company,Great
4034,American Barleywine,10.00 %,Rock Art Brewery,The Vermonster
4035,American Barleywine,11.40 %,Mad River Brewing Company,John Barleycorn Barleywine Ale
4036,American Barleywine,10.30 %,Evil Twin Brewing,Evil Twin Freudian Slip
4037,American Barleywine,10.00 %,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,# 100
4038,American Barleywine,13.20 %,Firestone Walker Brewing Co. .,Helldorado
4039,American Barleywine,12.00 %,Mikkeller ApS,Big Worse
4040,American Barleywine,12.70 %,Great Divide Brewing Company,Barrel Aged Old Ruffian
4041,American Barleywine,11.00 %,Stone Brewing Co. .,Old Guardian Barley Wine Style Ale - Extra Hoppy
4042,American Barleywine,11.00 %,AleSmith Brewing Company,AleSmith Old Numbskull - Barrel Aged
4043,American Barleywine,12.50 %,3 Floyds Brewing Co. .,Barrel Aged Behemoth
4044,American Barleywine,9.00 %,Full Sail Brewery & Tasting Room & Pub,Old Boardhead Barleywine Ale
4045,American Barleywine,13.80 %,Hangar 24 Brewery,Barrel Roll No. 4 Hammerhead
4046,American Barleywine,10.00 %,Santa Fe Brewing Company,Chicken Killer Barley Wine
4047,American Barleywine,10.00 %,Moylan 's Brewery,Old Blarney Barleywine
4048,American Barleywine,10.60 %,DuClaw Brewing Company,Devil 's Milk
4049,American Barleywine,12.00 %,Big Sky Brewing Company,Olde Bluehair Barley Wine
4050,American Barleywine,9.60 %,Southern Tier Brewing Company,Oak-Aged Backburner ( Imperial Barley Wine Style Ale )
4051,American Barleywine,9.50 %,Berkshire Brewing Company Inc. .,Holidale
4052,American Barleywine,10.00 %,Blue Point Brewing Company,Blue Point Old Howling Bastard
4053,American Barleywine,10.50 %,Mendocino Brewing Company,Talon - True Style Barley Wine Ale
4054,American Barleywine,10.60 %,DuClaw Brewing Company,Hell On Wood
4055,American Barleywine,11.60 %,Rogue Ales,New Crustacean
4056,American Barleywine,10.00 %,Left Hand Brewing Company,Widdershins
4057,American Barleywine,11.00 %,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,Sunturnbrew
4058,American Barleywine,10.00 %,AleWerks Brewing Company,Grand Illumination
4059,American Barleywine,9.50 %,Speakeasy Ales & Lagers,Old Godfather
4060,American Barleywine,10.50 %,Free State Brewing Co. .,Old Backus Barleywine
4061,American Barleywine,11.00 %,Mendocino Brewing Company,Imperial Barley Wine Style Ale
4062,American Barleywine,11.80 %,New England Brewing Co. .,Premeditated Murder Barleywine
4063,American Barleywine,10.00 %,Thomas Hooker Brewing Company,Thomas Hooker Old Marley Barleywine
4064,American Barleywine,9.20 %,BridgePort Brewing Co. / Brewpub,Old Knucklehead Barleywine
4065,American Barleywine,10.00 %,Pipeworks Brewing Company,Santa Vs. Unicorn
4066,American Barleywine,10.20 %,Widmer Brothers Brewing Company,Old Embalmer
4067,American Barleywine,10.10 %,Redhook Ale Brewery,Redhook Treblehook
4068,American Barleywine,9.90 %,The Pike Brewing Company,Pike Old Bawdy Barley Wine
4069,American Barleywine,11.00 %,Short 's Brewing Company,Short 's The Wizard
4070,American Barleywine,10.00 %,Fish Brewing Company / Fishbowl Brewpub,10 Squared Fish Tale Ale
4071,American Barleywine,13.60 %,Firestone Walker Brewing Co. .,Maltose Falcons Brownywine
4072,American Barleywine,10.00 %,Alltech 's Lexington Brewing and Distilling Co. .,Kentucky Bourbon Barrel Barleywine
4073,American Barleywine,13.00 %,New England Brewing Co. .,Attempted RedRum
4074,American Barleywine,15.00 %,Dark Horse Brewing Company,Three Guy Off The Scale Barley Wine
4075,American Barleywine,10.00 %,Pipeworks Brewing Company,Reaper Vs. Unicorn
4076,American Barleywine,13.70 %,Steel Toe Brewing,Before The Dawn
4077,American Barleywine,9.90 %,Minneapolis Town Hall Brewery,Twisted Trace
4078,American Barleywine,10.10 %,Epic Brewing Company,Barley Wine
4079,American Barleywine,10.00 %,Trillium Brewing Company,Day & Night
4080,American Barleywine,9.20 %,Sebago Brewing Company,Single Batch Series - Barleywine
4081,American Barleywine,10.00 %,Jacob Leinenkugel Brewing Company,Big Eddy Ryewine Ale
4082,American Barleywine,10.00 %,Half Acre Beer Company,Quakerbridge
4083,American Barleywine,11.20 %,Stone Brewing Co. .,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged
4084,American Barleywine,11.50 %,Deep Ellum Brewing Company,Numb Comfort
4085,American Barleywine,10.50 %,Thirsty Dog Brewing Company,Bernese Barleywine Ale
4086,American Barleywine,10.00 %,Fish Brewing Company / Fishbowl Brewpub,Fish Tale Leviathan Barleywine
4087,American Barleywine,11.00 %,Southampton Publick House,Old Herb Barleywine
4088,American Barleywine,11.60 %,Driftwood Brewery,Old Cellar Dweller
4089,American Barleywine,11.50 %,Cambridge Brewing Company,Blunderbuss Barleywine
4090,American Barleywine,18.50 %,Mikkeller ApS,Big Worst
4091,American Barleywine,11.00 %,Short 's Brewing Company,Short 's Bourbon Barrel Aged Wizard
4092,American Barleywine,11.00 %,Alley Kat Brewing Company,Olde Deuteronomy
4093,American Barleywine,10.40 %,Tenaya Creek Brewery,Tenaya Creek Old Jackalope Barleywine
4094,American Barleywine,13.40 %,TrÃ ¶ egs Brewing Company,TrÃ ¶ egs Flying Mouflan ( Bourbon Barrel Aged )
4095,American Barleywine,11.00 %,Bluegrass Brewing Co. - East St. Matthew 's,Bearded Pat 's Barleywine
4096,American Barleywine,11.50 %,Black Raven Brewing Co. .,Old Birdbrain
4097,American Barleywine,8.70 %,Appalachian Brewing Company,Broad Street Barley Wine
4098,American Barleywine,11.10 %,The Bruery,Oaked Old Richland
4099,American Barleywine,12.10 %,Nebraska Brewing Company,Fathead Barleywine - Reserve Series Aged In Whiskey Barrels
4100,American Barleywine,9.00 %,Marin Brewing Company,Bourbon Barrel-Aged Old Dipsea With Brett
4101,American Barleywine,17.00 %,Kuhnhenn Brewing Company,Kuhnhenn Extraneous Ale
4102,American Barleywine,10.00 %,Telegraph Brewing Company,Rhinoceros
4103,American Barleywine,11.00 %,Solemn Oath Brewery,Tickle Fight
4104,American Barleywine,12.00 %,Santa Fe Brewing Company,Kickin ' Chicken Bourbon Barrel Barley Wine
4105,American Barleywine,9.60 %,Marin Brewing Company,Old Dipsea Barleywine Style Ale
4106,American Barleywine,11.50 %,Live Oak Brewing Company,Live Oak Old Treehugger Barleywine
4107,American Barleywine,9.85 %,Elysian Brewing Company,Cyclops Barleywine
4108,American Barleywine,17.00 %,Alpine Beer Company,Good
4109,American Barleywine,9.50 %,Ballast Point Brewing Company,3 Sheets Barleywine
4110,American Barleywine,14.20 %,Mystic Brewery,Entropy
4111,American Barleywine,12.40 %,Shmaltz Brewing Company,He'Brew Jewbelation 18
4112,American Barleywine,11.70 %,Ninkasi Brewing Company,Critical Hit
4113,American Barleywine,10.00 %,Rock Art Brewery,Bourbon Barrel Aged Vermonster
4114,American Barleywine,10.00 %,FiftyFifty Brewing Co. .,Annularity
4115,American Barleywine,12.25 %,NÃ ¸ rrebro Bryghus,Little Korkny Ale
4116,American Barleywine,10.00 %,Dick 's Brewing Company,Dick 's Barley Wine
4117,American Barleywine,11.20 %,Stone Brewing Co. .,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged
4118,American Barleywine,17.00 %,Kuhnhenn Brewing Company,Kuhnhenn Vintage Ale
4119,American Barleywine,10.40 %,Bear Republic Brewing Co. .,Olde Scoutter 's Barleywine
4120,American Barleywine,11.25 %,Bristol Brewing Company,Old No. 23
4121,American Barleywine,10.00 %,Mother 's Brewing Company,Foggy Notion
4122,American Barleywine,11.50 %,Kuhnhenn Brewing Company,Kuhnhenn American Barley Wine
4123,American Barleywine,9.80 %,Tampa Bay Brewing Co. .,Moosekiller Barley Wine Style Ale
