beer_id,beer_item,alcohol_content,beer_subtype,brewer_name
907,Milwaukee Ale House Louies Resurrection,7.50 %,Amber Ale,Milwaukee Ale House
908,McMinnville Malthouse Scaredman Cream Ale,5 %,Cream Ale,McMinnville Malthouse
909,Heartland Belgian Red Rooster,5.50 %,Amber Ale,Greenpoint Beer Works
910,Rocky Mountain Spirit Hill Amber,-,Amber Ale,Rocky Mountain Brewery
911,Rock Bottom Arlington Oatmeal Amber Ale,5.30 %,Amber Ale,Rock Bottom Arlington
912,Rhinelander Bad Hare Red Ale,5.50 %,Amber Ale,Minhas Craft Brewery
913,Rock Bottom Des Moines Mud in Your Eye Red,-,Amber Ale,Rock Bottom Des Moines
914,Avalanche Treasure Mountain Pale Ale,5.50 %,American Pale Ale,Avalanche Brewing Company
915,Pizza Boy Simcoe SamuRYE,6.80 %,Specialty Grain,Pizza Boy Brewing
916,Slow Boat Knot 51 Red Ale,5 %,Amber Ale,Slow Boat Brewery
917,Rock Bottom Minneapolis Mary Jane Amber Ale,5.70 %,Amber Ale,Rock Bottom Minneapolis
918,1912 Hoppy Amber,6.20 %,Amber Ale,1912 Brewing Company
919,Pinglehead / Brewer_s Pizza Artisans Blobde Ale,6.80 %,Golden Ale/Blond Ale,Pinglehead Brewing Co. / Brewer_s Pizza
920,Big Axe Amber Ale,5 %,Amber Ale,Big Axe Brewing Company
921,Flytrap Belgian Blonde,5.70 %,Belgian Ale,Flytrap Brewing
922,Suomenlinnan Coyet Ale,4.50 %,Bitter,Suomenlinnan Panimo
923,Backyard Brew Pub Rocking Red Chair,-,Amber Ale,Joseph James Brewing Company
924,Secret Engine Das Saftige,6.20 %,Amber Lager/Vienna,Rocky Point Artisan Brewers
925,Crown City Arroyo Amber Ale,-,Amber Ale,Crown City Brewery
926,Bruuveri Coral Reef Pretty Baby,5.50 %,India Pale Ale &#40; IPA &#41;,Panimoravintola Bruuveri
927,3 Rivers Delta Dark,5 %,Mild Ale,3 Rivers
928,Blackstone Sweet Tooth,-,Cream Ale,Blackstone Restaurant & Brewery
929,Anderson Valley Boont Barl Bourbon Barrel Amber Ale,6 %,Amber Ale,Anderson Valley Brewing Company
930,Shoreline Region Rat Red Ale,-,Irish Ale,Shoreline Brewery
931,Broadoak Amber Jack Cider,7.50 %,Cider,Broadoak Cider
932,Bemidji Harvest Red Ale,5.60 %,Amber Ale,Bemidji Brewing Company
933,_ t IJ Columbus,9 %,Belgian Strong Ale,Brouwerij _ t IJ
934,Bin SaskAle Prairie Grass Ale,5 %,Pale Lager,Great Western Brewing &#40; Canadian Brewing &#41;
935,Mad Beach #amberale,5.70 %,Amber Ale,Mad Beach Craft Brewing Company
936,Brew Brothers Copperopolis,-,Amber Ale,Brew Brothers &#40; Reno El Dorado Casino &#41;
937,21st Amendment Red Dwarf,7.10 %,Amber Ale,21st Amendment Brewery
938,Sackets Harbor War of 1812 Ale,5.20 %,Amber Ale,Olde Saratoga Brewing &#40; Mendocino Brewing Co. &#41;
939,Rateliers Bell de Loing AmbrÃ © e,5.90 %,Amber Ale,Les RÃ cents teliers
940,300 Suns Raspberry Red,-,Fruit Beer,300 Suns Brewing
941,Harmony Jackson_s Joy,6.80 %,Oktoberfest/M Ã $ rzen,Harmony Brewing Company
942,WeldWerks Red,5.80 %,Irish Ale,WeldWerks Brewing Co. .
943,Bare Hands Nugget Amber,5.50 %,Amber Ale,Bare Hands Brewery
944,Plattsburgh Brewing Spitfire Red Ale,5.20 %,Amber Ale,Plattsburgh Brewing Company
945,Dunedin IPA Chronicle 8 : Scottish,7.30 %,India Pale Ale &#40; IPA &#41;,Dunedin Brewery
946,Amsterdam Big Wheel Deluxe Amber Beer,5 %,Amber Ale,Amsterdam Brewing Company
947,Tommyknocker Mountain City Amber Ale,5.40 %,Amber Ale,Tommyknocker Brewery
948,Lovibonds Henley Amber,3.40 %,Bitter,Lovibonds
949,Rockaway Double Curiosity,9.50 %,American Strong Ale,Rockaway Brewing Company
950,AJ_s Ales Ruby Red,4.40 %,Bitter,AJ_s Ales
951,Lighthouse Lumberjack Amber Ale,-,Amber Ale,Lighthouse Brewing Company &#40; USA &#41;
952,2 Brothers Rusty,4.70 %,Belgian Ale,2 Brothers Brewery
953,3 Rivers Pilgrims Progress,4.20 %,Golden Ale/Blond Ale,3 Rivers
954,14th Star Valor Ale,5.40 %,Amber Ale,14th Star Brewing Company
955,Baerlic Primeval Brown Ale,6.80 %,Brown Ale,Baerlic Brewing
956,Von Jakob Red Ale,-,American Pale Ale,Von Jakob Vineyard & Brewery
957,Cornerstone Patriot Red,5.80 %,Amber Ale,Cornerstone Brewing Company
958,Blue Mountain / Beer Run PR Job,5.70 %,India Pale Ale &#40; IPA &#41;,Blue Mountain Brewery
959,Benford Summer Irish Blonde,5 %,Golden Ale/Blond Ale,Benford Brewing
960,Brown Ales Full Metal Jacket,5.50 %,American Pale Ale,Ashover
961,Right Brain Northern Hawk Owl Amber,5.80 %,Amber Ale,Right Brain Brewery
962,Draught Works Shadow Caster,5 %,Altbier,Draught Works Brewery
963,Former Future Second Story,5.30 %,Amber Ale,Former Future Brewing Company
964,Audacity Wallonia,4.50 %,Saison,Audacity Brew House
965,1565 Victory Lager,4.50 %,Pale Lager,LÃ ¶ wenbrÃ $ u Munich &#40; InBev &#41;
966,The Beer Diviner Rudy_s Hammer Pale Ale,5.50 %,English Pale Ale,Bly Hollow Brewery
967,Sornin AmbrÃ © e &#40; Biere du Sornin &#41;,5.90 %,Amber Ale,Les Brasseurs du Sornin
968,Swamp Head Lost in Time Amber Ale,5.80 %,Amber Ale,Swamp Head Brewery
969,Bad Bear Amber Ale,5 %,Amber Ale,Bad Bear Brewery
970,Duncans Founders 1903 Red Ale,5.50 %,Amber Ale,Duncans Founders Brewery &#40; Independent Breweries NZ &#41;
971,Full Sail Nugget Special Red Ale,6.50 %,Amber Ale,Full Sail Brewing Company
972,William Street Red Sky Amber Ale,5 %,Amber Ale,William Street Beer Co. .
973,Pitchfork Cranberry Cheer Amber,6 %,Fruit Beer,Pitchfork Brewing Company
974,Arcadia Panama Red,7 %,Smoked,Arcadia Brewing Company
975,La Fabrique Salamagone,5 %,American Pale Ale,La Fabrique
976,Small Batch A Player to be Named Later,4.10 %,Amber Ale,Small Batch Beer Company
977,Barley Macca Meda,7.80 %,Amber Ale,Birrificio Barley
978,BRASSTA Rousse et Or,6.50 %,Irish Ale,Brasseurs du Nord
979,Celestial Meads Odins Gift,13.50 %,Mead,Celestial Meads
980,Kern River Dirty Hippie Imperial Red Ale,8 %,American Strong Ale,Kern River Brewing
981,Minhas Lazy Mutt Alberta Red Ale,5 %,Amber Ale,Minhas Micro Brewery - Calgary
982,Twin Peaks Ride The Hoh &#033; Red Ale,-,Irish Ale,Twin Peaks Brewing and Malting Company
983,Bear Creek Log Jam Amber,-,Amber Ale,Bear Creek Brewing Company
984,New Glory Rapid Fire Red Ale,5.90 %,Amber Ale,New Glory Craft Brewery
985,I & I Bitter Orange Blossom,5.30 %,Amber Ale,I & I Brewing
986,Scuttlebutt Amber Ale,5.10 %,Amber Ale,Scuttlebutt Brewing Co. .
987,Carlsberg Brewmasters Collection India Pale Ale,5.20 %,India Pale Ale &#40; IPA &#41;,Carlsberg Brewery
988,Loch Lomond The Ale of Leven,4.50 %,Bitter,Loch Lomond
989,Maku Amber Ale,4.50 %,Amber Ale,Maku Brewing
990,Isle of Mull The Red Monk of Iona,4.20 %,Amber Ale,Oban Bay &#40; Argyll Breweries &#41;
991,Multi-Brasses Buck Rousse,5 %,Amber Ale,Multi-Brasses
992,Aslan Alpenglow Summer Ale,5.70 %,Golden Ale/Blond Ale,Aslan Brewing Company
993,Green Room Ravenous Ruby Red,4.90 %,Amber Ale,Green Room Brewing &#40; FL &#41;
994,Ithaca Cascazilla,7 %,Amber Ale,Ithaca Beer Company
995,Kona Aina Brown Ale,-,Brown Ale,Kona Brewing Company
996,Mountain Town Cow Catcher Red Ale,5.80 %,Amber Ale,Mountain Town Brewing Company
997,Ice Harbor Double Red Ale - Fresh Hop,7 %,Amber Ale,Ice Harbor Brewing Company
998,Liberator Carols Speckelbelly Amber,5 %,Amber Ale,Liberator Brewing
999,Firehouse Smokin _ Betty,7.50 %,Smoked,Firehouse Brewing Company &#40; SD &#41;
1000,BJ_s Goliath,9 %,Barley Wine,BJ_s Restaurant & Brewhouse
1001,Banger Rebellion Red,5.20 %,Irish Ale,Banger Brewing Company
1002,Smog City Sabre Toothed Squirrel,5.90 %,Amber Ale,Smog City Brewing
1003,Bushnell Bofuss Amber Ale,5.20 %,Amber Ale,Bushnell Craft Brewing
1004,Wendlandt Harry Polanco Red Ale,5.40 %,Amber Ale,CervecerÃa Wendlandt
1005,Blue Ridge Hiawassee Golden Ale,5.30 %,Golden Ale/Blond Ale,Blue Ridge Brewery
1006,Maui Brewing Hole in the Head Red,5.80 %,Amber Ale,Maui Brewing Company
1007,Schoune Alsacienne Pale Ale,6.50 %,India Pale Ale &#40; IPA &#41;,Ferme Brasserie Schoune
1008,5 Seasons Westside Jurassic Fat Lip Belgian Amber,-,Belgian Ale,5 Seasons Westside
1009,Oskar Blues G_Knight &#40; Apple Whiskey Barrel &#41;,8.70 %,American Strong Ale,Oskar Blues Brewery
1010,Bells Debs Red Ale,7 %,Amber Ale,Bells Brewery
1011,Great Waters Killybegs Amber Ale,6.40 %,Amber Ale,Great Waters Brewing
1012,Alpha Four Horsemen CuveÃ ©,8 %,Sour/Wild Ale,Alpha Brewing Company
1013,Atom Rare Earth,5.50 %,Specialty Grain,Atom
1014,Milwaukee Ale House Scooter Ale,-,Amber Ale,Milwaukee Ale House
1015,3 Ravens / Bacchus / Holgate / Moo Brew The Congress,6 %,Smoked,3 Ravens
1016,Reads Landing Cap_n Amber,5.20 %,Amber Ale,Reads Landing Brewing Company
1017,Blue Monkey Monkey Wrench,4.60 %,Golden Ale/Blond Ale,Blue Monkey
1018,Carlow O_Hara_s / Starr Hill Foreign Affair,4.80 %,India Pale Ale &#40; IPA &#41;,Carlow
1019,Tapistry Amber Cadabra,4.80 %,Amber Ale,Tapistry Brewing
1020,FlyCaster Yakima River Red,-,Amber Ale,FlyCaster Brewing Company
1021,Alehouse Yet Another Tick &#033;,3.80 %,Bitter,Verulam
1022,5 Rabbit Gringolandia Series : Magnifica Wheat,4.80 %,Wheat Ale,5 Rabbit Cerveceria
1023,Britt Chat-Malo,5.40 %,Amber Lager/Vienna,Britt &#40; Brasserie de Bretagne &#41;
1024,Caleya Mayuca Amber,5.70 %,Amber Ale,Cerveza Caleya
1025,Out of Bounds Relentless Double Red Ale,8.20 %,American Strong Ale,Out of Bounds Brewing Company
1026,ShuBrew Heart and Sole Imperial Red Ale,6.80 %,American Strong Ale,ShuBrew
1027,Beaver Island Fabulous Armadillo Session IPA,4.70 %,Session IPA,Beaver Island Brewing Company
1028,Duck Foot Red Ale,5.60 %,Amber Ale,Duck Foot Brewing Company
1029,Beer Works Amber Chai,6 %,Spice/Herb/Vegetable,Beer Works
1030,Offshore Amber Ale,5 %,Amber Ale,Offshore Ale Company
1031,Arbor Red Dawn American Amber,5.30 %,Amber Ale,Arbor Brewing Company Pub & Eatery
1032,Fall Unicorn Stampede,6.60 %,Amber Ale,Fall Brewing Company
1033,Seven Arrows Maelstrom Red,6.10 %,Amber Ale,Seven Arrows Brewing Company
1034,Heartly Amber Ale Lucky Rhino,5.50 %,Amber Ale,Heartly Craft Brewery
1035,Florida Orange Groves Orange Blossom Honey Wine,11 %,Mead,Florida Orange Groves
1036,Intuition Ale Works Jesses Girl,9 %,Abt/Quadrupel,Intuition Ale Works
1037,Franklins Anacostia Ale,5.10 %,Amber Ale,Brewery & General Store
1038,Lancaster Hop Buggy Amber Ale,5.60 %,Amber Ale,Lancaster Brewing Co. .
1039,Santa Cruz Mountain Nicky 666,8.50 %,American Strong Ale,Santa Cruz Mountain Brewing
1040,Able Ebenezer Emma Wood Pale Ale,5 %,Belgian Ale,Able Ebenezer Brewing Company
1041,Briarbank Cardinale Wolsey,4 %,Old Ale,Briarbank Brewing
1042,#Freedom A Toast,5.50 %,Brown Ale,#Freedom Craft Brewery
1043,1933 Dry Hopped Irish Red,6 %,Irish Ale,1933 Brewing Company
1044,New Boswell The Hoppit Amber Ale,6 %,Amber Ale,New Boswell Brewing Company
1045,DryHop Photobomb,8.40 %,American Strong Ale,DryHop Brewers
1046,Eugene City Natty Red,9.50 %,American Strong Ale,Eugene City Brewery & Rogue Ales
1047,Queens Head Fuggles Red Ale,5.90 %,Amber Ale,Queens Head &#40; UK &#41;
1048,Hillcrest Big Red Balls,8 %,Imperial IPA,Hillcrest Brewing Company
1049,Arcadia Salted Caramel Amber,6 %,Amber Ale,Arcadia Brewing Company
1050,BandWagon North by Northwest,5.30 %,Amber Ale,BandWagon Brewpub
1051,Barley Brothers Freedom Bridge Amber Ale,-,Amber Ale,Barley Brothers Brewery and Grill
1052,Shine Down Dog Imperial Red,9 %,American Strong Ale,Shine Brewing Co. .
1053,Rockslide Rabbit Ears Amber Ale,6 %,Amber Ale,Rockslide Brew Pub
1054,Headstrong Mulish Amber Ale,4 %,Amber Ale,Headstrong Brewery
1055,SPB Barrel Aged Mississippi Fire Ant,8 %,American Strong Ale,Southern Prohibition Brewery
1056,The Libertine Pub / ManRock Brewery Amber Sour Mash,5 %,Sour/Wild Ale,The Libertine Pub
1057,Karma Amber Doll,6.80 %,Spice/Herb/Vegetable,Karma
1058,American Sky Curly Juniper Pale Ale,-,American Pale Ale,Hudson Brewing Company
1059,Storybook Little Red_s Rocking Ale,6 %,Amber Ale,Storybook Brewing
1060,Aftershock Red Alert,5.20 %,Amber Ale,Aftershock Brewing Company
1061,American Winter Classic,8.20 %,American Strong Ale,American Brewing Company
1062,Aarup Red Bitter Ale,5.50 %,Premium Bitter/ESB,Aarup Bryghus
1063,Epic Carolina,7.20 %,Amber Ale,Steam Brewing Company
1064,10 Barrel Rude Boy Rye,4.90 %,Specialty Grain,10 Barrel Brewing &#40; AB InBev &#41;
1065,J.G. Crummers Kick Arse Ale,4.40 %,Amber Ale,Custom Brewcrafters
1066,Bootstrap Red Beerd,5.30 %,Irish Ale,Bootstrap Brewing
1067,Pat O_Hara Attitude Adjustment,5.50 %,Amber Ale,Pat O_Hara Brewing Company
1068,Hilton Head Calibogue Amber,5 %,Amber Ale,Hilton Head Brewing Company
1069,Hammond River Red Coat India Red Ale,6.50 %,Amber Ale,Hammond River Brewing
1070,Los Muertos Agave Maria Amber Ale,5.10 %,Amber Ale,Los Muertos Brewing
1071,Denver Beer Mud Bug Amber,-,Amber Ale,Denver Beer Company
1072,Full Sail Amber Ale,5.50 %,Amber Ale,Full Sail Brewing Company
1073,Upland Rad Red Amber Ale,5.60 %,Amber Ale,Upland Brewing Company
1074,Sarasota Brewing Ya Mills Honeymeade Ale,7 %,Amber Ale,Sarasota Brewing Company
1075,Funky Buddha Combat Rock,5.20 %,Amber Ale,Funky Buddha Brewery
1076,Black Market Holiday 2014 - Triple Black Rye IPA,11.20 %,American Strong Ale,Black Market Brewing Company
1077,Aux Fous Brassant Hurluberlue,4.80 %,Amber Ale,Aux Fous Brassant
1078,Bredalens GÃ ¥ rdscider,8.30 %,Cider,Bredalens GÃ ¥ rdsmusteri
1079,Charleston Brewing Westward Gaze,5.80 %,Amber Ale,Charleston Brewing Company &#40; WV &#41;
1080,3 Sheeps Rebel Kent The First,5 %,Belgian Ale,3 Sheeps Brewing Company
1081,Bowser Winifred Red Raider Ale,5.50 %,Amber Ale,Bowser Brewing Company
1082,75th Street Waldo Wallace Scotch Ale,-,Scotch Ale,75th Street Brewery
1083,RÃ ¥ danÃ $ s Hillbilly Red Ale,5 %,Amber Ale,RÃ ¥ danÃ $ s Bryggeri
1084,Plank Town Lil Red Ryder Ale,4.90 %,Amber Ale,Plank Town Brewing Company
1085,Rockyard Blarney Rock Irish Ale,-,Irish Ale,Rockyard Brewing Company
1086,Gusswerk AAA Austrian Amber Ale,5.60 %,Amber Ale,Brauerei Gusswerk
1087,Titletown Toasted Oats and Molasses Brown Ale,6 %,Brown Ale,Titletown Brewing Company
1088,Bike Rack Rusty Tricycle,5 %,Amber Ale,Bike Rack Brewing Company
1089,AllGates Bottoms Up,4.20 %,Bitter,AllGates
1090,Below Grade Super Duty Double Red Ale,7.70 %,American Strong Ale,Below Grade Brewing LLC
1091,Hideout Hired Gun Red,5.50 %,Irish Ale,The Hideout Brewing Company
1092,3 Guys & A Beer_d Happy Holidays De-Icer,-,Amber Ale,3 Guys & A Beer_d Brewing Company
1093,DuClaw Misfit Red,5.10 %,Amber Ale,DuClaw Brewing Company
1094,Georgetown SuperChopp,7.20 %,American Strong Ale,Georgetown Brewing Company
1095,Beaver Creek Castor Mexican Amber,4.60 %,Amber Ale,Beaver Creek Brewery
1096,Boxing Cat Firecracker Imperial Red Ale,6.60 %,Amber Ale,Boxing Cat Brewery
1097,Stadtguet Amber,4.80 %,Amber Ale,Stadtguet
1098,The Hop Garden Sunset Imperial Amber,8.50 %,American Strong Ale,House of Brews
1099,Ironwood St. Colombanos Of Bobbio Not So Red,5 %,Irish Ale,Ironwood Brewing Co. . LLC
1100,Southern Star Red Cockaded Ale,8.50 %,Imperial IPA,Southern Star Brewing Company
1101,Brooksville Hot Head Red Ale,6 %,Amber Ale,Brooksville Brewing Company
1102,Bridger Roosevelt Red Ale,6.20 %,Amber Ale,Bridger Brewing
1103,Tumbledown Imp Imperial Red Ale,7.80 %,American Strong Ale,Tumbledown Brewing LLC
1104,Blackstone Red Trail Ale,4.60 %,Amber Ale,Blackstone Restaurant & Brewery
1105,Wensky Saci American Amber Ale,5.10 %,Amber Ale,Wensky Beer
1106,De Koninck TSTBRW 01 Imperial Red Ale,7.80 %,American Strong Ale,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;
1107,Rapscallion Blessing,8 %,American Strong Ale,Paper City Brewery
1108,Minhas Fire Brew Red Ale,5.50 %,Amber Ale,Minhas Craft Brewery
1109,Fat Head_s Autumn Brisk Amber Ale,6.10 %,Amber Ale,Fat Head_s Brewery & Saloon
1110,Red Castle Scarlet Throne Amber IPA,-,India Pale Ale &#40; IPA &#41;,Red Castle Brewery & Distillery
1111,Black Iris Bleeding Heart,4.50 %,Specialty Grain,Black Iris
1112,Bravo Zulu Ember Amber Ale,5.60 %,Amber Ale,Bravo Zulu Brewing
1113,Books & Brews Clifford The Lil Red Ale,5 %,Amber Ale,Books & Brews
1114,St Brigid_s TKO Amber Ale,6 %,Amber Ale,St Brigid_s Brewery
1115,Wasatch Evolution Amber Ale,4 %,Amber Ale,Wasatch Brewery
1116,Cellarmaker Schwag,5 %,Brown Ale,Cellarmaker Brewing Company
1117,Dogfish Head Black and Red,10.50 %,Spice/Herb/Vegetable,Dogfish Head Brewery
1118,Amber Summer Bock,4.50 %,Bitter,Amber
1119,Peter Bs Sum Of Hours Imperial Red Ale,9.50 %,American Strong Ale,Peter Bs Brewpub
1120,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,8 %,American Strong Ale,Figueroa Mountain Brewing
1121,Horse Heaven Hills Mustang Red,-,Amber Ale,Horse Heaven Hills Brewery
1122,De Molen Pais & Vree,10.10 %,Belgian Strong Ale,Brouwerij de Molen
1123,Cherry Street The Redcoats Are Cumming,9.70 %,American Strong Ale,Cherry Street Brewing Cooperative
1124,Big Nose Red Ale,-,Amber Ale,Big Nose Brewing
1125,Atlas Orange is the New Red,5.50 %,Amber Ale,Atlas Brewing Company
1126,Lakeland Brewing Company Damn It,6.80 %,Specialty Grain,Lakeland Brewing Co. & Old School Annex
1127,Prodigal Son Righteous Indignation Organic Red,5.50 %,Amber Ale,Prodigal Son Brewery
1128,Kona Lavaman Red Ale,5.60 %,Amber Ale,Kona Brewing Company
1129,Nebraska Ninja Gnome &#40; Inception Series &#41;,10.60 %,Spice/Herb/Vegetable,Nebraska Brewing Company
1130,Alpine Dog Howl At The Moon Imperial Red,8 %,American Strong Ale,Alpine Dog Brewery
1131,Seven Brides Waldo Hills IRA,5.50 %,India Pale Ale &#40; IPA &#41;,Seven Brides Brewing Company
1132,Firehall Stoked Ember Ale,4.80 %,Amber Ale,Firehall Brewery
1133,Glasstown Fortescue Fisherman_s Ale,4.50 %,American Pale Ale,Glasstown Brewing Company
1134,Burial / Quest Calumet Strawberry Rhubarb Grisette,5 %,Saison,Burial Beer Company
1135,Revolutions / Five Towns Scary Monsters,4.50 %,Black IPA,Revolutions
1136,Excel My Hoppy Valentine,6.50 %,Amber Ale,Excel Brewing Company
1137,Fetching Lab Round Up Amber,6.20 %,Amber Ale,Fetching Lab Brewery
1138,Ore Dock Good Grist,5.80 %,Specialty Grain,Ore Dock Brewing Company
1139,Adnams / The Alchemist Enraptured,5.50 %,Amber Ale,Adnams
1140,1516 Pub & Brewery May Smoked Ale,4.50 %,Smoked,1516 Pub & Brewery
1141,Off the Grid Trail Blazer Red,7 %,American Strong Ale,Inland Empire Brewing
1142,Rogue Dry Hopped St. Rogue Red Ale,5.20 %,Amber Ale,Rogue Ales
1143,Ipswich Harvest Ale,6.90 %,India Pale Ale &#40; IPA &#41;,Ipswich Ale Brewery
1144,Alley Kat Dragon Series Bearded Dragon Imperial Red IPA,8 %,Imperial IPA,Alley Kat Brewing Company
1145,Ragtime Tavern Atlantic Beach Amber,6 %,Amber Ale,Ragtime Tavern &#40; Gordon Biersch &#41;
1146,3Cross Kannibaal,7.50 %,Amber Ale,3Cross Brewing Company
1147,Mismatch Archie_s Red Ale,5 %,Amber Ale,Big Shed Brewing Concern
1148,Twains River Sunset Amber,5.70 %,Amber Ale,Twains Billiards and Tap
1149,Elk Grove Woodys Hophead Red,-,Amber Ale,Elk Grove Brewery
1150,Amherst Ace in the Hole Pilsner,4.50 %,Pilsener,Amherst Brewing Company
1151,Gallo Red Lager,5.30 %,Amber Lager/Vienna,Cerveceria Centro Americana
1152,Big Muddy Saluki Dunkeldog Dark Amber,5.40 %,Amber Ale,Big Muddy Brewing Company
1153,Short_s Proverbial Mind Spread,6.60 %,Amber Ale,Short_s Brewing Company
1154,Bear Republic Smoked Prickly Pear Lager,7.50 %,Amber Lager/Vienna,Bear Republic Brewing Company
1155,Franciscan Well Rebel Red Ale,4.30 %,Irish Ale,Franciscan Well &#40; MolsonCoors &#41;
1156,Bad Weather Windvane Minnesota Red Ale,6 %,Amber Ale,Lucid Brewing Company
1157,TwoRows Jalapeno Route 66 Amber Ale,-,Spice/Herb/Vegetable,TwoRows Restaurant & Brewery
1158,North Mountain Octomalt,6.70 %,Amber Ale,North Mountain Brewing Company
1159,Liquid Laundry Sleepless In Saison,7 %,Saison,Liquid Laundry
1160,Noire et Blanche B_rousse Willis,4.70 %,Specialty Grain,Brasseur De MontrÃ © al
1161,4th Street Red Lager,5.80 %,Amber Lager/Vienna,4th Street Brewing Co
1162,Big Rock Paradox Dark Light Ale,3.75 %,Mild Ale,Big Rock Brewery
1163,Intuition Barrel Aged Riverside Red,7.80 %,Amber Ale,Intuition Ale Works
1164,Tooborac Woodcutter_s Amber Ale,5.50 %,Amber Ale,Tooborac Hotel and Brewery
1165,Outpost Mr. Grain Jeans Organic Amber Ale,5.50 %,Amber Ale,Lakefront Brewery
1166,Aftershock Oatmeal Raisin Cookie Ale,5.50 %,Golden Ale/Blond Ale,Aftershock Brewing Company
1167,Harbor City Mile Rock Amber Ale,-,Amber Ale,Sand Creek Brewing Company
1168,Cambridge 25th Anniversary Imperial Amber Ale,9 %,Amber Ale,Cambridge Brewing Company
1169,Rincon Warrior Pride Red Ale,4.90 %,Amber Ale,Rincon Brewery
1170,Buffys Garnet,4.80 %,Premium Bitter/ESB,Buffys
1171,Iron Springs Anne Marie_s Amber,7 %,Amber Ale,Iron Springs Pub and Brewery
1172,Cigar City French Toast Brown Ale,5.50 %,Brown Ale,Cigar City Brewing
1173,Bear Republic Rebellion IPA &#40; 05256 &#41;,6 %,India Pale Ale &#40; IPA &#41;,Bear Republic Brewing Company
1174,Flossmoor Station Barrel Aged Panama Limited Red Ale,6.50 %,Amber Ale,Flossmoor Station Restaurant & Brewery
1175,Solemn Oath Ultrahighfrequency,7.50 %,Amber Ale,Solemn Oath Brewery
1176,Bear Republic Speed Bump,4.60 %,Amber Ale,Bear Republic Brewing Company
1177,Capitol City Amber Waves Ale,5.60 %,Amber Ale,Capitol City Brewing Company
1178,Flat Tail Amber Ale,5 %,Amber Ale,Flat Tail Brewing Company
1179,M.T. Head Punter_s Special Ale,6 %,Irish Ale,M.T. Head Brewing Co
1180,Blue Skye Fire Engine Red,4.70 %,Amber Ale,Blue Skye Brewery and Eats
1181,Hale_s Red Menace Big Amber,4.80 %,Amber Ale,Hale_s Ales
1182,Zaftig Heavy Hearted Amber Ale,6.10 %,Amber Ale,Zaftig Brewing Company
1183,Pacific Crest Dryhopped Red,5.30 %,Amber Ale,Pacific Crest Brewing Company
1184,Secret Engine Sticke Handwerker,6.70 %,Altbier,Rocky Point Artisan Brewers
1185,Big Time Dragonfly,4.70 %,American Pale Ale,Big Time Brewery
1186,Get Well Amarillo Sunrise Amber Ale,-,Amber Ale,Get Well
1187,Ellicott Mills Redrum Ale,5.30 %,Amber Ale,Ellicott Mills Brewing
1188,Declaration Hardtack Copper,5.30 %,Amber Ale,Declaration Brewing
1189,Coronado Rambler_s Red,5 %,Irish Ale,Coronado Brewing Company
1190,Mehana Volcano Red Ale,5 %,Amber Ale,Mehana Brewing Company
1191,Corfu Beer Red Ale Special,5 %,Amber Ale,Corfu Beer
1192,38 State Titan Rock Red,5.70 %,Amber Ale,38 State Brewing Company
1193,Denver Beer 545 Summit Sunrise,6.90 %,Amber Ale,Denver Beer Company
1194,Yolo Assemblyman Red IPA,6 %,India Pale Ale &#40; IPA &#41;,Yolo Brewing Company
1195,Natty Greene_s Double Ought Buck Double Amber,9.50 %,Amber Ale,Natty Greene_s Pub & Brewing Company
1196,_ ambereckÃ 1/2 Kanec Imperial Stout,-,Imperial Stout,Pivovar _ amberk
1197,Arvada Butter Pecan Brown,-,Brown Ale,Arvada Beer Company
1198,Innovation Phat Chance Amber,5.50 %,Amber Ale,Innovation Brewing
1199,Allersheimer Blue Moon,1.90 %,Spice/Herb/Vegetable,Brauerei Allersheim
